# _root_ Gitano , which makes budget-priced apparel sold mainly through mass merchandisers like K mart and Wal-Mart , said the Regatta acquisition will enhance its strategy to expand into department stores .
#goldHeads=18,1,4,1,6,4,6,7,7,11,9,11,14,12,14,15,1,0,21,21,22,18,22,25,23,25,26,27,30,28,18,
#predictedHeads=18,1,4,1,6,4,6,9,7,11,9,11,14,12,14,15,1,0,21,21,22,18,22,25,23,25,26,27,30,28,18,
(4,11),-1.20039 # DEPENDENCYPART_ARC
(4,12),-1.36776 # DEPENDENCYPART_ARC
(4,14),-2.00713 # DEPENDENCYPART_ARC
(4,15),-1.48406 # DEPENDENCYPART_ARC
(4,17),-1.71736 # DEPENDENCYPART_ARC
(4,18),-2.13624 # DEPENDENCYPART_ARC
(4,22),-1.42574 # DEPENDENCYPART_ARC
(4,26),-2.23441 # DEPENDENCYPART_ARC
(4,28),-1.84767 # DEPENDENCYPART_ARC
(4,31),-0.707869 # DEPENDENCYPART_ARC
(5,1),-1.71104 # DEPENDENCYPART_ARC
(5,2),-1.72498 # DEPENDENCYPART_ARC
(5,3),-1.45761 # DEPENDENCYPART_ARC
(5,4),-0.50391 # DEPENDENCYPART_ARC
(5,6),-0.409047 # DEPENDENCYPART_ARC
(5,7),-1.25098 # DEPENDENCYPART_ARC
(6,1),-1.33056 # DEPENDENCYPART_ARC
(6,2),-1.69147 # DEPENDENCYPART_ARC
(6,3),-0.970848 # DEPENDENCYPART_ARC
(6,4),-0.691909 # DEPENDENCYPART_ARC
(6,5),1.13344 # DEPENDENCYPART_ARC
(6,7),-0.170407 # DEPENDENCYPART_ARC
(6,8),-1.40026 # DEPENDENCYPART_ARC
(6,9),-1.25949 # DEPENDENCYPART_ARC
(6,11),-1.60633 # DEPENDENCYPART_ARC
(6,12),-1.51194 # DEPENDENCYPART_ARC
(6,17),-1.60497 # DEPENDENCYPART_ARC
(6,22),-2.12612 # DEPENDENCYPART_ARC
(6,26),-2.34158 # DEPENDENCYPART_ARC
(7,1),-1.62591 # DEPENDENCYPART_ARC
(7,2),-1.56831 # DEPENDENCYPART_ARC
(7,3),-1.18785 # DEPENDENCYPART_ARC
(7,4),-1.01979 # DEPENDENCYPART_ARC
(7,5),-1.26711 # DEPENDENCYPART_ARC
(7,6),-0.0586624 # DEPENDENCYPART_ARC
(7,8),0.414473 # DEPENDENCYPART_ARC
(7,9),-0.220881 # DEPENDENCYPART_ARC
(7,10),-0.581949 # DEPENDENCYPART_ARC
(7,11),-0.923178 # DEPENDENCYPART_ARC
(7,12),-0.857447 # DEPENDENCYPART_ARC
(7,14),-1.44704 # DEPENDENCYPART_ARC
(7,15),-1.4661 # DEPENDENCYPART_ARC
(7,16),-1.49962 # DEPENDENCYPART_ARC
(7,17),-1.3316 # DEPENDENCYPART_ARC
(7,21),-1.56106 # DEPENDENCYPART_ARC
(7,22),-1.68023 # DEPENDENCYPART_ARC
(7,25),-1.59797 # DEPENDENCYPART_ARC
(7,26),-1.58666 # DEPENDENCYPART_ARC
(7,28),-1.783 # DEPENDENCYPART_ARC
(7,31),-2.03712 # DEPENDENCYPART_ARC
(8,3),-2.06926 # DEPENDENCYPART_ARC
(8,5),-1.59503 # DEPENDENCYPART_ARC
(8,6),-1.51339 # DEPENDENCYPART_ARC
(8,7),-0.436803 # DEPENDENCYPART_ARC
(8,9),-0.09459 # DEPENDENCYPART_ARC
(8,10),-0.934291 # DEPENDENCYPART_ARC
(8,11),-1.32859 # DEPENDENCYPART_ARC
(8,12),-1.62546 # DEPENDENCYPART_ARC
(9,5),-1.65577 # DEPENDENCYPART_ARC
(9,6),-1.25823 # DEPENDENCYPART_ARC
(9,7),-1.48829 # DEPENDENCYPART_ARC
(9,8),0.0933 # DEPENDENCYPART_ARC
(9,10),0.539603 # DEPENDENCYPART_ARC
(9,11),-0.301708 # DEPENDENCYPART_ARC
(9,12),-1.13021 # DEPENDENCYPART_ARC
(9,14),-1.70838 # DEPENDENCYPART_ARC
(9,15),-1.29331 # DEPENDENCYPART_ARC
(9,16),-2.02428 # DEPENDENCYPART_ARC
(9,18),-1.30705 # DEPENDENCYPART_ARC
(9,22),-1.52547 # DEPENDENCYPART_ARC
(10,8),-1.77568 # DEPENDENCYPART_ARC
(10,12),-1.37457 # DEPENDENCYPART_ARC
(11,1),-1.88658 # DEPENDENCYPART_ARC
(11,3),-2.10556 # DEPENDENCYPART_ARC
(11,5),-1.3853 # DEPENDENCYPART_ARC
(11,6),-1.07978 # DEPENDENCYPART_ARC
(11,7),-1.17794 # DEPENDENCYPART_ARC
(11,8),-1.17959 # DEPENDENCYPART_ARC
(11,9),-0.750868 # DEPENDENCYPART_ARC
(11,10),1.85112 # DEPENDENCYPART_ARC
(11,12),0.133835 # DEPENDENCYPART_ARC
(11,13),-1.40082 # DEPENDENCYPART_ARC
(11,14),-1.48384 # DEPENDENCYPART_ARC
(11,15),-1.4605 # DEPENDENCYPART_ARC
(11,16),-1.83347 # DEPENDENCYPART_ARC
(11,17),-1.24553 # DEPENDENCYPART_ARC
(11,18),-1.47259 # DEPENDENCYPART_ARC
(11,22),-1.73333 # DEPENDENCYPART_ARC
(11,26),-1.89979 # DEPENDENCYPART_ARC
(12,8),-1.63186 # DEPENDENCYPART_ARC
(12,9),-1.38015 # DEPENDENCYPART_ARC
(12,11),-0.684267 # DEPENDENCYPART_ARC
(12,13),0.0218976 # DEPENDENCYPART_ARC
(12,14),-0.499581 # DEPENDENCYPART_ARC
(12,15),-1.18586 # DEPENDENCYPART_ARC
(12,16),-1.20396 # DEPENDENCYPART_ARC
(12,18),-1.19479 # DEPENDENCYPART_ARC
(12,21),-1.63748 # DEPENDENCYPART_ARC
(12,22),-1.583 # DEPENDENCYPART_ARC
(13,14),-0.368247 # DEPENDENCYPART_ARC
(13,15),-0.885858 # DEPENDENCYPART_ARC
(13,16),-1.72844 # DEPENDENCYPART_ARC
(13,17),-1.72513 # DEPENDENCYPART_ARC
(14,1),-2.9299 # DEPENDENCYPART_ARC
(14,5),-1.87261 # DEPENDENCYPART_ARC
(14,6),-1.51564 # DEPENDENCYPART_ARC
(14,9),-1.54399 # DEPENDENCYPART_ARC
(14,10),-0.702968 # DEPENDENCYPART_ARC
(14,11),-0.627306 # DEPENDENCYPART_ARC
(14,12),-1.01605 # DEPENDENCYPART_ARC
(14,13),1.58001 # DEPENDENCYPART_ARC
(14,15),1.22121 # DEPENDENCYPART_ARC
(14,16),-0.928203 # DEPENDENCYPART_ARC
(14,17),-0.783203 # DEPENDENCYPART_ARC
(14,18),-1.15875 # DEPENDENCYPART_ARC
(14,21),-1.56123 # DEPENDENCYPART_ARC
(14,22),-1.5392 # DEPENDENCYPART_ARC
(14,25),-2.13142 # DEPENDENCYPART_ARC
(14,30),-1.84252 # DEPENDENCYPART_ARC
(15,16),0.560358 # DEPENDENCYPART_ARC
(15,18),-1.00844 # DEPENDENCYPART_ARC
(15,20),-1.99909 # DEPENDENCYPART_ARC
(15,21),-1.48457 # DEPENDENCYPART_ARC
(15,22),-1.73664 # DEPENDENCYPART_ARC
(15,23),-2.10344 # DEPENDENCYPART_ARC
(15,25),-1.94234 # DEPENDENCYPART_ARC
(15,30),-2.55666 # DEPENDENCYPART_ARC
(16,13),-1.50088 # DEPENDENCYPART_ARC
(16,14),-1.32764 # DEPENDENCYPART_ARC
(16,17),-0.102436 # DEPENDENCYPART_ARC
(16,18),-1.50022 # DEPENDENCYPART_ARC
(16,20),-2.31532 # DEPENDENCYPART_ARC
(16,21),-1.91305 # DEPENDENCYPART_ARC
(18,1),-1.70647 # DEPENDENCYPART_ARC
(18,2),-2.25303 # DEPENDENCYPART_ARC
(18,3),-2.34553 # DEPENDENCYPART_ARC
(18,4),-1.47849 # DEPENDENCYPART_ARC
(18,5),-1.8039 # DEPENDENCYPART_ARC
(18,6),-1.57423 # DEPENDENCYPART_ARC
(18,7),-1.8328 # DEPENDENCYPART_ARC
(18,8),-1.6125 # DEPENDENCYPART_ARC
(18,9),-1.41171 # DEPENDENCYPART_ARC
(18,10),-1.44888 # DEPENDENCYPART_ARC
(18,11),-1.1249 # DEPENDENCYPART_ARC
(18,12),-1.37875 # DEPENDENCYPART_ARC
(18,13),-1.73645 # DEPENDENCYPART_ARC
(18,14),-1.36217 # DEPENDENCYPART_ARC
(18,15),-1.20612 # DEPENDENCYPART_ARC
(18,16),-0.924056 # DEPENDENCYPART_ARC
(18,17),0.315534 # DEPENDENCYPART_ARC
(18,19),0.56635 # DEPENDENCYPART_ARC
(18,20),-0.147248 # DEPENDENCYPART_ARC
(18,21),-0.250487 # DEPENDENCYPART_ARC
(18,22),-0.194732 # DEPENDENCYPART_ARC
(18,23),-0.795673 # DEPENDENCYPART_ARC
(18,25),-0.910938 # DEPENDENCYPART_ARC
(18,26),-1.19841 # DEPENDENCYPART_ARC
(18,27),-1.29487 # DEPENDENCYPART_ARC
(18,28),-1.27277 # DEPENDENCYPART_ARC
(18,31),0.81935 # DEPENDENCYPART_ARC
(19,20),-0.473695 # DEPENDENCYPART_ARC
(20,19),-0.211836 # DEPENDENCYPART_ARC
(21,16),-1.29788 # DEPENDENCYPART_ARC
(21,18),-1.00214 # DEPENDENCYPART_ARC
(21,19),0.478257 # DEPENDENCYPART_ARC
(21,20),1.51444 # DEPENDENCYPART_ARC
(21,25),-1.72559 # DEPENDENCYPART_ARC
(21,26),-1.86202 # DEPENDENCYPART_ARC
(22,1),-1.27769 # DEPENDENCYPART_ARC
(22,2),-2.61048 # DEPENDENCYPART_ARC
(22,3),-1.74829 # DEPENDENCYPART_ARC
(22,4),-1.21634 # DEPENDENCYPART_ARC
(22,6),-1.17351 # DEPENDENCYPART_ARC
(22,7),-1.23167 # DEPENDENCYPART_ARC
(22,8),-1.57727 # DEPENDENCYPART_ARC
(22,9),-1.06424 # DEPENDENCYPART_ARC
(22,10),-1.23212 # DEPENDENCYPART_ARC
(22,11),-0.790827 # DEPENDENCYPART_ARC
(22,12),-1.18188 # DEPENDENCYPART_ARC
(22,13),-1.24602 # DEPENDENCYPART_ARC
(22,14),-1.24114 # DEPENDENCYPART_ARC
(22,15),-1.24699 # DEPENDENCYPART_ARC
(22,16),-1.24959 # DEPENDENCYPART_ARC
(22,17),-1.304 # DEPENDENCYPART_ARC
(22,18),-1.25861 # DEPENDENCYPART_ARC
(22,19),-1.09432 # DEPENDENCYPART_ARC
(22,20),-0.641529 # DEPENDENCYPART_ARC
(22,21),0.773594 # DEPENDENCYPART_ARC
(22,23),1.26505 # DEPENDENCYPART_ARC
(22,24),-0.859982 # DEPENDENCYPART_ARC
(22,25),-0.964912 # DEPENDENCYPART_ARC
(22,26),-1.29389 # DEPENDENCYPART_ARC
(22,27),-1.03563 # DEPENDENCYPART_ARC
(22,28),-1.31381 # DEPENDENCYPART_ARC
(22,30),-1.76107 # DEPENDENCYPART_ARC
(22,31),-0.308105 # DEPENDENCYPART_ARC
(23,3),-2.00306 # DEPENDENCYPART_ARC
(23,4),-2.005 # DEPENDENCYPART_ARC
(23,19),-1.46062 # DEPENDENCYPART_ARC
(23,20),-1.36676 # DEPENDENCYPART_ARC
(23,21),-1.25346 # DEPENDENCYPART_ARC
(23,24),0.365829 # DEPENDENCYPART_ARC
(23,25),0.243077 # DEPENDENCYPART_ARC
(23,26),-0.343015 # DEPENDENCYPART_ARC
(23,27),-0.619163 # DEPENDENCYPART_ARC
(23,28),-0.61923 # DEPENDENCYPART_ARC
(23,30),-1.1423 # DEPENDENCYPART_ARC
(23,31),-1.03833 # DEPENDENCYPART_ARC
(24,26),-1.33029 # DEPENDENCYPART_ARC
(25,19),-1.90083 # DEPENDENCYPART_ARC
(25,20),-1.27343 # DEPENDENCYPART_ARC
(25,21),-1.27606 # DEPENDENCYPART_ARC
(25,24),1.11345 # DEPENDENCYPART_ARC
(25,26),0.197078 # DEPENDENCYPART_ARC
(25,27),-1.03234 # DEPENDENCYPART_ARC
(25,28),-1.23747 # DEPENDENCYPART_ARC
(25,30),-1.49067 # DEPENDENCYPART_ARC
(26,24),-1.44408 # DEPENDENCYPART_ARC
(26,25),-0.817481 # DEPENDENCYPART_ARC
(26,27),1.07124 # DEPENDENCYPART_ARC
(26,28),-0.743721 # DEPENDENCYPART_ARC
(26,30),-1.10705 # DEPENDENCYPART_ARC
(27,24),-1.33249 # DEPENDENCYPART_ARC
(27,25),-1.33401 # DEPENDENCYPART_ARC
(27,28),0.757247 # DEPENDENCYPART_ARC
(27,29),-0.370815 # DEPENDENCYPART_ARC
(27,30),-0.71203 # DEPENDENCYPART_ARC
(28,29),0.627672 # DEPENDENCYPART_ARC
(28,30),-0.0997659 # DEPENDENCYPART_ARC
(29,28),-0.857553 # DEPENDENCYPART_ARC
(29,30),-0.286643 # DEPENDENCYPART_ARC
(30,20),-1.4534 # DEPENDENCYPART_ARC
(30,21),-1.47416 # DEPENDENCYPART_ARC
(30,24),-1.09952 # DEPENDENCYPART_ARC
(30,25),-1.1883 # DEPENDENCYPART_ARC
(30,27),-1.12207 # DEPENDENCYPART_ARC
(30,28),-0.75438 # DEPENDENCYPART_ARC
(30,29),1.91751 # DEPENDENCYPART_ARC
(31,30),-0.859032 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.107921 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0628661 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.161051 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.0806256 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0941252 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.232268 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.106325 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.138403 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.055488 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.169439 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0693557 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0508833 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0367194 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0400306 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0349716 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0609705 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0526115 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0823374 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0630765 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0432262 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.0316677 # DEPENDENCYPART_SIBL
(1,2),(1,31),0.0267147 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00431583 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0072201 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0304615 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0219502 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.012154 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.00693518 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0122593 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.00148353 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0385878 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.0274984 # DEPENDENCYPART_SIBL
(1,3),(1,31),0.000708563 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0196722 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0137138 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0313192 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0222183 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0252889 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.017879 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.00171141 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.00879626 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.0205838 # DEPENDENCYPART_SIBL
(1,4),(1,31),0.116254 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0234366 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0050271 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.00832519 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0148799 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.00320169 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.000955714 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.0151909 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.00507056 # DEPENDENCYPART_SIBL
(1,5),(1,31),0.0454744 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.00182303 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.00191238 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0122594 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0156791 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.00284225 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0234911 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.0241271 # DEPENDENCYPART_SIBL
(1,6),(1,31),0.0835071 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0343086 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.00885295 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0204387 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.00929797 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.0716315 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.0316361 # DEPENDENCYPART_SIBL
(1,7),(1,31),0.0396309 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0249808 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0434917 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.0237349 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.00714251 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.0260486 # DEPENDENCYPART_SIBL
(1,8),(1,31),0.0238914 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.02344 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.00761657 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.0300424 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.00744607 # DEPENDENCYPART_SIBL
(1,9),(1,31),0.0751634 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.0223663 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.0254207 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.00729823 # DEPENDENCYPART_SIBL
(1,11),(1,31),0.0493894 # DEPENDENCYPART_SIBL
(1,14),(1,15),-0.00522003 # DEPENDENCYPART_SIBL
(1,14),(1,17),-0.00169071 # DEPENDENCYPART_SIBL
(1,14),(1,31),0.0242519 # DEPENDENCYPART_SIBL
(1,15),(1,17),-0.0135653 # DEPENDENCYPART_SIBL
(1,15),(1,31),-0.0583045 # DEPENDENCYPART_SIBL
(1,17),(1,31),0.0267147 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0166443 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00315359 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00488601 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0297514 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0854764 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00382854 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0488469 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.000297854 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0094159 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0225219 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0217074 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0260736 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.00507592 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.00691399 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.017592 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0317445 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.0199545 # DEPENDENCYPART_SIBL
(4,1),(4,26),-0.0272964 # DEPENDENCYPART_SIBL
(4,1),(4,28),-0.0166016 # DEPENDENCYPART_SIBL
(4,1),(4,31),0.0290765 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0332682 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0259494 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0233316 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00439715 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.00996513 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0277883 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0392634 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0539305 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0420098 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0658035 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.110136 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.125696 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.0350019 # DEPENDENCYPART_SIBL
(4,2),(4,26),-0.0465522 # DEPENDENCYPART_SIBL
(4,2),(4,28),-0.00513657 # DEPENDENCYPART_SIBL
(4,2),(4,31),0.00851356 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.167389 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.184825 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0823993 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.133313 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.174643 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.21961 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.196477 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0844634 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.185038 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.046671 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0217215 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0296985 # DEPENDENCYPART_SIBL
(4,3),(4,26),0.160407 # DEPENDENCYPART_SIBL
(4,3),(4,28),0.168846 # DEPENDENCYPART_SIBL
(4,3),(4,31),-0.273636 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.065875 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00526888 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0393155 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0261723 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0653751 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0565927 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0617519 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.035378 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0171951 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0802811 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.0452744 # DEPENDENCYPART_SIBL
(4,5),(4,26),-0.0601387 # DEPENDENCYPART_SIBL
(4,5),(4,28),-0.0482443 # DEPENDENCYPART_SIBL
(4,5),(4,31),0.00269848 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0129079 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0270308 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00297432 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0525145 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0540167 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0416876 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.00873787 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.00185874 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0424273 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.053298 # DEPENDENCYPART_SIBL
(4,6),(4,26),0.0129304 # DEPENDENCYPART_SIBL
(4,6),(4,28),0.032325 # DEPENDENCYPART_SIBL
(4,6),(4,31),0.0372928 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0897554 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.116435 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0678191 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.126882 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0965632 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0902381 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0410703 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.066819 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.0689867 # DEPENDENCYPART_SIBL
(4,7),(4,26),-0.0718385 # DEPENDENCYPART_SIBL
(4,7),(4,28),-0.114689 # DEPENDENCYPART_SIBL
(4,7),(4,31),0.00406042 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.049708 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0497949 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0761613 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0534919 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0650511 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0580689 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0648641 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0811434 # DEPENDENCYPART_SIBL
(4,8),(4,26),-0.0224179 # DEPENDENCYPART_SIBL
(4,8),(4,28),-0.069839 # DEPENDENCYPART_SIBL
(4,8),(4,31),-0.0457735 # DEPENDENCYPART_SIBL
