# _root_ He was flawless afield ( ditto in game two ) , moved a runner along in the A 's three-run second inning , and homered for his team 's final tally .
#goldHeads=2,0,2,2,6,2,6,7,8,6,2,2,14,12,12,12,22,22,22,22,22,16,12,12,24,25,28,31,28,31,26,2,
#predictedHeads=2,0,2,2,6,2,6,7,8,6,2,2,14,12,14,15,22,22,22,22,22,16,12,12,24,25,28,31,28,31,26,2,
(12,7),-1.00369 # DEPENDENCYPART_ARC
(12,8),-1.1005 # DEPENDENCYPART_ARC
(12,9),-1.12463 # DEPENDENCYPART_ARC
(12,10),-0.943592 # DEPENDENCYPART_ARC
(12,11),0.482359 # DEPENDENCYPART_ARC
(12,13),0.653135 # DEPENDENCYPART_ARC
(12,14),0.622281 # DEPENDENCYPART_ARC
(12,15),-0.119398 # DEPENDENCYPART_ARC
(12,16),-0.467835 # DEPENDENCYPART_ARC
(12,17),-1.06223 # DEPENDENCYPART_ARC
(12,18),-1.18057 # DEPENDENCYPART_ARC
(12,19),-1.16639 # DEPENDENCYPART_ARC
(12,20),-1.39327 # DEPENDENCYPART_ARC
(12,21),-1.51436 # DEPENDENCYPART_ARC
(12,22),-0.554339 # DEPENDENCYPART_ARC
(12,23),-0.957348 # DEPENDENCYPART_ARC
(12,24),-1.07455 # DEPENDENCYPART_ARC
(12,25),-1.31824 # DEPENDENCYPART_ARC
(12,26),-1.29376 # DEPENDENCYPART_ARC
(12,28),-1.31453 # DEPENDENCYPART_ARC
(12,29),-1.62813 # DEPENDENCYPART_ARC
(12,31),-1.30794 # DEPENDENCYPART_ARC
(12,32),0.899217 # DEPENDENCYPART_ARC
(13,15),-1.19863 # DEPENDENCYPART_ARC
(14,9),-1.65729 # DEPENDENCYPART_ARC
(14,10),-1.72203 # DEPENDENCYPART_ARC
(14,11),-1.71476 # DEPENDENCYPART_ARC
(14,13),1.30047 # DEPENDENCYPART_ARC
(14,15),0.0426228 # DEPENDENCYPART_ARC
(14,16),-1.14422 # DEPENDENCYPART_ARC
(14,18),-1.71292 # DEPENDENCYPART_ARC
(14,19),-1.89184 # DEPENDENCYPART_ARC
(14,20),-1.8713 # DEPENDENCYPART_ARC
(14,22),-2.0139 # DEPENDENCYPART_ARC
(14,23),-1.78784 # DEPENDENCYPART_ARC
(14,24),-2.14812 # DEPENDENCYPART_ARC
(14,25),-1.82201 # DEPENDENCYPART_ARC
(14,26),-1.97336 # DEPENDENCYPART_ARC
(14,32),-2.04867 # DEPENDENCYPART_ARC
(15,2),-1.7528 # DEPENDENCYPART_ARC
(15,5),-1.79768 # DEPENDENCYPART_ARC
(15,13),-1.51405 # DEPENDENCYPART_ARC
(15,14),-0.590356 # DEPENDENCYPART_ARC
(15,16),0.508801 # DEPENDENCYPART_ARC
(15,17),-1.21465 # DEPENDENCYPART_ARC
(15,18),-1.75116 # DEPENDENCYPART_ARC
(15,19),-1.72165 # DEPENDENCYPART_ARC
(15,20),-1.96344 # DEPENDENCYPART_ARC
(15,22),-1.31365 # DEPENDENCYPART_ARC
(15,23),-1.84124 # DEPENDENCYPART_ARC
(15,24),-1.7282 # DEPENDENCYPART_ARC
(15,25),-1.6141 # DEPENDENCYPART_ARC
(15,26),-1.41595 # DEPENDENCYPART_ARC
(15,31),-2.1849 # DEPENDENCYPART_ARC
(15,32),-2.22889 # DEPENDENCYPART_ARC
(16,14),-2.16212 # DEPENDENCYPART_ARC
(16,15),-1.03973 # DEPENDENCYPART_ARC
(16,17),-0.168124 # DEPENDENCYPART_ARC
(16,18),-0.901938 # DEPENDENCYPART_ARC
(16,19),-1.41825 # DEPENDENCYPART_ARC
(16,20),-1.6929 # DEPENDENCYPART_ARC
(16,21),-1.6951 # DEPENDENCYPART_ARC
(16,22),-0.680642 # DEPENDENCYPART_ARC
(16,23),-1.55291 # DEPENDENCYPART_ARC
(16,24),-1.5956 # DEPENDENCYPART_ARC
(16,25),-1.54303 # DEPENDENCYPART_ARC
(16,31),-1.59676 # DEPENDENCYPART_ARC
(16,32),-1.57843 # DEPENDENCYPART_ARC
(17,19),-1.53603 # DEPENDENCYPART_ARC
(18,17),-0.380614 # DEPENDENCYPART_ARC
(18,19),-0.396186 # DEPENDENCYPART_ARC
(18,20),-1.29562 # DEPENDENCYPART_ARC
(19,17),-0.588072 # DEPENDENCYPART_ARC
(19,18),0.543147 # DEPENDENCYPART_ARC
(19,20),-0.448487 # DEPENDENCYPART_ARC
(19,21),-1.36041 # DEPENDENCYPART_ARC
(19,22),-1.41805 # DEPENDENCYPART_ARC
(19,23),-1.75033 # DEPENDENCYPART_ARC
(19,24),-2.13772 # DEPENDENCYPART_ARC
(19,25),-2.02725 # DEPENDENCYPART_ARC
(19,29),-2.34936 # DEPENDENCYPART_ARC
(20,17),-1.59138 # DEPENDENCYPART_ARC
(20,18),-0.955015 # DEPENDENCYPART_ARC
(20,19),0.0292462 # DEPENDENCYPART_ARC
(20,21),-0.39923 # DEPENDENCYPART_ARC
(20,23),-1.31498 # DEPENDENCYPART_ARC
(20,24),-1.64921 # DEPENDENCYPART_ARC
(20,25),-1.42892 # DEPENDENCYPART_ARC
(20,26),-1.51713 # DEPENDENCYPART_ARC
(21,17),-1.70118 # DEPENDENCYPART_ARC
(21,18),-1.20194 # DEPENDENCYPART_ARC
(21,19),-1.10823 # DEPENDENCYPART_ARC
(21,20),0.144072 # DEPENDENCYPART_ARC
(21,24),-1.54355 # DEPENDENCYPART_ARC
(22,13),-2.05528 # DEPENDENCYPART_ARC
(22,17),-0.51871 # DEPENDENCYPART_ARC
(22,18),-0.558702 # DEPENDENCYPART_ARC
(22,19),-0.506429 # DEPENDENCYPART_ARC
(22,20),0.128429 # DEPENDENCYPART_ARC
(22,21),1.32198 # DEPENDENCYPART_ARC
(22,23),-0.177993 # DEPENDENCYPART_ARC
(22,24),-1.56179 # DEPENDENCYPART_ARC
(22,25),-1.21602 # DEPENDENCYPART_ARC
(22,26),-1.51785 # DEPENDENCYPART_ARC
(22,28),-1.882 # DEPENDENCYPART_ARC
(22,29),-2.04358 # DEPENDENCYPART_ARC
(22,31),-2.08603 # DEPENDENCYPART_ARC
(24,25),0.703562 # DEPENDENCYPART_ARC
(24,26),-0.828764 # DEPENDENCYPART_ARC
(24,28),-1.64539 # DEPENDENCYPART_ARC
(24,29),-1.82189 # DEPENDENCYPART_ARC
(24,31),-2.20789 # DEPENDENCYPART_ARC
(25,2),-2.51241 # DEPENDENCYPART_ARC
(25,4),-2.15795 # DEPENDENCYPART_ARC
(25,5),-1.92098 # DEPENDENCYPART_ARC
(25,6),-1.9512 # DEPENDENCYPART_ARC
(25,7),-1.55556 # DEPENDENCYPART_ARC
(25,14),-1.60621 # DEPENDENCYPART_ARC
(25,15),-1.39767 # DEPENDENCYPART_ARC
(25,16),-1.24188 # DEPENDENCYPART_ARC
(25,18),-1.92266 # DEPENDENCYPART_ARC
(25,19),-1.79131 # DEPENDENCYPART_ARC
(25,22),-1.34391 # DEPENDENCYPART_ARC
(25,23),-1.24687 # DEPENDENCYPART_ARC
(25,26),0.901613 # DEPENDENCYPART_ARC
(25,27),-0.825305 # DEPENDENCYPART_ARC
(25,28),-0.845725 # DEPENDENCYPART_ARC
(25,29),-1.50569 # DEPENDENCYPART_ARC
(25,30),-1.55822 # DEPENDENCYPART_ARC
(25,31),-1.41696 # DEPENDENCYPART_ARC
(25,32),-0.53556 # DEPENDENCYPART_ARC
(26,27),0.171866 # DEPENDENCYPART_ARC
(26,28),0.165535 # DEPENDENCYPART_ARC
(26,29),-1.34029 # DEPENDENCYPART_ARC
(26,30),-1.50455 # DEPENDENCYPART_ARC
(26,31),-0.618065 # DEPENDENCYPART_ARC
(27,29),-1.31006 # DEPENDENCYPART_ARC
(28,17),-2.34693 # DEPENDENCYPART_ARC
(28,20),-1.80748 # DEPENDENCYPART_ARC
(28,26),-0.823264 # DEPENDENCYPART_ARC
(28,27),1.41407 # DEPENDENCYPART_ARC
(28,29),1.01107 # DEPENDENCYPART_ARC
(28,30),-0.886307 # DEPENDENCYPART_ARC
(28,31),-1.00878 # DEPENDENCYPART_ARC
(29,27),-1.08557 # DEPENDENCYPART_ARC
(29,30),-0.457206 # DEPENDENCYPART_ARC
(29,31),-1.38159 # DEPENDENCYPART_ARC
(30,27),-1.37376 # DEPENDENCYPART_ARC
(30,28),-1.35294 # DEPENDENCYPART_ARC
(30,29),-0.370645 # DEPENDENCYPART_ARC
(31,17),-2.86987 # DEPENDENCYPART_ARC
(31,18),-2.07774 # DEPENDENCYPART_ARC
(31,20),-1.77535 # DEPENDENCYPART_ARC
(31,21),-1.64475 # DEPENDENCYPART_ARC
(31,22),-1.8615 # DEPENDENCYPART_ARC
(31,27),-0.71485 # DEPENDENCYPART_ARC
(31,28),-0.371614 # DEPENDENCYPART_ARC
(31,29),-0.488575 # DEPENDENCYPART_ARC
(31,30),1.31978 # DEPENDENCYPART_ARC
(32,31),-0.930599 # DEPENDENCYPART_ARC
(0,2),(0,12),-0.238725 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0287342 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0157662 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0143616 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0116722 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0217425 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0503553 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.115649 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.111102 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.114321 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0545804 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0268421 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0528085 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0486014 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.115651 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.148347 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.111102 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.115651 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0528085 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.103487 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.0569945 # DEPENDENCYPART_SIBL
(2,1),(2,26),-0.0579672 # DEPENDENCYPART_SIBL
(2,1),(2,32),-0.0358593 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0168178 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00561017 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0166913 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.109804 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0177742 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0482872 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0157783 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0289863 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.00427509 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0166913 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0341003 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.109804 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.0166913 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.0289863 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.0258821 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.00482192 # DEPENDENCYPART_SIBL
(2,3),(2,26),0.0697857 # DEPENDENCYPART_SIBL
(2,3),(2,32),0.00889668 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0290306 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.000159845 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.00845681 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00299751 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0267196 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0651602 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0227913 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0314256 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.000159845 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.00563411 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.00845681 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.000159845 # DEPENDENCYPART_SIBL
(2,4),(2,23),-0.0227913 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.0559573 # DEPENDENCYPART_SIBL
(2,4),(2,25),0.0150457 # DEPENDENCYPART_SIBL
(2,4),(2,26),0.0208896 # DEPENDENCYPART_SIBL
(2,4),(2,32),-0.0213835 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00165948 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0410605 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00271658 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0138171 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.110215 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0168648 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0464872 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.00165948 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.00340706 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0410605 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.00165948 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.0168648 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.0101686 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.0379238 # DEPENDENCYPART_SIBL
(2,5),(2,26),0.0761293 # DEPENDENCYPART_SIBL
(2,5),(2,32),0.0451052 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0318645 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0669004 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0805801 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0105039 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0141711 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0197114 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0689792 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0273513 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0318645 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0689302 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.0141711 # DEPENDENCYPART_SIBL
(2,6),(2,24),-0.0378568 # DEPENDENCYPART_SIBL
(2,6),(2,25),-0.00053333 # DEPENDENCYPART_SIBL
(2,6),(2,26),0.0418022 # DEPENDENCYPART_SIBL
(2,6),(2,32),-0.00843203 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0218737 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0322976 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0239037 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0101208 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0303387 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0168757 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0546305 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0808947 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0168378 # DEPENDENCYPART_SIBL
(2,7),(2,23),0.0101208 # DEPENDENCYPART_SIBL
(2,7),(2,24),-0.0293249 # DEPENDENCYPART_SIBL
(2,7),(2,25),0.0166147 # DEPENDENCYPART_SIBL
(2,7),(2,26),0.0155141 # DEPENDENCYPART_SIBL
(2,7),(2,32),-0.0202458 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0836346 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.00618542 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0233493 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0168281 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0724966 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.030736 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0286451 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0724477 # DEPENDENCYPART_SIBL
(2,8),(2,23),0.0233493 # DEPENDENCYPART_SIBL
(2,8),(2,24),-0.0398513 # DEPENDENCYPART_SIBL
(2,8),(2,25),-0.0034167 # DEPENDENCYPART_SIBL
(2,8),(2,26),0.0396562 # DEPENDENCYPART_SIBL
(2,8),(2,32),-0.0195405 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0249227 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0197631 # DEPENDENCYPART_SIBL
(2,9),(2,12),3.63303e-05 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0829868 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.114019 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0665989 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.0830066 # DEPENDENCYPART_SIBL
(2,9),(2,23),-0.0197631 # DEPENDENCYPART_SIBL
(2,9),(2,24),-0.0588606 # DEPENDENCYPART_SIBL
(2,9),(2,25),-0.00579643 # DEPENDENCYPART_SIBL
(2,9),(2,26),-0.0550197 # DEPENDENCYPART_SIBL
(2,9),(2,32),-0.0874328 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0507945 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0134699 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0600903 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.058003 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.00685351 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.0600903 # DEPENDENCYPART_SIBL
(2,10),(2,23),-0.0507945 # DEPENDENCYPART_SIBL
(2,10),(2,24),-0.0511787 # DEPENDENCYPART_SIBL
(2,10),(2,25),0.00490656 # DEPENDENCYPART_SIBL
(2,10),(2,26),-0.0220093 # DEPENDENCYPART_SIBL
(2,10),(2,32),-0.0632805 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0391909 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0104993 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.00570666 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.031799 # DEPENDENCYPART_SIBL
(2,11),(2,22),-0.0104993 # DEPENDENCYPART_SIBL
(2,11),(2,23),-0.016289 # DEPENDENCYPART_SIBL
(2,11),(2,24),0.0413748 # DEPENDENCYPART_SIBL
(2,11),(2,25),0.0324528 # DEPENDENCYPART_SIBL
(2,11),(2,26),0.0505508 # DEPENDENCYPART_SIBL
(2,11),(2,32),-0.00536629 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0400065 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0419432 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.00262232 # DEPENDENCYPART_SIBL
(2,12),(2,22),-0.0400065 # DEPENDENCYPART_SIBL
(2,12),(2,23),-0.00791388 # DEPENDENCYPART_SIBL
(2,12),(2,24),0.0215574 # DEPENDENCYPART_SIBL
(2,12),(2,25),-0.0230206 # DEPENDENCYPART_SIBL
(2,12),(2,26),0.00503246 # DEPENDENCYPART_SIBL
(2,12),(2,32),0.0712131 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.027847 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0313688 # DEPENDENCYPART_SIBL
(2,14),(2,22),-0.0689308 # DEPENDENCYPART_SIBL
(2,14),(2,23),0.0141705 # DEPENDENCYPART_SIBL
(2,14),(2,24),-0.0378575 # DEPENDENCYPART_SIBL
(2,14),(2,25),-0.000533954 # DEPENDENCYPART_SIBL
(2,14),(2,26),0.0413065 # DEPENDENCYPART_SIBL
(2,14),(2,32),-0.0084338 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.0373389 # DEPENDENCYPART_SIBL
(2,15),(2,22),-0.0149677 # DEPENDENCYPART_SIBL
(2,15),(2,23),0.00597811 # DEPENDENCYPART_SIBL
(2,15),(2,24),-0.0351087 # DEPENDENCYPART_SIBL
(2,15),(2,25),0.0275323 # DEPENDENCYPART_SIBL
(2,15),(2,26),0.00170307 # DEPENDENCYPART_SIBL
(2,15),(2,32),-0.0162805 # DEPENDENCYPART_SIBL
