# _root_ Concerning your Sept. 19 article `` Wall Street Firms Link Analysts ' Pay to Performance , '' I 'm delighted that Wall Street is finally tuning in to the hard , cold facts of the real working world .
#goldHeads=19,5,5,5,1,5,9,9,10,5,13,11,10,10,14,19,19,19,0,19,20,23,24,21,24,24,26,26,33,33,33,33,28,33,38,38,38,34,19,
#predictedHeads=19,5,5,5,1,5,9,9,5,5,13,11,10,13,14,19,19,19,0,19,20,23,24,21,24,24,26,26,33,33,33,33,28,33,38,38,38,34,19,
(6,5),-0.699878 # DEPENDENCYPART_ARC
(7,8),-0.627623 # DEPENDENCYPART_ARC
(7,9),-1.61488 # DEPENDENCYPART_ARC
(7,12),-2.59032 # DEPENDENCYPART_ARC
(8,3),-2.25685 # DEPENDENCYPART_ARC
(8,4),-2.39254 # DEPENDENCYPART_ARC
(8,5),-1.58563 # DEPENDENCYPART_ARC
(8,6),-1.62696 # DEPENDENCYPART_ARC
(8,7),-0.0243036 # DEPENDENCYPART_ARC
(8,9),-0.542173 # DEPENDENCYPART_ARC
(8,10),-1.48439 # DEPENDENCYPART_ARC
(8,11),-2.31679 # DEPENDENCYPART_ARC
(8,12),-2.33588 # DEPENDENCYPART_ARC
(9,1),-1.9033 # DEPENDENCYPART_ARC
(9,2),-1.75745 # DEPENDENCYPART_ARC
(9,3),-1.77772 # DEPENDENCYPART_ARC
(9,4),-1.68198 # DEPENDENCYPART_ARC
(9,5),-0.958479 # DEPENDENCYPART_ARC
(9,6),-1.08205 # DEPENDENCYPART_ARC
(9,7),0.0215083 # DEPENDENCYPART_ARC
(9,8),1.04143 # DEPENDENCYPART_ARC
(9,10),-0.430092 # DEPENDENCYPART_ARC
(9,11),-1.75385 # DEPENDENCYPART_ARC
(9,12),-1.62794 # DEPENDENCYPART_ARC
(9,15),-2.06758 # DEPENDENCYPART_ARC
(9,16),-1.98064 # DEPENDENCYPART_ARC
(10,1),-1.39509 # DEPENDENCYPART_ARC
(10,2),-1.62882 # DEPENDENCYPART_ARC
(10,3),-1.57729 # DEPENDENCYPART_ARC
(10,4),-1.50941 # DEPENDENCYPART_ARC
(10,5),-1.18453 # DEPENDENCYPART_ARC
(10,6),-1.15927 # DEPENDENCYPART_ARC
(10,7),-1.15381 # DEPENDENCYPART_ARC
(10,8),-1.02302 # DEPENDENCYPART_ARC
(10,9),-0.164016 # DEPENDENCYPART_ARC
(10,11),0.671205 # DEPENDENCYPART_ARC
(10,12),-0.314244 # DEPENDENCYPART_ARC
(10,13),-0.422915 # DEPENDENCYPART_ARC
(10,14),-0.669766 # DEPENDENCYPART_ARC
(10,15),-0.768254 # DEPENDENCYPART_ARC
(10,16),-1.02944 # DEPENDENCYPART_ARC
(10,17),-0.833513 # DEPENDENCYPART_ARC
(10,18),-1.43896 # DEPENDENCYPART_ARC
(10,19),-1.07813 # DEPENDENCYPART_ARC
(10,20),-1.52993 # DEPENDENCYPART_ARC
(10,21),-1.33071 # DEPENDENCYPART_ARC
(10,23),-1.89035 # DEPENDENCYPART_ARC
(10,24),-1.27935 # DEPENDENCYPART_ARC
(10,25),-1.67928 # DEPENDENCYPART_ARC
(10,26),-1.32669 # DEPENDENCYPART_ARC
(10,27),-1.65129 # DEPENDENCYPART_ARC
(10,28),-1.64395 # DEPENDENCYPART_ARC
(10,31),-1.75403 # DEPENDENCYPART_ARC
(10,33),-1.86468 # DEPENDENCYPART_ARC
(10,34),-1.78974 # DEPENDENCYPART_ARC
(10,39),-0.132742 # DEPENDENCYPART_ARC
(11,3),-2.08823 # DEPENDENCYPART_ARC
(11,6),-1.55798 # DEPENDENCYPART_ARC
(11,7),-0.764325 # DEPENDENCYPART_ARC
(11,8),-0.485707 # DEPENDENCYPART_ARC
(11,9),-0.376705 # DEPENDENCYPART_ARC
(11,10),0.00350314 # DEPENDENCYPART_ARC
(11,12),0.967612 # DEPENDENCYPART_ARC
(11,13),-0.839261 # DEPENDENCYPART_ARC
(11,14),-1.27187 # DEPENDENCYPART_ARC
(11,15),-1.39846 # DEPENDENCYPART_ARC
(11,17),-1.02483 # DEPENDENCYPART_ARC
(11,19),-1.61084 # DEPENDENCYPART_ARC
(12,14),-1.33004 # DEPENDENCYPART_ARC
(13,1),-2.23742 # DEPENDENCYPART_ARC
(13,2),-1.78542 # DEPENDENCYPART_ARC
(13,3),-1.69424 # DEPENDENCYPART_ARC
(13,4),-1.83769 # DEPENDENCYPART_ARC
(13,5),-2.02683 # DEPENDENCYPART_ARC
(13,6),-1.69104 # DEPENDENCYPART_ARC
(13,7),-1.56378 # DEPENDENCYPART_ARC
(13,8),-1.07384 # DEPENDENCYPART_ARC
(13,9),-0.91172 # DEPENDENCYPART_ARC
(13,10),-1.25144 # DEPENDENCYPART_ARC
(13,11),0.200624 # DEPENDENCYPART_ARC
(13,12),0.110307 # DEPENDENCYPART_ARC
(13,14),0.129898 # DEPENDENCYPART_ARC
(13,15),-0.927555 # DEPENDENCYPART_ARC
(13,16),-1.15788 # DEPENDENCYPART_ARC
(13,17),-1.27654 # DEPENDENCYPART_ARC
(13,18),-1.64231 # DEPENDENCYPART_ARC
(13,19),-1.49132 # DEPENDENCYPART_ARC
(13,20),-1.75411 # DEPENDENCYPART_ARC
(13,21),-1.41415 # DEPENDENCYPART_ARC
(13,23),-1.98646 # DEPENDENCYPART_ARC
(13,24),-1.85473 # DEPENDENCYPART_ARC
(13,26),-1.83119 # DEPENDENCYPART_ARC
(13,28),-2.01221 # DEPENDENCYPART_ARC
(13,39),-1.87353 # DEPENDENCYPART_ARC
(14,13),-1.03548 # DEPENDENCYPART_ARC
(14,15),0.952203 # DEPENDENCYPART_ARC
(14,16),-0.922105 # DEPENDENCYPART_ARC
(14,17),-0.958971 # DEPENDENCYPART_ARC
(14,18),-1.4601 # DEPENDENCYPART_ARC
(14,19),-1.59681 # DEPENDENCYPART_ARC
(14,33),-2.03432 # DEPENDENCYPART_ARC
(15,2),-1.81191 # DEPENDENCYPART_ARC
(15,7),-1.75328 # DEPENDENCYPART_ARC
(15,8),-1.70638 # DEPENDENCYPART_ARC
(15,9),-1.64156 # DEPENDENCYPART_ARC
(15,11),-0.774145 # DEPENDENCYPART_ARC
(15,13),-0.37465 # DEPENDENCYPART_ARC
(15,14),-0.0216345 # DEPENDENCYPART_ARC
(15,16),-0.266403 # DEPENDENCYPART_ARC
(15,17),-1.08418 # DEPENDENCYPART_ARC
(15,18),-1.435 # DEPENDENCYPART_ARC
(15,19),-1.49613 # DEPENDENCYPART_ARC
(15,20),-1.62796 # DEPENDENCYPART_ARC
(15,21),-1.44099 # DEPENDENCYPART_ARC
(15,23),-2.12865 # DEPENDENCYPART_ARC
(15,24),-1.81465 # DEPENDENCYPART_ARC
(15,26),-1.91679 # DEPENDENCYPART_ARC
(17,18),-0.441266 # DEPENDENCYPART_ARC
(17,19),-1.20354 # DEPENDENCYPART_ARC
(18,17),-0.419504 # DEPENDENCYPART_ARC
(18,20),-1.41776 # DEPENDENCYPART_ARC
(19,1),-1.40477 # DEPENDENCYPART_ARC
(19,2),-1.96117 # DEPENDENCYPART_ARC
(19,4),-1.81179 # DEPENDENCYPART_ARC
(19,5),-1.50599 # DEPENDENCYPART_ARC
(19,6),-1.51939 # DEPENDENCYPART_ARC
(19,9),-1.91603 # DEPENDENCYPART_ARC
(19,10),-1.56905 # DEPENDENCYPART_ARC
(19,11),-1.85144 # DEPENDENCYPART_ARC
(19,12),-1.62789 # DEPENDENCYPART_ARC
(19,13),-1.27491 # DEPENDENCYPART_ARC
(19,14),-1.37356 # DEPENDENCYPART_ARC
(19,15),-1.12117 # DEPENDENCYPART_ARC
(19,16),-0.724057 # DEPENDENCYPART_ARC
(19,17),-0.734575 # DEPENDENCYPART_ARC
(19,18),0.828744 # DEPENDENCYPART_ARC
(19,20),0.831932 # DEPENDENCYPART_ARC
(19,21),-0.482805 # DEPENDENCYPART_ARC
(19,22),-1.11512 # DEPENDENCYPART_ARC
(19,23),-1.33571 # DEPENDENCYPART_ARC
(19,24),-1.02779 # DEPENDENCYPART_ARC
(19,25),-1.53875 # DEPENDENCYPART_ARC
(19,26),-1.29375 # DEPENDENCYPART_ARC
(19,27),-1.62658 # DEPENDENCYPART_ARC
(19,28),-1.48852 # DEPENDENCYPART_ARC
(19,31),-1.75287 # DEPENDENCYPART_ARC
(19,33),-1.98905 # DEPENDENCYPART_ARC
(19,39),-0.494909 # DEPENDENCYPART_ARC
(20,13),-1.59313 # DEPENDENCYPART_ARC
(20,14),-1.65394 # DEPENDENCYPART_ARC
(20,15),-1.63115 # DEPENDENCYPART_ARC
(20,18),-1.31072 # DEPENDENCYPART_ARC
(20,21),0.861405 # DEPENDENCYPART_ARC
(20,22),-0.466321 # DEPENDENCYPART_ARC
(20,23),-0.679658 # DEPENDENCYPART_ARC
(20,24),-1.01657 # DEPENDENCYPART_ARC
(20,25),-1.1618 # DEPENDENCYPART_ARC
(20,26),-1.08095 # DEPENDENCYPART_ARC
(20,27),-1.2099 # DEPENDENCYPART_ARC
(20,28),-1.19192 # DEPENDENCYPART_ARC
(20,30),-1.57876 # DEPENDENCYPART_ARC
(20,31),-1.08739 # DEPENDENCYPART_ARC
(20,33),-1.54978 # DEPENDENCYPART_ARC
(20,34),-1.4168 # DEPENDENCYPART_ARC
(20,38),-1.44069 # DEPENDENCYPART_ARC
(20,39),-1.28382 # DEPENDENCYPART_ARC
(21,22),-0.871051 # DEPENDENCYPART_ARC
(21,23),-1.30965 # DEPENDENCYPART_ARC
(21,24),-0.501645 # DEPENDENCYPART_ARC
(21,26),-2.05235 # DEPENDENCYPART_ARC
(22,23),-0.570922 # DEPENDENCYPART_ARC
(22,24),-1.25443 # DEPENDENCYPART_ARC
(23,18),-1.8805 # DEPENDENCYPART_ARC
(23,20),-1.30615 # DEPENDENCYPART_ARC
(23,21),-1.22336 # DEPENDENCYPART_ARC
(23,22),1.48788 # DEPENDENCYPART_ARC
(23,24),-0.281394 # DEPENDENCYPART_ARC
(24,1),-1.30164 # DEPENDENCYPART_ARC
(24,3),-1.84245 # DEPENDENCYPART_ARC
(24,4),-2.06233 # DEPENDENCYPART_ARC
(24,5),-1.23214 # DEPENDENCYPART_ARC
(24,6),-0.839902 # DEPENDENCYPART_ARC
(24,7),-1.67367 # DEPENDENCYPART_ARC
(24,8),-1.7449 # DEPENDENCYPART_ARC
(24,9),-1.73497 # DEPENDENCYPART_ARC
(24,10),-1.79538 # DEPENDENCYPART_ARC
(24,11),-1.61753 # DEPENDENCYPART_ARC
(24,13),-1.15423 # DEPENDENCYPART_ARC
(24,14),-1.58043 # DEPENDENCYPART_ARC
(24,15),-1.15049 # DEPENDENCYPART_ARC
(24,16),-1.93116 # DEPENDENCYPART_ARC
(24,17),-1.40354 # DEPENDENCYPART_ARC
(24,18),-2.06844 # DEPENDENCYPART_ARC
(24,19),-1.54757 # DEPENDENCYPART_ARC
(24,20),-1.60032 # DEPENDENCYPART_ARC
(24,21),-0.995286 # DEPENDENCYPART_ARC
(24,22),-0.852636 # DEPENDENCYPART_ARC
(24,23),0.298598 # DEPENDENCYPART_ARC
(24,25),0.59443 # DEPENDENCYPART_ARC
(24,26),-0.246288 # DEPENDENCYPART_ARC
(24,27),-0.767541 # DEPENDENCYPART_ARC
(24,28),-1.24163 # DEPENDENCYPART_ARC
(24,29),-1.70493 # DEPENDENCYPART_ARC
(24,30),-1.41908 # DEPENDENCYPART_ARC
(24,31),-1.48581 # DEPENDENCYPART_ARC
(24,32),-1.78739 # DEPENDENCYPART_ARC
(24,33),-1.72582 # DEPENDENCYPART_ARC
(24,34),-1.5737 # DEPENDENCYPART_ARC
(24,38),-1.72069 # DEPENDENCYPART_ARC
(24,39),-0.110285 # DEPENDENCYPART_ARC
(25,26),-0.0811139 # DEPENDENCYPART_ARC
(25,27),-0.93662 # DEPENDENCYPART_ARC
(25,28),-0.993926 # DEPENDENCYPART_ARC
(25,29),-1.60554 # DEPENDENCYPART_ARC
(25,30),-1.62902 # DEPENDENCYPART_ARC
(25,34),-1.65099 # DEPENDENCYPART_ARC
(26,21),-1.1271 # DEPENDENCYPART_ARC
(26,22),-1.62314 # DEPENDENCYPART_ARC
(26,23),-1.43444 # DEPENDENCYPART_ARC
(26,25),-0.104539 # DEPENDENCYPART_ARC
(26,27),1.00284 # DEPENDENCYPART_ARC
(26,28),0.0745084 # DEPENDENCYPART_ARC
(26,29),-0.915777 # DEPENDENCYPART_ARC
(26,30),-0.784244 # DEPENDENCYPART_ARC
(26,31),-1.13953 # DEPENDENCYPART_ARC
(26,32),-1.13223 # DEPENDENCYPART_ARC
(26,33),-0.83089 # DEPENDENCYPART_ARC
(26,34),-1.02326 # DEPENDENCYPART_ARC
(26,36),-1.32612 # DEPENDENCYPART_ARC
(26,38),-1.51116 # DEPENDENCYPART_ARC
(26,39),-1.4016 # DEPENDENCYPART_ARC
(27,25),-1.42069 # DEPENDENCYPART_ARC
(27,28),-0.161827 # DEPENDENCYPART_ARC
(27,29),-1.46309 # DEPENDENCYPART_ARC
(27,30),-1.58757 # DEPENDENCYPART_ARC
(27,33),-1.84731 # DEPENDENCYPART_ARC
(28,25),-1.99137 # DEPENDENCYPART_ARC
(28,27),-0.78849 # DEPENDENCYPART_ARC
(28,29),0.353381 # DEPENDENCYPART_ARC
(28,30),-0.57722 # DEPENDENCYPART_ARC
(28,31),-1.02021 # DEPENDENCYPART_ARC
(28,32),-1.29697 # DEPENDENCYPART_ARC
(28,33),-0.820358 # DEPENDENCYPART_ARC
(28,34),-1.20781 # DEPENDENCYPART_ARC
(28,37),-1.08863 # DEPENDENCYPART_ARC
(28,38),-1.20345 # DEPENDENCYPART_ARC
(28,39),-0.799315 # DEPENDENCYPART_ARC
(29,30),-0.487146 # DEPENDENCYPART_ARC
(30,25),-1.85257 # DEPENDENCYPART_ARC
(30,27),-1.63921 # DEPENDENCYPART_ARC
(30,28),-1.32603 # DEPENDENCYPART_ARC
(30,29),-0.148483 # DEPENDENCYPART_ARC
(30,31),-0.181763 # DEPENDENCYPART_ARC
(30,32),-1.11705 # DEPENDENCYPART_ARC
(30,33),-1.3686 # DEPENDENCYPART_ARC
(30,34),-1.47654 # DEPENDENCYPART_ARC
(30,38),-2.00494 # DEPENDENCYPART_ARC
(32,29),-1.72379 # DEPENDENCYPART_ARC
(32,30),-1.11868 # DEPENDENCYPART_ARC
(32,31),-0.305159 # DEPENDENCYPART_ARC
(32,34),-0.995233 # DEPENDENCYPART_ARC
(33,25),-1.80721 # DEPENDENCYPART_ARC
(33,27),-1.8558 # DEPENDENCYPART_ARC
(33,29),-0.417775 # DEPENDENCYPART_ARC
(33,30),-0.243018 # DEPENDENCYPART_ARC
(33,31),-0.755873 # DEPENDENCYPART_ARC
(33,32),1.3584 # DEPENDENCYPART_ARC
(33,34),0.60231 # DEPENDENCYPART_ARC
(33,35),-1.12741 # DEPENDENCYPART_ARC
(33,36),-1.02426 # DEPENDENCYPART_ARC
(33,37),-1.09973 # DEPENDENCYPART_ARC
(33,38),-1.31542 # DEPENDENCYPART_ARC
(33,39),-1.29668 # DEPENDENCYPART_ARC
(34,29),-2.3382 # DEPENDENCYPART_ARC
(34,32),-1.91198 # DEPENDENCYPART_ARC
(34,35),-0.111264 # DEPENDENCYPART_ARC
(34,36),-0.908879 # DEPENDENCYPART_ARC
(34,37),-0.490313 # DEPENDENCYPART_ARC
(34,38),-0.632562 # DEPENDENCYPART_ARC
(36,35),-0.344903 # DEPENDENCYPART_ARC
(36,37),-0.219791 # DEPENDENCYPART_ARC
(37,35),-0.904787 # DEPENDENCYPART_ARC
(37,36),-0.16766 # DEPENDENCYPART_ARC
(37,38),-0.662514 # DEPENDENCYPART_ARC
(38,2),-1.98524 # DEPENDENCYPART_ARC
(38,29),-1.84115 # DEPENDENCYPART_ARC
(38,30),-1.53303 # DEPENDENCYPART_ARC
(38,31),-1.78123 # DEPENDENCYPART_ARC
(38,32),-1.4425 # DEPENDENCYPART_ARC
(38,33),-0.750096 # DEPENDENCYPART_ARC
(38,34),-0.829874 # DEPENDENCYPART_ARC
(38,35),0.0627344 # DEPENDENCYPART_ARC
(38,36),0.299926 # DEPENDENCYPART_ARC
(38,37),1.75161 # DEPENDENCYPART_ARC
(0,1),(0,10),-0.0544516 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.051648 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0333608 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.099392 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.143274 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.0755233 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.203305 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.0761843 # DEPENDENCYPART_SIBL
(0,19),(0,24),-0.208952 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.105694 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.018774 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0193982 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0137907 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0100096 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0176895 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0178813 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0201995 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0109915 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0176915 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0185612 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0138309 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0153948 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0141351 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0318767 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.0124293 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.0121411 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.0243006 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.0709271 # DEPENDENCYPART_SIBL
(1,2),(1,25),-0.0164122 # DEPENDENCYPART_SIBL
(1,2),(1,26),0.023483 # DEPENDENCYPART_SIBL
(1,2),(1,27),-0.00343538 # DEPENDENCYPART_SIBL
(1,2),(1,28),-0.0153948 # DEPENDENCYPART_SIBL
(1,2),(1,39),-0.0301216 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0226284 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0371303 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0119361 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0419567 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0421638 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0447788 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0163436 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0419571 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0404901 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0310581 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.00881186 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0372506 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.029899 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.0149897 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0184064 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.0384871 # DEPENDENCYPART_SIBL
(1,3),(1,21),-0.0808405 # DEPENDENCYPART_SIBL
(1,3),(1,25),-0.0089548 # DEPENDENCYPART_SIBL
(1,3),(1,26),0.00924397 # DEPENDENCYPART_SIBL
(1,3),(1,27),-0.0282386 # DEPENDENCYPART_SIBL
(1,3),(1,28),0.00881186 # DEPENDENCYPART_SIBL
(1,3),(1,39),-0.0259641 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0481907 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0245747 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0387065 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0390196 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0412189 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0150162 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0387093 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0151333 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.045935 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.00516965 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0474994 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0197843 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.00685397 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.0162911 # DEPENDENCYPART_SIBL
(1,4),(1,20),-0.0419808 # DEPENDENCYPART_SIBL
(1,4),(1,21),-0.101063 # DEPENDENCYPART_SIBL
(1,4),(1,25),-0.0183228 # DEPENDENCYPART_SIBL
(1,4),(1,26),0.00218159 # DEPENDENCYPART_SIBL
(1,4),(1,27),0.024081 # DEPENDENCYPART_SIBL
(1,4),(1,28),-0.00516965 # DEPENDENCYPART_SIBL
(1,4),(1,39),-0.0408947 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0206017 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.022855 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0236011 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0255565 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0144158 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0224406 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0192623 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.0489536 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.00340972 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.0465487 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.000193267 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0129765 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.0176833 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.00720574 # DEPENDENCYPART_SIBL
(1,5),(1,21),-0.17392 # DEPENDENCYPART_SIBL
(1,5),(1,25),-0.000137032 # DEPENDENCYPART_SIBL
(1,5),(1,26),0.0341763 # DEPENDENCYPART_SIBL
(1,5),(1,27),-0.0123658 # DEPENDENCYPART_SIBL
(1,5),(1,28),-0.00340972 # DEPENDENCYPART_SIBL
(1,5),(1,39),-0.028191 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.00703653 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.000703158 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.00140001 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0405444 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.000224631 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.00348037 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.0091594 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.00313706 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.00680827 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.0155749 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.284989 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.0362808 # DEPENDENCYPART_SIBL
(1,6),(1,20),0.00581326 # DEPENDENCYPART_SIBL
