# _root_ Taped just as the market closed yesterday , it offers Ms. Farrell advising , `` We view the market here as going through a relatively normal cycle ... .
#goldHeads=10,3,1,5,6,3,6,10,10,0,12,10,12,13,13,17,13,19,17,17,17,21,22,27,26,27,23,10,10,
#predictedHeads=10,3,1,5,6,3,6,10,10,0,13,13,10,10,10,17,10,19,17,17,17,21,22,27,26,27,23,10,10,
(12,15),-1.88451 # DEPENDENCYPART_ARC
(12,17),-1.90469 # DEPENDENCYPART_ARC
(12,19),-2.22945 # DEPENDENCYPART_ARC
(13,1),-1.72994 # DEPENDENCYPART_ARC
(13,2),-1.84627 # DEPENDENCYPART_ARC
(13,3),-1.41482 # DEPENDENCYPART_ARC
(13,4),-1.27572 # DEPENDENCYPART_ARC
(13,5),-1.53155 # DEPENDENCYPART_ARC
(13,6),-1.47868 # DEPENDENCYPART_ARC
(13,7),-1.42475 # DEPENDENCYPART_ARC
(13,8),-1.64158 # DEPENDENCYPART_ARC
(13,9),-1.20243 # DEPENDENCYPART_ARC
(13,10),-0.782347 # DEPENDENCYPART_ARC
(13,11),0.517311 # DEPENDENCYPART_ARC
(13,12),1.75885 # DEPENDENCYPART_ARC
(13,14),-0.0218103 # DEPENDENCYPART_ARC
(13,15),-1.26438 # DEPENDENCYPART_ARC
(13,16),-1.52679 # DEPENDENCYPART_ARC
(13,17),-1.61798 # DEPENDENCYPART_ARC
(13,19),-1.73208 # DEPENDENCYPART_ARC
(13,20),-1.86325 # DEPENDENCYPART_ARC
(13,21),-1.97313 # DEPENDENCYPART_ARC
(13,22),-2.07953 # DEPENDENCYPART_ARC
(13,23),-2.03873 # DEPENDENCYPART_ARC
(13,27),-2.10336 # DEPENDENCYPART_ARC
(13,28),-1.58556 # DEPENDENCYPART_ARC
(13,29),-1.87308 # DEPENDENCYPART_ARC
(15,13),-1.79452 # DEPENDENCYPART_ARC
(15,14),-0.706848 # DEPENDENCYPART_ARC
(15,16),-0.434815 # DEPENDENCYPART_ARC
(15,17),-1.25087 # DEPENDENCYPART_ARC
(16,15),-0.644789 # DEPENDENCYPART_ARC
(16,19),-1.31012 # DEPENDENCYPART_ARC
(16,21),-1.54561 # DEPENDENCYPART_ARC
(17,1),-1.72665 # DEPENDENCYPART_ARC
(17,2),-1.54608 # DEPENDENCYPART_ARC
(17,3),-0.743315 # DEPENDENCYPART_ARC
(17,5),-1.47846 # DEPENDENCYPART_ARC
(17,6),-1.69337 # DEPENDENCYPART_ARC
(17,7),-1.28284 # DEPENDENCYPART_ARC
(17,8),-1.28067 # DEPENDENCYPART_ARC
(17,9),-1.81658 # DEPENDENCYPART_ARC
(17,10),-1.40589 # DEPENDENCYPART_ARC
(17,11),-1.52497 # DEPENDENCYPART_ARC
(17,12),-1.52512 # DEPENDENCYPART_ARC
(17,13),-1.08247 # DEPENDENCYPART_ARC
(17,14),-0.707756 # DEPENDENCYPART_ARC
(17,15),-0.59986 # DEPENDENCYPART_ARC
(17,16),0.941671 # DEPENDENCYPART_ARC
(17,18),0.59389 # DEPENDENCYPART_ARC
(17,19),0.191536 # DEPENDENCYPART_ARC
(17,20),-0.508349 # DEPENDENCYPART_ARC
(17,21),-0.335492 # DEPENDENCYPART_ARC
(17,22),-0.73491 # DEPENDENCYPART_ARC
(17,23),-0.746927 # DEPENDENCYPART_ARC
(17,24),-1.40184 # DEPENDENCYPART_ARC
(17,25),-1.27865 # DEPENDENCYPART_ARC
(17,26),-1.25799 # DEPENDENCYPART_ARC
(17,27),-1.18703 # DEPENDENCYPART_ARC
(17,28),-0.766739 # DEPENDENCYPART_ARC
(17,29),0.00390509 # DEPENDENCYPART_ARC
(19,15),-1.46448 # DEPENDENCYPART_ARC
(19,16),-1.51129 # DEPENDENCYPART_ARC
(19,18),1.39642 # DEPENDENCYPART_ARC
(19,20),-0.315122 # DEPENDENCYPART_ARC
(19,21),-0.958542 # DEPENDENCYPART_ARC
(19,22),-1.21485 # DEPENDENCYPART_ARC
(19,23),-1.24244 # DEPENDENCYPART_ARC
(19,25),-1.71672 # DEPENDENCYPART_ARC
(19,27),-1.76183 # DEPENDENCYPART_ARC
(19,28),-1.46428 # DEPENDENCYPART_ARC
(19,29),-1.62266 # DEPENDENCYPART_ARC
(20,1),-2.10043 # DEPENDENCYPART_ARC
(20,3),-1.78873 # DEPENDENCYPART_ARC
(20,15),-1.75474 # DEPENDENCYPART_ARC
(20,18),-1.19861 # DEPENDENCYPART_ARC
(20,19),-0.0862022 # DEPENDENCYPART_ARC
(20,21),-0.172629 # DEPENDENCYPART_ARC
(20,22),-1.15284 # DEPENDENCYPART_ARC
(20,23),-1.47898 # DEPENDENCYPART_ARC
(20,27),-2.0439 # DEPENDENCYPART_ARC
(21,2),-1.89466 # DEPENDENCYPART_ARC
(21,19),-1.54929 # DEPENDENCYPART_ARC
(21,20),-0.237445 # DEPENDENCYPART_ARC
(21,22),0.588057 # DEPENDENCYPART_ARC
(21,23),-0.969507 # DEPENDENCYPART_ARC
(21,24),-1.76362 # DEPENDENCYPART_ARC
(21,25),-1.68895 # DEPENDENCYPART_ARC
(21,26),-1.95456 # DEPENDENCYPART_ARC
(21,27),-1.80959 # DEPENDENCYPART_ARC
(21,28),-1.47138 # DEPENDENCYPART_ARC
(22,1),-2.55801 # DEPENDENCYPART_ARC
(22,19),-1.54114 # DEPENDENCYPART_ARC
(22,20),-1.62797 # DEPENDENCYPART_ARC
(22,21),-0.779541 # DEPENDENCYPART_ARC
(22,23),1.02384 # DEPENDENCYPART_ARC
(22,24),-0.902254 # DEPENDENCYPART_ARC
(22,25),-0.805603 # DEPENDENCYPART_ARC
(22,26),-1.11522 # DEPENDENCYPART_ARC
(22,27),-0.856344 # DEPENDENCYPART_ARC
(22,28),-1.11239 # DEPENDENCYPART_ARC
(23,19),-1.81023 # DEPENDENCYPART_ARC
(23,20),-1.63788 # DEPENDENCYPART_ARC
(23,21),-1.65233 # DEPENDENCYPART_ARC
(23,22),-0.880875 # DEPENDENCYPART_ARC
(23,24),-0.0107847 # DEPENDENCYPART_ARC
(23,25),-0.919374 # DEPENDENCYPART_ARC
(23,26),-1.34701 # DEPENDENCYPART_ARC
(23,27),-0.363212 # DEPENDENCYPART_ARC
(23,28),-1.25914 # DEPENDENCYPART_ARC
(23,29),-1.57251 # DEPENDENCYPART_ARC
(24,25),-0.412068 # DEPENDENCYPART_ARC
(24,26),-1.34095 # DEPENDENCYPART_ARC
(25,23),-1.51801 # DEPENDENCYPART_ARC
(25,24),-0.477541 # DEPENDENCYPART_ARC
(25,26),-0.117259 # DEPENDENCYPART_ARC
(25,27),-0.9325 # DEPENDENCYPART_ARC
(25,28),-1.21283 # DEPENDENCYPART_ARC
(26,24),-1.18819 # DEPENDENCYPART_ARC
(26,25),0.494548 # DEPENDENCYPART_ARC
(27,20),-1.80145 # DEPENDENCYPART_ARC
(27,22),-1.23169 # DEPENDENCYPART_ARC
(27,23),-1.17658 # DEPENDENCYPART_ARC
(27,24),0.057457 # DEPENDENCYPART_ARC
(27,25),-0.278877 # DEPENDENCYPART_ARC
(27,26),1.25694 # DEPENDENCYPART_ARC
(27,28),0.116559 # DEPENDENCYPART_ARC
(27,29),-1.1769 # DEPENDENCYPART_ARC
(28,26),-1.47954 # DEPENDENCYPART_ARC
(28,27),-0.494834 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0594612 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.064154 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0970291 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0901901 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0624602 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0810007 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.112234 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.116368 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0870871 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.143923 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.106665 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0888348 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.177492 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.133863 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.135952 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0519163 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0115468 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.007482 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0168931 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.032399 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0176419 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0421938 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.00995603 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.032399 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0054697 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.036072 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.0275004 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.0519163 # DEPENDENCYPART_SIBL
(1,2),(1,22),0.026613 # DEPENDENCYPART_SIBL
(1,2),(1,29),-0.0190058 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0285794 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0410646 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.03669 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.00248617 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0546784 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0355296 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0423696 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.00248617 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.00979602 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.0448862 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.0770039 # DEPENDENCYPART_SIBL
(1,3),(1,21),-0.113546 # DEPENDENCYPART_SIBL
(1,3),(1,22),-0.0295747 # DEPENDENCYPART_SIBL
(1,3),(1,29),0.0209006 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0119139 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.00722162 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0238013 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0212996 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0236826 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.0334555 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.0238013 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.00145458 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.0214956 # DEPENDENCYPART_SIBL
(1,5),(1,20),0.00887426 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.0313546 # DEPENDENCYPART_SIBL
(1,5),(1,22),0.0282822 # DEPENDENCYPART_SIBL
(1,5),(1,29),0.0510022 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0274395 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.00562783 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0278585 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0605142 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0485502 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.00562783 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0189779 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.0468439 # DEPENDENCYPART_SIBL
(1,6),(1,20),-0.0457556 # DEPENDENCYPART_SIBL
(1,6),(1,21),-0.0196445 # DEPENDENCYPART_SIBL
(1,6),(1,22),-0.0195985 # DEPENDENCYPART_SIBL
(1,6),(1,29),0.00585645 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0538869 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0140933 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.015818 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.0464904 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.0538869 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.0096435 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.0136494 # DEPENDENCYPART_SIBL
(1,7),(1,20),0.021228 # DEPENDENCYPART_SIBL
(1,7),(1,21),0.0874195 # DEPENDENCYPART_SIBL
(1,7),(1,22),0.0295436 # DEPENDENCYPART_SIBL
(1,7),(1,29),0.0637067 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.00131469 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.00663104 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.0040762 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.0347568 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0772624 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.0141969 # DEPENDENCYPART_SIBL
(1,8),(1,20),0.00439633 # DEPENDENCYPART_SIBL
(1,8),(1,21),0.0508095 # DEPENDENCYPART_SIBL
(1,8),(1,22),0.0977511 # DEPENDENCYPART_SIBL
(1,8),(1,29),0.0245109 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.00867849 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.036825 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.025717 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0267773 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.0179245 # DEPENDENCYPART_SIBL
(1,9),(1,20),0.00968928 # DEPENDENCYPART_SIBL
(1,9),(1,21),-0.0159096 # DEPENDENCYPART_SIBL
(1,9),(1,22),0.0648209 # DEPENDENCYPART_SIBL
(1,9),(1,29),0.0277818 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.0506126 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.0306417 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.0493352 # DEPENDENCYPART_SIBL
(1,10),(1,17),-0.0795982 # DEPENDENCYPART_SIBL
(1,10),(1,20),-0.0494329 # DEPENDENCYPART_SIBL
(1,10),(1,21),-0.0689428 # DEPENDENCYPART_SIBL
(1,10),(1,22),-0.0265189 # DEPENDENCYPART_SIBL
(1,10),(1,29),0.0166449 # DEPENDENCYPART_SIBL
(1,13),(1,14),-9.86933e-05 # DEPENDENCYPART_SIBL
(1,13),(1,15),-0.00776111 # DEPENDENCYPART_SIBL
(1,13),(1,17),-0.0306191 # DEPENDENCYPART_SIBL
(1,13),(1,20),-0.00113489 # DEPENDENCYPART_SIBL
(1,13),(1,21),0.0145441 # DEPENDENCYPART_SIBL
(1,13),(1,22),0.00294041 # DEPENDENCYPART_SIBL
(1,13),(1,29),0.0409201 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.0772624 # DEPENDENCYPART_SIBL
(1,14),(1,17),-0.0141969 # DEPENDENCYPART_SIBL
(1,14),(1,20),0.00439633 # DEPENDENCYPART_SIBL
(1,14),(1,21),0.0508095 # DEPENDENCYPART_SIBL
(1,14),(1,22),0.0977511 # DEPENDENCYPART_SIBL
(1,14),(1,29),0.0245109 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.021473 # DEPENDENCYPART_SIBL
(1,15),(1,20),-0.00863531 # DEPENDENCYPART_SIBL
(1,15),(1,21),0.00279184 # DEPENDENCYPART_SIBL
(1,15),(1,22),0.0162651 # DEPENDENCYPART_SIBL
(1,15),(1,29),0.0502227 # DEPENDENCYPART_SIBL
(1,17),(1,20),-0.0463047 # DEPENDENCYPART_SIBL
(1,17),(1,21),-0.0417508 # DEPENDENCYPART_SIBL
(1,17),(1,22),-0.0244238 # DEPENDENCYPART_SIBL
(1,17),(1,29),0.00902952 # DEPENDENCYPART_SIBL
(1,20),(1,21),0.00607762 # DEPENDENCYPART_SIBL
(1,20),(1,22),9.14895e-05 # DEPENDENCYPART_SIBL
(1,20),(1,29),0.0161498 # DEPENDENCYPART_SIBL
(1,21),(1,22),-0.0295747 # DEPENDENCYPART_SIBL
(1,21),(1,29),0.0209006 # DEPENDENCYPART_SIBL
(1,22),(1,29),-0.0058528 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0167473 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.014378 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00555152 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0104698 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.102049 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0427949 # DEPENDENCYPART_SIBL
(2,1),(2,29),0.0498469 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.095475 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00656499 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.12625 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0110372 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0324378 # DEPENDENCYPART_SIBL
(2,3),(2,29),0.0125294 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0500249 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.045747 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0184353 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.034596 # DEPENDENCYPART_SIBL
(2,5),(2,29),-0.0620759 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.00995605 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0385091 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.00833871 # DEPENDENCYPART_SIBL
(2,6),(2,29),0.0925719 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.00114594 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0419235 # DEPENDENCYPART_SIBL
(2,7),(2,29),-0.0683192 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0595388 # DEPENDENCYPART_SIBL
(2,8),(2,29),0.147355 # DEPENDENCYPART_SIBL
(2,10),(2,29),0.105357 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.052256 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0147181 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0886025 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00558372 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0673725 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0506452 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0215288 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0656213 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0506452 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0261999 # DEPENDENCYPART_SIBL
(3,1),(3,29),0.086571 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.017252 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0711638 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.180974 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0255716 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.128106 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.205031 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.00406783 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.128106 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0945059 # DEPENDENCYPART_SIBL
(3,2),(3,29),0.180665 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0943421 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0930354 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0929634 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0199758 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.104052 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0896535 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0199758 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0850482 # DEPENDENCYPART_SIBL
(3,4),(3,29),-0.135854 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.103749 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.139777 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00682157 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.098584 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.148904 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.00682157 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0789379 # DEPENDENCYPART_SIBL
(3,5),(3,29),-0.0675384 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0541659 # DEPENDENCYPART_SIBL
