# _root_ BMA 's investment banker , Alex . Brown & Sons Inc. , has been authorized to contact possible buyers for the unit .
#goldHeads=4,1,4,13,4,8,8,4,8,9,10,4,0,13,14,15,16,19,17,19,22,20,13,
#predictedHeads=4,1,4,13,4,8,8,4,8,9,10,4,0,13,14,15,16,19,17,19,22,20,13,
(8,15),-1.53676 # DEPENDENCYPART_ARC
(8,16),-1.60177 # DEPENDENCYPART_ARC
(8,19),-1.66397 # DEPENDENCYPART_ARC
(8,20),-1.71078 # DEPENDENCYPART_ARC
(8,22),-2.20411 # DEPENDENCYPART_ARC
(8,23),-1.73792 # DEPENDENCYPART_ARC
(9,10),0.161278 # DEPENDENCYPART_ARC
(9,11),-0.816016 # DEPENDENCYPART_ARC
(9,12),-0.913476 # DEPENDENCYPART_ARC
(9,13),-1.23459 # DEPENDENCYPART_ARC
(9,14),-1.5919 # DEPENDENCYPART_ARC
(9,15),-1.82017 # DEPENDENCYPART_ARC
(9,16),-1.77843 # DEPENDENCYPART_ARC
(9,19),-2.14437 # DEPENDENCYPART_ARC
(10,1),-3.33311 # DEPENDENCYPART_ARC
(10,6),-2.18296 # DEPENDENCYPART_ARC
(10,7),-1.75434 # DEPENDENCYPART_ARC
(10,8),-1.52792 # DEPENDENCYPART_ARC
(10,11),0.153558 # DEPENDENCYPART_ARC
(10,12),-0.983589 # DEPENDENCYPART_ARC
(10,13),-1.04213 # DEPENDENCYPART_ARC
(10,14),-1.56731 # DEPENDENCYPART_ARC
(10,15),-1.69712 # DEPENDENCYPART_ARC
(10,16),-1.82971 # DEPENDENCYPART_ARC
(10,19),-1.98712 # DEPENDENCYPART_ARC
(10,23),-1.81753 # DEPENDENCYPART_ARC
(11,4),-2.15542 # DEPENDENCYPART_ARC
(11,6),-1.77673 # DEPENDENCYPART_ARC
(11,7),-1.63074 # DEPENDENCYPART_ARC
(11,8),-1.60637 # DEPENDENCYPART_ARC
(11,10),0.79156 # DEPENDENCYPART_ARC
(11,12),-0.481604 # DEPENDENCYPART_ARC
(11,13),-1.48826 # DEPENDENCYPART_ARC
(11,14),-1.94278 # DEPENDENCYPART_ARC
(13,1),-1.25543 # DEPENDENCYPART_ARC
(13,3),-1.52002 # DEPENDENCYPART_ARC
(13,4),-1.44202 # DEPENDENCYPART_ARC
(13,5),-1.54919 # DEPENDENCYPART_ARC
(13,6),-1.43134 # DEPENDENCYPART_ARC
(13,7),-1.65793 # DEPENDENCYPART_ARC
(13,8),-1.31955 # DEPENDENCYPART_ARC
(13,9),-1.44527 # DEPENDENCYPART_ARC
(13,10),-0.982348 # DEPENDENCYPART_ARC
(13,11),-0.524587 # DEPENDENCYPART_ARC
(13,12),0.423342 # DEPENDENCYPART_ARC
(13,14),1.28858 # DEPENDENCYPART_ARC
(13,15),-0.0782237 # DEPENDENCYPART_ARC
(13,16),-0.852837 # DEPENDENCYPART_ARC
(13,17),-1.06858 # DEPENDENCYPART_ARC
(13,19),-1.39422 # DEPENDENCYPART_ARC
(13,20),-1.22655 # DEPENDENCYPART_ARC
(13,23),-0.0149027 # DEPENDENCYPART_ARC
(14,4),-1.73719 # DEPENDENCYPART_ARC
(14,5),-1.86908 # DEPENDENCYPART_ARC
(14,6),-1.92322 # DEPENDENCYPART_ARC
(14,7),-1.83881 # DEPENDENCYPART_ARC
(14,8),-1.80059 # DEPENDENCYPART_ARC
(14,10),-1.64571 # DEPENDENCYPART_ARC
(14,11),-1.44889 # DEPENDENCYPART_ARC
(14,13),-0.224475 # DEPENDENCYPART_ARC
(14,15),0.647367 # DEPENDENCYPART_ARC
(14,16),-0.584627 # DEPENDENCYPART_ARC
(14,17),-1.10554 # DEPENDENCYPART_ARC
(14,18),-1.30453 # DEPENDENCYPART_ARC
(14,19),-1.11541 # DEPENDENCYPART_ARC
(14,20),-1.00453 # DEPENDENCYPART_ARC
(14,22),-1.39883 # DEPENDENCYPART_ARC
(14,23),-1.51798 # DEPENDENCYPART_ARC
(15,4),-1.78378 # DEPENDENCYPART_ARC
(15,5),-1.78849 # DEPENDENCYPART_ARC
(15,6),-1.86619 # DEPENDENCYPART_ARC
(15,7),-1.81479 # DEPENDENCYPART_ARC
(15,8),-1.76185 # DEPENDENCYPART_ARC
(15,10),-1.67295 # DEPENDENCYPART_ARC
(15,11),-1.57156 # DEPENDENCYPART_ARC
(15,12),-1.43068 # DEPENDENCYPART_ARC
(15,13),-1.31037 # DEPENDENCYPART_ARC
(15,14),-0.443777 # DEPENDENCYPART_ARC
(15,16),0.657425 # DEPENDENCYPART_ARC
(15,17),-0.7046 # DEPENDENCYPART_ARC
(15,18),-1.04098 # DEPENDENCYPART_ARC
(15,19),-0.977395 # DEPENDENCYPART_ARC
(15,20),-0.953989 # DEPENDENCYPART_ARC
(15,22),-1.17685 # DEPENDENCYPART_ARC
(15,23),-1.4087 # DEPENDENCYPART_ARC
(16,8),-2.16047 # DEPENDENCYPART_ARC
(16,15),-0.489977 # DEPENDENCYPART_ARC
(16,17),1.02304 # DEPENDENCYPART_ARC
(16,18),-0.77576 # DEPENDENCYPART_ARC
(16,19),-0.659235 # DEPENDENCYPART_ARC
(16,20),-1.12027 # DEPENDENCYPART_ARC
(17,4),-1.90062 # DEPENDENCYPART_ARC
(17,18),0.315639 # DEPENDENCYPART_ARC
(17,19),0.0438918 # DEPENDENCYPART_ARC
(17,20),-0.384703 # DEPENDENCYPART_ARC
(17,22),-0.677913 # DEPENDENCYPART_ARC
(17,23),-1.02262 # DEPENDENCYPART_ARC
(18,20),-1.31439 # DEPENDENCYPART_ARC
(19,1),-2.07305 # DEPENDENCYPART_ARC
(19,6),-2.01067 # DEPENDENCYPART_ARC
(19,8),-2.07769 # DEPENDENCYPART_ARC
(19,10),-1.65331 # DEPENDENCYPART_ARC
(19,14),-1.1719 # DEPENDENCYPART_ARC
(19,15),-1.03758 # DEPENDENCYPART_ARC
(19,17),-0.530359 # DEPENDENCYPART_ARC
(19,18),1.47433 # DEPENDENCYPART_ARC
(19,20),0.240534 # DEPENDENCYPART_ARC
(19,22),-1.22328 # DEPENDENCYPART_ARC
(19,23),-1.59336 # DEPENDENCYPART_ARC
(20,19),-0.817622 # DEPENDENCYPART_ARC
(20,21),-0.153661 # DEPENDENCYPART_ARC
(20,22),0.364492 # DEPENDENCYPART_ARC
(20,23),-1.42622 # DEPENDENCYPART_ARC
(22,18),-1.2438 # DEPENDENCYPART_ARC
(22,19),-0.879892 # DEPENDENCYPART_ARC
(22,20),-0.674673 # DEPENDENCYPART_ARC
(22,21),1.41601 # DEPENDENCYPART_ARC
(0,4),(0,7),-0.0359836 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.132343 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0414009 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0383241 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0988455 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.018948 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0187932 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.105731 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.102676 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.127984 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0615729 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0532822 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0586788 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.019279 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0306939 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0129563 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.00267514 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0308824 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0586788 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.0306939 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.10132 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0227786 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.000205367 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0712658 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.00854133 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0273377 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0254951 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0227786 # DEPENDENCYPART_SIBL
(1,3),(1,23),0.0712658 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0435788 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00668437 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0948802 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.00165159 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0193496 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0186053 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0435788 # DEPENDENCYPART_SIBL
(1,4),(1,23),0.0948802 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0643309 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0267147 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.047012 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0426669 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.00781491 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0316677 # DEPENDENCYPART_SIBL
(1,5),(1,23),0.0267147 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0257108 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.024637 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0741591 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0654392 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.00447314 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.0257108 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.00233621 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0568613 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.00395406 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0330248 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.251873 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0777217 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0635909 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.00224574 # DEPENDENCYPART_SIBL
(1,8),(1,23),0.0204841 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0399785 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0487035 # DEPENDENCYPART_SIBL
(1,9),(1,23),-0.0556857 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0795601 # DEPENDENCYPART_SIBL
(1,11),(1,23),0.113374 # DEPENDENCYPART_SIBL
(1,12),(1,23),0.0267147 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0155146 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00042514 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0320816 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.00042514 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00446034 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0283504 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.00446034 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0212691 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.025528 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.00628183 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0101624 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0729521 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0898015 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0684285 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0094419 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0743238 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00208866 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0680075 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.173989 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0898015 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.014566 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.00510932 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.00144043 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.10283 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.115404 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.0206871 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.0094419 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0431774 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00670558 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0257869 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.137167 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0284836 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.010138 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0257795 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0220819 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00670558 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.000414296 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0582509 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.027828 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0461043 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.00173761 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0394997 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.137167 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.124906 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0729309 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0150702 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0727756 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0683764 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0727861 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0842195 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.124906 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.00946139 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0783958 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0314914 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.178019 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0452714 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.00493385 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.0150702 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0529441 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0145387 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0425269 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0443282 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0535134 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.00652727 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0855923 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0551728 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0736343 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.071913 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0279337 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0299321 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.0535397 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.0145387 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00669803 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0358469 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0353125 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0383581 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0426188 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0304329 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.000103073 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0334036 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0313638 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.00722471 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0700797 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0559336 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.00669803 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00702974 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0154108 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00783924 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.00842387 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0189349 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.000668422 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0238483 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0190532 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.00670907 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0482851 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.0189355 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.272931 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0317174 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0318443 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0361051 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.038051 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.00370887 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0293097 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0272699 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.00376432 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0652954 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0527034 # DEPENDENCYPART_SIBL
(4,8),(4,23),-0.004879 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0108028 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.00280709 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0518566 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0191755 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0183081 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0141355 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0351029 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0555998 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0311718 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.056855 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.043385 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0297227 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.000119729 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0341418 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.032102 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0046395 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.0723989 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0559595 # DEPENDENCYPART_SIBL
(4,10),(4,23),-0.0115097 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.00270299 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.00655123 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0545127 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0524731 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0387497 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.113126 # DEPENDENCYPART_SIBL
(4,11),(4,22),-0.0402574 # DEPENDENCYPART_SIBL
(4,11),(4,23),0.00209365 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0551728 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.0736343 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.071913 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.0279337 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.0299321 # DEPENDENCYPART_SIBL
(4,12),(4,22),0.0535397 # DEPENDENCYPART_SIBL
(4,12),(4,23),0.0145387 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0331134 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0337369 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.00658452 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.00164528 # DEPENDENCYPART_SIBL
(4,13),(4,22),-0.00271233 # DEPENDENCYPART_SIBL
(4,13),(4,23),0.0618397 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0827584 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0135467 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.0218269 # DEPENDENCYPART_SIBL
(4,14),(4,22),-0.0466216 # DEPENDENCYPART_SIBL
(4,14),(4,23),0.00911423 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.00286695 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.0042417 # DEPENDENCYPART_SIBL
(4,15),(4,22),-0.0501822 # DEPENDENCYPART_SIBL
(4,15),(4,23),-0.0112885 # DEPENDENCYPART_SIBL
(4,16),(4,20),-0.0168134 # DEPENDENCYPART_SIBL
(4,16),(4,22),0.0365655 # DEPENDENCYPART_SIBL
(4,16),(4,23),0.0476431 # DEPENDENCYPART_SIBL
(4,20),(4,22),0.0490032 # DEPENDENCYPART_SIBL
(4,20),(4,23),0.120297 # DEPENDENCYPART_SIBL
(4,22),(4,23),0.000181563 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.144702 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.143671 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0680129 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0587989 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0368251 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0881978 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0244038 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.340734 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0656012 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0853152 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00510937 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0446769 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0358857 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.039742 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0232102 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.165846 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0580591 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.00633151 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0733588 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0186069 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0514995 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00593139 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.152722 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0179008 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.142297 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.111107 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.34775 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.120544 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0126081 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.05847 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00775715 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0596037 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.00857046 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0113063 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0426858 # DEPENDENCYPART_SIBL
