# _root_ Similarly , Agfa is sponsoring scores of photography contests at high schools and colleges , offering free black-and-white film and paper as prizes .
#goldHeads=4,4,4,0,4,5,6,9,7,9,12,10,12,13,5,5,19,19,16,19,20,16,22,4,
#predictedHeads=4,4,4,0,4,5,6,9,7,5,12,10,12,13,5,5,19,19,16,19,20,16,22,4,
(7,13),-1.57284 # DEPENDENCYPART_ARC
(7,14),-2.16014 # DEPENDENCYPART_ARC
(7,16),-1.76643 # DEPENDENCYPART_ARC
(8,10),-1.33048 # DEPENDENCYPART_ARC
(8,12),-1.51381 # DEPENDENCYPART_ARC
(8,13),-1.81353 # DEPENDENCYPART_ARC
(9,1),-2.15634 # DEPENDENCYPART_ARC
(9,2),-2.12951 # DEPENDENCYPART_ARC
(9,3),-1.39896 # DEPENDENCYPART_ARC
(9,5),-1.33963 # DEPENDENCYPART_ARC
(9,6),-0.896767 # DEPENDENCYPART_ARC
(9,7),-0.66577 # DEPENDENCYPART_ARC
(9,8),1.89583 # DEPENDENCYPART_ARC
(9,10),0.107989 # DEPENDENCYPART_ARC
(9,11),-1.16415 # DEPENDENCYPART_ARC
(9,12),-1.13114 # DEPENDENCYPART_ARC
(9,13),-1.26631 # DEPENDENCYPART_ARC
(9,14),-1.53621 # DEPENDENCYPART_ARC
(9,15),-1.41064 # DEPENDENCYPART_ARC
(9,16),-1.59956 # DEPENDENCYPART_ARC
(9,17),-1.83033 # DEPENDENCYPART_ARC
(9,19),-1.99385 # DEPENDENCYPART_ARC
(9,20),-1.93184 # DEPENDENCYPART_ARC
(9,22),-1.80102 # DEPENDENCYPART_ARC
(9,24),-2.27046 # DEPENDENCYPART_ARC
(10,1),-2.12329 # DEPENDENCYPART_ARC
(10,7),-1.4149 # DEPENDENCYPART_ARC
(10,9),-0.806736 # DEPENDENCYPART_ARC
(10,11),-0.178669 # DEPENDENCYPART_ARC
(10,12),0.213519 # DEPENDENCYPART_ARC
(10,13),-1.26704 # DEPENDENCYPART_ARC
(10,14),-0.724726 # DEPENDENCYPART_ARC
(10,15),-1.51667 # DEPENDENCYPART_ARC
(10,16),-1.71164 # DEPENDENCYPART_ARC
(10,19),-1.41782 # DEPENDENCYPART_ARC
(10,24),-1.98867 # DEPENDENCYPART_ARC
(11,13),-1.33554 # DEPENDENCYPART_ARC
(12,3),-1.6037 # DEPENDENCYPART_ARC
(12,7),-1.39822 # DEPENDENCYPART_ARC
(12,8),-0.560715 # DEPENDENCYPART_ARC
(12,9),-0.851764 # DEPENDENCYPART_ARC
(12,10),-0.732267 # DEPENDENCYPART_ARC
(12,11),1.25629 # DEPENDENCYPART_ARC
(12,13),0.68019 # DEPENDENCYPART_ARC
(12,14),-0.75454 # DEPENDENCYPART_ARC
(12,15),-0.91964 # DEPENDENCYPART_ARC
(12,16),-1.1467 # DEPENDENCYPART_ARC
(12,17),-1.38337 # DEPENDENCYPART_ARC
(12,18),-1.52131 # DEPENDENCYPART_ARC
(12,19),-1.64984 # DEPENDENCYPART_ARC
(12,20),-1.64323 # DEPENDENCYPART_ARC
(12,21),-1.85675 # DEPENDENCYPART_ARC
(12,22),-1.41635 # DEPENDENCYPART_ARC
(12,23),-1.85335 # DEPENDENCYPART_ARC
(12,24),-1.91133 # DEPENDENCYPART_ARC
(13,14),0.983942 # DEPENDENCYPART_ARC
(13,15),-0.77471 # DEPENDENCYPART_ARC
(13,16),-1.32095 # DEPENDENCYPART_ARC
(13,17),-1.60611 # DEPENDENCYPART_ARC
(13,18),-1.71988 # DEPENDENCYPART_ARC
(13,19),-1.7626 # DEPENDENCYPART_ARC
(13,21),-1.75974 # DEPENDENCYPART_ARC
(13,23),-2.31698 # DEPENDENCYPART_ARC
(14,11),-1.2135 # DEPENDENCYPART_ARC
(14,12),-1.10313 # DEPENDENCYPART_ARC
(14,15),0.0397151 # DEPENDENCYPART_ARC
(14,16),-1.19751 # DEPENDENCYPART_ARC
(14,17),-1.47633 # DEPENDENCYPART_ARC
(14,18),-1.68883 # DEPENDENCYPART_ARC
(14,19),-1.69195 # DEPENDENCYPART_ARC
(14,20),-1.90662 # DEPENDENCYPART_ARC
(14,21),-2.01887 # DEPENDENCYPART_ARC
(14,22),-1.69523 # DEPENDENCYPART_ARC
(14,23),-1.90478 # DEPENDENCYPART_ARC
(16,1),-2.57358 # DEPENDENCYPART_ARC
(16,10),-1.74429 # DEPENDENCYPART_ARC
(16,12),-1.64426 # DEPENDENCYPART_ARC
(16,13),-1.62604 # DEPENDENCYPART_ARC
(16,14),-1.66153 # DEPENDENCYPART_ARC
(16,15),-0.432092 # DEPENDENCYPART_ARC
(16,17),0.617414 # DEPENDENCYPART_ARC
(16,18),-0.263693 # DEPENDENCYPART_ARC
(16,19),-0.0606355 # DEPENDENCYPART_ARC
(16,20),-0.760698 # DEPENDENCYPART_ARC
(16,21),-0.43024 # DEPENDENCYPART_ARC
(16,22),-0.595455 # DEPENDENCYPART_ARC
(16,23),-0.680601 # DEPENDENCYPART_ARC
(16,24),-1.29199 # DEPENDENCYPART_ARC
(17,18),-0.299655 # DEPENDENCYPART_ARC
(17,19),-0.92853 # DEPENDENCYPART_ARC
(17,20),-1.24771 # DEPENDENCYPART_ARC
(17,21),-1.41074 # DEPENDENCYPART_ARC
(17,23),-1.60251 # DEPENDENCYPART_ARC
(18,17),0.195506 # DEPENDENCYPART_ARC
(18,20),-1.21497 # DEPENDENCYPART_ARC
(18,21),-1.50923 # DEPENDENCYPART_ARC
(19,10),-1.75661 # DEPENDENCYPART_ARC
(19,11),-1.16056 # DEPENDENCYPART_ARC
(19,12),-1.46845 # DEPENDENCYPART_ARC
(19,14),-1.11257 # DEPENDENCYPART_ARC
(19,15),-1.58392 # DEPENDENCYPART_ARC
(19,16),-0.877289 # DEPENDENCYPART_ARC
(19,17),0.215773 # DEPENDENCYPART_ARC
(19,18),1.5332 # DEPENDENCYPART_ARC
(19,20),0.710897 # DEPENDENCYPART_ARC
(19,21),-0.965483 # DEPENDENCYPART_ARC
(19,22),-0.742229 # DEPENDENCYPART_ARC
(19,23),-1.03541 # DEPENDENCYPART_ARC
(19,24),-1.39607 # DEPENDENCYPART_ARC
(20,21),1.12184 # DEPENDENCYPART_ARC
(20,22),-0.660795 # DEPENDENCYPART_ARC
(20,23),-1.44758 # DEPENDENCYPART_ARC
(21,17),-1.22845 # DEPENDENCYPART_ARC
(21,18),-0.997158 # DEPENDENCYPART_ARC
(21,19),-0.901873 # DEPENDENCYPART_ARC
(21,22),-0.19153 # DEPENDENCYPART_ARC
(21,23),-1.1124 # DEPENDENCYPART_ARC
(22,21),-0.675094 # DEPENDENCYPART_ARC
(22,23),0.851463 # DEPENDENCYPART_ARC
(22,24),-1.23559 # DEPENDENCYPART_ARC
(23,17),-1.77434 # DEPENDENCYPART_ARC
(23,18),-1.55378 # DEPENDENCYPART_ARC
(23,19),-1.66926 # DEPENDENCYPART_ARC
(23,21),-0.970748 # DEPENDENCYPART_ARC
(23,22),-0.146048 # DEPENDENCYPART_ARC
(23,24),-0.349225 # DEPENDENCYPART_ARC
(24,23),-0.838861 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0152394 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.130738 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.114144 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0526939 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0798052 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0701321 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0734604 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0445956 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.00404616 # DEPENDENCYPART_SIBL
(1,2),(1,24),0.194493 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.000891747 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0257584 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0155226 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0231644 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0185369 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.0121418 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0056268 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0324066 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0674071 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.031051 # DEPENDENCYPART_SIBL
(1,4),(1,24),0.135264 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.00530958 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0607265 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.00610977 # DEPENDENCYPART_SIBL
(1,5),(1,24),0.0417209 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.013107 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0021172 # DEPENDENCYPART_SIBL
(1,6),(1,24),0.0224115 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.00284034 # DEPENDENCYPART_SIBL
(1,7),(1,24),-0.000510925 # DEPENDENCYPART_SIBL
(1,10),(1,24),-0.0162605 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0062919 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0250541 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0336574 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0527591 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0184674 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0337993 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.114445 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.116857 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00860432 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0395649 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0437024 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0585414 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0359533 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0325992 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0025629 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.056921 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0642188 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00730537 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0491022 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.00283764 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0104937 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0219592 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0576206 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0104937 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.0566645 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00365467 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0565087 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0388956 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.147544 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0215331 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0372519 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0407385 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.038481 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0506505 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0264223 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0103363 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0506505 # DEPENDENCYPART_SIBL
(4,2),(4,24),0.0377392 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0388315 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0710242 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.109894 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00390347 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0705007 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0624862 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0740711 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0115365 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0338317 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0338718 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0115365 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.00623956 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0938737 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.138188 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0759311 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0971537 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.121557 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0973445 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0513333 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0336057 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.12515 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0513333 # DEPENDENCYPART_SIBL
(4,5),(4,24),0.00081736 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0631003 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0414704 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.136461 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0134351 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.136716 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0356388 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.00876304 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0084155 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0356388 # DEPENDENCYPART_SIBL
(4,6),(4,24),-0.0605834 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0545181 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0163921 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0265213 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0165988 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0605322 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.000454701 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0359372 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0605322 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.0166399 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0940836 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.045925 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0942802 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.013433 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.00115871 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0354042 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.013433 # DEPENDENCYPART_SIBL
(4,8),(4,24),0.0102215 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0195988 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.13896 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0298411 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.00248201 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.00777465 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0298411 # DEPENDENCYPART_SIBL
(4,9),(4,24),-0.059485 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0283281 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0183911 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0756221 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.0069193 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0183911 # DEPENDENCYPART_SIBL
(4,10),(4,24),0.000187215 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0297064 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.00598725 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.00804702 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.0297064 # DEPENDENCYPART_SIBL
(4,12),(4,24),-0.0618267 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.014956 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.0086731 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.622981 # DEPENDENCYPART_SIBL
(4,13),(4,24),0.0140565 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.0844085 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.046922 # DEPENDENCYPART_SIBL
(4,15),(4,24),0.000254243 # DEPENDENCYPART_SIBL
(4,16),(4,20),0.0396019 # DEPENDENCYPART_SIBL
(4,16),(4,24),0.00016559 # DEPENDENCYPART_SIBL
(4,20),(4,24),0.0140565 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.00143533 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0132256 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0356313 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0214978 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0273052 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0392316 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0365327 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.00877492 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0349269 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0982767 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0392316 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.017993 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0366462 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0982767 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.0541243 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00269187 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00882413 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0269048 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0115803 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00681204 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.018587 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0171089 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.00757075 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0391412 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.00875994 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.172084 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0165336 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0391412 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.00308569 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.000225026 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.031462 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0475206 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0011106 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0303191 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.00790159 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.00179802 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.129488 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.00118003 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0338726 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0068521 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.129488 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.0310635 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00486152 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00758196 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0792426 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0441426 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0115304 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0792835 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0210595 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0792426 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0171933 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0919483 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.0210595 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.000962717 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0104019 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0198838 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.050661 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.036179 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0198765 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.00678962 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0215337 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0102841 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0177986 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.00678962 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.0467515 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.074245 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0257831 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.00468897 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0742275 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.00144931 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0743445 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.00517098 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.028513 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.00144931 # DEPENDENCYPART_SIBL
(5,8),(5,22),0.00551002 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.045547 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0146325 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0761814 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.028354 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0761405 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0228645 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0999597 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.028354 # DEPENDENCYPART_SIBL
(5,9),(5,22),0.000441713 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0298587 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0266629 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.061571 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0274955 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0690983 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0696573 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.061571 # DEPENDENCYPART_SIBL
(5,10),(5,22),-0.0526644 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0360254 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.00772213 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0364005 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0502228 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.0194003 # DEPENDENCYPART_SIBL
(5,11),(5,20),0.00772213 # DEPENDENCYPART_SIBL
(5,11),(5,22),0.0124931 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0355605 # DEPENDENCYPART_SIBL
