# _root_ Texas Air Corp. , which owns Continental , and the Air Transport Association were prominent in the lobbying .
#goldHeads=2,14,2,2,6,2,6,2,2,13,13,13,9,0,14,15,18,16,14,
#predictedHeads=2,14,2,2,6,2,6,2,2,13,13,13,9,0,14,15,18,16,14,
(3,5),-1.60769 # DEPENDENCYPART_ARC
(3,6),-1.19137 # DEPENDENCYPART_ARC
(3,7),-2.14009 # DEPENDENCYPART_ARC
(3,8),-1.70678 # DEPENDENCYPART_ARC
(3,9),-2.38829 # DEPENDENCYPART_ARC
(3,13),-3.24324 # DEPENDENCYPART_ARC
(3,14),-2.20434 # DEPENDENCYPART_ARC
(3,19),-2.5954 # DEPENDENCYPART_ARC
(4,6),-1.21963 # DEPENDENCYPART_ARC
(5,2),-1.72683 # DEPENDENCYPART_ARC
(5,4),-0.482768 # DEPENDENCYPART_ARC
(5,6),-0.0907623 # DEPENDENCYPART_ARC
(5,7),-1.39446 # DEPENDENCYPART_ARC
(5,8),-1.47821 # DEPENDENCYPART_ARC
(5,9),-1.71806 # DEPENDENCYPART_ARC
(6,1),-1.92191 # DEPENDENCYPART_ARC
(6,2),-1.86965 # DEPENDENCYPART_ARC
(6,3),-1.77609 # DEPENDENCYPART_ARC
(6,4),-1.07753 # DEPENDENCYPART_ARC
(6,5),0.578077 # DEPENDENCYPART_ARC
(6,7),0.334134 # DEPENDENCYPART_ARC
(6,8),-0.914851 # DEPENDENCYPART_ARC
(6,9),-1.17238 # DEPENDENCYPART_ARC
(6,11),-1.55191 # DEPENDENCYPART_ARC
(6,12),-1.85957 # DEPENDENCYPART_ARC
(6,13),-1.90977 # DEPENDENCYPART_ARC
(6,14),-1.6774 # DEPENDENCYPART_ARC
(6,15),-1.80512 # DEPENDENCYPART_ARC
(6,16),-1.76581 # DEPENDENCYPART_ARC
(6,17),-2.14755 # DEPENDENCYPART_ARC
(6,18),-1.74132 # DEPENDENCYPART_ARC
(6,19),-0.575526 # DEPENDENCYPART_ARC
(7,1),-2.18338 # DEPENDENCYPART_ARC
(7,2),-1.66915 # DEPENDENCYPART_ARC
(7,3),-1.79573 # DEPENDENCYPART_ARC
(7,4),-1.64424 # DEPENDENCYPART_ARC
(7,5),-1.13935 # DEPENDENCYPART_ARC
(7,6),-0.0179352 # DEPENDENCYPART_ARC
(7,8),-0.119929 # DEPENDENCYPART_ARC
(7,9),-1.34274 # DEPENDENCYPART_ARC
(7,12),-2.54085 # DEPENDENCYPART_ARC
(7,13),-2.8016 # DEPENDENCYPART_ARC
(7,14),-1.92544 # DEPENDENCYPART_ARC
(7,15),-2.27505 # DEPENDENCYPART_ARC
(7,16),-2.28968 # DEPENDENCYPART_ARC
(7,17),-2.17551 # DEPENDENCYPART_ARC
(7,18),-2.36792 # DEPENDENCYPART_ARC
(7,19),-2.32054 # DEPENDENCYPART_ARC
(8,7),-0.445609 # DEPENDENCYPART_ARC
(8,9),-0.23853 # DEPENDENCYPART_ARC
(9,7),-1.44903 # DEPENDENCYPART_ARC
(9,8),-0.685935 # DEPENDENCYPART_ARC
(9,10),0.127644 # DEPENDENCYPART_ARC
(9,11),-0.860539 # DEPENDENCYPART_ARC
(9,12),-1.54437 # DEPENDENCYPART_ARC
(9,13),-1.57888 # DEPENDENCYPART_ARC
(9,14),-0.837288 # DEPENDENCYPART_ARC
(9,15),-1.80449 # DEPENDENCYPART_ARC
(9,16),-1.75612 # DEPENDENCYPART_ARC
(9,17),-2.01467 # DEPENDENCYPART_ARC
(9,18),-1.61498 # DEPENDENCYPART_ARC
(9,19),-1.24614 # DEPENDENCYPART_ARC
(10,11),-0.639594 # DEPENDENCYPART_ARC
(11,10),-0.81299 # DEPENDENCYPART_ARC
(11,12),-0.926393 # DEPENDENCYPART_ARC
(11,15),-2.16432 # DEPENDENCYPART_ARC
(12,7),-2.80852 # DEPENDENCYPART_ARC
(12,8),-2.73034 # DEPENDENCYPART_ARC
(12,10),-1.42192 # DEPENDENCYPART_ARC
(12,11),-0.274508 # DEPENDENCYPART_ARC
(12,13),-0.405113 # DEPENDENCYPART_ARC
(12,14),-1.68574 # DEPENDENCYPART_ARC
(12,15),-1.94848 # DEPENDENCYPART_ARC
(12,16),-2.30165 # DEPENDENCYPART_ARC
(13,1),-2.48299 # DEPENDENCYPART_ARC
(13,2),-2.47709 # DEPENDENCYPART_ARC
(13,3),-2.74112 # DEPENDENCYPART_ARC
(13,4),-2.47384 # DEPENDENCYPART_ARC
(13,5),-2.16036 # DEPENDENCYPART_ARC
(13,6),-1.69334 # DEPENDENCYPART_ARC
(13,7),-2.09157 # DEPENDENCYPART_ARC
(13,8),-1.81476 # DEPENDENCYPART_ARC
(13,9),-1.39523 # DEPENDENCYPART_ARC
(13,10),-0.291156 # DEPENDENCYPART_ARC
(13,11),0.336331 # DEPENDENCYPART_ARC
(13,12),1.32014 # DEPENDENCYPART_ARC
(13,14),-0.51052 # DEPENDENCYPART_ARC
(13,15),-1.36316 # DEPENDENCYPART_ARC
(13,16),-1.66195 # DEPENDENCYPART_ARC
(13,17),-2.00553 # DEPENDENCYPART_ARC
(13,18),-2.04717 # DEPENDENCYPART_ARC
(13,19),-1.8919 # DEPENDENCYPART_ARC
(14,1),-1.46639 # DEPENDENCYPART_ARC
(14,2),-1.5832 # DEPENDENCYPART_ARC
(14,3),-1.79997 # DEPENDENCYPART_ARC
(14,4),-1.96613 # DEPENDENCYPART_ARC
(14,5),-1.44764 # DEPENDENCYPART_ARC
(14,6),-1.69655 # DEPENDENCYPART_ARC
(14,7),-1.45047 # DEPENDENCYPART_ARC
(14,8),-1.46754 # DEPENDENCYPART_ARC
(14,9),-1.32178 # DEPENDENCYPART_ARC
(14,10),-1.50597 # DEPENDENCYPART_ARC
(14,11),-1.16382 # DEPENDENCYPART_ARC
(14,12),-0.910876 # DEPENDENCYPART_ARC
(14,13),0.131728 # DEPENDENCYPART_ARC
(14,15),0.893184 # DEPENDENCYPART_ARC
(14,16),0.095097 # DEPENDENCYPART_ARC
(14,17),-0.979092 # DEPENDENCYPART_ARC
(14,18),-0.644427 # DEPENDENCYPART_ARC
(14,19),-0.28472 # DEPENDENCYPART_ARC
(15,2),-1.92168 # DEPENDENCYPART_ARC
(15,10),-1.7039 # DEPENDENCYPART_ARC
(15,12),-1.29111 # DEPENDENCYPART_ARC
(15,13),-1.01029 # DEPENDENCYPART_ARC
(15,16),0.338341 # DEPENDENCYPART_ARC
(15,17),-1.04271 # DEPENDENCYPART_ARC
(15,18),-0.965807 # DEPENDENCYPART_ARC
(15,19),-1.2599 # DEPENDENCYPART_ARC
(16,13),-1.95829 # DEPENDENCYPART_ARC
(16,15),-0.878021 # DEPENDENCYPART_ARC
(16,17),0.0856332 # DEPENDENCYPART_ARC
(16,18),-0.331292 # DEPENDENCYPART_ARC
(16,19),-0.888822 # DEPENDENCYPART_ARC
(17,16),-0.873627 # DEPENDENCYPART_ARC
(17,18),-0.390751 # DEPENDENCYPART_ARC
(18,2),-1.97518 # DEPENDENCYPART_ARC
(18,5),-1.7239 # DEPENDENCYPART_ARC
(18,6),-1.74909 # DEPENDENCYPART_ARC
(18,13),-1.70347 # DEPENDENCYPART_ARC
(18,15),-1.50351 # DEPENDENCYPART_ARC
(18,16),-1.23297 # DEPENDENCYPART_ARC
(18,17),-0.0889145 # DEPENDENCYPART_ARC
(18,19),-0.279635 # DEPENDENCYPART_ARC
(19,17),-1.7604 # DEPENDENCYPART_ARC
(19,18),-0.6742 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0580686 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0763934 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.101077 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0296051 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.132173 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0723698 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0982889 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0267283 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.130828 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0990814 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.0066668 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.141764 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0368983 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.186743 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0853893 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0900316 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0283399 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.00619828 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0256127 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0283399 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0233626 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.131988 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.100994 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0883887 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.131988 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.142912 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00618107 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0382542 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0225538 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.00786453 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0121424 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0424187 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0210222 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0260473 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0198758 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.00786453 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.296328 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0781749 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00146891 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0443854 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0585592 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0781749 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.123077 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00748933 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0238396 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0144601 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.021876 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0349857 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0075138 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0808693 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.00748933 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0455772 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0636636 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.14172 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0331797 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0942872 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0829626 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.14172 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.122949 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0678193 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0810316 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0780581 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0883684 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0281411 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0537091 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0570648 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0678193 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0261461 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.201784 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0608117 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0454011 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0761617 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.063281 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.032192 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0155333 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0723948 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0621696 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0857758 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.041989 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0452614 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0346032 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0155333 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.00280365 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0343622 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0154563 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.00134796 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0169389 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0517025 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.00977271 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.00262524 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.00617817 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.00281113 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0150517 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.00722099 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.00252567 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.00977271 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.02861 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.00017925 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0146181 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0746279 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0137876 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0224196 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.015483 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.00978785 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0186608 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.00628278 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0344338 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0319723 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0224196 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.00397487 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.118991 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0123234 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0384737 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.017178 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0327162 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0356295 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.025379 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0483413 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0317369 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0427069 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.017178 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.059567 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.0129746 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.032192 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0155333 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0723948 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0621696 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0857758 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.041989 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0452614 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0346032 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0155333 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.00280365 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.0343622 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.00328575 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0310492 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0328055 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0263799 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0541821 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0043919 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0642022 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.00328575 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0309001 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.053034 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.00102605 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.00458858 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.00441063 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0112873 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0742794 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.00374397 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0121757 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.00908638 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.00514986 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0337658 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0235116 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0474324 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0315833 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0312028 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0170266 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0573546 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0106393 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0188919 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0433325 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0274812 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0385792 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.0129391 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.0553119 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.0161104 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0567128 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.0408345 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0499165 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.0262719 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0698686 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.00652537 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0168999 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0162411 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.00728444 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.0416393 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.0252089 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.030245 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.00780709 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.0332131 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.0432567 # DEPENDENCYPART_SIBL
(2,16),(2,17),-0.0274691 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.0281096 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.0325967 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.00908638 # DEPENDENCYPART_SIBL
(2,17),(2,19),-0.00514986 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0885989 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0875821 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0515968 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0446736 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0713414 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0552741 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0515968 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.159588 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0251922 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.078101 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0311362 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.151984 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0658147 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0902711 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0967731 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.151984 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.176965 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0155102 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0873133 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.00854963 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0992852 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0027901 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0255132 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.046274 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0156951 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0159335 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.00429648 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0141474 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0204759 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0253045 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.022693 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0403158 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0211626 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0164777 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.00305169 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0124355 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.107928 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0226402 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.00840993 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0102516 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.113227 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.100738 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0260646 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.00213279 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.00141924 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.0738358 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0156951 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0159335 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.00429648 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.0141474 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0378857 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0653175 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0463852 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.00980593 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0543206 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.0209716 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0127913 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00402583 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0226674 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0500801 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.051223 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0181763 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0141502 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.137904 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.108022 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0220319 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.00336836 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.010033 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.00270437 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0011981 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0165964 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0754881 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0916924 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0104754 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0929838 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.00085882 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0389028 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0474553 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.015294 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0138924 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0264493 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0270907 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0273909 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.00873336 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0715109 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0028428 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.0290743 # DEPENDENCYPART_SIBL
