# _root_ Slated for market by the end of the year , the paper `` could have been introduced a long time ago but the market was n't there then , '' says an Agfa spokesman .
#goldHeads=14,1,2,1,6,4,6,9,7,1,12,14,14,31,14,15,16,20,20,21,17,14,24,25,22,25,25,25,14,14,0,34,34,31,31,
#predictedHeads=14,1,2,1,6,4,6,9,7,14,12,14,14,31,14,15,16,20,20,17,17,14,24,25,22,25,25,27,31,31,0,34,34,31,31,
(33,32),-0.191835 # DEPENDENCYPART_ARC
(34,27),-1.85493 # DEPENDENCYPART_ARC
(34,28),-1.81287 # DEPENDENCYPART_ARC
(34,29),-1.63798 # DEPENDENCYPART_ARC
(34,30),-1.28248 # DEPENDENCYPART_ARC
(34,31),-0.886256 # DEPENDENCYPART_ARC
(34,32),0.486937 # DEPENDENCYPART_ARC
(34,33),1.65565 # DEPENDENCYPART_ARC
(0,1),(0,14),-0.0430115 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.115735 # DEPENDENCYPART_SIBL
(0,1),(0,31),-0.117318 # DEPENDENCYPART_SIBL
(0,14),(0,25),-0.17517 # DEPENDENCYPART_SIBL
(0,14),(0,31),-0.161235 # DEPENDENCYPART_SIBL
(0,25),(0,31),-0.210779 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0093281 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0447185 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.031235 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.139725 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0306375 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0322632 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0900408 # DEPENDENCYPART_SIBL
(1,2),(1,35),-0.00466721 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0430692 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0283703 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0350643 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0143123 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0202346 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.0139187 # DEPENDENCYPART_SIBL
(1,3),(1,35),0.054717 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0121469 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0540631 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0362379 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.00829688 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0106243 # DEPENDENCYPART_SIBL
(1,4),(1,35),-0.0375631 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0643344 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0280181 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0157015 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.00312515 # DEPENDENCYPART_SIBL
(1,6),(1,35),0.0660261 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0478495 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0882608 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0743227 # DEPENDENCYPART_SIBL
(1,7),(1,35),-0.0756381 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.00170875 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.00875858 # DEPENDENCYPART_SIBL
(1,9),(1,35),0.0437194 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.0493795 # DEPENDENCYPART_SIBL
(1,10),(1,35),0.0196664 # DEPENDENCYPART_SIBL
(1,16),(1,35),0.0473688 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.115412 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0140572 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0838115 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0215632 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0930132 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.176996 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0509999 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0539918 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00948335 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0626629 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.02548 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0467097 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.000507093 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0212297 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0260349 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0239376 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.00335989 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.106651 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0420363 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.012401 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00650983 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0647825 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0250784 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0268933 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00031284 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.00625173 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0284821 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0123187 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0222206 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0389077 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.00956165 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0200056 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0243255 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0306966 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.000892262 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0209198 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.00321816 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0235518 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00622931 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0761758 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00954222 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0216084 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.018556 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0231209 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0544109 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0767098 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0101827 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0582087 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0425292 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0439017 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0656846 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.105321 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00981826 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0606165 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0130902 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0659701 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0200068 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.10917 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0711635 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0661914 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.107152 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0418368 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0251853 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0114344 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0995811 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0112196 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0218832 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.00141629 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0419833 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.11317 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0181417 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0218814 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0546449 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0147924 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.00835691 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.00568822 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0458165 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0246499 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.00649302 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.0294369 # DEPENDENCYPART_SIBL
(6,1),(6,35),0.0702116 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0524736 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0582737 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.022234 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0244185 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00733471 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0905957 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.043943 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0426485 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0177398 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0301472 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.00389961 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0157562 # DEPENDENCYPART_SIBL
(6,2),(6,22),0.0061836 # DEPENDENCYPART_SIBL
(6,2),(6,35),0.0419826 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0324581 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.172491 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.00497538 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0213992 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0324349 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00339953 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0424564 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.00497354 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.049052 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.018235 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.0074553 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.0756376 # DEPENDENCYPART_SIBL
(6,3),(6,35),0.00571043 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.016478 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.028479 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.016935 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0799218 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0316633 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0306524 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.00222484 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0397555 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.00652595 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.00668058 # DEPENDENCYPART_SIBL
(6,4),(6,22),0.0278269 # DEPENDENCYPART_SIBL
(6,4),(6,35),0.0520958 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.201056 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0799658 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0556687 # DEPENDENCYPART_SIBL
