# _root_ UAL , the takeover stock at the center of Friday 's 190.58-point market plunge , fell 56 7\/8 to 222 7\/8 on nearly 2.3 million shares .
#goldHeads=16,1,5,5,1,5,8,6,8,14,10,14,14,9,1,0,18,16,16,21,19,16,26,23,23,22,16,
#predictedHeads=16,1,5,5,1,5,8,6,8,14,10,14,14,9,1,0,18,16,16,21,19,16,26,23,23,22,16,
(13,11),-1.32605 # DEPENDENCYPART_ARC
(13,12),-0.0541477 # DEPENDENCYPART_ARC
(13,14),-0.696579 # DEPENDENCYPART_ARC
(14,1),-2.31508 # DEPENDENCYPART_ARC
(14,4),-1.22659 # DEPENDENCYPART_ARC
(14,5),-1.80742 # DEPENDENCYPART_ARC
(14,6),-1.29435 # DEPENDENCYPART_ARC
(14,7),-1.75469 # DEPENDENCYPART_ARC
(14,8),-1.21236 # DEPENDENCYPART_ARC
(14,9),-0.971771 # DEPENDENCYPART_ARC
(14,10),0.0271226 # DEPENDENCYPART_ARC
(14,11),-0.792949 # DEPENDENCYPART_ARC
(14,12),0.253619 # DEPENDENCYPART_ARC
(14,13),1.7524 # DEPENDENCYPART_ARC
(14,15),-0.0765511 # DEPENDENCYPART_ARC
(14,16),-1.3858 # DEPENDENCYPART_ARC
(14,17),-1.5078 # DEPENDENCYPART_ARC
(14,18),-1.74969 # DEPENDENCYPART_ARC
(14,19),-1.8044 # DEPENDENCYPART_ARC
(14,20),-2.03065 # DEPENDENCYPART_ARC
(14,22),-1.74388 # DEPENDENCYPART_ARC
(14,23),-2.02759 # DEPENDENCYPART_ARC
(14,27),-2.00453 # DEPENDENCYPART_ARC
(16,1),-1.08457 # DEPENDENCYPART_ARC
(16,2),-1.30088 # DEPENDENCYPART_ARC
(16,4),-1.19463 # DEPENDENCYPART_ARC
(16,5),-1.11997 # DEPENDENCYPART_ARC
(16,6),-1.14871 # DEPENDENCYPART_ARC
(16,8),-0.96342 # DEPENDENCYPART_ARC
(16,9),-1.13343 # DEPENDENCYPART_ARC
(16,10),-1.28152 # DEPENDENCYPART_ARC
(16,11),-1.43089 # DEPENDENCYPART_ARC
(16,12),-1.29166 # DEPENDENCYPART_ARC
(16,13),-0.906478 # DEPENDENCYPART_ARC
(16,14),-0.813937 # DEPENDENCYPART_ARC
(16,15),0.409707 # DEPENDENCYPART_ARC
(16,17),0.725302 # DEPENDENCYPART_ARC
(16,18),-0.0503525 # DEPENDENCYPART_ARC
(16,19),0.336274 # DEPENDENCYPART_ARC
(16,20),-1.03588 # DEPENDENCYPART_ARC
(16,21),-1.06796 # DEPENDENCYPART_ARC
(16,22),0.166087 # DEPENDENCYPART_ARC
(16,23),-0.891533 # DEPENDENCYPART_ARC
(16,24),-1.50585 # DEPENDENCYPART_ARC
(16,25),-1.43419 # DEPENDENCYPART_ARC
(16,26),-1.09282 # DEPENDENCYPART_ARC
(16,27),0.659362 # DEPENDENCYPART_ARC
(17,18),-0.704794 # DEPENDENCYPART_ARC
(17,19),-1.41303 # DEPENDENCYPART_ARC
(17,20),-1.81009 # DEPENDENCYPART_ARC
(17,21),-2.15645 # DEPENDENCYPART_ARC
(17,22),-1.74572 # DEPENDENCYPART_ARC
(17,23),-1.69205 # DEPENDENCYPART_ARC
(18,1),-2.42394 # DEPENDENCYPART_ARC
(18,6),-1.87972 # DEPENDENCYPART_ARC
(18,9),-1.51171 # DEPENDENCYPART_ARC
(18,14),-1.58683 # DEPENDENCYPART_ARC
(18,15),-1.37353 # DEPENDENCYPART_ARC
(18,17),0.955881 # DEPENDENCYPART_ARC
(18,19),-0.325536 # DEPENDENCYPART_ARC
(18,20),-1.29931 # DEPENDENCYPART_ARC
(18,21),-1.68615 # DEPENDENCYPART_ARC
(19,1),-2.56114 # DEPENDENCYPART_ARC
(19,14),-2.25624 # DEPENDENCYPART_ARC
(19,17),-1.79503 # DEPENDENCYPART_ARC
(19,18),-0.701051 # DEPENDENCYPART_ARC
(19,20),-0.502502 # DEPENDENCYPART_ARC
(19,21),-0.976949 # DEPENDENCYPART_ARC
(19,22),-1.2452 # DEPENDENCYPART_ARC
(19,23),-1.75371 # DEPENDENCYPART_ARC
(19,24),-2.14284 # DEPENDENCYPART_ARC
(19,25),-2.32441 # DEPENDENCYPART_ARC
(19,26),-2.46055 # DEPENDENCYPART_ARC
(20,17),-1.47732 # DEPENDENCYPART_ARC
(20,18),-1.2041 # DEPENDENCYPART_ARC
(20,19),-0.420991 # DEPENDENCYPART_ARC
(20,21),-0.701069 # DEPENDENCYPART_ARC
(20,22),-1.39214 # DEPENDENCYPART_ARC
(20,23),-1.40154 # DEPENDENCYPART_ARC
(20,25),-2.24962 # DEPENDENCYPART_ARC
(21,1),-2.37978 # DEPENDENCYPART_ARC
(21,6),-1.87149 # DEPENDENCYPART_ARC
(21,17),-0.97252 # DEPENDENCYPART_ARC
(21,18),-1.00421 # DEPENDENCYPART_ARC
(21,19),-1.02032 # DEPENDENCYPART_ARC
(21,20),0.936292 # DEPENDENCYPART_ARC
(21,22),-0.184003 # DEPENDENCYPART_ARC
(21,23),-1.0511 # DEPENDENCYPART_ARC
(21,24),-1.5338 # DEPENDENCYPART_ARC
(21,25),-1.79972 # DEPENDENCYPART_ARC
(21,26),-1.60016 # DEPENDENCYPART_ARC
(22,19),-1.58491 # DEPENDENCYPART_ARC
(22,20),-1.86169 # DEPENDENCYPART_ARC
(22,21),-0.819995 # DEPENDENCYPART_ARC
(22,23),-0.160718 # DEPENDENCYPART_ARC
(22,24),-0.909406 # DEPENDENCYPART_ARC
(22,25),-1.62947 # DEPENDENCYPART_ARC
(22,26),-0.604987 # DEPENDENCYPART_ARC
(23,21),-2.14012 # DEPENDENCYPART_ARC
(23,22),-0.623802 # DEPENDENCYPART_ARC
(23,24),0.926549 # DEPENDENCYPART_ARC
(23,25),0.0226248 # DEPENDENCYPART_ARC
(23,26),-0.871599 # DEPENDENCYPART_ARC
(24,20),-1.83723 # DEPENDENCYPART_ARC
(24,21),-1.77832 # DEPENDENCYPART_ARC
(24,23),-0.564637 # DEPENDENCYPART_ARC
(24,25),-0.663468 # DEPENDENCYPART_ARC
(24,26),-1.3407 # DEPENDENCYPART_ARC
(25,6),-2.25881 # DEPENDENCYPART_ARC
(25,17),-1.76908 # DEPENDENCYPART_ARC
(25,18),-1.86661 # DEPENDENCYPART_ARC
(25,19),-1.77736 # DEPENDENCYPART_ARC
(25,20),-1.31844 # DEPENDENCYPART_ARC
(25,21),-1.52845 # DEPENDENCYPART_ARC
(25,22),-1.21389 # DEPENDENCYPART_ARC
(25,23),-1.32782 # DEPENDENCYPART_ARC
(25,24),0.391524 # DEPENDENCYPART_ARC
(25,26),-0.566732 # DEPENDENCYPART_ARC
(26,6),-1.55346 # DEPENDENCYPART_ARC
(26,9),-1.2585 # DEPENDENCYPART_ARC
(26,12),-1.84909 # DEPENDENCYPART_ARC
(26,18),-1.99615 # DEPENDENCYPART_ARC
(26,20),-1.85511 # DEPENDENCYPART_ARC
(26,21),-1.30015 # DEPENDENCYPART_ARC
(26,23),-0.257349 # DEPENDENCYPART_ARC
(26,24),-0.183669 # DEPENDENCYPART_ARC
(26,25),1.26301 # DEPENDENCYPART_ARC
(27,26),-0.847788 # DEPENDENCYPART_ARC
(0,1),(0,5),-0.0613222 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.132441 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.129186 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0391254 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0965581 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.10725 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0240969 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0871107 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.062059 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0129894 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0941295 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.121641 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.0719766 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.0373838 # DEPENDENCYPART_SIBL
(1,2),(1,26),0.104009 # DEPENDENCYPART_SIBL
(1,2),(1,27),0.0587487 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00266201 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.00398606 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00213317 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.00477564 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.00140291 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.00380113 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.00185063 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.04042 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.00103533 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.00054635 # DEPENDENCYPART_SIBL
(1,3),(1,26),0.0389731 # DEPENDENCYPART_SIBL
(1,3),(1,27),-0.00475451 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0889293 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0257183 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0917108 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.000926573 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.00610736 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0950725 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0734647 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0118428 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0419346 # DEPENDENCYPART_SIBL
(1,4),(1,26),-0.0055066 # DEPENDENCYPART_SIBL
(1,4),(1,27),0.0883233 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0370554 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0853261 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.00262362 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.00806175 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0886878 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.107369 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.012046 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.040305 # DEPENDENCYPART_SIBL
(1,5),(1,26),-0.00814644 # DEPENDENCYPART_SIBL
(1,5),(1,27),0.0930375 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0337335 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0288867 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.00241749 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.0274457 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0541558 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.0309875 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.022767 # DEPENDENCYPART_SIBL
(1,6),(1,26),0.0159445 # DEPENDENCYPART_SIBL
(1,6),(1,27),0.0596478 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.015909 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0087372 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.0920186 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0797189 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.0117951 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.0393158 # DEPENDENCYPART_SIBL
(1,8),(1,26),-0.00454011 # DEPENDENCYPART_SIBL
(1,8),(1,27),0.0876295 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.115596 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.125915 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.057599 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.0163548 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.014531 # DEPENDENCYPART_SIBL
(1,9),(1,26),0.0902131 # DEPENDENCYPART_SIBL
(1,9),(1,27),0.0620745 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.0516513 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.0260969 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.0180796 # DEPENDENCYPART_SIBL
(1,11),(1,18),-0.0186869 # DEPENDENCYPART_SIBL
(1,11),(1,26),-0.00470369 # DEPENDENCYPART_SIBL
(1,11),(1,27),-0.030939 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.0744201 # DEPENDENCYPART_SIBL
(1,14),(1,16),-0.0147505 # DEPENDENCYPART_SIBL
(1,14),(1,18),-0.0422583 # DEPENDENCYPART_SIBL
(1,14),(1,26),-0.0058236 # DEPENDENCYPART_SIBL
(1,14),(1,27),0.0948637 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.0719766 # DEPENDENCYPART_SIBL
(1,15),(1,18),0.0373838 # DEPENDENCYPART_SIBL
(1,15),(1,26),0.104009 # DEPENDENCYPART_SIBL
(1,15),(1,27),0.0587487 # DEPENDENCYPART_SIBL
(1,16),(1,18),-0.0492289 # DEPENDENCYPART_SIBL
(1,16),(1,26),-0.0089581 # DEPENDENCYPART_SIBL
(1,16),(1,27),0.00402957 # DEPENDENCYPART_SIBL
(1,18),(1,26),-0.0064317 # DEPENDENCYPART_SIBL
(1,18),(1,27),-0.00218261 # DEPENDENCYPART_SIBL
(1,26),(1,27),0.0965373 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0125859 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00845594 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0556164 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0203996 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0349785 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.327628 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0354201 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0432755 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0261856 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0394892 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0140211 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.00512976 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.025144 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0109022 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0162853 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0120124 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0285931 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0440132 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.1668 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.09742 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.213707 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0806129 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.184198 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.109705 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0607035 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0596717 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.160993 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.155287 # DEPENDENCYPART_SIBL
(5,1),(5,27),-0.0603054 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00235152 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0508625 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0473925 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.017839 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0583681 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.283326 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0257227 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.00548961 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0495769 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.0379759 # DEPENDENCYPART_SIBL
(5,2),(5,27),0.0604215 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0982048 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0205997 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.034581 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.373235 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.588905 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0408988 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.103103 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.125761 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.00457846 # DEPENDENCYPART_SIBL
(5,3),(5,27),-0.0226209 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0270886 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.018838 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.00771585 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0696504 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.00969826 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0521639 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.165992 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.0126943 # DEPENDENCYPART_SIBL
(5,4),(5,27),-0.0184268 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0478148 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.097224 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0821372 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0455705 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.023717 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0422005 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.0400916 # DEPENDENCYPART_SIBL
(5,6),(5,27),0.0553714 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.00507095 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0220289 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0368551 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.000656056 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.0184311 # DEPENDENCYPART_SIBL
(5,8),(5,22),0.0150135 # DEPENDENCYPART_SIBL
(5,8),(5,27),-0.00405304 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0309518 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.00193687 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.00512613 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.114256 # DEPENDENCYPART_SIBL
(5,9),(5,22),-0.00194573 # DEPENDENCYPART_SIBL
(5,9),(5,27),-0.0111191 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0437072 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0758841 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.0198384 # DEPENDENCYPART_SIBL
(5,11),(5,22),0.0902542 # DEPENDENCYPART_SIBL
(5,11),(5,27),-0.0707335 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.00492844 # DEPENDENCYPART_SIBL
(5,14),(5,19),-0.0237 # DEPENDENCYPART_SIBL
(5,14),(5,22),0.0240668 # DEPENDENCYPART_SIBL
(5,14),(5,27),0.00880693 # DEPENDENCYPART_SIBL
(5,15),(5,19),0.00726851 # DEPENDENCYPART_SIBL
(5,15),(5,22),0.00552203 # DEPENDENCYPART_SIBL
(5,15),(5,27),-0.0135377 # DEPENDENCYPART_SIBL
(5,19),(5,22),0.0678734 # DEPENDENCYPART_SIBL
(5,19),(5,27),0.0467831 # DEPENDENCYPART_SIBL
(5,22),(5,27),0.0902314 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0181718 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0190025 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0566649 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0269457 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0848199 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.00871889 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0638674 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0370154 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.00333448 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.021602 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0439822 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0416322 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0459811 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00363197 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0415343 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0133723 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.750307 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0854382 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00731119 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0779731 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0302396 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0586616 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0256558 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.00339785 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0790567 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0140946 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0715879 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0805226 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0750381 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0115495 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0202676 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0846638 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.162874 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.150996 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.000285135 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0258089 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.105215 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.101041 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0265318 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.145994 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.146642 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0430399 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.150106 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.00618778 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.00648368 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.119051 # DEPENDENCYPART_SIBL
