# _root_ Federal National Mortgage Association , a recently hot stock , climbed 4 to 124 on nearly 1.6 million shares .
#goldHeads=4,4,4,11,4,9,8,9,4,4,0,11,11,13,11,19,16,16,15,11,
#predictedHeads=4,4,4,11,4,9,8,9,4,4,0,11,11,13,11,19,16,16,15,11,
(11,13),0.668395 # DEPENDENCYPART_ARC
(11,14),-0.770266 # DEPENDENCYPART_ARC
(11,15),0.0574245 # DEPENDENCYPART_ARC
(11,16),-0.723731 # DEPENDENCYPART_ARC
(11,17),-1.33678 # DEPENDENCYPART_ARC
(11,18),-1.33198 # DEPENDENCYPART_ARC
(11,19),-0.956858 # DEPENDENCYPART_ARC
(11,20),0.550392 # DEPENDENCYPART_ARC
(12,4),-2.30952 # DEPENDENCYPART_ARC
(12,7),-1.87211 # DEPENDENCYPART_ARC
(12,9),-1.54358 # DEPENDENCYPART_ARC
(12,10),-1.3826 # DEPENDENCYPART_ARC
(12,13),-0.331925 # DEPENDENCYPART_ARC
(12,14),-1.36163 # DEPENDENCYPART_ARC
(12,15),-1.34023 # DEPENDENCYPART_ARC
(12,16),-1.47658 # DEPENDENCYPART_ARC
(13,4),-2.45328 # DEPENDENCYPART_ARC
(13,7),-2.22116 # DEPENDENCYPART_ARC
(13,9),-2.07052 # DEPENDENCYPART_ARC
(13,10),-1.64845 # DEPENDENCYPART_ARC
(13,12),-0.628443 # DEPENDENCYPART_ARC
(13,14),-0.158486 # DEPENDENCYPART_ARC
(13,15),-1.00605 # DEPENDENCYPART_ARC
(13,16),-1.48835 # DEPENDENCYPART_ARC
(13,17),-2.00271 # DEPENDENCYPART_ARC
(13,18),-2.08098 # DEPENDENCYPART_ARC
(13,19),-2.27178 # DEPENDENCYPART_ARC
(14,4),-2.31441 # DEPENDENCYPART_ARC
(14,7),-1.99355 # DEPENDENCYPART_ARC
(14,9),-1.84916 # DEPENDENCYPART_ARC
(14,12),-0.827241 # DEPENDENCYPART_ARC
(14,13),-0.0203834 # DEPENDENCYPART_ARC
(14,15),-0.262332 # DEPENDENCYPART_ARC
(14,16),-1.15031 # DEPENDENCYPART_ARC
(14,17),-1.66124 # DEPENDENCYPART_ARC
(14,18),-1.93631 # DEPENDENCYPART_ARC
(14,19),-1.71411 # DEPENDENCYPART_ARC
(15,13),-1.63896 # DEPENDENCYPART_ARC
(15,14),-0.763074 # DEPENDENCYPART_ARC
(15,16),-0.100806 # DEPENDENCYPART_ARC
(15,17),-0.853365 # DEPENDENCYPART_ARC
(15,18),-1.56955 # DEPENDENCYPART_ARC
(15,19),-0.545076 # DEPENDENCYPART_ARC
(16,15),-0.596412 # DEPENDENCYPART_ARC
(16,17),0.908111 # DEPENDENCYPART_ARC
(16,18),0.015609 # DEPENDENCYPART_ARC
(16,19),-0.878615 # DEPENDENCYPART_ARC
(16,20),-1.28181 # DEPENDENCYPART_ARC
(17,12),-2.10841 # DEPENDENCYPART_ARC
(17,13),-2.156 # DEPENDENCYPART_ARC
(17,14),-1.70663 # DEPENDENCYPART_ARC
(17,15),-1.56602 # DEPENDENCYPART_ARC
(17,16),-0.565177 # DEPENDENCYPART_ARC
(17,18),-0.669472 # DEPENDENCYPART_ARC
(17,19),-1.34417 # DEPENDENCYPART_ARC
(18,12),-1.70007 # DEPENDENCYPART_ARC
(18,13),-1.72555 # DEPENDENCYPART_ARC
(18,14),-1.38102 # DEPENDENCYPART_ARC
(18,15),-1.21363 # DEPENDENCYPART_ARC
(18,16),-1.32756 # DEPENDENCYPART_ARC
(18,17),0.43348 # DEPENDENCYPART_ARC
(18,19),-0.581411 # DEPENDENCYPART_ARC
(19,6),-1.80002 # DEPENDENCYPART_ARC
(19,7),-1.42519 # DEPENDENCYPART_ARC
(19,8),-1.76771 # DEPENDENCYPART_ARC
(19,12),-1.74072 # DEPENDENCYPART_ARC
(19,14),-1.33433 # DEPENDENCYPART_ARC
(19,16),-0.257349 # DEPENDENCYPART_ARC
(19,17),-0.217837 # DEPENDENCYPART_ARC
(19,18),1.26301 # DEPENDENCYPART_ARC
(19,20),-0.404307 # DEPENDENCYPART_ARC
(20,19),-0.847788 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.0552709 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.132868 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.131703 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0244203 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0135029 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0307939 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0135029 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00685957 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0289337 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.00685957 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0817673 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0317762 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.042958 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0384253 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0165581 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0799038 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0566561 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0799038 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0072831 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0475762 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.00903504 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0475762 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0399693 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.022329 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0399693 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0964253 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0879685 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0917592 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.127953 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0450441 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0449805 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.065555 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0096473 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0543567 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0449805 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0774262 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00846487 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0796948 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0433039 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00176519 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0503667 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0796948 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0695111 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.000743306 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0291251 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0351697 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0492456 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.000743306 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0388115 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0585324 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0464553 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0639161 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0446159 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.00427701 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.00569837 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0388545 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0155812 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.00912273 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0238507 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0127297 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.0132861 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0582971 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.0523392 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.00427701 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0937512 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.127455 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0157605 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00546535 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0605992 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00459349 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0377478 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0157605 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0360391 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0451556 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0711467 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0216778 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0117931 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0583858 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0213635 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0764477 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.106663 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.102844 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0553672 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.023636 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0684559 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0152414 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0649951 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0553672 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0690214 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0245256 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0106951 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00104859 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.109047 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0661193 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.00073071 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0974863 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.131105 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0413969 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0102267 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0523902 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0101022 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0542518 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0413969 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0616501 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.03606 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0385604 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.012583 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0770077 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0500536 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0122651 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0951853 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.122396 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0169613 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0501527 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0319394 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.052981 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0504648 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0192655 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0221082 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.00953099 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0106751 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0367525 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0579454 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.00639964 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.0740805 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.036608 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00137642 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0255079 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0119853 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.00909188 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.002462 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.00433811 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.00195683 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.00268142 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0139333 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.00817102 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0044047 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0333899 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.0529082 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00508069 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0484119 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0265594 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0192294 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.014506 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0334558 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.01195 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0154818 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.00409779 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0220601 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.061476 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0555971 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0139123 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0243466 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0380906 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0387259 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0043755 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0404081 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.00317265 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.00590068 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0459964 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.00870911 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.0601425 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0730023 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.015509 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0434705 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0128604 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0443729 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0314826 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.00878544 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0538856 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.00815875 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.105157 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0192655 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0221082 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.00953099 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0106751 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0367525 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.0579454 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.00639964 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.0740805 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.036608 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0386082 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0231473 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0403124 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0221038 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0153528 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.048296 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.00429269 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.0176498 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0162999 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.00818689 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.00638776 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.02573 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.021543 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.0041702 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.00109324 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0394601 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.0291441 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.00720216 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.0814621 # DEPENDENCYPART_SIBL
(4,13),(4,19),0.0195482 # DEPENDENCYPART_SIBL
(4,13),(4,20),0.0556587 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.00461012 # DEPENDENCYPART_SIBL
(4,14),(4,16),0.020165 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.023135 # DEPENDENCYPART_SIBL
(4,14),(4,19),0.00286991 # DEPENDENCYPART_SIBL
(4,14),(4,20),0.00197302 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.0462062 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.0314442 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.0701777 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.132885 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.0158499 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.0613162 # DEPENDENCYPART_SIBL
(4,16),(4,20),0.0254204 # DEPENDENCYPART_SIBL
(4,18),(4,19),-0.00271567 # DEPENDENCYPART_SIBL
(4,18),(4,20),-0.000833015 # DEPENDENCYPART_SIBL
(4,19),(4,20),0.117933 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.039109 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00361076 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0258204 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0515965 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0510201 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00423415 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0126525 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0126632 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.00101138 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.464016 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.000357152 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.015663 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.00644178 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.0140364 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0314294 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.0167908 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.00911599 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0725574 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0335124 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0948022 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.00183934 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0269834 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.000795423 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.0287016 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.022519 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0065196 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0229654 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.00864259 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0327394 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0741169 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0241618 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.053947 # DEPENDENCYPART_SIBL
(7,8),(7,18),0.00871189 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0216766 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0335541 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0796419 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.00888911 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0694845 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.0201703 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0381906 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0855008 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.00503035 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0174237 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.0111338 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.0375757 # DEPENDENCYPART_SIBL
(7,10),(7,18),0.0351565 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.00999454 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.0285573 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.00143962 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.0330032 # DEPENDENCYPART_SIBL
(7,11),(7,18),0.0312107 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.0106255 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.00189077 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.022578 # DEPENDENCYPART_SIBL
(7,12),(7,18),0.101811 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.127846 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.0543174 # DEPENDENCYPART_SIBL
(7,13),(7,18),0.220336 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.0199126 # DEPENDENCYPART_SIBL
(7,14),(7,18),0.0947235 # DEPENDENCYPART_SIBL
(7,15),(7,18),0.0724638 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.121767 # DEPENDENCYPART_SIBL
