# _root_ The multibillion-dollar prospects , where the bidder must line up a consortium of banks and / or issue billions in high-yield debt , were where the damage was concentrated .
#goldHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,9,15,15,15,18,19,22,20,3,0,29,27,28,24,28,24,
#predictedHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,8,15,16,19,15,12,22,20,3,0,29,27,28,24,28,24,
(5,10),-1.36252 # DEPENDENCYPART_ARC
(5,12),-1.50664 # DEPENDENCYPART_ARC
(5,15),-1.3906 # DEPENDENCYPART_ARC
(6,5),-1.02737 # DEPENDENCYPART_ARC
(7,1),-2.00262 # DEPENDENCYPART_ARC
(7,2),-1.5589 # DEPENDENCYPART_ARC
(7,3),-1.45319 # DEPENDENCYPART_ARC
(7,4),-1.75472 # DEPENDENCYPART_ARC
(7,5),-1.04569 # DEPENDENCYPART_ARC
(7,6),1.04118 # DEPENDENCYPART_ARC
(7,8),-0.682244 # DEPENDENCYPART_ARC
(7,9),-1.30479 # DEPENDENCYPART_ARC
(7,10),-1.3972 # DEPENDENCYPART_ARC
(7,12),-1.67004 # DEPENDENCYPART_ARC
(7,13),-1.57104 # DEPENDENCYPART_ARC
(7,15),-1.83814 # DEPENDENCYPART_ARC
(8,1),-1.69888 # DEPENDENCYPART_ARC
(8,2),-1.53002 # DEPENDENCYPART_ARC
(8,3),-1.08706 # DEPENDENCYPART_ARC
(8,4),-1.1902 # DEPENDENCYPART_ARC
(8,5),-0.619957 # DEPENDENCYPART_ARC
(8,6),-0.853288 # DEPENDENCYPART_ARC
(8,7),0.820864 # DEPENDENCYPART_ARC
(8,9),1.27292 # DEPENDENCYPART_ARC
(8,10),-0.658483 # DEPENDENCYPART_ARC
(8,12),-1.10899 # DEPENDENCYPART_ARC
(8,13),-1.2228 # DEPENDENCYPART_ARC
(8,14),-1.52221 # DEPENDENCYPART_ARC
(8,15),-1.20325 # DEPENDENCYPART_ARC
(8,16),-1.27492 # DEPENDENCYPART_ARC
(8,17),-1.3038 # DEPENDENCYPART_ARC
(8,23),-1.52763 # DEPENDENCYPART_ARC
(8,30),-0.0280982 # DEPENDENCYPART_ARC
(9,3),-1.33638 # DEPENDENCYPART_ARC
(9,4),-1.59793 # DEPENDENCYPART_ARC
(9,5),-0.524208 # DEPENDENCYPART_ARC
(9,6),-1.17774 # DEPENDENCYPART_ARC
(9,7),-1.17774 # DEPENDENCYPART_ARC
(9,8),-0.331274 # DEPENDENCYPART_ARC
(9,10),0.846315 # DEPENDENCYPART_ARC
(9,11),-0.759318 # DEPENDENCYPART_ARC
(9,12),-0.019007 # DEPENDENCYPART_ARC
(9,13),-0.720034 # DEPENDENCYPART_ARC
(9,14),-0.819185 # DEPENDENCYPART_ARC
(9,15),-1.02459 # DEPENDENCYPART_ARC
(9,16),-1.11793 # DEPENDENCYPART_ARC
(9,17),-1.2608 # DEPENDENCYPART_ARC
(9,18),-1.09899 # DEPENDENCYPART_ARC
(9,19),-1.31711 # DEPENDENCYPART_ARC
(9,20),-1.02181 # DEPENDENCYPART_ARC
(9,21),-1.69504 # DEPENDENCYPART_ARC
(9,22),-1.43683 # DEPENDENCYPART_ARC
(9,23),-1.22447 # DEPENDENCYPART_ARC
(9,24),-1.62295 # DEPENDENCYPART_ARC
(9,25),-1.8773 # DEPENDENCYPART_ARC
(9,28),-1.73477 # DEPENDENCYPART_ARC
(9,29),-1.60889 # DEPENDENCYPART_ARC
(9,30),-0.787297 # DEPENDENCYPART_ARC
(10,5),-1.5013 # DEPENDENCYPART_ARC
(10,7),-1.51243 # DEPENDENCYPART_ARC
(10,12),-1.06873 # DEPENDENCYPART_ARC
(10,13),-1.39959 # DEPENDENCYPART_ARC
(10,14),-1.52317 # DEPENDENCYPART_ARC
(11,13),-1.25822 # DEPENDENCYPART_ARC
(12,3),-1.84092 # DEPENDENCYPART_ARC
(12,6),-2.14446 # DEPENDENCYPART_ARC
(12,7),-1.59198 # DEPENDENCYPART_ARC
(12,8),-1.4708 # DEPENDENCYPART_ARC
(12,10),-1.05143 # DEPENDENCYPART_ARC
(12,11),1.26153 # DEPENDENCYPART_ARC
(12,13),0.566376 # DEPENDENCYPART_ARC
(12,14),-0.754957 # DEPENDENCYPART_ARC
(12,15),-1.03008 # DEPENDENCYPART_ARC
(12,16),-1.29456 # DEPENDENCYPART_ARC
(12,17),-1.44337 # DEPENDENCYPART_ARC
(12,20),-1.28567 # DEPENDENCYPART_ARC
(12,22),-1.91055 # DEPENDENCYPART_ARC
(12,23),-1.65967 # DEPENDENCYPART_ARC
(12,24),-1.53796 # DEPENDENCYPART_ARC
(12,28),-1.55562 # DEPENDENCYPART_ARC
(12,29),-1.95883 # DEPENDENCYPART_ARC
(12,30),-1.83767 # DEPENDENCYPART_ARC
(13,14),0.981407 # DEPENDENCYPART_ARC
(13,15),-0.958431 # DEPENDENCYPART_ARC
(13,16),-1.37003 # DEPENDENCYPART_ARC
(13,18),-1.53079 # DEPENDENCYPART_ARC
(13,19),-1.90765 # DEPENDENCYPART_ARC
(14,11),-1.57397 # DEPENDENCYPART_ARC
(14,12),-0.913337 # DEPENDENCYPART_ARC
(14,15),0.109242 # DEPENDENCYPART_ARC
(14,16),-1.02346 # DEPENDENCYPART_ARC
(14,17),-1.01278 # DEPENDENCYPART_ARC
(14,19),-1.49032 # DEPENDENCYPART_ARC
(14,20),-1.31366 # DEPENDENCYPART_ARC
(14,23),-1.41668 # DEPENDENCYPART_ARC
(14,24),-1.65112 # DEPENDENCYPART_ARC
(15,14),-0.611915 # DEPENDENCYPART_ARC
(15,16),0.673636 # DEPENDENCYPART_ARC
(15,17),-0.291613 # DEPENDENCYPART_ARC
(15,18),-0.83966 # DEPENDENCYPART_ARC
(15,19),-0.891953 # DEPENDENCYPART_ARC
(15,20),-1.2416 # DEPENDENCYPART_ARC
(15,21),-1.68334 # DEPENDENCYPART_ARC
(15,22),-1.6862 # DEPENDENCYPART_ARC
(15,24),-1.3701 # DEPENDENCYPART_ARC
(15,25),-1.76228 # DEPENDENCYPART_ARC
(15,27),-2.02739 # DEPENDENCYPART_ARC
(15,28),-1.90815 # DEPENDENCYPART_ARC
(15,29),-1.62937 # DEPENDENCYPART_ARC
(16,17),0.515308 # DEPENDENCYPART_ARC
(16,18),-0.399039 # DEPENDENCYPART_ARC
(16,19),-1.14317 # DEPENDENCYPART_ARC
(16,20),-1.24542 # DEPENDENCYPART_ARC
(16,21),-1.493 # DEPENDENCYPART_ARC
(16,22),-1.81549 # DEPENDENCYPART_ARC
(16,24),-1.47945 # DEPENDENCYPART_ARC
(16,28),-1.9384 # DEPENDENCYPART_ARC
(16,29),-1.87048 # DEPENDENCYPART_ARC
(17,18),0.342135 # DEPENDENCYPART_ARC
(17,19),-0.72661 # DEPENDENCYPART_ARC
(17,20),-1.46021 # DEPENDENCYPART_ARC
(17,21),-1.79591 # DEPENDENCYPART_ARC
(17,22),-1.64962 # DEPENDENCYPART_ARC
(17,24),-1.79431 # DEPENDENCYPART_ARC
(17,27),-2.22404 # DEPENDENCYPART_ARC
(19,7),-1.63163 # DEPENDENCYPART_ARC
(19,12),-1.42421 # DEPENDENCYPART_ARC
(19,14),-1.37511 # DEPENDENCYPART_ARC
(19,16),-1.21631 # DEPENDENCYPART_ARC
(19,17),-0.700546 # DEPENDENCYPART_ARC
(19,18),1.75312 # DEPENDENCYPART_ARC
(19,20),0.00265153 # DEPENDENCYPART_ARC
(19,21),-1.35105 # DEPENDENCYPART_ARC
(19,22),-1.42463 # DEPENDENCYPART_ARC
(19,23),-1.5329 # DEPENDENCYPART_ARC
(19,24),-1.47261 # DEPENDENCYPART_ARC
(19,25),-1.94292 # DEPENDENCYPART_ARC
(19,27),-2.05741 # DEPENDENCYPART_ARC
(19,28),-2.02655 # DEPENDENCYPART_ARC
(19,29),-2.12404 # DEPENDENCYPART_ARC
(19,30),-2.12567 # DEPENDENCYPART_ARC
(20,19),-0.777512 # DEPENDENCYPART_ARC
(20,21),-0.241119 # DEPENDENCYPART_ARC
(20,22),0.814274 # DEPENDENCYPART_ARC
(20,23),-1.29971 # DEPENDENCYPART_ARC
(20,24),-1.15828 # DEPENDENCYPART_ARC
(20,25),-1.73376 # DEPENDENCYPART_ARC
(20,27),-1.74487 # DEPENDENCYPART_ARC
(22,18),-0.979205 # DEPENDENCYPART_ARC
(22,19),-0.849113 # DEPENDENCYPART_ARC
(22,21),1.33088 # DEPENDENCYPART_ARC
(22,23),-0.130701 # DEPENDENCYPART_ARC
(22,24),-1.36297 # DEPENDENCYPART_ARC
(22,25),-1.7018 # DEPENDENCYPART_ARC
(22,27),-1.82456 # DEPENDENCYPART_ARC
(22,28),-1.85877 # DEPENDENCYPART_ARC
(22,29),-2.07842 # DEPENDENCYPART_ARC
(24,3),-1.12628 # DEPENDENCYPART_ARC
(24,4),-1.84772 # DEPENDENCYPART_ARC
(24,5),-0.958891 # DEPENDENCYPART_ARC
(24,7),-1.03519 # DEPENDENCYPART_ARC
(24,8),-1.31791 # DEPENDENCYPART_ARC
(24,9),-1.38525 # DEPENDENCYPART_ARC
(24,10),-1.6277 # DEPENDENCYPART_ARC
(24,12),-0.871631 # DEPENDENCYPART_ARC
(24,13),-1.17579 # DEPENDENCYPART_ARC
(24,14),-0.650357 # DEPENDENCYPART_ARC
(24,15),-1.44547 # DEPENDENCYPART_ARC
(24,16),-1.36871 # DEPENDENCYPART_ARC
(24,17),-1.33919 # DEPENDENCYPART_ARC
(24,18),-0.861297 # DEPENDENCYPART_ARC
(24,19),-0.52816 # DEPENDENCYPART_ARC
(24,20),-0.577643 # DEPENDENCYPART_ARC
(24,21),-0.886588 # DEPENDENCYPART_ARC
(24,22),-0.719785 # DEPENDENCYPART_ARC
(24,23),0.643374 # DEPENDENCYPART_ARC
(24,25),0.62195 # DEPENDENCYPART_ARC
(24,26),-0.375098 # DEPENDENCYPART_ARC
(24,27),-0.154226 # DEPENDENCYPART_ARC
(24,28),-0.21054 # DEPENDENCYPART_ARC
(24,29),-0.549236 # DEPENDENCYPART_ARC
(24,30),0.66869 # DEPENDENCYPART_ARC
(25,26),-0.116839 # DEPENDENCYPART_ARC
(25,27),-0.641262 # DEPENDENCYPART_ARC
(26,25),-0.987236 # DEPENDENCYPART_ARC
(27,25),-1.00434 # DEPENDENCYPART_ARC
(27,26),1.0841 # DEPENDENCYPART_ARC
(27,28),-0.499574 # DEPENDENCYPART_ARC
(27,29),-1.23848 # DEPENDENCYPART_ARC
(28,3),-2.56607 # DEPENDENCYPART_ARC
(28,4),-2.84099 # DEPENDENCYPART_ARC
(28,5),-1.58762 # DEPENDENCYPART_ARC
(28,7),-1.48531 # DEPENDENCYPART_ARC
(28,8),-1.67398 # DEPENDENCYPART_ARC
(28,9),-1.69113 # DEPENDENCYPART_ARC
(28,10),-1.93283 # DEPENDENCYPART_ARC
(28,12),-1.16485 # DEPENDENCYPART_ARC
(28,14),-1.85912 # DEPENDENCYPART_ARC
(28,15),-1.70784 # DEPENDENCYPART_ARC
(28,16),-1.71334 # DEPENDENCYPART_ARC
(28,17),-1.7744 # DEPENDENCYPART_ARC
(28,18),-1.20857 # DEPENDENCYPART_ARC
(28,19),-1.51744 # DEPENDENCYPART_ARC
(28,20),-1.11218 # DEPENDENCYPART_ARC
(28,21),-1.58019 # DEPENDENCYPART_ARC
(28,22),-1.34327 # DEPENDENCYPART_ARC
(28,23),-1.72 # DEPENDENCYPART_ARC
(28,25),-0.316199 # DEPENDENCYPART_ARC
(28,26),-0.93848 # DEPENDENCYPART_ARC
(28,27),0.433412 # DEPENDENCYPART_ARC
(28,29),0.916212 # DEPENDENCYPART_ARC
(28,30),-0.108351 # DEPENDENCYPART_ARC
(29,3),-1.57008 # DEPENDENCYPART_ARC
(29,4),-1.36291 # DEPENDENCYPART_ARC
(29,5),-1.89143 # DEPENDENCYPART_ARC
(29,8),-1.47951 # DEPENDENCYPART_ARC
(29,20),-1.46871 # DEPENDENCYPART_ARC
(29,22),-1.18887 # DEPENDENCYPART_ARC
(29,25),-0.0831559 # DEPENDENCYPART_ARC
(29,26),-1.0968 # DEPENDENCYPART_ARC
(29,27),-0.876719 # DEPENDENCYPART_ARC
(29,28),-0.0686596 # DEPENDENCYPART_ARC
(29,30),-0.30644 # DEPENDENCYPART_ARC
(30,29),-0.623388 # DEPENDENCYPART_ARC
(0,3),(0,8),-0.0762466 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.033114 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.148789 # DEPENDENCYPART_SIBL
(0,3),(0,28),-0.155736 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0680856 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.15407 # DEPENDENCYPART_SIBL
(0,8),(0,28),-0.171917 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.10581 # DEPENDENCYPART_SIBL
(0,9),(0,28),-0.11738 # DEPENDENCYPART_SIBL
(0,24),(0,28),-0.248272 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0653033 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.120484 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.248332 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0805712 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0600996 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.00732201 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0215086 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.042277 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0135828 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0241619 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0271354 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.144286 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.00381878 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.108261 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0276912 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.428731 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0328576 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.00476667 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0972574 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0626621 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.042277 # DEPENDENCYPART_SIBL
(3,1),(3,30),-0.0568065 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0229975 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.044845 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0194841 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00720372 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0530748 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0533562 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0678679 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.00744826 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0210465 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0412426 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0710049 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0854385 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0215698 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0229975 # DEPENDENCYPART_SIBL
(3,2),(3,30),-0.10471 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0394892 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0368446 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0405792 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0712209 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0141968 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0131414 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0422755 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0136644 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0733514 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0172557 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.00997469 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.052322 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.0131766 # DEPENDENCYPART_SIBL
(3,4),(3,30),-0.000214025 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0109564 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00185066 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0110533 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.00998707 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.00129559 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.00169078 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.00486124 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0252066 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0283147 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0180481 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0159978 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.0143232 # DEPENDENCYPART_SIBL
(3,5),(3,30),0.0321998 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0332121 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0338458 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0368166 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0212741 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.033372 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0388675 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.00399458 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.074985 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0602308 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0472973 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.0414784 # DEPENDENCYPART_SIBL
(3,6),(3,30),-0.0646733 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0146952 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.00918217 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.00510397 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0322705 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.00313402 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0123296 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.00887869 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0108636 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0032189 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.0082136 # DEPENDENCYPART_SIBL
(3,7),(3,30),0.068922 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0134123 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.00134162 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0181923 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.00492204 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0320004 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0170086 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.00612482 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.00277408 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.0517634 # DEPENDENCYPART_SIBL
(3,8),(3,30),0.0538522 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0195409 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0316875 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0280847 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0162545 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0145704 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0205872 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0246528 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.0152585 # DEPENDENCYPART_SIBL
(3,9),(3,30),0.0521351 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0748852 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.00233177 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0834361 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0499508 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.033835 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0458614 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.00393455 # DEPENDENCYPART_SIBL
(3,10),(3,30),0.00278526 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.00202603 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0125448 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0110769 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0130234 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.000851503 # DEPENDENCYPART_SIBL
(3,12),(3,23),-0.0107696 # DEPENDENCYPART_SIBL
(3,12),(3,30),0.068083 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0224753 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.000476471 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0500609 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0785185 # DEPENDENCYPART_SIBL
(3,13),(3,23),-0.0483211 # DEPENDENCYPART_SIBL
(3,13),(3,30),0.025014 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0263765 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0261841 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.0291025 # DEPENDENCYPART_SIBL
(3,14),(3,23),-0.0190232 # DEPENDENCYPART_SIBL
(3,14),(3,30),0.0369299 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.380206 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.415224 # DEPENDENCYPART_SIBL
(3,15),(3,23),-0.03128 # DEPENDENCYPART_SIBL
(3,15),(3,30),0.00547751 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.257608 # DEPENDENCYPART_SIBL
(3,16),(3,23),-0.0509677 # DEPENDENCYPART_SIBL
(3,16),(3,30),-0.0179371 # DEPENDENCYPART_SIBL
(3,17),(3,23),0.000725498 # DEPENDENCYPART_SIBL
(3,17),(3,30),-0.0650947 # DEPENDENCYPART_SIBL
(3,23),(3,30),-0.000214025 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0263766 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0245549 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0235542 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00751272 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00590327 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00704004 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.00725238 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0866713 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0369657 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0156384 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0396059 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.108014 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0153139 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0362756 # DEPENDENCYPART_SIBL
(5,6),(5,7),3.29447e-05 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0213724 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.000241577 # DEPENDENCYPART_SIBL
(5,6),(5,12),3.29345e-05 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.047335 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0333415 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0195231 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0348972 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.01383 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.012023 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0120594 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.00234286 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0592531 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0253884 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0158179 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.054365 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.103331 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0411243 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0412399 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.601442 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.167318 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.005558 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.221333 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0168935 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.302192 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0962514 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0534828 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0219374 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.044461 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.238697 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.027804 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0101377 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0686367 # DEPENDENCYPART_SIBL
