# _root_ The newsletter Medicine & Health , which first disclosed her selection by Dr. Sullivan , said she is 44 years old and she studied at the University of Puerto Rico School of Medicine .
#goldHeads=3,3,16,3,4,3,9,9,3,11,9,11,14,12,3,0,18,16,20,21,18,18,24,22,24,31,31,27,30,28,25,31,32,16,
#predictedHeads=3,3,16,3,4,3,9,9,3,11,9,9,14,12,3,0,18,16,20,21,18,16,24,22,24,31,31,27,28,31,25,31,32,16,
(5,7),-1.5315 # DEPENDENCYPART_ARC
(5,8),-1.68241 # DEPENDENCYPART_ARC
(5,9),-1.56911 # DEPENDENCYPART_ARC
(5,11),-1.90362 # DEPENDENCYPART_ARC
(5,14),-2.7494 # DEPENDENCYPART_ARC
(5,15),-1.77193 # DEPENDENCYPART_ARC
(5,16),-2.28322 # DEPENDENCYPART_ARC
(5,24),-2.54112 # DEPENDENCYPART_ARC
(7,3),-1.97258 # DEPENDENCYPART_ARC
(7,5),-1.50167 # DEPENDENCYPART_ARC
(7,6),-0.515108 # DEPENDENCYPART_ARC
(7,8),-0.312437 # DEPENDENCYPART_ARC
(8,7),-1.07917 # DEPENDENCYPART_ARC
(8,9),-0.405794 # DEPENDENCYPART_ARC
(8,12),-1.6557 # DEPENDENCYPART_ARC
(9,1),-1.73552 # DEPENDENCYPART_ARC
(9,2),-1.12587 # DEPENDENCYPART_ARC
(9,3),-1.30917 # DEPENDENCYPART_ARC
(9,4),-1.42308 # DEPENDENCYPART_ARC
(9,5),-1.36582 # DEPENDENCYPART_ARC
(9,6),-1.17692 # DEPENDENCYPART_ARC
(9,7),-0.23752 # DEPENDENCYPART_ARC
(9,8),0.562692 # DEPENDENCYPART_ARC
(9,10),0.613986 # DEPENDENCYPART_ARC
(9,11),0.350253 # DEPENDENCYPART_ARC
(9,12),-0.0964198 # DEPENDENCYPART_ARC
(9,13),-0.986427 # DEPENDENCYPART_ARC
(9,14),-1.02893 # DEPENDENCYPART_ARC
(9,15),-0.957186 # DEPENDENCYPART_ARC
(9,16),-0.973984 # DEPENDENCYPART_ARC
(9,17),-1.2488 # DEPENDENCYPART_ARC
(9,18),-0.958013 # DEPENDENCYPART_ARC
(9,19),-1.67888 # DEPENDENCYPART_ARC
(9,20),-1.55099 # DEPENDENCYPART_ARC
(9,21),-1.65802 # DEPENDENCYPART_ARC
(9,22),-1.50182 # DEPENDENCYPART_ARC
(9,23),-1.54007 # DEPENDENCYPART_ARC
(9,24),-1.45969 # DEPENDENCYPART_ARC
(9,25),-1.32608 # DEPENDENCYPART_ARC
(9,27),-1.90895 # DEPENDENCYPART_ARC
(9,34),0.113738 # DEPENDENCYPART_ARC
(10,8),-1.70118 # DEPENDENCYPART_ARC
(11,1),-1.98024 # DEPENDENCYPART_ARC
(11,3),-2.34123 # DEPENDENCYPART_ARC
(11,6),-2.08566 # DEPENDENCYPART_ARC
(11,7),-1.42923 # DEPENDENCYPART_ARC
(11,8),-1.16991 # DEPENDENCYPART_ARC
(11,9),-0.955971 # DEPENDENCYPART_ARC
(11,10),1.11994 # DEPENDENCYPART_ARC
(11,12),0.328719 # DEPENDENCYPART_ARC
(11,13),-1.31192 # DEPENDENCYPART_ARC
(11,14),-1.2574 # DEPENDENCYPART_ARC
(11,15),-1.46467 # DEPENDENCYPART_ARC
(11,16),-1.43861 # DEPENDENCYPART_ARC
(11,18),-1.62869 # DEPENDENCYPART_ARC
(11,20),-1.92642 # DEPENDENCYPART_ARC
(11,22),-2.0841 # DEPENDENCYPART_ARC
(11,25),-1.8559 # DEPENDENCYPART_ARC
(12,10),-1.70277 # DEPENDENCYPART_ARC
(12,11),-0.89966 # DEPENDENCYPART_ARC
(12,13),0.0435589 # DEPENDENCYPART_ARC
(12,14),-0.0282081 # DEPENDENCYPART_ARC
(12,15),-1.12079 # DEPENDENCYPART_ARC
(12,16),-1.01159 # DEPENDENCYPART_ARC
(12,17),-1.66831 # DEPENDENCYPART_ARC
(12,18),-1.46444 # DEPENDENCYPART_ARC
(12,20),-1.71072 # DEPENDENCYPART_ARC
(12,22),-1.50967 # DEPENDENCYPART_ARC
(12,31),-1.67478 # DEPENDENCYPART_ARC
(13,14),-0.441098 # DEPENDENCYPART_ARC
(13,15),-1.35674 # DEPENDENCYPART_ARC
(13,16),-1.53387 # DEPENDENCYPART_ARC
(13,17),-1.73872 # DEPENDENCYPART_ARC
(13,18),-1.70884 # DEPENDENCYPART_ARC
(13,19),-2.32902 # DEPENDENCYPART_ARC
(13,20),-2.19898 # DEPENDENCYPART_ARC
(13,21),-2.22909 # DEPENDENCYPART_ARC
(13,28),-2.44165 # DEPENDENCYPART_ARC
(14,1),-2.78123 # DEPENDENCYPART_ARC
(14,2),-1.82573 # DEPENDENCYPART_ARC
(14,5),-2.4013 # DEPENDENCYPART_ARC
(14,7),-2.32128 # DEPENDENCYPART_ARC
(14,10),-1.30635 # DEPENDENCYPART_ARC
(14,11),-0.953987 # DEPENDENCYPART_ARC
(14,12),-1.15197 # DEPENDENCYPART_ARC
(14,13),1.52851 # DEPENDENCYPART_ARC
(14,15),-0.0104301 # DEPENDENCYPART_ARC
(14,16),-1.40776 # DEPENDENCYPART_ARC
(14,17),-1.47139 # DEPENDENCYPART_ARC
(14,18),-1.49798 # DEPENDENCYPART_ARC
(14,19),-2.05755 # DEPENDENCYPART_ARC
(14,21),-2.07957 # DEPENDENCYPART_ARC
(14,24),-2.16754 # DEPENDENCYPART_ARC
(16,2),-1.98843 # DEPENDENCYPART_ARC
(16,3),-1.7187 # DEPENDENCYPART_ARC
(16,4),-1.64483 # DEPENDENCYPART_ARC
(16,5),-1.76662 # DEPENDENCYPART_ARC
(16,6),-2.10553 # DEPENDENCYPART_ARC
(16,7),-1.89812 # DEPENDENCYPART_ARC
(16,8),-1.66875 # DEPENDENCYPART_ARC
(16,9),-1.76198 # DEPENDENCYPART_ARC
(16,10),-1.67244 # DEPENDENCYPART_ARC
(16,11),-1.48996 # DEPENDENCYPART_ARC
(16,12),-1.3333 # DEPENDENCYPART_ARC
(16,13),-1.34581 # DEPENDENCYPART_ARC
(16,14),-0.809515 # DEPENDENCYPART_ARC
(16,15),0.27127 # DEPENDENCYPART_ARC
(16,17),0.679695 # DEPENDENCYPART_ARC
(16,18),0.351334 # DEPENDENCYPART_ARC
(16,19),-0.935783 # DEPENDENCYPART_ARC
(16,20),-0.76023 # DEPENDENCYPART_ARC
(16,21),-1.0552 # DEPENDENCYPART_ARC
(16,22),-0.812082 # DEPENDENCYPART_ARC
(16,23),-1.24443 # DEPENDENCYPART_ARC
(16,24),-0.504296 # DEPENDENCYPART_ARC
(16,25),-1.1605 # DEPENDENCYPART_ARC
(16,27),-1.60189 # DEPENDENCYPART_ARC
(16,31),-1.72077 # DEPENDENCYPART_ARC
(16,34),0.464651 # DEPENDENCYPART_ARC
(17,19),-1.65907 # DEPENDENCYPART_ARC
(18,2),-1.62035 # DEPENDENCYPART_ARC
(18,3),-1.79878 # DEPENDENCYPART_ARC
(18,4),-1.8999 # DEPENDENCYPART_ARC
(18,5),-1.79904 # DEPENDENCYPART_ARC
(18,6),-2.24995 # DEPENDENCYPART_ARC
(18,7),-2.22312 # DEPENDENCYPART_ARC
(18,8),-1.60619 # DEPENDENCYPART_ARC
(18,9),-1.87106 # DEPENDENCYPART_ARC
(18,10),-1.98212 # DEPENDENCYPART_ARC
(18,11),-1.21192 # DEPENDENCYPART_ARC
(18,12),-1.53434 # DEPENDENCYPART_ARC
(18,13),-1.79355 # DEPENDENCYPART_ARC
(18,14),-1.77419 # DEPENDENCYPART_ARC
(18,15),-1.39057 # DEPENDENCYPART_ARC
(18,16),-1.27747 # DEPENDENCYPART_ARC
(18,17),0.630544 # DEPENDENCYPART_ARC
(18,19),0.23461 # DEPENDENCYPART_ARC
(18,20),-0.152386 # DEPENDENCYPART_ARC
(18,21),-0.803042 # DEPENDENCYPART_ARC
(18,22),-1.24102 # DEPENDENCYPART_ARC
(18,23),-1.43926 # DEPENDENCYPART_ARC
(18,24),-1.42423 # DEPENDENCYPART_ARC
(18,25),-1.19017 # DEPENDENCYPART_ARC
(18,27),-2.04795 # DEPENDENCYPART_ARC
(18,28),-1.7551 # DEPENDENCYPART_ARC
(18,34),0.557344 # DEPENDENCYPART_ARC
(19,17),-1.43075 # DEPENDENCYPART_ARC
(19,20),-0.403032 # DEPENDENCYPART_ARC
(19,22),-1.42746 # DEPENDENCYPART_ARC
(20,10),-1.73367 # DEPENDENCYPART_ARC
(20,17),-1.66257 # DEPENDENCYPART_ARC
(20,18),-0.873019 # DEPENDENCYPART_ARC
(20,19),0.978109 # DEPENDENCYPART_ARC
(20,21),-0.283228 # DEPENDENCYPART_ARC
(20,22),-1.17624 # DEPENDENCYPART_ARC
(20,23),-1.30509 # DEPENDENCYPART_ARC
(20,24),-1.08838 # DEPENDENCYPART_ARC
(20,25),-1.32764 # DEPENDENCYPART_ARC
(20,27),-1.93547 # DEPENDENCYPART_ARC
(20,28),-1.74759 # DEPENDENCYPART_ARC
(20,32),-2.20153 # DEPENDENCYPART_ARC
(21,3),-1.69765 # DEPENDENCYPART_ARC
(21,5),-1.7128 # DEPENDENCYPART_ARC
(21,12),-1.47362 # DEPENDENCYPART_ARC
(21,14),-1.40171 # DEPENDENCYPART_ARC
(21,17),-1.62379 # DEPENDENCYPART_ARC
(21,19),-0.845003 # DEPENDENCYPART_ARC
(21,20),0.372717 # DEPENDENCYPART_ARC
(21,22),0.495278 # DEPENDENCYPART_ARC
(21,23),-0.905243 # DEPENDENCYPART_ARC
(21,24),-0.93615 # DEPENDENCYPART_ARC
(21,25),-1.18376 # DEPENDENCYPART_ARC
(21,27),-1.80809 # DEPENDENCYPART_ARC
(21,28),-1.41754 # DEPENDENCYPART_ARC
(21,32),-1.57755 # DEPENDENCYPART_ARC
(22,21),-0.758768 # DEPENDENCYPART_ARC
(22,23),0.178128 # DEPENDENCYPART_ARC
(22,24),-0.437909 # DEPENDENCYPART_ARC
(22,25),-1.08986 # DEPENDENCYPART_ARC
(22,26),-1.63346 # DEPENDENCYPART_ARC
(22,27),-1.74536 # DEPENDENCYPART_ARC
(22,28),-1.5532 # DEPENDENCYPART_ARC
(22,30),-2.38523 # DEPENDENCYPART_ARC
(22,31),-2.3963 # DEPENDENCYPART_ARC
(22,33),-2.57885 # DEPENDENCYPART_ARC
(23,25),-1.38167 # DEPENDENCYPART_ARC
(24,2),-2.01172 # DEPENDENCYPART_ARC
(24,3),-2.18296 # DEPENDENCYPART_ARC
(24,4),-1.7569 # DEPENDENCYPART_ARC
(24,5),-2.21693 # DEPENDENCYPART_ARC
(24,6),-2.61679 # DEPENDENCYPART_ARC
(24,7),-2.01504 # DEPENDENCYPART_ARC
(24,8),-1.68736 # DEPENDENCYPART_ARC
(24,9),-1.85984 # DEPENDENCYPART_ARC
(24,11),-1.50025 # DEPENDENCYPART_ARC
(24,12),-1.25827 # DEPENDENCYPART_ARC
(24,14),-1.95916 # DEPENDENCYPART_ARC
(24,17),-1.72014 # DEPENDENCYPART_ARC
(24,19),-1.60849 # DEPENDENCYPART_ARC
(24,20),-1.11362 # DEPENDENCYPART_ARC
(24,21),-1.2234 # DEPENDENCYPART_ARC
(24,22),-1.06113 # DEPENDENCYPART_ARC
(24,23),0.839432 # DEPENDENCYPART_ARC
(24,25),1.36382 # DEPENDENCYPART_ARC
(24,26),-0.759815 # DEPENDENCYPART_ARC
(24,27),-0.847665 # DEPENDENCYPART_ARC
(24,28),-0.565357 # DEPENDENCYPART_ARC
(24,29),-1.34514 # DEPENDENCYPART_ARC
(24,30),-1.54829 # DEPENDENCYPART_ARC
(24,31),-1.46603 # DEPENDENCYPART_ARC
(24,32),-0.697585 # DEPENDENCYPART_ARC
(24,33),-1.66338 # DEPENDENCYPART_ARC
(24,34),-0.796132 # DEPENDENCYPART_ARC
(25,23),-1.8428 # DEPENDENCYPART_ARC
(25,26),0.130612 # DEPENDENCYPART_ARC
(25,27),-0.465925 # DEPENDENCYPART_ARC
(25,28),-1.04972 # DEPENDENCYPART_ARC
(25,29),-1.49656 # DEPENDENCYPART_ARC
(25,30),-1.48035 # DEPENDENCYPART_ARC
(25,31),-1.13291 # DEPENDENCYPART_ARC
(25,33),-1.69007 # DEPENDENCYPART_ARC
(27,23),-2.01756 # DEPENDENCYPART_ARC
(27,25),-1.31706 # DEPENDENCYPART_ARC
(27,26),0.707022 # DEPENDENCYPART_ARC
(27,28),0.593776 # DEPENDENCYPART_ARC
(27,29),-1.10618 # DEPENDENCYPART_ARC
(27,30),-1.42799 # DEPENDENCYPART_ARC
(27,31),-1.64778 # DEPENDENCYPART_ARC
(27,32),-1.29593 # DEPENDENCYPART_ARC
(27,33),-2.14936 # DEPENDENCYPART_ARC
(28,26),-1.99783 # DEPENDENCYPART_ARC
(28,29),0.101832 # DEPENDENCYPART_ARC
(28,30),-0.680479 # DEPENDENCYPART_ARC
(28,31),-1.01204 # DEPENDENCYPART_ARC
(28,32),-1.47366 # DEPENDENCYPART_ARC
(28,33),-1.36856 # DEPENDENCYPART_ARC
(29,30),-0.89185 # DEPENDENCYPART_ARC
(29,31),-1.90106 # DEPENDENCYPART_ARC
(29,32),-1.81568 # DEPENDENCYPART_ARC
(29,33),-2.48983 # DEPENDENCYPART_ARC
(30,26),-2.22724 # DEPENDENCYPART_ARC
(30,27),-1.94303 # DEPENDENCYPART_ARC
(30,29),0.449818 # DEPENDENCYPART_ARC
(30,31),-0.377914 # DEPENDENCYPART_ARC
(30,32),-1.32112 # DEPENDENCYPART_ARC
(30,33),-2.00317 # DEPENDENCYPART_ARC
(31,1),-2.85836 # DEPENDENCYPART_ARC
(31,21),-1.99876 # DEPENDENCYPART_ARC
(31,26),-0.726792 # DEPENDENCYPART_ARC
(31,27),-1.04349 # DEPENDENCYPART_ARC
(31,28),-1.28251 # DEPENDENCYPART_ARC
(31,29),0.208546 # DEPENDENCYPART_ARC
(31,30),1.03791 # DEPENDENCYPART_ARC
(31,32),0.431124 # DEPENDENCYPART_ARC
(31,33),-1.08147 # DEPENDENCYPART_ARC
(32,33),0.45953 # DEPENDENCYPART_ARC
(33,26),-2.16698 # DEPENDENCYPART_ARC
(33,29),-1.61352 # DEPENDENCYPART_ARC
(33,30),-1.41567 # DEPENDENCYPART_ARC
(33,31),-0.959245 # DEPENDENCYPART_ARC
(33,32),-0.146256 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0476375 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.125635 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.167908 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.118807 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.124614 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.130072 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.161057 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.114153 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.130018 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.271435 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.212372 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.217235 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.246141 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.250429 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.205867 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00414797 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0522182 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00108599 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0834863 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.00146859 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.266923 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0044774 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.112684 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0834863 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.138623 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.135919 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.035158 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0378544 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.020472 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0108939 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.010219 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0397413 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.017904 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.020472 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.00165078 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.000756165 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0131634 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0432851 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0145943 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0279222 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0171919 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0175259 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0432851 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0245559 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0189884 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0113146 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0207647 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0201276 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0497425 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0292458 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0113146 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0115587 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0102739 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0431865 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0297587 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0587489 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.000935272 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0548487 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.00411869 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0423047 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00718171 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0402966 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0143791 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0217092 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0192988 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0290163 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.00257974 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0012797 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0527939 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0265571 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.02451 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0210741 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.00396881 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0215347 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0060406 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.0274791 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0112047 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.0916325 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.00411869 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.0423047 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.0418326 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0918433 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.131336 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0966429 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0162366 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.000562391 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0678791 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.190887 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.00687507 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0332457 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0162366 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.142049 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.122599 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0117409 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0222606 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.00440295 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.196876 # DEPENDENCYPART_SIBL
(3,1),(3,28),0.233387 # DEPENDENCYPART_SIBL
(3,1),(3,32),0.233387 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0519257 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00745384 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.034288 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0440318 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0174538 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.023884 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.00485984 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0611582 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.034288 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0410764 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0325454 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.0244439 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.00312208 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0863588 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.0256189 # DEPENDENCYPART_SIBL
(3,2),(3,28),-0.0677803 # DEPENDENCYPART_SIBL
(3,2),(3,32),-0.0677803 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00902108 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0456878 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.038624 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0119721 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.013306 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.012818 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.036709 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0456878 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0146526 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0469704 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.0389409 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.0206562 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.565082 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0204994 # DEPENDENCYPART_SIBL
(3,4),(3,28),0.0363064 # DEPENDENCYPART_SIBL
(3,4),(3,32),0.0363064 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00972021 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0413141 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00234329 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0394038 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.02458 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.01831 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.00972021 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.039143 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.00145193 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.00602196 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0224056 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0146781 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0465896 # DEPENDENCYPART_SIBL
(3,5),(3,28),-0.0117385 # DEPENDENCYPART_SIBL
(3,5),(3,32),-0.0117385 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0912508 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0532623 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0283052 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0309806 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0461664 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.00943839 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0141875 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.00231888 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.0587341 # DEPENDENCYPART_SIBL
