# _root_ `` The MMI has gone better , '' shouted one trader at about 3:15 London time , as the U.S. Major Markets Index contract suddenly indicated a turnabout .
#goldHeads=9,3,4,9,4,5,9,9,0,11,9,9,16,16,16,12,9,9,24,24,24,24,24,26,26,18,28,26,9,
#predictedHeads=9,3,4,9,4,5,9,9,0,11,9,9,16,13,16,12,9,9,24,24,24,24,24,26,26,18,28,26,9,
(6,10),-1.6528 # DEPENDENCYPART_ARC
(6,11),-1.53113 # DEPENDENCYPART_ARC
(6,12),-1.23663 # DEPENDENCYPART_ARC
(6,16),-1.96511 # DEPENDENCYPART_ARC
(6,18),-1.53233 # DEPENDENCYPART_ARC
(6,29),-1.16812 # DEPENDENCYPART_ARC
(7,6),-0.299673 # DEPENDENCYPART_ARC
(7,8),-0.0696161 # DEPENDENCYPART_ARC
(8,6),-1.48283 # DEPENDENCYPART_ARC
(8,7),-0.364665 # DEPENDENCYPART_ARC
(8,9),-0.413875 # DEPENDENCYPART_ARC
(9,1),-0.961346 # DEPENDENCYPART_ARC
(9,2),-1.61421 # DEPENDENCYPART_ARC
(9,3),-1.41417 # DEPENDENCYPART_ARC
(9,4),-1.3171 # DEPENDENCYPART_ARC
(9,5),-1.36658 # DEPENDENCYPART_ARC
(9,6),-0.932953 # DEPENDENCYPART_ARC
(9,7),-0.58724 # DEPENDENCYPART_ARC
(9,8),0.364397 # DEPENDENCYPART_ARC
(9,10),0.524007 # DEPENDENCYPART_ARC
(9,11),0.310865 # DEPENDENCYPART_ARC
(9,12),-0.0896274 # DEPENDENCYPART_ARC
(9,13),-0.690136 # DEPENDENCYPART_ARC
(9,14),-1.20003 # DEPENDENCYPART_ARC
(9,15),-1.12591 # DEPENDENCYPART_ARC
(9,16),-0.845631 # DEPENDENCYPART_ARC
(9,17),-0.824246 # DEPENDENCYPART_ARC
(9,18),-0.500711 # DEPENDENCYPART_ARC
(9,20),-1.70282 # DEPENDENCYPART_ARC
(9,21),-1.76142 # DEPENDENCYPART_ARC
(9,22),-1.75261 # DEPENDENCYPART_ARC
(9,23),-1.66101 # DEPENDENCYPART_ARC
(9,24),-1.48489 # DEPENDENCYPART_ARC
(9,25),-1.29191 # DEPENDENCYPART_ARC
(9,26),-1.51026 # DEPENDENCYPART_ARC
(9,28),-1.69335 # DEPENDENCYPART_ARC
(9,29),0.700942 # DEPENDENCYPART_ARC
(10,6),-1.58164 # DEPENDENCYPART_ARC
(10,7),-1.72113 # DEPENDENCYPART_ARC
(10,8),-1.36454 # DEPENDENCYPART_ARC
(10,9),-0.26402 # DEPENDENCYPART_ARC
(10,11),-0.305304 # DEPENDENCYPART_ARC
(10,12),-1.35736 # DEPENDENCYPART_ARC
(10,13),-1.39918 # DEPENDENCYPART_ARC
(10,14),-1.98818 # DEPENDENCYPART_ARC
(10,16),-2.01455 # DEPENDENCYPART_ARC
(11,1),-1.76945 # DEPENDENCYPART_ARC
(11,2),-1.24101 # DEPENDENCYPART_ARC
(11,3),-1.83531 # DEPENDENCYPART_ARC
(11,4),-1.73432 # DEPENDENCYPART_ARC
(11,5),-1.68646 # DEPENDENCYPART_ARC
(11,6),-1.34813 # DEPENDENCYPART_ARC
(11,7),-1.73831 # DEPENDENCYPART_ARC
(11,8),-1.18963 # DEPENDENCYPART_ARC
(11,9),-0.738393 # DEPENDENCYPART_ARC
(11,10),1.18768 # DEPENDENCYPART_ARC
(11,12),-0.160539 # DEPENDENCYPART_ARC
(11,13),-1.31086 # DEPENDENCYPART_ARC
(11,14),-1.48216 # DEPENDENCYPART_ARC
(11,15),-1.7294 # DEPENDENCYPART_ARC
(11,16),-1.58001 # DEPENDENCYPART_ARC
(11,17),-1.72131 # DEPENDENCYPART_ARC
(11,18),-1.69647 # DEPENDENCYPART_ARC
(11,24),-2.27844 # DEPENDENCYPART_ARC
(11,26),-2.21215 # DEPENDENCYPART_ARC
(11,28),-2.45817 # DEPENDENCYPART_ARC
(11,29),-2.10152 # DEPENDENCYPART_ARC
(12,10),-1.76072 # DEPENDENCYPART_ARC
(12,11),-0.702051 # DEPENDENCYPART_ARC
(12,13),-0.290267 # DEPENDENCYPART_ARC
(12,14),-0.831941 # DEPENDENCYPART_ARC
(12,15),-1.40235 # DEPENDENCYPART_ARC
(12,16),-0.454716 # DEPENDENCYPART_ARC
(12,17),-1.6654 # DEPENDENCYPART_ARC
(12,18),-1.45096 # DEPENDENCYPART_ARC
(12,21),-2.30318 # DEPENDENCYPART_ARC
(12,22),-2.21755 # DEPENDENCYPART_ARC
(12,23),-2.1118 # DEPENDENCYPART_ARC
(12,24),-1.67564 # DEPENDENCYPART_ARC
(12,26),-2.22702 # DEPENDENCYPART_ARC
(13,12),-0.680962 # DEPENDENCYPART_ARC
(13,14),0.911628 # DEPENDENCYPART_ARC
(13,15),-0.921238 # DEPENDENCYPART_ARC
(13,16),-0.923768 # DEPENDENCYPART_ARC
(13,17),-1.42035 # DEPENDENCYPART_ARC
(13,18),-1.37803 # DEPENDENCYPART_ARC
(13,25),-1.91309 # DEPENDENCYPART_ARC
(13,26),-1.87551 # DEPENDENCYPART_ARC
(13,29),-1.53774 # DEPENDENCYPART_ARC
(14,4),-1.9913 # DEPENDENCYPART_ARC
(14,6),-1.90441 # DEPENDENCYPART_ARC
(14,10),-1.63098 # DEPENDENCYPART_ARC
(14,11),-1.63963 # DEPENDENCYPART_ARC
(14,12),-1.22075 # DEPENDENCYPART_ARC
(14,13),-0.231133 # DEPENDENCYPART_ARC
(14,15),-0.443159 # DEPENDENCYPART_ARC
(14,16),-1.19017 # DEPENDENCYPART_ARC
(14,17),-1.3085 # DEPENDENCYPART_ARC
(14,18),-1.7164 # DEPENDENCYPART_ARC
(15,11),-1.65399 # DEPENDENCYPART_ARC
(15,13),-1.36844 # DEPENDENCYPART_ARC
(15,14),-0.388602 # DEPENDENCYPART_ARC
(16,1),-1.75701 # DEPENDENCYPART_ARC
(16,2),-1.72343 # DEPENDENCYPART_ARC
(16,3),-1.90753 # DEPENDENCYPART_ARC
(16,5),-1.85245 # DEPENDENCYPART_ARC
(16,6),-1.76258 # DEPENDENCYPART_ARC
(16,7),-2.2703 # DEPENDENCYPART_ARC
(16,8),-1.94744 # DEPENDENCYPART_ARC
(16,10),-1.29994 # DEPENDENCYPART_ARC
(16,11),-1.52017 # DEPENDENCYPART_ARC
(16,12),-1.11438 # DEPENDENCYPART_ARC
(16,13),-0.60317 # DEPENDENCYPART_ARC
(16,14),-0.254208 # DEPENDENCYPART_ARC
(16,15),1.53941 # DEPENDENCYPART_ARC
(16,17),-0.0289412 # DEPENDENCYPART_ARC
(16,18),-1.28096 # DEPENDENCYPART_ARC
(16,20),-1.68433 # DEPENDENCYPART_ARC
(16,21),-1.69054 # DEPENDENCYPART_ARC
(16,22),-1.85243 # DEPENDENCYPART_ARC
(16,23),-1.99508 # DEPENDENCYPART_ARC
(16,24),-2.1089 # DEPENDENCYPART_ARC
(16,25),-2.13407 # DEPENDENCYPART_ARC
(16,26),-1.91549 # DEPENDENCYPART_ARC
(16,28),-2.46286 # DEPENDENCYPART_ARC
(16,29),-1.61395 # DEPENDENCYPART_ARC
(18,16),-1.96122 # DEPENDENCYPART_ARC
(18,17),-0.63554 # DEPENDENCYPART_ARC
(18,19),0.147072 # DEPENDENCYPART_ARC
(18,20),-0.88537 # DEPENDENCYPART_ARC
(18,21),-1.40139 # DEPENDENCYPART_ARC
(18,22),-1.53711 # DEPENDENCYPART_ARC
(18,23),-1.47864 # DEPENDENCYPART_ARC
(18,24),-1.042 # DEPENDENCYPART_ARC
(18,25),-1.45939 # DEPENDENCYPART_ARC
(18,26),-0.327558 # DEPENDENCYPART_ARC
(18,28),-1.56813 # DEPENDENCYPART_ARC
(18,29),-1.76591 # DEPENDENCYPART_ARC
(19,20),-0.625249 # DEPENDENCYPART_ARC
(20,19),-0.690977 # DEPENDENCYPART_ARC
(20,21),-0.898279 # DEPENDENCYPART_ARC
(20,22),-1.85342 # DEPENDENCYPART_ARC
(21,19),-1.8798 # DEPENDENCYPART_ARC
(21,20),-0.67151 # DEPENDENCYPART_ARC
(21,22),-0.825117 # DEPENDENCYPART_ARC
(21,23),-2.01995 # DEPENDENCYPART_ARC
(22,19),-1.85923 # DEPENDENCYPART_ARC
(22,20),-1.21691 # DEPENDENCYPART_ARC
(22,21),-0.113172 # DEPENDENCYPART_ARC
(22,23),-0.792916 # DEPENDENCYPART_ARC
(22,25),-1.94971 # DEPENDENCYPART_ARC
(22,28),-2.28454 # DEPENDENCYPART_ARC
(23,2),-3.20331 # DEPENDENCYPART_ARC
(23,15),-2.73138 # DEPENDENCYPART_ARC
(23,19),-1.19223 # DEPENDENCYPART_ARC
(23,20),-1.17114 # DEPENDENCYPART_ARC
(23,21),-0.759705 # DEPENDENCYPART_ARC
(23,22),0.255003 # DEPENDENCYPART_ARC
(23,24),-0.421198 # DEPENDENCYPART_ARC
(23,25),-1.64837 # DEPENDENCYPART_ARC
(23,28),-2.03201 # DEPENDENCYPART_ARC
(24,1),-1.57752 # DEPENDENCYPART_ARC
(24,2),-2.44557 # DEPENDENCYPART_ARC
(24,10),-1.77904 # DEPENDENCYPART_ARC
(24,14),-1.68808 # DEPENDENCYPART_ARC
(24,15),-1.67372 # DEPENDENCYPART_ARC
(24,19),-0.260724 # DEPENDENCYPART_ARC
(24,20),-0.274301 # DEPENDENCYPART_ARC
(24,21),-0.133796 # DEPENDENCYPART_ARC
(24,22),0.515329 # DEPENDENCYPART_ARC
(24,23),1.68327 # DEPENDENCYPART_ARC
(24,25),-0.47888 # DEPENDENCYPART_ARC
(24,26),-1.31368 # DEPENDENCYPART_ARC
(24,28),-1.57861 # DEPENDENCYPART_ARC
(25,23),-1.46384 # DEPENDENCYPART_ARC
(25,24),-0.412635 # DEPENDENCYPART_ARC
(25,28),-1.27496 # DEPENDENCYPART_ARC
(26,1),-0.924457 # DEPENDENCYPART_ARC
(26,3),-1.82075 # DEPENDENCYPART_ARC
(26,4),-1.58065 # DEPENDENCYPART_ARC
(26,5),-1.5149 # DEPENDENCYPART_ARC
(26,6),-1.51597 # DEPENDENCYPART_ARC
(26,7),-1.51299 # DEPENDENCYPART_ARC
(26,8),-0.955293 # DEPENDENCYPART_ARC
(26,9),-1.79789 # DEPENDENCYPART_ARC
(26,10),-1.47634 # DEPENDENCYPART_ARC
(26,11),-0.85401 # DEPENDENCYPART_ARC
(26,12),-1.05647 # DEPENDENCYPART_ARC
(26,13),-1.38096 # DEPENDENCYPART_ARC
(26,14),-1.42188 # DEPENDENCYPART_ARC
(26,15),-1.40612 # DEPENDENCYPART_ARC
(26,16),-0.704121 # DEPENDENCYPART_ARC
(26,17),-0.904781 # DEPENDENCYPART_ARC
(26,18),-0.634789 # DEPENDENCYPART_ARC
(26,19),-1.48482 # DEPENDENCYPART_ARC
(26,20),-1.38675 # DEPENDENCYPART_ARC
(26,21),-1.33882 # DEPENDENCYPART_ARC
(26,22),-1.2247 # DEPENDENCYPART_ARC
(26,23),-0.950216 # DEPENDENCYPART_ARC
(26,24),-0.394014 # DEPENDENCYPART_ARC
(26,25),0.858377 # DEPENDENCYPART_ARC
(26,27),0.41027 # DEPENDENCYPART_ARC
(26,28),0.396263 # DEPENDENCYPART_ARC
(26,29),0.297116 # DEPENDENCYPART_ARC
(28,19),-2.24008 # DEPENDENCYPART_ARC
(28,20),-2.0573 # DEPENDENCYPART_ARC
(28,21),-2.07198 # DEPENDENCYPART_ARC
(28,23),-1.43155 # DEPENDENCYPART_ARC
(28,24),-1.39021 # DEPENDENCYPART_ARC
(28,25),-1.17695 # DEPENDENCYPART_ARC
(28,27),1.30138 # DEPENDENCYPART_ARC
(28,29),-0.452196 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.114884 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0570645 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.130014 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.130312 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.102825 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.189417 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.18944 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0994739 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.0995251 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.220881 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0332505 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0201298 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00998593 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0344041 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0627179 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0311194 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0541908 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0285809 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0276448 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0346099 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0110885 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0168785 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00656369 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0112838 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0651271 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.145333 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.156379 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.742004 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0677497 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.19192 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.149471 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.031751 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.049637 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.210882 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0282001 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0599416 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0620942 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0196173 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0346113 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.07093 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.000635172 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0727185 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0287596 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0180928 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00446723 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0217326 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0563074 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0148814 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0687159 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.333397 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.049462 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0360902 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0451462 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.064733 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0687159 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0325924 # DEPENDENCYPART_SIBL
(4,1),(4,26),-0.0533194 # DEPENDENCYPART_SIBL
(4,1),(4,29),0.118986 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.147249 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0353377 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0575506 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0242292 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0302289 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.166707 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0528896 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0537153 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.121651 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0242292 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.127702 # DEPENDENCYPART_SIBL
(4,2),(4,26),0.16147 # DEPENDENCYPART_SIBL
(4,2),(4,29),-0.116996 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0399536 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0255598 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0248407 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0228949 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0649152 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00857451 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.050378 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0417029 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0248407 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0259649 # DEPENDENCYPART_SIBL
(4,3),(4,26),0.0620827 # DEPENDENCYPART_SIBL
(4,3),(4,29),0.0278495 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0552107 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0309101 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.000429565 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0568136 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.149633 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.145496 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.118323 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0309101 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.163817 # DEPENDENCYPART_SIBL
(4,5),(4,26),-0.0574132 # DEPENDENCYPART_SIBL
(4,5),(4,29),0.00456476 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0340068 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00410486 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00189421 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0356319 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.000461542 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0246656 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.0340068 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0040346 # DEPENDENCYPART_SIBL
(4,6),(4,26),0.00130237 # DEPENDENCYPART_SIBL
(4,6),(4,29),-0.0102467 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0108958 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.004008 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0109792 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0250144 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.00529547 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0258027 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0405055 # DEPENDENCYPART_SIBL
(4,7),(4,26),-0.00757633 # DEPENDENCYPART_SIBL
(4,7),(4,29),0.00428444 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0212435 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0303734 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0162831 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0232417 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0463769 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0132875 # DEPENDENCYPART_SIBL
(4,8),(4,26),-0.0221715 # DEPENDENCYPART_SIBL
(4,8),(4,29),-0.0287116 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0295114 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.00321043 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0169146 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0528958 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0139823 # DEPENDENCYPART_SIBL
(4,9),(4,26),-0.022008 # DEPENDENCYPART_SIBL
(4,9),(4,29),0.0830095 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0506983 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0148895 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.0279786 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.058664 # DEPENDENCYPART_SIBL
(4,11),(4,26),-0.0196631 # DEPENDENCYPART_SIBL
(4,11),(4,29),0.00758234 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.00768567 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.0104489 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0756198 # DEPENDENCYPART_SIBL
(4,12),(4,26),-0.0494546 # DEPENDENCYPART_SIBL
(4,12),(4,29),-0.0152184 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0164918 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0898679 # DEPENDENCYPART_SIBL
(4,13),(4,26),-0.0232863 # DEPENDENCYPART_SIBL
(4,13),(4,29),-0.151974 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.0405055 # DEPENDENCYPART_SIBL
(4,17),(4,26),-0.00757633 # DEPENDENCYPART_SIBL
(4,17),(4,29),0.00428444 # DEPENDENCYPART_SIBL
(4,18),(4,26),-0.0402074 # DEPENDENCYPART_SIBL
(4,18),(4,29),0.0114885 # DEPENDENCYPART_SIBL
(4,26),(4,29),0.0878427 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0182108 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0102082 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0429762 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0311017 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0881056 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.606457 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0310916 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0924265 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0173827 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0624848 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0586276 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0719961 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0100846 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0881056 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0867275 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.0135769 # DEPENDENCYPART_SIBL
(5,1),(5,25),0.0351274 # DEPENDENCYPART_SIBL
(5,1),(5,26),-0.031379 # DEPENDENCYPART_SIBL
(5,1),(5,28),0.0153041 # DEPENDENCYPART_SIBL
(5,1),(5,29),0.145315 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0141962 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.00173067 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0119637 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0474019 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0231043 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.153877 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0749418 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0335218 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0148565 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0316676 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0576039 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0259334 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0474019 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0532541 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.026418 # DEPENDENCYPART_SIBL
(5,2),(5,25),0.0200177 # DEPENDENCYPART_SIBL
