# _root_ In savings activity , Mr. Sandler said consumer deposits have enjoyed a steady increase throughout 1989 , and topped $ 11 billion at quarter 's end for the first time in the company 's history .
#goldHeads=7,3,1,7,6,7,0,9,10,7,10,14,14,11,11,15,10,10,18,19,20,20,19,26,24,23,19,30,30,27,30,33,35,33,31,7,
#predictedHeads=7,3,1,7,6,7,0,9,10,7,10,14,14,11,11,15,11,11,18,19,20,20,19,26,24,23,19,30,30,27,30,33,35,33,31,7,
(5,3),-1.71005 # DEPENDENCYPART_ARC
(5,4),-1.15973 # DEPENDENCYPART_ARC
(5,6),-0.260696 # DEPENDENCYPART_ARC
(5,7),-1.43113 # DEPENDENCYPART_ARC
(5,9),-1.83442 # DEPENDENCYPART_ARC
(5,10),-1.77732 # DEPENDENCYPART_ARC
(6,1),-1.81306 # DEPENDENCYPART_ARC
(6,2),-0.908473 # DEPENDENCYPART_ARC
(6,3),-1.03983 # DEPENDENCYPART_ARC
(6,4),-1.30818 # DEPENDENCYPART_ARC
(6,5),1.46007 # DEPENDENCYPART_ARC
(6,7),-0.30595 # DEPENDENCYPART_ARC
(6,8),-1.00035 # DEPENDENCYPART_ARC
(6,9),-1.52233 # DEPENDENCYPART_ARC
(6,10),-1.529 # DEPENDENCYPART_ARC
(6,14),-2.04769 # DEPENDENCYPART_ARC
(7,1),-0.890164 # DEPENDENCYPART_ARC
(7,2),-1.67579 # DEPENDENCYPART_ARC
(7,3),-1.49542 # DEPENDENCYPART_ARC
(7,4),-0.469134 # DEPENDENCYPART_ARC
(7,5),-1.06732 # DEPENDENCYPART_ARC
(7,6),-0.0327625 # DEPENDENCYPART_ARC
(7,8),0.723193 # DEPENDENCYPART_ARC
(7,9),-0.339016 # DEPENDENCYPART_ARC
(7,10),-0.371145 # DEPENDENCYPART_ARC
(7,11),-0.9988 # DEPENDENCYPART_ARC
(7,14),-1.29585 # DEPENDENCYPART_ARC
(7,15),-1.28378 # DEPENDENCYPART_ARC
(7,17),-1.55875 # DEPENDENCYPART_ARC
(7,18),-1.36744 # DEPENDENCYPART_ARC
(7,19),-1.02647 # DEPENDENCYPART_ARC
(7,36),1.58827 # DEPENDENCYPART_ARC
(8,6),-1.08258 # DEPENDENCYPART_ARC
(8,7),-0.577499 # DEPENDENCYPART_ARC
(8,9),-0.269522 # DEPENDENCYPART_ARC
(8,10),-0.998671 # DEPENDENCYPART_ARC
(8,11),-1.34511 # DEPENDENCYPART_ARC
(8,14),-1.72132 # DEPENDENCYPART_ARC
(8,17),-1.8306 # DEPENDENCYPART_ARC
(9,1),-1.75962 # DEPENDENCYPART_ARC
(9,2),-0.842447 # DEPENDENCYPART_ARC
(9,3),-1.24789 # DEPENDENCYPART_ARC
(9,4),-1.58942 # DEPENDENCYPART_ARC
(9,5),-0.639975 # DEPENDENCYPART_ARC
(9,6),-0.436931 # DEPENDENCYPART_ARC
(9,7),-0.725983 # DEPENDENCYPART_ARC
(9,8),1.89754 # DEPENDENCYPART_ARC
(9,10),-0.538774 # DEPENDENCYPART_ARC
(9,11),-1.25618 # DEPENDENCYPART_ARC
(9,14),-1.82964 # DEPENDENCYPART_ARC
(9,17),-1.76583 # DEPENDENCYPART_ARC
(10,1),-1.02746 # DEPENDENCYPART_ARC
(10,2),-1.0909 # DEPENDENCYPART_ARC
(10,3),-1.11386 # DEPENDENCYPART_ARC
(10,4),-1.17244 # DEPENDENCYPART_ARC
(10,5),-1.55502 # DEPENDENCYPART_ARC
(10,6),-1.55516 # DEPENDENCYPART_ARC
(10,7),-1.22274 # DEPENDENCYPART_ARC
(10,8),-0.891002 # DEPENDENCYPART_ARC
(10,9),0.885522 # DEPENDENCYPART_ARC
(10,11),1.14057 # DEPENDENCYPART_ARC
(10,12),-0.823044 # DEPENDENCYPART_ARC
(10,13),-1.0416 # DEPENDENCYPART_ARC
(10,14),-0.826957 # DEPENDENCYPART_ARC
(10,15),-1.1392 # DEPENDENCYPART_ARC
(10,16),-1.84976 # DEPENDENCYPART_ARC
(10,17),-1.22852 # DEPENDENCYPART_ARC
(10,18),-1.43622 # DEPENDENCYPART_ARC
(10,19),-1.50134 # DEPENDENCYPART_ARC
(10,23),-1.56053 # DEPENDENCYPART_ARC
(10,27),-1.69683 # DEPENDENCYPART_ARC
(10,31),-1.86585 # DEPENDENCYPART_ARC
(10,36),0.484735 # DEPENDENCYPART_ARC
(11,1),-2.12725 # DEPENDENCYPART_ARC
(11,3),-1.70779 # DEPENDENCYPART_ARC
(11,4),-1.88425 # DEPENDENCYPART_ARC
(11,6),-1.82102 # DEPENDENCYPART_ARC
(11,7),-1.66146 # DEPENDENCYPART_ARC
(11,8),-1.24381 # DEPENDENCYPART_ARC
(11,9),-1.41902 # DEPENDENCYPART_ARC
(11,12),0.206121 # DEPENDENCYPART_ARC
(11,13),-0.45275 # DEPENDENCYPART_ARC
(11,14),0.010175 # DEPENDENCYPART_ARC
(11,15),-0.556305 # DEPENDENCYPART_ARC
(11,16),-1.12859 # DEPENDENCYPART_ARC
(11,17),-0.678006 # DEPENDENCYPART_ARC
(11,18),-1.10332 # DEPENDENCYPART_ARC
(11,19),-1.24218 # DEPENDENCYPART_ARC
(11,20),-1.32972 # DEPENDENCYPART_ARC
(11,23),-1.25448 # DEPENDENCYPART_ARC
(11,24),-1.18037 # DEPENDENCYPART_ARC
(11,25),-1.80363 # DEPENDENCYPART_ARC
(11,26),-1.04528 # DEPENDENCYPART_ARC
(11,27),-1.16186 # DEPENDENCYPART_ARC
(11,30),-0.996369 # DEPENDENCYPART_ARC
(11,31),-1.51701 # DEPENDENCYPART_ARC
(11,35),-1.25472 # DEPENDENCYPART_ARC
(11,36),-0.715146 # DEPENDENCYPART_ARC
(12,15),-1.184 # DEPENDENCYPART_ARC
(12,18),-1.37082 # DEPENDENCYPART_ARC
(13,12),-0.193447 # DEPENDENCYPART_ARC
(13,15),-1.08735 # DEPENDENCYPART_ARC
(13,16),-1.59457 # DEPENDENCYPART_ARC
(13,18),-1.75052 # DEPENDENCYPART_ARC
(14,9),-1.1116 # DEPENDENCYPART_ARC
(14,11),-0.998953 # DEPENDENCYPART_ARC
(14,12),0.699579 # DEPENDENCYPART_ARC
(14,13),1.53942 # DEPENDENCYPART_ARC
(14,15),0.263211 # DEPENDENCYPART_ARC
(14,16),-1.22843 # DEPENDENCYPART_ARC
(14,17),-1.47969 # DEPENDENCYPART_ARC
(14,18),-1.88801 # DEPENDENCYPART_ARC
(14,19),-1.50758 # DEPENDENCYPART_ARC
(14,20),-1.78704 # DEPENDENCYPART_ARC
(14,23),-1.60476 # DEPENDENCYPART_ARC
(14,25),-2.48261 # DEPENDENCYPART_ARC
(14,27),-1.75165 # DEPENDENCYPART_ARC
(14,31),-2.11122 # DEPENDENCYPART_ARC
(15,14),-0.916867 # DEPENDENCYPART_ARC
(15,16),0.381531 # DEPENDENCYPART_ARC
(15,17),-1.14462 # DEPENDENCYPART_ARC
(15,18),-1.5187 # DEPENDENCYPART_ARC
(15,19),-1.30634 # DEPENDENCYPART_ARC
(15,20),-1.86829 # DEPENDENCYPART_ARC
(15,26),-2.10338 # DEPENDENCYPART_ARC
(15,27),-1.62982 # DEPENDENCYPART_ARC
(16,14),-1.51256 # DEPENDENCYPART_ARC
(16,15),-0.315403 # DEPENDENCYPART_ARC
(16,17),-0.283252 # DEPENDENCYPART_ARC
(16,18),-1.2259 # DEPENDENCYPART_ARC
(16,19),-1.21965 # DEPENDENCYPART_ARC
(16,20),-1.60069 # DEPENDENCYPART_ARC
(18,19),0.702005 # DEPENDENCYPART_ARC
(18,20),-0.684957 # DEPENDENCYPART_ARC
(18,23),-1.35073 # DEPENDENCYPART_ARC
(18,26),-2.24297 # DEPENDENCYPART_ARC
(18,27),-1.5272 # DEPENDENCYPART_ARC
(19,1),-1.56891 # DEPENDENCYPART_ARC
(19,4),-2.32172 # DEPENDENCYPART_ARC
(19,6),-2.18129 # DEPENDENCYPART_ARC
(19,9),-1.6583 # DEPENDENCYPART_ARC
(19,10),-1.72809 # DEPENDENCYPART_ARC
(19,14),-1.76494 # DEPENDENCYPART_ARC
(19,15),-1.42911 # DEPENDENCYPART_ARC
(19,16),-1.74217 # DEPENDENCYPART_ARC
(19,17),-1.27462 # DEPENDENCYPART_ARC
(19,20),0.619305 # DEPENDENCYPART_ARC
(19,21),-0.630106 # DEPENDENCYPART_ARC
(19,22),-1.18208 # DEPENDENCYPART_ARC
(19,23),-0.345037 # DEPENDENCYPART_ARC
(19,24),-0.913583 # DEPENDENCYPART_ARC
(19,25),-1.49591 # DEPENDENCYPART_ARC
(19,26),-1.21287 # DEPENDENCYPART_ARC
(19,27),-0.736076 # DEPENDENCYPART_ARC
(19,30),-1.57202 # DEPENDENCYPART_ARC
(19,31),-1.03918 # DEPENDENCYPART_ARC
(19,35),-1.86724 # DEPENDENCYPART_ARC
(19,36),0.0443175 # DEPENDENCYPART_ARC
(20,15),-1.39247 # DEPENDENCYPART_ARC
(20,16),-1.72403 # DEPENDENCYPART_ARC
(20,19),-0.00505319 # DEPENDENCYPART_ARC
(20,21),1.35901 # DEPENDENCYPART_ARC
(20,22),0.1629 # DEPENDENCYPART_ARC
(20,23),-0.622612 # DEPENDENCYPART_ARC
(20,24),-1.00342 # DEPENDENCYPART_ARC
(20,25),-1.29677 # DEPENDENCYPART_ARC
(20,26),-1.35349 # DEPENDENCYPART_ARC
(20,27),-1.3532 # DEPENDENCYPART_ARC
(20,30),-1.47952 # DEPENDENCYPART_ARC
(20,31),-1.83603 # DEPENDENCYPART_ARC
(20,35),-1.77284 # DEPENDENCYPART_ARC
(21,16),-2.00391 # DEPENDENCYPART_ARC
(21,22),-0.493386 # DEPENDENCYPART_ARC
(21,23),-1.42227 # DEPENDENCYPART_ARC
(21,26),-1.72214 # DEPENDENCYPART_ARC
(22,15),-1.51374 # DEPENDENCYPART_ARC
(22,16),-1.3813 # DEPENDENCYPART_ARC
(22,21),0.354381 # DEPENDENCYPART_ARC
(22,23),-0.436531 # DEPENDENCYPART_ARC
(22,24),-0.976805 # DEPENDENCYPART_ARC
(22,25),-1.43088 # DEPENDENCYPART_ARC
(22,26),-1.39408 # DEPENDENCYPART_ARC
(23,20),-1.47987 # DEPENDENCYPART_ARC
(23,22),-0.806203 # DEPENDENCYPART_ARC
(23,24),0.818314 # DEPENDENCYPART_ARC
(23,25),-0.884042 # DEPENDENCYPART_ARC
(23,26),-0.713469 # DEPENDENCYPART_ARC
(23,27),-1.24768 # DEPENDENCYPART_ARC
(23,30),-1.59887 # DEPENDENCYPART_ARC
(24,20),-1.28707 # DEPENDENCYPART_ARC
(24,22),-0.924053 # DEPENDENCYPART_ARC
(24,23),-0.0483355 # DEPENDENCYPART_ARC
(24,25),1.06164 # DEPENDENCYPART_ARC
(24,27),-0.738182 # DEPENDENCYPART_ARC
(24,31),-1.47529 # DEPENDENCYPART_ARC
(26,12),-2.13129 # DEPENDENCYPART_ARC
(26,16),-2.04067 # DEPENDENCYPART_ARC
(26,20),-1.33635 # DEPENDENCYPART_ARC
(26,21),-1.26089 # DEPENDENCYPART_ARC
(26,22),-1.15689 # DEPENDENCYPART_ARC
(26,23),-1.03255 # DEPENDENCYPART_ARC
(26,24),0.317796 # DEPENDENCYPART_ARC
(26,25),0.452032 # DEPENDENCYPART_ARC
(26,27),0.312226 # DEPENDENCYPART_ARC
(26,30),-1.38534 # DEPENDENCYPART_ARC
(26,31),-1.59346 # DEPENDENCYPART_ARC
(26,34),-2.50662 # DEPENDENCYPART_ARC
(26,35),-1.90887 # DEPENDENCYPART_ARC
(27,25),-1.71658 # DEPENDENCYPART_ARC
(27,26),-1.03705 # DEPENDENCYPART_ARC
(27,28),-0.0892661 # DEPENDENCYPART_ARC
(27,29),-0.870344 # DEPENDENCYPART_ARC
(27,30),-0.104302 # DEPENDENCYPART_ARC
(27,31),-1.29187 # DEPENDENCYPART_ARC
(27,35),-1.3893 # DEPENDENCYPART_ARC
(29,28),-0.181736 # DEPENDENCYPART_ARC
(29,31),-1.06831 # DEPENDENCYPART_ARC
(30,20),-1.67858 # DEPENDENCYPART_ARC
(30,24),-1.34821 # DEPENDENCYPART_ARC
(30,25),-1.39034 # DEPENDENCYPART_ARC
(30,26),-1.32371 # DEPENDENCYPART_ARC
(30,28),0.630337 # DEPENDENCYPART_ARC
(30,29),1.62468 # DEPENDENCYPART_ARC
(30,31),0.324596 # DEPENDENCYPART_ARC
(30,33),-1.15227 # DEPENDENCYPART_ARC
(30,34),-1.62103 # DEPENDENCYPART_ARC
(30,35),-1.5926 # DEPENDENCYPART_ARC
(31,30),-1.10959 # DEPENDENCYPART_ARC
(31,33),0.0543839 # DEPENDENCYPART_ARC
(31,34),-1.32496 # DEPENDENCYPART_ARC
(31,35),-0.20634 # DEPENDENCYPART_ARC
(33,28),-1.48556 # DEPENDENCYPART_ARC
(33,29),-1.10442 # DEPENDENCYPART_ARC
(33,32),2.00151 # DEPENDENCYPART_ARC
(33,34),1.24522 # DEPENDENCYPART_ARC
(35,30),-1.55149 # DEPENDENCYPART_ARC
(35,32),-1.08525 # DEPENDENCYPART_ARC
(35,33),0.23747 # DEPENDENCYPART_ARC
(35,34),0.405544 # DEPENDENCYPART_ARC
(0,1),(0,7),-0.162421 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.119785 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.168739 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.202946 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00897676 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0910627 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0324139 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.137995 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.00371944 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0193159 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00934371 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.102607 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0182576 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.144733 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0121657 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.0196362 # DEPENDENCYPART_SIBL
(1,4),(1,6),1.62598e-05 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.135418 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0349791 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0634613 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.00723948 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0202687 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.108469 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0651965 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.0230478 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0317571 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.00330486 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.0538358 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0230712 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.02561 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.0305408 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0255535 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.00738467 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0190804 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.015627 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0310764 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0635483 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0619818 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0677295 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00203825 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.035865 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0044681 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0464846 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0267768 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0310764 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0527152 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0391497 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0268995 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0411781 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0444428 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.026796 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0107015 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.00604647 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0404333 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0145937 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0167092 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0268995 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0139392 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.000637824 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0320631 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0374615 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.00119334 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.025273 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0563625 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0209635 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0512164 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0613259 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0395039 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.026074 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0320963 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0386472 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.000492407 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0493178 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0202432 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0192639 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0277868 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0276155 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.0107611 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.016776 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.00381545 # DEPENDENCYPART_SIBL
(3,6),(3,7),-7.22747e-05 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0484635 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0195804 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0188748 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0275433 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0267613 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0138981 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.017534 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.00344305 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0182942 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0123473 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0220773 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.020675 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0013932 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0473449 # DEPENDENCYPART_SIBL
(3,7),(3,18),6.12135e-05 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.037658 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0393141 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00760957 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.00877047 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0197215 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0162468 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.018553 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0101623 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0104677 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0191134 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0179917 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.00420537 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.00147225 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0305312 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.00415818 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0345768 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0430629 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0572008 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0150796 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.016899 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.0446775 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0482167 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.0177741 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.0288503 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0169827 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.0122538 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.026074 # DEPENDENCYPART_SIBL
(3,17),(3,19),0.0320963 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.00470771 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0360404 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0111502 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0856714 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.00300597 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0225342 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0425062 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.00864154 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00225437 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0390358 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0202004 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0172638 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.118912 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.203764 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.113242 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.136618 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0402562 # DEPENDENCYPART_SIBL
(5,6),(5,9),1.63468e-05 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0469937 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.00241275 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0257026 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0222079 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0378921 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0366598 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.00807496 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0810489 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.00307556 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.00660064 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0225255 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0425026 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0114191 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0831461 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00616463 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.115042 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0321287 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0118523 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0236273 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0244937 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0258224 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0117391 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0932865 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0391127 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0101747 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0201844 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0172529 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0241288 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.116503 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.203868 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.157119 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.113199 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.13658 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.146653 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0132488 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0595287 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0239244 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.020504 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0683454 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0516502 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.00281951 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0254467 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0506524 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0348217 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0263255 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.131598 # DEPENDENCYPART_SIBL
