# _root_ `` It seems computers as hobbies have waned , '' says Ian Brightman , Beseler 's chairman and chief executive officer .
#goldHeads=3,3,11,7,4,5,3,7,3,3,0,13,11,13,17,15,13,17,21,21,18,11,
#predictedHeads=11,3,11,3,3,7,5,7,11,11,0,13,11,13,17,15,13,17,21,21,18,11,
(8,4),-1.1375 # DEPENDENCYPART_ARC
(8,5),-1.13713 # DEPENDENCYPART_ARC
(8,6),-1.18737 # DEPENDENCYPART_ARC
(8,7),-0.0638866 # DEPENDENCYPART_ARC
(8,9),-0.00118245 # DEPENDENCYPART_ARC
(8,10),-0.613332 # DEPENDENCYPART_ARC
(8,11),-1.08641 # DEPENDENCYPART_ARC
(8,12),-1.17203 # DEPENDENCYPART_ARC
(8,13),-1.21476 # DEPENDENCYPART_ARC
(8,14),-1.32 # DEPENDENCYPART_ARC
(8,15),-1.56863 # DEPENDENCYPART_ARC
(8,17),-1.36239 # DEPENDENCYPART_ARC
(8,18),-1.49853 # DEPENDENCYPART_ARC
(8,21),-1.64319 # DEPENDENCYPART_ARC
(8,22),-1.66344 # DEPENDENCYPART_ARC
(9,8),-0.272109 # DEPENDENCYPART_ARC
(10,5),-1.86571 # DEPENDENCYPART_ARC
(10,7),-1.60798 # DEPENDENCYPART_ARC
(10,9),-0.368799 # DEPENDENCYPART_ARC
(11,1),-0.567623 # DEPENDENCYPART_ARC
(11,2),-2.21439 # DEPENDENCYPART_ARC
(11,3),-1.4023 # DEPENDENCYPART_ARC
(11,4),-1.77581 # DEPENDENCYPART_ARC
(11,5),-1.67849 # DEPENDENCYPART_ARC
(11,6),-1.82943 # DEPENDENCYPART_ARC
(11,7),-1.05049 # DEPENDENCYPART_ARC
(11,8),-1.40077 # DEPENDENCYPART_ARC
(11,9),-0.753393 # DEPENDENCYPART_ARC
(11,10),0.556978 # DEPENDENCYPART_ARC
(11,12),0.418774 # DEPENDENCYPART_ARC
(11,13),-0.329581 # DEPENDENCYPART_ARC
(11,14),-0.764816 # DEPENDENCYPART_ARC
(11,15),-1.1772 # DEPENDENCYPART_ARC
(11,16),-1.23983 # DEPENDENCYPART_ARC
(11,17),-1.36538 # DEPENDENCYPART_ARC
(11,18),-1.57689 # DEPENDENCYPART_ARC
(11,19),-1.54947 # DEPENDENCYPART_ARC
(11,21),-1.4673 # DEPENDENCYPART_ARC
(11,22),0.422804 # DEPENDENCYPART_ARC
(12,10),-1.8295 # DEPENDENCYPART_ARC
(12,13),-0.59784 # DEPENDENCYPART_ARC
(12,14),-1.37035 # DEPENDENCYPART_ARC
(12,15),-2.10015 # DEPENDENCYPART_ARC
(12,16),-2.40047 # DEPENDENCYPART_ARC
(12,17),-1.87989 # DEPENDENCYPART_ARC
(12,18),-2.29195 # DEPENDENCYPART_ARC
(12,21),-2.3938 # DEPENDENCYPART_ARC
(13,1),-2.30498 # DEPENDENCYPART_ARC
(13,3),-2.23412 # DEPENDENCYPART_ARC
(13,4),-1.87817 # DEPENDENCYPART_ARC
(13,5),-2.2469 # DEPENDENCYPART_ARC
(13,6),-1.73911 # DEPENDENCYPART_ARC
(13,7),-2.07986 # DEPENDENCYPART_ARC
(13,8),-1.78786 # DEPENDENCYPART_ARC
(13,9),-2.16111 # DEPENDENCYPART_ARC
(13,10),-1.71531 # DEPENDENCYPART_ARC
(13,11),-1.25192 # DEPENDENCYPART_ARC
(13,12),1.09603 # DEPENDENCYPART_ARC
(13,14),0.508442 # DEPENDENCYPART_ARC
(13,15),-1.31651 # DEPENDENCYPART_ARC
(13,16),-1.26206 # DEPENDENCYPART_ARC
(13,17),-1.124 # DEPENDENCYPART_ARC
(13,18),-1.86156 # DEPENDENCYPART_ARC
(13,19),-1.83927 # DEPENDENCYPART_ARC
(13,20),-1.86628 # DEPENDENCYPART_ARC
(13,21),-1.76345 # DEPENDENCYPART_ARC
(13,22),-1.70185 # DEPENDENCYPART_ARC
(15,10),-2.0704 # DEPENDENCYPART_ARC
(15,12),-0.846071 # DEPENDENCYPART_ARC
(15,13),-0.998558 # DEPENDENCYPART_ARC
(15,14),-0.544183 # DEPENDENCYPART_ARC
(15,16),1.30379 # DEPENDENCYPART_ARC
(15,17),-0.737292 # DEPENDENCYPART_ARC
(15,18),-0.977552 # DEPENDENCYPART_ARC
(15,21),-1.69695 # DEPENDENCYPART_ARC
(16,17),-0.442444 # DEPENDENCYPART_ARC
(17,8),-2.14799 # DEPENDENCYPART_ARC
(17,12),-1.21197 # DEPENDENCYPART_ARC
(17,13),-1.18206 # DEPENDENCYPART_ARC
(17,14),-1.74874 # DEPENDENCYPART_ARC
(17,15),0.414121 # DEPENDENCYPART_ARC
(17,16),0.182655 # DEPENDENCYPART_ARC
(17,18),0.72869 # DEPENDENCYPART_ARC
(17,19),-0.952068 # DEPENDENCYPART_ARC
(17,20),-1.15234 # DEPENDENCYPART_ARC
(17,21),-1.1771 # DEPENDENCYPART_ARC
(18,19),0.451434 # DEPENDENCYPART_ARC
(18,20),-0.529734 # DEPENDENCYPART_ARC
(18,21),-0.810325 # DEPENDENCYPART_ARC
(19,20),-0.431763 # DEPENDENCYPART_ARC
(19,21),-1.13451 # DEPENDENCYPART_ARC
(20,19),0.252917 # DEPENDENCYPART_ARC
(21,1),-1.60015 # DEPENDENCYPART_ARC
(21,3),-1.61828 # DEPENDENCYPART_ARC
(21,4),-1.59288 # DEPENDENCYPART_ARC
(21,5),-1.74722 # DEPENDENCYPART_ARC
(21,8),-1.65349 # DEPENDENCYPART_ARC
(21,9),-2.29646 # DEPENDENCYPART_ARC
(21,12),-1.6291 # DEPENDENCYPART_ARC
(21,13),-1.79538 # DEPENDENCYPART_ARC
(21,15),-0.878095 # DEPENDENCYPART_ARC
(21,17),-0.879492 # DEPENDENCYPART_ARC
(21,19),0.212248 # DEPENDENCYPART_ARC
(21,20),1.51742 # DEPENDENCYPART_ARC
(0,3),(0,7),-0.149795 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.203183 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.214556 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0212044 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0273862 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00918991 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0117937 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0326674 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0192608 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0405403 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0316213 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.012383 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0214223 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0123773 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.057854 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0148331 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0772455 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0138951 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0212603 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0171541 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0130948 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.121289 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0593336 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0152152 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0714836 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0928075 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00800451 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0428758 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.405523 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0748051 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0119718 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0428758 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0385362 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0116577 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.000737346 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.128449 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0415909 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.182715 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.037431 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0534018 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.116064 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.12695 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0951169 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0556218 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0519872 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.12695 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.096209 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.100214 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0902911 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.00360728 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00845699 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.102023 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0110518 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.021185 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.06666 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0176658 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.00377681 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0512743 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.06666 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.039349 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.033626 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.0337822 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.0195746 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0149376 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0175723 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0338468 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0226697 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0659348 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.013438 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0453492 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0226697 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0367974 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0369565 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.028031 # DEPENDENCYPART_SIBL
(3,5),(3,22),0.0276807 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00157601 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00843171 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0535373 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0186401 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0100281 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0423194 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0535373 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0301195 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0378341 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0245526 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0196052 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0473945 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0491602 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0817557 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0686877 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0523578 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0491602 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.058662 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0403099 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.0477692 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0130908 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.00547295 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0713016 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0275641 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0797267 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.00547295 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.107533 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0997627 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.0956941 # DEPENDENCYPART_SIBL
(3,8),(3,22),0.0230307 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0289968 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.00815302 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0373999 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0169013 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.00115053 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0336621 # DEPENDENCYPART_SIBL
(3,9),(3,21),0.0223212 # DEPENDENCYPART_SIBL
(3,9),(3,22),0.00938491 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0441797 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0543826 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0640038 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0357473 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0114819 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.0260059 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0519442 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0599989 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.00155517 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.0499178 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.00539488 # DEPENDENCYPART_SIBL
(3,11),(3,21),-0.0391917 # DEPENDENCYPART_SIBL
(3,11),(3,22),0.0490171 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0175785 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0356781 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0492298 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0338945 # DEPENDENCYPART_SIBL
(3,13),(3,22),0.00172302 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.00115053 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.0336621 # DEPENDENCYPART_SIBL
(3,14),(3,21),0.0223212 # DEPENDENCYPART_SIBL
(3,14),(3,22),0.00938491 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.0272588 # DEPENDENCYPART_SIBL
(3,17),(3,21),-0.072777 # DEPENDENCYPART_SIBL
(3,17),(3,22),-0.00236853 # DEPENDENCYPART_SIBL
(3,18),(3,21),-0.022078 # DEPENDENCYPART_SIBL
(3,18),(3,22),0.0366066 # DEPENDENCYPART_SIBL
(3,21),(3,22),-0.0119483 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.16705 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.121738 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.116535 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0195542 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0289098 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0799352 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0316143 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.851355 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.028988 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.142283 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0316143 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0840154 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0037523 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00423891 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0440325 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0262308 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0144105 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.005243 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0204044 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0406836 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0666332 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0146957 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0204044 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0361657 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.101701 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.022068 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0175156 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.01982 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0433332 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.00255081 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.012891 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.00946047 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.101204 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.00255081 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.022174 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0185936 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0284702 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0177264 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0231007 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0482171 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0431883 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0300541 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0116775 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0482171 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.02527 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0369035 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0072201 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0119334 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0217719 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.00430835 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00115553 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0144851 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0217719 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.00698595 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0177241 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0356428 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.04418 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0412649 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0315086 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0229502 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.04418 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0201648 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0269885 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0535543 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0651771 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.00110138 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.00364962 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0535543 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0310831 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0257221 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.105702 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0162505 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0647946 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0522816 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0845689 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.036278 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0286881 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0622615 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0216736 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0741201 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.0213272 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0155394 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0533155 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.0277957 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.000463339 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0152 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.000242503 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0165215 # DEPENDENCYPART_SIBL
(4,14),(4,17),0.0845689 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.036278 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.000228798 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.101421 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.10565 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0309163 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.118536 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.097508 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.00729866 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0396399 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.403347 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0110903 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0533123 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0396399 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0942362 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0560166 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0254157 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00216207 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0594326 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.107683 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.145944 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0514256 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0355805 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0448001 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.145944 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0648548 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0480151 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00301348 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.017906 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0165009 # DEPENDENCYPART_SIBL
