# _root_ Mr. Jarrell , former top economist at the Securities and Exchange Commission , teaches at the University of Rochester 's Simon Business School .
#goldHeads=2,14,2,6,6,2,6,9,7,9,12,10,2,0,14,17,23,17,18,17,23,23,15,14,
#predictedHeads=2,14,2,6,6,2,6,9,7,9,12,10,2,0,14,23,23,17,18,17,23,23,15,14,
(6,15),-1.74825 # DEPENDENCYPART_ARC
(6,24),-2.08675 # DEPENDENCYPART_ARC
(7,3),-2.13384 # DEPENDENCYPART_ARC
(7,4),-1.82246 # DEPENDENCYPART_ARC
(7,6),-0.992911 # DEPENDENCYPART_ARC
(7,8),0.0623901 # DEPENDENCYPART_ARC
(7,9),-0.457251 # DEPENDENCYPART_ARC
(7,10),-0.996045 # DEPENDENCYPART_ARC
(7,11),-1.42554 # DEPENDENCYPART_ARC
(7,12),-1.14701 # DEPENDENCYPART_ARC
(7,13),-1.2073 # DEPENDENCYPART_ARC
(7,14),-1.3595 # DEPENDENCYPART_ARC
(7,15),-1.62894 # DEPENDENCYPART_ARC
(7,17),-1.83321 # DEPENDENCYPART_ARC
(7,22),-1.87684 # DEPENDENCYPART_ARC
(7,23),-0.973696 # DEPENDENCYPART_ARC
(7,24),-2.23377 # DEPENDENCYPART_ARC
(8,7),-1.08132 # DEPENDENCYPART_ARC
(8,10),-1.24779 # DEPENDENCYPART_ARC
(9,1),-2.30979 # DEPENDENCYPART_ARC
(9,2),-2.67155 # DEPENDENCYPART_ARC
(9,3),-2.45925 # DEPENDENCYPART_ARC
(9,4),-1.28608 # DEPENDENCYPART_ARC
(9,5),-1.16603 # DEPENDENCYPART_ARC
(9,6),-0.898549 # DEPENDENCYPART_ARC
(9,7),-0.993695 # DEPENDENCYPART_ARC
(9,8),1.1563 # DEPENDENCYPART_ARC
(9,10),0.965621 # DEPENDENCYPART_ARC
(9,11),-1.20553 # DEPENDENCYPART_ARC
(9,12),-1.54635 # DEPENDENCYPART_ARC
(9,13),-1.25262 # DEPENDENCYPART_ARC
(9,14),-1.2569 # DEPENDENCYPART_ARC
(9,15),-1.54493 # DEPENDENCYPART_ARC
(9,17),-2.42547 # DEPENDENCYPART_ARC
(9,18),-1.74026 # DEPENDENCYPART_ARC
(9,20),-2.67646 # DEPENDENCYPART_ARC
(9,24),-1.9142 # DEPENDENCYPART_ARC
(10,2),-1.84922 # DEPENDENCYPART_ARC
(10,11),0.35664 # DEPENDENCYPART_ARC
(10,12),-0.533726 # DEPENDENCYPART_ARC
(10,13),-0.766452 # DEPENDENCYPART_ARC
(10,14),-0.942675 # DEPENDENCYPART_ARC
(10,15),-1.46647 # DEPENDENCYPART_ARC
(10,17),-2.15338 # DEPENDENCYPART_ARC
(10,19),-2.24977 # DEPENDENCYPART_ARC
(10,22),-2.66869 # DEPENDENCYPART_ARC
(10,23),-2.55886 # DEPENDENCYPART_ARC
(11,8),-2.47547 # DEPENDENCYPART_ARC
(11,9),-2.12049 # DEPENDENCYPART_ARC
(11,12),-0.688079 # DEPENDENCYPART_ARC
(11,13),-1.55907 # DEPENDENCYPART_ARC
(11,14),-1.59257 # DEPENDENCYPART_ARC
(11,15),-2.20104 # DEPENDENCYPART_ARC
(11,18),-2.47792 # DEPENDENCYPART_ARC
(12,2),-2.91822 # DEPENDENCYPART_ARC
(12,3),-2.52945 # DEPENDENCYPART_ARC
(12,4),-1.6934 # DEPENDENCYPART_ARC
(12,5),-1.79783 # DEPENDENCYPART_ARC
(12,6),-1.63304 # DEPENDENCYPART_ARC
(12,7),-1.62202 # DEPENDENCYPART_ARC
(12,8),-0.934663 # DEPENDENCYPART_ARC
(12,9),-1.00236 # DEPENDENCYPART_ARC
(12,10),-0.998154 # DEPENDENCYPART_ARC
(12,11),1.42674 # DEPENDENCYPART_ARC
(12,13),-0.086194 # DEPENDENCYPART_ARC
(12,14),-1.27828 # DEPENDENCYPART_ARC
(12,15),-1.8272 # DEPENDENCYPART_ARC
(12,17),-2.44597 # DEPENDENCYPART_ARC
(12,18),-2.17611 # DEPENDENCYPART_ARC
(12,20),-2.61645 # DEPENDENCYPART_ARC
(12,24),-2.32568 # DEPENDENCYPART_ARC
(13,12),-0.56312 # DEPENDENCYPART_ARC
(14,1),-1.40682 # DEPENDENCYPART_ARC
(14,2),-1.25001 # DEPENDENCYPART_ARC
(14,3),-1.79358 # DEPENDENCYPART_ARC
(14,4),-1.65327 # DEPENDENCYPART_ARC
(14,5),-1.69444 # DEPENDENCYPART_ARC
(14,6),-1.11273 # DEPENDENCYPART_ARC
(14,7),-1.37478 # DEPENDENCYPART_ARC
(14,8),-1.83337 # DEPENDENCYPART_ARC
(14,9),-1.32945 # DEPENDENCYPART_ARC
(14,10),-1.33455 # DEPENDENCYPART_ARC
(14,11),-1.0522 # DEPENDENCYPART_ARC
(14,12),-0.478344 # DEPENDENCYPART_ARC
(14,13),0.337195 # DEPENDENCYPART_ARC
(14,15),1.221 # DEPENDENCYPART_ARC
(14,16),-0.619078 # DEPENDENCYPART_ARC
(14,17),-0.844717 # DEPENDENCYPART_ARC
(14,18),-0.762847 # DEPENDENCYPART_ARC
(14,19),-1.23667 # DEPENDENCYPART_ARC
(14,20),-1.35052 # DEPENDENCYPART_ARC
(14,21),-1.63026 # DEPENDENCYPART_ARC
(14,22),-1.73521 # DEPENDENCYPART_ARC
(14,23),-1.68273 # DEPENDENCYPART_ARC
(14,24),0.257617 # DEPENDENCYPART_ARC
(15,16),0.0841618 # DEPENDENCYPART_ARC
(15,17),-0.491649 # DEPENDENCYPART_ARC
(15,18),-1.10334 # DEPENDENCYPART_ARC
(15,19),-1.42733 # DEPENDENCYPART_ARC
(15,20),-1.55434 # DEPENDENCYPART_ARC
(15,21),-1.70126 # DEPENDENCYPART_ARC
(15,22),-1.66339 # DEPENDENCYPART_ARC
(15,23),-1.1261 # DEPENDENCYPART_ARC
(15,24),-1.95445 # DEPENDENCYPART_ARC
(16,18),-1.38172 # DEPENDENCYPART_ARC
(17,8),-2.33918 # DEPENDENCYPART_ARC
(17,12),-2.23007 # DEPENDENCYPART_ARC
(17,15),-1.31602 # DEPENDENCYPART_ARC
(17,16),0.707022 # DEPENDENCYPART_ARC
(17,18),0.593776 # DEPENDENCYPART_ARC
(17,19),-1.15306 # DEPENDENCYPART_ARC
(17,20),-0.833563 # DEPENDENCYPART_ARC
(17,21),-1.67099 # DEPENDENCYPART_ARC
(17,22),-1.83183 # DEPENDENCYPART_ARC
(17,23),-2.15728 # DEPENDENCYPART_ARC
(17,24),-1.47063 # DEPENDENCYPART_ARC
(18,16),-2.01564 # DEPENDENCYPART_ARC
(18,19),0.4711 # DEPENDENCYPART_ARC
(18,20),-0.802051 # DEPENDENCYPART_ARC
(18,21),-1.2302 # DEPENDENCYPART_ARC
(18,22),-1.17277 # DEPENDENCYPART_ARC
(18,23),-1.17573 # DEPENDENCYPART_ARC
(19,16),-1.19576 # DEPENDENCYPART_ARC
(19,17),-0.663402 # DEPENDENCYPART_ARC
(19,18),-0.132478 # DEPENDENCYPART_ARC
(19,20),1.25263 # DEPENDENCYPART_ARC
(19,21),-1.04485 # DEPENDENCYPART_ARC
(19,22),-1.49661 # DEPENDENCYPART_ARC
(19,23),-1.73022 # DEPENDENCYPART_ARC
(20,21),-0.593225 # DEPENDENCYPART_ARC
(21,16),-2.49814 # DEPENDENCYPART_ARC
(21,17),-2.37986 # DEPENDENCYPART_ARC
(21,19),-1.27405 # DEPENDENCYPART_ARC
(21,20),-0.893874 # DEPENDENCYPART_ARC
(21,22),-0.812651 # DEPENDENCYPART_ARC
(21,23),-1.8609 # DEPENDENCYPART_ARC
(22,16),-2.71003 # DEPENDENCYPART_ARC
(22,17),-2.31379 # DEPENDENCYPART_ARC
(22,19),-1.44288 # DEPENDENCYPART_ARC
(22,20),-1.71402 # DEPENDENCYPART_ARC
(22,21),0.156698 # DEPENDENCYPART_ARC
(22,23),-0.525412 # DEPENDENCYPART_ARC
(23,2),-3.84515 # DEPENDENCYPART_ARC
(23,4),-1.76095 # DEPENDENCYPART_ARC
(23,5),-2.17324 # DEPENDENCYPART_ARC
(23,6),-2.18422 # DEPENDENCYPART_ARC
(23,8),-1.52585 # DEPENDENCYPART_ARC
(23,9),-2.94782 # DEPENDENCYPART_ARC
(23,11),-2.25432 # DEPENDENCYPART_ARC
(23,12),-2.78619 # DEPENDENCYPART_ARC
(23,16),-1.0367 # DEPENDENCYPART_ARC
(23,17),-1.51264 # DEPENDENCYPART_ARC
(23,18),-1.38525 # DEPENDENCYPART_ARC
(23,19),-0.726223 # DEPENDENCYPART_ARC
(23,20),-1.22766 # DEPENDENCYPART_ARC
(23,21),0.131536 # DEPENDENCYPART_ARC
(23,22),1.08173 # DEPENDENCYPART_ARC
(23,24),-0.159076 # DEPENDENCYPART_ARC
(24,23),-0.591061 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0545145 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0634482 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0431451 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.108381 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0628048 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.042765 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.108187 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0298392 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.109174 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0998202 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0171101 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0275759 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0409489 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0276111 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0388373 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.00889909 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0171101 # DEPENDENCYPART_SIBL
(1,2),(1,24),0.0164863 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0276493 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0698918 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.00811972 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0432745 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0382386 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0177279 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.0212866 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0207482 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.00147745 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0114559 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0169468 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0030676 # DEPENDENCYPART_SIBL
(1,4),(1,24),0.0406063 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.00018955 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0184542 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0155549 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.00543224 # DEPENDENCYPART_SIBL
(1,6),(1,24),0.0717326 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.00251942 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0760786 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.0281287 # DEPENDENCYPART_SIBL
(1,7),(1,24),0.064711 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0231261 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0123069 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.0150158 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.00238071 # DEPENDENCYPART_SIBL
(1,10),(1,24),-0.0457086 # DEPENDENCYPART_SIBL
(1,13),(1,24),0.0212866 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.09041 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0722669 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0766524 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0236087 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.063881 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0271759 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.139926 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0719732 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.09041 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.018536 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.063881 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.064135 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.0448567 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0319101 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0335645 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0804692 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00691476 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0473986 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0432262 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0642824 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0316677 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.029726 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.00691476 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0311063 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.0267147 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0170268 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.017088 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00132089 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0113151 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.015937 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.000940406 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0022975 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0175038 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.00132089 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.00612786 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.0417004 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0174747 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.00134526 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00994218 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0229498 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0004325 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.00730119 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0172503 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.00134526 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.00654068 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.0330405 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00122601 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0169306 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.01795 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.00341999 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0149544 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.012838 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.00122601 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0228005 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.0742079 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0081949 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0712723 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.00612786 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0218091 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0205684 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.000740018 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.027516 # DEPENDENCYPART_SIBL
(2,7),(2,24),0.0599873 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0130338 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0285055 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.00943682 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0173451 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0230676 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.00208044 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.0244908 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0350786 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0135653 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0329932 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.000475402 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.00349389 # DEPENDENCYPART_SIBL
(2,10),(2,24),-0.0583045 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.00250691 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0111308 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0273459 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.00300908 # DEPENDENCYPART_SIBL
(2,12),(2,24),0.0262036 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.029726 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.00691476 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.0311063 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.0267147 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.0172348 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0256484 # DEPENDENCYPART_SIBL
(2,14),(2,24),0.118917 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.027516 # DEPENDENCYPART_SIBL
(2,15),(2,24),0.0599873 # DEPENDENCYPART_SIBL
(2,18),(2,24),0.0624618 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.18045 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0642136 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0144632 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0841105 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0269798 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0654372 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0167807 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0841105 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0936971 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.091446 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0623501 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0743917 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.276244 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0764703 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0623501 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00789084 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0252518 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0156978 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.019727 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0332141 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0252518 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0385688 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00124396 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0021394 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.00866149 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0385688 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0400868 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0966283 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0735859 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.00822817 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0127881 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0518247 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0267967 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0125165 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0211486 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.0360827 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.198023 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0150309 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.011864 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0862707 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0150149 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0722165 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0207329 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0929869 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0686465 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0706854 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.273616 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0209758 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.02765 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0117016 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.118345 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0349376 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.00248136 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.00381848 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0371441 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0856075 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.00692887 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0414633 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0113924 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0166221 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00531564 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.142633 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0655103 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0281143 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0578805 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0153597 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0930534 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0221904 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.142633 # DEPENDENCYPART_SIBL
(6,1),(6,24),-0.0450883 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0229619 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00470843 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.00659741 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.11109 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0602059 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0400155 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0111752 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0282122 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0646941 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0158703 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.11109 # DEPENDENCYPART_SIBL
(6,2),(6,24),-0.00228749 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0446631 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0375234 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0567162 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0552732 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0269376 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.102245 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0169838 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0329587 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0234014 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0567162 # DEPENDENCYPART_SIBL
(6,3),(6,24),0.055831 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.00715234 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0546746 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.00674698 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0643612 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0219844 # DEPENDENCYPART_SIBL
