# _root_ One customer , Dayna Brunsdon , says she spurned a color portrait for black and white because `` it 's more dramatic .
#goldHeads=2,7,2,5,2,2,0,9,7,12,12,9,9,13,14,15,9,20,20,17,22,20,7,
#predictedHeads=2,7,2,5,2,2,0,9,7,12,12,9,9,13,14,15,9,17,20,17,22,20,7,
(7,20),-0.98509 # DEPENDENCYPART_ARC
(7,21),-1.6349 # DEPENDENCYPART_ARC
(7,22),-1.75467 # DEPENDENCYPART_ARC
(7,23),0.635116 # DEPENDENCYPART_ARC
(8,5),-1.90776 # DEPENDENCYPART_ARC
(8,7),-0.603292 # DEPENDENCYPART_ARC
(8,9),-0.388666 # DEPENDENCYPART_ARC
(9,1),-1.75972 # DEPENDENCYPART_ARC
(9,2),-1.43888 # DEPENDENCYPART_ARC
(9,3),-1.36385 # DEPENDENCYPART_ARC
(9,4),-1.77882 # DEPENDENCYPART_ARC
(9,5),-1.73826 # DEPENDENCYPART_ARC
(9,6),-1.05715 # DEPENDENCYPART_ARC
(9,7),-1.2281 # DEPENDENCYPART_ARC
(9,8),0.790088 # DEPENDENCYPART_ARC
(9,10),0.311681 # DEPENDENCYPART_ARC
(9,11),0.290624 # DEPENDENCYPART_ARC
(9,12),-0.0324259 # DEPENDENCYPART_ARC
(9,13),-0.568775 # DEPENDENCYPART_ARC
(9,14),-1.27726 # DEPENDENCYPART_ARC
(9,15),-1.10299 # DEPENDENCYPART_ARC
(9,16),-1.58452 # DEPENDENCYPART_ARC
(9,17),-0.769365 # DEPENDENCYPART_ARC
(9,18),-1.30882 # DEPENDENCYPART_ARC
(9,19),-1.49608 # DEPENDENCYPART_ARC
(9,20),-1.2622 # DEPENDENCYPART_ARC
(9,21),-1.4456 # DEPENDENCYPART_ARC
(9,22),-1.81216 # DEPENDENCYPART_ARC
(9,23),-0.0457841 # DEPENDENCYPART_ARC
(10,11),-0.0383574 # DEPENDENCYPART_ARC
(10,13),-1.31959 # DEPENDENCYPART_ARC
(11,10),0.127843 # DEPENDENCYPART_ARC
(11,12),-0.579862 # DEPENDENCYPART_ARC
(11,13),-1.06998 # DEPENDENCYPART_ARC
(11,14),-1.69982 # DEPENDENCYPART_ARC
(11,15),-1.81483 # DEPENDENCYPART_ARC
(11,17),-1.7748 # DEPENDENCYPART_ARC
(11,20),-1.83299 # DEPENDENCYPART_ARC
(12,1),-1.60241 # DEPENDENCYPART_ARC
(12,2),-1.97892 # DEPENDENCYPART_ARC
(12,3),-2.24899 # DEPENDENCYPART_ARC
(12,4),-1.82472 # DEPENDENCYPART_ARC
(12,5),-2.14269 # DEPENDENCYPART_ARC
(12,6),-2.19825 # DEPENDENCYPART_ARC
(12,7),-1.2808 # DEPENDENCYPART_ARC
(12,8),-1.39291 # DEPENDENCYPART_ARC
(12,9),-0.929737 # DEPENDENCYPART_ARC
(12,10),0.524292 # DEPENDENCYPART_ARC
(12,11),1.60255 # DEPENDENCYPART_ARC
(12,13),-0.0514754 # DEPENDENCYPART_ARC
(12,14),-1.41327 # DEPENDENCYPART_ARC
(12,15),-1.33875 # DEPENDENCYPART_ARC
(12,16),-1.7247 # DEPENDENCYPART_ARC
(12,17),-1.74915 # DEPENDENCYPART_ARC
(12,18),-1.84197 # DEPENDENCYPART_ARC
(12,20),-1.63706 # DEPENDENCYPART_ARC
(12,21),-1.91414 # DEPENDENCYPART_ARC
(12,22),-2.31164 # DEPENDENCYPART_ARC
(13,12),-0.752713 # DEPENDENCYPART_ARC
(13,14),-0.234673 # DEPENDENCYPART_ARC
(13,15),-1.04991 # DEPENDENCYPART_ARC
(13,16),-1.46698 # DEPENDENCYPART_ARC
(13,17),-1.53962 # DEPENDENCYPART_ARC
(13,18),-1.4181 # DEPENDENCYPART_ARC
(13,20),-1.59691 # DEPENDENCYPART_ARC
(13,21),-2.09974 # DEPENDENCYPART_ARC
(14,12),-1.30589 # DEPENDENCYPART_ARC
(14,13),-0.325453 # DEPENDENCYPART_ARC
(14,15),1.23244 # DEPENDENCYPART_ARC
(14,16),-0.765389 # DEPENDENCYPART_ARC
(14,17),-0.739041 # DEPENDENCYPART_ARC
(14,18),-1.29852 # DEPENDENCYPART_ARC
(14,19),-1.21527 # DEPENDENCYPART_ARC
(14,20),-0.94043 # DEPENDENCYPART_ARC
(14,21),-1.36886 # DEPENDENCYPART_ARC
(14,22),-1.61718 # DEPENDENCYPART_ARC
(15,16),0.618553 # DEPENDENCYPART_ARC
(15,17),-0.560835 # DEPENDENCYPART_ARC
(15,18),-1.12778 # DEPENDENCYPART_ARC
(15,19),-1.63252 # DEPENDENCYPART_ARC
(15,20),-1.32278 # DEPENDENCYPART_ARC
(15,21),-1.6676 # DEPENDENCYPART_ARC
(15,22),-1.79706 # DEPENDENCYPART_ARC
(16,17),0.00416959 # DEPENDENCYPART_ARC
(16,18),-1.27593 # DEPENDENCYPART_ARC
(16,20),-1.25511 # DEPENDENCYPART_ARC
(17,13),-1.4755 # DEPENDENCYPART_ARC
(17,14),-1.62609 # DEPENDENCYPART_ARC
(17,15),-1.37646 # DEPENDENCYPART_ARC
(17,16),-0.596138 # DEPENDENCYPART_ARC
(17,18),0.741922 # DEPENDENCYPART_ARC
(17,19),-0.799615 # DEPENDENCYPART_ARC
(17,20),-0.274481 # DEPENDENCYPART_ARC
(17,21),-1.38558 # DEPENDENCYPART_ARC
(17,22),-1.64817 # DEPENDENCYPART_ARC
(19,21),-1.14357 # DEPENDENCYPART_ARC
(19,22),-1.46603 # DEPENDENCYPART_ARC
(20,1),-2.21918 # DEPENDENCYPART_ARC
(20,2),-2.01897 # DEPENDENCYPART_ARC
(20,3),-2.61265 # DEPENDENCYPART_ARC
(20,4),-2.06548 # DEPENDENCYPART_ARC
(20,5),-2.17787 # DEPENDENCYPART_ARC
(20,6),-2.64412 # DEPENDENCYPART_ARC
(20,7),-1.48349 # DEPENDENCYPART_ARC
(20,8),-2.46881 # DEPENDENCYPART_ARC
(20,9),-1.84979 # DEPENDENCYPART_ARC
(20,11),-1.63303 # DEPENDENCYPART_ARC
(20,12),-1.5501 # DEPENDENCYPART_ARC
(20,13),-1.53469 # DEPENDENCYPART_ARC
(20,14),-1.91194 # DEPENDENCYPART_ARC
(20,15),-1.68194 # DEPENDENCYPART_ARC
(20,16),-1.70251 # DEPENDENCYPART_ARC
(20,17),-1.26871 # DEPENDENCYPART_ARC
(20,18),-0.962753 # DEPENDENCYPART_ARC
(20,19),0.710679 # DEPENDENCYPART_ARC
(20,21),0.418914 # DEPENDENCYPART_ARC
(20,22),-0.214795 # DEPENDENCYPART_ARC
(20,23),-0.352038 # DEPENDENCYPART_ARC
(21,19),-1.3655 # DEPENDENCYPART_ARC
(21,22),-0.317386 # DEPENDENCYPART_ARC
(22,2),-1.62569 # DEPENDENCYPART_ARC
(22,5),-1.92611 # DEPENDENCYPART_ARC
(22,12),-1.41292 # DEPENDENCYPART_ARC
(22,13),-1.56876 # DEPENDENCYPART_ARC
(22,14),-1.56463 # DEPENDENCYPART_ARC
(22,16),-1.36602 # DEPENDENCYPART_ARC
(22,17),-1.35818 # DEPENDENCYPART_ARC
(22,18),-1.2732 # DEPENDENCYPART_ARC
(22,19),-1.53384 # DEPENDENCYPART_ARC
(22,20),-1.04746 # DEPENDENCYPART_ARC
(22,21),0.597585 # DEPENDENCYPART_ARC
(23,22),-0.840403 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0531112 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.11011 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0958673 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.131808 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.124615 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.190711 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0025759 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0239674 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0239674 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0025759 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0194893 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0302798 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.132647 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.132647 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.104832 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0200486 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0162303 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0133507 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0172699 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0218071 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0406732 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0172699 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0218071 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0406732 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0200486 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0162303 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0691051 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0577145 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0857961 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0857961 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0577145 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.087646 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0326832 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0508758 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.000444305 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.00347577 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.00345597 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0679867 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.00458249 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0698097 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0488769 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0647611 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0647611 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0803777 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0347381 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0219686 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0472153 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0714235 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0698738 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0304242 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0317695 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0453474 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0262314 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.0133452 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.029912 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0398475 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0017355 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0101718 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.000703521 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0371211 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0372513 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0643641 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.00822618 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0239435 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.012303 # DEPENDENCYPART_SIBL
(2,4),(2,23),-0.00279287 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0398475 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0017355 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0101718 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.000703521 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0371211 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0372513 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0643641 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.00822618 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0239435 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.012303 # DEPENDENCYPART_SIBL
(2,5),(2,23),-0.00279287 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0347381 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0219686 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0472153 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0714235 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0698738 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0304242 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0317695 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0453474 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0262314 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.0133452 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0329936 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.00688651 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0341007 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0339715 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.004848 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0375193 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0284618 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0338387 # DEPENDENCYPART_SIBL
(2,7),(2,23),0.0914508 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00403648 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0125458 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0124147 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0428904 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.00538145 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0107722 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.00169874 # DEPENDENCYPART_SIBL
(2,8),(2,23),-0.0161084 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.00346901 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.00360005 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0190351 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0139876 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0338605 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0176686 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.0137791 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0293484 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0388381 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0048986 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.00697347 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0123815 # DEPENDENCYPART_SIBL
(2,11),(2,23),0.00848546 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0385231 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.00546175 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.00679996 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0129447 # DEPENDENCYPART_SIBL
(2,12),(2,23),0.00561152 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0684586 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.0685359 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.0559593 # DEPENDENCYPART_SIBL
(2,13),(2,23),0.122715 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0187996 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0280451 # DEPENDENCYPART_SIBL
(2,14),(2,23),-0.0164265 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.00902445 # DEPENDENCYPART_SIBL
(2,15),(2,23),-0.0224273 # DEPENDENCYPART_SIBL
(2,16),(2,23),-0.00780179 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0460335 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0617703 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0237408 # DEPENDENCYPART_SIBL
(4,1),(4,6),-9.21694e-05 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0712806 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0103898 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0353992 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0466338 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0112187 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00677077 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0435996 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0207645 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.051199 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0235162 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00620685 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.113079 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0587094 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0427056 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.124896 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0033392 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.145976 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.00463368 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00119956 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.04032 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0472971 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.01595 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0223379 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0171412 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0287596 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0714218 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00200862 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0172401 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.00555539 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0293805 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0175417 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0371365 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0460335 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0617703 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0105047 # DEPENDENCYPART_SIBL
(5,1),(5,6),-9.21694e-05 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0712806 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0103898 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0353992 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0466338 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0165298 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0676986 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0112187 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0762652 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0435996 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0207645 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.051199 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0235162 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.00620685 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0413033 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0926961 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0178897 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0587094 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0427056 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.124896 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0033392 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.145976 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.13316 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.286644 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0658534 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0872627 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0234863 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0454862 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0551589 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0527366 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0809509 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0223379 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0171412 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0287596 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0714218 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.00699784 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0432262 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.00200862 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0172401 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.00555539 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0227969 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.00587626 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0293805 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0175417 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0118825 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0395953 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0371365 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0317673 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0160864 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.00133298 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.0248019 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0196871 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0539349 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0761804 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.00925187 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.00925187 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0761804 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.00357673 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0167793 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0119093 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0142059 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0417499 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0215671 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0676977 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.019515 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.00217861 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.0921767 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.0703035 # DEPENDENCYPART_SIBL
(7,1),(7,21),-0.0105952 # DEPENDENCYPART_SIBL
(7,1),(7,22),0.0176078 # DEPENDENCYPART_SIBL
(7,1),(7,23),0.0707122 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0345441 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0967606 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0967606 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0345441 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.00516773 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0388605 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0213046 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0206519 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0505797 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0225644 # DEPENDENCYPART_SIBL
