# _root_ Telephone service has been improved for customers trying to reach their brokers , and specialists -- who I believe should stay , despite the urgings of some post-crash critics -- have larger capital positions .
#goldHeads=2,3,0,3,4,2,6,7,8,9,12,10,3,3,31,15,20,19,15,19,20,19,19,25,23,25,29,29,26,15,14,34,34,31,3,
#predictedHeads=2,3,0,3,4,5,6,7,8,9,12,10,3,3,14,15,19,19,15,19,20,21,21,25,23,25,29,29,26,21,21,34,34,31,3,
(7,10),-1.44299 # DEPENDENCYPART_ARC
(7,12),-1.38298 # DEPENDENCYPART_ARC
(7,13),-1.60368 # DEPENDENCYPART_ARC
(7,14),-1.63353 # DEPENDENCYPART_ARC
(7,16),-1.0778 # DEPENDENCYPART_ARC
(7,19),-1.86029 # DEPENDENCYPART_ARC
(7,20),-1.77413 # DEPENDENCYPART_ARC
(8,1),-1.66512 # DEPENDENCYPART_ARC
(8,2),-1.61993 # DEPENDENCYPART_ARC
(8,3),-1.71808 # DEPENDENCYPART_ARC
(8,5),-1.47363 # DEPENDENCYPART_ARC
(8,6),-1.40011 # DEPENDENCYPART_ARC
(8,7),-0.442934 # DEPENDENCYPART_ARC
(8,9),0.954287 # DEPENDENCYPART_ARC
(8,10),-0.477455 # DEPENDENCYPART_ARC
(8,12),-0.732703 # DEPENDENCYPART_ARC
(8,13),-1.37181 # DEPENDENCYPART_ARC
(8,14),-1.47642 # DEPENDENCYPART_ARC
(8,15),-1.30217 # DEPENDENCYPART_ARC
(8,16),-1.30278 # DEPENDENCYPART_ARC
(8,18),-1.49416 # DEPENDENCYPART_ARC
(8,19),-1.64475 # DEPENDENCYPART_ARC
(8,20),-1.73031 # DEPENDENCYPART_ARC
(8,23),-1.78595 # DEPENDENCYPART_ARC
(9,7),-1.71597 # DEPENDENCYPART_ARC
(9,8),-0.702373 # DEPENDENCYPART_ARC
(9,10),1.05741 # DEPENDENCYPART_ARC
(9,12),-0.789946 # DEPENDENCYPART_ARC
(9,13),-1.2587 # DEPENDENCYPART_ARC
(9,14),-1.53065 # DEPENDENCYPART_ARC
(9,15),-1.50439 # DEPENDENCYPART_ARC
(9,21),-1.96509 # DEPENDENCYPART_ARC
(10,2),-1.68601 # DEPENDENCYPART_ARC
(10,6),-1.30009 # DEPENDENCYPART_ARC
(10,7),-1.03428 # DEPENDENCYPART_ARC
(10,11),0.190418 # DEPENDENCYPART_ARC
(10,12),-0.0679805 # DEPENDENCYPART_ARC
(10,13),-1.03503 # DEPENDENCYPART_ARC
(10,14),-1.35303 # DEPENDENCYPART_ARC
(10,15),-0.907715 # DEPENDENCYPART_ARC
(10,16),-0.998032 # DEPENDENCYPART_ARC
(10,17),-1.6187 # DEPENDENCYPART_ARC
(10,18),-1.50511 # DEPENDENCYPART_ARC
(10,19),-1.20246 # DEPENDENCYPART_ARC
(10,20),-1.46683 # DEPENDENCYPART_ARC
(10,21),-1.50606 # DEPENDENCYPART_ARC
(10,22),-1.71718 # DEPENDENCYPART_ARC
(10,23),-1.43084 # DEPENDENCYPART_ARC
(10,25),-1.88219 # DEPENDENCYPART_ARC
(10,26),-1.68601 # DEPENDENCYPART_ARC
(10,30),-1.18572 # DEPENDENCYPART_ARC
(10,31),-1.86047 # DEPENDENCYPART_ARC
(10,35),-1.70555 # DEPENDENCYPART_ARC
(12,7),-1.51383 # DEPENDENCYPART_ARC
(12,11),1.16634 # DEPENDENCYPART_ARC
(12,13),-0.0354554 # DEPENDENCYPART_ARC
(12,14),-1.48984 # DEPENDENCYPART_ARC
(12,15),-1.18949 # DEPENDENCYPART_ARC
(12,16),-1.20469 # DEPENDENCYPART_ARC
(12,19),-1.67063 # DEPENDENCYPART_ARC
(12,20),-1.80638 # DEPENDENCYPART_ARC
(12,22),-1.70344 # DEPENDENCYPART_ARC
(14,15),0.305586 # DEPENDENCYPART_ARC
(14,16),-0.87397 # DEPENDENCYPART_ARC
(14,17),-1.54348 # DEPENDENCYPART_ARC
(14,18),-1.64384 # DEPENDENCYPART_ARC
(14,19),-1.25462 # DEPENDENCYPART_ARC
(14,20),-1.54815 # DEPENDENCYPART_ARC
(14,21),-2.0367 # DEPENDENCYPART_ARC
(15,11),-1.18724 # DEPENDENCYPART_ARC
(15,12),-1.42942 # DEPENDENCYPART_ARC
(15,16),0.11568 # DEPENDENCYPART_ARC
(15,17),-1.3512 # DEPENDENCYPART_ARC
(15,18),-1.388 # DEPENDENCYPART_ARC
(15,19),-1.17605 # DEPENDENCYPART_ARC
(15,20),-1.42562 # DEPENDENCYPART_ARC
(15,21),-1.97376 # DEPENDENCYPART_ARC
(15,22),-1.64378 # DEPENDENCYPART_ARC
(15,23),-1.71151 # DEPENDENCYPART_ARC
(15,25),-1.71378 # DEPENDENCYPART_ARC
(15,26),-1.88637 # DEPENDENCYPART_ARC
(15,30),-1.21822 # DEPENDENCYPART_ARC
(15,34),-2.06187 # DEPENDENCYPART_ARC
(16,15),-0.610578 # DEPENDENCYPART_ARC
(16,17),-0.303046 # DEPENDENCYPART_ARC
(16,18),-1.31976 # DEPENDENCYPART_ARC
(17,15),-1.64042 # DEPENDENCYPART_ARC
(17,18),-0.0277995 # DEPENDENCYPART_ARC
(17,20),-0.982662 # DEPENDENCYPART_ARC
(17,21),-1.38432 # DEPENDENCYPART_ARC
(17,23),-1.21318 # DEPENDENCYPART_ARC
(17,25),-1.74723 # DEPENDENCYPART_ARC
(17,26),-1.3689 # DEPENDENCYPART_ARC
(18,17),-1.17674 # DEPENDENCYPART_ARC
(19,2),-1.69355 # DEPENDENCYPART_ARC
(19,3),-1.74221 # DEPENDENCYPART_ARC
(19,4),-1.73748 # DEPENDENCYPART_ARC
(19,5),-1.71973 # DEPENDENCYPART_ARC
(19,6),-1.34418 # DEPENDENCYPART_ARC
(19,7),-1.39697 # DEPENDENCYPART_ARC
(19,8),-1.54194 # DEPENDENCYPART_ARC
(19,9),-1.58036 # DEPENDENCYPART_ARC
(19,11),-1.65558 # DEPENDENCYPART_ARC
(19,12),-1.09532 # DEPENDENCYPART_ARC
(19,13),-1.45115 # DEPENDENCYPART_ARC
(19,15),-0.783629 # DEPENDENCYPART_ARC
(19,16),-1.03911 # DEPENDENCYPART_ARC
(19,17),-0.41777 # DEPENDENCYPART_ARC
(19,18),0.847044 # DEPENDENCYPART_ARC
(19,20),0.42476 # DEPENDENCYPART_ARC
(19,21),-0.627954 # DEPENDENCYPART_ARC
(19,22),-1.17179 # DEPENDENCYPART_ARC
(19,23),-1.13461 # DEPENDENCYPART_ARC
(19,25),-1.62762 # DEPENDENCYPART_ARC
(19,26),-1.51497 # DEPENDENCYPART_ARC
(19,29),-1.96285 # DEPENDENCYPART_ARC
(19,30),-1.23293 # DEPENDENCYPART_ARC
(19,35),-0.56676 # DEPENDENCYPART_ARC
(20,1),-1.3773 # DEPENDENCYPART_ARC
(20,2),-1.41885 # DEPENDENCYPART_ARC
(20,3),-1.72744 # DEPENDENCYPART_ARC
(20,4),-1.75803 # DEPENDENCYPART_ARC
(20,5),-1.7698 # DEPENDENCYPART_ARC
(20,6),-1.26336 # DEPENDENCYPART_ARC
(20,7),-1.01892 # DEPENDENCYPART_ARC
(20,8),-1.29897 # DEPENDENCYPART_ARC
(20,9),-1.3867 # DEPENDENCYPART_ARC
(20,11),-1.6599 # DEPENDENCYPART_ARC
(20,12),-1.14375 # DEPENDENCYPART_ARC
(20,13),-1.88682 # DEPENDENCYPART_ARC
(20,14),-1.50598 # DEPENDENCYPART_ARC
(20,15),-0.965272 # DEPENDENCYPART_ARC
(20,16),-1.24004 # DEPENDENCYPART_ARC
(20,17),-0.78679 # DEPENDENCYPART_ARC
(20,18),-0.769958 # DEPENDENCYPART_ARC
(20,19),-0.0799541 # DEPENDENCYPART_ARC
(20,21),1.29747 # DEPENDENCYPART_ARC
(20,22),-0.923421 # DEPENDENCYPART_ARC
(20,23),-0.855157 # DEPENDENCYPART_ARC
(20,25),-1.24164 # DEPENDENCYPART_ARC
(20,26),-1.10802 # DEPENDENCYPART_ARC
(20,29),-1.63055 # DEPENDENCYPART_ARC
(20,30),-1.23118 # DEPENDENCYPART_ARC
(20,31),-1.29813 # DEPENDENCYPART_ARC
(20,32),-1.55084 # DEPENDENCYPART_ARC
(20,35),0.157833 # DEPENDENCYPART_ARC
(21,3),-1.72225 # DEPENDENCYPART_ARC
(21,6),-1.53366 # DEPENDENCYPART_ARC
(21,15),-1.29251 # DEPENDENCYPART_ARC
(21,17),-1.00266 # DEPENDENCYPART_ARC
(21,18),-1.3913 # DEPENDENCYPART_ARC
(21,22),0.0723326 # DEPENDENCYPART_ARC
(21,23),-0.356027 # DEPENDENCYPART_ARC
(21,25),-0.95114 # DEPENDENCYPART_ARC
(21,26),-0.9998 # DEPENDENCYPART_ARC
(21,29),-1.68552 # DEPENDENCYPART_ARC
(21,30),-1.06455 # DEPENDENCYPART_ARC
(21,31),-1.5263 # DEPENDENCYPART_ARC
(21,32),-1.68893 # DEPENDENCYPART_ARC
(21,34),-1.95726 # DEPENDENCYPART_ARC
(21,35),-1.31877 # DEPENDENCYPART_ARC
(23,17),-1.84509 # DEPENDENCYPART_ARC
(23,22),-0.668696 # DEPENDENCYPART_ARC
(23,24),-0.0427587 # DEPENDENCYPART_ARC
(23,25),-0.0689598 # DEPENDENCYPART_ARC
(23,26),-0.936326 # DEPENDENCYPART_ARC
(23,28),-1.62028 # DEPENDENCYPART_ARC
(23,29),-1.58803 # DEPENDENCYPART_ARC
(23,30),-1.37275 # DEPENDENCYPART_ARC
(23,31),-1.61481 # DEPENDENCYPART_ARC
(23,34),-2.35056 # DEPENDENCYPART_ARC
(24,26),-1.46737 # DEPENDENCYPART_ARC
(25,23),-0.93823 # DEPENDENCYPART_ARC
(25,24),1.3599 # DEPENDENCYPART_ARC
(25,26),0.498263 # DEPENDENCYPART_ARC
(25,27),-1.11327 # DEPENDENCYPART_ARC
(25,28),-0.996337 # DEPENDENCYPART_ARC
(25,29),-1.00568 # DEPENDENCYPART_ARC
(25,30),-0.948527 # DEPENDENCYPART_ARC
(25,31),-1.57492 # DEPENDENCYPART_ARC
(25,32),-1.24774 # DEPENDENCYPART_ARC
(25,34),-1.49449 # DEPENDENCYPART_ARC
(25,35),-1.61081 # DEPENDENCYPART_ARC
(26,27),-0.060932 # DEPENDENCYPART_ARC
(26,28),-0.952006 # DEPENDENCYPART_ARC
(26,29),-0.257637 # DEPENDENCYPART_ARC
(26,31),-1.47838 # DEPENDENCYPART_ARC
(26,32),-1.69019 # DEPENDENCYPART_ARC
(26,34),-1.56199 # DEPENDENCYPART_ARC
(27,28),-0.202047 # DEPENDENCYPART_ARC
(27,32),-1.53298 # DEPENDENCYPART_ARC
(28,27),-0.24725 # DEPENDENCYPART_ARC
(28,32),-1.38703 # DEPENDENCYPART_ARC
(29,11),-1.57449 # DEPENDENCYPART_ARC
(29,24),-1.04573 # DEPENDENCYPART_ARC
(29,25),-0.936421 # DEPENDENCYPART_ARC
(29,27),0.614059 # DEPENDENCYPART_ARC
(29,28),1.4832 # DEPENDENCYPART_ARC
(29,30),0.0964267 # DEPENDENCYPART_ARC
(29,31),-1.31917 # DEPENDENCYPART_ARC
(29,32),-1.20311 # DEPENDENCYPART_ARC
(29,33),-1.48164 # DEPENDENCYPART_ARC
(29,34),-1.44622 # DEPENDENCYPART_ARC
(29,35),-1.54768 # DEPENDENCYPART_ARC
(30,29),-0.626314 # DEPENDENCYPART_ARC
(30,31),-0.34402 # DEPENDENCYPART_ARC
(31,2),-1.42775 # DEPENDENCYPART_ARC
(31,3),-2.16634 # DEPENDENCYPART_ARC
(31,17),-2.22569 # DEPENDENCYPART_ARC
(31,22),-1.58246 # DEPENDENCYPART_ARC
(31,23),-1.39852 # DEPENDENCYPART_ARC
(31,25),-1.25231 # DEPENDENCYPART_ARC
(31,26),-1.32846 # DEPENDENCYPART_ARC
(31,27),-1.40613 # DEPENDENCYPART_ARC
(31,28),-1.22107 # DEPENDENCYPART_ARC
(31,29),-1.02517 # DEPENDENCYPART_ARC
(31,30),-0.14599 # DEPENDENCYPART_ARC
(31,32),0.681206 # DEPENDENCYPART_ARC
(31,33),0.288184 # DEPENDENCYPART_ARC
(31,34),-0.171267 # DEPENDENCYPART_ARC
(31,35),-0.551044 # DEPENDENCYPART_ARC
(32,29),-1.46103 # DEPENDENCYPART_ARC
(32,31),-0.359415 # DEPENDENCYPART_ARC
(32,33),-0.187883 # DEPENDENCYPART_ARC
(32,34),-1.20949 # DEPENDENCYPART_ARC
(33,32),-0.197819 # DEPENDENCYPART_ARC
(33,34),-0.364622 # DEPENDENCYPART_ARC
(34,24),-1.99882 # DEPENDENCYPART_ARC
(34,25),-1.58611 # DEPENDENCYPART_ARC
(34,27),-1.22621 # DEPENDENCYPART_ARC
(34,28),-1.28536 # DEPENDENCYPART_ARC
(34,29),-1.17838 # DEPENDENCYPART_ARC
(34,30),-1.3312 # DEPENDENCYPART_ARC
(34,31),-0.971883 # DEPENDENCYPART_ARC
(34,32),0.0567075 # DEPENDENCYPART_ARC
(34,33),1.79919 # DEPENDENCYPART_ARC
(35,34),-0.879108 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.131533 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0419169 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0849637 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0785157 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.105731 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.149233 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.114136 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.060322 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0405983 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.100133 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00477218 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00196426 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.000874661 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0294764 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0203072 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0330431 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0379151 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0063504 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0577784 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0860978 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0261731 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0143374 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.00268733 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0141181 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0347233 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0178976 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0562438 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00882842 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0400794 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0272954 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.091343 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0255786 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0304506 # DEPENDENCYPART_SIBL
(2,3),(2,6),6.87146e-05 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0584515 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.000984302 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0759732 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0204857 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.014258 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.00833762 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00300008 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0140387 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.00588332 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0352881 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0318508 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00939318 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.198808 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0864573 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0289005 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0149273 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0254667 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0299115 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0389658 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0445703 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0181731 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0111995 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.00106563 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0278646 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.0445703 # DEPENDENCYPART_SIBL
(3,1),(3,35),0.0136383 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0889786 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0297528 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0441232 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0198511 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0343352 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0309605 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0197989 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0123233 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0278062 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.002146 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.020968 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0197989 # DEPENDENCYPART_SIBL
(3,2),(3,35),0.00375323 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.152908 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0640975 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0454471 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0199799 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0524199 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0636251 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.317303 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.179154 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0457406 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.0305402 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.0636251 # DEPENDENCYPART_SIBL
(3,4),(3,35),0.142072 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.101116 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.11978 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0945999 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.105083 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0309469 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.100931 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0309219 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0369033 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0414109 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0309469 # DEPENDENCYPART_SIBL
(3,5),(3,35),0.0329304 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0893053 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.022695 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.120245 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.00775615 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.000958452 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0192271 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.014901 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0740307 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.00775615 # DEPENDENCYPART_SIBL
(3,6),(3,35),-0.00511345 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0449177 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0299527 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0445932 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0762102 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0323673 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.00120655 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.0114602 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0445932 # DEPENDENCYPART_SIBL
(3,7),(3,35),0.00400046 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.06185 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.00311097 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.037688 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0198098 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0108214 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0161635 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.00311097 # DEPENDENCYPART_SIBL
(3,8),(3,35),0.013072 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.00870382 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0188182 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.00265875 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.003668 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.0215702 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.00870382 # DEPENDENCYPART_SIBL
(3,9),(3,35),-0.0187175 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.025015 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.053767 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0220014 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.0452579 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0258027 # DEPENDENCYPART_SIBL
(3,13),(3,35),0.00428444 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.0133776 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.0302558 # DEPENDENCYPART_SIBL
(3,14),(3,20),-0.0299395 # DEPENDENCYPART_SIBL
(3,14),(3,22),-0.017915 # DEPENDENCYPART_SIBL
(3,14),(3,35),0.00541954 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.0253846 # DEPENDENCYPART_SIBL
(3,16),(3,20),-0.0114973 # DEPENDENCYPART_SIBL
(3,16),(3,22),-0.0835974 # DEPENDENCYPART_SIBL
(3,16),(3,35),-0.0220925 # DEPENDENCYPART_SIBL
(3,19),(3,20),-0.032667 # DEPENDENCYPART_SIBL
(3,19),(3,22),-0.0546427 # DEPENDENCYPART_SIBL
(3,19),(3,35),0.0300098 # DEPENDENCYPART_SIBL
(3,20),(3,22),-0.00634046 # DEPENDENCYPART_SIBL
(3,20),(3,35),0.0160731 # DEPENDENCYPART_SIBL
(3,22),(3,35),0.00428444 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0126017 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0866133 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0275236 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0483132 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0720441 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0236911 # DEPENDENCYPART_SIBL
