# _root_ The stock market has lost some precursory power , analysts at the Columbia center claim , because of the growing impact of international developments .
#goldHeads=3,3,4,15,4,8,8,5,5,15,10,14,14,11,0,5,5,17,21,21,17,21,24,22,4,
#predictedHeads=3,3,4,0,4,8,8,5,5,5,5,15,15,15,11,5,5,17,21,21,17,21,24,22,4,
(11,18),-0.965769 # DEPENDENCYPART_ARC
(11,21),-1.7423 # DEPENDENCYPART_ARC
(11,25),-2.28788 # DEPENDENCYPART_ARC
(13,12),-0.198606 # DEPENDENCYPART_ARC
(13,14),-0.397044 # DEPENDENCYPART_ARC
(13,16),-1.72345 # DEPENDENCYPART_ARC
(13,17),-2.00421 # DEPENDENCYPART_ARC
(14,10),-1.78139 # DEPENDENCYPART_ARC
(14,12),-0.696541 # DEPENDENCYPART_ARC
(14,13),0.372278 # DEPENDENCYPART_ARC
(14,15),-0.768156 # DEPENDENCYPART_ARC
(14,17),-1.87182 # DEPENDENCYPART_ARC
(14,18),-2.14503 # DEPENDENCYPART_ARC
(14,21),-2.24695 # DEPENDENCYPART_ARC
(15,6),-1.80299 # DEPENDENCYPART_ARC
(15,7),-1.56252 # DEPENDENCYPART_ARC
(15,8),-1.80169 # DEPENDENCYPART_ARC
(15,9),-2.05204 # DEPENDENCYPART_ARC
(15,10),-0.814672 # DEPENDENCYPART_ARC
(15,11),-0.918129 # DEPENDENCYPART_ARC
(15,12),-0.0869825 # DEPENDENCYPART_ARC
(15,13),0.443334 # DEPENDENCYPART_ARC
(15,14),1.5922 # DEPENDENCYPART_ARC
(15,16),-0.0849689 # DEPENDENCYPART_ARC
(15,17),-1.48202 # DEPENDENCYPART_ARC
(15,18),-1.57553 # DEPENDENCYPART_ARC
(15,20),-1.87038 # DEPENDENCYPART_ARC
(15,21),-1.77276 # DEPENDENCYPART_ARC
(15,22),-2.38438 # DEPENDENCYPART_ARC
(15,25),-1.70343 # DEPENDENCYPART_ARC
(17,11),-1.75414 # DEPENDENCYPART_ARC
(17,15),-1.86231 # DEPENDENCYPART_ARC
(17,16),-0.779307 # DEPENDENCYPART_ARC
(17,18),1.14176 # DEPENDENCYPART_ARC
(17,19),-0.710391 # DEPENDENCYPART_ARC
(17,20),-0.716232 # DEPENDENCYPART_ARC
(17,21),-0.82881 # DEPENDENCYPART_ARC
(17,22),-0.806157 # DEPENDENCYPART_ARC
(17,23),-1.65068 # DEPENDENCYPART_ARC
(17,24),-1.48787 # DEPENDENCYPART_ARC
(17,25),-1.24756 # DEPENDENCYPART_ARC
(18,17),-0.78876 # DEPENDENCYPART_ARC
(18,19),-0.383412 # DEPENDENCYPART_ARC
(18,20),-0.97652 # DEPENDENCYPART_ARC
(18,21),-0.912838 # DEPENDENCYPART_ARC
(18,24),-1.87862 # DEPENDENCYPART_ARC
(19,18),-0.68915 # DEPENDENCYPART_ARC
(19,20),-0.446748 # DEPENDENCYPART_ARC
(20,10),-1.94184 # DEPENDENCYPART_ARC
(20,15),-1.87828 # DEPENDENCYPART_ARC
(20,18),-1.73229 # DEPENDENCYPART_ARC
(20,19),-0.609528 # DEPENDENCYPART_ARC
(20,21),0.0189643 # DEPENDENCYPART_ARC
(20,22),-0.900876 # DEPENDENCYPART_ARC
(20,23),-1.32566 # DEPENDENCYPART_ARC
(20,24),-1.21034 # DEPENDENCYPART_ARC
(21,11),-1.48905 # DEPENDENCYPART_ARC
(21,12),-2.50629 # DEPENDENCYPART_ARC
(21,16),-1.65892 # DEPENDENCYPART_ARC
(21,17),-1.08219 # DEPENDENCYPART_ARC
(21,18),-0.841608 # DEPENDENCYPART_ARC
(21,19),0.563466 # DEPENDENCYPART_ARC
(21,20),0.845624 # DEPENDENCYPART_ARC
(21,22),0.649065 # DEPENDENCYPART_ARC
(21,23),-0.973523 # DEPENDENCYPART_ARC
(21,24),-0.830236 # DEPENDENCYPART_ARC
(21,25),-1.18701 # DEPENDENCYPART_ARC
(22,23),-0.236221 # DEPENDENCYPART_ARC
(22,24),0.273048 # DEPENDENCYPART_ARC
(22,25),-1.44529 # DEPENDENCYPART_ARC
(24,19),-1.00294 # DEPENDENCYPART_ARC
(24,20),-1.1141 # DEPENDENCYPART_ARC
(24,21),-0.865061 # DEPENDENCYPART_ARC
(24,23),1.33702 # DEPENDENCYPART_ARC
(24,25),-0.466445 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.130708 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0355471 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.103312 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0701838 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.245022 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.15331 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0283155 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.103103 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0205997 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0160888 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00871666 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0214595 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0017046 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.00519987 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0330163 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00869526 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0313626 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0152089 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.038795 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0375872 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0182035 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.000630045 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.00798265 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.000881373 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.243671 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.164394 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0558723 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.127619 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.02681 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00184701 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0911591 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0301326 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0257875 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0216657 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.033886 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0532881 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0323219 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0274324 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.016216 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.076547 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0917003 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0299435 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0965286 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.16028 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0291797 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0242292 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.104582 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0537153 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0389885 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0242292 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0713717 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.130372 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.116996 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.194527 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.03717 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0912166 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0510371 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0240191 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0103223 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00239625 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0200974 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0408662 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0103223 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.00293129 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0784134 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.0146216 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0651449 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.124043 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0683854 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0808005 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0524927 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0289568 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0664849 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0976476 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0524927 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0499727 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0891657 # DEPENDENCYPART_SIBL
(4,3),(4,25),-0.0519925 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0659192 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.103025 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.144186 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0318911 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.122653 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.11504 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.143317 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0318911 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.117519 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.098958 # DEPENDENCYPART_SIBL
(4,5),(4,25),0.0410114 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0516145 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0551711 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.011384 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0795487 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00639359 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.054245 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.011384 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.00377619 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0250337 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.0557685 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.110964 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00981944 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.112417 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0245805 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.110546 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.00981944 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0570699 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.045836 # DEPENDENCYPART_SIBL
(4,7),(4,25),-0.0655743 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0302928 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0952301 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0785445 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0744026 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.0302928 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.154298 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0105102 # DEPENDENCYPART_SIBL
(4,8),(4,25),0.0049851 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0720654 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0250144 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0144471 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0258027 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0473699 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.0655138 # DEPENDENCYPART_SIBL
(4,9),(4,25),0.00428444 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0172804 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0634256 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.052031 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0302851 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0493998 # DEPENDENCYPART_SIBL
(4,10),(4,25),0.0151582 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0156947 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0104489 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.0365506 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.00560342 # DEPENDENCYPART_SIBL
(4,11),(4,25),-0.0152184 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.00436735 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.13444 # DEPENDENCYPART_SIBL
(4,15),(4,20),-0.0218638 # DEPENDENCYPART_SIBL
(4,15),(4,25),-0.00504576 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.0473699 # DEPENDENCYPART_SIBL
(4,16),(4,20),0.0655138 # DEPENDENCYPART_SIBL
(4,16),(4,25),0.00428444 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.00363139 # DEPENDENCYPART_SIBL
(4,17),(4,25),0.0386869 # DEPENDENCYPART_SIBL
(4,20),(4,25),-0.00730607 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0109178 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0406353 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0172618 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00465308 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.011406 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0443751 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0885346 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0603591 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0145537 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0100137 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0198262 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0443751 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0262727 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0458449 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.00217165 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.0101588 # DEPENDENCYPART_SIBL
(5,2),(5,25),0.152404 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0419796 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0133449 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00653582 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00232816 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0446117 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0815269 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0516789 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.00997047 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.00372042 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.00609204 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0446117 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0187369 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0378582 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0151903 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0035753 # DEPENDENCYPART_SIBL
(5,3),(5,25),0.118781 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0131431 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0440991 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0199626 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0275916 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0225308 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0109991 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0454973 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0177926 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0156655 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0275916 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.00935835 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0428698 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.00840865 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.0177751 # DEPENDENCYPART_SIBL
(5,4),(5,25),0.0990071 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.00161741 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0156484 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0145592 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0214962 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0382793 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.031084 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0182728 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0182752 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0145592 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0848177 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.00372122 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.0355058 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0184496 # DEPENDENCYPART_SIBL
(5,6),(5,25),0.000492511 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0413659 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0166255 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0396108 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.00819646 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0147898 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0438718 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0444876 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0166255 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.106439 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0447402 # DEPENDENCYPART_SIBL
(5,7),(5,20),0.0328823 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0440812 # DEPENDENCYPART_SIBL
(5,7),(5,25),-0.0139818 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0576319 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0335076 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0598808 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.00357474 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0264732 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0278298 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0576319 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.158263 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0182573 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.0697579 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.0264646 # DEPENDENCYPART_SIBL
(5,8),(5,25),0.0713992 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.031888 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0167979 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0354467 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0210555 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0156187 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.023536 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0371407 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0322526 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.150976 # DEPENDENCYPART_SIBL
(5,9),(5,21),-0.0168217 # DEPENDENCYPART_SIBL
(5,9),(5,25),-0.00947977 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0480744 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0176785 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.023741 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0239108 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0645532 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.0872182 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.019158 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.108119 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.0235139 # DEPENDENCYPART_SIBL
(5,10),(5,25),0.0638063 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0386712 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0173218 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0157111 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.073618 # DEPENDENCYPART_SIBL
(5,11),(5,17),0.0630932 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.089239 # DEPENDENCYPART_SIBL
(5,11),(5,20),0.032313 # DEPENDENCYPART_SIBL
(5,11),(5,21),-0.0102055 # DEPENDENCYPART_SIBL
(5,11),(5,25),0.018097 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0284948 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0261137 # DEPENDENCYPART_SIBL
