# _root_ Among rail and highway accounts , the agreement provides $ 615 million for Amtrak , including $ 85 million for capital improvements .
#goldHeads=9,1,2,5,3,9,8,9,0,9,10,10,10,13,10,10,16,17,17,16,22,20,9,
#predictedHeads=9,1,2,5,3,9,8,9,0,9,10,10,10,13,10,10,16,17,17,17,22,20,9,
(10,18),-1.72653 # DEPENDENCYPART_ARC
(10,19),-1.65859 # DEPENDENCYPART_ARC
(10,20),-1.57186 # DEPENDENCYPART_ARC
(10,23),-1.4656 # DEPENDENCYPART_ARC
(11,12),-0.574039 # DEPENDENCYPART_ARC
(11,13),-1.45026 # DEPENDENCYPART_ARC
(11,14),-1.62964 # DEPENDENCYPART_ARC
(12,1),-1.6544 # DEPENDENCYPART_ARC
(12,2),-1.92538 # DEPENDENCYPART_ARC
(12,3),-1.71892 # DEPENDENCYPART_ARC
(12,6),-1.92412 # DEPENDENCYPART_ARC
(12,7),-1.48988 # DEPENDENCYPART_ARC
(12,8),-1.6262 # DEPENDENCYPART_ARC
(12,11),0.33305 # DEPENDENCYPART_ARC
(12,13),-0.500349 # DEPENDENCYPART_ARC
(12,14),-1.37604 # DEPENDENCYPART_ARC
(12,15),-1.31577 # DEPENDENCYPART_ARC
(12,16),-1.64239 # DEPENDENCYPART_ARC
(12,17),-1.76313 # DEPENDENCYPART_ARC
(13,10),-1.53089 # DEPENDENCYPART_ARC
(13,12),-0.871503 # DEPENDENCYPART_ARC
(13,14),0.427272 # DEPENDENCYPART_ARC
(13,15),-1.02673 # DEPENDENCYPART_ARC
(13,16),-1.30598 # DEPENDENCYPART_ARC
(13,17),-1.64467 # DEPENDENCYPART_ARC
(13,22),-1.93987 # DEPENDENCYPART_ARC
(14,10),-1.6603 # DEPENDENCYPART_ARC
(14,12),-1.35746 # DEPENDENCYPART_ARC
(14,15),-0.0174018 # DEPENDENCYPART_ARC
(14,16),-1.29706 # DEPENDENCYPART_ARC
(14,17),-1.52241 # DEPENDENCYPART_ARC
(14,19),-1.95585 # DEPENDENCYPART_ARC
(14,20),-1.83492 # DEPENDENCYPART_ARC
(14,22),-2.27077 # DEPENDENCYPART_ARC
(14,23),-1.81162 # DEPENDENCYPART_ARC
(16,1),-2.02021 # DEPENDENCYPART_ARC
(16,2),-2.20628 # DEPENDENCYPART_ARC
(16,8),-1.96665 # DEPENDENCYPART_ARC
(16,10),-1.96174 # DEPENDENCYPART_ARC
(16,13),-1.40866 # DEPENDENCYPART_ARC
(16,14),-1.61802 # DEPENDENCYPART_ARC
(16,15),-0.423028 # DEPENDENCYPART_ARC
(16,17),0.515661 # DEPENDENCYPART_ARC
(16,18),-0.651168 # DEPENDENCYPART_ARC
(16,19),-1.02391 # DEPENDENCYPART_ARC
(16,20),-0.866645 # DEPENDENCYPART_ARC
(16,21),-0.800871 # DEPENDENCYPART_ARC
(16,22),-0.976031 # DEPENDENCYPART_ARC
(16,23),-0.930251 # DEPENDENCYPART_ARC
(17,1),-2.00455 # DEPENDENCYPART_ARC
(17,2),-1.89845 # DEPENDENCYPART_ARC
(17,10),-1.81316 # DEPENDENCYPART_ARC
(17,12),-1.95738 # DEPENDENCYPART_ARC
(17,13),-1.38321 # DEPENDENCYPART_ARC
(17,14),-1.61105 # DEPENDENCYPART_ARC
(17,15),-1.31103 # DEPENDENCYPART_ARC
(17,16),-0.228709 # DEPENDENCYPART_ARC
(17,18),1.53039 # DEPENDENCYPART_ARC
(17,19),0.449546 # DEPENDENCYPART_ARC
(17,20),-0.494569 # DEPENDENCYPART_ARC
(17,21),-0.884213 # DEPENDENCYPART_ARC
(17,22),-0.969787 # DEPENDENCYPART_ARC
(17,23),-0.888813 # DEPENDENCYPART_ARC
(18,19),-0.564281 # DEPENDENCYPART_ARC
(18,20),-1.43488 # DEPENDENCYPART_ARC
(19,1),-1.71918 # DEPENDENCYPART_ARC
(19,13),-1.45221 # DEPENDENCYPART_ARC
(19,14),-1.94336 # DEPENDENCYPART_ARC
(19,18),0.340679 # DEPENDENCYPART_ARC
(19,20),-0.537871 # DEPENDENCYPART_ARC
(19,21),-1.00748 # DEPENDENCYPART_ARC
(19,22),-1.542 # DEPENDENCYPART_ARC
(20,17),-1.39701 # DEPENDENCYPART_ARC
(20,19),-0.736122 # DEPENDENCYPART_ARC
(20,21),0.526823 # DEPENDENCYPART_ARC
(20,22),-0.0905754 # DEPENDENCYPART_ARC
(22,10),-2.12121 # DEPENDENCYPART_ARC
(22,14),-1.79825 # DEPENDENCYPART_ARC
(22,16),-1.64501 # DEPENDENCYPART_ARC
(22,17),-1.30227 # DEPENDENCYPART_ARC
(22,18),-1.16737 # DEPENDENCYPART_ARC
(22,19),-0.891228 # DEPENDENCYPART_ARC
(22,20),-0.713982 # DEPENDENCYPART_ARC
(22,21),1.91843 # DEPENDENCYPART_ARC
(22,23),-0.364393 # DEPENDENCYPART_ARC
(23,22),-0.85389 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.028526 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0456617 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.023181 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.107871 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0738656 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0770391 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.109615 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0754786 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.120789 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.110971 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.023586 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.158296 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.131586 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0102621 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0769308 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.0303602 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0113051 # DEPENDENCYPART_SIBL
(1,3),(1,5),-6.44058e-05 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0275969 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0135974 # DEPENDENCYPART_SIBL
(1,3),(1,23),-0.0308741 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.131963 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00620559 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0770158 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.0333189 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0117135 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0792335 # DEPENDENCYPART_SIBL
(1,5),(1,23),-0.0138327 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.000204862 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.0518414 # DEPENDENCYPART_SIBL
(1,9),(1,23),0.0710178 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00547503 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0342741 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.051647 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00764439 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0279 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0173728 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0224058 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.016909 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.00764439 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0220773 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.016909 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0827768 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0426484 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0102068 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00745034 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0466197 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.00633175 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0633316 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0318488 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.00745034 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.094597 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0318488 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.0223695 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0374309 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00354857 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0213339 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.00688364 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0113378 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0357819 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.00354857 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0334721 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0357819 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.00823005 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0138134 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0364451 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0338949 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0223846 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.00777953 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0138134 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0314468 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.00777953 # DEPENDENCYPART_SIBL
(2,5),(2,23),-0.00304717 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0665093 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0516676 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.00542667 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0252155 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0530627 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.143797 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.0252155 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.00784605 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00876673 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0120181 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0389351 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0124062 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0308928 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.0389351 # DEPENDENCYPART_SIBL
(2,8),(2,23),0.0212615 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0179834 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.00656693 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0333136 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0981712 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.00656693 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.0601405 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.013766 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.182288 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.121637 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.013766 # DEPENDENCYPART_SIBL
(2,10),(2,23),0.0659083 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.0381329 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.0974023 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.0186735 # DEPENDENCYPART_SIBL
(2,13),(2,23),0.120955 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.143797 # DEPENDENCYPART_SIBL
(2,15),(2,20),0.0252155 # DEPENDENCYPART_SIBL
(2,15),(2,23),0.00784605 # DEPENDENCYPART_SIBL
(2,16),(2,20),-0.0212198 # DEPENDENCYPART_SIBL
(2,16),(2,23),-0.0137461 # DEPENDENCYPART_SIBL
(2,20),(2,23),0.120955 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0832219 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.054175 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0675806 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0901907 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0206263 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0741796 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0633367 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0879598 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0035315 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0272622 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0212297 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0178672 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0915372 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.02077 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0103366 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0102398 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.033135 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.033895 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0686576 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0479651 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0116452 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.000954034 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0237261 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.000612673 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0151012 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.00478529 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.000175515 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0114625 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.00865391 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0269601 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0151012 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.04144 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0114625 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.0716257 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0173614 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.00399132 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0892471 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0287421 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00913821 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.00386856 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0128442 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0474853 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0892471 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0757448 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.00386856 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.00616791 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0104096 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0288976 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0256087 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0476842 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.024389 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0424723 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0475972 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0288976 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0957715 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.024389 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.143569 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0589983 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0145894 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.000307765 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.00469811 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0142632 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0384 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0589983 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.067095 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.00469811 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.00972032 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0853464 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.037023 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0654968 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.019453 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0798509 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0528208 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.194815 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0654968 # DEPENDENCYPART_SIBL
(5,6),(5,23),0.0308304 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0171757 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.020125 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0317563 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.00933757 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.00181201 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0129565 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.020125 # DEPENDENCYPART_SIBL
(5,8),(5,23),0.0777372 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.00262507 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0107674 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0106992 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.00931384 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0750563 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.00262507 # DEPENDENCYPART_SIBL
(5,9),(5,23),0.0960779 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.00811525 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0166187 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0698081 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0772931 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0626075 # DEPENDENCYPART_SIBL
(5,10),(5,23),0.0719828 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0108966 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.0375702 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.00363089 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.00890419 # DEPENDENCYPART_SIBL
(5,13),(5,23),0.119061 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.000746376 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.0160509 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.00451858 # DEPENDENCYPART_SIBL
(5,14),(5,23),0.0473591 # DEPENDENCYPART_SIBL
(5,15),(5,16),0.194815 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.0654968 # DEPENDENCYPART_SIBL
(5,15),(5,23),0.0308304 # DEPENDENCYPART_SIBL
(5,16),(5,17),0.00948333 # DEPENDENCYPART_SIBL
(5,16),(5,23),0.0130079 # DEPENDENCYPART_SIBL
(5,17),(5,23),0.0719828 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.000990319 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0117449 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0215042 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0152474 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0640178 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0268918 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0295302 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0218987 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.0368033 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0150916 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.0295302 # DEPENDENCYPART_SIBL
(8,1),(8,20),-0.0218987 # DEPENDENCYPART_SIBL
(8,1),(8,23),0.0715298 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.00557839 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0341291 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.166967 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0241194 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0814504 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0419094 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.0305344 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.0330591 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.0814504 # DEPENDENCYPART_SIBL
(8,2),(8,20),-0.0419094 # DEPENDENCYPART_SIBL
(8,2),(8,23),-0.0345194 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0217271 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0774627 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.029232 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0478479 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0125958 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0319632 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.0386276 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0478479 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.0125958 # DEPENDENCYPART_SIBL
(8,5),(8,23),0.0554409 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0111449 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0174855 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0753007 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0580015 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.00851532 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.0521163 # DEPENDENCYPART_SIBL
