# _root_ United Biscuits ( Holdings ) PLC , a British food producer , announced the creation of a European group to bring together its trading interests in the region .
#goldHeads=6,6,6,6,6,13,6,11,11,11,6,6,0,15,13,15,19,19,16,19,20,21,25,25,21,25,28,26,13,
#predictedHeads=6,6,4,6,4,13,6,11,11,11,6,6,0,15,13,15,19,19,16,19,20,21,25,25,21,25,28,26,13,
(4,5),0.161706 # DEPENDENCYPART_ARC
(4,6),-1.47918 # DEPENDENCYPART_ARC
(4,7),-1.30002 # DEPENDENCYPART_ARC
(4,10),-1.86077 # DEPENDENCYPART_ARC
(4,11),-2.02639 # DEPENDENCYPART_ARC
(4,12),-1.81688 # DEPENDENCYPART_ARC
(4,15),-2.63064 # DEPENDENCYPART_ARC
(5,2),-2.29442 # DEPENDENCYPART_ARC
(5,3),-2.05409 # DEPENDENCYPART_ARC
(5,4),-0.969444 # DEPENDENCYPART_ARC
(5,6),-0.805493 # DEPENDENCYPART_ARC
(5,7),-1.753 # DEPENDENCYPART_ARC
(5,11),-2.35433 # DEPENDENCYPART_ARC
(5,12),-2.19445 # DEPENDENCYPART_ARC
(5,15),-2.59142 # DEPENDENCYPART_ARC
(6,1),-0.68274 # DEPENDENCYPART_ARC
(6,2),-0.702235 # DEPENDENCYPART_ARC
(6,3),-0.530622 # DEPENDENCYPART_ARC
(6,4),0.323211 # DEPENDENCYPART_ARC
(6,5),0.606632 # DEPENDENCYPART_ARC
(6,7),0.454705 # DEPENDENCYPART_ARC
(6,8),-1.08435 # DEPENDENCYPART_ARC
(6,9),-1.11513 # DEPENDENCYPART_ARC
(6,10),-1.17293 # DEPENDENCYPART_ARC
(6,11),-1.36913 # DEPENDENCYPART_ARC
(6,12),-1.05301 # DEPENDENCYPART_ARC
(6,13),-1.68333 # DEPENDENCYPART_ARC
(6,15),-1.94168 # DEPENDENCYPART_ARC
(6,16),-1.99598 # DEPENDENCYPART_ARC
(6,19),-2.41362 # DEPENDENCYPART_ARC
(6,29),-2.31278 # DEPENDENCYPART_ARC
(7,6),-0.722403 # DEPENDENCYPART_ARC
(8,6),-1.63374 # DEPENDENCYPART_ARC
(8,7),-0.667504 # DEPENDENCYPART_ARC
(8,9),-0.287813 # DEPENDENCYPART_ARC
(8,10),-0.867673 # DEPENDENCYPART_ARC
(9,4),-1.91615 # DEPENDENCYPART_ARC
(9,5),-2.06076 # DEPENDENCYPART_ARC
(9,6),-1.54511 # DEPENDENCYPART_ARC
(9,7),-1.60946 # DEPENDENCYPART_ARC
(9,8),-0.370634 # DEPENDENCYPART_ARC
(9,10),-0.120434 # DEPENDENCYPART_ARC
(9,12),-1.23653 # DEPENDENCYPART_ARC
(10,8),-0.749553 # DEPENDENCYPART_ARC
(10,9),-0.215636 # DEPENDENCYPART_ARC
(10,11),-0.787082 # DEPENDENCYPART_ARC
(10,12),-1.68106 # DEPENDENCYPART_ARC
(10,15),-2.07034 # DEPENDENCYPART_ARC
(10,16),-1.9146 # DEPENDENCYPART_ARC
(10,20),-2.23703 # DEPENDENCYPART_ARC
(11,1),-1.68907 # DEPENDENCYPART_ARC
(11,2),-1.73218 # DEPENDENCYPART_ARC
(11,3),-1.77639 # DEPENDENCYPART_ARC
(11,4),-1.56226 # DEPENDENCYPART_ARC
(11,5),-1.61577 # DEPENDENCYPART_ARC
(11,6),-1.20732 # DEPENDENCYPART_ARC
(11,7),-1.40309 # DEPENDENCYPART_ARC
(11,8),0.1098 # DEPENDENCYPART_ARC
(11,9),0.234136 # DEPENDENCYPART_ARC
(11,10),1.62378 # DEPENDENCYPART_ARC
(11,12),-0.0194595 # DEPENDENCYPART_ARC
(11,13),-1.41245 # DEPENDENCYPART_ARC
(11,15),-1.52117 # DEPENDENCYPART_ARC
(11,16),-1.66482 # DEPENDENCYPART_ARC
(11,19),-1.93693 # DEPENDENCYPART_ARC
(11,20),-2.1016 # DEPENDENCYPART_ARC
(11,29),-2.08575 # DEPENDENCYPART_ARC
(13,1),-1.39979 # DEPENDENCYPART_ARC
(13,2),-1.29637 # DEPENDENCYPART_ARC
(13,3),-1.10166 # DEPENDENCYPART_ARC
(13,4),-1.30785 # DEPENDENCYPART_ARC
(13,5),-1.52278 # DEPENDENCYPART_ARC
(13,6),-1.05463 # DEPENDENCYPART_ARC
(13,7),-1.07488 # DEPENDENCYPART_ARC
(13,8),-1.35678 # DEPENDENCYPART_ARC
(13,9),-1.20307 # DEPENDENCYPART_ARC
(13,10),-0.813897 # DEPENDENCYPART_ARC
(13,11),-0.676182 # DEPENDENCYPART_ARC
(13,12),0.541731 # DEPENDENCYPART_ARC
(13,14),0.683345 # DEPENDENCYPART_ARC
(13,15),0.721611 # DEPENDENCYPART_ARC
(13,16),-0.176995 # DEPENDENCYPART_ARC
(13,18),-1.06561 # DEPENDENCYPART_ARC
(13,19),-0.302225 # DEPENDENCYPART_ARC
(13,20),-0.984933 # DEPENDENCYPART_ARC
(13,21),-1.15182 # DEPENDENCYPART_ARC
(13,22),-0.829715 # DEPENDENCYPART_ARC
(13,25),-1.40659 # DEPENDENCYPART_ARC
(13,26),-1.39379 # DEPENDENCYPART_ARC
(13,28),-0.963433 # DEPENDENCYPART_ARC
(13,29),0.639965 # DEPENDENCYPART_ARC
(14,16),-1.30543 # DEPENDENCYPART_ARC
(15,8),-1.95114 # DEPENDENCYPART_ARC
(15,9),-1.96441 # DEPENDENCYPART_ARC
(15,11),-1.69543 # DEPENDENCYPART_ARC
(15,12),-1.74651 # DEPENDENCYPART_ARC
(15,14),1.16399 # DEPENDENCYPART_ARC
(15,16),0.502183 # DEPENDENCYPART_ARC
(15,17),-1.31548 # DEPENDENCYPART_ARC
(15,18),-1.2486 # DEPENDENCYPART_ARC
(15,19),-1.22503 # DEPENDENCYPART_ARC
(15,20),-1.31234 # DEPENDENCYPART_ARC
(15,21),-1.49396 # DEPENDENCYPART_ARC
(15,22),-1.43509 # DEPENDENCYPART_ARC
(15,25),-1.52841 # DEPENDENCYPART_ARC
(15,26),-1.6935 # DEPENDENCYPART_ARC
(15,28),-1.82188 # DEPENDENCYPART_ARC
(15,29),-1.60791 # DEPENDENCYPART_ARC
(16,15),-1.04015 # DEPENDENCYPART_ARC
(16,17),-0.0178573 # DEPENDENCYPART_ARC
(16,18),-0.905057 # DEPENDENCYPART_ARC
(16,19),-0.263698 # DEPENDENCYPART_ARC
(16,20),-1.49848 # DEPENDENCYPART_ARC
(16,21),-1.39963 # DEPENDENCYPART_ARC
(16,22),-1.66894 # DEPENDENCYPART_ARC
(16,24),-1.76662 # DEPENDENCYPART_ARC
(16,25),-1.69337 # DEPENDENCYPART_ARC
(16,26),-1.29385 # DEPENDENCYPART_ARC
(17,20),-1.30955 # DEPENDENCYPART_ARC
(18,17),-0.178511 # DEPENDENCYPART_ARC
(18,20),-1.1015 # DEPENDENCYPART_ARC
(19,3),-2.44702 # DEPENDENCYPART_ARC
(19,9),-1.9733 # DEPENDENCYPART_ARC
(19,14),-1.57384 # DEPENDENCYPART_ARC
(19,15),-1.32269 # DEPENDENCYPART_ARC
(19,16),-1.10308 # DEPENDENCYPART_ARC
(19,17),0.642912 # DEPENDENCYPART_ARC
(19,18),1.14641 # DEPENDENCYPART_ARC
(19,20),-0.135943 # DEPENDENCYPART_ARC
(19,21),-1.08698 # DEPENDENCYPART_ARC
(19,22),-1.39382 # DEPENDENCYPART_ARC
(19,24),-1.51066 # DEPENDENCYPART_ARC
(19,25),-1.65716 # DEPENDENCYPART_ARC
(19,26),-1.63705 # DEPENDENCYPART_ARC
(19,28),-1.80405 # DEPENDENCYPART_ARC
(19,29),-1.86842 # DEPENDENCYPART_ARC
(20,2),-2.24449 # DEPENDENCYPART_ARC
(20,11),-1.91287 # DEPENDENCYPART_ARC
(20,15),-1.80628 # DEPENDENCYPART_ARC
(20,16),-1.51398 # DEPENDENCYPART_ARC
(20,18),-1.63661 # DEPENDENCYPART_ARC
(20,19),-0.761194 # DEPENDENCYPART_ARC
(20,21),0.954281 # DEPENDENCYPART_ARC
(20,22),-0.846545 # DEPENDENCYPART_ARC
(20,24),-1.10076 # DEPENDENCYPART_ARC
(20,25),-1.26999 # DEPENDENCYPART_ARC
(20,26),-1.1352 # DEPENDENCYPART_ARC
(21,2),-2.34029 # DEPENDENCYPART_ARC
(21,3),-2.05573 # DEPENDENCYPART_ARC
(21,11),-1.63558 # DEPENDENCYPART_ARC
(21,16),-1.56783 # DEPENDENCYPART_ARC
(21,18),-1.3681 # DEPENDENCYPART_ARC
(21,19),-1.35222 # DEPENDENCYPART_ARC
(21,22),0.527011 # DEPENDENCYPART_ARC
(21,23),-0.7408 # DEPENDENCYPART_ARC
(21,24),-0.27609 # DEPENDENCYPART_ARC
(21,25),-0.673084 # DEPENDENCYPART_ARC
(21,26),-0.601504 # DEPENDENCYPART_ARC
(21,28),-1.0471 # DEPENDENCYPART_ARC
(21,29),-1.27967 # DEPENDENCYPART_ARC
(22,23),0.0372611 # DEPENDENCYPART_ARC
(22,24),-0.751511 # DEPENDENCYPART_ARC
(22,25),-1.07407 # DEPENDENCYPART_ARC
(22,26),-1.31739 # DEPENDENCYPART_ARC
(22,28),-1.67193 # DEPENDENCYPART_ARC
(23,22),-0.666874 # DEPENDENCYPART_ARC
(23,24),-0.340621 # DEPENDENCYPART_ARC
(23,26),-1.59659 # DEPENDENCYPART_ARC
(24,22),-1.5361 # DEPENDENCYPART_ARC
(24,23),0.0235736 # DEPENDENCYPART_ARC
(24,26),-1.0877 # DEPENDENCYPART_ARC
(24,28),-1.65942 # DEPENDENCYPART_ARC
(25,3),-1.86266 # DEPENDENCYPART_ARC
(25,17),-1.54456 # DEPENDENCYPART_ARC
(25,18),-1.31883 # DEPENDENCYPART_ARC
(25,19),-1.21058 # DEPENDENCYPART_ARC
(25,20),-1.67204 # DEPENDENCYPART_ARC
(25,22),-0.970956 # DEPENDENCYPART_ARC
(25,23),0.311252 # DEPENDENCYPART_ARC
(25,24),1.82694 # DEPENDENCYPART_ARC
(25,26),0.227787 # DEPENDENCYPART_ARC
(25,28),-1.1726 # DEPENDENCYPART_ARC
(25,29),-1.43713 # DEPENDENCYPART_ARC
(26,22),-1.88954 # DEPENDENCYPART_ARC
(26,25),-0.79859 # DEPENDENCYPART_ARC
(26,27),-0.0407529 # DEPENDENCYPART_ARC
(26,28),0.589017 # DEPENDENCYPART_ARC
(28,23),-1.2954 # DEPENDENCYPART_ARC
(28,25),-1.07314 # DEPENDENCYPART_ARC
(28,27),1.2043 # DEPENDENCYPART_ARC
(0,2),(0,13),-0.128929 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0181481 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.019504 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0147249 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00254094 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0045445 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.033188 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0045445 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.022585 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.147321 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0357577 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0134846 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0201116 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0134846 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0116929 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00638077 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.00594748 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.038356 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.00594748 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.00248137 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.012209 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0228731 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.012209 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0168989 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0501355 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0168989 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0733687 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.040083 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0589127 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0145334 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0176675 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0246457 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0107401 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0836878 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.013288 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0495767 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0602263 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0836878 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0518534 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0389716 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0479747 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0661281 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0395659 # DEPENDENCYPART_SIBL
(2,1),(2,25),0.043488 # DEPENDENCYPART_SIBL
(2,1),(2,29),0.0568479 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0256181 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.147321 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0387908 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00508721 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0270555 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0173704 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0201132 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.00508721 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.00290174 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0179623 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.000784351 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0370473 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.0370515 # DEPENDENCYPART_SIBL
(2,3),(2,25),0.0161805 # DEPENDENCYPART_SIBL
(2,3),(2,29),0.0840608 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.010162 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0028754 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00789252 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0246509 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0397395 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0398843 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.00789252 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0570916 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0358805 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.00498161 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0197004 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0135134 # DEPENDENCYPART_SIBL
(2,4),(2,25),-0.00252982 # DEPENDENCYPART_SIBL
(2,4),(2,29),0.00870197 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00551449 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0206064 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.00128668 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0256143 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0228715 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0206064 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0152153 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0250224 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0224595 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.00380296 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.00983514 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.0140499 # DEPENDENCYPART_SIBL
(2,5),(2,29),0.0281945 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0307389 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0320795 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0515189 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0516637 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0307389 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0650567 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0476599 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0179534 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0317024 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.02621 # DEPENDENCYPART_SIBL
(2,6),(2,25),-0.0102949 # DEPENDENCYPART_SIBL
(2,6),(2,29),0.00834335 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.017378 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0451884 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.054125 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.00567608 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.00591133 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0341268 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.020339 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.0697122 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.0157535 # DEPENDENCYPART_SIBL
(2,7),(2,25),0.0621575 # DEPENDENCYPART_SIBL
(2,7),(2,29),0.00137165 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0269416 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0228634 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.00828569 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.04114 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0247818 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.00655529 # DEPENDENCYPART_SIBL
(2,9),(2,19),-6.16549e-05 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.00373036 # DEPENDENCYPART_SIBL
(2,9),(2,25),-0.00743265 # DEPENDENCYPART_SIBL
(2,9),(2,29),0.0398303 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.107439 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0086118 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0180344 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.109222 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.000715344 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0964226 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.00264028 # DEPENDENCYPART_SIBL
(2,10),(2,25),-0.0192973 # DEPENDENCYPART_SIBL
(2,10),(2,29),0.0715693 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0507488 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0101857 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0965412 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.00951801 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0837422 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.00244985 # DEPENDENCYPART_SIBL
(2,11),(2,25),-0.00868106 # DEPENDENCYPART_SIBL
(2,11),(2,29),0.0853709 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.00591133 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.0341268 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.020339 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.0697122 # DEPENDENCYPART_SIBL
(2,12),(2,20),-0.0157535 # DEPENDENCYPART_SIBL
(2,12),(2,25),0.0621575 # DEPENDENCYPART_SIBL
(2,12),(2,29),0.00137165 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.0633036 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0439885 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.0422541 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.0319214 # DEPENDENCYPART_SIBL
(2,13),(2,25),-0.022472 # DEPENDENCYPART_SIBL
(2,13),(2,29),-0.0201257 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.0102608 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.0930414 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.00884682 # DEPENDENCYPART_SIBL
(2,15),(2,25),-0.0180689 # DEPENDENCYPART_SIBL
(2,15),(2,29),0.0779505 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.192391 # DEPENDENCYPART_SIBL
(2,16),(2,20),0.0054186 # DEPENDENCYPART_SIBL
(2,16),(2,25),0.0805594 # DEPENDENCYPART_SIBL
(2,16),(2,29),0.0541365 # DEPENDENCYPART_SIBL
(2,19),(2,20),-0.0103694 # DEPENDENCYPART_SIBL
(2,19),(2,25),-0.0207554 # DEPENDENCYPART_SIBL
(2,19),(2,29),0.0663275 # DEPENDENCYPART_SIBL
(2,20),(2,25),0.00326163 # DEPENDENCYPART_SIBL
(2,20),(2,29),0.032675 # DEPENDENCYPART_SIBL
(2,25),(2,29),0.0356051 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0107848 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00421101 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00685445 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0132419 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.13903 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0316677 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0145251 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0324667 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0580155 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.020832 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0681035 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0160673 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0292864 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0362228 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0753735 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0445979 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0552534 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0753735 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0339988 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0142954 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0260447 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0391462 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0517171 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0469323 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0575878 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0517171 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0363331 # DEPENDENCYPART_SIBL
(4,3),(4,5),1.5643 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0329158 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.000311668 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0439648 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.043955 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.000311668 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0396477 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.00399756 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0169843 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0293475 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0266047 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0169843 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0287556 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.019212 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0552345 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0553793 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.019212 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0513755 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0465153 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0554519 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0183503 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0354537 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.112067 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0143205 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.113849 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0564575 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.101169 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.0354537 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0418738 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.00500448 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0182234 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00338036 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.00050561 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.00338036 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.00954986 # DEPENDENCYPART_SIBL
