# _root_ On the screens , only two forlorn blue figures remained , but the index had recovered a few points and was off about 140 .
#goldHeads=10,3,1,10,9,9,9,9,10,0,10,10,14,15,12,15,19,19,16,15,20,21,22,23,10,
#predictedHeads=10,3,1,10,9,5,9,9,10,0,10,10,14,15,12,15,19,19,16,15,20,21,22,23,10,
(5,11),-1.36861 # DEPENDENCYPART_ARC
(5,12),-1.13419 # DEPENDENCYPART_ARC
(5,14),-1.77473 # DEPENDENCYPART_ARC
(5,15),-1.50774 # DEPENDENCYPART_ARC
(5,16),-1.72489 # DEPENDENCYPART_ARC
(5,20),-1.23528 # DEPENDENCYPART_ARC
(5,24),-2.27384 # DEPENDENCYPART_ARC
(5,25),-0.498098 # DEPENDENCYPART_ARC
(6,1),-1.63224 # DEPENDENCYPART_ARC
(6,2),-1.43367 # DEPENDENCYPART_ARC
(6,3),-1.26733 # DEPENDENCYPART_ARC
(6,4),-1.33816 # DEPENDENCYPART_ARC
(6,5),-0.0930333 # DEPENDENCYPART_ARC
(6,7),-0.0911183 # DEPENDENCYPART_ARC
(6,8),-1.09213 # DEPENDENCYPART_ARC
(6,9),-1.20476 # DEPENDENCYPART_ARC
(6,10),-1.20475 # DEPENDENCYPART_ARC
(6,11),-1.42972 # DEPENDENCYPART_ARC
(6,12),-1.43375 # DEPENDENCYPART_ARC
(6,14),-1.69755 # DEPENDENCYPART_ARC
(6,15),-1.53306 # DEPENDENCYPART_ARC
(7,1),-1.76671 # DEPENDENCYPART_ARC
(7,3),-1.77992 # DEPENDENCYPART_ARC
(7,4),-1.73105 # DEPENDENCYPART_ARC
(7,5),-1.28108 # DEPENDENCYPART_ARC
(7,6),-0.308822 # DEPENDENCYPART_ARC
(7,8),-0.39288 # DEPENDENCYPART_ARC
(7,11),-1.54263 # DEPENDENCYPART_ARC
(7,12),-1.74242 # DEPENDENCYPART_ARC
(7,15),-1.67651 # DEPENDENCYPART_ARC
(8,4),-1.92978 # DEPENDENCYPART_ARC
(8,5),-1.65452 # DEPENDENCYPART_ARC
(8,6),-1.41089 # DEPENDENCYPART_ARC
(8,7),0.126919 # DEPENDENCYPART_ARC
(8,11),-1.43007 # DEPENDENCYPART_ARC
(8,12),-1.70559 # DEPENDENCYPART_ARC
(9,1),-1.60333 # DEPENDENCYPART_ARC
(9,2),-1.05208 # DEPENDENCYPART_ARC
(9,3),-1.45943 # DEPENDENCYPART_ARC
(9,4),-1.52814 # DEPENDENCYPART_ARC
(9,5),-0.731773 # DEPENDENCYPART_ARC
(9,6),-0.47446 # DEPENDENCYPART_ARC
(9,7),0.482157 # DEPENDENCYPART_ARC
(9,8),1.49142 # DEPENDENCYPART_ARC
(9,10),-0.425363 # DEPENDENCYPART_ARC
(9,11),-1.33582 # DEPENDENCYPART_ARC
(9,12),-1.60174 # DEPENDENCYPART_ARC
(9,14),-1.74411 # DEPENDENCYPART_ARC
(9,15),-1.83754 # DEPENDENCYPART_ARC
(9,16),-1.97365 # DEPENDENCYPART_ARC
(9,19),-1.91608 # DEPENDENCYPART_ARC
(10,1),-1.28555 # DEPENDENCYPART_ARC
(10,3),-1.17911 # DEPENDENCYPART_ARC
(10,4),-1.23255 # DEPENDENCYPART_ARC
(10,5),-1.48837 # DEPENDENCYPART_ARC
(10,6),-1.37045 # DEPENDENCYPART_ARC
(10,7),-1.16812 # DEPENDENCYPART_ARC
(10,8),-1.03071 # DEPENDENCYPART_ARC
(10,9),0.432315 # DEPENDENCYPART_ARC
(10,11),0.315224 # DEPENDENCYPART_ARC
(10,12),-0.915599 # DEPENDENCYPART_ARC
(10,14),-1.18508 # DEPENDENCYPART_ARC
(10,15),-1.35316 # DEPENDENCYPART_ARC
(10,16),-1.46263 # DEPENDENCYPART_ARC
(10,19),-1.89145 # DEPENDENCYPART_ARC
(10,20),-2.04841 # DEPENDENCYPART_ARC
(10,21),-1.99438 # DEPENDENCYPART_ARC
(10,22),-1.98891 # DEPENDENCYPART_ARC
(10,23),-2.12281 # DEPENDENCYPART_ARC
(10,25),-0.793275 # DEPENDENCYPART_ARC
(12,13),0.0337516 # DEPENDENCYPART_ARC
(12,14),-0.451587 # DEPENDENCYPART_ARC
(12,15),-0.424598 # DEPENDENCYPART_ARC
(12,16),-1.20597 # DEPENDENCYPART_ARC
(12,19),-2.36701 # DEPENDENCYPART_ARC
(12,20),-1.32583 # DEPENDENCYPART_ARC
(12,21),-1.19617 # DEPENDENCYPART_ARC
(12,22),-2.0185 # DEPENDENCYPART_ARC
(14,5),-1.88971 # DEPENDENCYPART_ARC
(14,7),-1.86333 # DEPENDENCYPART_ARC
(14,9),-1.32977 # DEPENDENCYPART_ARC
(14,10),-1.37861 # DEPENDENCYPART_ARC
(14,11),-1.51038 # DEPENDENCYPART_ARC
(14,12),-0.838491 # DEPENDENCYPART_ARC
(14,13),1.23693 # DEPENDENCYPART_ARC
(14,15),-0.456908 # DEPENDENCYPART_ARC
(14,16),-1.19602 # DEPENDENCYPART_ARC
(14,19),-1.70315 # DEPENDENCYPART_ARC
(14,20),-1.79724 # DEPENDENCYPART_ARC
(14,21),-1.77371 # DEPENDENCYPART_ARC
(15,1),-0.98618 # DEPENDENCYPART_ARC
(15,3),-1.52098 # DEPENDENCYPART_ARC
(15,4),-1.93471 # DEPENDENCYPART_ARC
(15,5),-1.64622 # DEPENDENCYPART_ARC
(15,6),-1.66633 # DEPENDENCYPART_ARC
(15,7),-1.57752 # DEPENDENCYPART_ARC
(15,8),-1.55241 # DEPENDENCYPART_ARC
(15,9),-1.09749 # DEPENDENCYPART_ARC
(15,10),-1.57881 # DEPENDENCYPART_ARC
(15,11),-1.22629 # DEPENDENCYPART_ARC
(15,12),-1.16217 # DEPENDENCYPART_ARC
(15,13),-0.896537 # DEPENDENCYPART_ARC
(15,14),0.463704 # DEPENDENCYPART_ARC
(15,16),1.1771 # DEPENDENCYPART_ARC
(15,17),-0.837339 # DEPENDENCYPART_ARC
(15,18),-1.28509 # DEPENDENCYPART_ARC
(15,19),-0.903804 # DEPENDENCYPART_ARC
(15,20),-1.15042 # DEPENDENCYPART_ARC
(15,21),-1.21976 # DEPENDENCYPART_ARC
(15,22),-1.29704 # DEPENDENCYPART_ARC
(15,23),-1.53867 # DEPENDENCYPART_ARC
(15,24),-1.95931 # DEPENDENCYPART_ARC
(15,25),-0.244699 # DEPENDENCYPART_ARC
(16,1),-2.14467 # DEPENDENCYPART_ARC
(16,9),-1.6795 # DEPENDENCYPART_ARC
(16,10),-1.82376 # DEPENDENCYPART_ARC
(16,14),-1.40196 # DEPENDENCYPART_ARC
(16,17),0.0826009 # DEPENDENCYPART_ARC
(16,18),-0.532417 # DEPENDENCYPART_ARC
(16,19),-0.568795 # DEPENDENCYPART_ARC
(16,20),-1.012 # DEPENDENCYPART_ARC
(16,21),-1.03376 # DEPENDENCYPART_ARC
(16,22),-1.07832 # DEPENDENCYPART_ARC
(16,23),-1.29765 # DEPENDENCYPART_ARC
(16,24),-1.62009 # DEPENDENCYPART_ARC
(16,25),-0.98113 # DEPENDENCYPART_ARC
(17,16),-0.45264 # DEPENDENCYPART_ARC
(17,18),-0.41195 # DEPENDENCYPART_ARC
(17,20),-1.11353 # DEPENDENCYPART_ARC
(17,21),-1.27428 # DEPENDENCYPART_ARC
(18,16),-1.56681 # DEPENDENCYPART_ARC
(18,17),-0.00111521 # DEPENDENCYPART_ARC
(18,20),-1.20529 # DEPENDENCYPART_ARC
(18,21),-1.2213 # DEPENDENCYPART_ARC
(18,22),-1.7658 # DEPENDENCYPART_ARC
(18,23),-1.82994 # DEPENDENCYPART_ARC
(19,5),-1.5272 # DEPENDENCYPART_ARC
(19,6),-1.66365 # DEPENDENCYPART_ARC
(19,7),-1.28606 # DEPENDENCYPART_ARC
(19,9),-1.58156 # DEPENDENCYPART_ARC
(19,13),-1.38816 # DEPENDENCYPART_ARC
(19,14),-0.79999 # DEPENDENCYPART_ARC
(19,16),-0.648598 # DEPENDENCYPART_ARC
(19,17),0.506069 # DEPENDENCYPART_ARC
(19,18),1.52831 # DEPENDENCYPART_ARC
(19,20),0.0188291 # DEPENDENCYPART_ARC
(19,21),-0.922019 # DEPENDENCYPART_ARC
(19,22),-1.36046 # DEPENDENCYPART_ARC
(19,23),-1.37018 # DEPENDENCYPART_ARC
(19,24),-1.7291 # DEPENDENCYPART_ARC
(19,25),-1.36972 # DEPENDENCYPART_ARC
(20,17),-1.6178 # DEPENDENCYPART_ARC
(20,19),-0.404295 # DEPENDENCYPART_ARC
(20,21),0.441635 # DEPENDENCYPART_ARC
(20,22),-1.08084 # DEPENDENCYPART_ARC
(20,23),-1.62048 # DEPENDENCYPART_ARC
(20,24),-1.82506 # DEPENDENCYPART_ARC
(21,1),-1.32734 # DEPENDENCYPART_ARC
(21,4),-2.97252 # DEPENDENCYPART_ARC
(21,10),-2.31162 # DEPENDENCYPART_ARC
(21,14),-1.40256 # DEPENDENCYPART_ARC
(21,17),-1.74605 # DEPENDENCYPART_ARC
(21,19),-1.31099 # DEPENDENCYPART_ARC
(21,20),-0.372973 # DEPENDENCYPART_ARC
(21,22),0.880257 # DEPENDENCYPART_ARC
(21,23),-0.351424 # DEPENDENCYPART_ARC
(21,24),-1.15 # DEPENDENCYPART_ARC
(21,25),-0.0748646 # DEPENDENCYPART_ARC
(22,23),0.133871 # DEPENDENCYPART_ARC
(22,24),-0.830231 # DEPENDENCYPART_ARC
(22,25),-1.18771 # DEPENDENCYPART_ARC
(23,22),-0.517786 # DEPENDENCYPART_ARC
(23,24),0.859865 # DEPENDENCYPART_ARC
(24,6),-2.05886 # DEPENDENCYPART_ARC
(24,17),-1.71552 # DEPENDENCYPART_ARC
(24,19),-1.56685 # DEPENDENCYPART_ARC
(24,22),-1.14667 # DEPENDENCYPART_ARC
(24,23),0.0205647 # DEPENDENCYPART_ARC
(24,25),-0.557442 # DEPENDENCYPART_ARC
(25,24),-0.720183 # DEPENDENCYPART_ARC
(0,1),(0,9),-0.0463048 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.135648 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.140228 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.148329 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.135661 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.139776 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.156028 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.222876 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.240525 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.244513 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0786876 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0209415 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0240051 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0762718 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0488406 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0787557 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0819772 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0209415 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0741729 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0704329 # DEPENDENCYPART_SIBL
(1,2),(1,25),-0.0516426 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00499993 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0278529 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0564504 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0390989 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.157418 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0629688 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.00499993 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0363066 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0465882 # DEPENDENCYPART_SIBL
(1,3),(1,25),0.0684859 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.112847 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0486274 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0214472 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0569637 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0191761 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.00964772 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0518598 # DEPENDENCYPART_SIBL
(1,4),(1,15),-5.43108e-05 # DEPENDENCYPART_SIBL
(1,4),(1,25),0.106111 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0270789 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.00627825 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0296378 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0177613 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0172348 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0226108 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0229672 # DEPENDENCYPART_SIBL
(1,5),(1,25),0.0719891 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0794193 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.122335 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0645421 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.00191768 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0402984 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0522019 # DEPENDENCYPART_SIBL
(1,6),(1,25),-0.0146599 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0837163 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0896419 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.00953619 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.00634485 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0746007 # DEPENDENCYPART_SIBL
(1,7),(1,25),0.0323556 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0641102 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0237935 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0369136 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0477297 # DEPENDENCYPART_SIBL
(1,9),(1,25),0.0671976 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.00082811 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.059326 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.0754478 # DEPENDENCYPART_SIBL
(1,10),(1,25),0.121779 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0518598 # DEPENDENCYPART_SIBL
(1,11),(1,15),-5.43108e-05 # DEPENDENCYPART_SIBL
(1,11),(1,25),0.106111 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.0193774 # DEPENDENCYPART_SIBL
(1,12),(1,25),0.0963356 # DEPENDENCYPART_SIBL
(1,15),(1,25),0.143702 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.036407 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0644579 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0206023 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.04074 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00400531 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00400442 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.00608744 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0659202 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0644579 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0291408 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.00341962 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0371508 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0729662 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.00994219 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.0285518 # DEPENDENCYPART_SIBL
(3,1),(3,25),0.050884 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0470162 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0123172 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0166997 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0296373 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0296375 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0541786 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.158006 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0470162 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0602299 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0455413 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.231045 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.120091 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0597621 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0537707 # DEPENDENCYPART_SIBL
(3,2),(3,25),-0.0694994 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00922101 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0266303 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0198035 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0183586 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0622747 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0224635 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0363391 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.00725189 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0341412 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0307346 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0281823 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0495012 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.0246893 # DEPENDENCYPART_SIBL
(3,4),(3,25),0.00722577 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.000178206 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00216618 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00216508 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0534714 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0334473 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0676875 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0355032 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0141363 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0153355 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0492095 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.047564 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.0322114 # DEPENDENCYPART_SIBL
(3,5),(3,25),0.0111722 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0185876 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0185876 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0125981 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.000867119 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.00381989 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0376186 # DEPENDENCYPART_SIBL
(3,6),(3,14),-7.81631e-05 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.00299255 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0278648 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0123272 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.00137989 # DEPENDENCYPART_SIBL
(3,6),(3,25),0.0161561 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0233208 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.00860869 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0189823 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.015138 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.00216753 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.00996966 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0166263 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0144722 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.00803318 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.0163038 # DEPENDENCYPART_SIBL
(3,7),(3,25),0.0535877 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.00859964 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0189823 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0115933 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0021659 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.00996966 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0166263 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0144722 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.00802414 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.0176836 # DEPENDENCYPART_SIBL
(3,8),(3,25),0.0533519 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0207092 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0212136 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.00853322 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0205758 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0190248 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0099317 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0667041 # DEPENDENCYPART_SIBL
(3,9),(3,23),-0.00961283 # DEPENDENCYPART_SIBL
(3,9),(3,25),0.0417024 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0221922 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0152844 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.00543107 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0375958 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0137581 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.00987149 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.0104952 # DEPENDENCYPART_SIBL
(3,10),(3,25),0.0250429 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.00725189 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0341412 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0307346 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.0281823 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.0495012 # DEPENDENCYPART_SIBL
(3,11),(3,23),0.0246893 # DEPENDENCYPART_SIBL
(3,11),(3,25),0.00722577 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0302263 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.027645 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0233515 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0155146 # DEPENDENCYPART_SIBL
(3,12),(3,23),-0.0134172 # DEPENDENCYPART_SIBL
(3,12),(3,25),0.0729385 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.00297838 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.00904046 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.013084 # DEPENDENCYPART_SIBL
(3,14),(3,23),0.0244457 # DEPENDENCYPART_SIBL
(3,14),(3,25),0.0607342 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.0107815 # DEPENDENCYPART_SIBL
(3,15),(3,19),0.037041 # DEPENDENCYPART_SIBL
(3,15),(3,23),0.0358146 # DEPENDENCYPART_SIBL
(3,15),(3,25),0.064408 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.0207261 # DEPENDENCYPART_SIBL
(3,16),(3,23),-0.0187821 # DEPENDENCYPART_SIBL
(3,16),(3,25),0.0125163 # DEPENDENCYPART_SIBL
(3,19),(3,23),-0.0134965 # DEPENDENCYPART_SIBL
(3,19),(3,25),0.0246331 # DEPENDENCYPART_SIBL
(3,23),(3,25),-0.002936 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00952326 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.00309479 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0512758 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0473004 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0472995 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0090442 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0205921 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0318302 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.00437023 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0401224 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.00714021 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0234764 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0307827 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.0566387 # DEPENDENCYPART_SIBL
(5,1),(5,25),0.0202046 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.000408973 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0165133 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00444317 # DEPENDENCYPART_SIBL
