# _root_ `` It 's falling like a stone , '' said Danny Linger , a pit trader who was standing outside the London International Financial Futures Exchange .
#goldHeads=10,3,10,3,4,7,5,10,10,0,12,10,12,16,16,12,18,16,18,19,26,26,26,26,26,20,10,
#predictedHeads=10,3,10,3,4,7,5,10,10,0,12,10,12,16,16,12,18,16,18,19,26,26,26,26,26,20,10,
(7,13),-1.17969 # DEPENDENCYPART_ARC
(7,16),-1.96742 # DEPENDENCYPART_ARC
(7,17),-2.06693 # DEPENDENCYPART_ARC
(7,18),-1.86348 # DEPENDENCYPART_ARC
(7,19),-2.02373 # DEPENDENCYPART_ARC
(7,25),-2.2158 # DEPENDENCYPART_ARC
(7,26),-2.34865 # DEPENDENCYPART_ARC
(9,7),-1.54058 # DEPENDENCYPART_ARC
(9,8),-0.225889 # DEPENDENCYPART_ARC
(9,12),-1.80295 # DEPENDENCYPART_ARC
(10,1),-0.604506 # DEPENDENCYPART_ARC
(10,2),-1.89306 # DEPENDENCYPART_ARC
(10,3),-1.19611 # DEPENDENCYPART_ARC
(10,4),-1.25269 # DEPENDENCYPART_ARC
(10,5),-1.4493 # DEPENDENCYPART_ARC
(10,6),-1.37807 # DEPENDENCYPART_ARC
(10,7),-1.15449 # DEPENDENCYPART_ARC
(10,8),-0.573576 # DEPENDENCYPART_ARC
(10,9),0.407129 # DEPENDENCYPART_ARC
(10,11),0.338421 # DEPENDENCYPART_ARC
(10,12),-0.296621 # DEPENDENCYPART_ARC
(10,13),-0.826265 # DEPENDENCYPART_ARC
(10,15),-0.923439 # DEPENDENCYPART_ARC
(10,16),-1.17537 # DEPENDENCYPART_ARC
(10,17),-1.39707 # DEPENDENCYPART_ARC
(10,18),-0.510868 # DEPENDENCYPART_ARC
(10,19),-1.06421 # DEPENDENCYPART_ARC
(10,20),-1.261 # DEPENDENCYPART_ARC
(10,25),-2.12263 # DEPENDENCYPART_ARC
(10,26),-2.01921 # DEPENDENCYPART_ARC
(10,27),0.613952 # DEPENDENCYPART_ARC
(11,9),-1.78865 # DEPENDENCYPART_ARC
(11,12),-0.521493 # DEPENDENCYPART_ARC
(11,13),-1.32268 # DEPENDENCYPART_ARC
(11,15),-1.69664 # DEPENDENCYPART_ARC
(11,16),-1.91717 # DEPENDENCYPART_ARC
(11,18),-2.01433 # DEPENDENCYPART_ARC
(12,1),-1.99499 # DEPENDENCYPART_ARC
(12,3),-1.95877 # DEPENDENCYPART_ARC
(12,4),-1.87466 # DEPENDENCYPART_ARC
(12,5),-1.79809 # DEPENDENCYPART_ARC
(12,7),-1.40532 # DEPENDENCYPART_ARC
(12,8),-1.88772 # DEPENDENCYPART_ARC
(12,9),-1.40286 # DEPENDENCYPART_ARC
(12,10),-0.959656 # DEPENDENCYPART_ARC
(12,11),1.54694 # DEPENDENCYPART_ARC
(12,13),0.63749 # DEPENDENCYPART_ARC
(12,14),-1.14037 # DEPENDENCYPART_ARC
(12,15),-0.976775 # DEPENDENCYPART_ARC
(12,16),-1.14528 # DEPENDENCYPART_ARC
(12,17),-1.68353 # DEPENDENCYPART_ARC
(12,18),-1.46232 # DEPENDENCYPART_ARC
(12,19),-1.755 # DEPENDENCYPART_ARC
(12,20),-1.88468 # DEPENDENCYPART_ARC
(12,23),-2.77819 # DEPENDENCYPART_ARC
(12,25),-2.94229 # DEPENDENCYPART_ARC
(12,26),-2.81426 # DEPENDENCYPART_ARC
(14,13),-0.775794 # DEPENDENCYPART_ARC
(14,15),0.0142276 # DEPENDENCYPART_ARC
(14,18),-1.20827 # DEPENDENCYPART_ARC
(15,14),-0.153471 # DEPENDENCYPART_ARC
(15,16),-0.507066 # DEPENDENCYPART_ARC
(15,17),-1.54152 # DEPENDENCYPART_ARC
(15,18),-1.04848 # DEPENDENCYPART_ARC
(15,19),-1.57517 # DEPENDENCYPART_ARC
(15,20),-1.52057 # DEPENDENCYPART_ARC
(16,1),-1.87606 # DEPENDENCYPART_ARC
(16,4),-1.7647 # DEPENDENCYPART_ARC
(16,6),-1.33658 # DEPENDENCYPART_ARC
(16,9),-1.91551 # DEPENDENCYPART_ARC
(16,11),-1.2159 # DEPENDENCYPART_ARC
(16,12),-1.26568 # DEPENDENCYPART_ARC
(16,13),-1.37824 # DEPENDENCYPART_ARC
(16,14),0.385608 # DEPENDENCYPART_ARC
(16,15),1.49973 # DEPENDENCYPART_ARC
(16,17),-0.313939 # DEPENDENCYPART_ARC
(16,18),-0.840816 # DEPENDENCYPART_ARC
(16,19),-1.07186 # DEPENDENCYPART_ARC
(16,20),-1.24374 # DEPENDENCYPART_ARC
(16,22),-1.78881 # DEPENDENCYPART_ARC
(16,23),-1.7653 # DEPENDENCYPART_ARC
(16,24),-1.85534 # DEPENDENCYPART_ARC
(16,25),-1.8548 # DEPENDENCYPART_ARC
(16,26),-1.95111 # DEPENDENCYPART_ARC
(17,16),-0.380125 # DEPENDENCYPART_ARC
(17,19),-1.34092 # DEPENDENCYPART_ARC
(17,20),-1.44511 # DEPENDENCYPART_ARC
(18,1),-1.8682 # DEPENDENCYPART_ARC
(18,3),-2.51021 # DEPENDENCYPART_ARC
(18,4),-2.11242 # DEPENDENCYPART_ARC
(18,5),-1.90979 # DEPENDENCYPART_ARC
(18,7),-2.3975 # DEPENDENCYPART_ARC
(18,8),-2.36327 # DEPENDENCYPART_ARC
(18,9),-2.03828 # DEPENDENCYPART_ARC
(18,11),-2.0929 # DEPENDENCYPART_ARC
(18,12),-2.05927 # DEPENDENCYPART_ARC
(18,13),-1.85014 # DEPENDENCYPART_ARC
(18,15),-1.54758 # DEPENDENCYPART_ARC
(18,16),-1.53408 # DEPENDENCYPART_ARC
(18,17),0.238201 # DEPENDENCYPART_ARC
(18,19),0.820104 # DEPENDENCYPART_ARC
(18,20),-0.540877 # DEPENDENCYPART_ARC
(18,22),-1.44594 # DEPENDENCYPART_ARC
(18,23),-1.57488 # DEPENDENCYPART_ARC
(18,24),-1.7879 # DEPENDENCYPART_ARC
(18,25),-1.83689 # DEPENDENCYPART_ARC
(18,26),-1.86067 # DEPENDENCYPART_ARC
(18,27),-0.752417 # DEPENDENCYPART_ARC
(19,3),-1.97829 # DEPENDENCYPART_ARC
(19,15),-1.5162 # DEPENDENCYPART_ARC
(19,16),-1.29561 # DEPENDENCYPART_ARC
(19,17),-1.0631 # DEPENDENCYPART_ARC
(19,18),-0.389068 # DEPENDENCYPART_ARC
(19,20),0.983433 # DEPENDENCYPART_ARC
(19,21),-0.875569 # DEPENDENCYPART_ARC
(19,22),-0.902119 # DEPENDENCYPART_ARC
(19,23),-1.04879 # DEPENDENCYPART_ARC
(19,24),-1.13172 # DEPENDENCYPART_ARC
(19,25),-1.32716 # DEPENDENCYPART_ARC
(19,26),-1.30386 # DEPENDENCYPART_ARC
(20,17),-1.44805 # DEPENDENCYPART_ARC
(20,19),-0.882649 # DEPENDENCYPART_ARC
(20,21),-0.0421102 # DEPENDENCYPART_ARC
(20,22),-0.85724 # DEPENDENCYPART_ARC
(20,23),-1.34089 # DEPENDENCYPART_ARC
(20,24),-1.5787 # DEPENDENCYPART_ARC
(20,25),-1.6247 # DEPENDENCYPART_ARC
(20,26),-1.43752 # DEPENDENCYPART_ARC
(21,22),-0.596302 # DEPENDENCYPART_ARC
(22,21),-0.769844 # DEPENDENCYPART_ARC
(22,23),-1.00329 # DEPENDENCYPART_ARC
(22,24),-1.95966 # DEPENDENCYPART_ARC
(23,21),-1.59848 # DEPENDENCYPART_ARC
(23,22),-0.419463 # DEPENDENCYPART_ARC
(23,24),-0.802442 # DEPENDENCYPART_ARC
(23,25),-1.81868 # DEPENDENCYPART_ARC
(24,21),-1.95101 # DEPENDENCYPART_ARC
(24,22),-1.33114 # DEPENDENCYPART_ARC
(24,23),-0.172329 # DEPENDENCYPART_ARC
(24,25),-0.605364 # DEPENDENCYPART_ARC
(24,26),-1.61418 # DEPENDENCYPART_ARC
(25,17),-2.94177 # DEPENDENCYPART_ARC
(25,21),-1.93806 # DEPENDENCYPART_ARC
(25,22),-1.79691 # DEPENDENCYPART_ARC
(25,23),-1.15402 # DEPENDENCYPART_ARC
(25,24),-0.0327795 # DEPENDENCYPART_ARC
(25,26),-0.497481 # DEPENDENCYPART_ARC
(26,1),-1.9296 # DEPENDENCYPART_ARC
(26,3),-2.09666 # DEPENDENCYPART_ARC
(26,11),-2.33804 # DEPENDENCYPART_ARC
(26,12),-2.94732 # DEPENDENCYPART_ARC
(26,15),-1.50428 # DEPENDENCYPART_ARC
(26,16),-1.36721 # DEPENDENCYPART_ARC
(26,17),-2.0771 # DEPENDENCYPART_ARC
(26,21),-0.356609 # DEPENDENCYPART_ARC
(26,22),-0.70314 # DEPENDENCYPART_ARC
(26,23),-0.563026 # DEPENDENCYPART_ARC
(26,24),0.0786309 # DEPENDENCYPART_ARC
(26,25),1.16828 # DEPENDENCYPART_ARC
(27,26),-0.624148 # DEPENDENCYPART_ARC
(0,3),(0,10),-0.236016 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00928247 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00944705 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0254664 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0218252 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0100462 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0361756 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0163434 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0132945 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0362958 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0137015 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0174469 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0162287 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0630489 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.00607355 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0246445 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0605466 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0117905 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0641184 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0692221 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0996603 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0266605 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.513828 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0890956 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0779548 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0266605 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.036834 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.062995 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0516922 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.375877 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00393311 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.19467 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.217543 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.148732 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.18672 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0235144 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0140836 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.148732 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0746265 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.00400664 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.20136 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.216546 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.106349 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0771424 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0260674 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.00326779 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0740094 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0899852 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0260674 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0380687 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0669309 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0925567 # DEPENDENCYPART_SIBL
(3,4),(3,27),-0.0038548 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0426584 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0240566 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0163463 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0778653 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0947729 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0240566 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0621322 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.039544 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0543778 # DEPENDENCYPART_SIBL
(3,5),(3,27),-0.0158985 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.015388 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0102407 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.076385 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0731986 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.015388 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0128262 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0146583 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.00723233 # DEPENDENCYPART_SIBL
(3,7),(3,27),-0.00354498 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0069633 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0637812 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0461398 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0294821 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0194414 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.051957 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.0718464 # DEPENDENCYPART_SIBL
(3,8),(3,27),0.0105299 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0770962 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0446837 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0416091 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0209423 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.0119955 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.00689939 # DEPENDENCYPART_SIBL
(3,9),(3,27),-0.0270605 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0932018 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0276195 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.106517 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0616965 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.0756358 # DEPENDENCYPART_SIBL
(3,10),(3,27),-0.0336002 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.00204837 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0160616 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.0104024 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.0178888 # DEPENDENCYPART_SIBL
(3,12),(3,27),-0.0148426 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0194414 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.051957 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.0718464 # DEPENDENCYPART_SIBL
(3,13),(3,27),0.0105299 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.0349473 # DEPENDENCYPART_SIBL
(3,18),(3,20),-0.0279182 # DEPENDENCYPART_SIBL
(3,18),(3,27),-0.00776339 # DEPENDENCYPART_SIBL
(3,19),(3,20),-0.112838 # DEPENDENCYPART_SIBL
(3,19),(3,27),-0.0323506 # DEPENDENCYPART_SIBL
(3,20),(3,27),-0.0105957 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0479278 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0242056 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0178609 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0415759 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0110631 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.623456 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0561304 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0747477 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0110631 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0436911 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0651361 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0257282 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.00708384 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0868837 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0334144 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0500491 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.01695 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0510585 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0380964 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0341187 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.01695 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0485897 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0372803 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0334495 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0277961 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0250403 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00668914 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0068988 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.000318821 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0383566 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0685537 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0068988 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0051544 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0499347 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0200256 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0191697 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0284659 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0621497 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00190323 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.00512691 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.00131966 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0621497 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0269444 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.022903 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.0454836 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0183969 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0526664 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0209828 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0346673 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.00911816 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0526664 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.010494 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0093771 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0423952 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0296203 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.119588 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0512051 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0740463 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.13488 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.142774 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0775244 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.232524 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.150394 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0405888 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0217607 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0230404 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0608933 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0188656 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.0539821 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.0599377 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.010891 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0494822 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.00961878 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0725133 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.0211411 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0108328 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0255161 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.00650596 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.040618 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.0223517 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.0261366 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.142774 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.0775244 # DEPENDENCYPART_SIBL
(4,13),(4,19),0.232524 # DEPENDENCYPART_SIBL
(4,13),(4,20),0.150394 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.0094034 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.0442318 # DEPENDENCYPART_SIBL
(4,16),(4,20),0.0270753 # DEPENDENCYPART_SIBL
(4,18),(4,19),0.0135306 # DEPENDENCYPART_SIBL
(4,18),(4,20),0.0205471 # DEPENDENCYPART_SIBL
(4,19),(4,20),-0.0134088 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.114269 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0119259 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.096444 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0220317 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0385996 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.398538 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0659397 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0106113 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0385996 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.00380472 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0539904 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.101812 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0813556 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0173227 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0991436 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.12733 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0813556 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0378744 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.010657 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0407934 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.054847 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.000741086 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0401934 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0407934 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0747989 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.00749136 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0582059 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0495854 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0544413 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.00749136 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0334264 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.00693065 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0463733 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0501842 # DEPENDENCYPART_SIBL
