# _root_ `` They all went in the wrong direction , '' said Andreas Insam , an investment adviser for the Bank in Liechtenstein 's Frankfurt branch .
#goldHeads=11,4,2,11,4,8,8,5,11,11,0,13,11,13,17,17,13,17,20,18,17,25,22,25,21,11,
#predictedHeads=11,4,4,11,4,8,8,5,11,11,0,13,11,13,17,17,13,17,20,25,20,21,20,25,18,11,
(2,5),(2,9),0.0734245 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0135126 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0112039 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0168657 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0734245 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.00267143 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.106247 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.00323085 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0199127 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0199507 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.106247 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0357543 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0902505 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.03501 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0500584 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.257017 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.105808 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0283818 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.00694449 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.083813 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0323432 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0124052 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.115963 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0252213 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0846003 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.0232213 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.105808 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0107197 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0541768 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0470807 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0099704 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0599129 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00446104 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0438722 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0392973 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.024968 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.002255 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0774775 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0564998 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0992973 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.052127 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0374581 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0677461 # DEPENDENCYPART_SIBL
(4,1),(4,3),4.17035e-05 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0324233 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0993159 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0440974 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00341751 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00799709 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.32405 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.111257 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0431443 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.00799709 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.00690827 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.00722349 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0187356 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.0324233 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.00277646 # DEPENDENCYPART_SIBL
(4,1),(4,26),0.106568 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0506215 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0680612 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0424166 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0686201 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0181384 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0248975 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0608732 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0189865 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0321205 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0248975 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0204891 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0629609 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0619325 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.0680612 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.0178851 # DEPENDENCYPART_SIBL
(4,2),(4,26),-0.0464331 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.133234 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0279021 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0083994 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0302065 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0276206 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.00872895 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0276792 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0494309 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0276206 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0329573 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.103779 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0816068 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.133234 # DEPENDENCYPART_SIBL
(4,3),(4,25),-0.0296682 # DEPENDENCYPART_SIBL
(4,3),(4,26),0.0334643 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0104538 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0117561 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0126116 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0187654 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.00415474 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.00931762 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0067377 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0187654 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0146128 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0487242 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0190754 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0134193 # DEPENDENCYPART_SIBL
(4,5),(4,25),-0.0115602 # DEPENDENCYPART_SIBL
(4,5),(4,26),0.0774558 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0162669 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0636783 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.023133 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0714233 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0104224 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.069441 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.023133 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.064305 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.00961467 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0781581 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0238949 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.0636479 # DEPENDENCYPART_SIBL
(4,6),(4,26),-0.047475 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00226626 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0112445 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0423031 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0216938 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.000481308 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0112445 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.00300708 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0602891 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.00928526 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.111109 # DEPENDENCYPART_SIBL
(4,7),(4,25),-0.00224624 # DEPENDENCYPART_SIBL
(4,7),(4,26),0.0797841 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0324247 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0272264 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0400098 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0640824 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0324247 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0858517 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0181199 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0702198 # DEPENDENCYPART_SIBL
(4,8),(4,21),0.00446239 # DEPENDENCYPART_SIBL
(4,8),(4,25),-0.0849004 # DEPENDENCYPART_SIBL
(4,8),(4,26),0.0315428 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0260179 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0222062 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0870639 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0431544 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0313586 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0137796 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0912553 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.00640251 # DEPENDENCYPART_SIBL
(4,9),(4,25),-0.0502719 # DEPENDENCYPART_SIBL
(4,9),(4,26),0.0382837 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0157601 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0125564 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0120845 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.030784 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.0354496 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.0216074 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.0595721 # DEPENDENCYPART_SIBL
(4,10),(4,25),-0.0295693 # DEPENDENCYPART_SIBL
(4,10),(4,26),0.0129952 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0736643 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0293001 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0934462 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0401482 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.0821281 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.0258344 # DEPENDENCYPART_SIBL
(4,11),(4,25),-0.0928549 # DEPENDENCYPART_SIBL
(4,11),(4,26),0.0383166 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.00211404 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0384578 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.00539315 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.0459839 # DEPENDENCYPART_SIBL
(4,13),(4,21),0.0388013 # DEPENDENCYPART_SIBL
(4,13),(4,25),-0.0347211 # DEPENDENCYPART_SIBL
(4,13),(4,26),0.0715006 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.0313586 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.0137796 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.0912553 # DEPENDENCYPART_SIBL
(4,14),(4,21),0.00640251 # DEPENDENCYPART_SIBL
(4,14),(4,25),-0.0502719 # DEPENDENCYPART_SIBL
(4,14),(4,26),0.0382837 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.0094575 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.0713019 # DEPENDENCYPART_SIBL
(4,17),(4,21),0.00926912 # DEPENDENCYPART_SIBL
(4,17),(4,25),-0.0860386 # DEPENDENCYPART_SIBL
(4,17),(4,26),0.0285739 # DEPENDENCYPART_SIBL
(4,18),(4,20),-0.0222571 # DEPENDENCYPART_SIBL
(4,18),(4,21),0.0820939 # DEPENDENCYPART_SIBL
(4,18),(4,25),0.00638732 # DEPENDENCYPART_SIBL
(4,18),(4,26),0.0885341 # DEPENDENCYPART_SIBL
(4,20),(4,21),0.0174965 # DEPENDENCYPART_SIBL
(4,20),(4,25),-0.046344 # DEPENDENCYPART_SIBL
(4,20),(4,26),0.034355 # DEPENDENCYPART_SIBL
(4,21),(4,25),-0.0115602 # DEPENDENCYPART_SIBL
(4,21),(4,26),0.0774558 # DEPENDENCYPART_SIBL
(4,25),(4,26),0.0370139 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0541405 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0133631 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0518579 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0940816 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0914209 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0198808 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0389696 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.381036 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0634816 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0178936 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0389696 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0211397 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00872943 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0131561 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0315239 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0118336 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.000225404 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0832478 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.00702149 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.036501 # DEPENDENCYPART_SIBL
