# _root_ The carnage on the Chicago Board Options Exchange , the nation 's major options market , was heavy after the trading in S&P 100 stock-index options was halted Friday .
#goldHeads=2,17,2,8,8,8,8,3,8,11,15,11,15,15,8,8,0,17,17,21,27,21,26,26,26,22,19,27,28,17,
#predictedHeads=2,17,2,8,8,8,8,3,8,11,15,11,15,15,8,8,0,17,17,21,27,21,26,26,26,22,19,27,28,17,
(11,12),1.30097 # DEPENDENCYPART_ARC
(11,13),-0.673641 # DEPENDENCYPART_ARC
(11,14),-0.74828 # DEPENDENCYPART_ARC
(11,16),-1.2264 # DEPENDENCYPART_ARC
(11,17),-0.913545 # DEPENDENCYPART_ARC
(11,18),-1.37337 # DEPENDENCYPART_ARC
(11,19),-1.01308 # DEPENDENCYPART_ARC
(11,21),-1.50332 # DEPENDENCYPART_ARC
(11,28),-1.75961 # DEPENDENCYPART_ARC
(11,30),-1.73609 # DEPENDENCYPART_ARC
(12,2),-1.89221 # DEPENDENCYPART_ARC
(12,10),-0.972314 # DEPENDENCYPART_ARC
(12,13),-0.430294 # DEPENDENCYPART_ARC
(13,11),-1.42819 # DEPENDENCYPART_ARC
(13,12),-0.449053 # DEPENDENCYPART_ARC
(13,14),-0.252254 # DEPENDENCYPART_ARC
(13,17),-1.42342 # DEPENDENCYPART_ARC
(14,4),-2.52521 # DEPENDENCYPART_ARC
(14,10),-1.71404 # DEPENDENCYPART_ARC
(14,11),-1.32951 # DEPENDENCYPART_ARC
(14,13),0.292279 # DEPENDENCYPART_ARC
(14,16),-1.2874 # DEPENDENCYPART_ARC
(14,17),-1.34022 # DEPENDENCYPART_ARC
(14,18),-1.76793 # DEPENDENCYPART_ARC
(14,19),-1.52955 # DEPENDENCYPART_ARC
(14,22),-1.91067 # DEPENDENCYPART_ARC
(15,2),-2.17663 # DEPENDENCYPART_ARC
(15,3),-1.28922 # DEPENDENCYPART_ARC
(15,4),-1.64721 # DEPENDENCYPART_ARC
(15,5),-1.50401 # DEPENDENCYPART_ARC
(15,6),-1.57364 # DEPENDENCYPART_ARC
(15,7),-1.56235 # DEPENDENCYPART_ARC
(15,8),-1.56684 # DEPENDENCYPART_ARC
(15,9),-1.90827 # DEPENDENCYPART_ARC
(15,10),-0.569262 # DEPENDENCYPART_ARC
(15,11),-0.159509 # DEPENDENCYPART_ARC
(15,12),-0.730634 # DEPENDENCYPART_ARC
(15,13),0.3166 # DEPENDENCYPART_ARC
(15,14),1.51443 # DEPENDENCYPART_ARC
(15,16),-0.259176 # DEPENDENCYPART_ARC
(15,17),-1.52324 # DEPENDENCYPART_ARC
(15,18),-1.6865 # DEPENDENCYPART_ARC
(15,19),-1.79938 # DEPENDENCYPART_ARC
(15,21),-1.99394 # DEPENDENCYPART_ARC
(17,2),-1.25021 # DEPENDENCYPART_ARC
(17,3),-1.06723 # DEPENDENCYPART_ARC
(17,5),-1.49995 # DEPENDENCYPART_ARC
(17,6),-1.28913 # DEPENDENCYPART_ARC
(17,7),-1.30079 # DEPENDENCYPART_ARC
(17,8),-1.12025 # DEPENDENCYPART_ARC
(17,9),-1.21465 # DEPENDENCYPART_ARC
(17,11),-1.00017 # DEPENDENCYPART_ARC
(17,12),-1.42922 # DEPENDENCYPART_ARC
(17,13),-1.26105 # DEPENDENCYPART_ARC
(17,14),-1.03591 # DEPENDENCYPART_ARC
(17,15),-0.893189 # DEPENDENCYPART_ARC
(17,16),0.43354 # DEPENDENCYPART_ARC
(17,18),1.01349 # DEPENDENCYPART_ARC
(17,19),0.167215 # DEPENDENCYPART_ARC
(17,21),-0.330516 # DEPENDENCYPART_ARC
(17,22),-0.505039 # DEPENDENCYPART_ARC
(17,23),-1.22272 # DEPENDENCYPART_ARC
(17,25),-1.52555 # DEPENDENCYPART_ARC
(17,26),-1.38141 # DEPENDENCYPART_ARC
(17,27),-0.992162 # DEPENDENCYPART_ARC
(17,28),-1.25579 # DEPENDENCYPART_ARC
(17,29),-1.67814 # DEPENDENCYPART_ARC
(17,30),0.756188 # DEPENDENCYPART_ARC
(18,15),-1.27812 # DEPENDENCYPART_ARC
(18,16),-1.28439 # DEPENDENCYPART_ARC
(18,17),-0.234975 # DEPENDENCYPART_ARC
(18,19),0.0830504 # DEPENDENCYPART_ARC
(18,21),-1.24031 # DEPENDENCYPART_ARC
(18,22),-1.44815 # DEPENDENCYPART_ARC
(18,23),-1.78662 # DEPENDENCYPART_ARC
(18,24),-1.90534 # DEPENDENCYPART_ARC
(19,2),-2.02229 # DEPENDENCYPART_ARC
(19,15),-1.74069 # DEPENDENCYPART_ARC
(19,18),-0.724856 # DEPENDENCYPART_ARC
(19,20),-0.0276992 # DEPENDENCYPART_ARC
(19,21),0.271457 # DEPENDENCYPART_ARC
(19,22),-1.04804 # DEPENDENCYPART_ARC
(19,23),-1.70955 # DEPENDENCYPART_ARC
(19,24),-1.88029 # DEPENDENCYPART_ARC
(19,26),-1.39398 # DEPENDENCYPART_ARC
(19,27),-0.928355 # DEPENDENCYPART_ARC
(19,28),-1.33561 # DEPENDENCYPART_ARC
(21,18),-1.25606 # DEPENDENCYPART_ARC
(21,19),-0.908093 # DEPENDENCYPART_ARC
(21,20),1.25945 # DEPENDENCYPART_ARC
(21,22),0.336903 # DEPENDENCYPART_ARC
(21,23),-1.18202 # DEPENDENCYPART_ARC
(21,24),-1.37714 # DEPENDENCYPART_ARC
(21,26),-1.51584 # DEPENDENCYPART_ARC
(21,27),-1.28082 # DEPENDENCYPART_ARC
(21,28),-1.68726 # DEPENDENCYPART_ARC
(21,29),-2.01383 # DEPENDENCYPART_ARC
(22,21),-0.963838 # DEPENDENCYPART_ARC
(22,23),0.565922 # DEPENDENCYPART_ARC
(22,24),-0.867626 # DEPENDENCYPART_ARC
(22,25),-1.38593 # DEPENDENCYPART_ARC
(22,26),-0.516175 # DEPENDENCYPART_ARC
(22,27),-1.09126 # DEPENDENCYPART_ARC
(22,29),-2.00917 # DEPENDENCYPART_ARC
(23,24),0.436339 # DEPENDENCYPART_ARC
(23,25),-1.00416 # DEPENDENCYPART_ARC
(23,26),-1.40192 # DEPENDENCYPART_ARC
(23,27),-1.45827 # DEPENDENCYPART_ARC
(23,28),-1.77612 # DEPENDENCYPART_ARC
(23,29),-2.22263 # DEPENDENCYPART_ARC
(23,30),-1.61495 # DEPENDENCYPART_ARC
(24,19),-1.82231 # DEPENDENCYPART_ARC
(24,22),-1.27417 # DEPENDENCYPART_ARC
(24,23),-0.468931 # DEPENDENCYPART_ARC
(24,25),-0.374947 # DEPENDENCYPART_ARC
(24,26),-1.27159 # DEPENDENCYPART_ARC
(24,27),-1.29325 # DEPENDENCYPART_ARC
(24,29),-1.93853 # DEPENDENCYPART_ARC
(25,23),-1.19129 # DEPENDENCYPART_ARC
(25,24),-0.320175 # DEPENDENCYPART_ARC
(25,27),-1.07215 # DEPENDENCYPART_ARC
(25,28),-1.39351 # DEPENDENCYPART_ARC
(25,29),-1.86351 # DEPENDENCYPART_ARC
(26,18),-1.77561 # DEPENDENCYPART_ARC
(26,20),-1.48096 # DEPENDENCYPART_ARC
(26,21),-1.30521 # DEPENDENCYPART_ARC
(26,22),-1.30422 # DEPENDENCYPART_ARC
(26,23),-0.404703 # DEPENDENCYPART_ARC
(26,24),0.0100964 # DEPENDENCYPART_ARC
(26,25),1.37094 # DEPENDENCYPART_ARC
(26,27),-0.5556 # DEPENDENCYPART_ARC
(26,28),-1.25937 # DEPENDENCYPART_ARC
(26,29),-1.67799 # DEPENDENCYPART_ARC
(27,2),-1.01449 # DEPENDENCYPART_ARC
(27,3),-1.10191 # DEPENDENCYPART_ARC
(27,5),-1.81702 # DEPENDENCYPART_ARC
(27,6),-1.72596 # DEPENDENCYPART_ARC
(27,7),-1.85967 # DEPENDENCYPART_ARC
(27,8),-1.64102 # DEPENDENCYPART_ARC
(27,9),-1.57358 # DEPENDENCYPART_ARC
(27,11),-1.07817 # DEPENDENCYPART_ARC
(27,13),-1.43502 # DEPENDENCYPART_ARC
(27,14),-1.83494 # DEPENDENCYPART_ARC
(27,15),-1.24597 # DEPENDENCYPART_ARC
(27,16),-1.72277 # DEPENDENCYPART_ARC
(27,17),-1.89236 # DEPENDENCYPART_ARC
(27,18),-1.36636 # DEPENDENCYPART_ARC
(27,19),-1.07699 # DEPENDENCYPART_ARC
(27,21),-0.485321 # DEPENDENCYPART_ARC
(27,22),-0.994583 # DEPENDENCYPART_ARC
(27,23),-1.50378 # DEPENDENCYPART_ARC
(27,24),-1.16918 # DEPENDENCYPART_ARC
(27,25),-0.955968 # DEPENDENCYPART_ARC
(27,26),0.356871 # DEPENDENCYPART_ARC
(27,28),1.15593 # DEPENDENCYPART_ARC
(27,29),-0.589764 # DEPENDENCYPART_ARC
(27,30),-0.243252 # DEPENDENCYPART_ARC
(28,2),-1.7805 # DEPENDENCYPART_ARC
(28,3),-2.12653 # DEPENDENCYPART_ARC
(28,19),-1.73745 # DEPENDENCYPART_ARC
(28,21),-1.40376 # DEPENDENCYPART_ARC
(28,22),-1.48074 # DEPENDENCYPART_ARC
(28,24),-1.73142 # DEPENDENCYPART_ARC
(28,25),-1.2734 # DEPENDENCYPART_ARC
(28,26),-1.27464 # DEPENDENCYPART_ARC
(28,29),0.475305 # DEPENDENCYPART_ARC
(28,30),-0.86237 # DEPENDENCYPART_ARC
(29,23),-2.26098 # DEPENDENCYPART_ARC
(29,24),-1.90564 # DEPENDENCYPART_ARC
(29,25),-1.39442 # DEPENDENCYPART_ARC
(29,26),-1.11156 # DEPENDENCYPART_ARC
(29,28),-0.0164441 # DEPENDENCYPART_ARC
(29,30),-0.210095 # DEPENDENCYPART_ARC
(30,29),-0.493353 # DEPENDENCYPART_ARC
(0,2),(0,17),-0.123477 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.123477 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.0382536 # DEPENDENCYPART_SIBL
(0,17),(0,27),-0.258448 # DEPENDENCYPART_SIBL
(0,17),(0,28),-0.104926 # DEPENDENCYPART_SIBL
(0,27),(0,28),-0.104926 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0203314 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0836017 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00387075 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0286033 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00746947 # DEPENDENCYPART_SIBL
(2,1),(2,8),-7.8876e-05 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0703916 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.000249922 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.557285 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0249795 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0703916 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.21244 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.103946 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0193947 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0168245 # DEPENDENCYPART_SIBL
(2,1),(2,30),-0.048289 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.02357 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0358551 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0264027 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0222099 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0268977 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0170496 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.024281 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0344707 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0528603 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0170496 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.00589677 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0286064 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0397076 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.0282465 # DEPENDENCYPART_SIBL
(2,3),(2,30),0.113566 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0588155 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0596253 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0625049 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0610726 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0255292 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0336561 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0541976 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0225708 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0255292 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0426198 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0237387 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0419872 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0616069 # DEPENDENCYPART_SIBL
(2,4),(2,30),-0.0964978 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0428545 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.045083 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0454626 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0283791 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0401871 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0770747 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0320463 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0283791 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.00481875 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0164896 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0197468 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.0285751 # DEPENDENCYPART_SIBL
(2,5),(2,30),-0.00160031 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0447625 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.045142 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.00186991 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0386937 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0779014 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0305529 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.00186991 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0117011 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0177536 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.029526 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0429359 # DEPENDENCYPART_SIBL
(2,6),(2,30),-0.00574144 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0434977 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0203969 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0431262 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0762411 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0349854 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0203969 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0125012 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.017465 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0376406 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0573942 # DEPENDENCYPART_SIBL
(2,7),(2,30),0.00256948 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.00930862 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0427246 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0768102 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0345838 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.00930862 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.014031 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0169618 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.023315 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.033762 # DEPENDENCYPART_SIBL
(2,8),(2,30),-0.0146297 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.055364 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0660049 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0598683 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.046486 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0105156 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.0244206 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0412524 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.000361007 # DEPENDENCYPART_SIBL
(2,9),(2,30),0.0012641 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0206139 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0267445 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0129801 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.00271685 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0100972 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0204821 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.00816245 # DEPENDENCYPART_SIBL
(2,11),(2,30),0.0101484 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0285857 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0776964 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.00419227 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.0481799 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.0849073 # DEPENDENCYPART_SIBL
(2,12),(2,22),0.120935 # DEPENDENCYPART_SIBL
(2,12),(2,30),-0.0664787 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.00874668 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.0108615 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.0147771 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.0248584 # DEPENDENCYPART_SIBL
(2,15),(2,22),0.0138159 # DEPENDENCYPART_SIBL
(2,15),(2,30),0.00154976 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.0105156 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.0244206 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.0412524 # DEPENDENCYPART_SIBL
(2,16),(2,22),-0.000361007 # DEPENDENCYPART_SIBL
(2,16),(2,30),0.0012641 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.0341594 # DEPENDENCYPART_SIBL
(2,17),(2,19),0.0073072 # DEPENDENCYPART_SIBL
(2,17),(2,22),0.010028 # DEPENDENCYPART_SIBL
(2,17),(2,30),-0.00737046 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0329743 # DEPENDENCYPART_SIBL
(2,18),(2,22),0.0433737 # DEPENDENCYPART_SIBL
(2,18),(2,30),-0.015667 # DEPENDENCYPART_SIBL
(2,19),(2,22),0.0195765 # DEPENDENCYPART_SIBL
(2,19),(2,30),0.103435 # DEPENDENCYPART_SIBL
(2,22),(2,30),0.0469308 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0794384 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0603353 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0428143 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0583332 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0560716 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0162116 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.107321 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0251403 # DEPENDENCYPART_SIBL
(3,2),(3,30),-0.0240261 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0937372 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0933917 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0937695 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0993852 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0209415 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0796294 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.116421 # DEPENDENCYPART_SIBL
(3,4),(3,30),-0.0516426 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.132913 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.132469 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.142975 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0406492 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.129702 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.17354 # DEPENDENCYPART_SIBL
(3,5),(3,30),-0.0035997 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.122796 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.133302 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0543775 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.118653 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.164093 # DEPENDENCYPART_SIBL
(3,6),(3,30),-7.4751e-06 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.117537 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0130981 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.107105 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.154194 # DEPENDENCYPART_SIBL
(3,7),(3,30),0.0348999 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0672054 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.1348 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.181754 # DEPENDENCYPART_SIBL
(3,8),(3,30),-0.0235278 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0677556 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0583291 # DEPENDENCYPART_SIBL
(3,9),(3,30),0.106111 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.111823 # DEPENDENCYPART_SIBL
(3,14),(3,30),0.112481 # DEPENDENCYPART_SIBL
(3,15),(3,30),0.00687999 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.111134 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0343184 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0259236 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0155685 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0258252 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0154404 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.115345 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.136018 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.116062 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0414151 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0240675 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0414151 # DEPENDENCYPART_SIBL
