# _root_ `` We have no plans to adjust our asset allocation in foreign equities , '' said Masato Murakami , chief portfolio manager in the pension fund management department at Yasuda Trust & Banking Co .
#goldHeads=16,3,16,5,3,5,6,10,10,7,10,13,11,16,16,0,18,16,18,22,22,18,22,28,28,28,28,23,28,31,29,31,32,33,16,
#predictedHeads=16,3,16,5,3,5,6,10,10,7,10,13,11,16,16,0,18,16,18,22,22,18,22,28,28,28,28,23,22,31,29,31,32,33,16,
(16,31),-2.23304 # DEPENDENCYPART_ARC
(16,32),-1.68157 # DEPENDENCYPART_ARC
(16,34),-2.23146 # DEPENDENCYPART_ARC
(16,35),1.6299 # DEPENDENCYPART_ARC
(17,18),-0.515253 # DEPENDENCYPART_ARC
(17,19),-1.37501 # DEPENDENCYPART_ARC
(17,20),-1.61536 # DEPENDENCYPART_ARC
(17,21),-1.69147 # DEPENDENCYPART_ARC
(17,22),-1.91666 # DEPENDENCYPART_ARC
(17,32),-1.90428 # DEPENDENCYPART_ARC
(18,1),-1.98521 # DEPENDENCYPART_ARC
(18,3),-1.96531 # DEPENDENCYPART_ARC
(18,8),-1.73751 # DEPENDENCYPART_ARC
(18,10),-1.54037 # DEPENDENCYPART_ARC
(18,12),-1.55852 # DEPENDENCYPART_ARC
(18,13),-1.04388 # DEPENDENCYPART_ARC
(18,14),-1.75362 # DEPENDENCYPART_ARC
(18,15),-1.28843 # DEPENDENCYPART_ARC
(18,17),1.65979 # DEPENDENCYPART_ARC
(18,19),0.365298 # DEPENDENCYPART_ARC
(18,20),-1.07708 # DEPENDENCYPART_ARC
(18,21),-1.08248 # DEPENDENCYPART_ARC
(18,22),-1.24191 # DEPENDENCYPART_ARC
(18,23),-1.82498 # DEPENDENCYPART_ARC
(18,25),-2.0677 # DEPENDENCYPART_ARC
(18,26),-2.23955 # DEPENDENCYPART_ARC
(18,27),-2.42832 # DEPENDENCYPART_ARC
(18,28),-2.3637 # DEPENDENCYPART_ARC
(18,31),-2.93687 # DEPENDENCYPART_ARC
(18,32),-1.60792 # DEPENDENCYPART_ARC
(18,34),-3.10753 # DEPENDENCYPART_ARC
(20,18),-0.947356 # DEPENDENCYPART_ARC
(20,19),-0.108909 # DEPENDENCYPART_ARC
(20,21),-0.151019 # DEPENDENCYPART_ARC
(21,17),-1.73199 # DEPENDENCYPART_ARC
(21,20),0.0104826 # DEPENDENCYPART_ARC
(21,23),-1.41497 # DEPENDENCYPART_ARC
(21,29),-2.14508 # DEPENDENCYPART_ARC
(22,1),-1.65807 # DEPENDENCYPART_ARC
(22,3),-1.72664 # DEPENDENCYPART_ARC
(22,4),-1.89468 # DEPENDENCYPART_ARC
(22,5),-1.36229 # DEPENDENCYPART_ARC
(22,8),-1.49565 # DEPENDENCYPART_ARC
(22,12),-1.25763 # DEPENDENCYPART_ARC
(22,13),-1.29736 # DEPENDENCYPART_ARC
(22,15),-1.72668 # DEPENDENCYPART_ARC
(22,17),-0.933357 # DEPENDENCYPART_ARC
(22,18),-1.06863 # DEPENDENCYPART_ARC
(22,19),-1.32923 # DEPENDENCYPART_ARC
(22,20),0.305898 # DEPENDENCYPART_ARC
(22,21),1.72134 # DEPENDENCYPART_ARC
(22,23),0.27414 # DEPENDENCYPART_ARC
(22,24),-1.46829 # DEPENDENCYPART_ARC
(22,25),-1.00699 # DEPENDENCYPART_ARC
(22,26),-1.27844 # DEPENDENCYPART_ARC
(22,27),-1.42287 # DEPENDENCYPART_ARC
(22,28),-1.51267 # DEPENDENCYPART_ARC
(22,29),-1.31886 # DEPENDENCYPART_ARC
(22,31),-2.01271 # DEPENDENCYPART_ARC
(22,32),-1.95254 # DEPENDENCYPART_ARC
(22,34),-2.23998 # DEPENDENCYPART_ARC
(23,22),-0.907638 # DEPENDENCYPART_ARC
(23,24),-0.0329763 # DEPENDENCYPART_ARC
(23,25),0.0890749 # DEPENDENCYPART_ARC
(23,26),-0.652604 # DEPENDENCYPART_ARC
(23,27),-0.993339 # DEPENDENCYPART_ARC
(23,28),-0.971007 # DEPENDENCYPART_ARC
(23,31),-2.05487 # DEPENDENCYPART_ARC
(23,32),-1.59454 # DEPENDENCYPART_ARC
(24,25),-0.100776 # DEPENDENCYPART_ARC
(25,24),-0.254873 # DEPENDENCYPART_ARC
(25,26),-0.578925 # DEPENDENCYPART_ARC
(25,29),-1.51452 # DEPENDENCYPART_ARC
(26,24),-0.806533 # DEPENDENCYPART_ARC
(26,25),0.436639 # DEPENDENCYPART_ARC
(26,27),-0.590843 # DEPENDENCYPART_ARC
(26,28),-1.56094 # DEPENDENCYPART_ARC
(26,29),-1.52659 # DEPENDENCYPART_ARC
(26,31),-2.05956 # DEPENDENCYPART_ARC
(27,24),-1.40461 # DEPENDENCYPART_ARC
(27,25),-0.398286 # DEPENDENCYPART_ARC
(27,26),0.662737 # DEPENDENCYPART_ARC
(27,29),-1.49825 # DEPENDENCYPART_ARC
(27,31),-1.99892 # DEPENDENCYPART_ARC
(28,1),-1.51737 # DEPENDENCYPART_ARC
(28,3),-1.63628 # DEPENDENCYPART_ARC
(28,8),-1.77425 # DEPENDENCYPART_ARC
(28,12),-1.85192 # DEPENDENCYPART_ARC
(28,20),-1.50025 # DEPENDENCYPART_ARC
(28,21),-1.12365 # DEPENDENCYPART_ARC
(28,22),-1.51195 # DEPENDENCYPART_ARC
(28,23),-0.87591 # DEPENDENCYPART_ARC
(28,24),-0.24313 # DEPENDENCYPART_ARC
(28,25),0.0899383 # DEPENDENCYPART_ARC
(28,26),0.602559 # DEPENDENCYPART_ARC
(28,27),1.81987 # DEPENDENCYPART_ARC
(28,29),0.0681548 # DEPENDENCYPART_ARC
(28,31),-1.38276 # DEPENDENCYPART_ARC
(28,32),-1.67179 # DEPENDENCYPART_ARC
(28,33),-1.77462 # DEPENDENCYPART_ARC
(28,34),-1.90542 # DEPENDENCYPART_ARC
(29,28),-0.922538 # DEPENDENCYPART_ARC
(29,30),-0.0140851 # DEPENDENCYPART_ARC
(29,31),-0.367601 # DEPENDENCYPART_ARC
(29,32),-1.2895 # DEPENDENCYPART_ARC
(29,33),-1.57651 # DEPENDENCYPART_ARC
(29,34),-1.53776 # DEPENDENCYPART_ARC
(30,31),-0.485159 # DEPENDENCYPART_ARC
(30,32),-0.874619 # DEPENDENCYPART_ARC
(30,33),-1.97365 # DEPENDENCYPART_ARC
(30,34),-2.20946 # DEPENDENCYPART_ARC
(31,3),-2.14015 # DEPENDENCYPART_ARC
(31,20),-1.87809 # DEPENDENCYPART_ARC
(31,21),-1.25607 # DEPENDENCYPART_ARC
(31,22),-1.4728 # DEPENDENCYPART_ARC
(31,24),-2.12754 # DEPENDENCYPART_ARC
(31,25),-1.12526 # DEPENDENCYPART_ARC
(31,26),-0.707643 # DEPENDENCYPART_ARC
(31,27),-0.596668 # DEPENDENCYPART_ARC
(31,28),-0.678526 # DEPENDENCYPART_ARC
(31,30),1.63851 # DEPENDENCYPART_ARC
(31,32),1.43564 # DEPENDENCYPART_ARC
(31,33),-0.926288 # DEPENDENCYPART_ARC
(31,34),-0.958738 # DEPENDENCYPART_ARC
(32,33),0.145697 # DEPENDENCYPART_ARC
(32,34),-0.877855 # DEPENDENCYPART_ARC
(33,30),-2.25285 # DEPENDENCYPART_ARC
(33,34),-0.60116 # DEPENDENCYPART_ARC
(34,20),-2.24032 # DEPENDENCYPART_ARC
(34,24),-2.60553 # DEPENDENCYPART_ARC
(34,25),-1.66483 # DEPENDENCYPART_ARC
(34,26),-1.52163 # DEPENDENCYPART_ARC
(34,27),-1.45876 # DEPENDENCYPART_ARC
(34,28),-1.71194 # DEPENDENCYPART_ARC
(34,30),-1.41324 # DEPENDENCYPART_ARC
(34,31),-1.7275 # DEPENDENCYPART_ARC
(34,33),0.744114 # DEPENDENCYPART_ARC
(35,34),-0.614976 # DEPENDENCYPART_ARC
(0,3),(0,16),-0.242518 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0168636 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0349909 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0251045 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0417084 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0231042 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0396203 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.113305 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0125815 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.022928 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0903466 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0319538 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0400522 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0161055 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0161005 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0824617 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0469479 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0189994 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0520555 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.620416 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0568714 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.124321 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0520555 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.0231128 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.0824617 # DEPENDENCYPART_SIBL
(3,1),(3,28),0.0112352 # DEPENDENCYPART_SIBL
(3,1),(3,29),0.0684032 # DEPENDENCYPART_SIBL
(3,1),(3,32),0.0796499 # DEPENDENCYPART_SIBL
(3,1),(3,35),0.300443 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0165824 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0339363 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0242838 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00667957 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0026585 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.012074 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0120738 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0628355 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.006163 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0340016 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0199999 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0801478 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.027542 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0379598 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0199999 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0136019 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0628355 # DEPENDENCYPART_SIBL
(3,2),(3,28),-0.0166856 # DEPENDENCYPART_SIBL
(3,2),(3,29),0.00155079 # DEPENDENCYPART_SIBL
(3,2),(3,32),-0.0229958 # DEPENDENCYPART_SIBL
(3,2),(3,35),0.0662995 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.100916 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0600229 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0282224 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0385286 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0643735 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.064353 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0579122 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.044311 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.099031 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0740185 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0699333 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0365863 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0587919 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0740185 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0643848 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.0579122 # DEPENDENCYPART_SIBL
(3,4),(3,28),-0.0643957 # DEPENDENCYPART_SIBL
(3,4),(3,29),-0.0148022 # DEPENDENCYPART_SIBL
(3,4),(3,32),-0.0906445 # DEPENDENCYPART_SIBL
(3,4),(3,35),-0.0865726 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0947791 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00336858 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0111522 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0475211 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0462268 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.00683645 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0147093 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.158492 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0339403 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0533495 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0363537 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0335383 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.0339403 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0475211 # DEPENDENCYPART_SIBL
(3,5),(3,23),0.00683645 # DEPENDENCYPART_SIBL
(3,5),(3,28),-0.0478937 # DEPENDENCYPART_SIBL
(3,5),(3,29),0.0221732 # DEPENDENCYPART_SIBL
(3,5),(3,32),-0.0233855 # DEPENDENCYPART_SIBL
(3,5),(3,35),-0.0380908 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0198518 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0153695 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0303385 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0303325 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0174848 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.036198 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0696207 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0174709 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0553019 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0173257 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0270386 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0174709 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.0303347 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.0174848 # DEPENDENCYPART_SIBL
(3,6),(3,28),-0.0303829 # DEPENDENCYPART_SIBL
(3,6),(3,29),-0.0339515 # DEPENDENCYPART_SIBL
(3,6),(3,32),-0.0328584 # DEPENDENCYPART_SIBL
(3,6),(3,35),0.0183299 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0452493 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0906991 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0901763 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0758774 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0824867 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0889694 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0324783 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0435507 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0618734 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0610267 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0324783 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.0901806 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.0758774 # DEPENDENCYPART_SIBL
(3,7),(3,28),-0.0902176 # DEPENDENCYPART_SIBL
(3,7),(3,29),-0.0607952 # DEPENDENCYPART_SIBL
(3,7),(3,32),-0.0444662 # DEPENDENCYPART_SIBL
(3,7),(3,35),-0.0434048 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0428878 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0428878 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0451009 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0349432 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0664803 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0466397 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0308446 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.033243 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0177358 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0466397 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.0428878 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.0451009 # DEPENDENCYPART_SIBL
(3,8),(3,28),-0.0429295 # DEPENDENCYPART_SIBL
(3,8),(3,29),-0.0203688 # DEPENDENCYPART_SIBL
(3,8),(3,32),-0.0430563 # DEPENDENCYPART_SIBL
(3,8),(3,35),-0.0423274 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0631528 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0485679 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0240529 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0897173 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0191756 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.00750492 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0311396 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0140067 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.0191756 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.0644487 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.0485679 # DEPENDENCYPART_SIBL
(3,9),(3,28),-0.0638455 # DEPENDENCYPART_SIBL
(3,9),(3,29),0.0927947 # DEPENDENCYPART_SIBL
(3,9),(3,32),-0.0470293 # DEPENDENCYPART_SIBL
(3,9),(3,35),0.00125212 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.048736 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0238622 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.089717 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0102003 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.00306819 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0311395 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0140063 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0102003 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0643401 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.048736 # DEPENDENCYPART_SIBL
(3,10),(3,28),-0.0637369 # DEPENDENCYPART_SIBL
