# _root_ By 10 a.m. Tokyo time , the index was up 435.11 points , to 34903.80 as investors hailed New York 's overnight rally .
#goldHeads=9,1,2,5,2,9,8,9,0,9,12,10,10,10,14,9,18,16,20,23,20,23,18,9,
#predictedHeads=9,5,5,5,1,9,8,9,0,9,12,10,9,10,14,9,18,16,20,23,20,23,18,9,
(10,23),-1.67556 # DEPENDENCYPART_ARC
(10,24),-1.47029 # DEPENDENCYPART_ARC
(11,1),-1.86606 # DEPENDENCYPART_ARC
(11,2),-2.04889 # DEPENDENCYPART_ARC
(11,3),-2.33141 # DEPENDENCYPART_ARC
(11,8),-1.70139 # DEPENDENCYPART_ARC
(11,9),-1.41618 # DEPENDENCYPART_ARC
(11,10),-0.410423 # DEPENDENCYPART_ARC
(11,12),-0.641938 # DEPENDENCYPART_ARC
(12,1),-1.71334 # DEPENDENCYPART_ARC
(12,2),-1.68563 # DEPENDENCYPART_ARC
(12,3),-1.81349 # DEPENDENCYPART_ARC
(12,4),-1.76235 # DEPENDENCYPART_ARC
(12,5),-1.7691 # DEPENDENCYPART_ARC
(12,6),-2.13307 # DEPENDENCYPART_ARC
(12,7),-1.01516 # DEPENDENCYPART_ARC
(12,8),-1.07693 # DEPENDENCYPART_ARC
(12,9),-1.26907 # DEPENDENCYPART_ARC
(12,10),-0.0637537 # DEPENDENCYPART_ARC
(12,11),1.16432 # DEPENDENCYPART_ARC
(12,13),0.277544 # DEPENDENCYPART_ARC
(12,14),-0.99223 # DEPENDENCYPART_ARC
(12,15),-1.37242 # DEPENDENCYPART_ARC
(12,16),-1.36985 # DEPENDENCYPART_ARC
(12,17),-1.30682 # DEPENDENCYPART_ARC
(12,18),-1.43712 # DEPENDENCYPART_ARC
(12,20),-1.97222 # DEPENDENCYPART_ARC
(12,21),-1.81134 # DEPENDENCYPART_ARC
(12,23),-1.95431 # DEPENDENCYPART_ARC
(12,24),-1.90713 # DEPENDENCYPART_ARC
(13,14),-0.395541 # DEPENDENCYPART_ARC
(14,10),-2.06775 # DEPENDENCYPART_ARC
(14,12),-1.90829 # DEPENDENCYPART_ARC
(14,13),-0.483834 # DEPENDENCYPART_ARC
(14,15),0.152007 # DEPENDENCYPART_ARC
(14,16),-0.670019 # DEPENDENCYPART_ARC
(14,17),-0.739151 # DEPENDENCYPART_ARC
(14,18),-1.29897 # DEPENDENCYPART_ARC
(14,20),-1.82188 # DEPENDENCYPART_ARC
(14,23),-1.5479 # DEPENDENCYPART_ARC
(14,24),-1.29785 # DEPENDENCYPART_ARC
(15,10),-1.74486 # DEPENDENCYPART_ARC
(15,11),-1.43539 # DEPENDENCYPART_ARC
(15,12),-1.23417 # DEPENDENCYPART_ARC
(15,13),-1.29166 # DEPENDENCYPART_ARC
(15,14),-0.0355785 # DEPENDENCYPART_ARC
(15,16),-0.38077 # DEPENDENCYPART_ARC
(15,17),-1.2199 # DEPENDENCYPART_ARC
(15,18),-1.23726 # DEPENDENCYPART_ARC
(15,20),-1.81988 # DEPENDENCYPART_ARC
(15,23),-1.92404 # DEPENDENCYPART_ARC
(16,12),-1.71925 # DEPENDENCYPART_ARC
(16,14),-1.59211 # DEPENDENCYPART_ARC
(16,15),-0.73448 # DEPENDENCYPART_ARC
(16,17),0.73059 # DEPENDENCYPART_ARC
(16,18),-0.0555641 # DEPENDENCYPART_ARC
(16,20),-1.93006 # DEPENDENCYPART_ARC
(16,23),-1.79573 # DEPENDENCYPART_ARC
(17,15),-0.894115 # DEPENDENCYPART_ARC
(17,16),-0.36182 # DEPENDENCYPART_ARC
(17,18),-0.32462 # DEPENDENCYPART_ARC
(17,20),-1.61378 # DEPENDENCYPART_ARC
(17,21),-1.53837 # DEPENDENCYPART_ARC
(17,23),-2.04099 # DEPENDENCYPART_ARC
(18,1),-1.23185 # DEPENDENCYPART_ARC
(18,2),-1.83128 # DEPENDENCYPART_ARC
(18,3),-1.57489 # DEPENDENCYPART_ARC
(18,4),-1.9218 # DEPENDENCYPART_ARC
(18,5),-1.43644 # DEPENDENCYPART_ARC
(18,6),-1.57786 # DEPENDENCYPART_ARC
(18,8),-1.31874 # DEPENDENCYPART_ARC
(18,9),-1.55856 # DEPENDENCYPART_ARC
(18,10),-1.39954 # DEPENDENCYPART_ARC
(18,11),-1.52004 # DEPENDENCYPART_ARC
(18,12),-1.08693 # DEPENDENCYPART_ARC
(18,13),-0.884509 # DEPENDENCYPART_ARC
(18,14),-1.17361 # DEPENDENCYPART_ARC
(18,15),-1.02691 # DEPENDENCYPART_ARC
(18,16),-0.652689 # DEPENDENCYPART_ARC
(18,17),0.677923 # DEPENDENCYPART_ARC
(18,19),0.583705 # DEPENDENCYPART_ARC
(18,20),-0.222031 # DEPENDENCYPART_ARC
(18,21),-0.896058 # DEPENDENCYPART_ARC
(18,22),-0.959002 # DEPENDENCYPART_ARC
(18,23),-0.478095 # DEPENDENCYPART_ARC
(18,24),0.168724 # DEPENDENCYPART_ARC
(19,17),-1.67676 # DEPENDENCYPART_ARC
(19,20),-1.12013 # DEPENDENCYPART_ARC
(19,21),-1.61955 # DEPENDENCYPART_ARC
(20,15),-1.6385 # DEPENDENCYPART_ARC
(20,17),-0.712896 # DEPENDENCYPART_ARC
(20,19),2.25739 # DEPENDENCYPART_ARC
(20,21),1.45577 # DEPENDENCYPART_ARC
(20,22),-0.776465 # DEPENDENCYPART_ARC
(20,23),-0.870829 # DEPENDENCYPART_ARC
(22,20),-1.06421 # DEPENDENCYPART_ARC
(22,21),-0.367408 # DEPENDENCYPART_ARC
(23,14),-2.19035 # DEPENDENCYPART_ARC
(23,15),-1.70555 # DEPENDENCYPART_ARC
(23,17),-1.20895 # DEPENDENCYPART_ARC
(23,19),-0.575412 # DEPENDENCYPART_ARC
(23,20),-0.120002 # DEPENDENCYPART_ARC
(23,21),-0.409319 # DEPENDENCYPART_ARC
(23,22),1.38443 # DEPENDENCYPART_ARC
(23,24),-0.519911 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.00194737 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0419822 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0264989 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.167127 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.145577 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.013441 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0391719 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.124279 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0913064 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0141163 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.129812 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.118604 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.128916 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.129459 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.237721 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0259564 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0705753 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.120395 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0146708 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.108539 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0736632 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0250952 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.130808 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.0146708 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0421494 # DEPENDENCYPART_SIBL
(1,2),(1,24),-0.0545464 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0262635 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0427396 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00029039 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0480529 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0409338 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0280285 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0576225 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.00029039 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.0392312 # DEPENDENCYPART_SIBL
(1,3),(1,24),-0.0329982 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.142469 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0150204 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.138075 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0716452 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.035317 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.106912 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0150204 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.000927607 # DEPENDENCYPART_SIBL
(1,4),(1,24),-0.0536972 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0541883 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.162243 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0431009 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0631358 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.152171 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0541883 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.0374011 # DEPENDENCYPART_SIBL
(1,5),(1,24),-0.0486949 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0694139 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0299206 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0744239 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0843752 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0158565 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.0919366 # DEPENDENCYPART_SIBL
(1,6),(1,24),0.0284934 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0531736 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0664019 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.162569 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.0176454 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.0176757 # DEPENDENCYPART_SIBL
(1,8),(1,24),-0.0720705 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.000795776 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0472554 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.0191239 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0788266 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.0944759 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.0427557 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.00334054 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.0756471 # DEPENDENCYPART_SIBL
(1,10),(1,24),-0.03503 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.0234521 # DEPENDENCYPART_SIBL
(1,12),(1,16),0.0550068 # DEPENDENCYPART_SIBL
(1,12),(1,24),-0.0515017 # DEPENDENCYPART_SIBL
(1,13),(1,16),0.0919366 # DEPENDENCYPART_SIBL
(1,13),(1,24),0.0284934 # DEPENDENCYPART_SIBL
(1,16),(1,24),-0.0215235 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0146745 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.034255 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.100286 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0449138 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0854503 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0394176 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0431654 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0449138 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0291133 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.051184 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0110752 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0319462 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0218939 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.00258316 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0110752 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0077615 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0267506 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.000363061 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0321963 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.00913012 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0267506 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0321815 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00768973 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00321783 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.00834637 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0321815 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0801873 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0265371 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.061058 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.106415 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00242403 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.00402367 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0126099 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0200771 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0430934 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.00965102 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.00346901 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0423897 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0502943 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0104354 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.036669 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0383318 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.0251787 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00216203 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0806953 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.105756 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0836372 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0118914 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.0353243 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0291132 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.000644734 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0270699 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0345566 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.00373072 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0184258 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0569382 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0317767 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0358385 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0210179 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0726286 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.16344 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0304491 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.0548594 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.0827615 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0205329 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00132202 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0181264 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.107994 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0488349 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0174974 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0927159 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0697135 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0144756 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0562075 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0317729 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0132172 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0165114 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0076675 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.068183 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0357759 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.112355 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0102673 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0127404 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0205849 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.00907638 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0262051 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.017331 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.036637 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0857966 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0199192 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0225522 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0188553 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0373187 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0301861 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0857966 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.126033 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0373187 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0337364 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0532835 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.0286001 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.0780006 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0617252 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0326423 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0568025 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0212979 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0645021 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0144362 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.00526596 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.00204511 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0568025 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0680542 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.00526596 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0726205 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.0733023 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.0148836 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.00912703 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0128209 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0289248 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0193203 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0752276 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.034492 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.00967047 # DEPENDENCYPART_SIBL
(5,3),(5,12),-9.12776e-05 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0289248 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.177443 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.00967047 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0674082 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0496976 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.0166649 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.0708939 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00945658 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.00520131 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.10095 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0477757 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0120858 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0523938 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.00945658 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.178592 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0120858 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.149104 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0765009 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.018583 # DEPENDENCYPART_SIBL
(5,4),(5,24),-0.0181322 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0360897 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0317329 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0212564 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0538513 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0722861 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0255613 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0363087 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0538513 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0258633 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.000913773 # DEPENDENCYPART_SIBL
(5,6),(5,23),0.04079 # DEPENDENCYPART_SIBL
(5,6),(5,24),-0.00992534 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0221479 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0389108 # DEPENDENCYPART_SIBL
