# _root_ The DAX Index of 30 West German blue chips plunged 12.8 % , a one-day record , wiping out the summer 's gains .
#goldHeads=3,3,10,3,9,9,9,9,4,0,12,10,12,16,16,12,12,10,18,21,23,21,18,10,
#predictedHeads=3,3,10,3,9,7,9,9,4,0,12,10,12,16,16,12,10,10,18,21,23,21,18,10,
(7,8),-0.373046 # DEPENDENCYPART_ARC
(7,9),-0.972444 # DEPENDENCYPART_ARC
(7,10),-1.13321 # DEPENDENCYPART_ARC
(7,11),-1.6943 # DEPENDENCYPART_ARC
(7,12),-1.66372 # DEPENDENCYPART_ARC
(7,13),-1.5668 # DEPENDENCYPART_ARC
(7,17),-1.75802 # DEPENDENCYPART_ARC
(7,18),-1.69626 # DEPENDENCYPART_ARC
(8,3),-1.80316 # DEPENDENCYPART_ARC
(8,5),-1.64165 # DEPENDENCYPART_ARC
(8,6),-0.950393 # DEPENDENCYPART_ARC
(8,7),0.181941 # DEPENDENCYPART_ARC
(8,10),-1.15526 # DEPENDENCYPART_ARC
(8,12),-1.70725 # DEPENDENCYPART_ARC
(9,1),-1.46597 # DEPENDENCYPART_ARC
(9,2),-1.19976 # DEPENDENCYPART_ARC
(9,3),-1.20265 # DEPENDENCYPART_ARC
(9,4),-1.34296 # DEPENDENCYPART_ARC
(9,5),-0.714302 # DEPENDENCYPART_ARC
(9,6),-0.128984 # DEPENDENCYPART_ARC
(9,7),0.463047 # DEPENDENCYPART_ARC
(9,8),1.47616 # DEPENDENCYPART_ARC
(9,10),-0.507525 # DEPENDENCYPART_ARC
(9,11),-1.4245 # DEPENDENCYPART_ARC
(9,12),-1.39089 # DEPENDENCYPART_ARC
(9,13),-1.63735 # DEPENDENCYPART_ARC
(9,16),-2.01512 # DEPENDENCYPART_ARC
(9,17),-1.75979 # DEPENDENCYPART_ARC
(9,18),-1.82774 # DEPENDENCYPART_ARC
(9,24),-2.20425 # DEPENDENCYPART_ARC
(10,1),-1.83365 # DEPENDENCYPART_ARC
(10,2),-1.62153 # DEPENDENCYPART_ARC
(10,3),-1.41621 # DEPENDENCYPART_ARC
(10,4),-0.953965 # DEPENDENCYPART_ARC
(10,5),-1.52732 # DEPENDENCYPART_ARC
(10,6),-1.2865 # DEPENDENCYPART_ARC
(10,7),-1.10257 # DEPENDENCYPART_ARC
(10,8),-0.949549 # DEPENDENCYPART_ARC
(10,9),0.521392 # DEPENDENCYPART_ARC
(10,11),0.460714 # DEPENDENCYPART_ARC
(10,12),0.290447 # DEPENDENCYPART_ARC
(10,13),-0.572819 # DEPENDENCYPART_ARC
(10,14),-1.04436 # DEPENDENCYPART_ARC
(10,15),-1.11494 # DEPENDENCYPART_ARC
(10,16),-0.749444 # DEPENDENCYPART_ARC
(10,17),-0.781881 # DEPENDENCYPART_ARC
(10,18),-0.565995 # DEPENDENCYPART_ARC
(10,19),-1.06236 # DEPENDENCYPART_ARC
(10,21),-1.427 # DEPENDENCYPART_ARC
(10,22),-1.5827 # DEPENDENCYPART_ARC
(10,23),-1.50957 # DEPENDENCYPART_ARC
(10,24),0.00120432 # DEPENDENCYPART_ARC
(11,4),-1.58536 # DEPENDENCYPART_ARC
(11,9),-1.28263 # DEPENDENCYPART_ARC
(11,12),-0.468119 # DEPENDENCYPART_ARC
(11,13),-1.37228 # DEPENDENCYPART_ARC
(11,16),-1.87481 # DEPENDENCYPART_ARC
(11,17),-1.5523 # DEPENDENCYPART_ARC
(11,18),-1.93164 # DEPENDENCYPART_ARC
(12,1),-2.35343 # DEPENDENCYPART_ARC
(12,2),-2.14757 # DEPENDENCYPART_ARC
(12,3),-2.22123 # DEPENDENCYPART_ARC
(12,4),-1.78747 # DEPENDENCYPART_ARC
(12,5),-1.89056 # DEPENDENCYPART_ARC
(12,6),-1.5167 # DEPENDENCYPART_ARC
(12,7),-1.0238 # DEPENDENCYPART_ARC
(12,8),-0.943837 # DEPENDENCYPART_ARC
(12,9),-1.0017 # DEPENDENCYPART_ARC
(12,10),-0.789975 # DEPENDENCYPART_ARC
(12,11),1.16309 # DEPENDENCYPART_ARC
(12,13),-0.0832622 # DEPENDENCYPART_ARC
(12,15),-1.55708 # DEPENDENCYPART_ARC
(12,16),-1.29899 # DEPENDENCYPART_ARC
(12,17),-1.51863 # DEPENDENCYPART_ARC
(12,18),-1.99601 # DEPENDENCYPART_ARC
(12,19),-1.71126 # DEPENDENCYPART_ARC
(12,21),-1.78056 # DEPENDENCYPART_ARC
(12,22),-2.46551 # DEPENDENCYPART_ARC
(12,23),-1.85877 # DEPENDENCYPART_ARC
(12,24),-2.07042 # DEPENDENCYPART_ARC
(14,15),-0.341475 # DEPENDENCYPART_ARC
(14,18),-1.49493 # DEPENDENCYPART_ARC
(15,14),-0.314943 # DEPENDENCYPART_ARC
(15,17),-1.3025 # DEPENDENCYPART_ARC
(15,18),-1.33896 # DEPENDENCYPART_ARC
(16,1),-2.25693 # DEPENDENCYPART_ARC
(16,6),-1.68405 # DEPENDENCYPART_ARC
(16,7),-1.62752 # DEPENDENCYPART_ARC
(16,8),-1.65972 # DEPENDENCYPART_ARC
(16,9),-1.46068 # DEPENDENCYPART_ARC
(16,11),-1.11215 # DEPENDENCYPART_ARC
(16,12),-1.27461 # DEPENDENCYPART_ARC
(16,13),-1.36196 # DEPENDENCYPART_ARC
(16,14),0.500446 # DEPENDENCYPART_ARC
(16,15),1.39723 # DEPENDENCYPART_ARC
(16,17),-0.146221 # DEPENDENCYPART_ARC
(16,18),-1.34571 # DEPENDENCYPART_ARC
(16,19),-1.26297 # DEPENDENCYPART_ARC
(16,21),-1.59637 # DEPENDENCYPART_ARC
(16,22),-1.89068 # DEPENDENCYPART_ARC
(16,23),-1.72714 # DEPENDENCYPART_ARC
(16,24),-1.91718 # DEPENDENCYPART_ARC
(18,9),-1.84792 # DEPENDENCYPART_ARC
(18,12),-1.82378 # DEPENDENCYPART_ARC
(18,16),-1.59498 # DEPENDENCYPART_ARC
(18,17),-0.351101 # DEPENDENCYPART_ARC
(18,19),1.15519 # DEPENDENCYPART_ARC
(18,20),-0.453944 # DEPENDENCYPART_ARC
(18,21),0.0446563 # DEPENDENCYPART_ARC
(18,22),-0.925855 # DEPENDENCYPART_ARC
(18,23),-0.225719 # DEPENDENCYPART_ARC
(18,24),-0.861642 # DEPENDENCYPART_ARC
(19,16),-1.46082 # DEPENDENCYPART_ARC
(19,17),-1.45754 # DEPENDENCYPART_ARC
(19,20),-0.443045 # DEPENDENCYPART_ARC
(19,21),-1.07541 # DEPENDENCYPART_ARC
(19,23),-1.53801 # DEPENDENCYPART_ARC
(20,19),-0.879913 # DEPENDENCYPART_ARC
(21,14),-1.57856 # DEPENDENCYPART_ARC
(21,16),-1.47956 # DEPENDENCYPART_ARC
(21,19),-0.860942 # DEPENDENCYPART_ARC
(21,20),1.49266 # DEPENDENCYPART_ARC
(21,22),1.12811 # DEPENDENCYPART_ARC
(21,23),-0.689787 # DEPENDENCYPART_ARC
(21,24),-0.897561 # DEPENDENCYPART_ARC
(22,23),-0.581667 # DEPENDENCYPART_ARC
(23,5),-2.14053 # DEPENDENCYPART_ARC
(23,6),-1.7652 # DEPENDENCYPART_ARC
(23,7),-1.79952 # DEPENDENCYPART_ARC
(23,14),-2.04412 # DEPENDENCYPART_ARC
(23,15),-1.57061 # DEPENDENCYPART_ARC
(23,16),-1.48333 # DEPENDENCYPART_ARC
(23,18),-1.3809 # DEPENDENCYPART_ARC
(23,19),-1.3805 # DEPENDENCYPART_ARC
(23,20),-0.731536 # DEPENDENCYPART_ARC
(23,21),0.10653 # DEPENDENCYPART_ARC
(23,22),0.47362 # DEPENDENCYPART_ARC
(23,24),-0.470223 # DEPENDENCYPART_ARC
(24,23),-0.84183 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0554728 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0495728 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.13256 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0497157 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.134424 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.140529 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.115769 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.268206 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0236404 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.00275185 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.21019 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0326487 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.0276378 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00309827 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0501399 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.000281477 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.055216 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.00228111 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.00621341 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00431528 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0846112 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.00267917 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0253341 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.0624618 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0209251 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0120519 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.00526378 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.0223589 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0437266 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.00702422 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.0475118 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0499172 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.00535882 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.0267147 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.229701 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.272936 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00197666 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.016525 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0150505 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0145055 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0160688 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.234645 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0094049 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0972587 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.024736 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0972587 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.397398 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.0292356 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0352631 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0678953 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0259127 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0160138 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00984288 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00984137 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0538168 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.074154 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.045119 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0908616 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.067899 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0908616 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.160451 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.0546043 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.0571236 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00901765 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0765827 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0685685 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0685805 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0928515 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0424224 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.106182 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0455538 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.131435 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0455538 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.116923 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.0991981 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.0674536 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0200356 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0148969 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0143397 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.000190877 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0503901 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0195134 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0110719 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0426135 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.0110719 # DEPENDENCYPART_SIBL
(3,5),(3,22),0.0395479 # DEPENDENCYPART_SIBL
(3,5),(3,23),0.00417314 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.00113057 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0149318 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0155893 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00361133 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0142773 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0233273 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.00279417 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0163033 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.00279417 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.00951918 # DEPENDENCYPART_SIBL
(3,6),(3,23),-3.4438e-05 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.0482505 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0144897 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.00206989 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0129974 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.022125 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.00847414 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0151125 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.00847414 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.0082317 # DEPENDENCYPART_SIBL
(3,7),(3,23),0.001507 # DEPENDENCYPART_SIBL
(3,7),(3,24),0.0452222 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.00371706 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0148853 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0239064 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0145556 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0168939 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0145556 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.0101287 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.000140172 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.0446655 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0234174 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0368337 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.00426635 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0388918 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.00426635 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.0298078 # DEPENDENCYPART_SIBL
(3,9),(3,23),-0.0721261 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.0488048 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0535474 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0542722 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0411531 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0542722 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0271474 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.000121704 # DEPENDENCYPART_SIBL
(3,10),(3,24),0.00830428 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.00879569 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0980482 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.00879569 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.0185192 # DEPENDENCYPART_SIBL
(3,12),(3,23),-0.0323939 # DEPENDENCYPART_SIBL
(3,12),(3,24),0.077339 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.0478848 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.00167169 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0420353 # DEPENDENCYPART_SIBL
(3,13),(3,23),0.093529 # DEPENDENCYPART_SIBL
(3,13),(3,24),0.0318697 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.0111876 # DEPENDENCYPART_SIBL
(3,16),(3,22),-0.00677049 # DEPENDENCYPART_SIBL
(3,16),(3,23),-0.0154615 # DEPENDENCYPART_SIBL
(3,16),(3,24),0.0686732 # DEPENDENCYPART_SIBL
(3,17),(3,22),-0.0420353 # DEPENDENCYPART_SIBL
(3,17),(3,23),0.093529 # DEPENDENCYPART_SIBL
(3,17),(3,24),0.0318697 # DEPENDENCYPART_SIBL
(3,22),(3,23),-0.00785993 # DEPENDENCYPART_SIBL
(3,22),(3,24),-0.0323127 # DEPENDENCYPART_SIBL
(3,23),(3,24),0.0748326 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00810139 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0309134 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0367247 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0367003 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.109919 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0102383 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0950363 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0481878 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.108459 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.0452495 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.083145 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0843534 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0843534 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.118004 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0366864 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.135707 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.11972 # DEPENDENCYPART_SIBL
(4,5),(4,23),-0.117803 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.0373472 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0833247 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0834249 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0679714 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0572269 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.111532 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.11029 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.068178 # DEPENDENCYPART_SIBL
(4,6),(4,24),0.0110928 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0778064 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0619206 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0514281 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.105804 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.104573 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.0621271 # DEPENDENCYPART_SIBL
(4,7),(4,24),0.0126979 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0616375 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0513936 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.105663 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.104432 # DEPENDENCYPART_SIBL
(4,8),(4,23),-0.0618441 # DEPENDENCYPART_SIBL
(4,8),(4,24),0.0140638 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0443196 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.15281 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.153758 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.178468 # DEPENDENCYPART_SIBL
(4,9),(4,24),0.0165079 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0843419 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.078604 # DEPENDENCYPART_SIBL
(4,10),(4,23),-0.0327539 # DEPENDENCYPART_SIBL
(4,10),(4,24),0.138529 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.114336 # DEPENDENCYPART_SIBL
(4,12),(4,23),-0.116997 # DEPENDENCYPART_SIBL
(4,12),(4,24),0.0430221 # DEPENDENCYPART_SIBL
(4,16),(4,23),-0.152613 # DEPENDENCYPART_SIBL
(4,16),(4,24),-0.00554101 # DEPENDENCYPART_SIBL
(4,23),(4,24),0.0332304 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0550238 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00894607 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00583929 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0131771 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0934613 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0351805 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.00330209 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0124557 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0115871 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0338411 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0855482 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0506788 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0105838 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.022332 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0250115 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0265068 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0272614 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.000149248 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0251406 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0262342 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0139498 # DEPENDENCYPART_SIBL
(5,7),(5,18),2.89714e-05 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.00462451 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.037278 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0157747 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0270064 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.0254041 # DEPENDENCYPART_SIBL
(5,13),(5,18),0.0666299 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.033737 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0450549 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0209025 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0364912 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0319527 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.03 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.244756 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.031464 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.103891 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0875189 # DEPENDENCYPART_SIBL
