# _root_ Gatoil Suisse owns an oil refinery in Switzerland with a capacity of 70,000 barrels a day , along with a network of gasoline retailing outlets .
#goldHeads=2,3,0,6,6,3,6,7,6,11,9,11,14,12,16,14,3,3,18,21,19,21,25,25,22,3,
#predictedHeads=2,3,0,6,6,3,6,7,3,11,9,11,14,12,16,14,14,14,18,21,19,21,25,25,22,3,
(6,21),-2.13795 # DEPENDENCYPART_ARC
(6,26),-1.97434 # DEPENDENCYPART_ARC
(7,6),-0.938144 # DEPENDENCYPART_ARC
(7,8),0.518101 # DEPENDENCYPART_ARC
(7,9),-1.047 # DEPENDENCYPART_ARC
(7,11),-1.1543 # DEPENDENCYPART_ARC
(7,12),-1.50828 # DEPENDENCYPART_ARC
(7,14),-1.98819 # DEPENDENCYPART_ARC
(7,26),-1.76628 # DEPENDENCYPART_ARC
(8,6),-1.16084 # DEPENDENCYPART_ARC
(8,9),0.0246234 # DEPENDENCYPART_ARC
(8,11),-1.21893 # DEPENDENCYPART_ARC
(8,12),-1.54413 # DEPENDENCYPART_ARC
(8,13),-1.83279 # DEPENDENCYPART_ARC
(8,14),-1.99665 # DEPENDENCYPART_ARC
(8,16),-2.08462 # DEPENDENCYPART_ARC
(8,17),-1.77401 # DEPENDENCYPART_ARC
(8,26),-2.35801 # DEPENDENCYPART_ARC
(9,6),-1.76829 # DEPENDENCYPART_ARC
(9,7),-1.71666 # DEPENDENCYPART_ARC
(9,8),-0.929306 # DEPENDENCYPART_ARC
(9,10),-0.100838 # DEPENDENCYPART_ARC
(9,11),0.217289 # DEPENDENCYPART_ARC
(9,12),-0.962357 # DEPENDENCYPART_ARC
(9,13),-1.71308 # DEPENDENCYPART_ARC
(9,14),-1.18605 # DEPENDENCYPART_ARC
(9,16),-1.60898 # DEPENDENCYPART_ARC
(9,17),-1.7053 # DEPENDENCYPART_ARC
(9,18),-1.1764 # DEPENDENCYPART_ARC
(9,19),-1.2901 # DEPENDENCYPART_ARC
(9,24),-0.979822 # DEPENDENCYPART_ARC
(9,26),-2.01011 # DEPENDENCYPART_ARC
(10,12),-1.18635 # DEPENDENCYPART_ARC
(11,7),-1.41632 # DEPENDENCYPART_ARC
(11,8),-1.3817 # DEPENDENCYPART_ARC
(11,9),-0.934526 # DEPENDENCYPART_ARC
(11,10),1.39663 # DEPENDENCYPART_ARC
(11,12),0.657448 # DEPENDENCYPART_ARC
(11,13),-0.79121 # DEPENDENCYPART_ARC
(11,14),-0.934814 # DEPENDENCYPART_ARC
(11,16),-1.23742 # DEPENDENCYPART_ARC
(11,17),-1.43888 # DEPENDENCYPART_ARC
(11,18),-1.14554 # DEPENDENCYPART_ARC
(11,19),-1.55312 # DEPENDENCYPART_ARC
(11,21),-1.58599 # DEPENDENCYPART_ARC
(11,22),-2.40236 # DEPENDENCYPART_ARC
(11,23),-1.88514 # DEPENDENCYPART_ARC
(11,24),-1.64545 # DEPENDENCYPART_ARC
(11,26),-1.53373 # DEPENDENCYPART_ARC
(12,7),-1.89204 # DEPENDENCYPART_ARC
(12,13),-0.161486 # DEPENDENCYPART_ARC
(12,14),-0.0919331 # DEPENDENCYPART_ARC
(12,16),-1.29047 # DEPENDENCYPART_ARC
(12,18),-1.44047 # DEPENDENCYPART_ARC
(12,19),-1.50637 # DEPENDENCYPART_ARC
(13,12),-0.3017 # DEPENDENCYPART_ARC
(13,16),-1.46461 # DEPENDENCYPART_ARC
(13,21),-2.05182 # DEPENDENCYPART_ARC
(14,7),-1.70305 # DEPENDENCYPART_ARC
(14,8),-1.89944 # DEPENDENCYPART_ARC
(14,9),-1.52736 # DEPENDENCYPART_ARC
(14,10),-1.30368 # DEPENDENCYPART_ARC
(14,11),-1.2876 # DEPENDENCYPART_ARC
(14,12),-0.796876 # DEPENDENCYPART_ARC
(14,13),1.11643 # DEPENDENCYPART_ARC
(14,15),-0.152117 # DEPENDENCYPART_ARC
(14,16),-0.406878 # DEPENDENCYPART_ARC
(14,17),-0.931285 # DEPENDENCYPART_ARC
(14,18),-0.925073 # DEPENDENCYPART_ARC
(14,19),-1.16352 # DEPENDENCYPART_ARC
(14,21),-1.1822 # DEPENDENCYPART_ARC
(14,22),-1.71201 # DEPENDENCYPART_ARC
(14,23),-1.30636 # DEPENDENCYPART_ARC
(14,24),-1.24771 # DEPENDENCYPART_ARC
(14,25),-1.63461 # DEPENDENCYPART_ARC
(14,26),-1.67591 # DEPENDENCYPART_ARC
(15,18),-1.44296 # DEPENDENCYPART_ARC
(16,10),-1.8647 # DEPENDENCYPART_ARC
(16,13),-1.21682 # DEPENDENCYPART_ARC
(16,14),-0.594195 # DEPENDENCYPART_ARC
(16,15),1.45592 # DEPENDENCYPART_ARC
(16,17),-0.291897 # DEPENDENCYPART_ARC
(16,18),-1.20518 # DEPENDENCYPART_ARC
(16,19),-1.5003 # DEPENDENCYPART_ARC
(16,21),-1.82583 # DEPENDENCYPART_ARC
(16,22),-2.21344 # DEPENDENCYPART_ARC
(16,23),-1.97907 # DEPENDENCYPART_ARC
(16,25),-1.85065 # DEPENDENCYPART_ARC
(18,16),-1.7511 # DEPENDENCYPART_ARC
(18,17),-0.738045 # DEPENDENCYPART_ARC
(18,19),0.642969 # DEPENDENCYPART_ARC
(18,20),-1.08061 # DEPENDENCYPART_ARC
(18,21),-0.914512 # DEPENDENCYPART_ARC
(18,22),-1.09799 # DEPENDENCYPART_ARC
(18,23),-1.47024 # DEPENDENCYPART_ARC
(18,24),-1.22448 # DEPENDENCYPART_ARC
(18,25),-2.1817 # DEPENDENCYPART_ARC
(18,26),-1.82488 # DEPENDENCYPART_ARC
(19,18),-0.970941 # DEPENDENCYPART_ARC
(19,20),-0.306286 # DEPENDENCYPART_ARC
(19,21),-0.0664138 # DEPENDENCYPART_ARC
(19,22),-1.11643 # DEPENDENCYPART_ARC
(19,23),-1.1586 # DEPENDENCYPART_ARC
(19,24),-1.17005 # DEPENDENCYPART_ARC
(19,25),-1.99472 # DEPENDENCYPART_ARC
(20,22),-1.27313 # DEPENDENCYPART_ARC
(21,18),-1.37565 # DEPENDENCYPART_ARC
(21,19),-1.09207 # DEPENDENCYPART_ARC
(21,20),1.22789 # DEPENDENCYPART_ARC
(21,22),0.623874 # DEPENDENCYPART_ARC
(21,23),-0.775736 # DEPENDENCYPART_ARC
(21,24),-0.808024 # DEPENDENCYPART_ARC
(21,25),-1.06905 # DEPENDENCYPART_ARC
(22,23),1.12768 # DEPENDENCYPART_ARC
(22,24),-0.650271 # DEPENDENCYPART_ARC
(22,25),-0.76588 # DEPENDENCYPART_ARC
(23,20),-1.40088 # DEPENDENCYPART_ARC
(23,21),-1.16615 # DEPENDENCYPART_ARC
(23,22),-0.301723 # DEPENDENCYPART_ARC
(23,24),-0.0461031 # DEPENDENCYPART_ARC
(23,25),-1.05511 # DEPENDENCYPART_ARC
(24,6),-2.01283 # DEPENDENCYPART_ARC
(24,14),-1.76769 # DEPENDENCYPART_ARC
(24,16),-1.86022 # DEPENDENCYPART_ARC
(24,19),-1.71267 # DEPENDENCYPART_ARC
(24,21),-1.36893 # DEPENDENCYPART_ARC
(24,22),-1.48016 # DEPENDENCYPART_ARC
(24,23),-0.472756 # DEPENDENCYPART_ARC
(24,25),0.523259 # DEPENDENCYPART_ARC
(25,20),-1.43674 # DEPENDENCYPART_ARC
(25,21),-1.33706 # DEPENDENCYPART_ARC
(25,22),-1.1822 # DEPENDENCYPART_ARC
(25,23),-0.113463 # DEPENDENCYPART_ARC
(25,24),0.696612 # DEPENDENCYPART_ARC
(26,25),-0.835541 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0982234 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0151634 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0282051 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0301479 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00864711 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.00542238 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.00370746 # DEPENDENCYPART_SIBL
(1,2),(1,26),0.0258285 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.00185031 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0293679 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0239093 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0235516 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0605502 # DEPENDENCYPART_SIBL
(1,3),(1,26),0.118505 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0133774 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.014243 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0285071 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.0257035 # DEPENDENCYPART_SIBL
(1,6),(1,26),0.0885323 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0108604 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.00232755 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.0283937 # DEPENDENCYPART_SIBL
(1,7),(1,26),0.0379711 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0108665 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.00694453 # DEPENDENCYPART_SIBL
(1,8),(1,26),0.0307937 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.0589726 # DEPENDENCYPART_SIBL
(1,9),(1,26),0.0857033 # DEPENDENCYPART_SIBL
(1,17),(1,26),0.0267147 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0187177 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0427939 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0397054 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0800985 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00767316 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0955891 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0339276 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0494004 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.0419336 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0022613 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00374358 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0292791 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0217925 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.023463 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.00329108 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0568783 # DEPENDENCYPART_SIBL
(2,3),(2,26),0.118403 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.108344 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00357827 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0147198 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0216741 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.109492 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0345883 # DEPENDENCYPART_SIBL
(2,5),(2,26),0.0829841 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0130745 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.011912 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0282046 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.109104 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0213945 # DEPENDENCYPART_SIBL
(2,6),(2,26),0.0882154 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.00657763 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0045525 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.00639207 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.036054 # DEPENDENCYPART_SIBL
(2,7),(2,26),0.0357329 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0108541 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0266439 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.003522 # DEPENDENCYPART_SIBL
(2,8),(2,26),0.0307576 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0338592 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0517635 # DEPENDENCYPART_SIBL
(2,9),(2,26),0.0837442 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.0158827 # DEPENDENCYPART_SIBL
(2,11),(2,26),0.080918 # DEPENDENCYPART_SIBL
(2,17),(2,26),0.0239085 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.078258 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0523693 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0300383 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0434167 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0145833 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00158073 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.00259959 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0221999 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0812355 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.000404602 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0183373 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0152282 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0269128 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.00259959 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.00496617 # DEPENDENCYPART_SIBL
(3,1),(3,25),-0.0023159 # DEPENDENCYPART_SIBL
(3,1),(3,26),0.0381711 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0525938 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0298865 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0432649 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0153564 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.00357893 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00279628 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0220481 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0810426 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.000639326 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0181855 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0174445 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0267161 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.00279628 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.00474171 # DEPENDENCYPART_SIBL
(3,2),(3,25),-0.00208118 # DEPENDENCYPART_SIBL
(3,2),(3,26),0.0390837 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.032093 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.027233 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0748355 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.071493 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0378456 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0355614 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0521906 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0583781 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0324813 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0194011 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0417535 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0378456 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0127482 # DEPENDENCYPART_SIBL
(3,4),(3,25),-0.0584105 # DEPENDENCYPART_SIBL
(3,4),(3,26),-0.0576542 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0518318 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00457231 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0608156 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0163474 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0622265 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0193477 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0818102 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0475214 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.00891972 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0107611 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.0163474 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.00101389 # DEPENDENCYPART_SIBL
(3,5),(3,25),-0.080452 # DEPENDENCYPART_SIBL
(3,5),(3,26),-0.00049218 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0154605 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0519445 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0356979 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0496703 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.00585406 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0727597 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0348094 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.00192502 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.00967337 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0356979 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.0129305 # DEPENDENCYPART_SIBL
(3,6),(3,25),-0.0714015 # DEPENDENCYPART_SIBL
(3,6),(3,26),0.0264117 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0797214 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0375123 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0352808 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0921815 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0514488 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0219484 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0213529 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0298252 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0375123 # DEPENDENCYPART_SIBL
(3,7),(3,24),-0.0214125 # DEPENDENCYPART_SIBL
(3,7),(3,25),-0.052055 # DEPENDENCYPART_SIBL
(3,7),(3,26),-0.0663592 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.00484992 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0423577 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0220415 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.048437 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0350695 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.000493254 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0240646 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.00484992 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.0250364 # DEPENDENCYPART_SIBL
(3,8),(3,25),-0.0484721 # DEPENDENCYPART_SIBL
(3,8),(3,26),-0.015965 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0308491 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.115177 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0735811 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0163449 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.00584043 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0638042 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0675857 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.00530307 # DEPENDENCYPART_SIBL
(3,9),(3,25),-0.0739525 # DEPENDENCYPART_SIBL
(3,9),(3,26),-0.000249812 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.00328009 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0817512 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0440033 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.0139181 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.000648463 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.0266701 # DEPENDENCYPART_SIBL
(3,11),(3,24),0.00349722 # DEPENDENCYPART_SIBL
(3,11),(3,25),-0.080393 # DEPENDENCYPART_SIBL
(3,11),(3,26),-0.000701469 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0292858 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.0261799 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0346661 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0810889 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0616631 # DEPENDENCYPART_SIBL
(3,12),(3,24),-0.0252844 # DEPENDENCYPART_SIBL
(3,12),(3,25),-0.0322032 # DEPENDENCYPART_SIBL
(3,12),(3,26),-0.035631 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.037038 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.033769 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.00212888 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.000674036 # DEPENDENCYPART_SIBL
(3,14),(3,24),0.0597478 # DEPENDENCYPART_SIBL
(3,14),(3,25),-0.10954 # DEPENDENCYPART_SIBL
(3,14),(3,26),-0.00875625 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.0149271 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.0198366 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.0065714 # DEPENDENCYPART_SIBL
(3,16),(3,24),-0.00459057 # DEPENDENCYPART_SIBL
(3,16),(3,25),-0.086402 # DEPENDENCYPART_SIBL
(3,16),(3,26),-0.00223069 # DEPENDENCYPART_SIBL
(3,17),(3,18),-0.00831967 # DEPENDENCYPART_SIBL
(3,17),(3,19),0.0195841 # DEPENDENCYPART_SIBL
(3,17),(3,24),0.0590577 # DEPENDENCYPART_SIBL
(3,17),(3,25),-0.0533914 # DEPENDENCYPART_SIBL
(3,17),(3,26),-0.024109 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.0722573 # DEPENDENCYPART_SIBL
(3,18),(3,24),0.000572466 # DEPENDENCYPART_SIBL
(3,18),(3,25),-0.0629635 # DEPENDENCYPART_SIBL
(3,18),(3,26),-0.0461068 # DEPENDENCYPART_SIBL
(3,19),(3,24),0.00530307 # DEPENDENCYPART_SIBL
(3,19),(3,25),-0.0739525 # DEPENDENCYPART_SIBL
(3,19),(3,26),-0.000249812 # DEPENDENCYPART_SIBL
(3,24),(3,25),-0.0683706 # DEPENDENCYPART_SIBL
(3,24),(3,26),0.00644787 # DEPENDENCYPART_SIBL
(3,25),(3,26),0.0232844 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0072468 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0551912 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.026361 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0344049 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0133751 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00275306 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.163253 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00351272 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0669325 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0387737 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0437054 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.00567632 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.103587 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0114353 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.101567 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0937516 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.112901 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.00455928 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.283924 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.00284353 # DEPENDENCYPART_SIBL
