# _root_ In 1987 , despite a barrage of ads from most of the major investment firms , individuals ran from the market en masse .
#goldHeads=18,1,18,18,6,4,6,7,8,9,10,15,15,15,11,18,18,0,18,21,19,18,22,18,
#predictedHeads=18,1,18,18,6,4,6,7,8,9,10,15,15,15,11,18,18,0,18,21,19,21,21,18,
(4,2),(4,11),-0.0184445 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0247814 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.00198965 # DEPENDENCYPART_SIBL
(4,2),(4,24),0.0176198 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0443194 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0475729 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0697015 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0406477 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0326969 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.033895 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0697015 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.722472 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.00502189 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.0940084 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0846315 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0289829 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0808165 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0347387 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0568013 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0289829 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0194558 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0726919 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.0734329 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0287718 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.145522 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0340093 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0705914 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0287718 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.00511422 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0718603 # DEPENDENCYPART_SIBL
(4,6),(4,24),-0.0376791 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0890404 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0551508 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.00220286 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.168714 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.056433 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0703689 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.01654 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0840365 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.039733 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0718416 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.0206679 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0734244 # DEPENDENCYPART_SIBL
(4,8),(4,24),-0.0265257 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0418607 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0119344 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.00680901 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0503909 # DEPENDENCYPART_SIBL
(4,9),(4,24),-0.00873243 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0204723 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.00240729 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0599673 # DEPENDENCYPART_SIBL
(4,10),(4,24),-0.0172132 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.056433 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0703689 # DEPENDENCYPART_SIBL
(4,11),(4,24),-0.01654 # DEPENDENCYPART_SIBL
(4,16),(4,18),0.0295506 # DEPENDENCYPART_SIBL
(4,16),(4,24),0.0838673 # DEPENDENCYPART_SIBL
(4,18),(4,24),0.0649943 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0630142 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.129876 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0169523 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.00850558 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0268982 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0525681 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0358002 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0617394 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0225507 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0327679 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.00257524 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0617394 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0198151 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.00843328 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0244341 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0327679 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.0285594 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.00390685 # DEPENDENCYPART_SIBL
(6,1),(6,23),-0.00373184 # DEPENDENCYPART_SIBL
(6,1),(6,24),0.0160379 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0184153 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0038184 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.125066 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0322739 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0117813 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0746854 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0127496 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0322739 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0165904 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.00136423 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0102564 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0746854 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.00784773 # DEPENDENCYPART_SIBL
(6,2),(6,22),0.0112796 # DEPENDENCYPART_SIBL
(6,2),(6,23),0.0142152 # DEPENDENCYPART_SIBL
(6,2),(6,24),-0.00225154 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0611997 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0256536 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0850824 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0608021 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0914731 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0230231 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0850824 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0579551 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0239239 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0297644 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0914731 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0260553 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.0787056 # DEPENDENCYPART_SIBL
(6,3),(6,23),0.0788805 # DEPENDENCYPART_SIBL
(6,3),(6,24),0.0603809 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.020804 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0625187 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0355515 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0429481 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0001296 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0625187 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0351952 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0189724 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.013268 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0429481 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0165339 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.00469354 # DEPENDENCYPART_SIBL
(6,4),(6,23),-0.00451852 # DEPENDENCYPART_SIBL
(6,4),(6,24),0.068875 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.149023 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0094769 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.196139 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0828581 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.149023 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.00761679 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0147956 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.270517 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.196139 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.0146831 # DEPENDENCYPART_SIBL
(6,5),(6,22),0.0846955 # DEPENDENCYPART_SIBL
(6,5),(6,23),0.0850097 # DEPENDENCYPART_SIBL
(6,5),(6,24),0.0318424 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0571043 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0266715 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0199079 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.251757 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.05126 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0643163 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.0213353 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.0266715 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.0717834 # DEPENDENCYPART_SIBL
(6,7),(6,22),0.0274545 # DEPENDENCYPART_SIBL
(6,7),(6,23),0.0200916 # DEPENDENCYPART_SIBL
(6,7),(6,24),0.0280634 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0536356 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.00372914 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.00812672 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0889883 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.00465488 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0311038 # DEPENDENCYPART_SIBL
(6,8),(6,19),0.0536356 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.0267045 # DEPENDENCYPART_SIBL
(6,8),(6,22),0.00371295 # DEPENDENCYPART_SIBL
(6,8),(6,23),0.00371295 # DEPENDENCYPART_SIBL
(6,8),(6,24),-0.00688426 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0174247 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0155724 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.048195 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.0440101 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0033329 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.0163242 # DEPENDENCYPART_SIBL
(6,9),(6,21),0.0221212 # DEPENDENCYPART_SIBL
(6,9),(6,22),0.0328807 # DEPENDENCYPART_SIBL
