# _root_ It points to the pernicious impact of local government regulation , particularly zoning and building fees , which pushes the price of housing out of the reach of low- and middle-income people .
#goldHeads=2,0,2,6,6,3,6,10,10,7,10,13,10,13,16,14,10,19,10,21,19,21,22,19,24,27,25,27,32,29,30,28,2,
#predictedHeads=2,0,2,6,6,3,6,10,10,7,10,13,10,13,16,14,10,19,10,21,19,21,22,19,24,27,25,27,32,29,30,28,2,
(9,19),-2.0702 # DEPENDENCYPART_ARC
(10,4),-1.64589 # DEPENDENCYPART_ARC
(10,5),-0.952015 # DEPENDENCYPART_ARC
(10,6),-1.0922 # DEPENDENCYPART_ARC
(10,7),-0.912202 # DEPENDENCYPART_ARC
(10,8),0.00566755 # DEPENDENCYPART_ARC
(10,9),1.49328 # DEPENDENCYPART_ARC
(10,11),-0.110937 # DEPENDENCYPART_ARC
(10,12),-1.31497 # DEPENDENCYPART_ARC
(10,13),-1.0482 # DEPENDENCYPART_ARC
(10,14),-1.80458 # DEPENDENCYPART_ARC
(10,15),-1.57932 # DEPENDENCYPART_ARC
(10,16),-1.52191 # DEPENDENCYPART_ARC
(10,17),-1.17357 # DEPENDENCYPART_ARC
(10,19),-1.66267 # DEPENDENCYPART_ARC
(10,21),-2.17293 # DEPENDENCYPART_ARC
(10,22),-2.24741 # DEPENDENCYPART_ARC
(10,27),-2.34647 # DEPENDENCYPART_ARC
(10,33),-1.97365 # DEPENDENCYPART_ARC
(12,11),-0.760279 # DEPENDENCYPART_ARC
(12,13),-0.0800491 # DEPENDENCYPART_ARC
(12,14),-1.12272 # DEPENDENCYPART_ARC
(12,16),-1.56027 # DEPENDENCYPART_ARC
(12,19),-1.45782 # DEPENDENCYPART_ARC
(13,4),-2.02005 # DEPENDENCYPART_ARC
(13,5),-1.77204 # DEPENDENCYPART_ARC
(13,8),-1.03396 # DEPENDENCYPART_ARC
(13,9),-0.812603 # DEPENDENCYPART_ARC
(13,10),-0.906037 # DEPENDENCYPART_ARC
(13,11),-0.944068 # DEPENDENCYPART_ARC
(13,12),0.520349 # DEPENDENCYPART_ARC
(13,14),0.849063 # DEPENDENCYPART_ARC
(13,15),-0.809625 # DEPENDENCYPART_ARC
(13,16),-0.772792 # DEPENDENCYPART_ARC
(13,17),-1.15592 # DEPENDENCYPART_ARC
(13,18),-1.49503 # DEPENDENCYPART_ARC
(13,19),-0.975413 # DEPENDENCYPART_ARC
(13,21),-1.62583 # DEPENDENCYPART_ARC
(13,22),-1.41911 # DEPENDENCYPART_ARC
(13,23),-1.70826 # DEPENDENCYPART_ARC
(13,24),-1.41505 # DEPENDENCYPART_ARC
(13,25),-2.25753 # DEPENDENCYPART_ARC
(13,27),-1.95947 # DEPENDENCYPART_ARC
(13,28),-2.55759 # DEPENDENCYPART_ARC
(13,33),-1.66489 # DEPENDENCYPART_ARC
(14,12),-1.91036 # DEPENDENCYPART_ARC
(14,15),0.726097 # DEPENDENCYPART_ARC
(14,16),-0.298707 # DEPENDENCYPART_ARC
(14,17),-0.85251 # DEPENDENCYPART_ARC
(14,18),-1.76791 # DEPENDENCYPART_ARC
(14,19),-1.29975 # DEPENDENCYPART_ARC
(14,21),-1.39268 # DEPENDENCYPART_ARC
(14,23),-1.71586 # DEPENDENCYPART_ARC
(15,19),-1.4252 # DEPENDENCYPART_ARC
(16,4),-1.94031 # DEPENDENCYPART_ARC
(16,8),-1.02905 # DEPENDENCYPART_ARC
(16,9),-0.836745 # DEPENDENCYPART_ARC
(16,10),-1.23672 # DEPENDENCYPART_ARC
(16,11),-1.7105 # DEPENDENCYPART_ARC
(16,12),-1.25071 # DEPENDENCYPART_ARC
(16,13),-0.59483 # DEPENDENCYPART_ARC
(16,14),-0.701754 # DEPENDENCYPART_ARC
(16,15),1.74074 # DEPENDENCYPART_ARC
(16,17),0.290444 # DEPENDENCYPART_ARC
(16,18),-1.39336 # DEPENDENCYPART_ARC
(16,19),-1.19038 # DEPENDENCYPART_ARC
(16,21),-1.65189 # DEPENDENCYPART_ARC
(16,22),-1.73736 # DEPENDENCYPART_ARC
(16,23),-1.78059 # DEPENDENCYPART_ARC
(16,24),-1.89852 # DEPENDENCYPART_ARC
(16,25),-2.32552 # DEPENDENCYPART_ARC
(16,27),-2.11074 # DEPENDENCYPART_ARC
(16,29),-2.30053 # DEPENDENCYPART_ARC
(18,16),-1.56733 # DEPENDENCYPART_ARC
(18,17),-0.533644 # DEPENDENCYPART_ARC
(18,21),-1.3627 # DEPENDENCYPART_ARC
(19,2),-1.83751 # DEPENDENCYPART_ARC
(19,6),-1.94714 # DEPENDENCYPART_ARC
(19,10),-1.96883 # DEPENDENCYPART_ARC
(19,11),-2.19138 # DEPENDENCYPART_ARC
(19,12),-1.76408 # DEPENDENCYPART_ARC
(19,13),-1.59595 # DEPENDENCYPART_ARC
(19,14),-1.73281 # DEPENDENCYPART_ARC
(19,15),-1.51097 # DEPENDENCYPART_ARC
(19,16),-1.68489 # DEPENDENCYPART_ARC
(19,17),-0.989896 # DEPENDENCYPART_ARC
(19,18),0.803045 # DEPENDENCYPART_ARC
(19,20),0.141694 # DEPENDENCYPART_ARC
(19,21),0.232938 # DEPENDENCYPART_ARC
(19,22),-0.687323 # DEPENDENCYPART_ARC
(19,23),-0.553859 # DEPENDENCYPART_ARC
(19,24),-0.978003 # DEPENDENCYPART_ARC
(19,25),-1.23746 # DEPENDENCYPART_ARC
(19,27),-1.39961 # DEPENDENCYPART_ARC
(19,28),-1.59517 # DEPENDENCYPART_ARC
(19,29),-1.85726 # DEPENDENCYPART_ARC
(19,30),-1.47133 # DEPENDENCYPART_ARC
(19,32),-1.74856 # DEPENDENCYPART_ARC
(19,33),0.249909 # DEPENDENCYPART_ARC
(21,18),-1.484 # DEPENDENCYPART_ARC
(21,20),0.979759 # DEPENDENCYPART_ARC
(21,22),0.573767 # DEPENDENCYPART_ARC
(21,23),-0.798855 # DEPENDENCYPART_ARC
(21,24),-0.70832 # DEPENDENCYPART_ARC
(21,25),-1.47034 # DEPENDENCYPART_ARC
(21,27),-1.33623 # DEPENDENCYPART_ARC
(21,28),-1.80739 # DEPENDENCYPART_ARC
(21,29),-1.81084 # DEPENDENCYPART_ARC
(21,30),-1.40867 # DEPENDENCYPART_ARC
(21,33),-1.48975 # DEPENDENCYPART_ARC
(22,18),-1.74136 # DEPENDENCYPART_ARC
(22,21),-0.57956 # DEPENDENCYPART_ARC
(22,23),1.10188 # DEPENDENCYPART_ARC
(22,24),-0.83657 # DEPENDENCYPART_ARC
(22,25),-0.834276 # DEPENDENCYPART_ARC
(22,27),-1.50536 # DEPENDENCYPART_ARC
(22,32),-2.2094 # DEPENDENCYPART_ARC
(23,18),-2.0277 # DEPENDENCYPART_ARC
(23,20),-1.64963 # DEPENDENCYPART_ARC
(23,21),-1.15813 # DEPENDENCYPART_ARC
(23,22),-0.393794 # DEPENDENCYPART_ARC
(23,24),0.0176964 # DEPENDENCYPART_ARC
(23,25),-1.21875 # DEPENDENCYPART_ARC
(23,27),-1.22507 # DEPENDENCYPART_ARC
(23,28),-1.86925 # DEPENDENCYPART_ARC
(23,29),-1.88437 # DEPENDENCYPART_ARC
(23,30),-1.43404 # DEPENDENCYPART_ARC
(24,18),-1.85438 # DEPENDENCYPART_ARC
(24,21),-1.5144 # DEPENDENCYPART_ARC
(24,22),-1.4164 # DEPENDENCYPART_ARC
(24,23),-0.668813 # DEPENDENCYPART_ARC
(24,25),0.54797 # DEPENDENCYPART_ARC
(24,27),-1.1108 # DEPENDENCYPART_ARC
(24,28),-1.28411 # DEPENDENCYPART_ARC
(24,29),-1.95913 # DEPENDENCYPART_ARC
(24,30),-1.5925 # DEPENDENCYPART_ARC
(24,32),-1.91908 # DEPENDENCYPART_ARC
(25,24),-0.88965 # DEPENDENCYPART_ARC
(25,26),-0.261674 # DEPENDENCYPART_ARC
(25,27),-0.00177902 # DEPENDENCYPART_ARC
(25,28),-1.05121 # DEPENDENCYPART_ARC
(25,29),-1.62996 # DEPENDENCYPART_ARC
(25,32),-1.46379 # DEPENDENCYPART_ARC
(27,24),-1.3015 # DEPENDENCYPART_ARC
(27,25),-0.926579 # DEPENDENCYPART_ARC
(27,26),1.2554 # DEPENDENCYPART_ARC
(27,28),0.538623 # DEPENDENCYPART_ARC
(27,29),-1.05118 # DEPENDENCYPART_ARC
(27,30),-1.07066 # DEPENDENCYPART_ARC
(27,31),-1.4078 # DEPENDENCYPART_ARC
(27,32),-1.18318 # DEPENDENCYPART_ARC
(28,29),-0.152779 # DEPENDENCYPART_ARC
(28,30),-1.04673 # DEPENDENCYPART_ARC
(28,31),-1.53012 # DEPENDENCYPART_ARC
(28,32),-0.320101 # DEPENDENCYPART_ARC
(29,28),-0.258193 # DEPENDENCYPART_ARC
(29,30),1.14469 # DEPENDENCYPART_ARC
(29,31),-0.855796 # DEPENDENCYPART_ARC
(29,32),-0.929651 # DEPENDENCYPART_ARC
(30,31),0.741552 # DEPENDENCYPART_ARC
(30,32),-0.693269 # DEPENDENCYPART_ARC
(31,29),-1.45171 # DEPENDENCYPART_ARC
(31,32),-0.194863 # DEPENDENCYPART_ARC
(32,26),-1.50927 # DEPENDENCYPART_ARC
(32,27),-1.26995 # DEPENDENCYPART_ARC
(32,29),-0.319703 # DEPENDENCYPART_ARC
(32,30),-0.705283 # DEPENDENCYPART_ARC
(32,31),1.19276 # DEPENDENCYPART_ARC
(33,32),-0.844225 # DEPENDENCYPART_ARC
(0,2),(0,19),-0.170101 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.177577 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0448234 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0225143 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0260713 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0183754 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0226303 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0507413 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0434132 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.056359 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0287869 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.043429 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.129067 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.00611351 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.056359 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0476092 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0590225 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0183754 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.042715 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.0183754 # DEPENDENCYPART_SIBL
(2,1),(2,30),-0.129067 # DEPENDENCYPART_SIBL
(2,1),(2,33),-0.0476908 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.018927 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0362472 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0516445 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0239655 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0362639 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0535411 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0501527 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0367146 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.000455409 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0501478 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0435605 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0517542 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0367146 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.027147 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0262691 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.0239655 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.0146499 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.0239655 # DEPENDENCYPART_SIBL
(2,3),(2,30),0.0435605 # DEPENDENCYPART_SIBL
(2,3),(2,33),0.00390901 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0252246 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0436094 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0533301 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0252315 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0448531 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0425625 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0387922 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0380272 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0425599 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0378578 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0611697 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0387922 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0352921 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0355534 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0533301 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.0396065 # DEPENDENCYPART_SIBL
(2,4),(2,25),-0.0533301 # DEPENDENCYPART_SIBL
(2,4),(2,30),-0.0378578 # DEPENDENCYPART_SIBL
(2,4),(2,33),-0.128105 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0707341 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0174989 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0679451 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.07245 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0696411 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0168676 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0425873 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0696385 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0118012 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0719896 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0168676 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0347591 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.01952 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.0174989 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.013895 # DEPENDENCYPART_SIBL
(2,5),(2,25),-0.0174989 # DEPENDENCYPART_SIBL
(2,5),(2,30),0.0118012 # DEPENDENCYPART_SIBL
(2,5),(2,33),-0.0271397 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0105416 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.019966 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0717824 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0634458 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0339228 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0150694 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0634442 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0285942 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0906103 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0339228 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0367622 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0271332 # DEPENDENCYPART_SIBL
(2,6),(2,22),0.0105416 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.039191 # DEPENDENCYPART_SIBL
(2,6),(2,25),0.0105416 # DEPENDENCYPART_SIBL
(2,6),(2,30),0.0285942 # DEPENDENCYPART_SIBL
(2,6),(2,33),-0.0317126 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0141229 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0257443 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0234466 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0532921 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0382061 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0241668 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0040702 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0205552 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0532921 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0362556 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.00174304 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.207522 # DEPENDENCYPART_SIBL
(2,7),(2,24),-0.0453941 # DEPENDENCYPART_SIBL
(2,7),(2,25),-0.207522 # DEPENDENCYPART_SIBL
(2,7),(2,30),-0.0040702 # DEPENDENCYPART_SIBL
(2,7),(2,33),-0.0019651 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0733046 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0704956 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0160364 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0444243 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.070493 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0111487 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0728963 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0160364 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0347695 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.019531 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0193639 # DEPENDENCYPART_SIBL
(2,8),(2,24),-0.0157587 # DEPENDENCYPART_SIBL
(2,8),(2,25),-0.0193639 # DEPENDENCYPART_SIBL
(2,8),(2,30),0.0111487 # DEPENDENCYPART_SIBL
(2,8),(2,33),-0.025405 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.046095 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0269065 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0101594 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0460935 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0456545 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0570481 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.0269065 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0159905 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.00685628 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.0254121 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.0488214 # DEPENDENCYPART_SIBL
(2,9),(2,25),0.0254121 # DEPENDENCYPART_SIBL
(2,9),(2,30),0.0456545 # DEPENDENCYPART_SIBL
(2,9),(2,33),-0.0307386 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0293836 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.010174 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0606084 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0227435 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.087397 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0293836 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0335496 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0236045 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.00659105 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.0352356 # DEPENDENCYPART_SIBL
(2,10),(2,25),0.00659105 # DEPENDENCYPART_SIBL
(2,10),(2,30),0.0227435 # DEPENDENCYPART_SIBL
(2,10),(2,33),-0.0197999 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0303956 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0312791 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.028703 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0594294 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0675103 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0984393 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.00187356 # DEPENDENCYPART_SIBL
(2,11),(2,22),-0.00996771 # DEPENDENCYPART_SIBL
(2,11),(2,24),2.5369e-06 # DEPENDENCYPART_SIBL
(2,11),(2,25),-0.00996771 # DEPENDENCYPART_SIBL
(2,11),(2,30),0.028703 # DEPENDENCYPART_SIBL
(2,11),(2,33),-0.0636748 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0427686 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.00463525 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0379293 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.027379 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.0337719 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.0346578 # DEPENDENCYPART_SIBL
(2,12),(2,22),-0.00749792 # DEPENDENCYPART_SIBL
(2,12),(2,24),-0.0193457 # DEPENDENCYPART_SIBL
(2,12),(2,25),-0.00749792 # DEPENDENCYPART_SIBL
(2,12),(2,30),-0.00463525 # DEPENDENCYPART_SIBL
(2,12),(2,33),-0.0491739 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0291913 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0844289 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.0212618 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0305815 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.0206329 # DEPENDENCYPART_SIBL
(2,13),(2,22),0.0124908 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.0411352 # DEPENDENCYPART_SIBL
(2,13),(2,25),0.0124908 # DEPENDENCYPART_SIBL
(2,13),(2,30),0.0291913 # DEPENDENCYPART_SIBL
(2,13),(2,33),-0.0168757 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0139878 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.015823 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.0263933 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.0108753 # DEPENDENCYPART_SIBL
(2,14),(2,22),-0.00871761 # DEPENDENCYPART_SIBL
(2,14),(2,24),-0.0194047 # DEPENDENCYPART_SIBL
(2,14),(2,25),-0.00871761 # DEPENDENCYPART_SIBL
(2,14),(2,30),-0.579174 # DEPENDENCYPART_SIBL
(2,14),(2,33),0.026106 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.0607837 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.0134928 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.041318 # DEPENDENCYPART_SIBL
(2,16),(2,22),0.0328072 # DEPENDENCYPART_SIBL
(2,16),(2,24),0.0782379 # DEPENDENCYPART_SIBL
(2,16),(2,25),0.0328072 # DEPENDENCYPART_SIBL
(2,16),(2,30),0.0731986 # DEPENDENCYPART_SIBL
