# _root_ Security Pacific 's loan-loss provision was down 22 % , or $ 30.4 million , because it added to its foreign-debt reserve the year before .
#goldHeads=2,5,2,5,6,0,6,9,7,9,9,11,12,12,9,6,18,16,18,22,22,19,24,25,18,6,
#predictedHeads=2,5,2,5,6,0,6,9,7,9,9,11,12,12,6,6,18,16,18,22,22,19,24,25,18,6,
(12,18),-1.03726 # DEPENDENCYPART_ARC
(12,19),-1.55493 # DEPENDENCYPART_ARC
(12,21),-1.43083 # DEPENDENCYPART_ARC
(12,22),-1.74078 # DEPENDENCYPART_ARC
(12,24),-1.96209 # DEPENDENCYPART_ARC
(12,25),-1.78443 # DEPENDENCYPART_ARC
(12,26),-1.55298 # DEPENDENCYPART_ARC
(13,14),-0.529406 # DEPENDENCYPART_ARC
(13,16),-1.50455 # DEPENDENCYPART_ARC
(13,18),-1.58833 # DEPENDENCYPART_ARC
(14,7),-1.87528 # DEPENDENCYPART_ARC
(14,8),-1.61443 # DEPENDENCYPART_ARC
(14,13),0.420882 # DEPENDENCYPART_ARC
(14,15),-0.448909 # DEPENDENCYPART_ARC
(14,16),-1.5478 # DEPENDENCYPART_ARC
(14,18),-1.534 # DEPENDENCYPART_ARC
(16,12),-1.7133 # DEPENDENCYPART_ARC
(16,14),-1.86883 # DEPENDENCYPART_ARC
(16,15),-0.632438 # DEPENDENCYPART_ARC
(16,17),0.259068 # DEPENDENCYPART_ARC
(16,18),0.202059 # DEPENDENCYPART_ARC
(16,19),-1.01843 # DEPENDENCYPART_ARC
(16,21),-1.66732 # DEPENDENCYPART_ARC
(16,22),-1.56605 # DEPENDENCYPART_ARC
(16,25),-1.80842 # DEPENDENCYPART_ARC
(16,26),-1.55459 # DEPENDENCYPART_ARC
(18,2),-2.2519 # DEPENDENCYPART_ARC
(18,5),-2.25669 # DEPENDENCYPART_ARC
(18,6),-1.84691 # DEPENDENCYPART_ARC
(18,7),-1.87588 # DEPENDENCYPART_ARC
(18,9),-2.01875 # DEPENDENCYPART_ARC
(18,10),-2.1855 # DEPENDENCYPART_ARC
(18,11),-1.80364 # DEPENDENCYPART_ARC
(18,12),-1.73535 # DEPENDENCYPART_ARC
(18,14),-1.73491 # DEPENDENCYPART_ARC
(18,15),-1.13596 # DEPENDENCYPART_ARC
(18,16),-0.976311 # DEPENDENCYPART_ARC
(18,17),0.739692 # DEPENDENCYPART_ARC
(18,19),1.13164 # DEPENDENCYPART_ARC
(18,20),-0.59192 # DEPENDENCYPART_ARC
(18,21),-0.967394 # DEPENDENCYPART_ARC
(18,22),-0.643144 # DEPENDENCYPART_ARC
(18,24),-0.973316 # DEPENDENCYPART_ARC
(18,25),-1.14758 # DEPENDENCYPART_ARC
(18,26),-0.382575 # DEPENDENCYPART_ARC
(19,17),-1.5812 # DEPENDENCYPART_ARC
(19,20),0.300184 # DEPENDENCYPART_ARC
(19,21),-0.715156 # DEPENDENCYPART_ARC
(19,22),-0.408763 # DEPENDENCYPART_ARC
(19,24),-0.986118 # DEPENDENCYPART_ARC
(19,25),-1.34424 # DEPENDENCYPART_ARC
(19,26),-0.961363 # DEPENDENCYPART_ARC
(20,19),-0.670991 # DEPENDENCYPART_ARC
(20,21),-0.369628 # DEPENDENCYPART_ARC
(20,24),-1.61872 # DEPENDENCYPART_ARC
(21,20),-0.362874 # DEPENDENCYPART_ARC
(21,24),-1.59201 # DEPENDENCYPART_ARC
(22,12),-1.53793 # DEPENDENCYPART_ARC
(22,14),-2.02429 # DEPENDENCYPART_ARC
(22,17),-1.5977 # DEPENDENCYPART_ARC
(22,19),-1.43358 # DEPENDENCYPART_ARC
(22,20),0.0731608 # DEPENDENCYPART_ARC
(22,21),1.07122 # DEPENDENCYPART_ARC
(22,23),-0.317928 # DEPENDENCYPART_ARC
(22,24),-0.856716 # DEPENDENCYPART_ARC
(22,25),-1.08887 # DEPENDENCYPART_ARC
(22,26),-1.27954 # DEPENDENCYPART_ARC
(23,22),-0.634601 # DEPENDENCYPART_ARC
(24,20),-1.26975 # DEPENDENCYPART_ARC
(24,21),-1.30912 # DEPENDENCYPART_ARC
(24,22),-0.921561 # DEPENDENCYPART_ARC
(24,23),0.91487 # DEPENDENCYPART_ARC
(24,25),-0.419247 # DEPENDENCYPART_ARC
(25,12),-2.19619 # DEPENDENCYPART_ARC
(25,16),-1.90887 # DEPENDENCYPART_ARC
(25,20),-1.9696 # DEPENDENCYPART_ARC
(25,21),-1.78886 # DEPENDENCYPART_ARC
(25,22),-1.55718 # DEPENDENCYPART_ARC
(25,23),-1.41589 # DEPENDENCYPART_ARC
(25,24),-0.18959 # DEPENDENCYPART_ARC
(25,26),-0.586288 # DEPENDENCYPART_ARC
(26,25),-0.951508 # DEPENDENCYPART_ARC
(0,2),(0,5),-0.059694 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.145723 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.13144 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.123478 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.127292 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.239523 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0971507 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.00600571 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.035688 # DEPENDENCYPART_SIBL
(1,2),(1,10),5.6138e-05 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.00754772 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0695822 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0577901 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0199159 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0376449 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0256551 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.15712 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0213129 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.024022 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0452861 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0532641 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0224983 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.00786137 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.051498 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.123122 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0235849 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.051498 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.026455 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0428052 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.0480767 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0654664 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0603083 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0434722 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00919394 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0167916 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0734779 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0784718 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0525476 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.187898 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0784718 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.119795 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.018243 # DEPENDENCYPART_SIBL
(2,3),(2,26),-0.0338734 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0241273 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0387436 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00410121 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0403401 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0342228 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0124604 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.00818456 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.00758694 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0124604 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0522722 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0363545 # DEPENDENCYPART_SIBL
(2,4),(2,26),0.0434095 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00150608 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0216227 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0452971 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.107559 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.00533872 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0065828 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0265269 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.00533872 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0622112 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0172361 # DEPENDENCYPART_SIBL
(2,5),(2,26),0.0843596 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0184066 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0348469 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0679815 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0319742 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.00307071 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.015564 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0319742 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.00314339 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.070776 # DEPENDENCYPART_SIBL
(2,6),(2,26),0.00967351 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0133914 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0184082 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0198903 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0227675 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0143679 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0198903 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0355904 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0107296 # DEPENDENCYPART_SIBL
(2,7),(2,26),0.0413985 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.01456 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0251744 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0353226 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0745441 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0251744 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0315106 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.0127127 # DEPENDENCYPART_SIBL
(2,8),(2,26),-0.0218445 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0068105 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0188531 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.00732338 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0068105 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0368419 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0223906 # DEPENDENCYPART_SIBL
(2,9),(2,26),0.0781661 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0638174 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0215671 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0127215 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0169346 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.0316196 # DEPENDENCYPART_SIBL
(2,10),(2,26),0.0333122 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0227524 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0409002 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0328938 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0636454 # DEPENDENCYPART_SIBL
(2,11),(2,26),-0.138924 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.0488076 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.0461549 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.0133661 # DEPENDENCYPART_SIBL
(2,12),(2,26),0.104491 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.0169346 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.0316196 # DEPENDENCYPART_SIBL
(2,15),(2,26),0.0333122 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.00442125 # DEPENDENCYPART_SIBL
(2,16),(2,26),0.104062 # DEPENDENCYPART_SIBL
(2,18),(2,26),0.00613989 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00977763 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0160337 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.02353 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.027246 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0729526 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0228796 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.01106 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0138565 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00454563 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00957952 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.000469359 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.000255506 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0317997 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00960856 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.00558347 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0267185 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0129484 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0163952 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0651942 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.015667 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0262471 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0582273 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.074248 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0457754 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.074248 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0104434 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0298748 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0530025 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00928938 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0198525 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0526741 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.074163 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0520883 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.074163 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0469127 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00479323 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0225151 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.023097 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0617169 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.00899175 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.00441655 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.00899175 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0304111 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0528318 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.00520913 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0398793 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0707438 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0309717 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0707438 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0335161 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00595793 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0458962 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0512392 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0165498 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0512392 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0100276 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.00835285 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0076205 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0325593 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0076205 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0125486 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0346372 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0284767 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0346372 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0517856 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0216204 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0517856 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0914891 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.100975 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.0335062 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.133529 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.075787 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0689529 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.069487 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0430586 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.00938858 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0975993 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0390026 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0406064 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0153059 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0390026 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.014844 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0196648 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0197105 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0945717 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.00434586 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.046988 # DEPENDENCYPART_SIBL
(6,1),(6,24),-0.0150768 # DEPENDENCYPART_SIBL
(6,1),(6,25),-0.0085344 # DEPENDENCYPART_SIBL
(6,1),(6,26),-0.0023367 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0725608 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0600635 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0704297 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0573719 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0228309 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0675364 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0622626 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0156662 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0267854 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0622626 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.00913765 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0326435 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.012829 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0876391 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.0111569 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0148218 # DEPENDENCYPART_SIBL
(6,2),(6,24),0.019459 # DEPENDENCYPART_SIBL
(6,2),(6,25),0.00533011 # DEPENDENCYPART_SIBL
(6,2),(6,26),0.0206518 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0156637 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.000447433 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.037647 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0219405 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.00979094 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.00760721 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0613415 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0206136 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.00760721 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0171471 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0203196 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0449692 # DEPENDENCYPART_SIBL
