# _root_ Hughes Aircraft Co. , a unit of General Motors Corp. , said it agreed to purchase the Electro-Optics Technology division of Perkin-Elmer Corp .
#goldHeads=2,12,2,2,6,2,6,9,7,9,2,0,14,12,14,15,20,20,20,16,20,21,22,12,
#predictedHeads=2,12,2,2,6,2,6,9,7,9,2,0,14,12,14,15,20,20,20,16,20,21,22,12,
(6,15),-1.45728 # DEPENDENCYPART_ARC
(6,20),-2.0058 # DEPENDENCYPART_ARC
(6,24),-1.60676 # DEPENDENCYPART_ARC
(7,4),-2.04322 # DEPENDENCYPART_ARC
(7,6),-0.900393 # DEPENDENCYPART_ARC
(7,8),0.00613851 # DEPENDENCYPART_ARC
(7,9),-0.641767 # DEPENDENCYPART_ARC
(7,10),-1.00421 # DEPENDENCYPART_ARC
(7,11),-1.169 # DEPENDENCYPART_ARC
(7,13),-1.72215 # DEPENDENCYPART_ARC
(7,14),-1.33472 # DEPENDENCYPART_ARC
(8,9),-0.911132 # DEPENDENCYPART_ARC
(8,10),-1.58059 # DEPENDENCYPART_ARC
(8,11),-1.84935 # DEPENDENCYPART_ARC
(8,14),-2.32216 # DEPENDENCYPART_ARC
(9,1),-2.73867 # DEPENDENCYPART_ARC
(9,2),-2.68506 # DEPENDENCYPART_ARC
(9,4),-2.47265 # DEPENDENCYPART_ARC
(9,5),-2.0107 # DEPENDENCYPART_ARC
(9,6),-1.26568 # DEPENDENCYPART_ARC
(9,7),-1.36558 # DEPENDENCYPART_ARC
(9,8),0.77626 # DEPENDENCYPART_ARC
(9,10),0.669289 # DEPENDENCYPART_ARC
(9,11),-0.698855 # DEPENDENCYPART_ARC
(9,12),-0.967677 # DEPENDENCYPART_ARC
(9,13),-1.12624 # DEPENDENCYPART_ARC
(9,14),-1.27159 # DEPENDENCYPART_ARC
(9,15),-1.5666 # DEPENDENCYPART_ARC
(9,19),-2.27844 # DEPENDENCYPART_ARC
(9,20),-1.92978 # DEPENDENCYPART_ARC
(9,21),-1.93107 # DEPENDENCYPART_ARC
(9,22),-2.55062 # DEPENDENCYPART_ARC
(9,23),-2.37246 # DEPENDENCYPART_ARC
(10,1),-2.67806 # DEPENDENCYPART_ARC
(10,2),-2.68289 # DEPENDENCYPART_ARC
(10,5),-1.93994 # DEPENDENCYPART_ARC
(10,6),-1.45383 # DEPENDENCYPART_ARC
(10,8),-0.269719 # DEPENDENCYPART_ARC
(10,9),0.437093 # DEPENDENCYPART_ARC
(10,11),-0.529979 # DEPENDENCYPART_ARC
(10,13),-1.74369 # DEPENDENCYPART_ARC
(10,14),-1.96194 # DEPENDENCYPART_ARC
(10,20),-2.3648 # DEPENDENCYPART_ARC
(12,1),-1.51827 # DEPENDENCYPART_ARC
(12,2),-1.39151 # DEPENDENCYPART_ARC
(12,3),-1.63094 # DEPENDENCYPART_ARC
(12,4),-1.15122 # DEPENDENCYPART_ARC
(12,6),-1.31176 # DEPENDENCYPART_ARC
(12,7),-1.38631 # DEPENDENCYPART_ARC
(12,8),-1.45439 # DEPENDENCYPART_ARC
(12,9),-1.11881 # DEPENDENCYPART_ARC
(12,10),-0.814964 # DEPENDENCYPART_ARC
(12,11),0.391703 # DEPENDENCYPART_ARC
(12,13),0.534096 # DEPENDENCYPART_ARC
(12,14),0.379676 # DEPENDENCYPART_ARC
(12,15),-0.449748 # DEPENDENCYPART_ARC
(12,16),-0.797031 # DEPENDENCYPART_ARC
(12,19),-1.40891 # DEPENDENCYPART_ARC
(12,20),-1.25996 # DEPENDENCYPART_ARC
(12,21),-1.04567 # DEPENDENCYPART_ARC
(12,22),-1.69845 # DEPENDENCYPART_ARC
(12,24),0.305193 # DEPENDENCYPART_ARC
(13,15),-1.24149 # DEPENDENCYPART_ARC
(14,1),-1.88397 # DEPENDENCYPART_ARC
(14,2),-1.95525 # DEPENDENCYPART_ARC
(14,3),-2.20185 # DEPENDENCYPART_ARC
(14,4),-1.48756 # DEPENDENCYPART_ARC
(14,6),-1.56561 # DEPENDENCYPART_ARC
(14,7),-1.285 # DEPENDENCYPART_ARC
(14,8),-1.85956 # DEPENDENCYPART_ARC
(14,9),-1.91065 # DEPENDENCYPART_ARC
(14,10),-1.92529 # DEPENDENCYPART_ARC
(14,11),-1.27442 # DEPENDENCYPART_ARC
(14,12),-1.24746 # DEPENDENCYPART_ARC
(14,13),0.871438 # DEPENDENCYPART_ARC
(14,15),1.08898 # DEPENDENCYPART_ARC
(14,16),-0.41678 # DEPENDENCYPART_ARC
(14,17),-1.31163 # DEPENDENCYPART_ARC
(14,18),-1.28045 # DEPENDENCYPART_ARC
(14,19),-1.36021 # DEPENDENCYPART_ARC
(14,20),-1.16154 # DEPENDENCYPART_ARC
(14,21),-1.16932 # DEPENDENCYPART_ARC
(14,22),-1.84455 # DEPENDENCYPART_ARC
(14,23),-1.78638 # DEPENDENCYPART_ARC
(14,24),-0.616403 # DEPENDENCYPART_ARC
(15,13),-1.48986 # DEPENDENCYPART_ARC
(15,16),1.0749 # DEPENDENCYPART_ARC
(15,18),-1.1958 # DEPENDENCYPART_ARC
(15,19),-1.37432 # DEPENDENCYPART_ARC
(15,20),-1.1105 # DEPENDENCYPART_ARC
(15,22),-1.87766 # DEPENDENCYPART_ARC
(15,23),-2.03503 # DEPENDENCYPART_ARC
(16,2),-2.25381 # DEPENDENCYPART_ARC
(16,6),-1.71399 # DEPENDENCYPART_ARC
(16,7),-1.70089 # DEPENDENCYPART_ARC
(16,9),-1.99166 # DEPENDENCYPART_ARC
(16,13),-1.57318 # DEPENDENCYPART_ARC
(16,17),0.203039 # DEPENDENCYPART_ARC
(16,18),-0.380527 # DEPENDENCYPART_ARC
(16,19),-0.567633 # DEPENDENCYPART_ARC
(16,20),-0.173422 # DEPENDENCYPART_ARC
(16,21),-0.84804 # DEPENDENCYPART_ARC
(16,22),-1.28265 # DEPENDENCYPART_ARC
(16,23),-1.25484 # DEPENDENCYPART_ARC
(16,24),-1.208 # DEPENDENCYPART_ARC
(17,18),-0.48315 # DEPENDENCYPART_ARC
(18,17),-0.602911 # DEPENDENCYPART_ARC
(18,19),-0.927488 # DEPENDENCYPART_ARC
(18,21),-1.72906 # DEPENDENCYPART_ARC
(18,22),-2.44035 # DEPENDENCYPART_ARC
(18,23),-2.50519 # DEPENDENCYPART_ARC
(19,17),-0.977059 # DEPENDENCYPART_ARC
(19,18),0.00277133 # DEPENDENCYPART_ARC
(19,20),-0.465901 # DEPENDENCYPART_ARC
(19,21),-1.53854 # DEPENDENCYPART_ARC
(19,22),-2.23108 # DEPENDENCYPART_ARC
(19,23),-2.14421 # DEPENDENCYPART_ARC
(20,2),-2.61363 # DEPENDENCYPART_ARC
(20,9),-2.00136 # DEPENDENCYPART_ARC
(20,13),-1.89583 # DEPENDENCYPART_ARC
(20,17),0.0176488 # DEPENDENCYPART_ARC
(20,18),0.533561 # DEPENDENCYPART_ARC
(20,19),1.75751 # DEPENDENCYPART_ARC
(20,21),0.337967 # DEPENDENCYPART_ARC
(20,22),-1.13704 # DEPENDENCYPART_ARC
(20,23),-1.23596 # DEPENDENCYPART_ARC
(21,22),-0.0960973 # DEPENDENCYPART_ARC
(21,23),-0.772989 # DEPENDENCYPART_ARC
(22,18),-2.46428 # DEPENDENCYPART_ARC
(22,19),-2.25673 # DEPENDENCYPART_ARC
(22,23),-0.426615 # DEPENDENCYPART_ARC
(23,17),-2.00803 # DEPENDENCYPART_ARC
(23,18),-1.91392 # DEPENDENCYPART_ARC
(23,19),-2.0492 # DEPENDENCYPART_ARC
(23,20),-1.26337 # DEPENDENCYPART_ARC
(23,22),0.611054 # DEPENDENCYPART_ARC
(23,24),-0.0416102 # DEPENDENCYPART_ARC
(0,2),(0,12),-0.161687 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.135046 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.250752 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0495591 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.000698361 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0322803 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0122682 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.000698361 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.168509 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0234557 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.154441 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.168509 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0656268 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0300434 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0273923 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0189305 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0270349 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0216293 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.287705 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0970096 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00425326 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0680069 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0302239 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0457834 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0343595 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.311696 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0970096 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0799205 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0551058 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0692616 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0334734 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0302239 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.190062 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.0691128 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.183239 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0585686 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0195964 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.148287 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0422136 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0416152 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0274545 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.183239 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0294648 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0254311 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.00923373 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.0185164 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.148287 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.0239634 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.0881742 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0308788 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0780807 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.038523 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0631679 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0888031 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0259741 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0568525 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0173103 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.00181508 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0417875 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0588001 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.038523 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.0294865 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.0363188 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00296129 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0332198 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00856589 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00398874 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0368253 # DEPENDENCYPART_SIBL
(2,5),(2,11),6.69258e-05 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.00756732 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.00443073 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.000563757 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.000190329 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0332198 # DEPENDENCYPART_SIBL
(2,5),(2,23),-0.014062 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.0382408 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0156155 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0052372 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0121913 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0218173 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0536511 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0104332 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0268093 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0108913 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.106772 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.0156155 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.00241226 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.089123 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0258191 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0313155 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.00862525 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0361638 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0225686 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0242547 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.00541929 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.117748 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.182745 # DEPENDENCYPART_SIBL
(2,7),(2,23),0.0201388 # DEPENDENCYPART_SIBL
(2,7),(2,24),0.0644848 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0179451 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0838474 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0112089 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0372828 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.040499 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0540911 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.0343438 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.00332919 # DEPENDENCYPART_SIBL
(2,8),(2,23),-0.0355777 # DEPENDENCYPART_SIBL
(2,8),(2,24),0.0214987 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0840385 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0171663 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0401426 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0416107 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0569509 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0346185 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.00189208 # DEPENDENCYPART_SIBL
(2,9),(2,23),-0.0357665 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.0211084 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.175827 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0355219 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0492481 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.020734 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.0881485 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.120519 # DEPENDENCYPART_SIBL
(2,10),(2,23),0.066665 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.215019 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0173103 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.00181508 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0417875 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0588001 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.038523 # DEPENDENCYPART_SIBL
(2,11),(2,23),0.0294865 # DEPENDENCYPART_SIBL
(2,11),(2,24),0.0363188 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0212736 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0615007 # DEPENDENCYPART_SIBL
(2,12),(2,20),-0.0443686 # DEPENDENCYPART_SIBL
(2,12),(2,21),-0.0300707 # DEPENDENCYPART_SIBL
(2,12),(2,23),-0.00241552 # DEPENDENCYPART_SIBL
(2,12),(2,24),0.0379761 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0302335 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.0175551 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.0394135 # DEPENDENCYPART_SIBL
(2,13),(2,23),-0.0191241 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.00227318 # DEPENDENCYPART_SIBL
(2,14),(2,20),-0.0532567 # DEPENDENCYPART_SIBL
(2,14),(2,21),-0.0359837 # DEPENDENCYPART_SIBL
(2,14),(2,23),-0.0112382 # DEPENDENCYPART_SIBL
(2,14),(2,24),-0.01152 # DEPENDENCYPART_SIBL
(2,20),(2,21),-0.0127092 # DEPENDENCYPART_SIBL
(2,20),(2,23),-0.00770644 # DEPENDENCYPART_SIBL
(2,20),(2,24),0.0873004 # DEPENDENCYPART_SIBL
(2,21),(2,23),0.0201388 # DEPENDENCYPART_SIBL
(2,21),(2,24),0.0644848 # DEPENDENCYPART_SIBL
(2,23),(2,24),-0.0752674 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0133691 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0422635 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0373026 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0357484 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0477825 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.324167 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0422635 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0447088 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0283917 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0496275 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0392127 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0425924 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.318977 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0283917 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0465926 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00609322 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00940821 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0539724 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0608071 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00658253 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0048573 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0235347 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0147224 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0192886 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0268266 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.018628 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0209961 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.018947 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0103346 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0209194 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0543403 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0353344 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0408906 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.188459 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0340247 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0048573 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.129876 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0231335 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.00772638 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.114594 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.121829 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0517092 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0491462 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0383451 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.10803 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.00661435 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0470119 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0211492 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.00981967 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.119331 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0179399 # DEPENDENCYPART_SIBL
(6,1),(6,24),-0.0157284 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.00568275 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.105882 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.125679 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0700949 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0347815 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0239805 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0936655 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.000962431 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0560606 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.031054 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0188377 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.148467 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.0166389 # DEPENDENCYPART_SIBL
(6,2),(6,24),-0.0468359 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0896914 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.11947 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0471125 # DEPENDENCYPART_SIBL
(6,3),(6,8),-6.56089e-05 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0108663 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0566663 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0991445 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0792149 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0442311 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0432993 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.170965 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0118471 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.105869 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0303564 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.099441 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.025061 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0293915 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0603921 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.00652894 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.119964 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0644522 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.000818929 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0698538 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.020826 # DEPENDENCYPART_SIBL
(6,4),(6,24),0.0407661 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.139563 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0547832 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0372651 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0403497 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0245789 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.171709 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0787293 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.206588 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.178623 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.00862473 # DEPENDENCYPART_SIBL
(6,5),(6,24),0.00937598 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0118164 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00648355 # DEPENDENCYPART_SIBL
