# _root_ J.P. Morgan & Co. swung to a loss in the third quarter , while NCNB Corp. reported net income more than doubled , and Security Pacific Corp. net rose 10 % .
#goldHeads=2,5,2,3,0,5,8,6,5,12,12,9,5,5,17,15,14,19,22,22,20,17,17,17,28,28,28,29,24,31,29,5,
#predictedHeads=2,5,2,3,0,5,8,6,5,12,12,9,5,5,17,15,14,19,22,22,20,17,22,22,28,28,28,29,24,31,29,5,
(5,2),-0.984848 # DEPENDENCYPART_ARC
(5,3),-0.827634 # DEPENDENCYPART_ARC
(5,4),0.22348 # DEPENDENCYPART_ARC
(5,6),1.32491 # DEPENDENCYPART_ARC
(5,7),-0.569673 # DEPENDENCYPART_ARC
(5,8),-0.211933 # DEPENDENCYPART_ARC
(5,9),-0.568183 # DEPENDENCYPART_ARC
(5,12),-0.755567 # DEPENDENCYPART_ARC
(5,13),-1.19482 # DEPENDENCYPART_ARC
(5,14),-0.903441 # DEPENDENCYPART_ARC
(5,15),-1.79646 # DEPENDENCYPART_ARC
(5,17),-1.45953 # DEPENDENCYPART_ARC
(5,20),-1.39782 # DEPENDENCYPART_ARC
(5,21),-1.71803 # DEPENDENCYPART_ARC
(5,22),-1.67707 # DEPENDENCYPART_ARC
(5,23),-1.57713 # DEPENDENCYPART_ARC
(5,24),-2.07382 # DEPENDENCYPART_ARC
(5,32),0.352378 # DEPENDENCYPART_ARC
(6,2),-2.14728 # DEPENDENCYPART_ARC
(6,7),0.294428 # DEPENDENCYPART_ARC
(6,8),0.156796 # DEPENDENCYPART_ARC
(6,9),-0.985201 # DEPENDENCYPART_ARC
(6,12),-1.09052 # DEPENDENCYPART_ARC
(6,13),-1.23448 # DEPENDENCYPART_ARC
(6,23),-0.99135 # DEPENDENCYPART_ARC
(6,24),-1.64635 # DEPENDENCYPART_ARC
(7,9),-1.33189 # DEPENDENCYPART_ARC
(8,2),-2.25668 # DEPENDENCYPART_ARC
(8,5),-1.22863 # DEPENDENCYPART_ARC
(8,6),-1.17935 # DEPENDENCYPART_ARC
(8,7),1.38024 # DEPENDENCYPART_ARC
(8,9),0.307393 # DEPENDENCYPART_ARC
(8,11),-1.32586 # DEPENDENCYPART_ARC
(8,12),-1.34462 # DEPENDENCYPART_ARC
(8,13),-1.69911 # DEPENDENCYPART_ARC
(8,14),-1.42379 # DEPENDENCYPART_ARC
(8,17),-1.40993 # DEPENDENCYPART_ARC
(8,18),-1.97098 # DEPENDENCYPART_ARC
(8,21),-1.69176 # DEPENDENCYPART_ARC
(8,32),-2.15144 # DEPENDENCYPART_ARC
(9,8),-1.02893 # DEPENDENCYPART_ARC
(9,10),0.0211687 # DEPENDENCYPART_ARC
(9,11),-0.763365 # DEPENDENCYPART_ARC
(9,12),0.334024 # DEPENDENCYPART_ARC
(9,14),-1.21827 # DEPENDENCYPART_ARC
(9,16),-2.14253 # DEPENDENCYPART_ARC
(9,19),-1.33585 # DEPENDENCYPART_ARC
(9,32),-1.16992 # DEPENDENCYPART_ARC
(11,10),-0.105396 # DEPENDENCYPART_ARC
(12,7),-1.13233 # DEPENDENCYPART_ARC
(12,8),-1.23064 # DEPENDENCYPART_ARC
(12,10),0.503577 # DEPENDENCYPART_ARC
(12,11),1.4208 # DEPENDENCYPART_ARC
(12,13),-0.112422 # DEPENDENCYPART_ARC
(12,14),-1.33684 # DEPENDENCYPART_ARC
(12,15),-1.56398 # DEPENDENCYPART_ARC
(12,16),-1.8553 # DEPENDENCYPART_ARC
(12,17),-1.64266 # DEPENDENCYPART_ARC
(12,19),-2.07337 # DEPENDENCYPART_ARC
(14,13),-0.904483 # DEPENDENCYPART_ARC
(14,15),-0.28966 # DEPENDENCYPART_ARC
(14,16),-0.958629 # DEPENDENCYPART_ARC
(14,17),0.270318 # DEPENDENCYPART_ARC
(14,18),-1.70472 # DEPENDENCYPART_ARC
(14,19),-1.327 # DEPENDENCYPART_ARC
(14,22),-0.709527 # DEPENDENCYPART_ARC
(14,23),-1.34778 # DEPENDENCYPART_ARC
(14,24),-1.73777 # DEPENDENCYPART_ARC
(14,29),-0.70677 # DEPENDENCYPART_ARC
(15,14),-0.543306 # DEPENDENCYPART_ARC
(15,16),0.491784 # DEPENDENCYPART_ARC
(15,17),-0.842154 # DEPENDENCYPART_ARC
(15,18),-0.991143 # DEPENDENCYPART_ARC
(15,19),-1.1237 # DEPENDENCYPART_ARC
(15,20),-1.37465 # DEPENDENCYPART_ARC
(15,21),-1.40577 # DEPENDENCYPART_ARC
(15,22),-1.44269 # DEPENDENCYPART_ARC
(15,23),-1.55541 # DEPENDENCYPART_ARC
(15,24),-1.26705 # DEPENDENCYPART_ARC
(15,32),-1.78883 # DEPENDENCYPART_ARC
(16,11),-1.93268 # DEPENDENCYPART_ARC
(16,15),0.769437 # DEPENDENCYPART_ARC
(17,1),-1.59925 # DEPENDENCYPART_ARC
(17,2),-1.58992 # DEPENDENCYPART_ARC
(17,3),-1.57759 # DEPENDENCYPART_ARC
(17,4),-1.77092 # DEPENDENCYPART_ARC
(17,5),-1.49983 # DEPENDENCYPART_ARC
(17,6),-1.33085 # DEPENDENCYPART_ARC
(17,8),-1.3178 # DEPENDENCYPART_ARC
(17,9),-1.09776 # DEPENDENCYPART_ARC
(17,11),-1.38594 # DEPENDENCYPART_ARC
(17,12),-1.46608 # DEPENDENCYPART_ARC
(17,13),-0.910739 # DEPENDENCYPART_ARC
(17,14),-0.743385 # DEPENDENCYPART_ARC
(17,15),-0.82563 # DEPENDENCYPART_ARC
(17,16),0.0995843 # DEPENDENCYPART_ARC
(17,18),0.453409 # DEPENDENCYPART_ARC
(17,19),0.0822505 # DEPENDENCYPART_ARC
(17,20),-0.728821 # DEPENDENCYPART_ARC
(17,21),-0.80977 # DEPENDENCYPART_ARC
(17,22),-0.869726 # DEPENDENCYPART_ARC
(17,23),-1.02135 # DEPENDENCYPART_ARC
(17,24),-1.40767 # DEPENDENCYPART_ARC
(17,25),-1.76994 # DEPENDENCYPART_ARC
(17,26),-1.76568 # DEPENDENCYPART_ARC
(17,27),-1.75472 # DEPENDENCYPART_ARC
(17,28),-1.6159 # DEPENDENCYPART_ARC
(17,29),-1.66433 # DEPENDENCYPART_ARC
(17,31),-1.76476 # DEPENDENCYPART_ARC
(17,32),0.555899 # DEPENDENCYPART_ARC
(18,16),-1.2024 # DEPENDENCYPART_ARC
(18,19),-0.24177 # DEPENDENCYPART_ARC
(18,20),-1.30408 # DEPENDENCYPART_ARC
(18,21),-1.17569 # DEPENDENCYPART_ARC
(19,10),-1.80405 # DEPENDENCYPART_ARC
(19,11),-1.64734 # DEPENDENCYPART_ARC
(19,14),-1.47823 # DEPENDENCYPART_ARC
(19,15),-0.974042 # DEPENDENCYPART_ARC
(19,16),-0.737986 # DEPENDENCYPART_ARC
(19,17),-0.786204 # DEPENDENCYPART_ARC
(19,18),1.03554 # DEPENDENCYPART_ARC
(19,20),-0.234911 # DEPENDENCYPART_ARC
(19,21),-1.0156 # DEPENDENCYPART_ARC
(19,22),-0.989945 # DEPENDENCYPART_ARC
(19,23),-1.54768 # DEPENDENCYPART_ARC
(19,24),-1.9387 # DEPENDENCYPART_ARC
(19,25),-1.89853 # DEPENDENCYPART_ARC
(19,26),-1.88809 # DEPENDENCYPART_ARC
(19,27),-2.05493 # DEPENDENCYPART_ARC
(19,28),-2.07813 # DEPENDENCYPART_ARC
(19,29),-1.89585 # DEPENDENCYPART_ARC
(19,31),-2.66987 # DEPENDENCYPART_ARC
(19,32),-1.88998 # DEPENDENCYPART_ARC
(20,2),-2.48474 # DEPENDENCYPART_ARC
(20,5),-2.17163 # DEPENDENCYPART_ARC
(20,15),-2.02384 # DEPENDENCYPART_ARC
(20,18),-1.37204 # DEPENDENCYPART_ARC
(20,19),-0.285615 # DEPENDENCYPART_ARC
(20,21),0.306175 # DEPENDENCYPART_ARC
(20,22),-1.01101 # DEPENDENCYPART_ARC
(20,24),-1.38851 # DEPENDENCYPART_ARC
(20,25),-1.73972 # DEPENDENCYPART_ARC
(20,28),-1.92813 # DEPENDENCYPART_ARC
(21,18),-1.56112 # DEPENDENCYPART_ARC
(21,19),-1.5686 # DEPENDENCYPART_ARC
(21,20),-0.470233 # DEPENDENCYPART_ARC
(21,22),0.424934 # DEPENDENCYPART_ARC
(21,23),-1.19509 # DEPENDENCYPART_ARC
(21,24),-1.61908 # DEPENDENCYPART_ARC
(21,26),-2.247 # DEPENDENCYPART_ARC
(21,28),-1.95654 # DEPENDENCYPART_ARC
(21,29),-1.41802 # DEPENDENCYPART_ARC
(22,1),-1.95471 # DEPENDENCYPART_ARC
(22,2),-1.78902 # DEPENDENCYPART_ARC
(22,3),-1.77217 # DEPENDENCYPART_ARC
(22,4),-1.97843 # DEPENDENCYPART_ARC
(22,5),-2.02713 # DEPENDENCYPART_ARC
(22,6),-1.46169 # DEPENDENCYPART_ARC
(22,8),-1.42199 # DEPENDENCYPART_ARC
(22,9),-1.41229 # DEPENDENCYPART_ARC
(22,11),-1.66008 # DEPENDENCYPART_ARC
(22,12),-1.43306 # DEPENDENCYPART_ARC
(22,13),-1.7117 # DEPENDENCYPART_ARC
(22,14),-1.07341 # DEPENDENCYPART_ARC
(22,15),-1.67899 # DEPENDENCYPART_ARC
(22,16),-1.67084 # DEPENDENCYPART_ARC
(22,17),-1.69597 # DEPENDENCYPART_ARC
(22,18),-1.37669 # DEPENDENCYPART_ARC
(22,19),-0.826917 # DEPENDENCYPART_ARC
(22,20),-0.77834 # DEPENDENCYPART_ARC
(22,21),0.227434 # DEPENDENCYPART_ARC
(22,23),0.0829793 # DEPENDENCYPART_ARC
(22,24),-1.18135 # DEPENDENCYPART_ARC
(22,25),-1.44215 # DEPENDENCYPART_ARC
(22,26),-1.63729 # DEPENDENCYPART_ARC
(22,27),-1.69803 # DEPENDENCYPART_ARC
(22,28),-1.63918 # DEPENDENCYPART_ARC
(22,29),-1.70745 # DEPENDENCYPART_ARC
(22,31),-1.83316 # DEPENDENCYPART_ARC
(22,32),-1.20495 # DEPENDENCYPART_ARC
(24,25),-0.0777642 # DEPENDENCYPART_ARC
(24,26),-1.05273 # DEPENDENCYPART_ARC
(24,27),-1.86775 # DEPENDENCYPART_ARC
(24,28),-1.20839 # DEPENDENCYPART_ARC
(24,29),-0.897543 # DEPENDENCYPART_ARC
(24,31),-1.83552 # DEPENDENCYPART_ARC
(25,26),-0.688857 # DEPENDENCYPART_ARC
(25,27),-1.61428 # DEPENDENCYPART_ARC
(26,25),0.507707 # DEPENDENCYPART_ARC
(26,27),0.0497877 # DEPENDENCYPART_ARC
(26,28),-0.909263 # DEPENDENCYPART_ARC
(26,29),-1.15828 # DEPENDENCYPART_ARC
(26,30),-1.6645 # DEPENDENCYPART_ARC
(26,31),-1.60188 # DEPENDENCYPART_ARC
(26,32),-1.48141 # DEPENDENCYPART_ARC
(27,25),-1.35776 # DEPENDENCYPART_ARC
(27,26),-0.593732 # DEPENDENCYPART_ARC
(28,15),-2.01726 # DEPENDENCYPART_ARC
(28,18),-1.493 # DEPENDENCYPART_ARC
(28,20),-1.70899 # DEPENDENCYPART_ARC
(28,21),-1.3887 # DEPENDENCYPART_ARC
(28,25),-0.158267 # DEPENDENCYPART_ARC
(28,26),0.44864 # DEPENDENCYPART_ARC
(28,27),1.68743 # DEPENDENCYPART_ARC
(28,29),-0.684156 # DEPENDENCYPART_ARC
(28,30),-1.3637 # DEPENDENCYPART_ARC
(28,31),-1.58778 # DEPENDENCYPART_ARC
(29,1),-1.71998 # DEPENDENCYPART_ARC
(29,2),-1.62081 # DEPENDENCYPART_ARC
(29,3),-1.80261 # DEPENDENCYPART_ARC
(29,5),-2.1551 # DEPENDENCYPART_ARC
(29,8),-1.35699 # DEPENDENCYPART_ARC
(29,9),-0.870957 # DEPENDENCYPART_ARC
(29,12),-1.54793 # DEPENDENCYPART_ARC
(29,13),-1.99508 # DEPENDENCYPART_ARC
(29,14),-0.589149 # DEPENDENCYPART_ARC
(29,15),-1.82448 # DEPENDENCYPART_ARC
(29,16),-1.70562 # DEPENDENCYPART_ARC
(29,18),-1.4845 # DEPENDENCYPART_ARC
(29,19),-0.910157 # DEPENDENCYPART_ARC
(29,20),-1.51719 # DEPENDENCYPART_ARC
(29,21),-0.880917 # DEPENDENCYPART_ARC
(29,22),-1.61986 # DEPENDENCYPART_ARC
(29,23),-1.18836 # DEPENDENCYPART_ARC
(29,25),-1.39382 # DEPENDENCYPART_ARC
(29,26),-1.20317 # DEPENDENCYPART_ARC
(29,27),-1.00657 # DEPENDENCYPART_ARC
(29,28),0.439647 # DEPENDENCYPART_ARC
(29,30),0.566506 # DEPENDENCYPART_ARC
(29,31),0.291611 # DEPENDENCYPART_ARC
(29,32),0.322159 # DEPENDENCYPART_ARC
(30,28),-1.42814 # DEPENDENCYPART_ARC
(30,31),-0.377437 # DEPENDENCYPART_ARC
(31,25),-1.70815 # DEPENDENCYPART_ARC
(31,26),-1.30638 # DEPENDENCYPART_ARC
(31,27),-1.04847 # DEPENDENCYPART_ARC
(31,28),-0.85512 # DEPENDENCYPART_ARC
(31,30),1.08576 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0534397 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.130014 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.12998 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.1304 # DEPENDENCYPART_SIBL
(0,1),(0,29),-0.131508 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.130056 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.130022 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.130442 # DEPENDENCYPART_SIBL
(0,2),(0,29),-0.13155 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.221787 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.221266 # DEPENDENCYPART_SIBL
(0,5),(0,29),-0.221448 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.224908 # DEPENDENCYPART_SIBL
(0,17),(0,29),-0.225068 # DEPENDENCYPART_SIBL
(0,22),(0,29),-0.221448 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0742122 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0491091 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0487534 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0293635 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0282385 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0866273 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.019744 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.00534939 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0855115 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0231244 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0274165 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0720096 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.05258 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.00673317 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0150066 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0724796 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.233723 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0417574 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0467021 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0582868 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0813871 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0611206 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0640993 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.00839185 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0360593 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0743994 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0640993 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.0628501 # DEPENDENCYPART_SIBL
(2,1),(2,32),0.0477739 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0899017 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0242111 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0422114 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00452684 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0809799 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.00952408 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0482695 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.00463104 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0408103 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0349247 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.0482695 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.566853 # DEPENDENCYPART_SIBL
(2,3),(2,32),-0.0648467 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0170703 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0586781 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0249069 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0658911 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0252279 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.165399 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0779471 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.012655 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0372058 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.165399 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.145579 # DEPENDENCYPART_SIBL
(2,4),(2,32),0.0844606 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0204822 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0489556 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0066485 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0457437 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0537162 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0109937 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.070751 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0332923 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.0537162 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.0157959 # DEPENDENCYPART_SIBL
(2,5),(2,32),0.0031794 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.026061 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0135915 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0134913 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0242974 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0303622 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0243404 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.0395269 # DEPENDENCYPART_SIBL
(2,6),(2,23),-0.0242974 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.00508938 # DEPENDENCYPART_SIBL
(2,6),(2,32),0.0385378 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0157389 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.09761 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0374079 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0222925 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0182564 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.0048011 # DEPENDENCYPART_SIBL
(2,8),(2,23),0.0374079 # DEPENDENCYPART_SIBL
(2,8),(2,24),0.016044 # DEPENDENCYPART_SIBL
(2,8),(2,32),0.0727383 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.00467393 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0259583 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.027917 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.00977158 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0362962 # DEPENDENCYPART_SIBL
(2,9),(2,23),-0.0259583 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.0484544 # DEPENDENCYPART_SIBL
(2,9),(2,32),0.0353645 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0220305 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0133398 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.0155627 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.0064701 # DEPENDENCYPART_SIBL
(2,12),(2,23),0.0220305 # DEPENDENCYPART_SIBL
(2,12),(2,24),0.0303715 # DEPENDENCYPART_SIBL
(2,12),(2,32),0.0743348 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.082162 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0207914 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.0186987 # DEPENDENCYPART_SIBL
(2,13),(2,23),0.0451474 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.0507437 # DEPENDENCYPART_SIBL
(2,13),(2,32),0.0317814 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.0113935 # DEPENDENCYPART_SIBL
(2,14),(2,20),-0.0288352 # DEPENDENCYPART_SIBL
(2,14),(2,23),0.00074567 # DEPENDENCYPART_SIBL
(2,14),(2,24),0.0220652 # DEPENDENCYPART_SIBL
(2,14),(2,32),0.112661 # DEPENDENCYPART_SIBL
(2,17),(2,20),-0.0398686 # DEPENDENCYPART_SIBL
(2,17),(2,23),0.0164008 # DEPENDENCYPART_SIBL
(2,17),(2,24),0.0155966 # DEPENDENCYPART_SIBL
(2,17),(2,32),0.0171137 # DEPENDENCYPART_SIBL
(2,20),(2,23),-0.0242994 # DEPENDENCYPART_SIBL
(2,20),(2,24),-0.0159622 # DEPENDENCYPART_SIBL
(2,20),(2,32),0.0198282 # DEPENDENCYPART_SIBL
(2,23),(2,24),0.0507437 # DEPENDENCYPART_SIBL
(2,23),(2,32),0.0317814 # DEPENDENCYPART_SIBL
(2,24),(2,32),-0.0680389 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.00496977 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0721833 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0351574 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0642894 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0301644 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0641413 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0284248 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.042974 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.108465 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0352259 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.036192 # DEPENDENCYPART_SIBL
(3,1),(3,29),-0.0341813 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0654281 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0357123 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0713746 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0327479 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0481512 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0310083 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.058909 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.101909 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0357807 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0367468 # DEPENDENCYPART_SIBL
(3,2),(3,29),-0.0347362 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.163011 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.147648 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.18422 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.177756 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.187338 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.211737 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.233236 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.163396 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.163021 # DEPENDENCYPART_SIBL
(3,4),(3,29),-0.165855 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0332306 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0562995 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0278538 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0565214 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0737709 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0457663 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0766536 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0760271 # DEPENDENCYPART_SIBL
(3,5),(3,29),-0.0776412 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0185493 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0114178 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.00940746 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.058265 # DEPENDENCYPART_SIBL
