# _root_ For example , Halliburton jumped 3 1\/4 to 38 , Schlumberger rose 2 1\/2 to 43 1\/4 and Baker Hughes rose 1 1\/8 to 22 .
#goldHeads=0,1,1,5,1,7,5,5,8,5,12,5,14,12,12,17,15,12,20,21,18,23,21,21,24,1,
#predictedHeads=5,1,5,5,0,7,5,5,8,5,12,5,14,12,12,17,15,12,20,21,18,23,21,21,24,5,
(14,9),-1.23537 # DEPENDENCYPART_ARC
(14,11),-1.54924 # DEPENDENCYPART_ARC
(14,12),-1.07086 # DEPENDENCYPART_ARC
(14,13),0.966539 # DEPENDENCYPART_ARC
(14,15),-0.304253 # DEPENDENCYPART_ARC
(14,16),-1.27948 # DEPENDENCYPART_ARC
(14,17),-1.61759 # DEPENDENCYPART_ARC
(14,18),-1.49936 # DEPENDENCYPART_ARC
(14,21),-1.56588 # DEPENDENCYPART_ARC
(15,13),-1.75239 # DEPENDENCYPART_ARC
(15,14),-0.649674 # DEPENDENCYPART_ARC
(15,16),-0.426043 # DEPENDENCYPART_ARC
(15,17),-1.05935 # DEPENDENCYPART_ARC
(15,18),-1.32309 # DEPENDENCYPART_ARC
(15,19),-1.70418 # DEPENDENCYPART_ARC
(15,20),-1.79842 # DEPENDENCYPART_ARC
(15,21),-1.91799 # DEPENDENCYPART_ARC
(15,22),-2.38089 # DEPENDENCYPART_ARC
(15,23),-2.23252 # DEPENDENCYPART_ARC
(15,25),-2.36161 # DEPENDENCYPART_ARC
(16,13),-1.48169 # DEPENDENCYPART_ARC
(16,14),-1.22374 # DEPENDENCYPART_ARC
(16,15),-0.425027 # DEPENDENCYPART_ARC
(16,17),-0.491387 # DEPENDENCYPART_ARC
(16,18),-1.14643 # DEPENDENCYPART_ARC
(16,20),-1.7499 # DEPENDENCYPART_ARC
(16,21),-1.54981 # DEPENDENCYPART_ARC
(17,1),-1.50796 # DEPENDENCYPART_ARC
(17,5),-1.59124 # DEPENDENCYPART_ARC
(17,6),-1.38863 # DEPENDENCYPART_ARC
(17,9),-1.41157 # DEPENDENCYPART_ARC
(17,13),-0.797613 # DEPENDENCYPART_ARC
(17,14),-0.870342 # DEPENDENCYPART_ARC
(17,15),-0.83553 # DEPENDENCYPART_ARC
(17,16),1.04559 # DEPENDENCYPART_ARC
(17,18),0.16895 # DEPENDENCYPART_ARC
(17,19),-1.05536 # DEPENDENCYPART_ARC
(17,20),-1.23672 # DEPENDENCYPART_ARC
(17,21),-1.1501 # DEPENDENCYPART_ARC
(17,24),-1.70966 # DEPENDENCYPART_ARC
(18,17),-0.74494 # DEPENDENCYPART_ARC
(18,19),0.178053 # DEPENDENCYPART_ARC
(18,20),-0.680688 # DEPENDENCYPART_ARC
(18,21),-0.768309 # DEPENDENCYPART_ARC
(18,22),-1.47301 # DEPENDENCYPART_ARC
(18,23),-1.62859 # DEPENDENCYPART_ARC
(18,24),-1.47164 # DEPENDENCYPART_ARC
(18,25),-1.9763 # DEPENDENCYPART_ARC
(19,20),-0.375303 # DEPENDENCYPART_ARC
(19,22),-1.77945 # DEPENDENCYPART_ARC
(20,11),-2.00872 # DEPENDENCYPART_ARC
(20,15),-1.82778 # DEPENDENCYPART_ARC
(20,16),-1.62064 # DEPENDENCYPART_ARC
(20,17),-1.42202 # DEPENDENCYPART_ARC
(20,19),1.28858 # DEPENDENCYPART_ARC
(20,21),-0.567866 # DEPENDENCYPART_ARC
(20,22),-1.30384 # DEPENDENCYPART_ARC
(20,23),-1.7926 # DEPENDENCYPART_ARC
(20,25),-2.14776 # DEPENDENCYPART_ARC
(21,1),-1.28788 # DEPENDENCYPART_ARC
(21,2),-2.34896 # DEPENDENCYPART_ARC
(21,3),-2.12182 # DEPENDENCYPART_ARC
(21,4),-1.97313 # DEPENDENCYPART_ARC
(21,5),-2.13153 # DEPENDENCYPART_ARC
(21,7),-1.97748 # DEPENDENCYPART_ARC
(21,8),-1.66829 # DEPENDENCYPART_ARC
(21,9),-1.92462 # DEPENDENCYPART_ARC
(21,10),-1.75273 # DEPENDENCYPART_ARC
(21,11),-1.63724 # DEPENDENCYPART_ARC
(21,12),-1.89617 # DEPENDENCYPART_ARC
(21,13),-1.77757 # DEPENDENCYPART_ARC
(21,14),-1.70634 # DEPENDENCYPART_ARC
(21,15),-1.43278 # DEPENDENCYPART_ARC
(21,16),-1.61816 # DEPENDENCYPART_ARC
(21,17),-1.51144 # DEPENDENCYPART_ARC
(21,18),-1.1266 # DEPENDENCYPART_ARC
(21,19),-0.896962 # DEPENDENCYPART_ARC
(21,20),0.147827 # DEPENDENCYPART_ARC
(21,22),0.425892 # DEPENDENCYPART_ARC
(21,23),-0.25547 # DEPENDENCYPART_ARC
(21,24),0.222795 # DEPENDENCYPART_ARC
(21,25),-1.30503 # DEPENDENCYPART_ARC
(21,26),-0.316276 # DEPENDENCYPART_ARC
(22,20),-1.68066 # DEPENDENCYPART_ARC
(22,23),-0.773737 # DEPENDENCYPART_ARC
(22,24),-1.49268 # DEPENDENCYPART_ARC
(22,25),-1.91524 # DEPENDENCYPART_ARC
(23,13),-1.32053 # DEPENDENCYPART_ARC
(23,14),-1.71263 # DEPENDENCYPART_ARC
(23,15),-1.85077 # DEPENDENCYPART_ARC
(23,16),-1.11437 # DEPENDENCYPART_ARC
(23,17),-1.44934 # DEPENDENCYPART_ARC
(23,20),-1.54696 # DEPENDENCYPART_ARC
(23,22),0.965818 # DEPENDENCYPART_ARC
(23,24),-0.381953 # DEPENDENCYPART_ARC
(23,25),-1.36825 # DEPENDENCYPART_ARC
(24,22),-1.77104 # DEPENDENCYPART_ARC
(24,23),-0.669917 # DEPENDENCYPART_ARC
(24,25),-0.0351191 # DEPENDENCYPART_ARC
(25,16),-1.72452 # DEPENDENCYPART_ARC
(25,22),-1.12258 # DEPENDENCYPART_ARC
(25,23),-0.894039 # DEPENDENCYPART_ARC
(25,24),-0.232412 # DEPENDENCYPART_ARC
(26,25),-0.690274 # DEPENDENCYPART_ARC
(0,1),(0,5),-0.138855 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.135312 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.135312 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.224333 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.224333 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.224457 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.050888 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0919452 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0537239 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.304154 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0228363 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0219218 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0335522 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.172581 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0737078 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0778993 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.297158 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0578473 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.207354 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0559389 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.0274384 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0725409 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0526566 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0358962 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00742631 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00624244 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0898699 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0725409 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0652778 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00116071 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00928055 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00275386 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00272268 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0256022 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0249177 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0196456 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00453113 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00104708 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.000738347 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.008492 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0054853 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0052381 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00521356 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00639837 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00930743 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0118104 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0283714 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0130786 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0139789 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0241779 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0164057 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.00736191 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.00181629 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0148404 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.00998041 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.00496909 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0196456 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0273458 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0182239 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0113501 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0139646 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0180832 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0846517 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0565708 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00788487 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0164771 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0965847 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.096072 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0195394 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.00819159 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0125231 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.102647 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0988738 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0587094 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.113079 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0429356 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0427161 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0360198 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.00402772 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.000728532 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0749652 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00798874 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0565329 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.000476669 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0647473 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0173175 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.056152 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0165311 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00106293 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.00659319 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0967678 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.00569089 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0420978 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0422466 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.00139619 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.00683215 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0967678 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0667984 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0422466 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.00139619 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.0261415 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.0967678 # DEPENDENCYPART_SIBL
(5,1),(5,26),0.092638 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00656248 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0631207 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.012538 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00373846 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.135751 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0120281 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0338443 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.00059145 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0317872 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0060193 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.135751 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.0395896 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.000591647 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.0317872 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.0150668 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.135751 # DEPENDENCYPART_SIBL
(5,2),(5,26),0.0511005 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.013256 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0317609 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00756269 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0680756 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0223381 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0562639 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.00783886 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0563757 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0454776 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0680756 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0531208 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.00783886 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.0563757 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.0613531 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.0680756 # DEPENDENCYPART_SIBL
(5,3),(5,26),0.0989702 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0014739 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0105827 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.100639 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.00159383 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.00899785 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.00927226 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0146752 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.018047 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.100639 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.00318339 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.00927336 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0146752 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.00972945 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.100639 # DEPENDENCYPART_SIBL
(5,4),(5,26),0.0236751 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0601749 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00333758 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0582229 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0290909 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0420863 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.00422882 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0665472 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.00333758 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.00947331 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.0420863 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.00422882 # DEPENDENCYPART_SIBL
(5,6),(5,23),-0.0594805 # DEPENDENCYPART_SIBL
(5,6),(5,24),-0.00333758 # DEPENDENCYPART_SIBL
(5,6),(5,26),-0.0519549 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0347841 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0537925 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0194328 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0283021 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0257416 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0574168 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0347841 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.0538083 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0283021 # DEPENDENCYPART_SIBL
(5,7),(5,21),0.0257416 # DEPENDENCYPART_SIBL
(5,7),(5,23),-0.0556146 # DEPENDENCYPART_SIBL
(5,7),(5,24),0.0347841 # DEPENDENCYPART_SIBL
(5,7),(5,26),-0.0130575 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0143575 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.00719397 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0688734 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0341205 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0200901 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.157971 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.078662 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.0688812 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.0341205 # DEPENDENCYPART_SIBL
(5,8),(5,23),-0.0186498 # DEPENDENCYPART_SIBL
(5,8),(5,24),-0.157971 # DEPENDENCYPART_SIBL
(5,8),(5,26),0.0575779 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0377009 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0409828 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.00489252 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0723316 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.00618715 # DEPENDENCYPART_SIBL
(5,9),(5,18),0.00663164 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.0409828 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.00489252 # DEPENDENCYPART_SIBL
(5,9),(5,23),-0.0699649 # DEPENDENCYPART_SIBL
(5,9),(5,24),0.00618715 # DEPENDENCYPART_SIBL
(5,9),(5,26),-0.0441854 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0754989 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0558046 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0627598 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.00902883 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.0282439 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.0743679 # DEPENDENCYPART_SIBL
(5,10),(5,21),0.0558046 # DEPENDENCYPART_SIBL
(5,10),(5,23),-0.0637268 # DEPENDENCYPART_SIBL
(5,10),(5,24),0.00902883 # DEPENDENCYPART_SIBL
(5,10),(5,26),0.00623498 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0128403 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0280486 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.0257812 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.00029326 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.0397933 # DEPENDENCYPART_SIBL
