# _root_ Grinned Griffith Peck , a trader in Shearson Lehman Hutton Inc. 's OTC department : `` I tell you , this market acts healthy . ''
#goldHeads=0,3,1,3,6,3,6,11,11,11,14,11,14,7,1,1,18,1,18,18,22,23,18,23,1,1,
#predictedHeads=0,3,1,3,6,3,6,11,11,11,14,11,14,7,1,1,18,1,18,18,22,23,18,23,1,1,
(2,20),-2.34313 # DEPENDENCYPART_ARC
(2,25),-2.28068 # DEPENDENCYPART_ARC
(2,26),-1.37542 # DEPENDENCYPART_ARC
(3,1),-0.967135 # DEPENDENCYPART_ARC
(3,2),1.51702 # DEPENDENCYPART_ARC
(3,4),0.617901 # DEPENDENCYPART_ARC
(3,5),-1.15569 # DEPENDENCYPART_ARC
(3,6),-0.780202 # DEPENDENCYPART_ARC
(3,7),-1.55238 # DEPENDENCYPART_ARC
(3,8),-2.10056 # DEPENDENCYPART_ARC
(3,9),-2.39565 # DEPENDENCYPART_ARC
(3,10),-2.46246 # DEPENDENCYPART_ARC
(3,11),-2.71047 # DEPENDENCYPART_ARC
(3,12),-2.72506 # DEPENDENCYPART_ARC
(3,13),-2.65678 # DEPENDENCYPART_ARC
(3,14),-2.15973 # DEPENDENCYPART_ARC
(3,15),-1.49148 # DEPENDENCYPART_ARC
(3,16),-1.918 # DEPENDENCYPART_ARC
(3,17),-1.96252 # DEPENDENCYPART_ARC
(3,18),-1.7063 # DEPENDENCYPART_ARC
(3,19),-1.98931 # DEPENDENCYPART_ARC
(3,20),-1.63506 # DEPENDENCYPART_ARC
(3,22),-2.66175 # DEPENDENCYPART_ARC
(3,23),-2.12186 # DEPENDENCYPART_ARC
(3,25),-1.87985 # DEPENDENCYPART_ARC
(3,26),-1.00589 # DEPENDENCYPART_ARC
(4,6),-1.02147 # DEPENDENCYPART_ARC
(5,4),-0.770897 # DEPENDENCYPART_ARC
(5,7),-1.25561 # DEPENDENCYPART_ARC
(6,2),-1.50906 # DEPENDENCYPART_ARC
(6,3),-1.49835 # DEPENDENCYPART_ARC
(6,4),-1.19046 # DEPENDENCYPART_ARC
(6,5),1.27774 # DEPENDENCYPART_ARC
(6,7),0.323434 # DEPENDENCYPART_ARC
(6,8),-1.1444 # DEPENDENCYPART_ARC
(6,9),-1.19317 # DEPENDENCYPART_ARC
(6,10),-1.39952 # DEPENDENCYPART_ARC
(6,11),-1.54001 # DEPENDENCYPART_ARC
(6,12),-2.16386 # DEPENDENCYPART_ARC
(6,13),-1.81115 # DEPENDENCYPART_ARC
(6,14),-1.97031 # DEPENDENCYPART_ARC
(6,15),-1.27761 # DEPENDENCYPART_ARC
(6,16),-1.462 # DEPENDENCYPART_ARC
(6,18),-1.64397 # DEPENDENCYPART_ARC
(6,20),-2.02044 # DEPENDENCYPART_ARC
(6,22),-2.17225 # DEPENDENCYPART_ARC
(6,23),-1.99638 # DEPENDENCYPART_ARC
(6,24),-2.16068 # DEPENDENCYPART_ARC
(6,25),-1.7428 # DEPENDENCYPART_ARC
(6,26),-1.15769 # DEPENDENCYPART_ARC
(7,4),-2.00177 # DEPENDENCYPART_ARC
(7,6),-0.979227 # DEPENDENCYPART_ARC
(7,8),0.0653083 # DEPENDENCYPART_ARC
(7,9),-0.65818 # DEPENDENCYPART_ARC
(7,10),-1.24513 # DEPENDENCYPART_ARC
(7,11),-1.6092 # DEPENDENCYPART_ARC
(7,13),-1.82757 # DEPENDENCYPART_ARC
(7,14),-1.10152 # DEPENDENCYPART_ARC
(7,15),-1.39005 # DEPENDENCYPART_ARC
(7,18),-1.47334 # DEPENDENCYPART_ARC
(7,25),-1.44455 # DEPENDENCYPART_ARC
(8,9),-0.79162 # DEPENDENCYPART_ARC
(9,8),-0.0777313 # DEPENDENCYPART_ARC
(9,10),-0.666725 # DEPENDENCYPART_ARC
(9,11),-1.85234 # DEPENDENCYPART_ARC
(9,12),-2.24318 # DEPENDENCYPART_ARC
(9,14),-2.04645 # DEPENDENCYPART_ARC
(10,2),-2.56908 # DEPENDENCYPART_ARC
(10,3),-3.0452 # DEPENDENCYPART_ARC
(10,5),-2.1417 # DEPENDENCYPART_ARC
(10,6),-1.48716 # DEPENDENCYPART_ARC
(10,7),-1.70898 # DEPENDENCYPART_ARC
(10,8),-0.4278 # DEPENDENCYPART_ARC
(10,9),0.33812 # DEPENDENCYPART_ARC
(10,11),-0.377464 # DEPENDENCYPART_ARC
(10,12),-1.03667 # DEPENDENCYPART_ARC
(10,13),-1.82385 # DEPENDENCYPART_ARC
(10,14),-1.48074 # DEPENDENCYPART_ARC
(10,15),-1.60606 # DEPENDENCYPART_ARC
(10,16),-1.95786 # DEPENDENCYPART_ARC
(10,17),-1.83363 # DEPENDENCYPART_ARC
(10,18),-1.83443 # DEPENDENCYPART_ARC
(10,19),-1.94025 # DEPENDENCYPART_ARC
(10,20),-2.00687 # DEPENDENCYPART_ARC
(10,22),-2.52779 # DEPENDENCYPART_ARC
(10,23),-2.09362 # DEPENDENCYPART_ARC
(10,25),-1.82029 # DEPENDENCYPART_ARC
(10,26),-1.48923 # DEPENDENCYPART_ARC
(11,2),-1.64207 # DEPENDENCYPART_ARC
(11,6),-1.51028 # DEPENDENCYPART_ARC
(11,7),-1.75669 # DEPENDENCYPART_ARC
(11,8),-0.015885 # DEPENDENCYPART_ARC
(11,9),0.264228 # DEPENDENCYPART_ARC
(11,10),1.76708 # DEPENDENCYPART_ARC
(11,12),1.30166 # DEPENDENCYPART_ARC
(11,13),-1.4618 # DEPENDENCYPART_ARC
(12,13),-0.59879 # DEPENDENCYPART_ARC
(13,8),-2.02403 # DEPENDENCYPART_ARC
(13,9),-1.95653 # DEPENDENCYPART_ARC
(13,10),-1.66397 # DEPENDENCYPART_ARC
(13,11),-1.03211 # DEPENDENCYPART_ARC
(13,12),-0.518075 # DEPENDENCYPART_ARC
(13,15),-1.25693 # DEPENDENCYPART_ARC
(13,16),-1.80699 # DEPENDENCYPART_ARC
(13,18),-1.80188 # DEPENDENCYPART_ARC
(14,2),-1.99945 # DEPENDENCYPART_ARC
(14,3),-2.16148 # DEPENDENCYPART_ARC
(14,5),-1.7031 # DEPENDENCYPART_ARC
(14,6),-1.93149 # DEPENDENCYPART_ARC
(14,7),-1.34795 # DEPENDENCYPART_ARC
(14,8),-1.05906 # DEPENDENCYPART_ARC
(14,9),-0.556068 # DEPENDENCYPART_ARC
(14,10),-0.438883 # DEPENDENCYPART_ARC
(14,11),-0.0353402 # DEPENDENCYPART_ARC
(14,12),-0.492104 # DEPENDENCYPART_ARC
(14,13),1.57481 # DEPENDENCYPART_ARC
(14,15),-0.0433692 # DEPENDENCYPART_ARC
(14,16),-1.31817 # DEPENDENCYPART_ARC
(14,17),-1.48581 # DEPENDENCYPART_ARC
(14,18),-1.42516 # DEPENDENCYPART_ARC
(14,19),-1.80375 # DEPENDENCYPART_ARC
(14,20),-1.884 # DEPENDENCYPART_ARC
(14,22),-1.72464 # DEPENDENCYPART_ARC
(14,23),-1.91595 # DEPENDENCYPART_ARC
(14,24),-2.30206 # DEPENDENCYPART_ARC
(14,25),-1.61919 # DEPENDENCYPART_ARC
(14,26),-1.57325 # DEPENDENCYPART_ARC
(15,14),-0.735291 # DEPENDENCYPART_ARC
(15,16),-0.421776 # DEPENDENCYPART_ARC
(15,18),-1.32431 # DEPENDENCYPART_ARC
(16,17),-0.393792 # DEPENDENCYPART_ARC
(17,16),-0.654902 # DEPENDENCYPART_ARC
(17,19),-1.28786 # DEPENDENCYPART_ARC
(17,22),-1.6519 # DEPENDENCYPART_ARC
(18,1),-1.9829 # DEPENDENCYPART_ARC
(18,3),-1.70236 # DEPENDENCYPART_ARC
(18,4),-1.6836 # DEPENDENCYPART_ARC
(18,6),-1.37824 # DEPENDENCYPART_ARC
(18,7),-1.47371 # DEPENDENCYPART_ARC
(18,8),-1.44984 # DEPENDENCYPART_ARC
(18,9),-1.64599 # DEPENDENCYPART_ARC
(18,10),-1.67855 # DEPENDENCYPART_ARC
(18,11),-1.69318 # DEPENDENCYPART_ARC
(18,12),-1.50884 # DEPENDENCYPART_ARC
(18,13),-1.61684 # DEPENDENCYPART_ARC
(18,14),-1.19365 # DEPENDENCYPART_ARC
(18,15),-1.01136 # DEPENDENCYPART_ARC
(18,16),-0.709254 # DEPENDENCYPART_ARC
(18,17),0.886937 # DEPENDENCYPART_ARC
(18,19),0.760187 # DEPENDENCYPART_ARC
(18,20),-0.375651 # DEPENDENCYPART_ARC
(18,21),-0.848019 # DEPENDENCYPART_ARC
(18,22),-0.597664 # DEPENDENCYPART_ARC
(18,23),-0.600872 # DEPENDENCYPART_ARC
(18,24),-1.10538 # DEPENDENCYPART_ARC
(18,25),-0.463069 # DEPENDENCYPART_ARC
(18,26),-0.673909 # DEPENDENCYPART_ARC
(19,20),-0.342622 # DEPENDENCYPART_ARC
(19,21),-1.43983 # DEPENDENCYPART_ARC
(19,22),-1.36499 # DEPENDENCYPART_ARC
(19,23),-1.59434 # DEPENDENCYPART_ARC
(19,24),-2.0788 # DEPENDENCYPART_ARC
(21,19),-1.63769 # DEPENDENCYPART_ARC
(21,23),-0.929438 # DEPENDENCYPART_ARC
(21,24),-1.55295 # DEPENDENCYPART_ARC
(22,19),-1.68451 # DEPENDENCYPART_ARC
(22,20),-1.2343 # DEPENDENCYPART_ARC
(22,21),0.969449 # DEPENDENCYPART_ARC
(22,23),-0.147789 # DEPENDENCYPART_ARC
(22,24),-1.37345 # DEPENDENCYPART_ARC
(23,1),-1.4856 # DEPENDENCYPART_ARC
(23,3),-1.77683 # DEPENDENCYPART_ARC
(23,4),-1.89463 # DEPENDENCYPART_ARC
(23,6),-1.09801 # DEPENDENCYPART_ARC
(23,7),-1.25978 # DEPENDENCYPART_ARC
(23,8),-1.79264 # DEPENDENCYPART_ARC
(23,10),-1.71365 # DEPENDENCYPART_ARC
(23,11),-1.85428 # DEPENDENCYPART_ARC
(23,12),-1.58658 # DEPENDENCYPART_ARC
(23,13),-1.63417 # DEPENDENCYPART_ARC
(23,14),-1.21644 # DEPENDENCYPART_ARC
(23,15),-1.41537 # DEPENDENCYPART_ARC
(23,16),-1.0696 # DEPENDENCYPART_ARC
(23,17),-1.83344 # DEPENDENCYPART_ARC
(23,18),-1.20051 # DEPENDENCYPART_ARC
(23,19),-1.53221 # DEPENDENCYPART_ARC
(23,20),-0.719466 # DEPENDENCYPART_ARC
(23,21),-0.703649 # DEPENDENCYPART_ARC
(23,22),0.826768 # DEPENDENCYPART_ARC
(23,24),0.612122 # DEPENDENCYPART_ARC
(23,25),-0.154914 # DEPENDENCYPART_ARC
(23,26),-0.839513 # DEPENDENCYPART_ARC
(24,19),-1.95891 # DEPENDENCYPART_ARC
(24,21),-1.30092 # DEPENDENCYPART_ARC
(24,22),-1.06319 # DEPENDENCYPART_ARC
(24,23),-0.0894811 # DEPENDENCYPART_ARC
(24,25),-0.496041 # DEPENDENCYPART_ARC
(24,26),-1.23137 # DEPENDENCYPART_ARC
(25,24),-0.708024 # DEPENDENCYPART_ARC
(25,26),-0.553205 # DEPENDENCYPART_ARC
(26,24),-1.58306 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0676869 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.137064 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0799866 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.038612 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00383153 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0401808 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.000746528 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0386554 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0389144 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0493367 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0355623 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0314171 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0328056 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0128013 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0216296 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0303967 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.0372674 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.00383153 # DEPENDENCYPART_SIBL
(1,2),(1,22),-0.0368247 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.0152265 # DEPENDENCYPART_SIBL
(1,2),(1,24),-0.00381395 # DEPENDENCYPART_SIBL
(1,2),(1,25),0.00736785 # DEPENDENCYPART_SIBL
(1,2),(1,26),-0.0282203 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.000764917 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0426901 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.00205597 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0395111 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0397701 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0501924 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.036418 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0322729 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0353149 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.013657 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.0224853 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.0312525 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0381231 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.000764917 # DEPENDENCYPART_SIBL
(1,3),(1,22),-0.039334 # DEPENDENCYPART_SIBL
(1,3),(1,23),-0.0160823 # DEPENDENCYPART_SIBL
(1,3),(1,24),-0.0046697 # DEPENDENCYPART_SIBL
(1,3),(1,25),0.00653995 # DEPENDENCYPART_SIBL
(1,3),(1,26),-0.0290761 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0196605 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.00688022 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.06601 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0618472 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0999035 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0155782 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0484629 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0164247 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0174409 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0495803 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.00691181 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.0357464 # DEPENDENCYPART_SIBL
(1,4),(1,20),-0.0143345 # DEPENDENCYPART_SIBL
(1,4),(1,22),-0.0168044 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.000925791 # DEPENDENCYPART_SIBL
(1,4),(1,24),0.00260464 # DEPENDENCYPART_SIBL
(1,4),(1,25),0.0180947 # DEPENDENCYPART_SIBL
(1,4),(1,26),0.0332039 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.00488224 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0357735 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0361188 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0374167 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0193484 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0332108 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0443582 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0167762 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.00530343 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.0356717 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.041592 # DEPENDENCYPART_SIBL
(1,6),(1,20),0.0180841 # DEPENDENCYPART_SIBL
(1,6),(1,22),-0.055186 # DEPENDENCYPART_SIBL
(1,6),(1,23),-0.0169125 # DEPENDENCYPART_SIBL
(1,6),(1,24),-0.0156051 # DEPENDENCYPART_SIBL
(1,6),(1,25),0.036667 # DEPENDENCYPART_SIBL
(1,6),(1,26),-0.00258699 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0250012 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0260971 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0276844 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.016594 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.0255285 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0190402 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.0237697 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.0708846 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.0323393 # DEPENDENCYPART_SIBL
(1,7),(1,19),-0.0535221 # DEPENDENCYPART_SIBL
(1,7),(1,20),0.0152025 # DEPENDENCYPART_SIBL
(1,7),(1,22),-0.0129206 # DEPENDENCYPART_SIBL
(1,7),(1,23),0.00774617 # DEPENDENCYPART_SIBL
(1,7),(1,24),0.00168373 # DEPENDENCYPART_SIBL
(1,7),(1,25),-0.015329 # DEPENDENCYPART_SIBL
(1,7),(1,26),-0.0163594 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.038934 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0493496 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0355628 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0314301 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.0328104 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0128018 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.0216301 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.0303972 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.0372679 # DEPENDENCYPART_SIBL
(1,9),(1,20),-0.00384461 # DEPENDENCYPART_SIBL
(1,9),(1,22),-0.0368294 # DEPENDENCYPART_SIBL
(1,9),(1,23),-0.015227 # DEPENDENCYPART_SIBL
(1,9),(1,24),-0.00381443 # DEPENDENCYPART_SIBL
(1,9),(1,25),0.00725563 # DEPENDENCYPART_SIBL
(1,9),(1,26),-0.0282208 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0502063 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.0361442 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.0322867 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.0333934 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.0133831 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.0222115 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.0309786 # DEPENDENCYPART_SIBL
(1,10),(1,19),-0.0378493 # DEPENDENCYPART_SIBL
(1,10),(1,20),-0.00781209 # DEPENDENCYPART_SIBL
(1,10),(1,22),-0.0374125 # DEPENDENCYPART_SIBL
(1,10),(1,23),-0.0158085 # DEPENDENCYPART_SIBL
(1,10),(1,24),-0.00439582 # DEPENDENCYPART_SIBL
(1,10),(1,25),0.00668478 # DEPENDENCYPART_SIBL
(1,10),(1,26),-0.0288022 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.0507555 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.0106499 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.0042956 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.0259986 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.0348035 # DEPENDENCYPART_SIBL
(1,11),(1,18),-0.0386576 # DEPENDENCYPART_SIBL
(1,11),(1,19),-0.0438619 # DEPENDENCYPART_SIBL
(1,11),(1,20),-0.014326 # DEPENDENCYPART_SIBL
(1,11),(1,22),-0.00759355 # DEPENDENCYPART_SIBL
(1,11),(1,23),-0.0114838 # DEPENDENCYPART_SIBL
(1,11),(1,24),-0.0127662 # DEPENDENCYPART_SIBL
(1,11),(1,25),0.0220006 # DEPENDENCYPART_SIBL
(1,11),(1,26),-0.0384128 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.0584614 # DEPENDENCYPART_SIBL
(1,12),(1,14),-0.0912098 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.0749165 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.0486092 # DEPENDENCYPART_SIBL
(1,12),(1,18),-0.0573181 # DEPENDENCYPART_SIBL
(1,12),(1,19),-0.0505113 # DEPENDENCYPART_SIBL
(1,12),(1,20),-0.0949085 # DEPENDENCYPART_SIBL
(1,12),(1,22),-0.0904117 # DEPENDENCYPART_SIBL
(1,12),(1,23),-0.0595731 # DEPENDENCYPART_SIBL
(1,12),(1,24),-0.0021196 # DEPENDENCYPART_SIBL
(1,12),(1,25),-0.0764635 # DEPENDENCYPART_SIBL
(1,12),(1,26),-0.0246827 # DEPENDENCYPART_SIBL
(1,13),(1,14),-0.028285 # DEPENDENCYPART_SIBL
(1,13),(1,15),-0.00906315 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.016354 # DEPENDENCYPART_SIBL
(1,13),(1,18),-0.0251306 # DEPENDENCYPART_SIBL
(1,13),(1,19),-0.0319918 # DEPENDENCYPART_SIBL
(1,13),(1,20),-0.00363363 # DEPENDENCYPART_SIBL
(1,13),(1,22),-0.0323041 # DEPENDENCYPART_SIBL
(1,13),(1,23),-0.0100576 # DEPENDENCYPART_SIBL
(1,13),(1,24),-0.000570857 # DEPENDENCYPART_SIBL
(1,13),(1,25),0.0256747 # DEPENDENCYPART_SIBL
(1,13),(1,26),-0.0229447 # DEPENDENCYPART_SIBL
(1,14),(1,15),-0.00703084 # DEPENDENCYPART_SIBL
(1,14),(1,16),0.0228377 # DEPENDENCYPART_SIBL
(1,14),(1,18),-0.0284594 # DEPENDENCYPART_SIBL
(1,14),(1,19),-0.0343793 # DEPENDENCYPART_SIBL
(1,14),(1,20),0.0203317 # DEPENDENCYPART_SIBL
(1,14),(1,22),-0.0421969 # DEPENDENCYPART_SIBL
(1,14),(1,23),-0.00828546 # DEPENDENCYPART_SIBL
(1,14),(1,24),-0.00857766 # DEPENDENCYPART_SIBL
(1,14),(1,25),0.0250113 # DEPENDENCYPART_SIBL
(1,14),(1,26),0.014978 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.161913 # DEPENDENCYPART_SIBL
(1,15),(1,18),0.0632684 # DEPENDENCYPART_SIBL
(1,15),(1,19),-0.0561878 # DEPENDENCYPART_SIBL
(1,15),(1,20),-0.0982018 # DEPENDENCYPART_SIBL
(1,15),(1,22),-0.0492086 # DEPENDENCYPART_SIBL
(1,15),(1,23),0.071505 # DEPENDENCYPART_SIBL
(1,15),(1,24),-0.0348379 # DEPENDENCYPART_SIBL
(1,15),(1,25),0.14122 # DEPENDENCYPART_SIBL
(1,15),(1,26),0.00274309 # DEPENDENCYPART_SIBL
(1,16),(1,18),0.0166947 # DEPENDENCYPART_SIBL
(1,16),(1,19),-0.0444536 # DEPENDENCYPART_SIBL
(1,16),(1,20),-0.0185448 # DEPENDENCYPART_SIBL
(1,16),(1,22),-0.0450454 # DEPENDENCYPART_SIBL
(1,16),(1,23),0.016362 # DEPENDENCYPART_SIBL
(1,16),(1,24),0.00647947 # DEPENDENCYPART_SIBL
(1,16),(1,25),0.0426389 # DEPENDENCYPART_SIBL
(1,16),(1,26),0.112342 # DEPENDENCYPART_SIBL
(1,18),(1,19),-0.016484 # DEPENDENCYPART_SIBL
(1,18),(1,20),0.0339463 # DEPENDENCYPART_SIBL
(1,18),(1,22),-0.0239103 # DEPENDENCYPART_SIBL
(1,18),(1,23),-0.0465387 # DEPENDENCYPART_SIBL
(1,18),(1,24),-0.00581512 # DEPENDENCYPART_SIBL
(1,18),(1,25),0.0307155 # DEPENDENCYPART_SIBL
(1,18),(1,26),0.0446306 # DEPENDENCYPART_SIBL
(1,19),(1,20),-0.0251165 # DEPENDENCYPART_SIBL
(1,19),(1,22),-0.011658 # DEPENDENCYPART_SIBL
(1,19),(1,23),-0.0172665 # DEPENDENCYPART_SIBL
(1,19),(1,24),0.00811001 # DEPENDENCYPART_SIBL
(1,19),(1,25),-0.0247281 # DEPENDENCYPART_SIBL
(1,19),(1,26),-0.0667097 # DEPENDENCYPART_SIBL
(1,20),(1,22),-0.0168044 # DEPENDENCYPART_SIBL
(1,20),(1,23),-0.000925791 # DEPENDENCYPART_SIBL
(1,20),(1,24),0.00260464 # DEPENDENCYPART_SIBL
(1,20),(1,25),0.0180947 # DEPENDENCYPART_SIBL
(1,20),(1,26),0.0332039 # DEPENDENCYPART_SIBL
(1,22),(1,23),-0.00234348 # DEPENDENCYPART_SIBL
(1,22),(1,24),-0.00150463 # DEPENDENCYPART_SIBL
(1,22),(1,25),0.027482 # DEPENDENCYPART_SIBL
(1,22),(1,26),-0.000505241 # DEPENDENCYPART_SIBL
(1,23),(1,24),-0.045968 # DEPENDENCYPART_SIBL
(1,23),(1,25),-0.00497531 # DEPENDENCYPART_SIBL
(1,23),(1,26),-0.00299603 # DEPENDENCYPART_SIBL
(1,24),(1,25),-0.000918424 # DEPENDENCYPART_SIBL
(1,24),(1,26),0.0038934 # DEPENDENCYPART_SIBL
(1,25),(1,26),0.150338 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0509536 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0273064 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0286129 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0621591 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0342994 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0106504 # DEPENDENCYPART_SIBL
