# _root_ The average discount rate on new three-month Treasury bills was 7.37 % , the lowest since the average of 7.36 % at the auction on Oct. 17 , 1988 .
#goldHeads=4,4,4,10,4,9,9,9,5,0,12,10,12,15,12,15,18,16,18,21,19,18,24,22,24,25,26,26,26,10,
#predictedHeads=4,4,4,10,4,9,9,9,5,0,12,10,10,15,10,15,18,16,18,21,19,18,24,22,24,25,26,26,26,10,
(9,4),-1.15962 # DEPENDENCYPART_ARC
(9,5),-1.29719 # DEPENDENCYPART_ARC
(9,6),-0.145981 # DEPENDENCYPART_ARC
(9,7),0.252829 # DEPENDENCYPART_ARC
(9,8),1.74407 # DEPENDENCYPART_ARC
(9,10),-0.536731 # DEPENDENCYPART_ARC
(9,12),-1.50861 # DEPENDENCYPART_ARC
(9,13),-1.73957 # DEPENDENCYPART_ARC
(9,15),-1.96479 # DEPENDENCYPART_ARC
(9,16),-1.84994 # DEPENDENCYPART_ARC
(9,18),-2.19636 # DEPENDENCYPART_ARC
(9,30),-2.0736 # DEPENDENCYPART_ARC
(10,2),-1.49013 # DEPENDENCYPART_ARC
(10,3),-0.788529 # DEPENDENCYPART_ARC
(10,4),-0.387162 # DEPENDENCYPART_ARC
(10,5),-0.992258 # DEPENDENCYPART_ARC
(10,6),-1.31071 # DEPENDENCYPART_ARC
(10,7),-1.14341 # DEPENDENCYPART_ARC
(10,8),-1.03286 # DEPENDENCYPART_ARC
(10,9),0.26835 # DEPENDENCYPART_ARC
(10,11),0.280609 # DEPENDENCYPART_ARC
(10,12),-0.0114113 # DEPENDENCYPART_ARC
(10,13),-0.810403 # DEPENDENCYPART_ARC
(10,14),-1.30865 # DEPENDENCYPART_ARC
(10,15),-1.1137 # DEPENDENCYPART_ARC
(10,16),-0.73035 # DEPENDENCYPART_ARC
(10,18),-1.44732 # DEPENDENCYPART_ARC
(10,19),-1.3246 # DEPENDENCYPART_ARC
(10,21),-2.02332 # DEPENDENCYPART_ARC
(10,22),-1.43371 # DEPENDENCYPART_ARC
(10,25),-1.64579 # DEPENDENCYPART_ARC
(10,26),-2.19374 # DEPENDENCYPART_ARC
(10,28),-1.37665 # DEPENDENCYPART_ARC
(10,30),-0.126917 # DEPENDENCYPART_ARC
(11,5),-1.71398 # DEPENDENCYPART_ARC
(11,9),-1.26971 # DEPENDENCYPART_ARC
(11,12),-0.432098 # DEPENDENCYPART_ARC
(11,13),-1.33887 # DEPENDENCYPART_ARC
(11,14),-1.74857 # DEPENDENCYPART_ARC
(11,15),-1.74688 # DEPENDENCYPART_ARC
(11,16),-1.86869 # DEPENDENCYPART_ARC
(11,18),-1.99754 # DEPENDENCYPART_ARC
(12,2),-1.7746 # DEPENDENCYPART_ARC
(12,4),-2.19895 # DEPENDENCYPART_ARC
(12,5),-1.78086 # DEPENDENCYPART_ARC
(12,6),-1.39743 # DEPENDENCYPART_ARC
(12,7),-1.00867 # DEPENDENCYPART_ARC
(12,8),-1.04398 # DEPENDENCYPART_ARC
(12,9),-0.964797 # DEPENDENCYPART_ARC
(12,10),-0.790908 # DEPENDENCYPART_ARC
(12,11),1.16126 # DEPENDENCYPART_ARC
(12,13),-0.0885442 # DEPENDENCYPART_ARC
(12,14),-1.65784 # DEPENDENCYPART_ARC
(12,15),-1.36811 # DEPENDENCYPART_ARC
(12,16),-1.67039 # DEPENDENCYPART_ARC
(12,18),-1.65676 # DEPENDENCYPART_ARC
(12,19),-2.18027 # DEPENDENCYPART_ARC
(12,21),-1.98049 # DEPENDENCYPART_ARC
(12,22),-2.2793 # DEPENDENCYPART_ARC
(12,24),-2.22936 # DEPENDENCYPART_ARC
(12,28),-1.62893 # DEPENDENCYPART_ARC
(12,30),-2.40075 # DEPENDENCYPART_ARC
(13,14),-0.106073 # DEPENDENCYPART_ARC
(14,12),-1.80431 # DEPENDENCYPART_ARC
(14,13),-0.794113 # DEPENDENCYPART_ARC
(14,16),-1.35924 # DEPENDENCYPART_ARC
(14,18),-1.56038 # DEPENDENCYPART_ARC
(15,4),-2.04357 # DEPENDENCYPART_ARC
(15,5),-1.94081 # DEPENDENCYPART_ARC
(15,9),-1.71623 # DEPENDENCYPART_ARC
(15,12),-1.43445 # DEPENDENCYPART_ARC
(15,13),-1.44187 # DEPENDENCYPART_ARC
(15,14),0.142195 # DEPENDENCYPART_ARC
(15,16),0.304157 # DEPENDENCYPART_ARC
(15,18),-1.18496 # DEPENDENCYPART_ARC
(15,19),-1.18487 # DEPENDENCYPART_ARC
(15,20),-1.8434 # DEPENDENCYPART_ARC
(15,21),-1.65032 # DEPENDENCYPART_ARC
(15,22),-1.4501 # DEPENDENCYPART_ARC
(15,24),-1.83042 # DEPENDENCYPART_ARC
(15,25),-1.55882 # DEPENDENCYPART_ARC
(16,12),-1.83254 # DEPENDENCYPART_ARC
(16,14),-1.70939 # DEPENDENCYPART_ARC
(16,15),-0.824284 # DEPENDENCYPART_ARC
(16,17),-0.106506 # DEPENDENCYPART_ARC
(16,18),0.115906 # DEPENDENCYPART_ARC
(16,19),-1.03186 # DEPENDENCYPART_ARC
(16,20),-1.76384 # DEPENDENCYPART_ARC
(16,21),-1.04938 # DEPENDENCYPART_ARC
(16,22),-1.38559 # DEPENDENCYPART_ARC
(16,25),-1.36286 # DEPENDENCYPART_ARC
(16,29),-2.58713 # DEPENDENCYPART_ARC
(16,30),-2.03146 # DEPENDENCYPART_ARC
(18,14),-1.91673 # DEPENDENCYPART_ARC
(18,15),-1.28877 # DEPENDENCYPART_ARC
(18,16),-0.957227 # DEPENDENCYPART_ARC
(18,17),1.24046 # DEPENDENCYPART_ARC
(18,19),0.601258 # DEPENDENCYPART_ARC
(18,20),-0.812801 # DEPENDENCYPART_ARC
(18,21),-0.977514 # DEPENDENCYPART_ARC
(18,22),-0.856729 # DEPENDENCYPART_ARC
(18,24),-1.31365 # DEPENDENCYPART_ARC
(18,25),-1.22598 # DEPENDENCYPART_ARC
(18,26),-1.66387 # DEPENDENCYPART_ARC
(18,28),-1.59151 # DEPENDENCYPART_ARC
(18,30),-1.15594 # DEPENDENCYPART_ARC
(19,14),-2.36444 # DEPENDENCYPART_ARC
(19,20),-0.203307 # DEPENDENCYPART_ARC
(19,21),-0.0613944 # DEPENDENCYPART_ARC
(19,22),-1.19997 # DEPENDENCYPART_ARC
(19,24),-1.45856 # DEPENDENCYPART_ARC
(19,25),-1.37727 # DEPENDENCYPART_ARC
(19,26),-2.52169 # DEPENDENCYPART_ARC
(19,29),-2.61064 # DEPENDENCYPART_ARC
(20,19),-0.204695 # DEPENDENCYPART_ARC
(20,21),-0.405649 # DEPENDENCYPART_ARC
(20,22),-1.6437 # DEPENDENCYPART_ARC
(20,24),-1.71681 # DEPENDENCYPART_ARC
(20,26),-2.17578 # DEPENDENCYPART_ARC
(21,11),-1.9626 # DEPENDENCYPART_ARC
(21,14),-3.02786 # DEPENDENCYPART_ARC
(21,15),-1.78998 # DEPENDENCYPART_ARC
(21,17),-1.3249 # DEPENDENCYPART_ARC
(21,18),-1.16678 # DEPENDENCYPART_ARC
(21,19),-0.925158 # DEPENDENCYPART_ARC
(21,20),0.895757 # DEPENDENCYPART_ARC
(21,22),0.0441858 # DEPENDENCYPART_ARC
(21,24),-0.993126 # DEPENDENCYPART_ARC
(21,25),-1.53131 # DEPENDENCYPART_ARC
(21,26),-1.70359 # DEPENDENCYPART_ARC
(21,28),-1.55867 # DEPENDENCYPART_ARC
(21,29),-2.21714 # DEPENDENCYPART_ARC
(22,19),-1.4902 # DEPENDENCYPART_ARC
(22,20),-1.89902 # DEPENDENCYPART_ARC
(22,21),-0.892175 # DEPENDENCYPART_ARC
(22,23),0.0548992 # DEPENDENCYPART_ARC
(22,24),0.396476 # DEPENDENCYPART_ARC
(22,25),-0.924342 # DEPENDENCYPART_ARC
(22,26),-1.50901 # DEPENDENCYPART_ARC
(22,27),-1.60242 # DEPENDENCYPART_ARC
(22,28),-1.27609 # DEPENDENCYPART_ARC
(22,29),-2.00659 # DEPENDENCYPART_ARC
(24,19),-1.49221 # DEPENDENCYPART_ARC
(24,20),-1.38788 # DEPENDENCYPART_ARC
(24,21),-1.45542 # DEPENDENCYPART_ARC
(24,22),-0.829489 # DEPENDENCYPART_ARC
(24,23),1.39602 # DEPENDENCYPART_ARC
(24,25),0.184221 # DEPENDENCYPART_ARC
(24,26),-1.2474 # DEPENDENCYPART_ARC
(24,27),-1.44211 # DEPENDENCYPART_ARC
(24,28),-1.59758 # DEPENDENCYPART_ARC
(24,29),-1.82161 # DEPENDENCYPART_ARC
(24,30),-1.53778 # DEPENDENCYPART_ARC
(25,24),-0.875386 # DEPENDENCYPART_ARC
(25,26),0.440338 # DEPENDENCYPART_ARC
(25,27),-0.842179 # DEPENDENCYPART_ARC
(25,28),-1.20598 # DEPENDENCYPART_ARC
(25,29),-1.75816 # DEPENDENCYPART_ARC
(26,27),1.07324 # DEPENDENCYPART_ARC
(26,28),-0.730168 # DEPENDENCYPART_ARC
(26,29),-0.722782 # DEPENDENCYPART_ARC
(26,30),-1.07859 # DEPENDENCYPART_ARC
(27,20),-1.80661 # DEPENDENCYPART_ARC
(27,25),-1.18891 # DEPENDENCYPART_ARC
(27,26),-0.372847 # DEPENDENCYPART_ARC
(27,28),-0.320982 # DEPENDENCYPART_ARC
(27,29),-1.48922 # DEPENDENCYPART_ARC
(28,29),-0.547594 # DEPENDENCYPART_ARC
(29,27),-1.133 # DEPENDENCYPART_ARC
(29,28),-0.472919 # DEPENDENCYPART_ARC
(29,30),-0.469883 # DEPENDENCYPART_ARC
(30,29),-0.712343 # DEPENDENCYPART_ARC
(0,4),(0,9),-0.0806549 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.125408 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.156846 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.150944 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0869196 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0164179 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0023772 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00230915 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0401024 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0954468 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.01342 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0293116 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.107861 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.11049 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.024101 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.102809 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0102698 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0345366 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0207301 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0288252 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0433949 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0145301 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0465033 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0196549 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.285445 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.186953 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00281744 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.102191 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0977815 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00776447 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0955207 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.210871 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.00492618 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0981783 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0673024 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0667297 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0962597 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.00847545 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.319413 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.00492618 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0246962 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.0211553 # DEPENDENCYPART_SIBL
(4,1),(4,25),0.00281744 # DEPENDENCYPART_SIBL
(4,1),(4,30),-0.00659495 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.107622 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0997945 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0216346 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.024255 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0715292 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0432808 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0399886 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0245815 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0628858 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0108171 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0993877 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.150074 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0203977 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0647934 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0245815 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.115331 # DEPENDENCYPART_SIBL
(4,2),(4,24),0.0217655 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.0997945 # DEPENDENCYPART_SIBL
(4,2),(4,30),0.0706089 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0318117 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00175719 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00383395 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0597439 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0160881 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0420911 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0581009 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.128527 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0568103 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0695155 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.00386812 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0481583 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0417918 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0581009 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.0268351 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.0347712 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.0318117 # DEPENDENCYPART_SIBL
(4,3),(4,30),0.0429853 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0329185 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0382889 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0430565 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0640156 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0103682 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0334579 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.00211737 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0115033 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0497771 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0440637 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0214211 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0333318 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0334579 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.120221 # DEPENDENCYPART_SIBL
(4,5),(4,24),0.0388403 # DEPENDENCYPART_SIBL
(4,5),(4,25),0.0401209 # DEPENDENCYPART_SIBL
(4,5),(4,30),0.207014 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0463616 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.010657 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0292075 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0383066 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.00692055 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0198875 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0296367 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.00697002 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0506076 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0173091 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0189256 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.00692055 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.02334 # DEPENDENCYPART_SIBL
(4,6),(4,24),-0.00943156 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.015766 # DEPENDENCYPART_SIBL
(4,6),(4,30),0.0291681 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00510493 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0264606 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0349225 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0028321 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.00329659 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0265608 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.00956534 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0396266 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0132208 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.00778503 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0028321 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.0123341 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.00534331 # DEPENDENCYPART_SIBL
(4,7),(4,25),-0.00476181 # DEPENDENCYPART_SIBL
(4,7),(4,30),0.0264563 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0298283 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0204354 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0436605 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.00583144 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0241046 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0089851 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0564953 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0484152 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0108353 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0436605 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0209432 # DEPENDENCYPART_SIBL
(4,8),(4,24),-0.0423579 # DEPENDENCYPART_SIBL
(4,8),(4,25),-0.0439534 # DEPENDENCYPART_SIBL
(4,8),(4,30),0.0327003 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0483736 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0227777 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0118056 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0366779 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.00377866 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0177549 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0369258 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0432204 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.0227777 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0278551 # DEPENDENCYPART_SIBL
(4,9),(4,24),-0.0301011 # DEPENDENCYPART_SIBL
(4,9),(4,25),0.0161645 # DEPENDENCYPART_SIBL
(4,9),(4,30),0.032329 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0227836 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0233279 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0308007 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.00806845 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0259552 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.029996 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0396042 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.0227836 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0282364 # DEPENDENCYPART_SIBL
(4,10),(4,24),-0.0215492 # DEPENDENCYPART_SIBL
(4,10),(4,25),-0.0182042 # DEPENDENCYPART_SIBL
(4,10),(4,30),0.0302491 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0202048 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.000621924 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.00739311 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.0293913 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0133288 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0113626 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.00244043 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.0166935 # DEPENDENCYPART_SIBL
(4,12),(4,24),-0.00455007 # DEPENDENCYPART_SIBL
(4,12),(4,25),0.0346064 # DEPENDENCYPART_SIBL
(4,12),(4,30),0.0757231 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.00902935 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.100418 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.000447797 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.0646568 # DEPENDENCYPART_SIBL
(4,13),(4,19),0.0266734 # DEPENDENCYPART_SIBL
(4,13),(4,21),0.0616971 # DEPENDENCYPART_SIBL
(4,13),(4,22),0.00595996 # DEPENDENCYPART_SIBL
(4,13),(4,24),0.0628013 # DEPENDENCYPART_SIBL
(4,13),(4,25),0.00729956 # DEPENDENCYPART_SIBL
(4,13),(4,30),0.0606486 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0157537 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0750569 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.033058 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.0575177 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.0266833 # DEPENDENCYPART_SIBL
(4,14),(4,22),-0.0553526 # DEPENDENCYPART_SIBL
(4,14),(4,24),-0.0248691 # DEPENDENCYPART_SIBL
(4,14),(4,25),-0.0409073 # DEPENDENCYPART_SIBL
(4,14),(4,30),-0.0519981 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0170043 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.00738017 # DEPENDENCYPART_SIBL
(4,15),(4,19),-0.0101382 # DEPENDENCYPART_SIBL
(4,15),(4,21),0.00135185 # DEPENDENCYPART_SIBL
(4,15),(4,22),0.0047928 # DEPENDENCYPART_SIBL
(4,15),(4,24),0.000485256 # DEPENDENCYPART_SIBL
(4,15),(4,25),0.0186069 # DEPENDENCYPART_SIBL
(4,15),(4,30),0.0400459 # DEPENDENCYPART_SIBL
(4,16),(4,18),0.000555447 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.043143 # DEPENDENCYPART_SIBL
(4,16),(4,21),0.00359271 # DEPENDENCYPART_SIBL
(4,16),(4,22),0.0677335 # DEPENDENCYPART_SIBL
