# _root_ But shortly before then , some of Wall Street 's sharpest traders say , they sensed a turn .
#goldHeads=13,3,13,3,13,13,6,9,12,9,12,7,0,13,16,13,18,16,13,
#predictedHeads=13,3,13,3,13,13,6,9,12,9,12,7,0,16,16,13,18,16,13,
(3,5),(3,12),-0.0476855 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0172062 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.012471 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.000900007 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.0499593 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0150878 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.075365 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0559552 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0735233 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0778812 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0233644 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0836177 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0673459 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0194907 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.000408545 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0907567 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.046154 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0391455 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0762685 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0268694 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0299408 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0698342 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0536656 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.00696854 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0554646 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0260436 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0578712 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0271909 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.00552078 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0462413 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0148532 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0622888 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0172172 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0828426 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0222192 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.14219 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0387288 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0671641 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.000900007 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.0499593 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.0682598 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0311453 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0371891 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.169238 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0300256 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0195173 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00435166 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0329406 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0251715 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.229436 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.113737 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.150296 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0236161 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0733703 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0382722 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0525253 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0449293 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0770866 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0385658 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0162062 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0133935 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0240051 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0369423 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0118737 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0163718 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0569981 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00359277 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0166362 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.00911675 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0617077 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.116797 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0812704 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0100117 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0298834 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.00535329 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.00548901 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0850374 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0360863 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0257473 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0354545 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0506468 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0295168 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0200792 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.00979041 # DEPENDENCYPART_SIBL
(4,13),(4,19),0.0670957 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.0695052 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0408506 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0558644 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.077507 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0406577 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.116701 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0494934 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0498678 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0785525 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0170473 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0435378 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0395353 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0141289 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0117941 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0257777 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.195172 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0535901 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00296129 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00757346 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.1377 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0518992 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0511086 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.142556 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0359194 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0190712 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0200591 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0634807 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0465999 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0141866 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0030617 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.029236 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0515026 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0183399 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0114646 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0102737 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.00366303 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0393094 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.00499429 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0244157 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0427747 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0141422 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0371117 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.0469061 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.00496835 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.135218 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.046731 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0461169 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.144829 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0360163 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0347114 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0246655 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0463672 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0481419 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0040338 # DEPENDENCYPART_SIBL
(6,4),(6,19),0.0196419 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.130199 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.017578 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0227706 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.262629 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.011124 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0335067 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0610645 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.111251 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.00559832 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0634337 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.0223034 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0649836 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0621479 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0155085 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.00490165 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.114458 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0829567 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0243387 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0480595 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0737795 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.0680068 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.00852235 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0596047 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0141635 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0296882 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0352862 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0103381 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0339016 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0117284 # DEPENDENCYPART_SIBL
(6,8),(6,19),0.0325821 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0596048 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0141635 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.029161 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0359376 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.00599507 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0366075 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0116521 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.027333 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.00728677 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.00558471 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0360525 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0641251 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0263589 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.0391803 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.0233207 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0252948 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0265393 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.000690076 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0332249 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.0151002 # DEPENDENCYPART_SIBL
(6,11),(6,19),0.0234547 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.0396072 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.000989593 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0457695 # DEPENDENCYPART_SIBL
(6,12),(6,18),-0.0146999 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.0448837 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.0651733 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.0391245 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.00313953 # DEPENDENCYPART_SIBL
(6,13),(6,19),0.0623681 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.0789522 # DEPENDENCYPART_SIBL
(6,14),(6,18),0.139308 # DEPENDENCYPART_SIBL
(6,14),(6,19),0.175666 # DEPENDENCYPART_SIBL
(6,16),(6,18),-0.0121206 # DEPENDENCYPART_SIBL
(6,16),(6,19),0.0507539 # DEPENDENCYPART_SIBL
(6,18),(6,19),0.0236534 # DEPENDENCYPART_SIBL
