# _root_ The comparable lead times for the Commerce index , whose components include the stock market , are far shorter -- 10 months before recessions and only three months before recoveries .
#goldHeads=4,4,4,17,4,8,8,5,8,11,12,8,15,15,12,8,0,19,17,17,22,17,22,23,22,28,28,25,28,29,17,
#predictedHeads=4,4,4,17,4,8,8,5,8,11,12,8,15,15,12,8,0,19,17,17,22,23,17,23,24,28,26,25,17,29,17,
(17,5),-0.944052 # DEPENDENCYPART_ARC
(17,8),-1.50765 # DEPENDENCYPART_ARC
(17,9),-1.54485 # DEPENDENCYPART_ARC
(17,10),-1.43796 # DEPENDENCYPART_ARC
(17,11),-0.609816 # DEPENDENCYPART_ARC
(17,12),-1.50833 # DEPENDENCYPART_ARC
(17,13),-1.41754 # DEPENDENCYPART_ARC
(17,14),-1.00934 # DEPENDENCYPART_ARC
(17,15),-1.09274 # DEPENDENCYPART_ARC
(17,16),0.475303 # DEPENDENCYPART_ARC
(17,18),0.808797 # DEPENDENCYPART_ARC
(17,19),-0.233955 # DEPENDENCYPART_ARC
(17,20),-0.446957 # DEPENDENCYPART_ARC
(17,21),-1.20439 # DEPENDENCYPART_ARC
(17,22),-0.677959 # DEPENDENCYPART_ARC
(17,23),-0.989278 # DEPENDENCYPART_ARC
(17,24),-1.28448 # DEPENDENCYPART_ARC
(17,25),-1.34326 # DEPENDENCYPART_ARC
(17,26),-1.08469 # DEPENDENCYPART_ARC
(17,27),-1.80046 # DEPENDENCYPART_ARC
(17,28),-1.57703 # DEPENDENCYPART_ARC
(17,29),-1.54351 # DEPENDENCYPART_ARC
(17,30),-1.92709 # DEPENDENCYPART_ARC
(17,31),0.860688 # DEPENDENCYPART_ARC
(18,15),-1.68923 # DEPENDENCYPART_ARC
(18,19),0.0516223 # DEPENDENCYPART_ARC
(18,20),-0.935655 # DEPENDENCYPART_ARC
(18,21),-0.885449 # DEPENDENCYPART_ARC
(18,22),-1.27728 # DEPENDENCYPART_ARC
(18,23),-1.54068 # DEPENDENCYPART_ARC
(18,25),-1.32151 # DEPENDENCYPART_ARC
(18,27),-1.79962 # DEPENDENCYPART_ARC
(19,4),-1.53106 # DEPENDENCYPART_ARC
(19,5),-1.52526 # DEPENDENCYPART_ARC
(19,8),-1.52222 # DEPENDENCYPART_ARC
(19,9),-1.71035 # DEPENDENCYPART_ARC
(19,10),-1.50617 # DEPENDENCYPART_ARC
(19,11),-1.30015 # DEPENDENCYPART_ARC
(19,12),-1.38172 # DEPENDENCYPART_ARC
(19,13),-1.41021 # DEPENDENCYPART_ARC
(19,14),-1.19344 # DEPENDENCYPART_ARC
(19,15),-1.06726 # DEPENDENCYPART_ARC
(19,16),-1.0455 # DEPENDENCYPART_ARC
(19,17),-0.901752 # DEPENDENCYPART_ARC
(19,18),0.734206 # DEPENDENCYPART_ARC
(19,20),0.0150588 # DEPENDENCYPART_ARC
(19,21),-1.16517 # DEPENDENCYPART_ARC
(19,22),-1.57544 # DEPENDENCYPART_ARC
(19,23),-1.34571 # DEPENDENCYPART_ARC
(19,24),-1.90072 # DEPENDENCYPART_ARC
(19,25),-1.34426 # DEPENDENCYPART_ARC
(19,29),-1.77498 # DEPENDENCYPART_ARC
(20,18),-1.91428 # DEPENDENCYPART_ARC
(20,19),-0.759966 # DEPENDENCYPART_ARC
(20,21),-0.531647 # DEPENDENCYPART_ARC
(20,22),-1.34245 # DEPENDENCYPART_ARC
(21,18),-1.57693 # DEPENDENCYPART_ARC
(21,19),-1.00772 # DEPENDENCYPART_ARC
(21,20),-0.150542 # DEPENDENCYPART_ARC
(21,23),-1.18896 # DEPENDENCYPART_ARC
(21,24),-1.27144 # DEPENDENCYPART_ARC
(21,25),-1.40195 # DEPENDENCYPART_ARC
(22,10),-1.84817 # DEPENDENCYPART_ARC
(22,13),-1.85947 # DEPENDENCYPART_ARC
(22,15),-1.91907 # DEPENDENCYPART_ARC
(22,18),-1.05566 # DEPENDENCYPART_ARC
(22,19),-1.00188 # DEPENDENCYPART_ARC
(22,20),-0.917668 # DEPENDENCYPART_ARC
(22,21),1.13739 # DEPENDENCYPART_ARC
(22,23),-0.143908 # DEPENDENCYPART_ARC
(22,24),-1.12765 # DEPENDENCYPART_ARC
(22,25),-1.26347 # DEPENDENCYPART_ARC
(22,26),-1.51313 # DEPENDENCYPART_ARC
(22,27),-1.85722 # DEPENDENCYPART_ARC
(22,28),-1.75662 # DEPENDENCYPART_ARC
(22,29),-1.76809 # DEPENDENCYPART_ARC
(23,18),-1.69013 # DEPENDENCYPART_ARC
(23,21),-1.68307 # DEPENDENCYPART_ARC
(23,22),-0.4969 # DEPENDENCYPART_ARC
(23,24),0.708383 # DEPENDENCYPART_ARC
(23,25),-0.935846 # DEPENDENCYPART_ARC
(23,26),-1.60156 # DEPENDENCYPART_ARC
(23,27),-2.09924 # DEPENDENCYPART_ARC
(23,28),-1.587 # DEPENDENCYPART_ARC
(23,30),-2.17899 # DEPENDENCYPART_ARC
(24,19),-1.54415 # DEPENDENCYPART_ARC
(24,21),-1.10582 # DEPENDENCYPART_ARC
(24,22),-0.658491 # DEPENDENCYPART_ARC
(24,23),-0.0328049 # DEPENDENCYPART_ARC
(24,25),0.0956957 # DEPENDENCYPART_ARC
(24,26),-1.00683 # DEPENDENCYPART_ARC
(24,27),-1.1978 # DEPENDENCYPART_ARC
(24,28),-1.06887 # DEPENDENCYPART_ARC
(24,29),-1.00544 # DEPENDENCYPART_ARC
(24,30),-1.46483 # DEPENDENCYPART_ARC
(24,31),-1.3762 # DEPENDENCYPART_ARC
(25,24),-0.544032 # DEPENDENCYPART_ARC
(25,26),0.0814156 # DEPENDENCYPART_ARC
(25,27),-0.622701 # DEPENDENCYPART_ARC
(25,28),-0.931292 # DEPENDENCYPART_ARC
(25,29),-1.17944 # DEPENDENCYPART_ARC
(25,30),-1.57821 # DEPENDENCYPART_ARC
(26,27),0.640667 # DEPENDENCYPART_ARC
(26,28),-0.732969 # DEPENDENCYPART_ARC
(26,29),-1.17478 # DEPENDENCYPART_ARC
(26,30),-1.22722 # DEPENDENCYPART_ARC
(27,19),-1.86498 # DEPENDENCYPART_ARC
(27,21),-1.68901 # DEPENDENCYPART_ARC
(27,23),-1.46337 # DEPENDENCYPART_ARC
(27,24),-1.31102 # DEPENDENCYPART_ARC
(27,25),-1.09115 # DEPENDENCYPART_ARC
(27,26),-0.130709 # DEPENDENCYPART_ARC
(27,28),-0.299336 # DEPENDENCYPART_ARC
(27,29),-1.25473 # DEPENDENCYPART_ARC
(27,30),-1.44343 # DEPENDENCYPART_ARC
(28,18),-1.61225 # DEPENDENCYPART_ARC
(28,19),-1.90816 # DEPENDENCYPART_ARC
(28,21),-1.63477 # DEPENDENCYPART_ARC
(28,22),-1.68805 # DEPENDENCYPART_ARC
(28,23),-1.50312 # DEPENDENCYPART_ARC
(28,24),-1.39572 # DEPENDENCYPART_ARC
(28,26),-0.0456553 # DEPENDENCYPART_ARC
(28,27),1.05792 # DEPENDENCYPART_ARC
(28,29),-0.0354103 # DEPENDENCYPART_ARC
(28,30),-0.999274 # DEPENDENCYPART_ARC
(29,26),-1.26831 # DEPENDENCYPART_ARC
(29,27),-1.6974 # DEPENDENCYPART_ARC
(29,28),-0.467897 # DEPENDENCYPART_ARC
(29,30),0.752634 # DEPENDENCYPART_ARC
(30,26),-1.33251 # DEPENDENCYPART_ARC
(30,27),-1.1906 # DEPENDENCYPART_ARC
(30,28),-0.736355 # DEPENDENCYPART_ARC
(30,29),-0.0654152 # DEPENDENCYPART_ARC
(30,31),-0.235663 # DEPENDENCYPART_ARC
(31,30),-0.843397 # DEPENDENCYPART_ARC
(0,4),(0,12),-0.0943639 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.115279 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.173431 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.113802 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0950974 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00690913 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00928551 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.06389 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00749483 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0928489 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.269013 # DEPENDENCYPART_SIBL
(3,1),(3,31),-0.0155783 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0268327 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.00814429 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0659988 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0552701 # DEPENDENCYPART_SIBL
(3,2),(3,31),0.0181272 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.080943 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0271251 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.00661395 # DEPENDENCYPART_SIBL
(3,5),(3,31),0.126779 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0170693 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0173905 # DEPENDENCYPART_SIBL
(3,8),(3,31),-0.00135191 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.00372793 # DEPENDENCYPART_SIBL
(3,9),(3,31),-0.0115643 # DEPENDENCYPART_SIBL
(3,12),(3,31),0.0228742 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0104992 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.023579 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0777752 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.020093 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0446558 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0236078 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00169584 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0355775 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.291468 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0437688 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0236078 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.294654 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0580777 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0296741 # DEPENDENCYPART_SIBL
(4,1),(4,31),-0.0666684 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00275051 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0183642 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0911036 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0204533 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0680659 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0169611 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.00714009 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0533043 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0154585 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0680659 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0866607 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0557936 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.00619286 # DEPENDENCYPART_SIBL
(4,2),(4,31),-0.0818518 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0080147 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0375607 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.00476929 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0499049 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0227095 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.020615 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0361988 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0211941 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0499049 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0481844 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0129601 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.0201587 # DEPENDENCYPART_SIBL
(4,3),(4,31),-0.0133576 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.044271 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0904382 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0803465 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0279857 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0550208 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0626059 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.106799 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0803465 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0702763 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0211257 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.0668624 # DEPENDENCYPART_SIBL
(4,5),(4,31),0.15432 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0164081 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.000925146 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0121675 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.00758807 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0053554 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0158429 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.000925146 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0142147 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0167294 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.00972208 # DEPENDENCYPART_SIBL
(4,7),(4,31),0.0458718 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0146453 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0257144 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0312321 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0103041 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0482131 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0146453 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.00352509 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0170137 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0274242 # DEPENDENCYPART_SIBL
(4,8),(4,31),0.0429097 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0275611 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.063606 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0667209 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.056491 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0232129 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0888646 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0253979 # DEPENDENCYPART_SIBL
(4,9),(4,22),0.0644692 # DEPENDENCYPART_SIBL
(4,9),(4,31),0.00226385 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.00146651 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.00907566 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0101275 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0339 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.00926131 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.0180016 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.00112885 # DEPENDENCYPART_SIBL
(4,10),(4,31),0.014451 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0118949 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0297872 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0243322 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0151335 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.0250306 # DEPENDENCYPART_SIBL
(4,11),(4,22),-0.0729307 # DEPENDENCYPART_SIBL
(4,11),(4,31),0.0300233 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.00564608 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.00255421 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.0804313 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.012578 # DEPENDENCYPART_SIBL
(4,12),(4,22),0.0171866 # DEPENDENCYPART_SIBL
(4,12),(4,31),0.00830145 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0222259 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.010819 # DEPENDENCYPART_SIBL
(4,15),(4,20),-0.0211081 # DEPENDENCYPART_SIBL
(4,15),(4,22),-0.031803 # DEPENDENCYPART_SIBL
(4,15),(4,31),0.044938 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.0888646 # DEPENDENCYPART_SIBL
(4,16),(4,20),-0.0253979 # DEPENDENCYPART_SIBL
(4,16),(4,22),0.0644692 # DEPENDENCYPART_SIBL
(4,16),(4,31),0.00226385 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.0407889 # DEPENDENCYPART_SIBL
(4,17),(4,22),0.0125202 # DEPENDENCYPART_SIBL
(4,17),(4,31),-0.0122148 # DEPENDENCYPART_SIBL
(4,20),(4,22),0.102181 # DEPENDENCYPART_SIBL
(4,20),(4,31),0.0928127 # DEPENDENCYPART_SIBL
(4,22),(4,31),0.0355633 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0828501 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0946136 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0823985 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0212209 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0556143 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.107519 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0956333 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.102713 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0212209 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.0334775 # DEPENDENCYPART_SIBL
(5,4),(5,25),-0.0187575 # DEPENDENCYPART_SIBL
(5,4),(5,31),0.006336 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0983211 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.125388 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0117589 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0536438 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0860453 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0870095 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.126795 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0117589 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.0309023 # DEPENDENCYPART_SIBL
(5,6),(5,25),-0.0563113 # DEPENDENCYPART_SIBL
(5,6),(5,31),-0.0927829 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.165534 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.00329963 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.065872 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.116637 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0947247 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.166863 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.00329963 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0241976 # DEPENDENCYPART_SIBL
(5,7),(5,25),0.00674485 # DEPENDENCYPART_SIBL
(5,7),(5,31),-0.0309154 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0507192 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0432336 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.149497 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0554096 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.185829 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0507192 # DEPENDENCYPART_SIBL
