# _root_ Consider Gap Inc. , whose latest ad campaign features black-and-white shots of Hollywood stars , artists and other well-known personalities modeling the retailer 's jeans and T-shirts .
#goldHeads=0,1,2,2,8,8,8,9,2,11,9,11,14,12,14,14,16,19,20,17,14,23,25,23,21,25,26,1,
#predictedHeads=0,1,2,2,8,8,8,9,2,11,9,11,14,12,14,14,16,20,20,17,20,23,25,23,21,25,26,1,
(2,15),-1.4271 # DEPENDENCYPART_ARC
(2,16),-1.86553 # DEPENDENCYPART_ARC
(2,17),-1.89691 # DEPENDENCYPART_ARC
(2,20),-1.92422 # DEPENDENCYPART_ARC
(2,28),-2.01409 # DEPENDENCYPART_ARC
(3,1),-1.24042 # DEPENDENCYPART_ARC
(3,2),0.813602 # DEPENDENCYPART_ARC
(3,4),-0.0104483 # DEPENDENCYPART_ARC
(3,5),-1.48485 # DEPENDENCYPART_ARC
(3,6),-1.66651 # DEPENDENCYPART_ARC
(3,7),-1.73049 # DEPENDENCYPART_ARC
(3,8),-1.99029 # DEPENDENCYPART_ARC
(3,9),-1.71469 # DEPENDENCYPART_ARC
(3,11),-2.47081 # DEPENDENCYPART_ARC
(3,15),-2.0526 # DEPENDENCYPART_ARC
(3,28),-3.10968 # DEPENDENCYPART_ARC
(4,5),-0.227413 # DEPENDENCYPART_ARC
(5,1),-1.82276 # DEPENDENCYPART_ARC
(5,2),-1.6479 # DEPENDENCYPART_ARC
(5,3),-1.39509 # DEPENDENCYPART_ARC
(5,4),-0.380393 # DEPENDENCYPART_ARC
(5,6),-0.0786673 # DEPENDENCYPART_ARC
(5,7),-0.934576 # DEPENDENCYPART_ARC
(5,8),-1.2289 # DEPENDENCYPART_ARC
(5,9),-1.28504 # DEPENDENCYPART_ARC
(5,11),-1.87742 # DEPENDENCYPART_ARC
(5,12),-1.5991 # DEPENDENCYPART_ARC
(5,17),-1.86226 # DEPENDENCYPART_ARC
(6,1),-2.14694 # DEPENDENCYPART_ARC
(6,2),-2.07179 # DEPENDENCYPART_ARC
(6,3),-1.85546 # DEPENDENCYPART_ARC
(6,4),-1.6939 # DEPENDENCYPART_ARC
(6,5),-0.476053 # DEPENDENCYPART_ARC
(6,7),-0.141078 # DEPENDENCYPART_ARC
(6,8),-1.11844 # DEPENDENCYPART_ARC
(6,9),-1.20145 # DEPENDENCYPART_ARC
(6,11),-1.86916 # DEPENDENCYPART_ARC
(6,12),-1.54017 # DEPENDENCYPART_ARC
(7,2),-2.02587 # DEPENDENCYPART_ARC
(7,3),-2.00687 # DEPENDENCYPART_ARC
(7,4),-2.33776 # DEPENDENCYPART_ARC
(7,5),-1.1348 # DEPENDENCYPART_ARC
(7,6),-0.180343 # DEPENDENCYPART_ARC
(7,8),-0.467108 # DEPENDENCYPART_ARC
(7,9),-1.18449 # DEPENDENCYPART_ARC
(7,11),-1.64562 # DEPENDENCYPART_ARC
(7,12),-1.67662 # DEPENDENCYPART_ARC
(8,1),-1.71942 # DEPENDENCYPART_ARC
(8,2),-1.38262 # DEPENDENCYPART_ARC
(8,3),-1.052 # DEPENDENCYPART_ARC
(8,4),-1.59241 # DEPENDENCYPART_ARC
(8,5),-0.529537 # DEPENDENCYPART_ARC
(8,6),-0.23953 # DEPENDENCYPART_ARC
(8,7),1.63768 # DEPENDENCYPART_ARC
(8,9),-0.205047 # DEPENDENCYPART_ARC
(8,10),-1.25357 # DEPENDENCYPART_ARC
(8,11),-1.19644 # DEPENDENCYPART_ARC
(8,12),-1.25279 # DEPENDENCYPART_ARC
(8,15),-1.56504 # DEPENDENCYPART_ARC
(8,17),-1.85918 # DEPENDENCYPART_ARC
(9,1),-1.78178 # DEPENDENCYPART_ARC
(9,2),-1.52135 # DEPENDENCYPART_ARC
(9,3),-1.64262 # DEPENDENCYPART_ARC
(9,4),-1.32692 # DEPENDENCYPART_ARC
(9,5),-1.17408 # DEPENDENCYPART_ARC
(9,6),-1.10832 # DEPENDENCYPART_ARC
(9,7),-0.718451 # DEPENDENCYPART_ARC
(9,8),0.651464 # DEPENDENCYPART_ARC
(9,10),0.600128 # DEPENDENCYPART_ARC
(9,11),0.100739 # DEPENDENCYPART_ARC
(9,12),-0.49877 # DEPENDENCYPART_ARC
(9,13),-1.08813 # DEPENDENCYPART_ARC
(9,14),-0.819903 # DEPENDENCYPART_ARC
(9,15),-1.12308 # DEPENDENCYPART_ARC
(9,16),-1.30305 # DEPENDENCYPART_ARC
(9,17),-1.64233 # DEPENDENCYPART_ARC
(9,20),-1.58099 # DEPENDENCYPART_ARC
(9,21),-1.37098 # DEPENDENCYPART_ARC
(9,25),-1.88649 # DEPENDENCYPART_ARC
(9,26),-2.09103 # DEPENDENCYPART_ARC
(9,28),0.365758 # DEPENDENCYPART_ARC
(10,8),-1.5424 # DEPENDENCYPART_ARC
(10,9),-0.536072 # DEPENDENCYPART_ARC
(10,11),-0.296606 # DEPENDENCYPART_ARC
(10,12),-1.26555 # DEPENDENCYPART_ARC
(11,1),-1.90243 # DEPENDENCYPART_ARC
(11,2),-1.58824 # DEPENDENCYPART_ARC
(11,3),-1.66324 # DEPENDENCYPART_ARC
(11,4),-2.12212 # DEPENDENCYPART_ARC
(11,5),-1.40102 # DEPENDENCYPART_ARC
(11,6),-1.02696 # DEPENDENCYPART_ARC
(11,7),-0.760175 # DEPENDENCYPART_ARC
(11,8),-0.694342 # DEPENDENCYPART_ARC
(11,9),-0.586984 # DEPENDENCYPART_ARC
(11,10),1.44244 # DEPENDENCYPART_ARC
(11,12),0.509595 # DEPENDENCYPART_ARC
(11,13),-1.04441 # DEPENDENCYPART_ARC
(11,14),-0.869408 # DEPENDENCYPART_ARC
(11,15),-1.08124 # DEPENDENCYPART_ARC
(11,16),-1.17801 # DEPENDENCYPART_ARC
(11,17),-1.26555 # DEPENDENCYPART_ARC
(11,18),-1.43548 # DEPENDENCYPART_ARC
(11,19),-1.52606 # DEPENDENCYPART_ARC
(11,20),-1.60506 # DEPENDENCYPART_ARC
(11,21),-1.24968 # DEPENDENCYPART_ARC
(11,23),-1.87993 # DEPENDENCYPART_ARC
(11,24),-1.8614 # DEPENDENCYPART_ARC
(11,25),-1.9097 # DEPENDENCYPART_ARC
(11,26),-1.57081 # DEPENDENCYPART_ARC
(11,28),-2.37576 # DEPENDENCYPART_ARC
(12,13),0.171139 # DEPENDENCYPART_ARC
(12,14),0.133717 # DEPENDENCYPART_ARC
(12,15),-1.21471 # DEPENDENCYPART_ARC
(12,16),-1.33323 # DEPENDENCYPART_ARC
(12,17),-1.64627 # DEPENDENCYPART_ARC
(12,20),-2.02437 # DEPENDENCYPART_ARC
(13,14),-0.647067 # DEPENDENCYPART_ARC
(13,15),-1.51525 # DEPENDENCYPART_ARC
(13,16),-1.88358 # DEPENDENCYPART_ARC
(13,17),-2.22008 # DEPENDENCYPART_ARC
(14,1),-2.01201 # DEPENDENCYPART_ARC
(14,2),-1.63501 # DEPENDENCYPART_ARC
(14,4),-2.17343 # DEPENDENCYPART_ARC
(14,5),-1.60974 # DEPENDENCYPART_ARC
(14,6),-1.52396 # DEPENDENCYPART_ARC
(14,7),-1.32388 # DEPENDENCYPART_ARC
(14,8),-1.39015 # DEPENDENCYPART_ARC
(14,10),-1.03423 # DEPENDENCYPART_ARC
(14,11),-0.934725 # DEPENDENCYPART_ARC
(14,12),-0.657006 # DEPENDENCYPART_ARC
(14,13),1.73134 # DEPENDENCYPART_ARC
(14,15),0.334115 # DEPENDENCYPART_ARC
(14,16),-0.645985 # DEPENDENCYPART_ARC
(14,17),-1.42469 # DEPENDENCYPART_ARC
(14,18),-1.46708 # DEPENDENCYPART_ARC
(14,19),-1.59927 # DEPENDENCYPART_ARC
(14,20),-1.49197 # DEPENDENCYPART_ARC
(14,21),-1.47249 # DEPENDENCYPART_ARC
(14,23),-1.90408 # DEPENDENCYPART_ARC
(14,24),-1.88592 # DEPENDENCYPART_ARC
(14,25),-1.77087 # DEPENDENCYPART_ARC
(14,26),-1.98217 # DEPENDENCYPART_ARC
(14,28),-2.2906 # DEPENDENCYPART_ARC
(15,16),-0.467872 # DEPENDENCYPART_ARC
(16,13),-0.916769 # DEPENDENCYPART_ARC
(16,14),-0.785142 # DEPENDENCYPART_ARC
(16,15),-0.172924 # DEPENDENCYPART_ARC
(16,17),0.710217 # DEPENDENCYPART_ARC
(16,18),-0.769864 # DEPENDENCYPART_ARC
(16,19),-0.904927 # DEPENDENCYPART_ARC
(16,20),-0.905131 # DEPENDENCYPART_ARC
(16,21),-0.917716 # DEPENDENCYPART_ARC
(16,23),-1.46268 # DEPENDENCYPART_ARC
(16,24),-1.40372 # DEPENDENCYPART_ARC
(16,25),-1.45197 # DEPENDENCYPART_ARC
(16,26),-0.895051 # DEPENDENCYPART_ARC
(16,28),-1.74018 # DEPENDENCYPART_ARC
(17,18),0.207496 # DEPENDENCYPART_ARC
(17,19),-0.662428 # DEPENDENCYPART_ARC
(17,20),-0.928832 # DEPENDENCYPART_ARC
(17,21),-1.2292 # DEPENDENCYPART_ARC
(17,23),-1.65153 # DEPENDENCYPART_ARC
(17,25),-2.00248 # DEPENDENCYPART_ARC
(17,26),-1.11087 # DEPENDENCYPART_ARC
(17,27),-2.03751 # DEPENDENCYPART_ARC
(18,19),-0.284747 # DEPENDENCYPART_ARC
(18,20),-1.02451 # DEPENDENCYPART_ARC
(19,18),0.251862 # DEPENDENCYPART_ARC
(19,21),-1.10677 # DEPENDENCYPART_ARC
(20,6),-1.6823 # DEPENDENCYPART_ARC
(20,10),-1.49234 # DEPENDENCYPART_ARC
(20,13),-1.47414 # DEPENDENCYPART_ARC
(20,16),-1.27575 # DEPENDENCYPART_ARC
(20,18),0.300011 # DEPENDENCYPART_ARC
(20,19),1.25922 # DEPENDENCYPART_ARC
(20,21),0.271842 # DEPENDENCYPART_ARC
(20,23),-1.26664 # DEPENDENCYPART_ARC
(20,24),-1.39291 # DEPENDENCYPART_ARC
(20,25),-1.46191 # DEPENDENCYPART_ARC
(20,26),-1.38716 # DEPENDENCYPART_ARC
(20,27),-1.83826 # DEPENDENCYPART_ARC
(21,1),-2.24046 # DEPENDENCYPART_ARC
(21,14),-1.66045 # DEPENDENCYPART_ARC
(21,16),-1.63956 # DEPENDENCYPART_ARC
(21,18),-1.66705 # DEPENDENCYPART_ARC
(21,19),-1.69088 # DEPENDENCYPART_ARC
(21,20),-0.39218 # DEPENDENCYPART_ARC
(21,22),0.268688 # DEPENDENCYPART_ARC
(21,23),0.271181 # DEPENDENCYPART_ARC
(21,24),-0.967654 # DEPENDENCYPART_ARC
(21,25),-0.397677 # DEPENDENCYPART_ARC
(21,26),-1.19229 # DEPENDENCYPART_ARC
(21,27),-0.843505 # DEPENDENCYPART_ARC
(21,28),-1.27282 # DEPENDENCYPART_ARC
(23,18),-1.33528 # DEPENDENCYPART_ARC
(23,19),-1.19241 # DEPENDENCYPART_ARC
(23,21),-0.803078 # DEPENDENCYPART_ARC
(23,22),1.53361 # DEPENDENCYPART_ARC
(23,24),1.15343 # DEPENDENCYPART_ARC
(23,25),-0.664047 # DEPENDENCYPART_ARC
(23,26),-0.821874 # DEPENDENCYPART_ARC
(23,27),-1.02293 # DEPENDENCYPART_ARC
(24,25),-0.574224 # DEPENDENCYPART_ARC
(25,18),-1.38456 # DEPENDENCYPART_ARC
(25,19),-1.5313 # DEPENDENCYPART_ARC
(25,20),-1.07794 # DEPENDENCYPART_ARC
(25,21),-1.31397 # DEPENDENCYPART_ARC
(25,22),-0.689609 # DEPENDENCYPART_ARC
(25,23),0.156205 # DEPENDENCYPART_ARC
(25,24),0.401561 # DEPENDENCYPART_ARC
(25,26),0.541527 # DEPENDENCYPART_ARC
(25,27),-0.84155 # DEPENDENCYPART_ARC
(25,28),-1.11296 # DEPENDENCYPART_ARC
(26,27),0.806182 # DEPENDENCYPART_ARC
(26,28),-0.96371 # DEPENDENCYPART_ARC
(27,22),-1.67419 # DEPENDENCYPART_ARC
(27,23),-1.45976 # DEPENDENCYPART_ARC
(27,25),-0.974198 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0331677 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0329559 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0747585 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0641321 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.108255 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.098407 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0495175 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0640972 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0178413 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0160731 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0037462 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0027212 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0379215 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.00529008 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0385114 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0218772 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0385114 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0640972 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0385114 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.00723098 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.012493 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.00529008 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.0143439 # DEPENDENCYPART_SIBL
(1,2),(1,26),-0.00723098 # DEPENDENCYPART_SIBL
(1,2),(1,28),0.00287012 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0690472 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0205436 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0157674 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0298269 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0308518 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0290385 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.00914177 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0285246 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0327676 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0285246 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0690472 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.0285246 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0273027 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.0163457 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.00914177 # DEPENDENCYPART_SIBL
(1,3),(1,21),-0.0267302 # DEPENDENCYPART_SIBL
(1,3),(1,26),0.0273027 # DEPENDENCYPART_SIBL
(1,3),(1,28),0.0253394 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.00118592 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0233433 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0738285 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0726768 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.000200806 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0524732 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0611713 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0865394 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.0632477 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0151659 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0606262 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.00556552 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0495494 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.0524732 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.102545 # DEPENDENCYPART_SIBL
(1,4),(1,26),0.00556552 # DEPENDENCYPART_SIBL
(1,4),(1,28),0.0713842 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0149008 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.00984275 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.00882331 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0357892 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0156545 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.032335 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0407588 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.032335 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.0544564 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.032335 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.0107478 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.0225545 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.0156545 # DEPENDENCYPART_SIBL
(1,5),(1,21),-0.00298645 # DEPENDENCYPART_SIBL
(1,5),(1,26),-0.0107478 # DEPENDENCYPART_SIBL
(1,5),(1,28),0.0166489 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0260728 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0250533 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0399613 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0065122 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0429633 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0406111 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0429633 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.021586 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.0429633 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.037467 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.0134313 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.0065122 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.00307153 # DEPENDENCYPART_SIBL
(1,6),(1,26),-0.037467 # DEPENDENCYPART_SIBL
(1,6),(1,28),0.0176383 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0578918 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0681283 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0294082 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0904716 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0664856 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0904716 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0941642 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0904716 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.0266131 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.0406302 # DEPENDENCYPART_SIBL
(1,7),(1,19),-0.0294082 # DEPENDENCYPART_SIBL
(1,7),(1,21),-0.00746804 # DEPENDENCYPART_SIBL
(1,7),(1,26),-0.0266131 # DEPENDENCYPART_SIBL
(1,7),(1,28),-0.0147843 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0695371 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0311705 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0922323 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.0695167 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.0922323 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.0942636 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.0922323 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.0301582 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.0423925 # DEPENDENCYPART_SIBL
(1,8),(1,19),-0.0311706 # DEPENDENCYPART_SIBL
(1,8),(1,21),-0.0124866 # DEPENDENCYPART_SIBL
(1,8),(1,26),-0.0301582 # DEPENDENCYPART_SIBL
(1,8),(1,28),-0.0112583 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0271705 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0477264 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0527443 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.0477264 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0533082 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.0477264 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.00677426 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.0340752 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.0271705 # DEPENDENCYPART_SIBL
(1,9),(1,21),-0.0288471 # DEPENDENCYPART_SIBL
(1,9),(1,26),-0.00677426 # DEPENDENCYPART_SIBL
(1,9),(1,28),0.045231 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0284462 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.0290991 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.0284462 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.0453551 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.0284464 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.014919 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.0521348 # DEPENDENCYPART_SIBL
(1,10),(1,19),-0.044181 # DEPENDENCYPART_SIBL
(1,10),(1,21),-0.0118084 # DEPENDENCYPART_SIBL
(1,10),(1,26),0.014919 # DEPENDENCYPART_SIBL
(1,10),(1,28),0.0373439 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.0680456 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.126637 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.024898 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.126677 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.0308208 # DEPENDENCYPART_SIBL
(1,11),(1,18),-0.012326 # DEPENDENCYPART_SIBL
(1,11),(1,19),-0.00167377 # DEPENDENCYPART_SIBL
(1,11),(1,21),0.0240245 # DEPENDENCYPART_SIBL
(1,11),(1,26),0.0308208 # DEPENDENCYPART_SIBL
(1,11),(1,28),0.0382762 # DEPENDENCYPART_SIBL
(1,12),(1,14),-0.0611064 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.112335 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.0611111 # DEPENDENCYPART_SIBL
(1,12),(1,17),-0.0480014 # DEPENDENCYPART_SIBL
(1,12),(1,18),-0.0697845 # DEPENDENCYPART_SIBL
(1,12),(1,19),-0.0600761 # DEPENDENCYPART_SIBL
(1,12),(1,21),-0.09638 # DEPENDENCYPART_SIBL
(1,12),(1,26),-0.0480014 # DEPENDENCYPART_SIBL
(1,12),(1,28),-0.0528563 # DEPENDENCYPART_SIBL
(1,14),(1,15),-0.0182474 # DEPENDENCYPART_SIBL
(1,14),(1,16),-0.126677 # DEPENDENCYPART_SIBL
(1,14),(1,17),0.0356642 # DEPENDENCYPART_SIBL
(1,14),(1,18),-0.012326 # DEPENDENCYPART_SIBL
(1,14),(1,19),-0.00167377 # DEPENDENCYPART_SIBL
(1,14),(1,21),0.0249687 # DEPENDENCYPART_SIBL
(1,14),(1,26),0.0356642 # DEPENDENCYPART_SIBL
(1,14),(1,28),0.0370075 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.0606262 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.00556552 # DEPENDENCYPART_SIBL
(1,15),(1,18),0.0495494 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.0524732 # DEPENDENCYPART_SIBL
(1,15),(1,21),0.102545 # DEPENDENCYPART_SIBL
(1,15),(1,26),0.00556552 # DEPENDENCYPART_SIBL
(1,15),(1,28),0.0713842 # DEPENDENCYPART_SIBL
(1,16),(1,17),0.031056 # DEPENDENCYPART_SIBL
(1,16),(1,18),-0.012326 # DEPENDENCYPART_SIBL
(1,16),(1,19),-0.00167377 # DEPENDENCYPART_SIBL
(1,16),(1,21),0.025338 # DEPENDENCYPART_SIBL
(1,16),(1,26),0.031056 # DEPENDENCYPART_SIBL
(1,16),(1,28),0.0366157 # DEPENDENCYPART_SIBL
(1,17),(1,18),-0.017746 # DEPENDENCYPART_SIBL
(1,17),(1,19),-0.00521174 # DEPENDENCYPART_SIBL
(1,17),(1,21),-0.017173 # DEPENDENCYPART_SIBL
(1,17),(1,26),-0.565946 # DEPENDENCYPART_SIBL
(1,17),(1,28),0.0777134 # DEPENDENCYPART_SIBL
(1,18),(1,19),-0.0416958 # DEPENDENCYPART_SIBL
(1,18),(1,21),-0.00864738 # DEPENDENCYPART_SIBL
(1,18),(1,26),0.0145474 # DEPENDENCYPART_SIBL
(1,18),(1,28),0.0375252 # DEPENDENCYPART_SIBL
(1,19),(1,21),-0.0111376 # DEPENDENCYPART_SIBL
(1,19),(1,26),0.0149189 # DEPENDENCYPART_SIBL
(1,19),(1,28),0.0417123 # DEPENDENCYPART_SIBL
(1,21),(1,26),-0.00156372 # DEPENDENCYPART_SIBL
(1,21),(1,28),0.00427477 # DEPENDENCYPART_SIBL
(1,26),(1,28),0.0777134 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.134853 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0373973 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0231554 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0154447 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0332664 # DEPENDENCYPART_SIBL
