# _root_ The cold guys in the set were Will Clark , Kevin Mitchell and Matt Williams , the Giants ' 3-4-5 hitters .
#goldHeads=3,3,7,3,6,4,0,9,7,9,12,9,12,15,13,9,18,21,18,21,9,7,
#predictedHeads=3,3,7,3,6,4,0,9,7,9,12,9,12,15,13,12,18,21,18,21,12,7,
(7,19),-1.90771 # DEPENDENCYPART_ARC
(7,21),-1.76839 # DEPENDENCYPART_ARC
(7,22),0.588238 # DEPENDENCYPART_ARC
(8,3),-2.03978 # DEPENDENCYPART_ARC
(8,5),-2.16077 # DEPENDENCYPART_ARC
(8,6),-1.34447 # DEPENDENCYPART_ARC
(8,9),-0.50195 # DEPENDENCYPART_ARC
(8,10),-1.27876 # DEPENDENCYPART_ARC
(8,11),-1.77001 # DEPENDENCYPART_ARC
(8,12),-2.07256 # DEPENDENCYPART_ARC
(8,13),-2.00051 # DEPENDENCYPART_ARC
(8,15),-2.72311 # DEPENDENCYPART_ARC
(8,16),-2.06467 # DEPENDENCYPART_ARC
(8,21),-2.04351 # DEPENDENCYPART_ARC
(8,22),-2.02425 # DEPENDENCYPART_ARC
(9,1),-2.43046 # DEPENDENCYPART_ARC
(9,2),-1.96868 # DEPENDENCYPART_ARC
(9,3),-1.59831 # DEPENDENCYPART_ARC
(9,4),-1.76579 # DEPENDENCYPART_ARC
(9,5),-1.41135 # DEPENDENCYPART_ARC
(9,6),-1.01596 # DEPENDENCYPART_ARC
(9,8),1.32377 # DEPENDENCYPART_ARC
(9,10),0.698865 # DEPENDENCYPART_ARC
(9,11),-1.14193 # DEPENDENCYPART_ARC
(9,12),-1.29847 # DEPENDENCYPART_ARC
(9,13),-1.23436 # DEPENDENCYPART_ARC
(9,14),-2.02611 # DEPENDENCYPART_ARC
(9,15),-2.05974 # DEPENDENCYPART_ARC
(9,16),-0.936836 # DEPENDENCYPART_ARC
(9,17),-1.6136 # DEPENDENCYPART_ARC
(9,18),-2.68942 # DEPENDENCYPART_ARC
(9,19),-2.42486 # DEPENDENCYPART_ARC
(9,20),-2.66886 # DEPENDENCYPART_ARC
(9,21),-1.6282 # DEPENDENCYPART_ARC
(9,22),-1.73991 # DEPENDENCYPART_ARC
(11,8),-2.44085 # DEPENDENCYPART_ARC
(11,9),-2.13613 # DEPENDENCYPART_ARC
(11,10),-1.07311 # DEPENDENCYPART_ARC
(11,12),-0.265085 # DEPENDENCYPART_ARC
(11,13),-0.869161 # DEPENDENCYPART_ARC
(11,15),-1.99049 # DEPENDENCYPART_ARC
(11,16),-1.7571 # DEPENDENCYPART_ARC
(12,1),-2.45486 # DEPENDENCYPART_ARC
(12,2),-1.94558 # DEPENDENCYPART_ARC
(12,3),-1.47966 # DEPENDENCYPART_ARC
(12,4),-2.01474 # DEPENDENCYPART_ARC
(12,5),-1.87789 # DEPENDENCYPART_ARC
(12,6),-1.52783 # DEPENDENCYPART_ARC
(12,8),-0.993576 # DEPENDENCYPART_ARC
(12,9),-1.59352 # DEPENDENCYPART_ARC
(12,10),-1.5009 # DEPENDENCYPART_ARC
(12,11),1.32338 # DEPENDENCYPART_ARC
(12,13),1.32375 # DEPENDENCYPART_ARC
(12,14),-0.969127 # DEPENDENCYPART_ARC
(12,15),-1.11241 # DEPENDENCYPART_ARC
(12,16),-0.788285 # DEPENDENCYPART_ARC
(12,17),-1.31292 # DEPENDENCYPART_ARC
(12,18),-2.18237 # DEPENDENCYPART_ARC
(12,19),-1.75139 # DEPENDENCYPART_ARC
(12,20),-2.09059 # DEPENDENCYPART_ARC
(12,21),-1.39189 # DEPENDENCYPART_ARC
(12,22),-1.53482 # DEPENDENCYPART_ARC
(13,12),-0.63948 # DEPENDENCYPART_ARC
(13,14),0.327033 # DEPENDENCYPART_ARC
(13,15),-0.649623 # DEPENDENCYPART_ARC
(13,16),-0.813773 # DEPENDENCYPART_ARC
(13,17),-1.62259 # DEPENDENCYPART_ARC
(13,18),-1.66999 # DEPENDENCYPART_ARC
(13,21),-2.13193 # DEPENDENCYPART_ARC
(14,15),-0.624627 # DEPENDENCYPART_ARC
(14,16),-1.46119 # DEPENDENCYPART_ARC
(14,18),-2.5541 # DEPENDENCYPART_ARC
(14,19),-2.60418 # DEPENDENCYPART_ARC
(14,21),-2.30763 # DEPENDENCYPART_ARC
(14,22),-2.17258 # DEPENDENCYPART_ARC
(15,1),-2.5704 # DEPENDENCYPART_ARC
(15,3),-1.65507 # DEPENDENCYPART_ARC
(15,5),-2.015 # DEPENDENCYPART_ARC
(15,6),-1.82389 # DEPENDENCYPART_ARC
(15,8),-1.84407 # DEPENDENCYPART_ARC
(15,9),-2.59087 # DEPENDENCYPART_ARC
(15,10),-2.06569 # DEPENDENCYPART_ARC
(15,11),-0.824044 # DEPENDENCYPART_ARC
(15,12),-1.26194 # DEPENDENCYPART_ARC
(15,14),1.40353 # DEPENDENCYPART_ARC
(15,16),0.430258 # DEPENDENCYPART_ARC
(15,17),-1.30311 # DEPENDENCYPART_ARC
(15,18),-1.90818 # DEPENDENCYPART_ARC
(15,19),-1.6204 # DEPENDENCYPART_ARC
(15,20),-1.97944 # DEPENDENCYPART_ARC
(15,21),-1.89601 # DEPENDENCYPART_ARC
(15,22),-1.72137 # DEPENDENCYPART_ARC
(17,19),-1.29966 # DEPENDENCYPART_ARC
(18,9),-3.05889 # DEPENDENCYPART_ARC
(18,11),-1.88647 # DEPENDENCYPART_ARC
(18,14),-0.888114 # DEPENDENCYPART_ARC
(18,15),-1.34549 # DEPENDENCYPART_ARC
(18,16),-1.47494 # DEPENDENCYPART_ARC
(18,17),0.902455 # DEPENDENCYPART_ARC
(18,19),0.780004 # DEPENDENCYPART_ARC
(18,20),-0.942651 # DEPENDENCYPART_ARC
(18,22),-1.44383 # DEPENDENCYPART_ARC
(19,17),-1.11017 # DEPENDENCYPART_ARC
(19,18),0.0190193 # DEPENDENCYPART_ARC
(19,20),-0.366793 # DEPENDENCYPART_ARC
(19,21),-1.19597 # DEPENDENCYPART_ARC
(20,17),-1.48093 # DEPENDENCYPART_ARC
(20,18),-1.43845 # DEPENDENCYPART_ARC
(20,19),-0.305005 # DEPENDENCYPART_ARC
(21,3),-1.91666 # DEPENDENCYPART_ARC
(21,4),-1.396 # DEPENDENCYPART_ARC
(21,5),-1.84949 # DEPENDENCYPART_ARC
(21,9),-2.47003 # DEPENDENCYPART_ARC
(21,11),-1.96292 # DEPENDENCYPART_ARC
(21,12),-2.06523 # DEPENDENCYPART_ARC
(21,14),-1.68874 # DEPENDENCYPART_ARC
(21,15),-1.74344 # DEPENDENCYPART_ARC
(21,17),-0.763711 # DEPENDENCYPART_ARC
(21,18),-0.645742 # DEPENDENCYPART_ARC
(21,19),-0.641933 # DEPENDENCYPART_ARC
(21,20),1.25437 # DEPENDENCYPART_ARC
(21,22),-0.386737 # DEPENDENCYPART_ARC
(22,21),-0.862705 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.0435182 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.148813 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.147171 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.190432 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0653029 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0216934 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0318746 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.166687 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0108013 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0414416 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.142389 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.06938 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0191947 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0287904 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0190499 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.00529712 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0192626 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0287904 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0184768 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.427416 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0199462 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.0406862 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0452967 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0155904 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0270568 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00181717 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0977609 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0957173 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0251852 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0959189 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0313296 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0940482 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0251852 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0940331 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0413166 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.00803091 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0668827 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0235296 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0518354 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.00281001 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0139497 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.00910571 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.00442289 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.00914943 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0213288 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.00915599 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.00442289 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0091559 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0530454 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.0193927 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.0570318 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0298773 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0382275 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0425809 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0436234 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0335707 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0435733 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0742834 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0435732 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0335707 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0435741 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0592193 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0139829 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0619606 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0126213 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0158251 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00762163 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0337855 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.00569503 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0144852 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0056934 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.0337855 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.00577839 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0278553 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0132295 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0736844 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.00670867 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0129225 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.034045 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0130074 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0362267 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.013008 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.034045 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0130076 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.032629 # DEPENDENCYPART_SIBL
(3,7),(3,21),0.00784225 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0239002 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0205672 # DEPENDENCYPART_SIBL
(3,8),(3,10),-5.03439e-05 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0194988 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0105825 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0194917 # DEPENDENCYPART_SIBL
(3,8),(3,16),-5.03439e-05 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0196516 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0541874 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.00364336 # DEPENDENCYPART_SIBL
(3,8),(3,22),0.0416255 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0029943 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0149751 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0150124 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0149671 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0029943 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.015127 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0521285 # DEPENDENCYPART_SIBL
(3,9),(3,21),0.00295253 # DEPENDENCYPART_SIBL
(3,9),(3,22),0.0508298 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0387244 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.016958 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0405309 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.0255039 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0385289 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0260586 # DEPENDENCYPART_SIBL
(3,10),(3,21),0.0429713 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.00149921 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0149863 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.015056 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.00190486 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0152159 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0521123 # DEPENDENCYPART_SIBL
(3,12),(3,21),0.00296879 # DEPENDENCYPART_SIBL
(3,12),(3,22),0.0531377 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0123853 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0233723 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0122751 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.0686278 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0162237 # DEPENDENCYPART_SIBL
(3,13),(3,22),0.00819016 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.00859104 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.0151089 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.0521123 # DEPENDENCYPART_SIBL
(3,15),(3,21),0.00296879 # DEPENDENCYPART_SIBL
(3,15),(3,22),0.0530984 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.0385289 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.0260586 # DEPENDENCYPART_SIBL
(3,16),(3,21),0.0429713 # DEPENDENCYPART_SIBL
(3,16),(3,22),0.00149921 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.0521126 # DEPENDENCYPART_SIBL
(3,18),(3,21),0.00296879 # DEPENDENCYPART_SIBL
(3,18),(3,22),0.0483002 # DEPENDENCYPART_SIBL
(3,19),(3,21),-0.0424177 # DEPENDENCYPART_SIBL
(3,19),(3,22),-0.0538857 # DEPENDENCYPART_SIBL
(3,21),(3,22),0.0447602 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.069644 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0300068 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0500675 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0908937 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0839809 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0329585 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.083778 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0143405 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0206696 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.155431 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0492901 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.123356 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.106494 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.041819 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.106494 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.103569 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.0809357 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0270424 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.123195 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0911061 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0208326 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0892296 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.00351325 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.0378293 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0794612 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0575709 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0373038 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0575533 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0818793 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.0775105 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.106613 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.020744 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.105594 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0150415 # DEPENDENCYPART_SIBL
(4,8),(4,22),0.0133328 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0293466 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.108991 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0230744 # DEPENDENCYPART_SIBL
(4,9),(4,22),0.00506228 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.00179112 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.00723948 # DEPENDENCYPART_SIBL
(4,10),(4,22),0.19052 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0230738 # DEPENDENCYPART_SIBL
(4,12),(4,22),0.00734469 # DEPENDENCYPART_SIBL
(4,13),(4,22),-0.0056595 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0462118 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.091281 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0584191 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.611196 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.191821 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0771337 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0101275 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.123249 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0062223 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0380209 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0518998 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.011195 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.237078 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.00768413 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0577258 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.056777 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0616557 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0511026 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0440893 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0104048 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0844158 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0165481 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.00573137 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0174427 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0015603 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.020782 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.101855 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0150663 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0256813 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0108099 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0259551 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0313196 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0301227 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0177852 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.191821 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0771337 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0101275 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.123249 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0062223 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0380209 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0278829 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0317997 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0654455 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0285201 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.101021 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0379553 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.014614 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0402366 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0435064 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0110932 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0327863 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0338189 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0247617 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0343116 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.029605 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0388189 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0722335 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0798735 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.335547 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0634424 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.187742 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.191148 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.104474 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.19055 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.185782 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.106028 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.190516 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.187488 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.104474 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.200121 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.182455 # DEPENDENCYPART_SIBL
(7,1),(7,21),-0.103722 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.116157 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0517138 # DEPENDENCYPART_SIBL
