# _root_ `` It was simply overbought , '' he said , and selling by funds that are computer guided helped depress prices .
#goldHeads=3,3,9,3,3,3,3,9,0,9,3,19,12,13,16,14,16,17,11,19,20,3,
#predictedHeads=9,3,9,3,3,9,9,9,0,9,3,19,12,13,16,14,16,16,11,19,20,3,
(6,7),-0.0883565 # DEPENDENCYPART_ARC
(7,3),-1.96685 # DEPENDENCYPART_ARC
(7,4),-1.90413 # DEPENDENCYPART_ARC
(7,5),-1.74551 # DEPENDENCYPART_ARC
(7,6),-0.490411 # DEPENDENCYPART_ARC
(7,8),-0.411883 # DEPENDENCYPART_ARC
(7,9),-1.20492 # DEPENDENCYPART_ARC
(7,10),-1.46131 # DEPENDENCYPART_ARC
(7,11),-1.73477 # DEPENDENCYPART_ARC
(8,1),-1.90303 # DEPENDENCYPART_ARC
(8,3),-1.72618 # DEPENDENCYPART_ARC
(8,4),-1.79646 # DEPENDENCYPART_ARC
(8,5),-1.44786 # DEPENDENCYPART_ARC
(8,6),-1.14766 # DEPENDENCYPART_ARC
(8,7),-0.251329 # DEPENDENCYPART_ARC
(8,10),-1.14147 # DEPENDENCYPART_ARC
(8,11),-1.15064 # DEPENDENCYPART_ARC
(9,1),-1.23457 # DEPENDENCYPART_ARC
(9,2),-1.80552 # DEPENDENCYPART_ARC
(9,3),-1.43691 # DEPENDENCYPART_ARC
(9,4),-1.80073 # DEPENDENCYPART_ARC
(9,5),-1.80318 # DEPENDENCYPART_ARC
(9,6),-1.18034 # DEPENDENCYPART_ARC
(9,7),-1.04931 # DEPENDENCYPART_ARC
(9,8),0.722298 # DEPENDENCYPART_ARC
(9,10),0.124031 # DEPENDENCYPART_ARC
(9,11),-1.46748 # DEPENDENCYPART_ARC
(9,12),-1.22723 # DEPENDENCYPART_ARC
(9,13),-1.54628 # DEPENDENCYPART_ARC
(9,14),-1.84558 # DEPENDENCYPART_ARC
(9,15),-2.26214 # DEPENDENCYPART_ARC
(9,16),-1.51529 # DEPENDENCYPART_ARC
(9,19),-1.36429 # DEPENDENCYPART_ARC
(9,22),-1.39154 # DEPENDENCYPART_ARC
(10,11),-0.131125 # DEPENDENCYPART_ARC
(11,9),-1.44805 # DEPENDENCYPART_ARC
(11,10),-0.672269 # DEPENDENCYPART_ARC
(11,12),0.216819 # DEPENDENCYPART_ARC
(11,13),-0.819444 # DEPENDENCYPART_ARC
(11,14),-1.4449 # DEPENDENCYPART_ARC
(11,15),-1.82222 # DEPENDENCYPART_ARC
(11,16),-1.26133 # DEPENDENCYPART_ARC
(11,17),-2.07617 # DEPENDENCYPART_ARC
(11,18),-1.77355 # DEPENDENCYPART_ARC
(11,19),-1.5372 # DEPENDENCYPART_ARC
(11,20),-2.12654 # DEPENDENCYPART_ARC
(12,9),-1.79489 # DEPENDENCYPART_ARC
(12,11),-0.761449 # DEPENDENCYPART_ARC
(12,13),0.821617 # DEPENDENCYPART_ARC
(12,14),-0.184377 # DEPENDENCYPART_ARC
(12,15),-1.23979 # DEPENDENCYPART_ARC
(12,16),-1.10841 # DEPENDENCYPART_ARC
(12,17),-1.03665 # DEPENDENCYPART_ARC
(12,18),-1.5073 # DEPENDENCYPART_ARC
(12,19),-1.41317 # DEPENDENCYPART_ARC
(12,20),-1.65236 # DEPENDENCYPART_ARC
(12,21),-1.50306 # DEPENDENCYPART_ARC
(13,12),-1.0184 # DEPENDENCYPART_ARC
(13,14),0.952197 # DEPENDENCYPART_ARC
(13,15),-0.843471 # DEPENDENCYPART_ARC
(13,16),-0.916344 # DEPENDENCYPART_ARC
(13,17),-1.31277 # DEPENDENCYPART_ARC
(13,18),-1.60324 # DEPENDENCYPART_ARC
(13,19),-1.35304 # DEPENDENCYPART_ARC
(13,20),-1.85868 # DEPENDENCYPART_ARC
(13,21),-2.17056 # DEPENDENCYPART_ARC
(14,7),-2.34129 # DEPENDENCYPART_ARC
(14,12),-1.12238 # DEPENDENCYPART_ARC
(14,13),-0.251626 # DEPENDENCYPART_ARC
(14,15),-0.142417 # DEPENDENCYPART_ARC
(14,16),-0.208763 # DEPENDENCYPART_ARC
(14,17),-1.00486 # DEPENDENCYPART_ARC
(14,18),-1.12867 # DEPENDENCYPART_ARC
(14,19),-0.990546 # DEPENDENCYPART_ARC
(14,20),-1.63837 # DEPENDENCYPART_ARC
(14,21),-1.43611 # DEPENDENCYPART_ARC
(14,22),-1.55895 # DEPENDENCYPART_ARC
(15,14),-0.330605 # DEPENDENCYPART_ARC
(16,1),-1.55515 # DEPENDENCYPART_ARC
(16,2),-2.83556 # DEPENDENCYPART_ARC
(16,3),-2.21351 # DEPENDENCYPART_ARC
(16,4),-1.96747 # DEPENDENCYPART_ARC
(16,5),-2.07302 # DEPENDENCYPART_ARC
(16,6),-2.17943 # DEPENDENCYPART_ARC
(16,7),-2.06897 # DEPENDENCYPART_ARC
(16,8),-2.33592 # DEPENDENCYPART_ARC
(16,9),-2.05948 # DEPENDENCYPART_ARC
(16,10),-2.18348 # DEPENDENCYPART_ARC
(16,12),-1.62016 # DEPENDENCYPART_ARC
(16,13),-1.28237 # DEPENDENCYPART_ARC
(16,14),-0.873424 # DEPENDENCYPART_ARC
(16,15),0.69067 # DEPENDENCYPART_ARC
(16,17),0.769267 # DEPENDENCYPART_ARC
(16,18),-0.449082 # DEPENDENCYPART_ARC
(16,19),-0.899157 # DEPENDENCYPART_ARC
(16,20),-1.2773 # DEPENDENCYPART_ARC
(16,21),-1.09733 # DEPENDENCYPART_ARC
(16,22),-0.5958 # DEPENDENCYPART_ARC
(17,12),-1.7386 # DEPENDENCYPART_ARC
(17,14),-1.03727 # DEPENDENCYPART_ARC
(17,15),-0.69378 # DEPENDENCYPART_ARC
(17,16),0.132836 # DEPENDENCYPART_ARC
(17,18),0.0725784 # DEPENDENCYPART_ARC
(17,19),-0.985057 # DEPENDENCYPART_ARC
(17,20),-1.30569 # DEPENDENCYPART_ARC
(17,21),-1.39273 # DEPENDENCYPART_ARC
(17,22),-1.73526 # DEPENDENCYPART_ARC
(18,1),-1.83843 # DEPENDENCYPART_ARC
(18,3),-1.68669 # DEPENDENCYPART_ARC
(18,4),-1.81939 # DEPENDENCYPART_ARC
(18,5),-1.81399 # DEPENDENCYPART_ARC
(18,6),-1.82758 # DEPENDENCYPART_ARC
(18,7),-1.90046 # DEPENDENCYPART_ARC
(18,9),-1.59079 # DEPENDENCYPART_ARC
(18,10),-1.68894 # DEPENDENCYPART_ARC
(18,12),-1.28582 # DEPENDENCYPART_ARC
(18,13),-1.34578 # DEPENDENCYPART_ARC
(18,14),-1.17987 # DEPENDENCYPART_ARC
(18,15),-0.889787 # DEPENDENCYPART_ARC
(18,16),-1.06723 # DEPENDENCYPART_ARC
(18,17),0.025625 # DEPENDENCYPART_ARC
(18,19),-0.00449178 # DEPENDENCYPART_ARC
(18,20),-0.869376 # DEPENDENCYPART_ARC
(18,21),-0.951574 # DEPENDENCYPART_ARC
(18,22),-1.32966 # DEPENDENCYPART_ARC
(19,1),-0.96213 # DEPENDENCYPART_ARC
(19,2),-2.25959 # DEPENDENCYPART_ARC
(19,3),-1.47956 # DEPENDENCYPART_ARC
(19,4),-1.55985 # DEPENDENCYPART_ARC
(19,5),-1.65223 # DEPENDENCYPART_ARC
(19,6),-2.14407 # DEPENDENCYPART_ARC
(19,7),-1.75487 # DEPENDENCYPART_ARC
(19,8),-1.90407 # DEPENDENCYPART_ARC
(19,9),-1.57601 # DEPENDENCYPART_ARC
(19,10),-1.73481 # DEPENDENCYPART_ARC
(19,11),-1.42745 # DEPENDENCYPART_ARC
(19,12),-1.00009 # DEPENDENCYPART_ARC
(19,13),-0.976258 # DEPENDENCYPART_ARC
(19,14),-0.902617 # DEPENDENCYPART_ARC
(19,15),-0.83927 # DEPENDENCYPART_ARC
(19,16),-0.962755 # DEPENDENCYPART_ARC
(19,17),-0.690378 # DEPENDENCYPART_ARC
(19,18),0.10765 # DEPENDENCYPART_ARC
(19,20),0.853983 # DEPENDENCYPART_ARC
(19,21),-0.0706935 # DEPENDENCYPART_ARC
(19,22),-0.184382 # DEPENDENCYPART_ARC
(20,13),-1.54937 # DEPENDENCYPART_ARC
(20,15),-1.43855 # DEPENDENCYPART_ARC
(20,17),-1.16836 # DEPENDENCYPART_ARC
(20,18),-1.3784 # DEPENDENCYPART_ARC
(20,21),1.04272 # DEPENDENCYPART_ARC
(20,22),-0.609444 # DEPENDENCYPART_ARC
(21,1),-2.08496 # DEPENDENCYPART_ARC
(21,17),-1.0702 # DEPENDENCYPART_ARC
(21,18),-0.971832 # DEPENDENCYPART_ARC
(21,20),0.372886 # DEPENDENCYPART_ARC
(21,22),-0.47011 # DEPENDENCYPART_ARC
(0,3),(0,9),-0.294968 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.238548 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.251256 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.028502 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0199674 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0365234 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.049957 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0361756 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0207871 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0163536 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0300798 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.039716 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0461251 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00608472 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0551888 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.00984741 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0516175 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0251135 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0240805 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0600764 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0249304 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.066738 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0568067 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.387939 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0464407 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0715051 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0568067 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0340142 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0115591 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0599639 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.143674 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0667373 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0346787 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0125445 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.151718 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.122434 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.105763 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0616792 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00624443 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.080769 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0581057 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0616792 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0802995 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.07149 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0863019 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0406745 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.105762 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0143828 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0272109 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.025277 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.000850368 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00345381 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.020823 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0570627 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0035315 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.00345381 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0523992 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0316603 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0190376 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.119473 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.000850368 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0420152 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0229743 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.00365454 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0390199 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0221689 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0897 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0129548 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0390199 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0220464 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.127662 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.162494 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.131114 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.162963 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.0391381 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0907656 # DEPENDENCYPART_SIBL
(3,5),(3,22),0.0204361 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.014149 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0525731 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0258378 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.016289 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0413748 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0199378 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0323846 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.070611 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0391671 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0443047 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0333396 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.00536629 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0184518 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0257472 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0190827 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.101718 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0357908 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0429597 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0503721 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0137548 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.0793264 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0183964 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.00904437 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.000743329 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00732403 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0280953 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0420904 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0473535 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0971861 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0380988 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.0278384 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0342858 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.0553471 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0259892 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0429761 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0863489 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0899529 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.154314 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0898123 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0460286 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.0771247 # DEPENDENCYPART_SIBL
(3,9),(3,22),0.0234172 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0413748 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0199378 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0323846 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.070611 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0391671 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0443047 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.0333396 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.00536629 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.011737 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0413946 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.126131 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0535059 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0186202 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.119398 # DEPENDENCYPART_SIBL
(3,11),(3,22),0.00231471 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.136733 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.133183 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0956402 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.00871446 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.0903329 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.0335016 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.155572 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0408562 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.00940739 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.0733933 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0514808 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.0775958 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.0210292 # DEPENDENCYPART_SIBL
(3,16),(3,20),-0.0801536 # DEPENDENCYPART_SIBL
(3,16),(3,22),-0.0453099 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.039138 # DEPENDENCYPART_SIBL
(3,18),(3,20),-0.0907657 # DEPENDENCYPART_SIBL
(3,18),(3,22),0.0180191 # DEPENDENCYPART_SIBL
(3,19),(3,20),-0.0632186 # DEPENDENCYPART_SIBL
(3,19),(3,22),0.0528138 # DEPENDENCYPART_SIBL
(3,20),(3,22),-0.00149239 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0344378 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.120454 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.136617 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.587601 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0119122 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.136617 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0237733 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0700222 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0985753 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0142985 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0490595 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0985753 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0912495 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0355621 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.129973 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.010032 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0355621 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0558968 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.169971 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0583012 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.151029 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.132022 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0157779 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0151646 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0368592 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0420636 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0286279 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.132022 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0364204 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00283144 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00455884 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0882448 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.606459 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0137074 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0395907 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0882448 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0668472 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0368261 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0973672 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0536841 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0173972 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0140917 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.146056 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0120479 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0128573 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0426281 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0305593 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0508062 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0265157 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0426281 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0128077 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0256688 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0474135 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0472842 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0530173 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0487089 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.108655 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0320989 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0100276 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.032092 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0113073 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0661024 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0100276 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.000399287 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0261581 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0724465 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.00238551 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0264562 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.00345102 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.0513098 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0109326 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0363275 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0694888 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0793981 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0109326 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0564198 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0755217 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0213294 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.00202713 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0114297 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.00893647 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.0619552 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.060437 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0214318 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0243604 # DEPENDENCYPART_SIBL
