# _root_ That debt would be paid off as the assets are sold , leaving the total spending for the bailout at $ 50 billion , or $ 166 billion including interest over 10 years .
#goldHeads=2,3,0,3,4,5,5,9,10,7,10,5,5,16,16,13,16,19,17,13,20,21,21,21,21,25,26,26,26,29,30,33,31,3,
#predictedHeads=2,3,0,3,4,5,5,9,10,7,10,11,11,16,16,13,16,19,17,13,20,21,21,21,21,25,26,26,16,29,30,33,31,3,
(11,12),0.17739 # DEPENDENCYPART_ARC
(11,13),-0.403814 # DEPENDENCYPART_ARC
(11,15),-1.28886 # DEPENDENCYPART_ARC
(11,16),-0.961738 # DEPENDENCYPART_ARC
(11,17),-0.882491 # DEPENDENCYPART_ARC
(11,19),-1.31193 # DEPENDENCYPART_ARC
(11,20),-1.19795 # DEPENDENCYPART_ARC
(11,21),-1.66173 # DEPENDENCYPART_ARC
(11,24),-1.19738 # DEPENDENCYPART_ARC
(11,29),-1.79508 # DEPENDENCYPART_ARC
(11,31),-1.70679 # DEPENDENCYPART_ARC
(11,34),-1.7704 # DEPENDENCYPART_ARC
(12,13),-0.228096 # DEPENDENCYPART_ARC
(13,3),-2.03713 # DEPENDENCYPART_ARC
(13,9),-1.72827 # DEPENDENCYPART_ARC
(13,11),-1.71383 # DEPENDENCYPART_ARC
(13,12),-0.415024 # DEPENDENCYPART_ARC
(13,14),0.55577 # DEPENDENCYPART_ARC
(13,15),-0.0367244 # DEPENDENCYPART_ARC
(13,16),0.289301 # DEPENDENCYPART_ARC
(13,17),-0.232666 # DEPENDENCYPART_ARC
(13,19),-0.488174 # DEPENDENCYPART_ARC
(13,20),-0.592065 # DEPENDENCYPART_ARC
(13,21),-1.15761 # DEPENDENCYPART_ARC
(13,23),-1.41731 # DEPENDENCYPART_ARC
(13,24),-0.954635 # DEPENDENCYPART_ARC
(13,25),-1.41884 # DEPENDENCYPART_ARC
(13,26),-1.42753 # DEPENDENCYPART_ARC
(13,29),-1.49639 # DEPENDENCYPART_ARC
(13,30),-1.27891 # DEPENDENCYPART_ARC
(13,31),-1.24259 # DEPENDENCYPART_ARC
(13,33),-1.36159 # DEPENDENCYPART_ARC
(13,34),-0.792409 # DEPENDENCYPART_ARC
(15,14),-0.237334 # DEPENDENCYPART_ARC
(15,17),-1.22496 # DEPENDENCYPART_ARC
(16,8),-1.70437 # DEPENDENCYPART_ARC
(16,9),-1.44075 # DEPENDENCYPART_ARC
(16,11),-1.35573 # DEPENDENCYPART_ARC
(16,12),-1.70237 # DEPENDENCYPART_ARC
(16,13),-1.05265 # DEPENDENCYPART_ARC
(16,14),0.452614 # DEPENDENCYPART_ARC
(16,15),1.51931 # DEPENDENCYPART_ARC
(16,17),0.264033 # DEPENDENCYPART_ARC
(16,19),-1.24686 # DEPENDENCYPART_ARC
(16,20),-1.43566 # DEPENDENCYPART_ARC
(16,21),-1.6218 # DEPENDENCYPART_ARC
(16,24),-1.85366 # DEPENDENCYPART_ARC
(16,25),-2.14456 # DEPENDENCYPART_ARC
(16,29),-1.72125 # DEPENDENCYPART_ARC
(16,31),-1.531 # DEPENDENCYPART_ARC
(16,34),-2.23437 # DEPENDENCYPART_ARC
(17,16),-0.914835 # DEPENDENCYPART_ARC
(17,18),-0.130804 # DEPENDENCYPART_ARC
(17,19),0.192936 # DEPENDENCYPART_ARC
(17,20),-1.10237 # DEPENDENCYPART_ARC
(17,21),-1.32976 # DEPENDENCYPART_ARC
(17,23),-1.96915 # DEPENDENCYPART_ARC
(17,26),-2.06294 # DEPENDENCYPART_ARC
(17,33),-1.94431 # DEPENDENCYPART_ARC
(17,34),-1.14181 # DEPENDENCYPART_ARC
(19,14),-2.05826 # DEPENDENCYPART_ARC
(19,15),-1.42855 # DEPENDENCYPART_ARC
(19,16),-1.57972 # DEPENDENCYPART_ARC
(19,18),1.23716 # DEPENDENCYPART_ARC
(19,20),0.0541398 # DEPENDENCYPART_ARC
(19,21),-1.09618 # DEPENDENCYPART_ARC
(19,23),-1.63607 # DEPENDENCYPART_ARC
(19,24),-1.74938 # DEPENDENCYPART_ARC
(19,25),-1.8888 # DEPENDENCYPART_ARC
(19,29),-1.57838 # DEPENDENCYPART_ARC
(19,31),-1.47706 # DEPENDENCYPART_ARC
(20,17),-1.52735 # DEPENDENCYPART_ARC
(20,19),-0.86675 # DEPENDENCYPART_ARC
(20,21),0.480365 # DEPENDENCYPART_ARC
(20,22),-0.997984 # DEPENDENCYPART_ARC
(20,23),-1.41427 # DEPENDENCYPART_ARC
(20,24),-1.331 # DEPENDENCYPART_ARC
(20,25),-1.58243 # DEPENDENCYPART_ARC
(20,26),-1.8776 # DEPENDENCYPART_ARC
(20,28),-2.28796 # DEPENDENCYPART_ARC
(20,30),-1.87693 # DEPENDENCYPART_ARC
(20,33),-2.25366 # DEPENDENCYPART_ARC
(21,16),-1.61036 # DEPENDENCYPART_ARC
(21,17),-1.63303 # DEPENDENCYPART_ARC
(21,18),-1.46887 # DEPENDENCYPART_ARC
(21,19),-1.2149 # DEPENDENCYPART_ARC
(21,20),-0.0299479 # DEPENDENCYPART_ARC
(21,22),1.44347 # DEPENDENCYPART_ARC
(21,23),0.112521 # DEPENDENCYPART_ARC
(21,24),-0.419491 # DEPENDENCYPART_ARC
(21,25),-0.865452 # DEPENDENCYPART_ARC
(21,26),-1.03484 # DEPENDENCYPART_ARC
(21,27),-1.30893 # DEPENDENCYPART_ARC
(21,28),-1.61719 # DEPENDENCYPART_ARC
(21,29),-1.11484 # DEPENDENCYPART_ARC
(21,30),-1.4422 # DEPENDENCYPART_ARC
(21,31),-1.5157 # DEPENDENCYPART_ARC
(21,32),-2.49494 # DEPENDENCYPART_ARC
(21,34),-1.45832 # DEPENDENCYPART_ARC
(22,23),-0.47248 # DEPENDENCYPART_ARC
(23,17),-1.66615 # DEPENDENCYPART_ARC
(23,22),0.418239 # DEPENDENCYPART_ARC
(23,24),-0.420834 # DEPENDENCYPART_ARC
(23,25),-1.2003 # DEPENDENCYPART_ARC
(23,26),-1.43943 # DEPENDENCYPART_ARC
(25,26),0.48016 # DEPENDENCYPART_ARC
(25,27),-0.778461 # DEPENDENCYPART_ARC
(25,28),-1.4786 # DEPENDENCYPART_ARC
(25,29),-1.43072 # DEPENDENCYPART_ARC
(25,30),-1.43303 # DEPENDENCYPART_ARC
(25,33),-2.31764 # DEPENDENCYPART_ARC
(26,20),-1.63415 # DEPENDENCYPART_ARC
(26,23),-1.69199 # DEPENDENCYPART_ARC
(26,25),-0.204106 # DEPENDENCYPART_ARC
(26,27),1.45179 # DEPENDENCYPART_ARC
(26,28),0.0675674 # DEPENDENCYPART_ARC
(26,29),-0.597916 # DEPENDENCYPART_ARC
(26,30),-0.988252 # DEPENDENCYPART_ARC
(26,31),-1.14957 # DEPENDENCYPART_ARC
(26,32),-1.72306 # DEPENDENCYPART_ARC
(26,33),-1.54055 # DEPENDENCYPART_ARC
(26,34),-1.25602 # DEPENDENCYPART_ARC
(27,28),-0.384395 # DEPENDENCYPART_ARC
(27,30),-1.30943 # DEPENDENCYPART_ARC
(28,23),-1.50101 # DEPENDENCYPART_ARC
(28,26),-1.17358 # DEPENDENCYPART_ARC
(28,27),0.399262 # DEPENDENCYPART_ARC
(28,29),-0.300519 # DEPENDENCYPART_ARC
(28,30),-1.11008 # DEPENDENCYPART_ARC
(29,19),-1.7897 # DEPENDENCYPART_ARC
(29,26),-1.42135 # DEPENDENCYPART_ARC
(29,27),-1.62577 # DEPENDENCYPART_ARC
(29,28),-0.546703 # DEPENDENCYPART_ARC
(29,30),0.492573 # DEPENDENCYPART_ARC
(29,31),-0.727159 # DEPENDENCYPART_ARC
(29,32),-1.41581 # DEPENDENCYPART_ARC
(29,33),-0.923968 # DEPENDENCYPART_ARC
(30,18),-1.43187 # DEPENDENCYPART_ARC
(30,21),-1.38532 # DEPENDENCYPART_ARC
(30,26),-0.754279 # DEPENDENCYPART_ARC
(30,27),-1.07016 # DEPENDENCYPART_ARC
(30,28),-0.487467 # DEPENDENCYPART_ARC
(30,29),0.451821 # DEPENDENCYPART_ARC
(30,31),0.570122 # DEPENDENCYPART_ARC
(30,32),-0.871954 # DEPENDENCYPART_ARC
(30,33),-0.908088 # DEPENDENCYPART_ARC
(31,30),-0.889072 # DEPENDENCYPART_ARC
(31,32),-0.357982 # DEPENDENCYPART_ARC
(31,33),-0.116295 # DEPENDENCYPART_ARC
(32,28),-1.77452 # DEPENDENCYPART_ARC
(32,31),-0.175413 # DEPENDENCYPART_ARC
(33,21),-2.39282 # DEPENDENCYPART_ARC
(33,26),-1.99075 # DEPENDENCYPART_ARC
(33,28),-1.30597 # DEPENDENCYPART_ARC
(33,30),-1.19888 # DEPENDENCYPART_ARC
(33,32),1.3542 # DEPENDENCYPART_ARC
(34,33),-0.749872 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0679234 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0558132 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0314236 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0225137 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.108956 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.076682 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0445838 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0386436 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0947277 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0815743 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0495758 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.125192 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0465846 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0674563 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0737059 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.126155 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0714632 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0493105 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.109917 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.044082 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.000574321 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0806 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0470944 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0704683 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0489008 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0886029 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.121102 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.112123 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.219406 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0206128 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0900555 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0393952 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0435127 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0114935 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0196147 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0399024 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0259604 # DEPENDENCYPART_SIBL
(2,3),(2,11),-6.47246e-05 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0399993 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0168102 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0111915 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0292312 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0195206 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.06657 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.035287 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.00835143 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0195382 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.00677969 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0311444 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0150047 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.048662 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0310204 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0442138 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.00234822 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.00639309 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0270548 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.034113 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0100847 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0238276 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.00882931 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.00934178 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0554634 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.134002 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0966122 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00927193 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0469268 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0269704 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.105875 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0826136 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0193177 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0233676 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0193177 # DEPENDENCYPART_SIBL
(3,1),(3,25),0.0535908 # DEPENDENCYPART_SIBL
(3,1),(3,34),-0.00896755 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0996976 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0485256 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0326953 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0669005 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0687012 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0734995 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0433086 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0419334 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0730882 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.0419334 # DEPENDENCYPART_SIBL
(3,2),(3,25),-0.0766893 # DEPENDENCYPART_SIBL
(3,2),(3,34),0.0174877 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0767674 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0383813 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0253099 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.00055649 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0144321 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0765063 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.00539889 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.10672 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.00539889 # DEPENDENCYPART_SIBL
(3,4),(3,25),0.0103465 # DEPENDENCYPART_SIBL
(3,4),(3,34),0.102976 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0374306 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0710465 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0269566 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.00553288 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.107381 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0140089 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0692284 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0140089 # DEPENDENCYPART_SIBL
(3,5),(3,25),-0.00539929 # DEPENDENCYPART_SIBL
(3,5),(3,34),-0.038923 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00760828 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.013704 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0140657 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0467464 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0354511 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.00532403 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.0354511 # DEPENDENCYPART_SIBL
(3,6),(3,25),0.02429 # DEPENDENCYPART_SIBL
(3,6),(3,34),-0.00444982 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0126971 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0110036 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.039658 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0105586 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0306353 # DEPENDENCYPART_SIBL
(3,7),(3,24),-0.0105586 # DEPENDENCYPART_SIBL
(3,7),(3,25),-0.0228553 # DEPENDENCYPART_SIBL
(3,7),(3,34),0.0137032 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.013832 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.000430574 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0217825 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0314547 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.0217825 # DEPENDENCYPART_SIBL
(3,9),(3,25),0.00301331 # DEPENDENCYPART_SIBL
(3,9),(3,34),0.0433689 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.00769042 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0196252 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0310715 # DEPENDENCYPART_SIBL
(3,10),(3,24),0.0196252 # DEPENDENCYPART_SIBL
(3,10),(3,25),0.0128917 # DEPENDENCYPART_SIBL
(3,10),(3,34),0.0705517 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0113144 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0728963 # DEPENDENCYPART_SIBL
(3,11),(3,24),-0.0113144 # DEPENDENCYPART_SIBL
(3,11),(3,25),-0.000227342 # DEPENDENCYPART_SIBL
(3,11),(3,34),-0.0301834 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.00649338 # DEPENDENCYPART_SIBL
(3,12),(3,24),-0.000289775 # DEPENDENCYPART_SIBL
(3,12),(3,25),0.0683092 # DEPENDENCYPART_SIBL
(3,12),(3,34),-0.00230775 # DEPENDENCYPART_SIBL
(3,13),(3,24),-0.0126671 # DEPENDENCYPART_SIBL
(3,13),(3,25),-0.0321307 # DEPENDENCYPART_SIBL
(3,13),(3,34),-0.0295118 # DEPENDENCYPART_SIBL
(3,24),(3,25),0.0683092 # DEPENDENCYPART_SIBL
(3,24),(3,34),-0.00230775 # DEPENDENCYPART_SIBL
(3,25),(3,34),-0.0950242 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0363663 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0185274 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0884221 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.151833 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.234355 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.240507 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0780866 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.115483 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.186432 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.188724 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.148291 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.132996 # DEPENDENCYPART_SIBL
(4,1),(4,34),-0.153913 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0548387 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0590832 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.028832 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0494709 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0262828 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.00232152 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0518564 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0279269 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0445379 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0125927 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0189352 # DEPENDENCYPART_SIBL
(4,2),(4,34),0.0246133 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0207145 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0172805 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.133081 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0300121 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0391021 # DEPENDENCYPART_SIBL
