# _root_ By 10:25 , the Dow had turned up for the day , prompting cheers on trading desks and exchange floors .
#goldHeads=6,1,6,5,6,0,6,7,7,11,9,7,7,13,13,17,15,17,20,18,6,
#predictedHeads=6,1,6,5,6,0,6,7,7,11,9,7,7,13,14,17,15,17,20,18,6,
(0,2),(0,6),-0.105729 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0438788 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0933888 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00682385 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0418385 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0642131 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0542236 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0680915 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0137469 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0017296 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.00682385 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.0770875 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0469401 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0416362 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0037082 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.00658129 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0499566 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.090195 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0158565 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.0284934 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0867497 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0638585 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0336464 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0295252 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.00596399 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0130902 # DEPENDENCYPART_SIBL
(1,4),(1,21),-0.120414 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0614964 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0748421 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0340836 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0239113 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0365522 # DEPENDENCYPART_SIBL
(1,5),(1,21),-0.0544421 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0263735 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0438851 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0782637 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.00170057 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.0609389 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0239209 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0505617 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0180934 # DEPENDENCYPART_SIBL
(1,7),(1,21),-0.0053997 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0150286 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.00375561 # DEPENDENCYPART_SIBL
(1,8),(1,21),-0.0377708 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0162073 # DEPENDENCYPART_SIBL
(1,9),(1,21),-0.00658887 # DEPENDENCYPART_SIBL
(1,12),(1,21),0.0284934 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0562091 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0343111 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0488258 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0172123 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0105016 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.00428382 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0272437 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0811931 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0562091 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.00874907 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0379026 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.100301 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0283896 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0444268 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0102231 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0480356 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.113526 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.123081 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0841569 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0130664 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0327213 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0103696 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0243317 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0122063 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.00437797 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.000905958 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0209969 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0267099 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0238722 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0284016 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0166294 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.00961483 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0163548 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.013281 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0234487 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.00479009 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0284473 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.00260023 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0336025 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0173437 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0107177 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.06168 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.00110251 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0756706 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.00233104 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0371939 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0565582 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.000945746 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.046257 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0870303 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0329031 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0180907 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0475668 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.00790783 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0841569 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.00137899 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0396223 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00506432 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0280513 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0196064 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0415705 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.012351 # DEPENDENCYPART_SIBL
(5,1),(5,2),-9.14466e-05 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0600928 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0243995 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0171621 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0464483 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0724057 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00914285 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0146048 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.065701 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.174961 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0345957 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0803892 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0234656 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0336607 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0637002 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.04421 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.00747992 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0117012 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0586214 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0401192 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0645142 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.024934 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.00751594 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0645037 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.024603 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.142469 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0535684 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0861344 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0263438 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.00861095 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.00849828 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.00829237 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0538921 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.00089311 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0100889 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.039922 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0032582 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0094548 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0399163 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0200891 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.0265319 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0294515 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.00923091 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0437719 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.00749201 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.00251561 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0211272 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00566389 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0635698 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0306575 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0398277 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0235167 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0183466 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0937452 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.0512636 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0808546 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0442146 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.118907 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0143759 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.118433 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.101027 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0507833 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0725286 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0211153 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0830052 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0720447 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.121588 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0844552 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0574542 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.000907954 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.03445 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0219905 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.00652386 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0365342 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0364787 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0517718 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0280272 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.0328428 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0177785 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.0164518 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.189742 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.090269 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.142132 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0245301 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.107807 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0967174 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.130449 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.139306 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0964449 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0111701 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.0392412 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.109311 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.00371781 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0305021 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0652439 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0213687 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0291456 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0204679 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0211476 # DEPENDENCYPART_SIBL
(6,8),(6,18),1.71499e-05 # DEPENDENCYPART_SIBL
(6,8),(6,21),0.0120982 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.000389762 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0753859 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0146366 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0359746 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0368728 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0303797 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0359516 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0125915 # DEPENDENCYPART_SIBL
(6,9),(6,21),-0.0148591 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.101254 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.0215434 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.0983242 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.033241 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0128085 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.0983247 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.0123845 # DEPENDENCYPART_SIBL
(6,11),(6,21),-0.0221631 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.116916 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.018546 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.0118692 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.0466602 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.0250093 # DEPENDENCYPART_SIBL
(6,12),(6,18),0.0471254 # DEPENDENCYPART_SIBL
(6,12),(6,21),0.0264857 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.0496546 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0417361 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.0523372 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.0496551 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.0248925 # DEPENDENCYPART_SIBL
(6,13),(6,21),0.0562443 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.01692 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.0760514 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.067929 # DEPENDENCYPART_SIBL
(6,14),(6,18),0.0337522 # DEPENDENCYPART_SIBL
(6,14),(6,21),0.0660528 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.00309271 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.015155 # DEPENDENCYPART_SIBL
(6,15),(6,18),-0.0229103 # DEPENDENCYPART_SIBL
(6,15),(6,21),0.0276195 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.0799048 # DEPENDENCYPART_SIBL
(6,16),(6,18),-0.0182709 # DEPENDENCYPART_SIBL
(6,16),(6,21),-0.00730729 # DEPENDENCYPART_SIBL
(6,17),(6,18),0.0322109 # DEPENDENCYPART_SIBL
(6,17),(6,21),0.0663909 # DEPENDENCYPART_SIBL
(6,18),(6,21),-0.0168269 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0109973 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.00504459 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0120905 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0118911 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0238264 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.00591783 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.069678 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0293248 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.103345 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0688829 # DEPENDENCYPART_SIBL
