# _root_ Isao Ushikubo , general manager of the investment research department at Toyo Trust & Banking Co. , also was optimistic .
#goldHeads=2,19,2,5,2,5,10,10,10,6,10,13,11,13,14,15,2,19,0,19,19,
#predictedHeads=2,19,2,5,2,5,10,10,10,6,10,13,11,13,14,15,2,19,0,19,19,
(4,5),-0.26021 # DEPENDENCYPART_ARC
(4,6),-1.09141 # DEPENDENCYPART_ARC
(5,1),-0.96083 # DEPENDENCYPART_ARC
(5,2),-0.927225 # DEPENDENCYPART_ARC
(5,3),-0.968503 # DEPENDENCYPART_ARC
(5,4),1.48298 # DEPENDENCYPART_ARC
(5,6),0.550322 # DEPENDENCYPART_ARC
(5,7),-1.33019 # DEPENDENCYPART_ARC
(5,8),-0.908498 # DEPENDENCYPART_ARC
(5,9),-1.16017 # DEPENDENCYPART_ARC
(5,10),-1.30618 # DEPENDENCYPART_ARC
(5,11),-1.07863 # DEPENDENCYPART_ARC
(5,13),-1.85103 # DEPENDENCYPART_ARC
(5,14),-1.72046 # DEPENDENCYPART_ARC
(5,15),-1.96528 # DEPENDENCYPART_ARC
(5,17),-1.32838 # DEPENDENCYPART_ARC
(5,18),-1.93002 # DEPENDENCYPART_ARC
(5,19),-1.64081 # DEPENDENCYPART_ARC
(5,20),-1.98606 # DEPENDENCYPART_ARC
(5,21),-1.68709 # DEPENDENCYPART_ARC
(6,3),-1.96093 # DEPENDENCYPART_ARC
(6,4),-1.92902 # DEPENDENCYPART_ARC
(6,7),-0.0817246 # DEPENDENCYPART_ARC
(6,8),-0.0788581 # DEPENDENCYPART_ARC
(6,9),-0.830977 # DEPENDENCYPART_ARC
(6,10),-0.903113 # DEPENDENCYPART_ARC
(6,11),-1.17902 # DEPENDENCYPART_ARC
(6,13),-1.83657 # DEPENDENCYPART_ARC
(6,14),-1.47472 # DEPENDENCYPART_ARC
(6,15),-2.38592 # DEPENDENCYPART_ARC
(6,16),-2.27185 # DEPENDENCYPART_ARC
(6,21),-1.76117 # DEPENDENCYPART_ARC
(8,7),-0.161659 # DEPENDENCYPART_ARC
(8,9),-0.561449 # DEPENDENCYPART_ARC
(8,11),-1.2612 # DEPENDENCYPART_ARC
(9,7),-0.809882 # DEPENDENCYPART_ARC
(9,8),0.47426 # DEPENDENCYPART_ARC
(9,10),-0.528999 # DEPENDENCYPART_ARC
(9,11),-1.44328 # DEPENDENCYPART_ARC
(9,13),-1.89913 # DEPENDENCYPART_ARC
(10,1),-1.89838 # DEPENDENCYPART_ARC
(10,2),-2.0781 # DEPENDENCYPART_ARC
(10,3),-1.99393 # DEPENDENCYPART_ARC
(10,4),-1.3515 # DEPENDENCYPART_ARC
(10,5),-1.12589 # DEPENDENCYPART_ARC
(10,6),-0.736024 # DEPENDENCYPART_ARC
(10,7),0.0264463 # DEPENDENCYPART_ARC
(10,8),0.664316 # DEPENDENCYPART_ARC
(10,9),1.79355 # DEPENDENCYPART_ARC
(10,11),0.0498938 # DEPENDENCYPART_ARC
(10,13),-1.40102 # DEPENDENCYPART_ARC
(10,14),-1.69005 # DEPENDENCYPART_ARC
(10,15),-1.79288 # DEPENDENCYPART_ARC
(10,16),-1.80685 # DEPENDENCYPART_ARC
(10,17),-1.62118 # DEPENDENCYPART_ARC
(10,18),-2.12065 # DEPENDENCYPART_ARC
(10,19),-1.7185 # DEPENDENCYPART_ARC
(10,20),-2.1312 # DEPENDENCYPART_ARC
(10,21),-1.62773 # DEPENDENCYPART_ARC
(11,10),-0.922538 # DEPENDENCYPART_ARC
(11,12),-0.0140851 # DEPENDENCYPART_ARC
(11,13),-0.367601 # DEPENDENCYPART_ARC
(11,14),-1.2895 # DEPENDENCYPART_ARC
(11,15),-1.57651 # DEPENDENCYPART_ARC
(11,16),-1.22697 # DEPENDENCYPART_ARC
(11,17),-1.28723 # DEPENDENCYPART_ARC
(11,18),-1.73597 # DEPENDENCYPART_ARC
(11,19),-1.52538 # DEPENDENCYPART_ARC
(11,20),-2.22165 # DEPENDENCYPART_ARC
(11,21),-1.89005 # DEPENDENCYPART_ARC
(12,13),-0.485159 # DEPENDENCYPART_ARC
(12,14),-0.874619 # DEPENDENCYPART_ARC
(12,15),-1.97365 # DEPENDENCYPART_ARC
(12,16),-1.98743 # DEPENDENCYPART_ARC
(12,19),-2.08266 # DEPENDENCYPART_ARC
(13,1),-2.27032 # DEPENDENCYPART_ARC
(13,2),-2.90196 # DEPENDENCYPART_ARC
(13,4),-1.84776 # DEPENDENCYPART_ARC
(13,5),-1.5551 # DEPENDENCYPART_ARC
(13,7),-1.96109 # DEPENDENCYPART_ARC
(13,8),-0.860035 # DEPENDENCYPART_ARC
(13,9),-0.601308 # DEPENDENCYPART_ARC
(13,10),-0.678526 # DEPENDENCYPART_ARC
(13,11),-1.0386 # DEPENDENCYPART_ARC
(13,12),1.63851 # DEPENDENCYPART_ARC
(13,14),1.43564 # DEPENDENCYPART_ARC
(13,15),-0.926288 # DEPENDENCYPART_ARC
(13,16),-0.860176 # DEPENDENCYPART_ARC
(13,17),-1.03609 # DEPENDENCYPART_ARC
(13,18),-1.31943 # DEPENDENCYPART_ARC
(13,19),-1.19457 # DEPENDENCYPART_ARC
(13,20),-1.5712 # DEPENDENCYPART_ARC
(13,21),-1.28108 # DEPENDENCYPART_ARC
(14,15),0.145697 # DEPENDENCYPART_ARC
(14,16),-0.858955 # DEPENDENCYPART_ARC
(14,17),-0.930738 # DEPENDENCYPART_ARC
(14,18),-1.55112 # DEPENDENCYPART_ARC
(14,19),-1.425 # DEPENDENCYPART_ARC
(14,20),-2.05133 # DEPENDENCYPART_ARC
(15,10),-2.05296 # DEPENDENCYPART_ARC
(15,12),-2.08216 # DEPENDENCYPART_ARC
(15,13),-1.77288 # DEPENDENCYPART_ARC
(15,16),0.139808 # DEPENDENCYPART_ARC
(15,17),-1.05486 # DEPENDENCYPART_ARC
(15,18),-1.35949 # DEPENDENCYPART_ARC
(15,19),-1.38275 # DEPENDENCYPART_ARC
(15,20),-1.65127 # DEPENDENCYPART_ARC
(15,21),-1.35926 # DEPENDENCYPART_ARC
(16,7),-2.60095 # DEPENDENCYPART_ARC
(16,12),-1.30755 # DEPENDENCYPART_ARC
(16,13),-1.79609 # DEPENDENCYPART_ARC
(16,15),0.94791 # DEPENDENCYPART_ARC
(16,17),-0.42989 # DEPENDENCYPART_ARC
(16,18),-1.59613 # DEPENDENCYPART_ARC
(16,19),-1.59434 # DEPENDENCYPART_ARC
(16,20),-2.004 # DEPENDENCYPART_ARC
(18,11),-1.87805 # DEPENDENCYPART_ARC
(18,20),-1.5211 # DEPENDENCYPART_ARC
(19,1),-1.23285 # DEPENDENCYPART_ARC
(19,2),-1.30598 # DEPENDENCYPART_ARC
(19,3),-1.52314 # DEPENDENCYPART_ARC
(19,4),-1.2622 # DEPENDENCYPART_ARC
(19,5),-1.16842 # DEPENDENCYPART_ARC
(19,6),-1.3877 # DEPENDENCYPART_ARC
(19,8),-1.19777 # DEPENDENCYPART_ARC
(19,9),-1.05705 # DEPENDENCYPART_ARC
(19,10),-1.03243 # DEPENDENCYPART_ARC
(19,11),-1.19192 # DEPENDENCYPART_ARC
(19,12),-1.40345 # DEPENDENCYPART_ARC
(19,13),-1.23851 # DEPENDENCYPART_ARC
(19,14),-1.3481 # DEPENDENCYPART_ARC
(19,15),-1.29624 # DEPENDENCYPART_ARC
(19,16),-1.13942 # DEPENDENCYPART_ARC
(19,17),-0.70122 # DEPENDENCYPART_ARC
(19,18),0.514089 # DEPENDENCYPART_ARC
(19,20),0.742196 # DEPENDENCYPART_ARC
(19,21),0.180038 # DEPENDENCYPART_ARC
(20,2),-1.95809 # DEPENDENCYPART_ARC
(20,15),-1.48839 # DEPENDENCYPART_ARC
(20,16),-1.35846 # DEPENDENCYPART_ARC
(20,18),-1.0087 # DEPENDENCYPART_ARC
(20,21),-0.389311 # DEPENDENCYPART_ARC
(21,20),-0.86405 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0534343 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0639194 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0611449 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.146551 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0639194 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0611449 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.146551 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.084549 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.12185 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.124146 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00463368 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0190555 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0282841 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.00225213 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0274932 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0222631 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0740067 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.00463368 # DEPENDENCYPART_SIBL
(1,2),(1,21),0.0259612 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0272209 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0658291 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0311063 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0468456 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.00691476 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0426669 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0316677 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.0267147 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0185283 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00110996 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0207653 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.00305823 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.032109 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.00258876 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.0420557 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0155072 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.108733 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.00896328 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0262844 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0360175 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.0886469 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.134617 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0198251 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0124535 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.0253341 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.0624618 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.00765615 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.0214748 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.030886 # DEPENDENCYPART_SIBL
(1,10),(1,21),0.0968192 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.0128082 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.0218091 # DEPENDENCYPART_SIBL
(1,11),(1,21),0.0599873 # DEPENDENCYPART_SIBL
(1,14),(1,17),0.0487035 # DEPENDENCYPART_SIBL
(1,14),(1,21),-0.0556857 # DEPENDENCYPART_SIBL
(1,17),(1,21),0.0267147 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0658534 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.010994 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0625966 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0346407 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0305568 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0335586 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0944812 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0370555 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.00518335 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0882281 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.268863 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0658534 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0529208 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0640725 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0589341 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0272209 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0658291 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0311063 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.052063 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0379342 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0468456 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.00691476 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0757679 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0426669 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0209149 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0316677 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0790325 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0283232 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0267147 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0185283 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00110996 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0293843 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.020461 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0207653 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.00305823 # DEPENDENCYPART_SIBL
(2,4),(2,13),-9.48768e-05 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.032109 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0211719 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.00258876 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0083695 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0356234 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.0420557 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0155072 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.117437 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.108597 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.108733 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.00896328 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.00063355 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0262844 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.012993 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0360175 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.00890708 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.00115842 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.0886469 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.121954 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.125523 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.134617 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0198251 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0196393 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0124535 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.00461594 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0253341 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0120078 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.00544448 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.0624618 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.102686 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.102822 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.000546648 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.00147526 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0273377 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.015068 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0227786 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0108229 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.00518271 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.0712658 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.101569 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0268226 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.00527807 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0299957 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.00834847 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0411146 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.00732302 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.000603595 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.0845732 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.00765615 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.00464929 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0214748 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.00897724 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.030886 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.00281678 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.00305054 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.0968192 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0103803 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0128082 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0279145 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.0218091 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0142216 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0274336 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.0599873 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0757661 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0510959 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.00488669 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0028205 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.0520655 # DEPENDENCYPART_SIBL
(2,13),(2,21),0.0229059 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0866272 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.0487035 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0150314 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.00302699 # DEPENDENCYPART_SIBL
(2,14),(2,21),-0.0556857 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.173019 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.0753915 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.022218 # DEPENDENCYPART_SIBL
(2,16),(2,21),0.093006 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.0790325 # DEPENDENCYPART_SIBL
(2,17),(2,19),0.0283232 # DEPENDENCYPART_SIBL
(2,17),(2,21),0.0267147 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.000602916 # DEPENDENCYPART_SIBL
(2,18),(2,21),0.0530088 # DEPENDENCYPART_SIBL
(2,19),(2,21),0.00684145 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00279729 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0764171 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.194823 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0288964 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0503652 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.194823 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0288964 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0503652 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0966768 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0635311 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0282373 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0375978 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0429059 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0221086 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.16888 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0672159 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.00544651 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.000442714 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0134677 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.138986 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0263615 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.01008 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0119519 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0720281 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0827119 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0394523 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0422135 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.00976415 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0429059 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0221086 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.16888 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0672159 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.00544651 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.000442714 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0134677 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.138986 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0263615 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.01008 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0119519 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0720281 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0827119 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0394523 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0422135 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.00976415 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0407828 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.143067 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.054476 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00587339 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0282953 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0238266 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0719283 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.00891677 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.176562 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0310139 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0440884 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0886691 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.0102213 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0344294 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.0562695 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0272287 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0260758 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.00573533 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.00440242 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.00864421 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0638052 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.066983 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0335659 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0318297 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0444161 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0722898 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0042752 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.00800891 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.00333004 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0460245 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0217642 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.00562116 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0130056 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.046252 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.00247788 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0716378 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.00871133 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.029766 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0296384 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0623228 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.0191597 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.00391265 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0297108 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0351789 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0336482 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0387691 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0531274 # DEPENDENCYPART_SIBL
