# _root_ But then , as quickly as the Dow had fallen , it began to turn around .
#goldHeads=13,13,13,13,4,4,8,9,6,9,13,13,0,13,14,15,13,
#predictedHeads=13,13,13,13,4,4,8,9,6,9,13,13,0,13,14,15,13,
(8,5),-1.41329 # DEPENDENCYPART_ARC
(8,6),-1.09106 # DEPENDENCYPART_ARC
(8,7),0.81813 # DEPENDENCYPART_ARC
(8,9),-0.491542 # DEPENDENCYPART_ARC
(8,10),-1.35953 # DEPENDENCYPART_ARC
(8,11),-1.6181 # DEPENDENCYPART_ARC
(8,13),-1.93297 # DEPENDENCYPART_ARC
(9,1),-1.44876 # DEPENDENCYPART_ARC
(9,2),-1.47147 # DEPENDENCYPART_ARC
(9,3),-1.43056 # DEPENDENCYPART_ARC
(9,4),-1.45354 # DEPENDENCYPART_ARC
(9,5),-1.50676 # DEPENDENCYPART_ARC
(9,6),-1.00645 # DEPENDENCYPART_ARC
(9,7),-1.14702 # DEPENDENCYPART_ARC
(9,8),0.0909331 # DEPENDENCYPART_ARC
(9,10),1.18911 # DEPENDENCYPART_ARC
(9,11),-0.983904 # DEPENDENCYPART_ARC
(9,12),-1.06576 # DEPENDENCYPART_ARC
(9,13),-0.830239 # DEPENDENCYPART_ARC
(9,14),-1.10356 # DEPENDENCYPART_ARC
(9,15),-1.55677 # DEPENDENCYPART_ARC
(9,16),-1.40906 # DEPENDENCYPART_ARC
(9,17),-0.740298 # DEPENDENCYPART_ARC
(10,1),-1.88641 # DEPENDENCYPART_ARC
(10,2),-1.80581 # DEPENDENCYPART_ARC
(10,3),-1.82058 # DEPENDENCYPART_ARC
(10,4),-1.66994 # DEPENDENCYPART_ARC
(10,5),-1.5471 # DEPENDENCYPART_ARC
(10,6),-1.40723 # DEPENDENCYPART_ARC
(10,7),-1.39678 # DEPENDENCYPART_ARC
(10,8),-1.26154 # DEPENDENCYPART_ARC
(10,9),-0.381394 # DEPENDENCYPART_ARC
(10,11),-0.0342332 # DEPENDENCYPART_ARC
(10,12),-0.789367 # DEPENDENCYPART_ARC
(10,13),-0.94529 # DEPENDENCYPART_ARC
(10,14),-0.999702 # DEPENDENCYPART_ARC
(10,15),-1.37238 # DEPENDENCYPART_ARC
(10,16),-1.23126 # DEPENDENCYPART_ARC
(10,17),-1.40588 # DEPENDENCYPART_ARC
(12,11),-0.393124 # DEPENDENCYPART_ARC
(12,14),-1.06581 # DEPENDENCYPART_ARC
(13,1),-1.32601 # DEPENDENCYPART_ARC
(13,2),-1.3154 # DEPENDENCYPART_ARC
(13,3),-1.65356 # DEPENDENCYPART_ARC
(13,4),-1.29235 # DEPENDENCYPART_ARC
(13,5),-1.49932 # DEPENDENCYPART_ARC
(13,6),-0.913814 # DEPENDENCYPART_ARC
(13,7),-1.68419 # DEPENDENCYPART_ARC
(13,8),-1.73164 # DEPENDENCYPART_ARC
(13,9),-1.36703 # DEPENDENCYPART_ARC
(13,10),-1.26599 # DEPENDENCYPART_ARC
(13,11),-0.47887 # DEPENDENCYPART_ARC
(13,12),1.01071 # DEPENDENCYPART_ARC
(13,14),1.21732 # DEPENDENCYPART_ARC
(13,15),-0.26577 # DEPENDENCYPART_ARC
(13,16),-0.669627 # DEPENDENCYPART_ARC
(13,17),-0.554404 # DEPENDENCYPART_ARC
(14,4),-2.18003 # DEPENDENCYPART_ARC
(14,8),-2.21125 # DEPENDENCYPART_ARC
(14,10),-1.93548 # DEPENDENCYPART_ARC
(14,11),-1.5237 # DEPENDENCYPART_ARC
(14,12),-1.46861 # DEPENDENCYPART_ARC
(14,15),0.939143 # DEPENDENCYPART_ARC
(14,16),-0.635844 # DEPENDENCYPART_ARC
(14,17),-1.15146 # DEPENDENCYPART_ARC
(15,1),-2.33815 # DEPENDENCYPART_ARC
(15,2),-1.91684 # DEPENDENCYPART_ARC
(15,3),-2.15122 # DEPENDENCYPART_ARC
(15,4),-1.92513 # DEPENDENCYPART_ARC
(15,5),-1.83258 # DEPENDENCYPART_ARC
(15,6),-1.75575 # DEPENDENCYPART_ARC
(15,8),-1.99536 # DEPENDENCYPART_ARC
(15,10),-1.70467 # DEPENDENCYPART_ARC
(15,11),-1.5862 # DEPENDENCYPART_ARC
(15,12),-1.55498 # DEPENDENCYPART_ARC
(15,16),0.750496 # DEPENDENCYPART_ARC
(15,17),-0.831582 # DEPENDENCYPART_ARC
(16,1),-1.92134 # DEPENDENCYPART_ARC
(16,6),-1.36056 # DEPENDENCYPART_ARC
(16,8),-1.9131 # DEPENDENCYPART_ARC
(16,17),-0.559428 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.0187761 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0320757 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0290933 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.105244 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0221038 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.11564 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.039062 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0810245 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.118512 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0564206 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.129807 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.0101737 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.111816 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0338754 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.120992 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.14654 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0746336 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.134791 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0961181 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.229065 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.103727 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0323662 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0401955 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0182735 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0146097 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0269953 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.194443 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.116856 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.114273 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.118562 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.00654544 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.00766681 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.00561837 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0109809 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.0221471 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0833791 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.169238 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.071515 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0572402 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0291412 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00397318 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0330379 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0286632 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.229436 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.061001 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0362477 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0384048 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.017707 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.05761 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0531919 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.116797 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0145407 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0150968 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00574851 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0358045 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0489375 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0400266 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.138219 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.00632149 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0122287 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0237508 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0565383 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0205974 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0524756 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0433844 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0314483 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0278615 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0309035 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0159507 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0306894 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.103301 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0758135 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0508485 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.140634 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0470979 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.10779 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0656802 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00282731 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0389703 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0373822 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0787976 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.212805 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0400287 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0338344 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0671261 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0254183 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.259219 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0964177 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0250518 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.154268 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00558442 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0641619 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00825322 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.101739 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.172837 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0162346 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0335542 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.197447 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0476291 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.090848 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0493708 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0383497 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0180231 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0457127 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0242949 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0396929 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.71651 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0053005 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0200888 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0707021 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0693471 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0645874 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.212876 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0280988 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0258687 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0339745 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.00782182 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0470494 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0183895 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0406145 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.00243277 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0171354 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0771939 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0133809 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.050861 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0489172 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.000117774 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0608442 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0195368 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0347895 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.065047 # DEPENDENCYPART_SIBL
(4,6),(4,16),1.09883e-05 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0406176 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0181772 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0225626 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0268403 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.00095438 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.00465513 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0168647 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.035293 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.00752307 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0728605 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0516415 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0294998 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0341772 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0384079 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0508809 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0459578 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0284367 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0398097 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0184243 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0545305 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0150791 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0393247 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.000771758 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0161771 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0926654 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0136138 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0120184 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0154821 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0161674 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0156498 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.00270094 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.00707477 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0208185 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0530538 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0147778 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.0922822 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0298248 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0473679 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.0126856 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.0426332 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.00491395 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.00813227 # DEPENDENCYPART_SIBL
(4,13),(4,17),0.0651156 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0295475 # DEPENDENCYPART_SIBL
(4,14),(4,17),0.0671292 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.0453728 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0668744 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00969722 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.00718197 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0470039 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0183601 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.00104663 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.040379 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0726344 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.165833 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0348846 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.238502 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0382752 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0697483 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.197216 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.025245 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0487135 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0276683 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.125037 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.164189 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0524443 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.110054 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0104481 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0514793 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0275694 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00743067 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.00287831 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.014336 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.465161 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.00438976 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0107142 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.594695 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0619785 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0660854 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0627606 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.156921 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.131185 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0861334 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.151655 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.00163107 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0287848 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.039726 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0048171 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0051362 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0306377 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.00754071 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0240754 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.000750782 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0390958 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.00932989 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.00264361 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0376274 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0240449 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0132092 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0155378 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0270892 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.000243512 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0281189 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.045986 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0204807 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.128728 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0307802 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.00729072 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.0409892 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0793446 # DEPENDENCYPART_SIBL
(5,11),(5,17),0.160442 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.0978814 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.206071 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0349695 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.183305 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.179042 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.00806952 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0382496 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0432415 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0397228 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.145578 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0689747 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0395366 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0797977 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0261298 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.33448 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0502182 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.199251 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.125485 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0344951 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0212564 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.00700453 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0269885 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0846079 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.048542 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.097607 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.00513117 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0160811 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.148542 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0906046 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0423375 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.082125 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0550444 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.00929573 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0176618 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.983655 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0394821 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0336172 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0714965 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0875418 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.158548 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.114455 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0284727 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0143882 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0164916 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0242128 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.00229398 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0376282 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.130049 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.000508988 # DEPENDENCYPART_SIBL
