# _root_ Mr. Fromstein disclosed the planned steps , expected within a few months , as Blue Arrow posted a 2.5 % drop in its third-quarter pretax earnings .
#goldHeads=2,3,0,6,6,3,6,6,8,12,12,9,6,3,16,17,14,21,20,21,17,21,26,26,26,22,3,
#predictedHeads=2,3,0,6,6,3,6,6,8,12,12,9,3,3,16,17,14,21,20,21,17,21,26,26,26,22,3,
(8,27),-1.46813 # DEPENDENCYPART_ARC
(9,6),-1.55151 # DEPENDENCYPART_ARC
(9,7),-1.78389 # DEPENDENCYPART_ARC
(9,8),-0.715084 # DEPENDENCYPART_ARC
(9,10),-0.052156 # DEPENDENCYPART_ARC
(9,11),-0.825137 # DEPENDENCYPART_ARC
(9,12),-0.178343 # DEPENDENCYPART_ARC
(9,13),-1.27043 # DEPENDENCYPART_ARC
(9,14),-1.31688 # DEPENDENCYPART_ARC
(9,16),-2.02806 # DEPENDENCYPART_ARC
(9,17),-1.13272 # DEPENDENCYPART_ARC
(9,27),-1.80948 # DEPENDENCYPART_ARC
(10,11),-0.405515 # DEPENDENCYPART_ARC
(10,14),-1.43411 # DEPENDENCYPART_ARC
(11,10),0.0167504 # DEPENDENCYPART_ARC
(11,14),-1.32316 # DEPENDENCYPART_ARC
(12,2),-1.73209 # DEPENDENCYPART_ARC
(12,3),-1.77941 # DEPENDENCYPART_ARC
(12,4),-2.04528 # DEPENDENCYPART_ARC
(12,5),-1.35676 # DEPENDENCYPART_ARC
(12,6),-1.53468 # DEPENDENCYPART_ARC
(12,7),-1.62056 # DEPENDENCYPART_ARC
(12,8),-1.00338 # DEPENDENCYPART_ARC
(12,10),0.387764 # DEPENDENCYPART_ARC
(12,11),1.43924 # DEPENDENCYPART_ARC
(12,13),-0.145047 # DEPENDENCYPART_ARC
(12,14),-1.37354 # DEPENDENCYPART_ARC
(12,15),-1.67424 # DEPENDENCYPART_ARC
(12,16),-1.84713 # DEPENDENCYPART_ARC
(12,17),-1.58791 # DEPENDENCYPART_ARC
(12,21),-2.1964 # DEPENDENCYPART_ARC
(12,22),-2.29538 # DEPENDENCYPART_ARC
(12,26),-2.14785 # DEPENDENCYPART_ARC
(12,27),-2.50044 # DEPENDENCYPART_ARC
(13,12),-0.38571 # DEPENDENCYPART_ARC
(14,12),-1.83642 # DEPENDENCYPART_ARC
(14,13),-0.65107 # DEPENDENCYPART_ARC
(14,15),-0.204846 # DEPENDENCYPART_ARC
(14,16),-0.668703 # DEPENDENCYPART_ARC
(14,17),0.24344 # DEPENDENCYPART_ARC
(14,19),-1.93941 # DEPENDENCYPART_ARC
(14,21),-2.04802 # DEPENDENCYPART_ARC
(14,22),-1.53665 # DEPENDENCYPART_ARC
(14,27),-1.96863 # DEPENDENCYPART_ARC
(15,16),-0.484195 # DEPENDENCYPART_ARC
(15,17),-1.55787 # DEPENDENCYPART_ARC
(15,19),-1.98892 # DEPENDENCYPART_ARC
(16,6),-1.68155 # DEPENDENCYPART_ARC
(16,10),-1.98782 # DEPENDENCYPART_ARC
(16,11),-1.42256 # DEPENDENCYPART_ARC
(16,12),-1.13442 # DEPENDENCYPART_ARC
(16,13),-1.68655 # DEPENDENCYPART_ARC
(16,14),-1.14204 # DEPENDENCYPART_ARC
(16,15),1.52828 # DEPENDENCYPART_ARC
(16,17),-0.516331 # DEPENDENCYPART_ARC
(16,19),-1.69318 # DEPENDENCYPART_ARC
(16,21),-1.82236 # DEPENDENCYPART_ARC
(17,1),-1.75458 # DEPENDENCYPART_ARC
(17,2),-1.84062 # DEPENDENCYPART_ARC
(17,3),-2.04734 # DEPENDENCYPART_ARC
(17,4),-2.0269 # DEPENDENCYPART_ARC
(17,5),-1.62068 # DEPENDENCYPART_ARC
(17,6),-1.30455 # DEPENDENCYPART_ARC
(17,7),-1.27017 # DEPENDENCYPART_ARC
(17,8),-1.55896 # DEPENDENCYPART_ARC
(17,9),-1.15156 # DEPENDENCYPART_ARC
(17,10),-1.71316 # DEPENDENCYPART_ARC
(17,11),-1.39283 # DEPENDENCYPART_ARC
(17,12),-1.19681 # DEPENDENCYPART_ARC
(17,13),-0.94316 # DEPENDENCYPART_ARC
(17,14),-0.699725 # DEPENDENCYPART_ARC
(17,15),-0.976432 # DEPENDENCYPART_ARC
(17,16),0.0540015 # DEPENDENCYPART_ARC
(17,18),0.517434 # DEPENDENCYPART_ARC
(17,19),-0.416538 # DEPENDENCYPART_ARC
(17,20),-0.0912225 # DEPENDENCYPART_ARC
(17,21),-0.0977598 # DEPENDENCYPART_ARC
(17,22),-0.531875 # DEPENDENCYPART_ARC
(17,23),-1.14776 # DEPENDENCYPART_ARC
(17,24),-1.40455 # DEPENDENCYPART_ARC
(17,26),-1.31908 # DEPENDENCYPART_ARC
(17,27),0.180894 # DEPENDENCYPART_ARC
(18,19),0.165491 # DEPENDENCYPART_ARC
(18,20),-0.873178 # DEPENDENCYPART_ARC
(18,22),-1.4152 # DEPENDENCYPART_ARC
(19,18),-0.0814324 # DEPENDENCYPART_ARC
(19,20),-0.222979 # DEPENDENCYPART_ARC
(19,22),-1.45105 # DEPENDENCYPART_ARC
(20,18),-0.928768 # DEPENDENCYPART_ARC
(20,19),0.189477 # DEPENDENCYPART_ARC
(20,21),-0.522889 # DEPENDENCYPART_ARC
(20,22),-1.46704 # DEPENDENCYPART_ARC
(20,26),-1.77444 # DEPENDENCYPART_ARC
(21,10),-1.47475 # DEPENDENCYPART_ARC
(21,11),-1.55923 # DEPENDENCYPART_ARC
(21,12),-1.27272 # DEPENDENCYPART_ARC
(21,15),-1.50418 # DEPENDENCYPART_ARC
(21,16),-1.02311 # DEPENDENCYPART_ARC
(21,18),0.383957 # DEPENDENCYPART_ARC
(21,19),0.078439 # DEPENDENCYPART_ARC
(21,20),1.49862 # DEPENDENCYPART_ARC
(21,22),0.293139 # DEPENDENCYPART_ARC
(21,23),-1.16731 # DEPENDENCYPART_ARC
(21,24),-1.24933 # DEPENDENCYPART_ARC
(21,25),-1.50311 # DEPENDENCYPART_ARC
(21,26),-1.18834 # DEPENDENCYPART_ARC
(21,27),-1.22372 # DEPENDENCYPART_ARC
(22,21),-0.85114 # DEPENDENCYPART_ARC
(22,23),0.0602285 # DEPENDENCYPART_ARC
(22,24),-0.934507 # DEPENDENCYPART_ARC
(22,25),-1.30128 # DEPENDENCYPART_ARC
(22,26),-0.361304 # DEPENDENCYPART_ARC
(23,24),-0.439644 # DEPENDENCYPART_ARC
(24,23),-0.430441 # DEPENDENCYPART_ARC
(24,25),-0.446683 # DEPENDENCYPART_ARC
(25,23),-1.11778 # DEPENDENCYPART_ARC
(25,24),0.297292 # DEPENDENCYPART_ARC
(26,15),-1.71894 # DEPENDENCYPART_ARC
(26,16),-1.65831 # DEPENDENCYPART_ARC
(26,18),-1.79295 # DEPENDENCYPART_ARC
(26,19),-1.63892 # DEPENDENCYPART_ARC
(26,20),-1.29118 # DEPENDENCYPART_ARC
(26,21),-1.25508 # DEPENDENCYPART_ARC
(26,23),-0.301962 # DEPENDENCYPART_ARC
(26,24),0.30492 # DEPENDENCYPART_ARC
(26,25),1.29885 # DEPENDENCYPART_ARC
(26,27),-0.48479 # DEPENDENCYPART_ARC
(27,26),-0.79418 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.130069 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0591614 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.135406 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0942718 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.218689 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.101096 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0405192 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0462402 # DEPENDENCYPART_SIBL
(1,2),(1,6),1.058e-05 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0171101 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0411315 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.00875994 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0434765 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0164687 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0174117 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0206652 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00575184 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0597117 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00130928 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0240162 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.09041 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00716001 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.09041 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0185304 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0408768 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00835407 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0489451 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0394742 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0489451 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.011587 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0331635 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.00759811 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0102755 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.00759811 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.016611 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0226111 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0858942 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0226111 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0259911 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0314043 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0259911 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0311992 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0316677 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0258486 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.149514 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0363249 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0418767 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0184128 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0414834 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0648124 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0725655 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0310375 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0414834 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0720826 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0343619 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0148041 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0601564 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.0689374 # DEPENDENCYPART_SIBL
(3,1),(3,27),-0.0474003 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0197106 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0207473 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00620423 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0239602 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0437063 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0291868 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.00635164 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0239602 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0229003 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0106149 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.000757253 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.016581 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.00883549 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.0135012 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0158844 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0333185 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.013463 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0136528 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0348341 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0322884 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.013463 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.00193991 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0658091 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.00284397 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.0240427 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0508458 # DEPENDENCYPART_SIBL
(3,4),(3,27),-0.0802101 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0548975 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0227068 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.12922 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0926482 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.052232 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0227068 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.064064 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0763647 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.00546615 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0912859 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0618022 # DEPENDENCYPART_SIBL
(3,5),(3,27),0.0112507 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0648459 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.00214079 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00312533 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.081485 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0648459 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0330128 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0242032 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0104011 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.00561743 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.00691854 # DEPENDENCYPART_SIBL
(3,6),(3,27),0.011657 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0253565 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0508901 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.00379296 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0176723 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0664727 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0463312 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0637884 # DEPENDENCYPART_SIBL
(3,7),(3,21),0.0433588 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0177845 # DEPENDENCYPART_SIBL
(3,7),(3,27),0.0606197 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.109224 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0565841 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0262085 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0824054 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0808885 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0101916 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.0990772 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.0800971 # DEPENDENCYPART_SIBL
(3,8),(3,27),0.00508058 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0139074 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0112864 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0319029 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0459405 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0255572 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.00453476 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.00099044 # DEPENDENCYPART_SIBL
(3,9),(3,27),-0.018382 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0123211 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.0211048 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0324871 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.022395 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.0329246 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.0204265 # DEPENDENCYPART_SIBL
(3,12),(3,27),-0.00240363 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0664727 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0463312 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.0637884 # DEPENDENCYPART_SIBL
(3,13),(3,21),0.0433588 # DEPENDENCYPART_SIBL
(3,13),(3,22),0.0177845 # DEPENDENCYPART_SIBL
(3,13),(3,27),0.0606197 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0282302 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.0265856 # DEPENDENCYPART_SIBL
(3,14),(3,21),0.00275743 # DEPENDENCYPART_SIBL
(3,14),(3,22),-0.00690925 # DEPENDENCYPART_SIBL
(3,14),(3,27),0.050982 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.0343357 # DEPENDENCYPART_SIBL
(3,16),(3,21),-0.0110151 # DEPENDENCYPART_SIBL
(3,16),(3,22),-0.00422239 # DEPENDENCYPART_SIBL
(3,16),(3,27),0.00949679 # DEPENDENCYPART_SIBL
(3,17),(3,21),-0.0314414 # DEPENDENCYPART_SIBL
(3,17),(3,22),-0.0309112 # DEPENDENCYPART_SIBL
(3,17),(3,27),0.0237417 # DEPENDENCYPART_SIBL
(3,21),(3,22),-0.0544493 # DEPENDENCYPART_SIBL
(3,21),(3,27),-0.00824525 # DEPENDENCYPART_SIBL
(3,22),(3,27),-0.00452329 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00407863 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0134521 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00633185 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0164931 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0326247 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00623651 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0375812 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0418255 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0750532 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0828209 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00695293 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0801628 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0701151 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0604402 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0247523 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00805567 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0647504 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0604402 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.002151 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0106941 # DEPENDENCYPART_SIBL
(5,2),(5,27),0.166712 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0176601 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0126476 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0312369 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0269666 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.000751657 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0081735 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0312369 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.00453259 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0446289 # DEPENDENCYPART_SIBL
(5,3),(5,27),0.0800359 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0308241 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0573339 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0825408 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.000171462 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0379119 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0573339 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0500483 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.15397 # DEPENDENCYPART_SIBL
(5,4),(5,27),4.27405e-05 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0630477 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.00106762 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.000766334 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0806438 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0630477 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0266363 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0115115 # DEPENDENCYPART_SIBL
(5,6),(5,27),0.043991 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0503644 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.022694 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0104976 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0251893 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0453241 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.0150993 # DEPENDENCYPART_SIBL
(5,7),(5,27),0.0178796 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.066465 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0390833 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0348437 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0686863 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0191163 # DEPENDENCYPART_SIBL
(5,8),(5,27),0.0120646 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0289127 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0189193 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0204492 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0394927 # DEPENDENCYPART_SIBL
(5,9),(5,27),-0.0105079 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0320121 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0235253 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.00895646 # DEPENDENCYPART_SIBL
(5,12),(5,27),0.0504863 # DEPENDENCYPART_SIBL
