# _root_ The ad would have run during the World Series tomorrow , replacing the debut commercial of Shearson 's new ad campaign , `` Leadership by Example . ''
#goldHeads=2,3,0,3,4,5,9,9,6,5,5,5,15,15,12,15,21,17,21,21,16,21,21,21,24,25,3,3,
#predictedHeads=2,3,0,3,4,5,10,10,10,6,5,5,15,15,12,15,21,17,21,21,16,21,21,21,24,25,3,3,
(17,18),1.30922 # DEPENDENCYPART_ARC
(17,19),-0.68497 # DEPENDENCYPART_ARC
(17,20),-0.880051 # DEPENDENCYPART_ARC
(17,21),-1.19384 # DEPENDENCYPART_ARC
(17,22),-1.37223 # DEPENDENCYPART_ARC
(17,24),-1.74543 # DEPENDENCYPART_ARC
(18,19),-0.369204 # DEPENDENCYPART_ARC
(19,17),-1.12387 # DEPENDENCYPART_ARC
(19,18),-0.415665 # DEPENDENCYPART_ARC
(19,20),-0.281872 # DEPENDENCYPART_ARC
(19,24),-1.87825 # DEPENDENCYPART_ARC
(20,17),-1.27639 # DEPENDENCYPART_ARC
(20,19),-0.0867588 # DEPENDENCYPART_ARC
(20,21),-0.698891 # DEPENDENCYPART_ARC
(20,23),-1.5516 # DEPENDENCYPART_ARC
(20,24),-1.90497 # DEPENDENCYPART_ARC
(20,25),-1.85987 # DEPENDENCYPART_ARC
(21,7),-2.66392 # DEPENDENCYPART_ARC
(21,8),-1.96775 # DEPENDENCYPART_ARC
(21,10),-1.97324 # DEPENDENCYPART_ARC
(21,13),-1.96921 # DEPENDENCYPART_ARC
(21,14),-0.872469 # DEPENDENCYPART_ARC
(21,15),-1.34748 # DEPENDENCYPART_ARC
(21,17),-0.149665 # DEPENDENCYPART_ARC
(21,18),-0.806203 # DEPENDENCYPART_ARC
(21,19),0.274588 # DEPENDENCYPART_ARC
(21,20),1.71733 # DEPENDENCYPART_ARC
(21,22),0.132952 # DEPENDENCYPART_ARC
(21,23),-1.07607 # DEPENDENCYPART_ARC
(21,24),-1.21922 # DEPENDENCYPART_ARC
(21,25),-1.51132 # DEPENDENCYPART_ARC
(21,26),-1.5828 # DEPENDENCYPART_ARC
(21,27),-1.40749 # DEPENDENCYPART_ARC
(21,28),-1.27712 # DEPENDENCYPART_ARC
(24,17),-2.00791 # DEPENDENCYPART_ARC
(24,19),-1.32312 # DEPENDENCYPART_ARC
(24,20),-1.26832 # DEPENDENCYPART_ARC
(24,21),-1.34776 # DEPENDENCYPART_ARC
(24,22),-1.42475 # DEPENDENCYPART_ARC
(24,23),0.00446964 # DEPENDENCYPART_ARC
(24,25),0.367207 # DEPENDENCYPART_ARC
(24,26),-0.974064 # DEPENDENCYPART_ARC
(24,27),-1.13376 # DEPENDENCYPART_ARC
(24,28),-1.29892 # DEPENDENCYPART_ARC
(25,23),-1.53234 # DEPENDENCYPART_ARC
(25,24),-0.674935 # DEPENDENCYPART_ARC
(25,26),1.21719 # DEPENDENCYPART_ARC
(25,27),-1.31335 # DEPENDENCYPART_ARC
(25,28),-1.02348 # DEPENDENCYPART_ARC
(26,17),-2.34519 # DEPENDENCYPART_ARC
(26,23),-1.60578 # DEPENDENCYPART_ARC
(26,24),-1.07558 # DEPENDENCYPART_ARC
(26,25),-0.272016 # DEPENDENCYPART_ARC
(26,28),-1.36658 # DEPENDENCYPART_ARC
(27,25),-1.71063 # DEPENDENCYPART_ARC
(27,26),-0.732355 # DEPENDENCYPART_ARC
(27,28),-0.550068 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0766811 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0529478 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0822733 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.12471 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0754376 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.116893 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0760673 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.00327503 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0597524 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0319427 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00785712 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0123109 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0265008 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.00634116 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.040234 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0113513 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0240431 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0144611 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0149224 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.035471 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0240648 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0208817 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0383927 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0496171 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.00719224 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0385606 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0506186 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0110729 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0112469 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0117932 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0222034 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0393443 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.032828 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0121699 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0493202 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0828195 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0437426 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0681586 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0930985 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.0437426 # DEPENDENCYPART_SIBL
(3,1),(3,27),-0.0740557 # DEPENDENCYPART_SIBL
(3,1),(3,28),0.0231879 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0664478 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0796692 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.056808 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0595124 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0263288 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0737904 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0735544 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0263288 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.00274225 # DEPENDENCYPART_SIBL
(3,2),(3,28),0.0191771 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0776862 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0428669 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0387413 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.00294157 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0883137 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0355981 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.00294157 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.0589177 # DEPENDENCYPART_SIBL
(3,4),(3,28),0.0676504 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0456751 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0526579 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0123775 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0584789 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0515503 # DEPENDENCYPART_SIBL
(3,5),(3,22),0.0123775 # DEPENDENCYPART_SIBL
(3,5),(3,27),-0.0226927 # DEPENDENCYPART_SIBL
(3,5),(3,28),0.0417456 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0310782 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0100329 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.023814 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0113103 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0100329 # DEPENDENCYPART_SIBL
(3,6),(3,27),6.60218e-05 # DEPENDENCYPART_SIBL
(3,6),(3,28),-0.0236156 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0214495 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.00636125 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.00659548 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.0214495 # DEPENDENCYPART_SIBL
(3,10),(3,27),0.0562108 # DEPENDENCYPART_SIBL
(3,10),(3,28),0.0247911 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.00211328 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0600554 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.000289775 # DEPENDENCYPART_SIBL
(3,11),(3,27),-0.00230775 # DEPENDENCYPART_SIBL
(3,11),(3,28),0.00059718 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0212648 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.00404596 # DEPENDENCYPART_SIBL
(3,12),(3,27),-0.0299589 # DEPENDENCYPART_SIBL
(3,12),(3,28),0.00623061 # DEPENDENCYPART_SIBL
(3,15),(3,22),0.0233816 # DEPENDENCYPART_SIBL
(3,15),(3,27),0.0682889 # DEPENDENCYPART_SIBL
(3,15),(3,28),0.0252841 # DEPENDENCYPART_SIBL
(3,22),(3,27),-0.00230775 # DEPENDENCYPART_SIBL
(3,22),(3,28),0.00059718 # DEPENDENCYPART_SIBL
(3,27),(3,28),0.149183 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0260323 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0247712 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0435626 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.071144 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.117638 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.138245 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0869386 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0407938 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0924288 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0972776 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0407938 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.0617234 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.0954361 # DEPENDENCYPART_SIBL
(4,1),(4,27),-0.0495561 # DEPENDENCYPART_SIBL
(4,1),(4,28),0.00330604 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0109548 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0385974 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.000502549 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.00219296 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0011491 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0199517 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0226767 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0174276 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0049638 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.0226767 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.000810186 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.00701992 # DEPENDENCYPART_SIBL
(4,2),(4,27),0.0545415 # DEPENDENCYPART_SIBL
(4,2),(4,28),0.0581588 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.013109 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.132239 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0487812 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0563699 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.141936 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0450113 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.122672 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.139766 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0450113 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.0680865 # DEPENDENCYPART_SIBL
(4,3),(4,25),-0.137166 # DEPENDENCYPART_SIBL
(4,3),(4,27),-0.0284357 # DEPENDENCYPART_SIBL
(4,3),(4,28),-0.06278 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0635507 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0271128 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0313404 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0605752 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0116324 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0128014 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0912642 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.0116324 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.000809165 # DEPENDENCYPART_SIBL
(4,5),(4,25),-0.0544526 # DEPENDENCYPART_SIBL
(4,5),(4,27),0.129827 # DEPENDENCYPART_SIBL
(4,5),(4,28),0.087875 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0547679 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0592061 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.00406979 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00293839 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0349902 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.05354 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.00293839 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.00864115 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.0127262 # DEPENDENCYPART_SIBL
(4,6),(4,27),-0.0544426 # DEPENDENCYPART_SIBL
(4,6),(4,28),-0.0382103 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0162372 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.00355918 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0450349 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0109614 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0273333 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0450349 # DEPENDENCYPART_SIBL
(4,8),(4,23),0.00179112 # DEPENDENCYPART_SIBL
(4,8),(4,25),0.0322099 # DEPENDENCYPART_SIBL
(4,8),(4,27),-0.0208046 # DEPENDENCYPART_SIBL
(4,8),(4,28),-0.00933034 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0141222 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0344138 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0214052 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0450147 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0344138 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.0156716 # DEPENDENCYPART_SIBL
(4,9),(4,25),-0.0201279 # DEPENDENCYPART_SIBL
(4,9),(4,27),-0.0486948 # DEPENDENCYPART_SIBL
(4,9),(4,28),-0.0262284 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0179511 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0112044 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0910423 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0179511 # DEPENDENCYPART_SIBL
(4,10),(4,23),-0.0082802 # DEPENDENCYPART_SIBL
(4,10),(4,25),0.0656142 # DEPENDENCYPART_SIBL
(4,10),(4,27),-0.0373221 # DEPENDENCYPART_SIBL
(4,10),(4,28),0.0169884 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0858559 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0134022 # DEPENDENCYPART_SIBL
(4,11),(4,22),0.0175105 # DEPENDENCYPART_SIBL
(4,11),(4,23),0.105861 # DEPENDENCYPART_SIBL
(4,11),(4,25),-0.0299168 # DEPENDENCYPART_SIBL
(4,11),(4,27),0.0285979 # DEPENDENCYPART_SIBL
(4,11),(4,28),0.0146678 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.084161 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.042675 # DEPENDENCYPART_SIBL
(4,12),(4,23),-0.0549843 # DEPENDENCYPART_SIBL
(4,12),(4,25),-0.043134 # DEPENDENCYPART_SIBL
(4,12),(4,27),-0.0505326 # DEPENDENCYPART_SIBL
(4,12),(4,28),-0.0306954 # DEPENDENCYPART_SIBL
(4,15),(4,22),-0.0101022 # DEPENDENCYPART_SIBL
(4,15),(4,23),-0.00788529 # DEPENDENCYPART_SIBL
(4,15),(4,25),0.0514578 # DEPENDENCYPART_SIBL
(4,15),(4,27),-0.0256166 # DEPENDENCYPART_SIBL
(4,15),(4,28),0.0171283 # DEPENDENCYPART_SIBL
(4,22),(4,23),0.105861 # DEPENDENCYPART_SIBL
(4,22),(4,25),-0.0299168 # DEPENDENCYPART_SIBL
(4,22),(4,27),0.0285979 # DEPENDENCYPART_SIBL
(4,22),(4,28),0.0146678 # DEPENDENCYPART_SIBL
(4,23),(4,25),0.0633805 # DEPENDENCYPART_SIBL
(4,23),(4,27),0.0322475 # DEPENDENCYPART_SIBL
(4,23),(4,28),0.21439 # DEPENDENCYPART_SIBL
(4,25),(4,27),-0.111036 # DEPENDENCYPART_SIBL
(4,25),(4,28),-0.0720128 # DEPENDENCYPART_SIBL
(4,27),(4,28),0.104705 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0064299 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00314884 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.012147 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.015005 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0157847 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0480798 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0069701 # DEPENDENCYPART_SIBL
(5,2),(5,15),-5.90085e-05 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.05511 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.00287365 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.0480798 # DEPENDENCYPART_SIBL
(5,2),(5,25),-0.0593982 # DEPENDENCYPART_SIBL
(5,2),(5,27),0.148422 # DEPENDENCYPART_SIBL
(5,2),(5,28),0.0395138 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0411818 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0549089 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0513554 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0177714 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.00522692 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0262433 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.039885 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.128121 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0445408 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.00522692 # DEPENDENCYPART_SIBL
(5,6),(5,25),-0.0315963 # DEPENDENCYPART_SIBL
