# _root_ `` Most of the action was during the night session , '' said Michael Moore , trading manager at Continental Bank .
#goldHeads=6,6,2,5,3,13,6,10,10,7,6,6,0,15,13,15,18,15,18,21,19,13,
#predictedHeads=13,6,2,5,3,13,6,10,10,7,13,13,0,15,13,15,18,15,18,21,19,13,
(6,11),-1.3531 # DEPENDENCYPART_ARC
(6,12),-0.984876 # DEPENDENCYPART_ARC
(6,13),-1.48987 # DEPENDENCYPART_ARC
(6,15),-2.00423 # DEPENDENCYPART_ARC
(6,16),-1.72617 # DEPENDENCYPART_ARC
(6,18),-2.26026 # DEPENDENCYPART_ARC
(6,19),-1.60479 # DEPENDENCYPART_ARC
(6,22),-0.468472 # DEPENDENCYPART_ARC
(7,2),-2.16431 # DEPENDENCYPART_ARC
(7,5),-1.75464 # DEPENDENCYPART_ARC
(7,6),-0.560218 # DEPENDENCYPART_ARC
(7,8),-0.132 # DEPENDENCYPART_ARC
(7,9),-0.0509837 # DEPENDENCYPART_ARC
(7,10),-0.301307 # DEPENDENCYPART_ARC
(7,11),-1.55231 # DEPENDENCYPART_ARC
(7,12),-1.14442 # DEPENDENCYPART_ARC
(7,13),-1.27272 # DEPENDENCYPART_ARC
(7,15),-2.21613 # DEPENDENCYPART_ARC
(7,16),-1.68264 # DEPENDENCYPART_ARC
(7,18),-2.11171 # DEPENDENCYPART_ARC
(7,19),-1.41447 # DEPENDENCYPART_ARC
(8,7),-0.699053 # DEPENDENCYPART_ARC
(9,8),-0.269332 # DEPENDENCYPART_ARC
(9,12),-1.41515 # DEPENDENCYPART_ARC
(9,13),-1.64502 # DEPENDENCYPART_ARC
(9,15),-2.18966 # DEPENDENCYPART_ARC
(10,1),-1.76141 # DEPENDENCYPART_ARC
(10,2),-1.63569 # DEPENDENCYPART_ARC
(10,3),-1.17958 # DEPENDENCYPART_ARC
(10,4),-2.10082 # DEPENDENCYPART_ARC
(10,5),-1.08474 # DEPENDENCYPART_ARC
(10,6),-1.07237 # DEPENDENCYPART_ARC
(10,7),-0.762576 # DEPENDENCYPART_ARC
(10,8),0.494257 # DEPENDENCYPART_ARC
(10,9),1.65545 # DEPENDENCYPART_ARC
(10,11),-0.0196169 # DEPENDENCYPART_ARC
(10,12),-1.00399 # DEPENDENCYPART_ARC
(10,13),-1.33048 # DEPENDENCYPART_ARC
(10,14),-1.59773 # DEPENDENCYPART_ARC
(10,15),-1.54318 # DEPENDENCYPART_ARC
(10,16),-1.13718 # DEPENDENCYPART_ARC
(10,17),-1.82128 # DEPENDENCYPART_ARC
(10,18),-2.10886 # DEPENDENCYPART_ARC
(10,19),-1.88477 # DEPENDENCYPART_ARC
(10,21),-2.26736 # DEPENDENCYPART_ARC
(11,10),-0.253031 # DEPENDENCYPART_ARC
(12,10),-1.54291 # DEPENDENCYPART_ARC
(12,11),-0.225889 # DEPENDENCYPART_ARC
(13,1),-0.459104 # DEPENDENCYPART_ARC
(13,2),-1.45554 # DEPENDENCYPART_ARC
(13,3),-1.91409 # DEPENDENCYPART_ARC
(13,5),-1.56001 # DEPENDENCYPART_ARC
(13,6),-1.07548 # DEPENDENCYPART_ARC
(13,7),-1.33236 # DEPENDENCYPART_ARC
(13,9),-1.34029 # DEPENDENCYPART_ARC
(13,10),-1.17811 # DEPENDENCYPART_ARC
(13,11),-0.567044 # DEPENDENCYPART_ARC
(13,12),0.413661 # DEPENDENCYPART_ARC
(13,14),0.344338 # DEPENDENCYPART_ARC
(13,15),-0.341622 # DEPENDENCYPART_ARC
(13,16),-0.756196 # DEPENDENCYPART_ARC
(13,17),-0.823921 # DEPENDENCYPART_ARC
(13,18),-0.953043 # DEPENDENCYPART_ARC
(13,19),-0.739532 # DEPENDENCYPART_ARC
(13,21),-1.70999 # DEPENDENCYPART_ARC
(13,22),0.559084 # DEPENDENCYPART_ARC
(14,15),-0.575443 # DEPENDENCYPART_ARC
(14,16),-1.38982 # DEPENDENCYPART_ARC
(14,17),-1.47742 # DEPENDENCYPART_ARC
(14,18),-1.83497 # DEPENDENCYPART_ARC
(14,19),-2.03959 # DEPENDENCYPART_ARC
(14,21),-2.83577 # DEPENDENCYPART_ARC
(15,1),-1.76193 # DEPENDENCYPART_ARC
(15,2),-1.89312 # DEPENDENCYPART_ARC
(15,5),-1.40446 # DEPENDENCYPART_ARC
(15,6),-1.72516 # DEPENDENCYPART_ARC
(15,7),-1.57029 # DEPENDENCYPART_ARC
(15,8),-1.79824 # DEPENDENCYPART_ARC
(15,9),-1.05306 # DEPENDENCYPART_ARC
(15,10),-0.971265 # DEPENDENCYPART_ARC
(15,11),-1.58482 # DEPENDENCYPART_ARC
(15,12),-1.09996 # DEPENDENCYPART_ARC
(15,13),-0.656752 # DEPENDENCYPART_ARC
(15,14),1.87287 # DEPENDENCYPART_ARC
(15,16),0.393341 # DEPENDENCYPART_ARC
(15,17),-0.812189 # DEPENDENCYPART_ARC
(15,18),-1.0522 # DEPENDENCYPART_ARC
(15,19),-1.61646 # DEPENDENCYPART_ARC
(15,20),-2.28859 # DEPENDENCYPART_ARC
(15,21),-2.37772 # DEPENDENCYPART_ARC
(15,22),-1.64346 # DEPENDENCYPART_ARC
(17,14),-1.68809 # DEPENDENCYPART_ARC
(17,15),-1.19011 # DEPENDENCYPART_ARC
(17,16),-0.885936 # DEPENDENCYPART_ARC
(17,18),-0.422173 # DEPENDENCYPART_ARC
(17,19),-1.06588 # DEPENDENCYPART_ARC
(17,21),-1.83297 # DEPENDENCYPART_ARC
(18,1),-1.73597 # DEPENDENCYPART_ARC
(18,2),-1.84398 # DEPENDENCYPART_ARC
(18,6),-1.63666 # DEPENDENCYPART_ARC
(18,7),-1.4704 # DEPENDENCYPART_ARC
(18,8),-0.875494 # DEPENDENCYPART_ARC
(18,9),-1.20425 # DEPENDENCYPART_ARC
(18,10),-1.66688 # DEPENDENCYPART_ARC
(18,11),-2.10061 # DEPENDENCYPART_ARC
(18,12),-1.64821 # DEPENDENCYPART_ARC
(18,14),-0.792903 # DEPENDENCYPART_ARC
(18,15),-0.804946 # DEPENDENCYPART_ARC
(18,16),-0.99339 # DEPENDENCYPART_ARC
(18,17),1.65983 # DEPENDENCYPART_ARC
(18,19),0.159751 # DEPENDENCYPART_ARC
(18,20),-1.23297 # DEPENDENCYPART_ARC
(18,21),-1.33772 # DEPENDENCYPART_ARC
(19,18),-0.927875 # DEPENDENCYPART_ARC
(19,20),-0.0155904 # DEPENDENCYPART_ARC
(19,21),-0.400237 # DEPENDENCYPART_ARC
(20,21),-0.825498 # DEPENDENCYPART_ARC
(21,1),-2.20582 # DEPENDENCYPART_ARC
(21,2),-2.47931 # DEPENDENCYPART_ARC
(21,14),-1.78026 # DEPENDENCYPART_ARC
(21,15),-2.33603 # DEPENDENCYPART_ARC
(21,16),-2.10245 # DEPENDENCYPART_ARC
(21,17),-0.872819 # DEPENDENCYPART_ARC
(21,18),-0.865009 # DEPENDENCYPART_ARC
(21,19),-1.09066 # DEPENDENCYPART_ARC
(21,20),1.33103 # DEPENDENCYPART_ARC
(21,22),-0.129085 # DEPENDENCYPART_ARC
(22,21),-0.595511 # DEPENDENCYPART_ARC
(0,6),(0,13),-0.294968 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0649703 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0153741 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0497803 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0274858 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.039121 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.050237 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0265561 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.542326 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0248628 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0450132 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0265561 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0588168 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0368302 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0626545 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.000893123 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0905955 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.040903 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0431562 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0890405 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.00366634 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0754297 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0194522 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0251947 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.00366634 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0896515 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0536991 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0251277 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.000270954 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0198388 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0331387 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.000265805 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.00219076 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0460658 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0117424 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0344162 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.00219076 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.000297586 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0410848 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0351046 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00349591 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0270199 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.030686 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.00224263 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.00781792 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0240266 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0248834 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.00224263 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0316095 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0153513 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0224532 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00878992 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.00588158 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0180623 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0204379 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0596092 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.00392516 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0180623 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.00625505 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0211894 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.00434759 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0236088 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0158909 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0203079 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.00084894 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.016056 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0158909 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.023265 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0287875 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.0192526 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.00497637 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0154343 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0241956 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0251339 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.00497637 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0267213 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.00267916 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.0227036 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0381361 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.00923111 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0131695 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0810103 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0570848 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0183722 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.0176926 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0318645 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.00192264 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.00231396 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.0396972 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.0338936 # DEPENDENCYPART_SIBL
(2,12),(2,21),0.000902578 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.00465417 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.0374279 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.00529158 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.0328689 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.00508262 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.00532599 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.010793 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.0314829 # DEPENDENCYPART_SIBL
(2,15),(2,21),-0.0343187 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.0570848 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.0183722 # DEPENDENCYPART_SIBL
(2,16),(2,21),0.0176926 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.0113799 # DEPENDENCYPART_SIBL
(2,18),(2,21),-0.0235915 # DEPENDENCYPART_SIBL
(2,19),(2,21),-0.0185644 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.019458 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0772563 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0325426 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0702155 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0380401 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0366572 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0120791 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.404022 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0930862 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.14431 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0729199 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0608199 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.148883 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.10416 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.137781 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.112941 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0308006 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0201557 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.11418 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00376892 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.063019 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00501809 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0285882 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.20641 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00320863 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0285645 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0867389 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.064264 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0349925 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.059406 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0564469 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0304364 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0325994 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.00250294 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.03848 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0469696 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00127916 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0499685 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0130951 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0109075 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.00215883 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00430706 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.033593 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.00123162 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.862344 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00987965 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0528324 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00197353 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0558591 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.00705287 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0736015 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0251006 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.00575422 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0654397 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0988664 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0385661 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0721353 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0131783 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.180711 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.127682 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0369414 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0205165 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0235063 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.015323 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.030435 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.00688409 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0257969 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0180402 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0185211 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.00147887 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0593617 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.00983536 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0375416 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.00457837 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.024308 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0350455 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0276421 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0471823 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0748442 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.110863 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0810927 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0568067 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.387939 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0715051 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0126335 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0568067 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0929228 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.00536196 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.151718 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0672037 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0330897 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0851389 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.00481136 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0413978 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0174002 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00730598 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0845952 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0449327 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0415724 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0619637 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0845952 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0039858 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0596419 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0104941 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0221698 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0740952 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0748462 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0918039 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.017725 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0480302 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0296402 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0196339 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0414449 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.10956 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0296402 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0503318 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0819564 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.0155168 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0620233 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0396464 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.120496 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0151408 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0628524 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0709531 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.00794388 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.00835031 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.194692 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0709531 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0632513 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0585901 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.0691817 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.035377 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0815682 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0255473 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0198388 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0411327 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0180947 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.00449316 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0813431 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0411327 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.00522157 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.0549386 # DEPENDENCYPART_SIBL
(6,5),(6,22),0.0281038 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.000287977 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0656719 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0173796 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0659037 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0135348 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.076165 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0248728 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0659037 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0194047 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.0275735 # DEPENDENCYPART_SIBL
(6,7),(6,22),0.0298523 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.059269 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0755458 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0408549 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.104026 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0138332 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.105581 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0408549 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0716879 # DEPENDENCYPART_SIBL
