# _root_ But in another dramatic burst , the Dow tacked on 42 points in five minutes , and at 10:25 the index showed a gain of 5.74 .
#goldHeads=9,9,5,5,2,9,8,9,0,9,12,10,9,15,13,9,9,22,18,21,22,17,24,22,24,25,9,
#predictedHeads=9,9,5,5,2,9,8,9,0,9,12,9,9,15,13,9,9,22,18,21,22,17,24,22,24,25,9,
(10,8),-1.51192 # DEPENDENCYPART_ARC
(10,11),-0.27596 # DEPENDENCYPART_ARC
(10,12),-0.932438 # DEPENDENCYPART_ARC
(10,13),-1.43323 # DEPENDENCYPART_ARC
(10,15),-1.58352 # DEPENDENCYPART_ARC
(10,16),-1.65218 # DEPENDENCYPART_ARC
(10,17),-1.70801 # DEPENDENCYPART_ARC
(11,1),-2.03911 # DEPENDENCYPART_ARC
(11,2),-2.02571 # DEPENDENCYPART_ARC
(11,7),-1.76176 # DEPENDENCYPART_ARC
(11,8),-1.86722 # DEPENDENCYPART_ARC
(11,9),-1.40731 # DEPENDENCYPART_ARC
(11,10),-0.276536 # DEPENDENCYPART_ARC
(11,12),-0.405693 # DEPENDENCYPART_ARC
(11,13),-1.39252 # DEPENDENCYPART_ARC
(12,2),-1.58614 # DEPENDENCYPART_ARC
(12,3),-1.60163 # DEPENDENCYPART_ARC
(12,4),-1.40798 # DEPENDENCYPART_ARC
(12,6),-2.00095 # DEPENDENCYPART_ARC
(12,7),-0.882976 # DEPENDENCYPART_ARC
(12,8),-1.10154 # DEPENDENCYPART_ARC
(12,9),-1.25243 # DEPENDENCYPART_ARC
(12,10),-0.649248 # DEPENDENCYPART_ARC
(12,11),1.34576 # DEPENDENCYPART_ARC
(12,13),0.101902 # DEPENDENCYPART_ARC
(12,14),-1.17394 # DEPENDENCYPART_ARC
(12,15),-1.06591 # DEPENDENCYPART_ARC
(12,16),-1.40486 # DEPENDENCYPART_ARC
(12,17),-1.68817 # DEPENDENCYPART_ARC
(12,18),-1.62551 # DEPENDENCYPART_ARC
(12,19),-1.96272 # DEPENDENCYPART_ARC
(12,21),-1.54823 # DEPENDENCYPART_ARC
(12,22),-1.6082 # DEPENDENCYPART_ARC
(12,24),-1.79422 # DEPENDENCYPART_ARC
(12,25),-2.3602 # DEPENDENCYPART_ARC
(12,27),-1.78664 # DEPENDENCYPART_ARC
(13,1),-2.07875 # DEPENDENCYPART_ARC
(13,10),-1.68365 # DEPENDENCYPART_ARC
(13,11),-1.76819 # DEPENDENCYPART_ARC
(13,12),-0.725876 # DEPENDENCYPART_ARC
(13,14),-0.175792 # DEPENDENCYPART_ARC
(13,15),0.0636101 # DEPENDENCYPART_ARC
(13,16),-1.34689 # DEPENDENCYPART_ARC
(13,17),-1.36496 # DEPENDENCYPART_ARC
(13,18),-1.39447 # DEPENDENCYPART_ARC
(13,19),-2.13779 # DEPENDENCYPART_ARC
(13,22),-1.7392 # DEPENDENCYPART_ARC
(13,27),-1.47906 # DEPENDENCYPART_ARC
(14,11),-1.78973 # DEPENDENCYPART_ARC
(14,12),-1.79548 # DEPENDENCYPART_ARC
(14,13),-0.509228 # DEPENDENCYPART_ARC
(14,16),-1.36982 # DEPENDENCYPART_ARC
(14,17),-1.47781 # DEPENDENCYPART_ARC
(15,2),-1.57232 # DEPENDENCYPART_ARC
(15,3),-2.14277 # DEPENDENCYPART_ARC
(15,7),-1.88377 # DEPENDENCYPART_ARC
(15,8),-1.68636 # DEPENDENCYPART_ARC
(15,10),-1.52777 # DEPENDENCYPART_ARC
(15,11),-0.889443 # DEPENDENCYPART_ARC
(15,12),-0.92655 # DEPENDENCYPART_ARC
(15,13),-0.680196 # DEPENDENCYPART_ARC
(15,14),1.40427 # DEPENDENCYPART_ARC
(15,16),0.306569 # DEPENDENCYPART_ARC
(15,17),-1.27724 # DEPENDENCYPART_ARC
(15,18),-1.20258 # DEPENDENCYPART_ARC
(15,19),-1.56459 # DEPENDENCYPART_ARC
(15,21),-1.442 # DEPENDENCYPART_ARC
(15,22),-1.48863 # DEPENDENCYPART_ARC
(15,24),-1.63378 # DEPENDENCYPART_ARC
(15,25),-2.09547 # DEPENDENCYPART_ARC
(15,26),-2.08635 # DEPENDENCYPART_ARC
(15,27),-1.76184 # DEPENDENCYPART_ARC
(16,15),-0.426403 # DEPENDENCYPART_ARC
(17,15),-1.60834 # DEPENDENCYPART_ARC
(17,16),-0.622586 # DEPENDENCYPART_ARC
(17,18),0.359296 # DEPENDENCYPART_ARC
(17,19),-0.816072 # DEPENDENCYPART_ARC
(17,21),-1.52203 # DEPENDENCYPART_ARC
(17,22),-0.955124 # DEPENDENCYPART_ARC
(17,24),-2.04761 # DEPENDENCYPART_ARC
(17,25),-1.56114 # DEPENDENCYPART_ARC
(17,26),-2.35797 # DEPENDENCYPART_ARC
(18,19),0.390314 # DEPENDENCYPART_ARC
(18,21),-0.817154 # DEPENDENCYPART_ARC
(18,22),-0.829816 # DEPENDENCYPART_ARC
(18,24),-1.98401 # DEPENDENCYPART_ARC
(18,25),-1.20695 # DEPENDENCYPART_ARC
(18,26),-2.15824 # DEPENDENCYPART_ARC
(19,13),-1.92842 # DEPENDENCYPART_ARC
(19,17),-1.42386 # DEPENDENCYPART_ARC
(19,18),-0.220213 # DEPENDENCYPART_ARC
(19,20),-0.213111 # DEPENDENCYPART_ARC
(19,21),-0.785203 # DEPENDENCYPART_ARC
(19,22),-0.955407 # DEPENDENCYPART_ARC
(19,24),-1.30017 # DEPENDENCYPART_ARC
(19,25),-1.60126 # DEPENDENCYPART_ARC
(19,26),-2.07956 # DEPENDENCYPART_ARC
(20,18),-1.69827 # DEPENDENCYPART_ARC
(20,19),-0.813523 # DEPENDENCYPART_ARC
(21,18),-1.06515 # DEPENDENCYPART_ARC
(21,19),-0.71682 # DEPENDENCYPART_ARC
(21,20),1.35685 # DEPENDENCYPART_ARC
(21,22),-0.787281 # DEPENDENCYPART_ARC
(21,24),-1.52211 # DEPENDENCYPART_ARC
(21,25),-1.51393 # DEPENDENCYPART_ARC
(21,26),-2.04782 # DEPENDENCYPART_ARC
(22,1),-1.19833 # DEPENDENCYPART_ARC
(22,2),-1.49996 # DEPENDENCYPART_ARC
(22,5),-1.45816 # DEPENDENCYPART_ARC
(22,6),-1.61153 # DEPENDENCYPART_ARC
(22,7),-1.96076 # DEPENDENCYPART_ARC
(22,8),-1.93386 # DEPENDENCYPART_ARC
(22,9),-1.5947 # DEPENDENCYPART_ARC
(22,10),-1.47086 # DEPENDENCYPART_ARC
(22,11),-1.6361 # DEPENDENCYPART_ARC
(22,12),-0.953994 # DEPENDENCYPART_ARC
(22,13),-1.19801 # DEPENDENCYPART_ARC
(22,14),-1.59308 # DEPENDENCYPART_ARC
(22,15),-0.979602 # DEPENDENCYPART_ARC
(22,16),-1.28789 # DEPENDENCYPART_ARC
(22,17),-1.38706 # DEPENDENCYPART_ARC
(22,18),-0.767416 # DEPENDENCYPART_ARC
(22,19),-1.08677 # DEPENDENCYPART_ARC
(22,20),-0.734982 # DEPENDENCYPART_ARC
(22,21),0.670221 # DEPENDENCYPART_ARC
(22,23),0.336065 # DEPENDENCYPART_ARC
(22,24),0.308149 # DEPENDENCYPART_ARC
(22,25),-0.436969 # DEPENDENCYPART_ARC
(22,26),-1.21788 # DEPENDENCYPART_ARC
(22,27),-0.0620696 # DEPENDENCYPART_ARC
(23,25),-1.1689 # DEPENDENCYPART_ARC
(23,26),-1.36753 # DEPENDENCYPART_ARC
(24,19),-1.77632 # DEPENDENCYPART_ARC
(24,20),-1.41157 # DEPENDENCYPART_ARC
(24,21),-1.20108 # DEPENDENCYPART_ARC
(24,23),1.31859 # DEPENDENCYPART_ARC
(24,25),0.673764 # DEPENDENCYPART_ARC
(24,26),-0.785393 # DEPENDENCYPART_ARC
(24,27),-0.981185 # DEPENDENCYPART_ARC
(25,24),-0.962257 # DEPENDENCYPART_ARC
(25,26),0.343128 # DEPENDENCYPART_ARC
(25,27),-1.03573 # DEPENDENCYPART_ARC
(26,25),-0.330168 # DEPENDENCYPART_ARC
(26,27),-0.574846 # DEPENDENCYPART_ARC
(27,26),-0.686733 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0256247 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.115861 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.116166 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.13074 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.124559 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.220947 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0039801 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.00626347 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.00751834 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0433241 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0465422 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.127348 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0027481 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0331997 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0812601 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.208758 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0267507 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.111521 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0253653 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0220356 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.023924 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.00600544 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.208758 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0196915 # DEPENDENCYPART_SIBL
(2,1),(2,27),0.319829 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0680478 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.146245 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.03209 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.102541 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0459277 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.03444 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0872304 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0982662 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0266292 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.03209 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.100298 # DEPENDENCYPART_SIBL
(2,3),(2,27),-0.0201012 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.125377 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0227431 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0602698 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0552765 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0363963 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0943324 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0922916 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.013999 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0227431 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0490169 # DEPENDENCYPART_SIBL
(2,4),(2,27),0.0156168 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.011305 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0917904 # DEPENDENCYPART_SIBL
(2,5),(2,9),-5.9147e-07 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0169282 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0991283 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.132456 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.000433124 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.011305 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0202967 # DEPENDENCYPART_SIBL
(2,5),(2,27),0.0416145 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.000137137 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0942766 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0460511 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0111766 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0427781 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.158858 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.00857223 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.00723948 # DEPENDENCYPART_SIBL
(2,6),(2,27),0.19052 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0380313 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.044624 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0874146 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.109845 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0031031 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0447122 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0236665 # DEPENDENCYPART_SIBL
(2,8),(2,27),0.00432326 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0037691 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0455696 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0616637 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0695885 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.00120263 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0577573 # DEPENDENCYPART_SIBL
(2,9),(2,27),0.121964 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0674442 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0533592 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0374226 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0412363 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0313649 # DEPENDENCYPART_SIBL
(2,10),(2,27),0.0180837 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.145447 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.00340746 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0295239 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0522992 # DEPENDENCYPART_SIBL
(2,11),(2,27),-0.0477797 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.119356 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.00142566 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0272193 # DEPENDENCYPART_SIBL
(2,12),(2,27),-0.00234311 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0371017 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.0651047 # DEPENDENCYPART_SIBL
(2,13),(2,27),-0.0360159 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.00723948 # DEPENDENCYPART_SIBL
(2,16),(2,27),0.19052 # DEPENDENCYPART_SIBL
(2,17),(2,27),-0.0056595 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0134164 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00422331 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.00498089 # DEPENDENCYPART_SIBL
(3,4),(3,6),4.40505e-05 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0489331 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0584178 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0342866 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.029851 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0415652 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0295595 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0163907 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0591575 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.036206 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0201435 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00674516 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0289027 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.10896 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0413132 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0182786 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0800848 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0694757 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0819614 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.114707 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0780996 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0289027 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0262125 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.068556 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.0684966 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.0245749 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.059716 # DEPENDENCYPART_SIBL
(5,1),(5,27),0.189186 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0256816 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0327652 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0136017 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0641325 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0484981 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0237895 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0411116 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0292493 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0167662 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0627685 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0178187 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0136017 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0304794 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0218621 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.0227192 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.0317568 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.0428743 # DEPENDENCYPART_SIBL
(5,2),(5,27),0.0179035 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0326708 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.141735 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0360517 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.131125 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.250767 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.049044 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0684909 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.00168236 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0414249 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0178819 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.141735 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0248547 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0229559 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.046455 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.23811 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.0698082 # DEPENDENCYPART_SIBL
(5,3),(5,27),0.135339 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0119185 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0251608 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.042979 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0172215 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0338669 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0231761 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0081721 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.00455966 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0103401 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0119185 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0213699 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0702857 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.00480143 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.008887 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.0331882 # DEPENDENCYPART_SIBL
(5,4),(5,27),0.0127476 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0261987 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0407817 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0319627 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.00727166 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0381309 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0497514 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0014145 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0575634 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0439108 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0336542 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.019108 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.0458381 # DEPENDENCYPART_SIBL
(5,6),(5,22),0.0222443 # DEPENDENCYPART_SIBL
(5,6),(5,24),0.0510751 # DEPENDENCYPART_SIBL
(5,6),(5,27),-0.000986366 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0575602 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0329803 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0191986 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0144879 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.027752 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.058735 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0282388 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0270283 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0652149 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0435338 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0254902 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.034192 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.0296036 # DEPENDENCYPART_SIBL
(5,7),(5,27),-0.0969386 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.00627678 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.021023 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.000905098 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0200325 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0324648 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.02165 # DEPENDENCYPART_SIBL
