# _root_ Like its parent that year , `` Bluefield was not having a good year , '' the judge said .
#goldHeads=9,3,1,5,3,9,9,9,19,9,9,14,14,11,19,19,18,19,0,19,
#predictedHeads=9,3,1,5,3,9,9,9,19,9,9,14,14,11,19,19,18,19,0,19,
(8,2),-1.9413 # DEPENDENCYPART_ARC
(8,3),-1.36492 # DEPENDENCYPART_ARC
(8,4),-1.77037 # DEPENDENCYPART_ARC
(8,5),-1.21925 # DEPENDENCYPART_ARC
(8,6),-1.30478 # DEPENDENCYPART_ARC
(8,7),0.0986437 # DEPENDENCYPART_ARC
(8,9),-0.375011 # DEPENDENCYPART_ARC
(8,10),-1.41648 # DEPENDENCYPART_ARC
(8,11),-1.60204 # DEPENDENCYPART_ARC
(8,14),-1.79007 # DEPENDENCYPART_ARC
(8,15),-1.88062 # DEPENDENCYPART_ARC
(9,1),-0.969205 # DEPENDENCYPART_ARC
(9,2),-1.62297 # DEPENDENCYPART_ARC
(9,3),-1.17651 # DEPENDENCYPART_ARC
(9,4),-1.63319 # DEPENDENCYPART_ARC
(9,5),-1.14027 # DEPENDENCYPART_ARC
(9,6),-0.978381 # DEPENDENCYPART_ARC
(9,7),-0.724182 # DEPENDENCYPART_ARC
(9,8),0.143486 # DEPENDENCYPART_ARC
(9,10),1.05301 # DEPENDENCYPART_ARC
(9,11),0.199532 # DEPENDENCYPART_ARC
(9,12),-0.933839 # DEPENDENCYPART_ARC
(9,13),-0.83318 # DEPENDENCYPART_ARC
(9,14),-0.352529 # DEPENDENCYPART_ARC
(9,15),-0.975355 # DEPENDENCYPART_ARC
(9,16),-0.715717 # DEPENDENCYPART_ARC
(9,18),-1.11117 # DEPENDENCYPART_ARC
(9,19),-1.28452 # DEPENDENCYPART_ARC
(9,20),-0.238987 # DEPENDENCYPART_ARC
(10,1),-1.97421 # DEPENDENCYPART_ARC
(10,7),-1.78492 # DEPENDENCYPART_ARC
(10,8),-1.64773 # DEPENDENCYPART_ARC
(10,9),-0.516462 # DEPENDENCYPART_ARC
(10,11),-0.149347 # DEPENDENCYPART_ARC
(10,12),-0.95652 # DEPENDENCYPART_ARC
(10,14),-1.46662 # DEPENDENCYPART_ARC
(10,15),-1.87786 # DEPENDENCYPART_ARC
(10,16),-1.37587 # DEPENDENCYPART_ARC
(10,19),-1.68741 # DEPENDENCYPART_ARC
(11,1),-1.7419 # DEPENDENCYPART_ARC
(11,3),-1.77111 # DEPENDENCYPART_ARC
(11,4),-1.9986 # DEPENDENCYPART_ARC
(11,5),-1.66961 # DEPENDENCYPART_ARC
(11,6),-1.77877 # DEPENDENCYPART_ARC
(11,7),-1.53321 # DEPENDENCYPART_ARC
(11,8),-1.54638 # DEPENDENCYPART_ARC
(11,9),-1.49724 # DEPENDENCYPART_ARC
(11,10),-0.0407068 # DEPENDENCYPART_ARC
(11,12),0.468613 # DEPENDENCYPART_ARC
(11,13),-0.154111 # DEPENDENCYPART_ARC
(11,14),0.178529 # DEPENDENCYPART_ARC
(11,15),-0.935984 # DEPENDENCYPART_ARC
(11,16),-0.674329 # DEPENDENCYPART_ARC
(11,18),-0.660957 # DEPENDENCYPART_ARC
(11,19),-1.05125 # DEPENDENCYPART_ARC
(12,10),-1.69244 # DEPENDENCYPART_ARC
(12,11),-0.678574 # DEPENDENCYPART_ARC
(12,13),-0.431084 # DEPENDENCYPART_ARC
(12,19),-1.43908 # DEPENDENCYPART_ARC
(13,8),-1.78467 # DEPENDENCYPART_ARC
(13,10),-1.54868 # DEPENDENCYPART_ARC
(13,11),-1.49074 # DEPENDENCYPART_ARC
(13,12),-0.091389 # DEPENDENCYPART_ARC
(13,18),-1.85751 # DEPENDENCYPART_ARC
(14,2),-1.77454 # DEPENDENCYPART_ARC
(14,4),-1.97961 # DEPENDENCYPART_ARC
(14,5),-2.12066 # DEPENDENCYPART_ARC
(14,7),-1.67801 # DEPENDENCYPART_ARC
(14,8),-1.85096 # DEPENDENCYPART_ARC
(14,10),-1.0536 # DEPENDENCYPART_ARC
(14,11),-1.0622 # DEPENDENCYPART_ARC
(14,12),0.497077 # DEPENDENCYPART_ARC
(14,13),1.3658 # DEPENDENCYPART_ARC
(14,15),-0.282378 # DEPENDENCYPART_ARC
(14,16),-1.09016 # DEPENDENCYPART_ARC
(14,18),-1.57931 # DEPENDENCYPART_ARC
(14,19),-1.83897 # DEPENDENCYPART_ARC
(16,14),-1.77976 # DEPENDENCYPART_ARC
(16,18),-1.10029 # DEPENDENCYPART_ARC
(17,14),-1.6322 # DEPENDENCYPART_ARC
(17,16),-0.472667 # DEPENDENCYPART_ARC
(18,12),-1.51516 # DEPENDENCYPART_ARC
(18,13),-1.37885 # DEPENDENCYPART_ARC
(18,14),-1.49767 # DEPENDENCYPART_ARC
(18,15),-1.54424 # DEPENDENCYPART_ARC
(18,16),-0.891982 # DEPENDENCYPART_ARC
(18,17),1.33215 # DEPENDENCYPART_ARC
(18,19),-0.457412 # DEPENDENCYPART_ARC
(19,1),-2.02946 # DEPENDENCYPART_ARC
(19,2),-1.87437 # DEPENDENCYPART_ARC
(19,3),-1.86646 # DEPENDENCYPART_ARC
(19,4),-2.58205 # DEPENDENCYPART_ARC
(19,5),-1.83196 # DEPENDENCYPART_ARC
(19,6),-2.20844 # DEPENDENCYPART_ARC
(19,7),-0.887021 # DEPENDENCYPART_ARC
(19,8),-1.91906 # DEPENDENCYPART_ARC
(19,9),-1.04038 # DEPENDENCYPART_ARC
(19,10),-1.81686 # DEPENDENCYPART_ARC
(19,11),-1.55261 # DEPENDENCYPART_ARC
(19,12),-1.74104 # DEPENDENCYPART_ARC
(19,13),-1.6406 # DEPENDENCYPART_ARC
(19,14),-1.46602 # DEPENDENCYPART_ARC
(19,15),-1.1726 # DEPENDENCYPART_ARC
(19,16),-0.922495 # DEPENDENCYPART_ARC
(19,17),-0.872523 # DEPENDENCYPART_ARC
(19,18),0.510621 # DEPENDENCYPART_ARC
(19,20),1.35494 # DEPENDENCYPART_ARC
(0,9),(0,19),-0.294968 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0413728 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0011285 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0109462 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.00968664 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0287178 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0041572 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0371938 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.058196 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0340298 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.00968664 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.00180008 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.0214575 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.107911 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0891314 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0397525 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0627288 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0509504 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0328363 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0611327 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0709643 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0397525 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.00702141 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0474663 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0477156 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.01409 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0728506 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0421406 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0522249 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0402716 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0672583 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.01409 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0211546 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.013387 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0256463 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0795341 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0676784 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0321148 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0338724 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.093017 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0256463 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0262818 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.0525003 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0698169 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0581225 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0739392 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.342264 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0409848 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0563727 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.0378361 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.0527478 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0496042 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0724446 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0626534 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0320978 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.0279023 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.312766 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.0529797 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.047691 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0606315 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0600979 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0321063 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.0255883 # DEPENDENCYPART_SIBL
(1,8),(1,19),-0.0172291 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.079658 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0195323 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.0444565 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0616226 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.0652151 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0337972 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0524545 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.0208278 # DEPENDENCYPART_SIBL
(1,10),(1,19),-0.00773395 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.119578 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.0449915 # DEPENDENCYPART_SIBL
(1,11),(1,19),-0.0119128 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.0378361 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.0527478 # DEPENDENCYPART_SIBL
(1,16),(1,19),-0.0281552 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.000239154 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0306688 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0193024 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0526301 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.105795 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0186648 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.000223311 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0242409 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0154617 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0278266 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.00817149 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0166638 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0186648 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.000223311 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.000420622 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0338612 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0219971 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0516253 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0307384 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.28661 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0214607 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.236589 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0921489 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0943333 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0657301 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0307384 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.28661 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0859507 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0529301 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0849063 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0667072 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00901962 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0597592 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0561613 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0516385 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0149203 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0544369 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0667072 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.00901962 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.000758369 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0642416 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.032974 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0568156 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0118554 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00943078 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0162516 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0117746 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00087563 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.029635 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0568156 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.00514437 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0218411 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.00967704 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.147569 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.13358 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0740046 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.212734 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0820658 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0675191 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.168636 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.138537 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0992686 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0673531 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0626842 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0936686 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0282533 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0266864 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0489742 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0768322 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.338181 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0613296 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.064031 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.00101168 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0106928 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.00815132 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0545837 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0672685 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0148601 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0359188 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.00877939 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.000419977 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0267613 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0458418 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0613164 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0295519 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0295661 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0572482 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0217659 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0677966 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0573121 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0110589 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0949323 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.00762618 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0253787 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0571385 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.000392263 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0110928 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0263796 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.0568156 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.00514437 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0218411 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.00967704 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.138537 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0992686 # DEPENDENCYPART_SIBL
(3,15),(3,19),0.0673531 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.0750385 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.0129357 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.0249031 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0289061 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0382535 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0176525 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00422572 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0388104 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0457494 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0420383 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0319209 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0243919 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.00378533 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0129156 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0404271 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0437907 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.115705 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.125912 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.220127 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0242259 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0220587 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.020888 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0296696 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0946735 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0506748 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00754509 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0130718 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.106434 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0302044 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0407368 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0336429 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0271945 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.00598938 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.018246 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.106434 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.00371144 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0369789 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.106882 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0965968 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0978389 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0273251 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.164536 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0444621 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0837843 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0978747 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0140578 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0978389 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0389972 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.100426 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.193095 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0696373 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0341887 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0533972 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.00849798 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0467119 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0157121 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0121139 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0696373 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0706093 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.00613549 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.213611 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0217942 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.112081 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0106255 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0517237 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0182193 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.102733 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.213611 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0920994 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.128239 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.080123 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0372473 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0114697 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.140661 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0266053 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0310061 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.10739 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.090214 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0556218 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0549172 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0732268 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0152672 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0213252 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0731605 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0916806 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.333245 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.0821979 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0297192 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0116555 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0228857 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0393822 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0525021 # DEPENDENCYPART_SIBL
