# _root_ George M. Salem , analyst at Prudential-Bache Securities Inc. , called the results `` mildly disappointing . ''
#goldHeads=3,3,11,3,3,5,8,6,8,3,0,13,11,16,16,11,11,11,
#predictedHeads=3,3,11,3,3,5,8,6,8,3,0,13,11,16,16,11,11,11,
(3,10),-1.31893 # DEPENDENCYPART_ARC
(3,11),-1.9925 # DEPENDENCYPART_ARC
(3,13),-1.91821 # DEPENDENCYPART_ARC
(3,14),-2.00894 # DEPENDENCYPART_ARC
(3,15),-2.21905 # DEPENDENCYPART_ARC
(3,16),-2.4027 # DEPENDENCYPART_ARC
(3,17),-1.97305 # DEPENDENCYPART_ARC
(3,18),-1.36689 # DEPENDENCYPART_ARC
(4,5),-0.378498 # DEPENDENCYPART_ARC
(5,1),-1.15654 # DEPENDENCYPART_ARC
(5,2),-0.959533 # DEPENDENCYPART_ARC
(5,3),-0.473795 # DEPENDENCYPART_ARC
(5,4),-0.110014 # DEPENDENCYPART_ARC
(5,6),0.35251 # DEPENDENCYPART_ARC
(5,7),-1.21605 # DEPENDENCYPART_ARC
(5,8),-1.30689 # DEPENDENCYPART_ARC
(5,9),-1.46301 # DEPENDENCYPART_ARC
(5,10),-1.64266 # DEPENDENCYPART_ARC
(5,11),-1.30405 # DEPENDENCYPART_ARC
(5,13),-1.75438 # DEPENDENCYPART_ARC
(5,14),-1.5869 # DEPENDENCYPART_ARC
(5,15),-1.97454 # DEPENDENCYPART_ARC
(5,16),-2.06792 # DEPENDENCYPART_ARC
(5,17),-1.7038 # DEPENDENCYPART_ARC
(5,18),-1.27316 # DEPENDENCYPART_ARC
(6,4),-1.87145 # DEPENDENCYPART_ARC
(6,5),-0.857656 # DEPENDENCYPART_ARC
(6,7),-0.063873 # DEPENDENCYPART_ARC
(6,8),-0.652984 # DEPENDENCYPART_ARC
(6,9),-0.798281 # DEPENDENCYPART_ARC
(6,10),-1.33427 # DEPENDENCYPART_ARC
(6,11),-1.08983 # DEPENDENCYPART_ARC
(6,13),-1.79698 # DEPENDENCYPART_ARC
(6,14),-1.99092 # DEPENDENCYPART_ARC
(6,15),-1.89868 # DEPENDENCYPART_ARC
(6,16),-2.21708 # DEPENDENCYPART_ARC
(6,17),-1.86686 # DEPENDENCYPART_ARC
(6,18),-1.44221 # DEPENDENCYPART_ARC
(7,8),-0.920588 # DEPENDENCYPART_ARC
(7,9),-1.61269 # DEPENDENCYPART_ARC
(7,10),-1.81953 # DEPENDENCYPART_ARC
(8,1),-2.5086 # DEPENDENCYPART_ARC
(8,2),-2.49911 # DEPENDENCYPART_ARC
(8,3),-2.33722 # DEPENDENCYPART_ARC
(8,4),-2.3109 # DEPENDENCYPART_ARC
(8,5),-1.1329 # DEPENDENCYPART_ARC
(8,6),-1.44137 # DEPENDENCYPART_ARC
(8,7),0.76959 # DEPENDENCYPART_ARC
(8,9),0.463136 # DEPENDENCYPART_ARC
(8,10),-0.830477 # DEPENDENCYPART_ARC
(8,11),-1.11133 # DEPENDENCYPART_ARC
(8,12),-1.43424 # DEPENDENCYPART_ARC
(8,13),-1.34436 # DEPENDENCYPART_ARC
(8,14),-1.61819 # DEPENDENCYPART_ARC
(8,15),-1.69098 # DEPENDENCYPART_ARC
(8,16),-1.86796 # DEPENDENCYPART_ARC
(8,17),-1.49068 # DEPENDENCYPART_ARC
(8,18),-1.23354 # DEPENDENCYPART_ARC
(9,2),-2.28607 # DEPENDENCYPART_ARC
(9,3),-2.6818 # DEPENDENCYPART_ARC
(9,4),-2.18868 # DEPENDENCYPART_ARC
(9,5),-1.18859 # DEPENDENCYPART_ARC
(9,6),-1.49599 # DEPENDENCYPART_ARC
(9,7),-0.0669824 # DEPENDENCYPART_ARC
(9,8),0.643834 # DEPENDENCYPART_ARC
(9,10),-0.440398 # DEPENDENCYPART_ARC
(9,11),-1.64618 # DEPENDENCYPART_ARC
(9,13),-2.01995 # DEPENDENCYPART_ARC
(11,1),-1.42732 # DEPENDENCYPART_ARC
(11,2),-1.43784 # DEPENDENCYPART_ARC
(11,3),-1.21771 # DEPENDENCYPART_ARC
(11,4),-1.19773 # DEPENDENCYPART_ARC
(11,5),-0.971947 # DEPENDENCYPART_ARC
(11,6),-1.20474 # DEPENDENCYPART_ARC
(11,7),-1.43778 # DEPENDENCYPART_ARC
(11,8),-1.11122 # DEPENDENCYPART_ARC
(11,9),-0.776931 # DEPENDENCYPART_ARC
(11,10),0.362676 # DEPENDENCYPART_ARC
(11,12),0.661752 # DEPENDENCYPART_ARC
(11,13),0.448476 # DEPENDENCYPART_ARC
(11,14),-0.608314 # DEPENDENCYPART_ARC
(11,15),-0.543741 # DEPENDENCYPART_ARC
(11,16),-0.624728 # DEPENDENCYPART_ARC
(11,17),0.312861 # DEPENDENCYPART_ARC
(11,18),-0.201107 # DEPENDENCYPART_ARC
(13,3),-2.45032 # DEPENDENCYPART_ARC
(13,6),-1.848 # DEPENDENCYPART_ARC
(13,8),-1.44568 # DEPENDENCYPART_ARC
(13,12),1.12926 # DEPENDENCYPART_ARC
(13,14),-0.294392 # DEPENDENCYPART_ARC
(13,15),-1.13399 # DEPENDENCYPART_ARC
(13,16),-1.33295 # DEPENDENCYPART_ARC
(13,17),-1.32173 # DEPENDENCYPART_ARC
(13,18),-1.44551 # DEPENDENCYPART_ARC
(14,3),-2.51346 # DEPENDENCYPART_ARC
(14,12),-1.546 # DEPENDENCYPART_ARC
(14,13),-0.411286 # DEPENDENCYPART_ARC
(14,15),-0.468882 # DEPENDENCYPART_ARC
(15,6),-2.02519 # DEPENDENCYPART_ARC
(15,13),-1.71183 # DEPENDENCYPART_ARC
(15,14),-0.633053 # DEPENDENCYPART_ARC
(15,16),-0.339085 # DEPENDENCYPART_ARC
(15,17),-1.12373 # DEPENDENCYPART_ARC
(15,18),-1.1329 # DEPENDENCYPART_ARC
(16,2),-1.73865 # DEPENDENCYPART_ARC
(16,3),-1.63997 # DEPENDENCYPART_ARC
(16,5),-1.55699 # DEPENDENCYPART_ARC
(16,6),-1.36944 # DEPENDENCYPART_ARC
(16,8),-1.56013 # DEPENDENCYPART_ARC
(16,10),-1.73664 # DEPENDENCYPART_ARC
(16,12),-1.39883 # DEPENDENCYPART_ARC
(16,13),-1.08749 # DEPENDENCYPART_ARC
(16,14),-0.770025 # DEPENDENCYPART_ARC
(16,15),0.844664 # DEPENDENCYPART_ARC
(16,17),-0.43279 # DEPENDENCYPART_ARC
(16,18),-1.17077 # DEPENDENCYPART_ARC
(17,14),-1.61296 # DEPENDENCYPART_ARC
(17,15),-1.71855 # DEPENDENCYPART_ARC
(17,16),-0.706034 # DEPENDENCYPART_ARC
(17,18),-0.530996 # DEPENDENCYPART_ARC
(18,15),-1.71861 # DEPENDENCYPART_ARC
(18,16),-1.58092 # DEPENDENCYPART_ARC
(18,17),-0.414723 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0534482 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.133993 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.133986 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0320671 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0430053 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0422977 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0310238 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0470289 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0430053 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0418524 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0422767 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0310107 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0470072 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0418524 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0783289 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0178028 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0270728 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0128119 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0016501 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0205335 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.011932 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0144053 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.00367621 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0370491 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0140545 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0598335 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0981448 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0346521 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0140543 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0248896 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.327132 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0598335 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0399358 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0294499 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0945488 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0155721 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0428257 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.00399838 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.017572 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0424393 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0278103 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0202804 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0352704 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0697516 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.017572 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0608894 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.000230373 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.00465267 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0229262 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0212468 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.00917583 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0725579 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0184272 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0556937 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.037214 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0179995 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.00451449 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.00465525 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0707736 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.14172 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0264629 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.016535 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0625389 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00335036 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.00136841 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0153654 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0270006 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0222743 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0242213 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0204526 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.024437 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.00567912 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0967331 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0313612 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00524785 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.00852988 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0317671 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.00909973 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0213237 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0124356 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0369943 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.00326975 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.059654 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.00404686 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0352703 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0697516 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0187977 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0608894 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.000230373 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.00465268 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0229261 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0193976 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.00917585 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0824687 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0127688 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0668336 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.00790368 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.00150981 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0294477 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0197764 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.00516297 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0573545 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0436965 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0669891 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0417334 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0177854 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.10866 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.0475594 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.00465525 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0707736 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.14172 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0264629 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.016535 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.0625389 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.00194356 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.00590452 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0207612 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.00827605 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0328818 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.00505152 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0113145 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0447892 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.00218308 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0364804 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.170723 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.277599 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.0463937 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.0179268 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.0966731 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0983403 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0936387 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.117743 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0506021 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0460435 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0568788 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.359121 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0936387 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0555527 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.045067 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0789319 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0550873 # DEPENDENCYPART_SIBL
(3,1),(3,16),4.48108e-05 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0584426 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0196153 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.150717 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.130659 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0626089 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0599211 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0772252 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.372996 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.150717 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0741415 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0639622 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0594177 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0739002 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.014384 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0816934 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0395192 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0897861 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00714792 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0655201 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0470404 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.00817313 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0311088 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0146017 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0807207 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.151666 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0738804 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0364093 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0264816 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0724853 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00155105 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.000275375 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0142724 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0259075 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0374956 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0230885 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0193193 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0255698 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.00119546 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.00454631 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.0978662 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.032494 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00495459 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00823662 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0314738 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0216081 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0209907 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.012769 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0373274 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0193039 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.00360279 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0599873 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.00437989 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0306248 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0651061 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.00311923 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0562045 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.00491578 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.00933762 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.00169307 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0182412 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0240827 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0138608 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0778232 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.00914818 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0621487 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.00321827 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.00317513 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.000452995 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0247628 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.0244615 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.000478033 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0792715 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0390116 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0716745 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0464183 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0321064 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0224703 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.113345 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0522443 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0146017 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0807207 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.151666 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0738804 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.0364093 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0264816 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0724853 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.00194397 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.00590455 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.00688804 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0207612 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.00827626 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0328818 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0050516 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.000763564 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0113144 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.0447895 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.002183 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.0279553 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.0364804 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.170723 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.277599 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.0155398 # DEPENDENCYPART_SIBL
(3,15),(3,17),0.0321224 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0159799 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.0463938 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.0179268 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.0966731 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0238755 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00997462 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0328273 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0995109 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0425016 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0369455 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.146939 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0392225 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0659085 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0636304 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0142785 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0403452 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0321425 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0159507 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.00867754 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.012756 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0351535 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.101941 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0405928 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0382712 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.145029 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0592134 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0664011 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0630887 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.015168 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.039884 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0338388 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0116587 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.00943627 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0353843 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.101223 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0379979 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0324418 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.142435 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0301462 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0642537 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0620381 # DEPENDENCYPART_SIBL
