# _root_ In New York Stock Exchange composite trading yesterday , Di Giorgio closed at $ 31.50 a share , down $ 1.75 .
#goldHeads=12,7,7,7,7,7,1,12,12,11,12,0,12,13,14,17,14,12,12,19,20,12,
#predictedHeads=12,7,7,7,7,7,1,12,12,11,12,0,12,13,14,17,14,12,12,19,20,12,
(6,5),0.496706 # DEPENDENCYPART_ARC
(6,7),-0.766149 # DEPENDENCYPART_ARC
(6,8),-1.80692 # DEPENDENCYPART_ARC
(6,9),-1.703 # DEPENDENCYPART_ARC
(6,11),-2.25829 # DEPENDENCYPART_ARC
(7,1),-1.68323 # DEPENDENCYPART_ARC
(7,2),-0.884845 # DEPENDENCYPART_ARC
(7,3),-0.822254 # DEPENDENCYPART_ARC
(7,4),-0.62637 # DEPENDENCYPART_ARC
(7,5),0.0087212 # DEPENDENCYPART_ARC
(7,6),1.12388 # DEPENDENCYPART_ARC
(7,8),-0.590548 # DEPENDENCYPART_ARC
(7,11),-1.93197 # DEPENDENCYPART_ARC
(7,17),-2.2878 # DEPENDENCYPART_ARC
(8,1),-1.89033 # DEPENDENCYPART_ARC
(8,2),-2.15994 # DEPENDENCYPART_ARC
(8,3),-1.65683 # DEPENDENCYPART_ARC
(8,4),-1.47607 # DEPENDENCYPART_ARC
(8,5),-1.10848 # DEPENDENCYPART_ARC
(8,6),-0.512817 # DEPENDENCYPART_ARC
(8,7),0.508121 # DEPENDENCYPART_ARC
(8,9),-0.121436 # DEPENDENCYPART_ARC
(8,10),-1.36571 # DEPENDENCYPART_ARC
(8,11),-1.51748 # DEPENDENCYPART_ARC
(8,12),-1.59381 # DEPENDENCYPART_ARC
(8,13),-1.88167 # DEPENDENCYPART_ARC
(8,14),-1.79606 # DEPENDENCYPART_ARC
(8,17),-1.8382 # DEPENDENCYPART_ARC
(8,18),-1.73642 # DEPENDENCYPART_ARC
(8,19),-2.22153 # DEPENDENCYPART_ARC
(8,20),-2.13762 # DEPENDENCYPART_ARC
(8,22),-2.16675 # DEPENDENCYPART_ARC
(10,5),-2.74703 # DEPENDENCYPART_ARC
(10,6),-1.8823 # DEPENDENCYPART_ARC
(10,7),-1.72859 # DEPENDENCYPART_ARC
(10,8),-1.65681 # DEPENDENCYPART_ARC
(10,9),-1.07663 # DEPENDENCYPART_ARC
(10,11),-0.174982 # DEPENDENCYPART_ARC
(10,14),-1.85575 # DEPENDENCYPART_ARC
(10,18),-2.06263 # DEPENDENCYPART_ARC
(10,22),-1.95194 # DEPENDENCYPART_ARC
(11,2),-1.84571 # DEPENDENCYPART_ARC
(11,3),-2.0828 # DEPENDENCYPART_ARC
(11,4),-1.98516 # DEPENDENCYPART_ARC
(11,5),-2.16423 # DEPENDENCYPART_ARC
(11,6),-1.1342 # DEPENDENCYPART_ARC
(11,7),-1.0398 # DEPENDENCYPART_ARC
(11,8),-1.1774 # DEPENDENCYPART_ARC
(11,9),-1.41515 # DEPENDENCYPART_ARC
(11,10),1.23633 # DEPENDENCYPART_ARC
(11,13),-1.19984 # DEPENDENCYPART_ARC
(11,14),-1.50029 # DEPENDENCYPART_ARC
(11,17),-1.80317 # DEPENDENCYPART_ARC
(11,18),-1.69722 # DEPENDENCYPART_ARC
(11,22),-1.74804 # DEPENDENCYPART_ARC
(12,1),-0.596284 # DEPENDENCYPART_ARC
(12,2),-1.52126 # DEPENDENCYPART_ARC
(12,3),-1.60978 # DEPENDENCYPART_ARC
(12,4),-1.4928 # DEPENDENCYPART_ARC
(12,5),-1.51928 # DEPENDENCYPART_ARC
(12,6),-1.17147 # DEPENDENCYPART_ARC
(12,7),-1.30053 # DEPENDENCYPART_ARC
(12,8),-0.970713 # DEPENDENCYPART_ARC
(12,9),-0.47514 # DEPENDENCYPART_ARC
(12,10),-0.817835 # DEPENDENCYPART_ARC
(12,11),0.227891 # DEPENDENCYPART_ARC
(12,13),1.31524 # DEPENDENCYPART_ARC
(12,14),-0.42499 # DEPENDENCYPART_ARC
(12,15),-1.09977 # DEPENDENCYPART_ARC
(12,17),-0.646413 # DEPENDENCYPART_ARC
(12,18),-0.980201 # DEPENDENCYPART_ARC
(12,19),-1.03946 # DEPENDENCYPART_ARC
(12,20),-1.53774 # DEPENDENCYPART_ARC
(12,22),-0.118236 # DEPENDENCYPART_ARC
(13,14),0.461234 # DEPENDENCYPART_ARC
(13,15),-0.767831 # DEPENDENCYPART_ARC
(13,17),-0.839202 # DEPENDENCYPART_ARC
(13,18),-1.33748 # DEPENDENCYPART_ARC
(13,19),-1.74238 # DEPENDENCYPART_ARC
(13,20),-1.89427 # DEPENDENCYPART_ARC
(13,22),-1.83339 # DEPENDENCYPART_ARC
(14,1),-2.20871 # DEPENDENCYPART_ARC
(14,8),-1.70879 # DEPENDENCYPART_ARC
(14,11),-1.79215 # DEPENDENCYPART_ARC
(14,13),0.0524141 # DEPENDENCYPART_ARC
(14,15),1.25344 # DEPENDENCYPART_ARC
(14,16),-0.675772 # DEPENDENCYPART_ARC
(14,17),-0.684448 # DEPENDENCYPART_ARC
(14,18),-0.907776 # DEPENDENCYPART_ARC
(14,19),-1.23594 # DEPENDENCYPART_ARC
(14,20),-1.37947 # DEPENDENCYPART_ARC
(14,21),-1.55019 # DEPENDENCYPART_ARC
(14,22),-1.47263 # DEPENDENCYPART_ARC
(15,11),-2.0633 # DEPENDENCYPART_ARC
(15,13),-1.16028 # DEPENDENCYPART_ARC
(15,17),-0.891431 # DEPENDENCYPART_ARC
(15,18),-0.965147 # DEPENDENCYPART_ARC
(15,19),-1.27803 # DEPENDENCYPART_ARC
(15,20),-1.45725 # DEPENDENCYPART_ARC
(16,19),-1.53052 # DEPENDENCYPART_ARC
(16,20),-1.7614 # DEPENDENCYPART_ARC
(17,14),-0.998944 # DEPENDENCYPART_ARC
(17,15),-0.763069 # DEPENDENCYPART_ARC
(17,16),1.44233 # DEPENDENCYPART_ARC
(17,18),-0.477559 # DEPENDENCYPART_ARC
(17,19),-1.55445 # DEPENDENCYPART_ARC
(17,20),-1.43029 # DEPENDENCYPART_ARC
(18,19),-0.232785 # DEPENDENCYPART_ARC
(19,17),-1.70991 # DEPENDENCYPART_ARC
(19,18),-0.531413 # DEPENDENCYPART_ARC
(19,20),0.361712 # DEPENDENCYPART_ARC
(19,21),-0.884542 # DEPENDENCYPART_ARC
(19,22),-1.24139 # DEPENDENCYPART_ARC
(20,1),-2.12297 # DEPENDENCYPART_ARC
(20,13),-1.39318 # DEPENDENCYPART_ARC
(20,14),-1.52908 # DEPENDENCYPART_ARC
(20,16),-1.32873 # DEPENDENCYPART_ARC
(20,17),-1.01765 # DEPENDENCYPART_ARC
(20,18),-1.12873 # DEPENDENCYPART_ARC
(20,19),0.367253 # DEPENDENCYPART_ARC
(20,21),1.35918 # DEPENDENCYPART_ARC
(20,22),-0.581201 # DEPENDENCYPART_ARC
(21,17),-1.80651 # DEPENDENCYPART_ARC
(21,19),-1.26569 # DEPENDENCYPART_ARC
(21,20),-0.224441 # DEPENDENCYPART_ARC
(21,22),-0.554887 # DEPENDENCYPART_ARC
(22,20),-1.67088 # DEPENDENCYPART_ARC
(1,2),(1,3),-0.115741 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.117426 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.119234 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.179367 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.183095 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.18121 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0407664 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.112277 # DEPENDENCYPART_SIBL
(1,2),(1,22),0.00568813 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.127457 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.129266 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.186488 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.190216 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.188871 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0147589 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.122309 # DEPENDENCYPART_SIBL
(1,3),(1,22),-0.0134398 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.127429 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.18676 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.190517 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.188604 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0196186 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.120472 # DEPENDENCYPART_SIBL
(1,4),(1,22),-0.00563981 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.184054 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.187783 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.186272 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0413442 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.11585 # DEPENDENCYPART_SIBL
(1,5),(1,22),-0.00791311 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.208245 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.185265 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0105501 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0921571 # DEPENDENCYPART_SIBL
(1,6),(1,22),0.0369693 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.204492 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0201723 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.103909 # DEPENDENCYPART_SIBL
(1,7),(1,22),0.0250579 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0287281 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.099172 # DEPENDENCYPART_SIBL
(1,8),(1,22),0.036044 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.000580054 # DEPENDENCYPART_SIBL
(1,9),(1,22),0.19052 # DEPENDENCYPART_SIBL
(1,11),(1,22),0.0055927 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0313068 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0293345 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0494792 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0320178 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00484606 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0293625 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0716899 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0350762 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0510633 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0158272 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0390935 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0912775 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0479551 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0593248 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0717598 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0572204 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0500996 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00724846 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0299733 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0327125 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0450828 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0361712 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0392843 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0108735 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.118172 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00193639 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0274186 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0291647 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0270229 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0743567 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00491492 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0196268 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0282073 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.102459 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0778864 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0636579 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0197892 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0669035 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0311237 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.052397 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0550327 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0152906 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0328188 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.02535 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.073613 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0100501 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0531113 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0281874 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0379098 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.03463 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0410455 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00922367 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0114086 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.102881 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0991141 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0326097 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0133015 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0927239 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0428158 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0263826 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0619395 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0101436 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.06424 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0121503 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00797784 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0122934 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00459765 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0429903 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0246921 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0868095 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0877514 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0705068 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.112866 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0563963 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0863944 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0359015 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.045617 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0312933 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.12415 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0159441 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.127782 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.00534429 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0442064 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0447435 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0366243 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.102311 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0208443 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0315974 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0585545 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0760699 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0724242 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0498275 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0258613 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0661548 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0599349 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0388166 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0789382 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0225492 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.047519 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.00297046 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0126997 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0451697 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0550529 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0189455 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.00413011 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.011861 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0504781 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.192485 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.25923 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.287516 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0943514 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0750586 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.20111 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.135421 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.218137 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.24529 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.048817 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0295522 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0334331 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.039278 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.200317 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0324897 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0105512 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0261825 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0184357 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.011196 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00180697 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0479114 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0129816 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.110185 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00397587 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0346496 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0716876 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0137324 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0533762 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.00523223 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0207947 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0406131 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0556669 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0397952 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0190947 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.06143 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.010662 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.211604 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.263575 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.301661 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.188545 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0158585 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0497322 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0339252 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.212342 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.249296 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.170627 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0540207 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0367968 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0724939 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.212486 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.157752 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0748076 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.059435 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0886358 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.134217 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0784003 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0561219 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0970207 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0204456 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.00605534 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0388308 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0155168 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.0278676 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.00586757 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0907467 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0897204 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0592243 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0546946 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0971422 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.110249 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0673385 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.0107241 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.0107242 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.0182605 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.022329 # DEPENDENCYPART_SIBL
(8,1),(8,14),0.0540262 # DEPENDENCYPART_SIBL
(8,1),(8,17),0.115883 # DEPENDENCYPART_SIBL
(8,1),(8,18),0.0673385 # DEPENDENCYPART_SIBL
(8,1),(8,19),0.0703473 # DEPENDENCYPART_SIBL
(8,1),(8,20),0.0540262 # DEPENDENCYPART_SIBL
(8,1),(8,22),0.108737 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.07806 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0150846 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.00178339 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0063004 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0834579 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.178708 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.125817 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.127088 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.10169 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0654956 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.0116961 # DEPENDENCYPART_SIBL
(8,2),(8,17),0.0594965 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.178708 # DEPENDENCYPART_SIBL
(8,2),(8,19),0.0462234 # DEPENDENCYPART_SIBL
(8,2),(8,20),0.0116961 # DEPENDENCYPART_SIBL
(8,2),(8,22),0.065454 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0384171 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0226817 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.00186754 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0878364 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.011119 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0296902 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0309611 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0206286 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.128007 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0718792 # DEPENDENCYPART_SIBL
(8,3),(8,17),0.0136016 # DEPENDENCYPART_SIBL
(8,3),(8,18),0.011119 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.00455385 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.0718792 # DEPENDENCYPART_SIBL
(8,3),(8,22),0.00976377 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0578195 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0100988 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.102188 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.00453374 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.00951355 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0107844 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0339017 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.159917 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0799389 # DEPENDENCYPART_SIBL
