# _root_ Bear Stearns is the holding company for Bear , Stearns & Co. , the investment banking and brokerage firm .
#goldHeads=2,3,0,6,6,3,6,7,8,8,10,11,8,16,16,8,16,19,17,3,
#predictedHeads=2,3,0,6,6,3,6,7,8,8,10,11,8,16,16,8,16,19,17,3,
(11,19),-1.47548 # DEPENDENCYPART_ARC
(11,20),-0.95301 # DEPENDENCYPART_ARC
(12,9),-2.25697 # DEPENDENCYPART_ARC
(12,13),-0.292044 # DEPENDENCYPART_ARC
(12,15),-1.62342 # DEPENDENCYPART_ARC
(12,16),-1.93155 # DEPENDENCYPART_ARC
(12,17),-1.99787 # DEPENDENCYPART_ARC
(12,19),-2.65062 # DEPENDENCYPART_ARC
(15,14),-0.342114 # DEPENDENCYPART_ARC
(15,16),-0.557735 # DEPENDENCYPART_ARC
(15,17),-1.29312 # DEPENDENCYPART_ARC
(15,19),-2.0458 # DEPENDENCYPART_ARC
(16,10),-1.6955 # DEPENDENCYPART_ARC
(16,12),-1.13336 # DEPENDENCYPART_ARC
(16,13),-1.37295 # DEPENDENCYPART_ARC
(16,14),0.32905 # DEPENDENCYPART_ARC
(16,15),1.74312 # DEPENDENCYPART_ARC
(16,17),0.671643 # DEPENDENCYPART_ARC
(16,18),-0.877737 # DEPENDENCYPART_ARC
(16,19),-1.17843 # DEPENDENCYPART_ARC
(16,20),-1.2064 # DEPENDENCYPART_ARC
(17,18),0.615714 # DEPENDENCYPART_ARC
(17,19),-0.216618 # DEPENDENCYPART_ARC
(17,20),-1.07683 # DEPENDENCYPART_ARC
(18,19),-0.591429 # DEPENDENCYPART_ARC
(19,10),-1.97697 # DEPENDENCYPART_ARC
(19,12),-1.89458 # DEPENDENCYPART_ARC
(19,14),-0.98931 # DEPENDENCYPART_ARC
(19,15),-0.42273 # DEPENDENCYPART_ARC
(19,16),-0.679723 # DEPENDENCYPART_ARC
(19,18),1.59958 # DEPENDENCYPART_ARC
(19,20),-0.655794 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.111935 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0218635 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00756444 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0263469 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0191493 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0042088 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0186368 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0746965 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.0042088 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0377205 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0189395 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.027357 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.00594681 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0920494 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.00677707 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.00634237 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0920494 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.00530705 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0207786 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.00471043 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.00524206 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.00379943 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0228957 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.00524206 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.101496 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.031928 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.034787 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0326538 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0237666 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.034787 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.0732671 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.00966112 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0214561 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0819446 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.00966112 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.0364033 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0287893 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0192201 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.0221915 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0205653 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0746965 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.0042088 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.0377205 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.0348703 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.000273366 # DEPENDENCYPART_SIBL
(1,13),(1,16),0.0205653 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00510864 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0170026 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0667235 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.027667 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0311387 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0790563 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0311387 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0233403 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0299199 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00473687 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0719045 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.00890089 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0719045 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.00970689 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0134439 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0230384 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.000386366 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0230384 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0497776 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0491699 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.00056828 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0491699 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0307016 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0831027 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0307016 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0359316 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.00748773 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0116027 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.147041 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0932993 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0385851 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00538968 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0920679 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0117945 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0336761 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0150111 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0818556 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0336761 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0105926 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0036281 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.00397268 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0060257 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0953725 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0402926 # DEPENDENCYPART_SIBL
(3,2),(3,6),-7.64462e-05 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0931983 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0199552 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0415883 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0231718 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0582999 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0415883 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0160602 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.00799079 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.00944343 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.00101255 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0733044 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0754134 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0791266 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0929981 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0470348 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0929983 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0979684 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0470348 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0473222 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0826788 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.047989 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.158054 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.106235 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.146552 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0866536 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0464458 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0866537 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0235816 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0464458 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0765265 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.0658281 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0779025 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.00389993 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0418302 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.081407 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0364311 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0813254 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0636655 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0364311 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0505621 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.00894447 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0582544 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0362335 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.070419 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0231136 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0705259 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0736859 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0231136 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0377401 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0286841 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.0281867 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.00445342 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0153375 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.061211 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0539084 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0153375 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0301375 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.0208554 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0127849 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.00822981 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.00624214 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0118297 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0234152 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0925816 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.046922 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.0692902 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.000254243 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0516733 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.00793553 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0322469 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0268367 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0148943 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.00446012 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0053263 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.00911581 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.462994 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.00455239 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.0769024 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.0925816 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.046922 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0692902 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.000254243 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.00952484 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.0506518 # DEPENDENCYPART_SIBL
(3,16),(3,20),0.00777451 # DEPENDENCYPART_SIBL
(3,17),(3,19),-0.00744618 # DEPENDENCYPART_SIBL
(3,17),(3,20),0.0140565 # DEPENDENCYPART_SIBL
(3,19),(3,20),-0.0110232 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0313575 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0946783 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00955692 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.055979 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0838577 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.014831 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0920702 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0551508 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0888252 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0899156 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0551508 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.146314 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0974175 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0140757 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.102617 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0408504 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0590099 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0362701 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.103341 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0590099 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.12503 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.00580966 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0315692 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0434734 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0194824 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0433919 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0311216 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0194824 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.00430191 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.0395691 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0505849 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0357443 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0506917 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0566362 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0357443 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.00221769 # DEPENDENCYPART_SIBL
(5,7),(5,20),0.0369616 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0245351 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0322929 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0351269 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0245351 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.00601644 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.0204879 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0101047 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.053503 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0906947 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.044497 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.113086 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.032895 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.031934 # DEPENDENCYPART_SIBL
(5,10),(5,17),-3.82552e-05 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.0242512 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0226014 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.448442 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.0413114 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.044497 # DEPENDENCYPART_SIBL
(5,13),(5,20),0.113086 # DEPENDENCYPART_SIBL
(5,17),(5,20),-0.0145837 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0528484 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.259921 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.209387 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.165676 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0210743 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.00466246 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.018737 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0600279 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0720385 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.00466246 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0621078 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0396799 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0430489 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.00916718 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.260743 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.208565 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.168523 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0120494 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0130772 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.00971206 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0370978 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0655516 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0130772 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0680135 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0285989 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0489578 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0170141 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.323036 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.232508 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.116516 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0280008 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.110155 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.150608 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.129031 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0280008 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.131133 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.183957 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.129558 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.1414 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.113161 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0404932 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0537064 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0416191 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.00734774 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0305416 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0537064 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0173373 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.00498826 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.00984826 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.0508697 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0128974 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0318929 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0109167 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0227 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.00520596 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0318929 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0512257 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.0593212 # DEPENDENCYPART_SIBL
