# _root_ If she is nominated by President Bush and confirmed by the Senate , Dr. Novello would succeed C. Everett Koop , who rattled liberals and conservatives alike with his outspoken views on a range of health issues .
#goldHeads=16,3,1,3,4,7,5,4,8,9,12,10,16,15,16,0,16,20,20,17,20,23,20,23,24,25,24,23,31,31,28,31,34,32,34,37,35,16,
#predictedHeads=16,3,1,3,4,7,5,4,8,9,12,10,16,15,16,0,16,20,20,17,20,23,20,23,24,25,24,23,31,31,28,31,34,32,34,37,35,16,
(4,13),-1.36791 # DEPENDENCYPART_ARC
(4,28),-1.91704 # DEPENDENCYPART_ARC
(4,32),-1.87544 # DEPENDENCYPART_ARC
(4,38),-1.84421 # DEPENDENCYPART_ARC
(5,1),-1.44521 # DEPENDENCYPART_ARC
(5,2),-1.85595 # DEPENDENCYPART_ARC
(5,6),-0.0463251 # DEPENDENCYPART_ARC
(5,7),-0.497749 # DEPENDENCYPART_ARC
(5,8),-0.928127 # DEPENDENCYPART_ARC
(5,9),-1.46318 # DEPENDENCYPART_ARC
(5,10),-1.22174 # DEPENDENCYPART_ARC
(5,12),-1.60645 # DEPENDENCYPART_ARC
(5,15),-1.80949 # DEPENDENCYPART_ARC
(5,16),-1.58643 # DEPENDENCYPART_ARC
(5,20),-1.48238 # DEPENDENCYPART_ARC
(6,7),-0.450886 # DEPENDENCYPART_ARC
(6,8),-1.27419 # DEPENDENCYPART_ARC
(6,9),-1.72201 # DEPENDENCYPART_ARC
(6,13),-1.85912 # DEPENDENCYPART_ARC
(7,1),-1.99675 # DEPENDENCYPART_ARC
(7,2),-1.93153 # DEPENDENCYPART_ARC
(7,4),-1.36254 # DEPENDENCYPART_ARC
(7,5),-1.22492 # DEPENDENCYPART_ARC
(7,6),1.38214 # DEPENDENCYPART_ARC
(7,8),0.369699 # DEPENDENCYPART_ARC
(7,9),-0.873882 # DEPENDENCYPART_ARC
(7,10),-1.39971 # DEPENDENCYPART_ARC
(7,12),-1.87195 # DEPENDENCYPART_ARC
(7,13),-1.41296 # DEPENDENCYPART_ARC
(7,21),-1.75664 # DEPENDENCYPART_ARC
(8,7),-0.577454 # DEPENDENCYPART_ARC
(8,9),0.516993 # DEPENDENCYPART_ARC
(8,10),-0.684945 # DEPENDENCYPART_ARC
(8,12),-1.68889 # DEPENDENCYPART_ARC
(8,15),-2.25812 # DEPENDENCYPART_ARC
(8,16),-1.84617 # DEPENDENCYPART_ARC
(8,17),-2.14401 # DEPENDENCYPART_ARC
(8,19),-2.68438 # DEPENDENCYPART_ARC
(8,20),-2.71984 # DEPENDENCYPART_ARC
(8,23),-2.39691 # DEPENDENCYPART_ARC
(9,1),-2.28464 # DEPENDENCYPART_ARC
(9,7),-1.78145 # DEPENDENCYPART_ARC
(9,8),-0.829974 # DEPENDENCYPART_ARC
(9,10),0.859948 # DEPENDENCYPART_ARC
(9,11),-1.11114 # DEPENDENCYPART_ARC
(9,12),-0.899296 # DEPENDENCYPART_ARC
(9,13),-1.18054 # DEPENDENCYPART_ARC
(9,14),-1.3064 # DEPENDENCYPART_ARC
(9,25),-1.6966 # DEPENDENCYPART_ARC
(9,28),-1.74366 # DEPENDENCYPART_ARC
(9,32),-1.84882 # DEPENDENCYPART_ARC
(9,38),-1.60838 # DEPENDENCYPART_ARC
(10,11),0.022736 # DEPENDENCYPART_ARC
(10,12),-0.38482 # DEPENDENCYPART_ARC
(10,13),-1.06391 # DEPENDENCYPART_ARC
(10,14),-1.67516 # DEPENDENCYPART_ARC
(10,15),-1.391 # DEPENDENCYPART_ARC
(10,16),-1.16751 # DEPENDENCYPART_ARC
(10,17),-1.61518 # DEPENDENCYPART_ARC
(10,18),-2.02755 # DEPENDENCYPART_ARC
(10,19),-1.91248 # DEPENDENCYPART_ARC
(10,20),-1.50355 # DEPENDENCYPART_ARC
(10,23),-1.81675 # DEPENDENCYPART_ARC
(10,25),-1.01747 # DEPENDENCYPART_ARC
(12,7),-2.1443 # DEPENDENCYPART_ARC
(12,9),-1.61115 # DEPENDENCYPART_ARC
(12,10),-1.29365 # DEPENDENCYPART_ARC
(12,11),0.610362 # DEPENDENCYPART_ARC
(12,13),0.2143 # DEPENDENCYPART_ARC
(12,14),-1.32628 # DEPENDENCYPART_ARC
(12,15),-1.79074 # DEPENDENCYPART_ARC
(12,16),-1.54603 # DEPENDENCYPART_ARC
(12,17),-1.95616 # DEPENDENCYPART_ARC
(12,19),-2.66789 # DEPENDENCYPART_ARC
(12,20),-2.61043 # DEPENDENCYPART_ARC
(12,21),-1.49968 # DEPENDENCYPART_ARC
(12,23),-1.91573 # DEPENDENCYPART_ARC
(12,24),-1.84883 # DEPENDENCYPART_ARC
(12,31),-2.08301 # DEPENDENCYPART_ARC
(12,38),-2.5405 # DEPENDENCYPART_ARC
(14,11),-2.40685 # DEPENDENCYPART_ARC
(14,12),-1.96647 # DEPENDENCYPART_ARC
(14,15),-0.503951 # DEPENDENCYPART_ARC
(14,20),-2.47891 # DEPENDENCYPART_ARC
(15,6),-2.46472 # DEPENDENCYPART_ARC
(15,11),-1.32221 # DEPENDENCYPART_ARC
(15,12),-1.65297 # DEPENDENCYPART_ARC
(15,13),-1.65043 # DEPENDENCYPART_ARC
(15,14),1.07879 # DEPENDENCYPART_ARC
(15,16),-0.433083 # DEPENDENCYPART_ARC
(15,17),-1.50832 # DEPENDENCYPART_ARC
(15,19),-2.02818 # DEPENDENCYPART_ARC
(15,20),-2.06109 # DEPENDENCYPART_ARC
(15,21),-1.62483 # DEPENDENCYPART_ARC
(16,1),-0.50449 # DEPENDENCYPART_ARC
(16,2),-2.29825 # DEPENDENCYPART_ARC
(16,3),-1.59539 # DEPENDENCYPART_ARC
(16,4),-1.48618 # DEPENDENCYPART_ARC
(16,5),-1.30331 # DEPENDENCYPART_ARC
(16,6),-1.38001 # DEPENDENCYPART_ARC
(16,7),-1.27322 # DEPENDENCYPART_ARC
(16,8),-1.55526 # DEPENDENCYPART_ARC
(16,9),-1.45101 # DEPENDENCYPART_ARC
(16,10),-1.00961 # DEPENDENCYPART_ARC
(16,11),-1.53634 # DEPENDENCYPART_ARC
(16,12),-1.06671 # DEPENDENCYPART_ARC
(16,13),-0.930561 # DEPENDENCYPART_ARC
(16,14),-0.674328 # DEPENDENCYPART_ARC
(16,15),0.446909 # DEPENDENCYPART_ARC
(16,17),1.3984 # DEPENDENCYPART_ARC
(16,18),-0.625029 # DEPENDENCYPART_ARC
(16,19),-0.95329 # DEPENDENCYPART_ARC
(16,20),-1.13399 # DEPENDENCYPART_ARC
(16,21),-1.33053 # DEPENDENCYPART_ARC
(16,22),-1.32863 # DEPENDENCYPART_ARC
(16,23),-1.23787 # DEPENDENCYPART_ARC
(16,24),-1.55752 # DEPENDENCYPART_ARC
(16,25),-1.22259 # DEPENDENCYPART_ARC
(16,27),-1.44214 # DEPENDENCYPART_ARC
(16,28),-1.29243 # DEPENDENCYPART_ARC
(16,38),0.461423 # DEPENDENCYPART_ARC
(17,1),-1.65961 # DEPENDENCYPART_ARC
(17,10),-1.74468 # DEPENDENCYPART_ARC
(17,14),-1.51326 # DEPENDENCYPART_ARC
(17,15),-1.43912 # DEPENDENCYPART_ARC
(17,18),0.518031 # DEPENDENCYPART_ARC
(17,19),-0.362377 # DEPENDENCYPART_ARC
(17,20),-0.597186 # DEPENDENCYPART_ARC
(17,21),-1.10345 # DEPENDENCYPART_ARC
(17,22),-1.40588 # DEPENDENCYPART_ARC
(17,23),-1.147 # DEPENDENCYPART_ARC
(17,24),-1.41432 # DEPENDENCYPART_ARC
(17,25),-1.40582 # DEPENDENCYPART_ARC
(17,26),-1.53259 # DEPENDENCYPART_ARC
(17,27),-1.47665 # DEPENDENCYPART_ARC
(17,28),-1.16673 # DEPENDENCYPART_ARC
(17,31),-1.8781 # DEPENDENCYPART_ARC
(17,32),-1.25131 # DEPENDENCYPART_ARC
(17,34),-1.5786 # DEPENDENCYPART_ARC
(17,35),-1.68566 # DEPENDENCYPART_ARC
(17,38),-1.29016 # DEPENDENCYPART_ARC
(18,14),-2.43315 # DEPENDENCYPART_ARC
(18,19),-0.738447 # DEPENDENCYPART_ARC
(18,21),-1.69763 # DEPENDENCYPART_ARC
(19,11),-2.70885 # DEPENDENCYPART_ARC
(19,14),-1.71215 # DEPENDENCYPART_ARC
(19,15),-2.02535 # DEPENDENCYPART_ARC
(19,17),-1.54053 # DEPENDENCYPART_ARC
(19,18),0.339868 # DEPENDENCYPART_ARC
(19,20),-0.274433 # DEPENDENCYPART_ARC
(19,21),-1.24553 # DEPENDENCYPART_ARC
(19,22),-1.83236 # DEPENDENCYPART_ARC
(19,23),-1.6859 # DEPENDENCYPART_ARC
(19,24),-1.90972 # DEPENDENCYPART_ARC
(19,25),-2.1989 # DEPENDENCYPART_ARC
(19,26),-2.23309 # DEPENDENCYPART_ARC
(20,4),-1.89757 # DEPENDENCYPART_ARC
(20,6),-2.47447 # DEPENDENCYPART_ARC
(20,11),-1.54258 # DEPENDENCYPART_ARC
(20,12),-2.18296 # DEPENDENCYPART_ARC
(20,14),-1.15627 # DEPENDENCYPART_ARC
(20,15),-1.31944 # DEPENDENCYPART_ARC
(20,16),-1.21478 # DEPENDENCYPART_ARC
(20,17),-1.11819 # DEPENDENCYPART_ARC
(20,18),0.301041 # DEPENDENCYPART_ARC
(20,19),1.15698 # DEPENDENCYPART_ARC
(20,21),0.502114 # DEPENDENCYPART_ARC
(20,22),-1.28041 # DEPENDENCYPART_ARC
(20,23),-1.14086 # DEPENDENCYPART_ARC
(20,24),-1.58616 # DEPENDENCYPART_ARC
(20,25),-1.85136 # DEPENDENCYPART_ARC
(20,26),-1.98028 # DEPENDENCYPART_ARC
(20,27),-1.89376 # DEPENDENCYPART_ARC
(20,28),-1.98643 # DEPENDENCYPART_ARC
(20,31),-2.36503 # DEPENDENCYPART_ARC
(20,38),-2.4345 # DEPENDENCYPART_ARC
(22,24),-1.05773 # DEPENDENCYPART_ARC
(23,1),-2.15623 # DEPENDENCYPART_ARC
(23,4),-2.37173 # DEPENDENCYPART_ARC
(23,5),-2.06884 # DEPENDENCYPART_ARC
(23,7),-2.60028 # DEPENDENCYPART_ARC
(23,8),-2.02691 # DEPENDENCYPART_ARC
(23,10),-1.94142 # DEPENDENCYPART_ARC
(23,12),-2.60492 # DEPENDENCYPART_ARC
(23,13),-2.06361 # DEPENDENCYPART_ARC
(23,14),-2.50819 # DEPENDENCYPART_ARC
(23,15),-2.47906 # DEPENDENCYPART_ARC
(23,16),-2.1015 # DEPENDENCYPART_ARC
(23,18),-2.35821 # DEPENDENCYPART_ARC
(23,19),-2.26302 # DEPENDENCYPART_ARC
(23,20),-2.05333 # DEPENDENCYPART_ARC
(23,21),-1.54994 # DEPENDENCYPART_ARC
(23,22),0.209363 # DEPENDENCYPART_ARC
(23,24),0.854734 # DEPENDENCYPART_ARC
(23,25),-0.6209 # DEPENDENCYPART_ARC
(23,26),-0.680191 # DEPENDENCYPART_ARC
(23,27),-1.01207 # DEPENDENCYPART_ARC
(23,28),-0.919567 # DEPENDENCYPART_ARC
(23,31),-1.57369 # DEPENDENCYPART_ARC
(23,32),-1.34919 # DEPENDENCYPART_ARC
(23,34),-1.56404 # DEPENDENCYPART_ARC
(23,35),-1.68477 # DEPENDENCYPART_ARC
(23,38),-0.149394 # DEPENDENCYPART_ARC
(24,11),-1.91254 # DEPENDENCYPART_ARC
(24,19),-1.18237 # DEPENDENCYPART_ARC
(24,22),-0.66643 # DEPENDENCYPART_ARC
(24,23),0.18459 # DEPENDENCYPART_ARC
(24,25),0.606593 # DEPENDENCYPART_ARC
(24,26),-0.741831 # DEPENDENCYPART_ARC
(24,27),-0.95098 # DEPENDENCYPART_ARC
(24,28),-1.11815 # DEPENDENCYPART_ARC
(24,29),-1.40432 # DEPENDENCYPART_ARC
(24,30),-1.43296 # DEPENDENCYPART_ARC
(24,31),-1.46006 # DEPENDENCYPART_ARC
(24,32),-1.15573 # DEPENDENCYPART_ARC
(24,34),-1.63265 # DEPENDENCYPART_ARC
(24,35),-1.79997 # DEPENDENCYPART_ARC
(24,38),-1.86952 # DEPENDENCYPART_ARC
(25,26),0.898127 # DEPENDENCYPART_ARC
(25,27),-0.971663 # DEPENDENCYPART_ARC
(25,28),-1.25287 # DEPENDENCYPART_ARC
(25,31),-1.88258 # DEPENDENCYPART_ARC
(26,22),-1.90692 # DEPENDENCYPART_ARC
(26,24),-1.01471 # DEPENDENCYPART_ARC
(26,27),-0.444906 # DEPENDENCYPART_ARC
(26,28),-1.13498 # DEPENDENCYPART_ARC
(26,31),-1.49444 # DEPENDENCYPART_ARC
(26,32),-1.47686 # DEPENDENCYPART_ARC
(26,34),-1.92688 # DEPENDENCYPART_ARC
(26,35),-2.07891 # DEPENDENCYPART_ARC
(27,22),-1.81992 # DEPENDENCYPART_ARC
(27,24),-1.37238 # DEPENDENCYPART_ARC
(27,25),-1.28591 # DEPENDENCYPART_ARC
(27,26),-0.249155 # DEPENDENCYPART_ARC
(27,28),-0.0681415 # DEPENDENCYPART_ARC
(27,29),-1.17221 # DEPENDENCYPART_ARC
(27,30),-1.30455 # DEPENDENCYPART_ARC
(27,31),-1.42173 # DEPENDENCYPART_ARC
(27,32),-1.64641 # DEPENDENCYPART_ARC
(27,34),-1.91642 # DEPENDENCYPART_ARC
(27,35),-1.93048 # DEPENDENCYPART_ARC
(28,22),-1.6474 # DEPENDENCYPART_ARC
(28,26),-1.73111 # DEPENDENCYPART_ARC
(28,27),-0.345521 # DEPENDENCYPART_ARC
(28,29),0.0386779 # DEPENDENCYPART_ARC
(28,30),-0.908842 # DEPENDENCYPART_ARC
(28,31),-0.514706 # DEPENDENCYPART_ARC
(28,32),-1.13226 # DEPENDENCYPART_ARC
(28,34),-1.66748 # DEPENDENCYPART_ARC
(28,35),-1.29559 # DEPENDENCYPART_ARC
(28,37),-2.28954 # DEPENDENCYPART_ARC
(29,30),-0.327827 # DEPENDENCYPART_ARC
(30,27),-1.68917 # DEPENDENCYPART_ARC
(30,29),-0.320397 # DEPENDENCYPART_ARC
(30,32),-1.43843 # DEPENDENCYPART_ARC
(31,11),-2.26385 # DEPENDENCYPART_ARC
(31,22),-1.90798 # DEPENDENCYPART_ARC
(31,24),-1.58071 # DEPENDENCYPART_ARC
(31,26),-1.19284 # DEPENDENCYPART_ARC
(31,27),-1.22814 # DEPENDENCYPART_ARC
(31,29),0.294674 # DEPENDENCYPART_ARC
(31,30),1.38349 # DEPENDENCYPART_ARC
(31,32),0.326155 # DEPENDENCYPART_ARC
(31,34),-1.1552 # DEPENDENCYPART_ARC
(31,35),-1.36359 # DEPENDENCYPART_ARC
(31,37),-1.73823 # DEPENDENCYPART_ARC
(32,29),-1.69792 # DEPENDENCYPART_ARC
(32,30),-1.83659 # DEPENDENCYPART_ARC
(32,31),-0.859682 # DEPENDENCYPART_ARC
(32,33),-0.0594177 # DEPENDENCYPART_ARC
(32,34),0.409366 # DEPENDENCYPART_ARC
(32,35),-1.02961 # DEPENDENCYPART_ARC
(32,36),-0.992073 # DEPENDENCYPART_ARC
(32,37),-0.781508 # DEPENDENCYPART_ARC
(34,29),-1.39606 # DEPENDENCYPART_ARC
(34,30),-1.58936 # DEPENDENCYPART_ARC
(34,33),1.21407 # DEPENDENCYPART_ARC
(34,35),0.654057 # DEPENDENCYPART_ARC
(34,36),-0.77028 # DEPENDENCYPART_ARC
(34,37),-0.918015 # DEPENDENCYPART_ARC
(35,36),0.737601 # DEPENDENCYPART_ARC
(35,37),-0.0964476 # DEPENDENCYPART_ARC
(37,29),-1.29779 # DEPENDENCYPART_ARC
(37,30),-1.8474 # DEPENDENCYPART_ARC
(37,33),-0.899055 # DEPENDENCYPART_ARC
(37,34),-0.747877 # DEPENDENCYPART_ARC
(37,35),-0.578894 # DEPENDENCYPART_ARC
(37,36),2.02261 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.153089 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0587396 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0593872 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0848052 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0531437 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.112437 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.111145 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.111226 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.135379 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0920142 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.205867 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.105427 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0420982 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0395674 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0994676 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0421186 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0395877 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.0995454 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0767646 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.161486 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.10268 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.140447 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0404129 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.00141859 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0694611 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0672528 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0553398 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0404186 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0599419 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.0376928 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.0803369 # DEPENDENCYPART_SIBL
(1,2),(1,38),-0.0277732 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0494674 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0845946 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0604504 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0575953 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.00782855 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0494854 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.0805882 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.00954363 # DEPENDENCYPART_SIBL
(1,3),(1,23),-0.0982911 # DEPENDENCYPART_SIBL
(1,3),(1,38),0.09824 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0217588 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0449135 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0428081 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.000793059 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0786949 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.00641725 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.0547713 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.0353019 # DEPENDENCYPART_SIBL
(1,4),(1,38),0.0524003 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0437407 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0364868 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0157609 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0116487 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.0333526 # DEPENDENCYPART_SIBL
(1,5),(1,21),-0.00455721 # DEPENDENCYPART_SIBL
(1,5),(1,23),-0.0607838 # DEPENDENCYPART_SIBL
(1,5),(1,38),-0.0197863 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0843486 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0105824 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0588728 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.0718 # DEPENDENCYPART_SIBL
(1,6),(1,21),-0.00769055 # DEPENDENCYPART_SIBL
(1,6),(1,23),-0.0790255 # DEPENDENCYPART_SIBL
(1,6),(1,38),0.00496778 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0353021 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0532891 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0690163 # DEPENDENCYPART_SIBL
(1,7),(1,21),0.00223481 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.0731767 # DEPENDENCYPART_SIBL
(1,7),(1,38),-0.00918406 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.021744 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.0165442 # DEPENDENCYPART_SIBL
(1,8),(1,21),0.0281246 # DEPENDENCYPART_SIBL
(1,8),(1,23),-0.0327678 # DEPENDENCYPART_SIBL
(1,8),(1,38),-0.00769245 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.00642032 # DEPENDENCYPART_SIBL
(1,9),(1,21),0.0547393 # DEPENDENCYPART_SIBL
(1,9),(1,23),-0.0353556 # DEPENDENCYPART_SIBL
(1,9),(1,38),0.0488213 # DEPENDENCYPART_SIBL
(1,16),(1,21),0.187406 # DEPENDENCYPART_SIBL
(1,16),(1,23),0.0545041 # DEPENDENCYPART_SIBL
(1,16),(1,38),0.29062 # DEPENDENCYPART_SIBL
(1,21),(1,23),0.0108698 # DEPENDENCYPART_SIBL
(1,21),(1,38),0.113995 # DEPENDENCYPART_SIBL
(1,23),(1,38),0.12685 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0219537 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0229344 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0304187 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.030054 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0153466 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0709902 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0499268 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0720936 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0349905 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0195183 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0709902 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.130101 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.000473247 # DEPENDENCYPART_SIBL
(3,1),(3,25),-0.0349905 # DEPENDENCYPART_SIBL
(3,1),(3,38),0.115781 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0323532 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00335669 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0977588 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.12103 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.126693 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0272943 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.00335669 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.114588 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0382373 # DEPENDENCYPART_SIBL
(3,2),(3,25),-0.126693 # DEPENDENCYPART_SIBL
(3,2),(3,38),-0.108717 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.189109 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.115034 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.11021 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.11457 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.171291 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.189109 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0353432 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0271288 # DEPENDENCYPART_SIBL
(3,4),(3,25),0.11457 # DEPENDENCYPART_SIBL
(3,4),(3,38),-0.0239951 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0736055 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0624318 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0370025 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.00990444 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0744147 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.00411901 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.02121 # DEPENDENCYPART_SIBL
(3,5),(3,25),-0.0370025 # DEPENDENCYPART_SIBL
(3,5),(3,38),-0.0703887 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0476419 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0547709 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0342111 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0152887 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.00296212 # DEPENDENCYPART_SIBL
