# _root_ Institutional investors and bankers , many of whom spent the night before in their offices watching Far Eastern markets , were cautiously optimistic after the mild 1.8 % decline in Tokyo stock prices .
#goldHeads=2,21,2,3,2,9,6,7,2,11,9,11,9,15,13,9,19,19,16,2,0,23,21,21,29,29,28,29,24,29,33,33,30,21,
#predictedHeads=2,21,2,3,2,9,6,7,2,11,9,9,12,15,13,9,19,19,16,2,0,23,21,21,29,29,28,29,24,29,33,33,30,21,
(13,16),-0.94053 # DEPENDENCYPART_ARC
(13,17),-1.53447 # DEPENDENCYPART_ARC
(13,19),-1.04948 # DEPENDENCYPART_ARC
(13,20),-1.33991 # DEPENDENCYPART_ARC
(13,21),-1.4133 # DEPENDENCYPART_ARC
(13,34),-1.41982 # DEPENDENCYPART_ARC
(15,10),-1.58217 # DEPENDENCYPART_ARC
(15,11),-1.41764 # DEPENDENCYPART_ARC
(15,12),-1.39605 # DEPENDENCYPART_ARC
(15,13),-1.03102 # DEPENDENCYPART_ARC
(15,14),1.14192 # DEPENDENCYPART_ARC
(15,16),-0.0108719 # DEPENDENCYPART_ARC
(15,17),-1.37145 # DEPENDENCYPART_ARC
(15,19),-1.38637 # DEPENDENCYPART_ARC
(15,20),-1.65385 # DEPENDENCYPART_ARC
(15,21),-1.63124 # DEPENDENCYPART_ARC
(15,24),-1.67593 # DEPENDENCYPART_ARC
(16,2),-1.83105 # DEPENDENCYPART_ARC
(16,6),-2.20063 # DEPENDENCYPART_ARC
(16,7),-1.74443 # DEPENDENCYPART_ARC
(16,8),-1.64426 # DEPENDENCYPART_ARC
(16,9),-1.73154 # DEPENDENCYPART_ARC
(16,11),-1.61286 # DEPENDENCYPART_ARC
(16,12),-1.653 # DEPENDENCYPART_ARC
(16,13),-1.21661 # DEPENDENCYPART_ARC
(16,14),-1.36734 # DEPENDENCYPART_ARC
(16,15),-0.426356 # DEPENDENCYPART_ARC
(16,17),0.459564 # DEPENDENCYPART_ARC
(16,18),-0.491575 # DEPENDENCYPART_ARC
(16,19),-0.200909 # DEPENDENCYPART_ARC
(16,20),-1.28043 # DEPENDENCYPART_ARC
(16,21),-1.13441 # DEPENDENCYPART_ARC
(16,22),-1.21525 # DEPENDENCYPART_ARC
(16,23),-1.3308 # DEPENDENCYPART_ARC
(16,24),-1.0501 # DEPENDENCYPART_ARC
(16,26),-1.53208 # DEPENDENCYPART_ARC
(16,29),-1.622 # DEPENDENCYPART_ARC
(16,30),-1.55694 # DEPENDENCYPART_ARC
(16,33),-1.73413 # DEPENDENCYPART_ARC
(17,14),-1.57604 # DEPENDENCYPART_ARC
(17,15),-1.56617 # DEPENDENCYPART_ARC
(17,16),-0.554312 # DEPENDENCYPART_ARC
(17,18),-0.215731 # DEPENDENCYPART_ARC
(17,20),-1.13807 # DEPENDENCYPART_ARC
(17,21),-1.2437 # DEPENDENCYPART_ARC
(17,22),-1.63432 # DEPENDENCYPART_ARC
(17,24),-1.42257 # DEPENDENCYPART_ARC
(18,17),0.158259 # DEPENDENCYPART_ARC
(19,6),-2.46688 # DEPENDENCYPART_ARC
(19,10),-1.88031 # DEPENDENCYPART_ARC
(19,11),-1.30763 # DEPENDENCYPART_ARC
(19,12),-1.7368 # DEPENDENCYPART_ARC
(19,14),-0.779055 # DEPENDENCYPART_ARC
(19,15),-1.06606 # DEPENDENCYPART_ARC
(19,16),-0.863593 # DEPENDENCYPART_ARC
(19,17),0.421359 # DEPENDENCYPART_ARC
(19,18),1.36744 # DEPENDENCYPART_ARC
(19,20),0.100169 # DEPENDENCYPART_ARC
(19,21),-1.06878 # DEPENDENCYPART_ARC
(19,22),-1.37831 # DEPENDENCYPART_ARC
(19,23),-1.65573 # DEPENDENCYPART_ARC
(19,24),-1.64802 # DEPENDENCYPART_ARC
(19,29),-2.14326 # DEPENDENCYPART_ARC
(19,30),-2.14476 # DEPENDENCYPART_ARC
(19,33),-2.17928 # DEPENDENCYPART_ARC
(19,34),-2.27077 # DEPENDENCYPART_ARC
(21,1),-1.49768 # DEPENDENCYPART_ARC
(21,2),-1.0128 # DEPENDENCYPART_ARC
(21,3),-1.65164 # DEPENDENCYPART_ARC
(21,4),-0.973331 # DEPENDENCYPART_ARC
(21,5),-1.71085 # DEPENDENCYPART_ARC
(21,6),-1.87829 # DEPENDENCYPART_ARC
(21,7),-1.26669 # DEPENDENCYPART_ARC
(21,8),-1.50068 # DEPENDENCYPART_ARC
(21,9),-1.85343 # DEPENDENCYPART_ARC
(21,11),-0.997432 # DEPENDENCYPART_ARC
(21,12),-1.20261 # DEPENDENCYPART_ARC
(21,13),-0.852158 # DEPENDENCYPART_ARC
(21,14),-1.45921 # DEPENDENCYPART_ARC
(21,15),-0.660054 # DEPENDENCYPART_ARC
(21,16),-1.17917 # DEPENDENCYPART_ARC
(21,17),-1.22426 # DEPENDENCYPART_ARC
(21,18),-1.04468 # DEPENDENCYPART_ARC
(21,19),-0.55119 # DEPENDENCYPART_ARC
(21,20),0.422429 # DEPENDENCYPART_ARC
(21,22),0.96295 # DEPENDENCYPART_ARC
(21,23),0.197308 # DEPENDENCYPART_ARC
(21,24),-0.143318 # DEPENDENCYPART_ARC
(21,25),-1.03833 # DEPENDENCYPART_ARC
(21,26),-0.880794 # DEPENDENCYPART_ARC
(21,27),-1.35201 # DEPENDENCYPART_ARC
(21,28),-0.851872 # DEPENDENCYPART_ARC
(21,29),-0.748547 # DEPENDENCYPART_ARC
(21,30),-0.701998 # DEPENDENCYPART_ARC
(21,33),-1.69922 # DEPENDENCYPART_ARC
(21,34),0.898526 # DEPENDENCYPART_ARC
(22,23),-0.509878 # DEPENDENCYPART_ARC
(22,24),-1.18494 # DEPENDENCYPART_ARC
(22,26),-1.70848 # DEPENDENCYPART_ARC
(22,27),-1.87478 # DEPENDENCYPART_ARC
(22,29),-2.03248 # DEPENDENCYPART_ARC
(23,2),-2.05872 # DEPENDENCYPART_ARC
(23,13),-1.63351 # DEPENDENCYPART_ARC
(23,17),-1.50578 # DEPENDENCYPART_ARC
(23,18),-1.38272 # DEPENDENCYPART_ARC
(23,19),-1.46856 # DEPENDENCYPART_ARC
(23,22),0.794771 # DEPENDENCYPART_ARC
(23,24),0.248837 # DEPENDENCYPART_ARC
(23,25),-1.24067 # DEPENDENCYPART_ARC
(23,26),-1.33259 # DEPENDENCYPART_ARC
(23,27),-1.538 # DEPENDENCYPART_ARC
(23,28),-1.54407 # DEPENDENCYPART_ARC
(23,29),-1.75231 # DEPENDENCYPART_ARC
(23,30),-1.54338 # DEPENDENCYPART_ARC
(23,33),-1.80301 # DEPENDENCYPART_ARC
(24,22),-1.43416 # DEPENDENCYPART_ARC
(24,23),-0.864828 # DEPENDENCYPART_ARC
(24,25),-0.0483917 # DEPENDENCYPART_ARC
(24,26),-0.925703 # DEPENDENCYPART_ARC
(24,27),-1.41501 # DEPENDENCYPART_ARC
(24,28),-0.849065 # DEPENDENCYPART_ARC
(24,29),-0.818891 # DEPENDENCYPART_ARC
(24,30),-1.35693 # DEPENDENCYPART_ARC
(24,33),-1.87824 # DEPENDENCYPART_ARC
(25,26),-0.405829 # DEPENDENCYPART_ARC
(25,27),-1.22445 # DEPENDENCYPART_ARC
(26,22),-1.66053 # DEPENDENCYPART_ARC
(26,23),-1.42399 # DEPENDENCYPART_ARC
(26,25),-0.308261 # DEPENDENCYPART_ARC
(26,27),-0.0742612 # DEPENDENCYPART_ARC
(26,28),-0.866554 # DEPENDENCYPART_ARC
(26,30),-1.32242 # DEPENDENCYPART_ARC
(26,33),-1.64738 # DEPENDENCYPART_ARC
(27,23),-1.5205 # DEPENDENCYPART_ARC
(27,24),-1.22114 # DEPENDENCYPART_ARC
(27,25),-0.749287 # DEPENDENCYPART_ARC
(27,26),0.0909542 # DEPENDENCYPART_ARC
(27,28),-0.236152 # DEPENDENCYPART_ARC
(28,25),-1.68494 # DEPENDENCYPART_ARC
(28,26),-1.05798 # DEPENDENCYPART_ARC
(28,27),0.271827 # DEPENDENCYPART_ARC
(28,30),-1.4535 # DEPENDENCYPART_ARC
(28,33),-1.80878 # DEPENDENCYPART_ARC
(29,14),-1.42119 # DEPENDENCYPART_ARC
(29,19),-1.32019 # DEPENDENCYPART_ARC
(29,22),-1.49701 # DEPENDENCYPART_ARC
(29,23),-1.56834 # DEPENDENCYPART_ARC
(29,24),-1.05321 # DEPENDENCYPART_ARC
(29,25),-0.0598985 # DEPENDENCYPART_ARC
(29,26),-0.25176 # DEPENDENCYPART_ARC
(29,27),0.103756 # DEPENDENCYPART_ARC
(29,28),1.55858 # DEPENDENCYPART_ARC
(29,30),0.389486 # DEPENDENCYPART_ARC
(29,31),-1.14491 # DEPENDENCYPART_ARC
(29,32),-0.979396 # DEPENDENCYPART_ARC
(29,33),-1.2447 # DEPENDENCYPART_ARC
(29,34),-1.34149 # DEPENDENCYPART_ARC
(30,29),-0.94909 # DEPENDENCYPART_ARC
(30,31),0.48793 # DEPENDENCYPART_ARC
(30,32),-0.0399283 # DEPENDENCYPART_ARC
(30,33),-0.728908 # DEPENDENCYPART_ARC
(31,32),-0.329926 # DEPENDENCYPART_ARC
(32,25),-2.62142 # DEPENDENCYPART_ARC
(32,27),-1.99496 # DEPENDENCYPART_ARC
(32,31),0.526094 # DEPENDENCYPART_ARC
(33,14),-1.54933 # DEPENDENCYPART_ARC
(33,17),-1.42895 # DEPENDENCYPART_ARC
(33,22),-1.49103 # DEPENDENCYPART_ARC
(33,23),-1.59241 # DEPENDENCYPART_ARC
(33,25),-1.32417 # DEPENDENCYPART_ARC
(33,26),-1.06794 # DEPENDENCYPART_ARC
(33,27),-1.16136 # DEPENDENCYPART_ARC
(33,28),-0.609768 # DEPENDENCYPART_ARC
(33,29),-0.709372 # DEPENDENCYPART_ARC
(33,30),-0.795188 # DEPENDENCYPART_ARC
(33,31),0.748972 # DEPENDENCYPART_ARC
(33,32),2.1007 # DEPENDENCYPART_ARC
(34,33),-0.849242 # DEPENDENCYPART_ARC
(0,2),(0,9),-0.142648 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.153687 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.229972 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0068565 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0668851 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0530839 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0226036 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0121485 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00160165 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0366155 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0202747 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.00706061 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0579365 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0287912 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0102104 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0810478 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0327301 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.00774165 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0585777 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0392466 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0343169 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0163059 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0792509 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0344099 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.00895106 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.032402 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0756483 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.122198 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.00402384 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0343169 # DEPENDENCYPART_SIBL
(2,1),(2,34),-0.0911893 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0197622 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0186452 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0436739 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0323703 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00905465 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0312039 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0112683 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.016483 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0497108 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.00158406 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.0186452 # DEPENDENCYPART_SIBL
(2,3),(2,34),0.0206002 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00176445 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00608307 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0220261 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.015988 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.013207 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0225198 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0239158 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.00360994 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0146025 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.00176445 # DEPENDENCYPART_SIBL
(2,4),(2,34),0.0281614 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0265279 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0318345 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00813205 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0569039 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0477004 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0360684 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0158124 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.000628116 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.0298462 # DEPENDENCYPART_SIBL
(2,5),(2,34),-0.0108055 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.047027 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.03323 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0180271 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0247035 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0235816 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.077015 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.04475 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.0377371 # DEPENDENCYPART_SIBL
(2,6),(2,34),-0.0309253 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0589128 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0567011 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0244989 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.040586 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0411785 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0617963 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.0504508 # DEPENDENCYPART_SIBL
(2,7),(2,34),0.00227978 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0131733 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.01379 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0155296 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0437827 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0254313 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.0405187 # DEPENDENCYPART_SIBL
(2,8),(2,34),0.00212469 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.00508877 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.000233711 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.00279534 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0166824 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.0386681 # DEPENDENCYPART_SIBL
(2,9),(2,34),0.0227812 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0112518 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.00997917 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0272407 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0157994 # DEPENDENCYPART_SIBL
(2,11),(2,34),0.0775228 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.00716838 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.00982772 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.0178725 # DEPENDENCYPART_SIBL
(2,12),(2,34),0.0411215 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0047627 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.00556949 # DEPENDENCYPART_SIBL
(2,13),(2,34),0.0366898 # DEPENDENCYPART_SIBL
(2,16),(2,20),0.0299267 # DEPENDENCYPART_SIBL
(2,16),(2,34),-0.00547992 # DEPENDENCYPART_SIBL
(2,20),(2,34),-0.0108055 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0693652 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0462601 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0206738 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0697621 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0216831 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00155143 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0281743 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0506577 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0344685 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0823775 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0265358 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00794362 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0212486 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0469259 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0414753 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0422746 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.00794362 # DEPENDENCYPART_SIBL
(4,1),(4,34),-0.0945531 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.000662869 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0251751 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.05602 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0454448 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0191085 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.000662869 # DEPENDENCYPART_SIBL
(4,2),(4,34),0.00351124 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0533162 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00887189 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0142128 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0530986 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0760566 # DEPENDENCYPART_SIBL
(4,5),(4,34),0.0126799 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0349535 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0298262 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0250968 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0232618 # DEPENDENCYPART_SIBL
(4,6),(4,34),-0.0301278 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0481727 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0603187 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0226903 # DEPENDENCYPART_SIBL
(4,7),(4,34),0.0119034 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0245135 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0326502 # DEPENDENCYPART_SIBL
(4,8),(4,34),-0.00145569 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.0485592 # DEPENDENCYPART_SIBL
(4,9),(4,34),0.0226879 # DEPENDENCYPART_SIBL
(4,20),(4,34),0.0126799 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0193611 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0985579 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0181574 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0129643 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.00542889 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0238261 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0645597 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0323561 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.0192654 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.181886 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0241882 # DEPENDENCYPART_SIBL
