# _root_ Foreign stock markets , which kicked off Black Monday with a huge selling spree , began the day off by relatively modest amounts .
#goldHeads=3,3,16,3,6,3,6,9,6,6,14,14,14,10,3,0,18,16,16,19,23,23,20,16,
#predictedHeads=3,3,16,3,6,3,6,9,6,6,14,14,14,10,3,0,18,16,16,19,22,23,20,16,
(10,5),-2.14718 # DEPENDENCYPART_ARC
(10,7),-1.86817 # DEPENDENCYPART_ARC
(10,9),-0.954871 # DEPENDENCYPART_ARC
(10,11),-0.0517372 # DEPENDENCYPART_ARC
(10,12),-0.752446 # DEPENDENCYPART_ARC
(10,13),-0.460517 # DEPENDENCYPART_ARC
(10,14),-0.469695 # DEPENDENCYPART_ARC
(10,15),-1.61197 # DEPENDENCYPART_ARC
(10,16),-1.21528 # DEPENDENCYPART_ARC
(10,19),-1.56948 # DEPENDENCYPART_ARC
(10,20),-1.06559 # DEPENDENCYPART_ARC
(10,21),-1.59415 # DEPENDENCYPART_ARC
(10,23),-2.13267 # DEPENDENCYPART_ARC
(10,24),-1.73394 # DEPENDENCYPART_ARC
(11,10),-0.612025 # DEPENDENCYPART_ARC
(11,12),-0.418674 # DEPENDENCYPART_ARC
(11,16),-1.41709 # DEPENDENCYPART_ARC
(12,9),-1.55016 # DEPENDENCYPART_ARC
(12,10),-1.40672 # DEPENDENCYPART_ARC
(12,11),-0.208425 # DEPENDENCYPART_ARC
(12,13),-0.156646 # DEPENDENCYPART_ARC
(12,15),-1.28494 # DEPENDENCYPART_ARC
(12,16),-1.31094 # DEPENDENCYPART_ARC
(13,8),-2.13495 # DEPENDENCYPART_ARC
(13,9),-2.07538 # DEPENDENCYPART_ARC
(13,11),-0.724255 # DEPENDENCYPART_ARC
(13,12),-0.152388 # DEPENDENCYPART_ARC
(13,14),-0.70545 # DEPENDENCYPART_ARC
(13,15),-1.51686 # DEPENDENCYPART_ARC
(13,16),-1.39303 # DEPENDENCYPART_ARC
(13,18),-1.97987 # DEPENDENCYPART_ARC
(14,1),-1.7409 # DEPENDENCYPART_ARC
(14,3),-1.38645 # DEPENDENCYPART_ARC
(14,4),-2.15054 # DEPENDENCYPART_ARC
(14,5),-1.65113 # DEPENDENCYPART_ARC
(14,6),-1.48752 # DEPENDENCYPART_ARC
(14,7),-1.65563 # DEPENDENCYPART_ARC
(14,8),-1.39087 # DEPENDENCYPART_ARC
(14,9),-1.01938 # DEPENDENCYPART_ARC
(14,10),-0.949945 # DEPENDENCYPART_ARC
(14,11),0.17002 # DEPENDENCYPART_ARC
(14,12),0.224496 # DEPENDENCYPART_ARC
(14,13),1.63749 # DEPENDENCYPART_ARC
(14,15),-0.0451817 # DEPENDENCYPART_ARC
(14,16),-1.3965 # DEPENDENCYPART_ARC
(14,18),-1.44715 # DEPENDENCYPART_ARC
(14,19),-1.92602 # DEPENDENCYPART_ARC
(14,20),-1.83146 # DEPENDENCYPART_ARC
(14,21),-1.87434 # DEPENDENCYPART_ARC
(14,23),-1.738 # DEPENDENCYPART_ARC
(14,24),-1.86695 # DEPENDENCYPART_ARC
(16,1),-1.26948 # DEPENDENCYPART_ARC
(16,2),-1.31696 # DEPENDENCYPART_ARC
(16,3),-0.959409 # DEPENDENCYPART_ARC
(16,4),-1.19385 # DEPENDENCYPART_ARC
(16,5),-1.45698 # DEPENDENCYPART_ARC
(16,6),-1.54308 # DEPENDENCYPART_ARC
(16,7),-1.42864 # DEPENDENCYPART_ARC
(16,8),-1.18662 # DEPENDENCYPART_ARC
(16,9),-0.96124 # DEPENDENCYPART_ARC
(16,10),-0.638877 # DEPENDENCYPART_ARC
(16,11),-1.26063 # DEPENDENCYPART_ARC
(16,12),-1.10125 # DEPENDENCYPART_ARC
(16,13),-0.660916 # DEPENDENCYPART_ARC
(16,14),-0.542602 # DEPENDENCYPART_ARC
(16,15),0.670003 # DEPENDENCYPART_ARC
(16,17),0.676431 # DEPENDENCYPART_ARC
(16,18),0.628959 # DEPENDENCYPART_ARC
(16,19),-0.505169 # DEPENDENCYPART_ARC
(16,20),-0.277363 # DEPENDENCYPART_ARC
(16,21),-0.603261 # DEPENDENCYPART_ARC
(16,22),-1.14731 # DEPENDENCYPART_ARC
(16,23),-1.01897 # DEPENDENCYPART_ARC
(16,24),0.841115 # DEPENDENCYPART_ARC
(17,19),-1.63819 # DEPENDENCYPART_ARC
(18,17),1.07503 # DEPENDENCYPART_ARC
(18,19),-0.0450956 # DEPENDENCYPART_ARC
(18,20),-0.865972 # DEPENDENCYPART_ARC
(18,21),-1.25146 # DEPENDENCYPART_ARC
(18,22),-1.57119 # DEPENDENCYPART_ARC
(18,23),-1.41336 # DEPENDENCYPART_ARC
(18,24),-1.44635 # DEPENDENCYPART_ARC
(19,3),-2.13732 # DEPENDENCYPART_ARC
(19,9),-2.06564 # DEPENDENCYPART_ARC
(19,10),-1.9218 # DEPENDENCYPART_ARC
(19,14),-1.7451 # DEPENDENCYPART_ARC
(19,17),-1.19177 # DEPENDENCYPART_ARC
(19,18),-0.49286 # DEPENDENCYPART_ARC
(19,20),0.121715 # DEPENDENCYPART_ARC
(19,21),-1.15253 # DEPENDENCYPART_ARC
(19,22),-1.29709 # DEPENDENCYPART_ARC
(19,23),-1.29942 # DEPENDENCYPART_ARC
(20,17),-1.76662 # DEPENDENCYPART_ARC
(20,18),-1.69373 # DEPENDENCYPART_ARC
(20,19),-0.684113 # DEPENDENCYPART_ARC
(20,21),-0.0775777 # DEPENDENCYPART_ARC
(20,22),-1.23716 # DEPENDENCYPART_ARC
(20,23),-0.39004 # DEPENDENCYPART_ARC
(20,24),-1.62958 # DEPENDENCYPART_ARC
(21,19),-1.87762 # DEPENDENCYPART_ARC
(21,20),-0.415246 # DEPENDENCYPART_ARC
(21,22),-0.18503 # DEPENDENCYPART_ARC
(21,23),-1.05149 # DEPENDENCYPART_ARC
(21,24),-1.45155 # DEPENDENCYPART_ARC
(22,17),-1.86944 # DEPENDENCYPART_ARC
(22,18),-1.50426 # DEPENDENCYPART_ARC
(22,19),-1.15235 # DEPENDENCYPART_ARC
(22,20),-1.14574 # DEPENDENCYPART_ARC
(22,21),0.45719 # DEPENDENCYPART_ARC
(23,4),-1.70695 # DEPENDENCYPART_ARC
(23,12),-1.34624 # DEPENDENCYPART_ARC
(23,14),-1.52302 # DEPENDENCYPART_ARC
(23,17),-1.44412 # DEPENDENCYPART_ARC
(23,18),-0.916394 # DEPENDENCYPART_ARC
(23,19),-0.851541 # DEPENDENCYPART_ARC
(23,20),-0.966453 # DEPENDENCYPART_ARC
(23,21),-0.0816953 # DEPENDENCYPART_ARC
(23,22),1.36527 # DEPENDENCYPART_ARC
(23,24),-0.396574 # DEPENDENCYPART_ARC
(24,23),-0.874055 # DEPENDENCYPART_ARC
(0,3),(0,6),-0.138492 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.137832 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.222549 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0328751 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.00045554 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0226213 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0574915 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0167459 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.021089 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0574915 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0460601 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0168292 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0478696 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0104983 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0551582 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0181266 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0516452 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0029425 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0728478 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0480742 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0487666 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0692975 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0459918 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.235811 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0225399 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0029425 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0670597 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.00247906 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.20452 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0970551 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.0724557 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.131907 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0584518 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.124024 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.112882 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0960306 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0573816 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0468815 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.267446 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0815085 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0584518 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.130856 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0840917 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.240157 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.116462 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0975014 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.0946576 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0406722 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.07481 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0208006 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0796955 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0467842 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0014466 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0819272 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0531372 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0605454 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0802894 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0329946 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.0263188 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.0531452 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.0144601 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0132924 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0237131 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00835326 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.00561512 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0404331 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.00596487 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0341145 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.017761 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0123837 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0313021 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.021837 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.0192813 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0114522 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00980801 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0374621 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.022225 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0017326 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.00263029 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0364606 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0366817 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.00579805 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.00154749 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.00306494 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.00515663 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.0251844 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0198636 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.00595526 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.00800203 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0380055 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0237639 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0210829 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0287101 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.00685479 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.00226519 # DEPENDENCYPART_SIBL
(3,7),(3,23),0.0279113 # DEPENDENCYPART_SIBL
(3,7),(3,24),0.024573 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0218645 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00528484 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.014652 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.00367217 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0170662 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.017868 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.00997106 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.0185887 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.000827042 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.0270428 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0169226 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.017406 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.00831232 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0179717 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0206219 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.0103762 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.0235654 # DEPENDENCYPART_SIBL
(3,9),(3,23),-0.0115108 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.033704 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0571669 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0567631 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.0564442 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0660616 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.0349551 # DEPENDENCYPART_SIBL
(3,10),(3,21),0.0172199 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.0093421 # DEPENDENCYPART_SIBL
(3,10),(3,24),0.1312 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.00783932 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0109389 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0265716 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.0086348 # DEPENDENCYPART_SIBL
(3,14),(3,21),0.000599889 # DEPENDENCYPART_SIBL
(3,14),(3,23),-0.0286425 # DEPENDENCYPART_SIBL
(3,14),(3,24),0.0569616 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.0605454 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0802894 # DEPENDENCYPART_SIBL
(3,15),(3,20),-0.0329946 # DEPENDENCYPART_SIBL
(3,15),(3,21),0.0263188 # DEPENDENCYPART_SIBL
(3,15),(3,23),0.0531452 # DEPENDENCYPART_SIBL
(3,15),(3,24),0.0144601 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.00590999 # DEPENDENCYPART_SIBL
(3,16),(3,20),0.000908473 # DEPENDENCYPART_SIBL
(3,16),(3,21),-0.00316143 # DEPENDENCYPART_SIBL
(3,16),(3,23),0.0050613 # DEPENDENCYPART_SIBL
(3,16),(3,24),0.0310488 # DEPENDENCYPART_SIBL
(3,18),(3,20),0.027723 # DEPENDENCYPART_SIBL
(3,18),(3,21),0.00997484 # DEPENDENCYPART_SIBL
(3,18),(3,23),-0.0140202 # DEPENDENCYPART_SIBL
(3,18),(3,24),0.0757871 # DEPENDENCYPART_SIBL
(3,20),(3,21),0.0369765 # DEPENDENCYPART_SIBL
(3,20),(3,23),0.004391 # DEPENDENCYPART_SIBL
(3,20),(3,24),0.0782301 # DEPENDENCYPART_SIBL
(3,21),(3,23),0.0618709 # DEPENDENCYPART_SIBL
(3,21),(3,24),-0.00125911 # DEPENDENCYPART_SIBL
(3,23),(3,24),0.038737 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.015411 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.019564 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0162953 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0209559 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0124138 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0560419 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0133085 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.00489386 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0809409 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0516525 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.107585 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0664505 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0118245 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0477862 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0366328 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0215813 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0107697 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0226615 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.00578809 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0615203 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0361659 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0513077 # DEPENDENCYPART_SIBL
(6,3),(6,23),-0.020449 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.0251099 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0477194 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.130945 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.00906659 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0336598 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.030476 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0460875 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0439549 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.00631405 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0480735 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.00436739 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.0365856 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0220811 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.00822549 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0459496 # DEPENDENCYPART_SIBL
(6,4),(6,23),0.0262663 # DEPENDENCYPART_SIBL
(6,4),(6,24),0.055381 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0300486 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0627063 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.119014 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.139564 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0531167 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.11449 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.131066 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.121885 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0665285 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.161258 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.0670369 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.0698391 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.0733565 # DEPENDENCYPART_SIBL
(6,5),(6,23),0.10705 # DEPENDENCYPART_SIBL
(6,5),(6,24),-0.329599 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0297982 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0706553 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.165726 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0245539 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0669771 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0652047 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.039825 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0466772 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0861427 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.0110936 # DEPENDENCYPART_SIBL
(6,7),(6,20),0.143432 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.0759608 # DEPENDENCYPART_SIBL
(6,7),(6,23),0.0256361 # DEPENDENCYPART_SIBL
(6,7),(6,24),0.0298576 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0141069 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0714258 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0180068 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0543499 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0513418 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.024964 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0417509 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0206673 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.0138387 # DEPENDENCYPART_SIBL
(6,8),(6,20),0.0334164 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.0150483 # DEPENDENCYPART_SIBL
(6,8),(6,23),-0.0338968 # DEPENDENCYPART_SIBL
(6,8),(6,24),-0.0324164 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.151469 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0201387 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0153485 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0123405 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0331868 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.00108099 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.018334 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.0243067 # DEPENDENCYPART_SIBL
(6,9),(6,20),0.109812 # DEPENDENCYPART_SIBL
(6,9),(6,21),0.0209002 # DEPENDENCYPART_SIBL
(6,9),(6,23),-0.0035746 # DEPENDENCYPART_SIBL
(6,9),(6,24),0.0292744 # DEPENDENCYPART_SIBL
