# _root_ At Jefferies & Co. , J. Francis Palamara did n't reach the office until 5:30 a.m. , but then he had been up most of the night at home .
#goldHeads=9,1,2,3,9,8,8,9,0,9,9,13,11,11,16,14,9,9,18,21,19,21,22,22,24,27,25,22,28,9,
#predictedHeads=9,1,2,3,9,8,8,9,0,9,9,13,11,11,16,14,9,9,21,21,18,21,22,22,24,27,25,22,28,9,
(9,6),-1.24406 # DEPENDENCYPART_ARC
(9,7),-1.03961 # DEPENDENCYPART_ARC
(9,8),0.00191551 # DEPENDENCYPART_ARC
(9,10),1.2051 # DEPENDENCYPART_ARC
(9,11),0.247995 # DEPENDENCYPART_ARC
(9,12),-0.876392 # DEPENDENCYPART_ARC
(9,13),-0.280606 # DEPENDENCYPART_ARC
(9,14),-0.597294 # DEPENDENCYPART_ARC
(9,15),-1.43934 # DEPENDENCYPART_ARC
(9,16),-0.802792 # DEPENDENCYPART_ARC
(9,17),-1.06839 # DEPENDENCYPART_ARC
(9,18),-1.12692 # DEPENDENCYPART_ARC
(9,19),-0.808477 # DEPENDENCYPART_ARC
(9,20),-1.41956 # DEPENDENCYPART_ARC
(9,21),-1.38961 # DEPENDENCYPART_ARC
(9,22),-1.18753 # DEPENDENCYPART_ARC
(9,23),-1.55469 # DEPENDENCYPART_ARC
(9,24),-1.26782 # DEPENDENCYPART_ARC
(9,30),0.667412 # DEPENDENCYPART_ARC
(10,1),-1.82285 # DEPENDENCYPART_ARC
(10,8),-1.59286 # DEPENDENCYPART_ARC
(10,11),-0.327415 # DEPENDENCYPART_ARC
(10,14),-1.59683 # DEPENDENCYPART_ARC
(10,15),-1.89663 # DEPENDENCYPART_ARC
(11,1),-1.59638 # DEPENDENCYPART_ARC
(11,2),-1.96542 # DEPENDENCYPART_ARC
(11,5),-1.90414 # DEPENDENCYPART_ARC
(11,7),-1.59362 # DEPENDENCYPART_ARC
(11,8),-1.40041 # DEPENDENCYPART_ARC
(11,9),-1.43643 # DEPENDENCYPART_ARC
(11,10),-0.162735 # DEPENDENCYPART_ARC
(11,12),0.253364 # DEPENDENCYPART_ARC
(11,13),0.339789 # DEPENDENCYPART_ARC
(11,14),0.0266536 # DEPENDENCYPART_ARC
(11,15),-1.30562 # DEPENDENCYPART_ARC
(11,16),-0.48833 # DEPENDENCYPART_ARC
(11,17),-0.913467 # DEPENDENCYPART_ARC
(11,18),-1.29629 # DEPENDENCYPART_ARC
(11,19),-1.27564 # DEPENDENCYPART_ARC
(11,20),-1.40055 # DEPENDENCYPART_ARC
(11,21),-1.3294 # DEPENDENCYPART_ARC
(11,22),-1.43976 # DEPENDENCYPART_ARC
(11,23),-1.54527 # DEPENDENCYPART_ARC
(11,24),-1.38516 # DEPENDENCYPART_ARC
(11,25),-1.42512 # DEPENDENCYPART_ARC
(11,27),-1.60249 # DEPENDENCYPART_ARC
(11,28),-1.30466 # DEPENDENCYPART_ARC
(11,30),-0.705768 # DEPENDENCYPART_ARC
(12,14),-1.46377 # DEPENDENCYPART_ARC
(13,10),-1.2884 # DEPENDENCYPART_ARC
(13,11),-1.02074 # DEPENDENCYPART_ARC
(13,12),1.23044 # DEPENDENCYPART_ARC
(13,14),-0.00526585 # DEPENDENCYPART_ARC
(13,15),-1.24832 # DEPENDENCYPART_ARC
(13,16),-1.42078 # DEPENDENCYPART_ARC
(13,17),-1.78844 # DEPENDENCYPART_ARC
(13,18),-2.1084 # DEPENDENCYPART_ARC
(13,19),-1.78968 # DEPENDENCYPART_ARC
(13,21),-1.66039 # DEPENDENCYPART_ARC
(13,22),-2.02053 # DEPENDENCYPART_ARC
(13,25),-2.10302 # DEPENDENCYPART_ARC
(14,10),-1.86095 # DEPENDENCYPART_ARC
(14,13),-0.864692 # DEPENDENCYPART_ARC
(14,15),-0.193129 # DEPENDENCYPART_ARC
(14,16),-0.0168165 # DEPENDENCYPART_ARC
(14,17),-1.44604 # DEPENDENCYPART_ARC
(14,18),-1.50379 # DEPENDENCYPART_ARC
(14,19),-1.61521 # DEPENDENCYPART_ARC
(14,21),-1.57877 # DEPENDENCYPART_ARC
(14,22),-1.99791 # DEPENDENCYPART_ARC
(15,13),-1.69562 # DEPENDENCYPART_ARC
(15,14),-0.249409 # DEPENDENCYPART_ARC
(15,16),-0.348853 # DEPENDENCYPART_ARC
(15,17),-1.30733 # DEPENDENCYPART_ARC
(15,18),-1.49723 # DEPENDENCYPART_ARC
(15,19),-1.61546 # DEPENDENCYPART_ARC
(15,21),-1.66889 # DEPENDENCYPART_ARC
(16,1),-1.858 # DEPENDENCYPART_ARC
(16,7),-2.09374 # DEPENDENCYPART_ARC
(16,10),-1.68873 # DEPENDENCYPART_ARC
(16,12),-0.976612 # DEPENDENCYPART_ARC
(16,13),-0.981852 # DEPENDENCYPART_ARC
(16,14),-0.764204 # DEPENDENCYPART_ARC
(16,15),1.08489 # DEPENDENCYPART_ARC
(16,17),0.0410032 # DEPENDENCYPART_ARC
(16,18),-1.22548 # DEPENDENCYPART_ARC
(16,19),-1.36485 # DEPENDENCYPART_ARC
(16,20),-1.60544 # DEPENDENCYPART_ARC
(16,21),-1.53678 # DEPENDENCYPART_ARC
(16,22),-1.83296 # DEPENDENCYPART_ARC
(16,23),-1.69547 # DEPENDENCYPART_ARC
(16,24),-1.86676 # DEPENDENCYPART_ARC
(16,25),-1.647 # DEPENDENCYPART_ARC
(16,27),-1.98654 # DEPENDENCYPART_ARC
(18,19),0.0517578 # DEPENDENCYPART_ARC
(18,20),-0.954243 # DEPENDENCYPART_ARC
(18,21),-0.640134 # DEPENDENCYPART_ARC
(18,22),-1.39762 # DEPENDENCYPART_ARC
(18,23),-1.72819 # DEPENDENCYPART_ARC
(18,24),-1.84981 # DEPENDENCYPART_ARC
(18,25),-1.91731 # DEPENDENCYPART_ARC
(18,28),-1.77584 # DEPENDENCYPART_ARC
(19,18),-0.324388 # DEPENDENCYPART_ARC
(19,20),0.0104912 # DEPENDENCYPART_ARC
(19,21),-0.835571 # DEPENDENCYPART_ARC
(19,22),-1.38473 # DEPENDENCYPART_ARC
(19,23),-1.54494 # DEPENDENCYPART_ARC
(19,24),-1.62471 # DEPENDENCYPART_ARC
(19,25),-1.53538 # DEPENDENCYPART_ARC
(19,27),-1.99536 # DEPENDENCYPART_ARC
(19,28),-1.8862 # DEPENDENCYPART_ARC
(20,19),-0.792566 # DEPENDENCYPART_ARC
(20,22),-1.40345 # DEPENDENCYPART_ARC
(21,1),-1.51404 # DEPENDENCYPART_ARC
(21,2),-2.20766 # DEPENDENCYPART_ARC
(21,3),-1.72821 # DEPENDENCYPART_ARC
(21,5),-2.06952 # DEPENDENCYPART_ARC
(21,7),-2.31878 # DEPENDENCYPART_ARC
(21,8),-2.18534 # DEPENDENCYPART_ARC
(21,9),-1.85433 # DEPENDENCYPART_ARC
(21,10),-1.90148 # DEPENDENCYPART_ARC
(21,11),-1.68492 # DEPENDENCYPART_ARC
(21,13),-1.51962 # DEPENDENCYPART_ARC
(21,14),-1.19814 # DEPENDENCYPART_ARC
(21,15),-1.7903 # DEPENDENCYPART_ARC
(21,16),-1.62687 # DEPENDENCYPART_ARC
(21,17),-1.55764 # DEPENDENCYPART_ARC
(21,18),-1.3393 # DEPENDENCYPART_ARC
(21,19),-0.856554 # DEPENDENCYPART_ARC
(21,20),0.844416 # DEPENDENCYPART_ARC
(21,22),1.27082 # DEPENDENCYPART_ARC
(21,23),-0.520369 # DEPENDENCYPART_ARC
(21,24),-1.00417 # DEPENDENCYPART_ARC
(21,25),-1.31483 # DEPENDENCYPART_ARC
(21,27),-1.28882 # DEPENDENCYPART_ARC
(21,28),-1.33153 # DEPENDENCYPART_ARC
(21,29),-1.64701 # DEPENDENCYPART_ARC
(21,30),-0.627418 # DEPENDENCYPART_ARC
(22,1),-2.31676 # DEPENDENCYPART_ARC
(22,9),-1.91072 # DEPENDENCYPART_ARC
(22,14),-1.7162 # DEPENDENCYPART_ARC
(22,16),-1.52007 # DEPENDENCYPART_ARC
(22,19),-1.34438 # DEPENDENCYPART_ARC
(22,20),-1.25077 # DEPENDENCYPART_ARC
(22,23),0.656354 # DEPENDENCYPART_ARC
(22,24),-0.384401 # DEPENDENCYPART_ARC
(22,25),-0.180408 # DEPENDENCYPART_ARC
(22,27),-0.476317 # DEPENDENCYPART_ARC
(22,28),-0.601312 # DEPENDENCYPART_ARC
(22,29),-0.832219 # DEPENDENCYPART_ARC
(22,30),-0.836151 # DEPENDENCYPART_ARC
(23,22),-0.475274 # DEPENDENCYPART_ARC
(23,24),0.077422 # DEPENDENCYPART_ARC
(23,25),-0.622223 # DEPENDENCYPART_ARC
(23,27),-1.12464 # DEPENDENCYPART_ARC
(23,28),-1.38762 # DEPENDENCYPART_ARC
(23,29),-1.52698 # DEPENDENCYPART_ARC
(24,20),-2.02323 # DEPENDENCYPART_ARC
(24,23),-0.286609 # DEPENDENCYPART_ARC
(24,25),0.34887 # DEPENDENCYPART_ARC
(24,27),-0.991575 # DEPENDENCYPART_ARC
(24,28),-1.12138 # DEPENDENCYPART_ARC
(24,29),-1.32691 # DEPENDENCYPART_ARC
(25,23),-1.51855 # DEPENDENCYPART_ARC
(25,24),-0.74821 # DEPENDENCYPART_ARC
(25,26),-0.0710399 # DEPENDENCYPART_ARC
(25,27),0.184641 # DEPENDENCYPART_ARC
(25,28),-1.04193 # DEPENDENCYPART_ARC
(25,29),-0.724126 # DEPENDENCYPART_ARC
(27,23),-1.88882 # DEPENDENCYPART_ARC
(27,24),-1.64676 # DEPENDENCYPART_ARC
(27,26),0.943794 # DEPENDENCYPART_ARC
(27,28),0.0737799 # DEPENDENCYPART_ARC
(27,29),-1.17374 # DEPENDENCYPART_ARC
(28,25),-1.35251 # DEPENDENCYPART_ARC
(28,27),-0.673161 # DEPENDENCYPART_ARC
(28,29),1.41136 # DEPENDENCYPART_ARC
(29,26),-1.72723 # DEPENDENCYPART_ARC
(29,27),-1.26751 # DEPENDENCYPART_ARC
(29,28),-0.397262 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0436987 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.140883 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0499651 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.149861 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.133074 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0244753 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.13255 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0846163 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.222374 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.106456 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0628968 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.117521 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0286357 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.111069 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.111065 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.111065 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0747322 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0690034 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.0286357 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0302686 # DEPENDENCYPART_SIBL
(1,2),(1,30),-0.0656887 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0213917 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0565554 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0175497 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0170886 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0175596 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0420407 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0601339 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0565554 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.229791 # DEPENDENCYPART_SIBL
(1,3),(1,30),-0.0716959 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.00501394 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.117717 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.117714 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.117713 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0738061 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0704909 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.00501394 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0160172 # DEPENDENCYPART_SIBL
(1,4),(1,30),-0.0766383 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0348192 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.035364 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0346482 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.00882982 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0214098 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.0105645 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.0526884 # DEPENDENCYPART_SIBL
(1,5),(1,30),0.0232566 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.111119 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.111119 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0747303 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0690019 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.0327045 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.0302601 # DEPENDENCYPART_SIBL
(1,6),(1,30),-0.0684774 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.111079 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0750747 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0690014 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.0346477 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.030268 # DEPENDENCYPART_SIBL
(1,7),(1,30),-0.0650237 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0747302 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0690014 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.0323517 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.030254 # DEPENDENCYPART_SIBL
(1,8),(1,30),-0.0650162 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0470921 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.0170985 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.0534095 # DEPENDENCYPART_SIBL
(1,9),(1,30),0.0548405 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.0557436 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.0179891 # DEPENDENCYPART_SIBL
(1,11),(1,30),-0.017804 # DEPENDENCYPART_SIBL
(1,17),(1,18),0.0526884 # DEPENDENCYPART_SIBL
(1,17),(1,30),0.0232566 # DEPENDENCYPART_SIBL
(1,18),(1,30),0.013784 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0154618 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0327761 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.072356 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0650626 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0655858 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0649518 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0156575 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0351381 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0566737 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0333 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0230114 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.072356 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.101685 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00835073 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00329804 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0046346 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00323034 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.040518 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0262192 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0764831 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.00567481 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.00131978 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.00835073 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.160439 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0467324 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0463259 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0467932 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0188668 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0765874 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0535728 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0188522 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0235322 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.160439 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0577251 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0568757 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0580584 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0109941 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0621417 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0134597 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.00694413 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.030369 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.00928817 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0163423 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.015875 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0516121 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.000665615 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0154759 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0364367 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0317535 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.00818591 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.016497 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0526701 # DEPENDENCYPART_SIBL
(2,7),(2,10),-4.73913e-05 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0161889 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0371499 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0324667 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0123786 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0515556 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.000723119 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.015419 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0363787 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0316954 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.00777371 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0164652 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0423434 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0587301 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0559658 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0369677 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0424846 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0500308 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0539263 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.00626998 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0536057 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.050841 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.00622653 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.10982 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0105379 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.0100029 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.000865691 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0342206 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0438038 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0240201 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.024086 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0240173 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0121126 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0303011 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0100858 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0102902 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0251847 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0029383 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0438038 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0185521 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0198379 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0740149 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0469334 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0219336 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0225157 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0227448 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0387898 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0229715 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.049982 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0354071 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0576109 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0325544 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0469334 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0242183 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.0251702 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.211737 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.211939 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.211931 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.211931 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.153558 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.13244 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.136391 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.188839 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.148813 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.176984 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.211737 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.185724 # DEPENDENCYPART_SIBL
