# _root_ Sales climbed to an estimated $ 245 million in fiscal 1989 , ended Aug. 31 , from $ 99.9 million in fiscal 1985 .
#goldHeads=2,0,2,6,6,3,6,6,3,11,9,11,11,13,14,11,2,17,18,18,17,23,21,2,
#predictedHeads=2,0,2,6,6,3,6,6,6,11,9,6,6,13,14,6,2,17,18,18,18,23,21,2,
(3,14),-2.10202 # DEPENDENCYPART_ARC
(3,15),-2.00011 # DEPENDENCYPART_ARC
(3,16),-1.14657 # DEPENDENCYPART_ARC
(3,17),-1.16666 # DEPENDENCYPART_ARC
(3,18),-1.69512 # DEPENDENCYPART_ARC
(3,21),-1.06867 # DEPENDENCYPART_ARC
(3,23),-2.06688 # DEPENDENCYPART_ARC
(4,5),-0.250194 # DEPENDENCYPART_ARC
(4,6),-1.42975 # DEPENDENCYPART_ARC
(5,1),-1.52391 # DEPENDENCYPART_ARC
(5,2),-1.50474 # DEPENDENCYPART_ARC
(5,3),-1.4481 # DEPENDENCYPART_ARC
(5,4),-0.567958 # DEPENDENCYPART_ARC
(5,6),-0.0940634 # DEPENDENCYPART_ARC
(5,7),-0.993096 # DEPENDENCYPART_ARC
(5,8),-1.34042 # DEPENDENCYPART_ARC
(5,9),-0.813948 # DEPENDENCYPART_ARC
(5,10),-1.47662 # DEPENDENCYPART_ARC
(5,11),-1.83125 # DEPENDENCYPART_ARC
(5,12),-0.958147 # DEPENDENCYPART_ARC
(5,13),-1.70726 # DEPENDENCYPART_ARC
(5,14),-1.84632 # DEPENDENCYPART_ARC
(5,16),-0.996061 # DEPENDENCYPART_ARC
(5,17),-1.54428 # DEPENDENCYPART_ARC
(5,18),-2.05928 # DEPENDENCYPART_ARC
(5,21),-1.59114 # DEPENDENCYPART_ARC
(5,24),-0.908597 # DEPENDENCYPART_ARC
(6,1),-1.26508 # DEPENDENCYPART_ARC
(6,2),-1.22963 # DEPENDENCYPART_ARC
(6,3),-0.99232 # DEPENDENCYPART_ARC
(6,4),-0.498073 # DEPENDENCYPART_ARC
(6,5),0.359833 # DEPENDENCYPART_ARC
(6,7),1.61241 # DEPENDENCYPART_ARC
(6,8),0.486259 # DEPENDENCYPART_ARC
(6,9),-0.385928 # DEPENDENCYPART_ARC
(6,10),-0.727881 # DEPENDENCYPART_ARC
(6,11),-1.12245 # DEPENDENCYPART_ARC
(6,12),-0.792065 # DEPENDENCYPART_ARC
(6,13),-1.37334 # DEPENDENCYPART_ARC
(6,14),-1.77995 # DEPENDENCYPART_ARC
(6,15),-2.00547 # DEPENDENCYPART_ARC
(6,16),-0.983312 # DEPENDENCYPART_ARC
(6,17),-1.46185 # DEPENDENCYPART_ARC
(6,18),-1.48044 # DEPENDENCYPART_ARC
(6,20),-2.22727 # DEPENDENCYPART_ARC
(6,21),-1.39936 # DEPENDENCYPART_ARC
(6,22),-1.81021 # DEPENDENCYPART_ARC
(6,24),-1.58717 # DEPENDENCYPART_ARC
(7,4),-1.93191 # DEPENDENCYPART_ARC
(7,5),-1.76258 # DEPENDENCYPART_ARC
(7,8),-0.588561 # DEPENDENCYPART_ARC
(7,9),-1.45374 # DEPENDENCYPART_ARC
(8,4),-1.41788 # DEPENDENCYPART_ARC
(8,5),-1.2978 # DEPENDENCYPART_ARC
(8,7),0.317867 # DEPENDENCYPART_ARC
(8,9),-0.446502 # DEPENDENCYPART_ARC
(8,10),-1.29223 # DEPENDENCYPART_ARC
(8,11),-1.75405 # DEPENDENCYPART_ARC
(9,4),-2.16279 # DEPENDENCYPART_ARC
(9,5),-1.92578 # DEPENDENCYPART_ARC
(9,6),-1.38356 # DEPENDENCYPART_ARC
(9,8),-0.787154 # DEPENDENCYPART_ARC
(9,10),-0.30279 # DEPENDENCYPART_ARC
(9,11),-0.445179 # DEPENDENCYPART_ARC
(9,12),-1.26323 # DEPENDENCYPART_ARC
(9,13),-1.48125 # DEPENDENCYPART_ARC
(9,14),-1.82634 # DEPENDENCYPART_ARC
(9,15),-1.90571 # DEPENDENCYPART_ARC
(9,16),-1.53469 # DEPENDENCYPART_ARC
(9,17),-1.65472 # DEPENDENCYPART_ARC
(9,18),-2.16575 # DEPENDENCYPART_ARC
(9,23),-2.27082 # DEPENDENCYPART_ARC
(10,9),-0.788036 # DEPENDENCYPART_ARC
(10,11),-0.298602 # DEPENDENCYPART_ARC
(10,12),-1.29733 # DEPENDENCYPART_ARC
(10,13),-1.37011 # DEPENDENCYPART_ARC
(10,14),-1.72713 # DEPENDENCYPART_ARC
(10,15),-1.95277 # DEPENDENCYPART_ARC
(10,16),-1.60265 # DEPENDENCYPART_ARC
(10,17),-1.83604 # DEPENDENCYPART_ARC
(11,4),-1.63782 # DEPENDENCYPART_ARC
(11,5),-1.50058 # DEPENDENCYPART_ARC
(11,6),-1.52151 # DEPENDENCYPART_ARC
(11,8),-1.08791 # DEPENDENCYPART_ARC
(11,9),-0.940334 # DEPENDENCYPART_ARC
(11,10),0.466829 # DEPENDENCYPART_ARC
(11,12),-0.372994 # DEPENDENCYPART_ARC
(11,13),-1.20541 # DEPENDENCYPART_ARC
(11,14),-1.59527 # DEPENDENCYPART_ARC
(11,15),-1.94186 # DEPENDENCYPART_ARC
(11,18),-1.93132 # DEPENDENCYPART_ARC
(12,13),-0.420543 # DEPENDENCYPART_ARC
(13,2),-2.19521 # DEPENDENCYPART_ARC
(13,6),-2.32244 # DEPENDENCYPART_ARC
(13,9),-1.84364 # DEPENDENCYPART_ARC
(13,10),-1.69097 # DEPENDENCYPART_ARC
(13,11),-1.87545 # DEPENDENCYPART_ARC
(13,12),-0.709871 # DEPENDENCYPART_ARC
(13,14),0.543948 # DEPENDENCYPART_ARC
(13,15),-0.751237 # DEPENDENCYPART_ARC
(13,16),-0.822917 # DEPENDENCYPART_ARC
(13,17),-0.807349 # DEPENDENCYPART_ARC
(13,18),-1.2536 # DEPENDENCYPART_ARC
(13,21),-1.22872 # DEPENDENCYPART_ARC
(13,22),-1.66214 # DEPENDENCYPART_ARC
(13,24),-0.644832 # DEPENDENCYPART_ARC
(14,6),-2.41012 # DEPENDENCYPART_ARC
(14,10),-1.82592 # DEPENDENCYPART_ARC
(14,11),-1.8638 # DEPENDENCYPART_ARC
(14,12),-1.75266 # DEPENDENCYPART_ARC
(14,13),-0.344109 # DEPENDENCYPART_ARC
(14,15),0.709374 # DEPENDENCYPART_ARC
(14,16),-1.0378 # DEPENDENCYPART_ARC
(14,17),-1.36915 # DEPENDENCYPART_ARC
(14,18),-1.55177 # DEPENDENCYPART_ARC
(14,20),-1.98047 # DEPENDENCYPART_ARC
(14,21),-1.68723 # DEPENDENCYPART_ARC
(14,22),-1.91343 # DEPENDENCYPART_ARC
(14,23),-2.16055 # DEPENDENCYPART_ARC
(14,24),-1.26965 # DEPENDENCYPART_ARC
(15,10),-1.57746 # DEPENDENCYPART_ARC
(15,11),-1.40437 # DEPENDENCYPART_ARC
(15,14),-0.279768 # DEPENDENCYPART_ARC
(15,16),-0.428602 # DEPENDENCYPART_ARC
(15,17),-1.53179 # DEPENDENCYPART_ARC
(15,18),-1.47645 # DEPENDENCYPART_ARC
(17,16),-0.852656 # DEPENDENCYPART_ARC
(17,18),0.653788 # DEPENDENCYPART_ARC
(17,19),-0.708382 # DEPENDENCYPART_ARC
(17,20),-1.24363 # DEPENDENCYPART_ARC
(17,21),-0.819702 # DEPENDENCYPART_ARC
(17,22),-1.61225 # DEPENDENCYPART_ARC
(17,23),-1.79633 # DEPENDENCYPART_ARC
(17,24),-1.45264 # DEPENDENCYPART_ARC
(18,4),-2.17673 # DEPENDENCYPART_ARC
(18,6),-2.07855 # DEPENDENCYPART_ARC
(18,13),-1.83331 # DEPENDENCYPART_ARC
(18,14),-1.90724 # DEPENDENCYPART_ARC
(18,15),-1.68166 # DEPENDENCYPART_ARC
(18,17),0.100415 # DEPENDENCYPART_ARC
(18,19),1.44662 # DEPENDENCYPART_ARC
(18,20),0.297309 # DEPENDENCYPART_ARC
(18,21),-0.443149 # DEPENDENCYPART_ARC
(18,22),-0.847304 # DEPENDENCYPART_ARC
(18,23),-1.32844 # DEPENDENCYPART_ARC
(18,24),-1.12371 # DEPENDENCYPART_ARC
(19,20),-0.56521 # DEPENDENCYPART_ARC
(19,22),-1.56121 # DEPENDENCYPART_ARC
(19,23),-2.07208 # DEPENDENCYPART_ARC
(20,15),-1.51571 # DEPENDENCYPART_ARC
(20,19),0.294446 # DEPENDENCYPART_ARC
(20,21),-0.447335 # DEPENDENCYPART_ARC
(20,22),-1.29307 # DEPENDENCYPART_ARC
(20,23),-1.76775 # DEPENDENCYPART_ARC
(21,18),-1.38779 # DEPENDENCYPART_ARC
(21,20),-0.787154 # DEPENDENCYPART_ARC
(21,22),-0.30279 # DEPENDENCYPART_ARC
(21,23),-0.559195 # DEPENDENCYPART_ARC
(21,24),-1.29379 # DEPENDENCYPART_ARC
(22,23),-0.243424 # DEPENDENCYPART_ARC
(23,15),-1.73653 # DEPENDENCYPART_ARC
(23,20),-1.11518 # DEPENDENCYPART_ARC
(23,21),-0.928438 # DEPENDENCYPART_ARC
(23,22),0.462684 # DEPENDENCYPART_ARC
(23,24),-0.557649 # DEPENDENCYPART_ARC
(24,23),-0.698515 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.14348 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0639942 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0942194 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0113887 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0151444 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0203159 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00585973 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0322968 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.00556616 # DEPENDENCYPART_SIBL
(1,2),(1,24),0.0288918 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0483954 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0429799 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00252949 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0405292 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0411639 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.146761 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0422885 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0298855 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0304933 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0597179 # DEPENDENCYPART_SIBL
(1,4),(1,24),-0.0247846 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0106809 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0166128 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.00706806 # DEPENDENCYPART_SIBL
(1,5),(1,24),-0.00452157 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0893667 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0741755 # DEPENDENCYPART_SIBL
(1,6),(1,24),0.101652 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.108175 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.00186209 # DEPENDENCYPART_SIBL
(1,12),(1,24),0.0207806 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0687077 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0132233 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0247737 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00982322 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.154248 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0165218 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.00272298 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.034389 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0291657 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0341274 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.034389 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.146886 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.154248 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0165218 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.0267148 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0175534 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0320487 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0801335 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.00524233 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.040089 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.00764845 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0403584 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0327289 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0468354 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0403584 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.173226 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.00524233 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.040089 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.0776046 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0183508 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.021846 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0594404 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0394301 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0478541 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0173379 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0259411 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0515247 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0173379 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0381735 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0594404 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0394301 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.0378677 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0656517 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.095989 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0900654 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0719896 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0523047 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.155814 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0808204 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0523047 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.139086 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.095989 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.0900654 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.000707746 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0100606 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0160167 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0059778 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.074177 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0617349 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.00805886 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.074177 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0716258 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.0100606 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0160167 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.0463594 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0080152 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.000867776 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0657703 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0416541 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0156069 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0657703 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.07685 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.0606307 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.0080152 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.0213598 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0790868 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0357916 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.030581 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0239881 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0357916 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0905385 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.00856015 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.0840085 # DEPENDENCYPART_SIBL
(2,10),(2,24),-0.00457686 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0109585 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0388 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.00530311 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0109585 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0396869 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.0118363 # DEPENDENCYPART_SIBL
(2,11),(2,22),-0.0387805 # DEPENDENCYPART_SIBL
(2,11),(2,24),0.0339718 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0228291 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0136634 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.0170008 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0306626 # DEPENDENCYPART_SIBL
(2,12),(2,21),0.00545116 # DEPENDENCYPART_SIBL
(2,12),(2,22),0.0177366 # DEPENDENCYPART_SIBL
(2,12),(2,24),0.0836657 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0713526 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0378856 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.135835 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.0888118 # DEPENDENCYPART_SIBL
(2,13),(2,22),-0.0796674 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.0180384 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0327294 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.0322132 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.0150731 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.00676268 # DEPENDENCYPART_SIBL
(2,14),(2,24),0.0767131 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.0306626 # DEPENDENCYPART_SIBL
(2,16),(2,21),0.00545116 # DEPENDENCYPART_SIBL
(2,16),(2,22),0.0177366 # DEPENDENCYPART_SIBL
(2,16),(2,24),0.0836657 # DEPENDENCYPART_SIBL
(2,17),(2,21),-0.0467641 # DEPENDENCYPART_SIBL
(2,17),(2,22),-0.0238721 # DEPENDENCYPART_SIBL
(2,17),(2,24),0.0396265 # DEPENDENCYPART_SIBL
(2,21),(2,22),-0.0080152 # DEPENDENCYPART_SIBL
(2,21),(2,24),0.0213598 # DEPENDENCYPART_SIBL
(2,22),(2,24),-0.00457686 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.04046 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00804771 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0767452 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00750736 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.030461 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.047901 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.000118193 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0138895 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.00264628 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.122766 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.00275779 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0138895 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0360491 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0767452 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.030461 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.00481447 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.000837851 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0461306 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0314777 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.00377052 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0424053 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0281484 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.019332 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0102448 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0607767 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0281487 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.019332 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0275958 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0461306 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.00377052 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.0281651 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.052303 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0403597 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.011799 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0571728 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0344477 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0185612 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0811996 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0640023 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0325465 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0185612 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0108536 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.052303 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.011799 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.0324632 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0387789 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.043243 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0827858 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0368927 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0270759 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0564482 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0881975 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0364105 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.0270759 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0019 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.136596 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.043243 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.0364108 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0589081 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0982728 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0677892 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.00957345 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0398671 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0842375 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0852364 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.00957345 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.0130097 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0206154 # DEPENDENCYPART_SIBL
(3,8),(3,21),0.0589081 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.0885217 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0778017 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0519782 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0412452 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0686648 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0790417 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0531609 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0412452 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0492715 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.107725 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.0694554 # DEPENDENCYPART_SIBL
(3,9),(3,23),-0.0538813 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0823282 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0182724 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0168205 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0671221 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0819922 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0182724 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0253586 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0938498 # DEPENDENCYPART_SIBL
(3,10),(3,21),0.029496 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.0819906 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0463106 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0605173 # DEPENDENCYPART_SIBL
