# _root_ But then it suddenly burst upward 7.5 as Goldman , Sachs & Co. stepped in and bought almost every share offer , traders said .
#goldHeads=5,5,5,5,24,5,5,5,14,9,9,11,12,8,14,14,16,21,21,21,17,24,24,0,24,
#predictedHeads=5,5,5,5,24,5,6,5,14,9,9,11,12,8,14,14,16,17,21,21,17,24,24,0,24,
(3,5),(3,12),0.00378557 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00616436 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0229593 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0151388 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0505891 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.00956078 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.020247 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0677931 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0110089 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0313825 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0591807 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0341382 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0344251 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00104982 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.13146 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0410486 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0179283 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.185382 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.175951 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0435179 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0241172 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0083765 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0171388 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0141684 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0520941 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.00371688 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.000222925 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0440103 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.021015 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0325013 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.112894 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0138946 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0410319 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0224757 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0267282 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.111269 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0664546 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0939623 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0437818 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0112307 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.067986 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0168405 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0213088 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0192187 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.076349 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0305691 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0353728 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.109236 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0362366 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0290593 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.0457287 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.0213088 # DEPENDENCYPART_SIBL
(5,1),(5,25),0.336989 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.176502 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0847835 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0170791 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0259517 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.112132 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00485461 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0133018 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0101688 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0056512 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0326612 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0144404 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.044885 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0400129 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.0201381 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.113435 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.0133018 # DEPENDENCYPART_SIBL
(5,2),(5,25),0.0925549 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0604387 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0664467 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0111128 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.104282 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.00695884 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0228461 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.00458081 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.05103 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.00578089 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.120939 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0479507 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0203073 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0662672 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.149682 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.0228461 # DEPENDENCYPART_SIBL
(5,3),(5,25),0.0357613 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0216723 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.00912671 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.118018 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0234859 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0418082 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0288001 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.00454973 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0160772 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.00239793 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0425385 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0234288 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0205897 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0673465 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.0418082 # DEPENDENCYPART_SIBL
(5,4),(5,25),0.0504226 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0406332 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0148264 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0331717 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0211769 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0331096 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0605698 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0208412 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0248278 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0147779 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0313063 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0219596 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0318187 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.0211769 # DEPENDENCYPART_SIBL
(5,6),(5,25),-0.0324418 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0503231 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0329454 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.000140557 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0328783 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0317726 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.00824444 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0213033 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.00924983 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.00214359 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0198316 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0526876 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.000140557 # DEPENDENCYPART_SIBL
(5,7),(5,25),-0.0348487 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0390738 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.00491493 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0395248 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0587992 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0208836 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0300686 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0381581 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0406628 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0194653 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.0452773 # DEPENDENCYPART_SIBL
(5,8),(5,22),-0.00491493 # DEPENDENCYPART_SIBL
(5,8),(5,25),0.0338582 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.00820165 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0415727 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.059825 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0182893 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.000349129 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.00154063 # DEPENDENCYPART_SIBL
