# _root_ A widening of that magnitude , said one New York trader , is `` not a favorable number ... .
#goldHeads=2,13,2,5,3,7,0,11,11,11,7,13,7,18,18,18,18,13,13,13,
#predictedHeads=2,7,2,5,3,7,0,11,11,11,13,7,7,13,13,18,18,13,7,7,
(2,1),(2,9),0.0317164 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0237567 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0330664 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0382792 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.174325 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.189745 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.089462 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0375817 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0841837 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0247284 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0529442 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0256311 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0169562 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0382287 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0314065 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0198881 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0152813 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0210332 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0169562 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.115369 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0179599 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.00364096 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0288189 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0103957 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.00942162 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0589751 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0225017 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0334777 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0104598 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0686701 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.075512 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0599759 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0225017 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0289971 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0597587 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0136996 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0641434 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.00441299 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0875931 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00182652 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0214826 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.00748433 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0333655 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0389456 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0307306 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.00182652 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.00582374 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.00854077 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0107157 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0307932 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.0192635 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.00861649 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.00179491 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.116844 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0421263 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0228249 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0496208 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.041035 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0391554 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0822954 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.149762 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0399697 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0645417 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.00011399 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0237787 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.00559989 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0036924 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0158461 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.04557 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0426751 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.000888476 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0104425 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0181626 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.0420426 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.0347123 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0136553 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.00449384 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.00807207 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.113057 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.00743548 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.00673976 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0292612 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.0060294 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.045907 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.0268218 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0504402 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0496801 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.00612657 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0063716 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0203244 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.00415619 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0494825 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.00602014 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.00849033 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0477709 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0258314 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.00533024 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0200624 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.00356529 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0475745 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.00541121 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.0198808 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0119605 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.00882339 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.00819518 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0110159 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0319633 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0196085 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0221773 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0391554 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0822954 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.149762 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.0399697 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.0645417 # DEPENDENCYPART_SIBL
(2,12),(2,20),-0.00011399 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.00640932 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.0384225 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.0228454 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.0413151 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.0454572 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.0294736 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0660236 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.0457478 # DEPENDENCYPART_SIBL
(2,14),(2,20),0.09613 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.0921722 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.0156081 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.0291524 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0158319 # DEPENDENCYPART_SIBL
(2,18),(2,20),0.00743474 # DEPENDENCYPART_SIBL
(2,19),(2,20),0.226758 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.139868 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0650169 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00668439 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0233228 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0321159 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0811606 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.063476 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.00668439 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.100628 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.133122 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0129258 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0204843 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0622042 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0968615 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.136389 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0129258 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0328486 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0189974 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0196627 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.130734 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.124676 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.196502 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0189974 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0580437 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.176594 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0395821 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0312658 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.00644904 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0990453 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0914363 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0081326 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.000439188 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0486235 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.07558 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0416995 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0983704 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.155959 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0307841 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0970043 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.157323 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.01937 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0792669 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0449353 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0544839 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0914363 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0220587 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.205999 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.199549 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0959175 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0659728 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0724208 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0825798 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0424128 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0627311 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0959175 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0710932 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.33416 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0425189 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.193429 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.121952 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0249997 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.01704 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0406395 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0425189 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.166387 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.181807 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0815244 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0451548 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0603148 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.161695 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.020952 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0226186 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0417856 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0450734 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0392768 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.00580411 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.020952 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0152095 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0336343 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.00703941 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0127837 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0264307 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0710802 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0104151 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0390504 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0700992 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.07677 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0836162 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0710802 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0173708 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0201327 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0346726 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.093097 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0544557 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00388791 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.118212 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0443685 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0250672 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0509567 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0464761 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0405231 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0836631 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.15113 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0413056 # DEPENDENCYPART_SIBL
(5,6),(5,19),0.062719 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0244172 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.00718384 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.00210845 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0152394 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0508473 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0420365 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.00152699 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0110811 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0175559 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.0394907 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0145298 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.00536839 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.00804027 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.11713 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.00743548 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.00673976 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0292612 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0059976 # DEPENDENCYPART_SIBL
(5,8),(5,19),0.0427166 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0488474 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0489936 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.000618062 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.00565337 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0196061 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.00343796 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.048796 # DEPENDENCYPART_SIBL
(5,9),(5,19),0.00354792 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0470845 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0313399 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.00461201 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0193442 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.00428352 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.046888 # DEPENDENCYPART_SIBL
(5,10),(5,19),0.00293899 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0162844 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.00858754 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.00795932 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.0112518 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.0317637 # DEPENDENCYPART_SIBL
(5,11),(5,19),0.0166492 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0405231 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0836631 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.15113 # DEPENDENCYPART_SIBL
