# _root_ NCNB Texas National , formed from the remnants of of the failed First RepublicBank Corp. of Dallas , contributed $ 76.9 million to NCNB 's bottom line in the third quarter .
#goldHeads=3,3,19,3,3,5,8,6,8,8,14,14,14,10,14,14,16,3,0,19,20,20,19,27,24,27,23,19,31,31,28,19,
#predictedHeads=3,3,19,3,3,5,8,6,8,9,14,14,14,10,14,14,16,3,0,19,20,20,19,27,24,27,23,19,31,31,28,19,
(8,4),-1.91266 # DEPENDENCYPART_ARC
(8,5),-1.27874 # DEPENDENCYPART_ARC
(8,7),1.35628 # DEPENDENCYPART_ARC
(8,9),0.266945 # DEPENDENCYPART_ARC
(8,10),-0.832429 # DEPENDENCYPART_ARC
(8,11),-1.35085 # DEPENDENCYPART_ARC
(8,12),-1.24809 # DEPENDENCYPART_ARC
(8,13),-1.56615 # DEPENDENCYPART_ARC
(8,14),-1.70861 # DEPENDENCYPART_ARC
(8,15),-1.69031 # DEPENDENCYPART_ARC
(8,16),-1.70644 # DEPENDENCYPART_ARC
(8,18),-1.16788 # DEPENDENCYPART_ARC
(8,19),-1.56722 # DEPENDENCYPART_ARC
(8,23),-1.71802 # DEPENDENCYPART_ARC
(8,28),-2.02266 # DEPENDENCYPART_ARC
(8,32),-2.45767 # DEPENDENCYPART_ARC
(9,4),-2.22009 # DEPENDENCYPART_ARC
(9,7),-1.76605 # DEPENDENCYPART_ARC
(9,8),-0.837587 # DEPENDENCYPART_ARC
(9,10),0.733361 # DEPENDENCYPART_ARC
(9,11),-0.948083 # DEPENDENCYPART_ARC
(9,12),-1.09083 # DEPENDENCYPART_ARC
(9,13),-1.61639 # DEPENDENCYPART_ARC
(9,14),-1.62894 # DEPENDENCYPART_ARC
(9,15),-2.01557 # DEPENDENCYPART_ARC
(9,17),-1.78268 # DEPENDENCYPART_ARC
(9,19),-1.3809 # DEPENDENCYPART_ARC
(9,20),-2.0243 # DEPENDENCYPART_ARC
(9,27),-1.2943 # DEPENDENCYPART_ARC
(10,9),-1.06727 # DEPENDENCYPART_ARC
(10,11),-0.227015 # DEPENDENCYPART_ARC
(10,12),-0.793531 # DEPENDENCYPART_ARC
(10,13),-1.66293 # DEPENDENCYPART_ARC
(10,14),-1.81452 # DEPENDENCYPART_ARC
(10,15),-1.97173 # DEPENDENCYPART_ARC
(10,17),-1.91707 # DEPENDENCYPART_ARC
(10,27),-1.41453 # DEPENDENCYPART_ARC
(11,10),-0.726695 # DEPENDENCYPART_ARC
(11,12),-0.471874 # DEPENDENCYPART_ARC
(12,2),-2.16397 # DEPENDENCYPART_ARC
(12,3),-2.21808 # DEPENDENCYPART_ARC
(12,4),-2.06495 # DEPENDENCYPART_ARC
(12,8),-1.49352 # DEPENDENCYPART_ARC
(12,9),-1.53074 # DEPENDENCYPART_ARC
(12,10),-1.70285 # DEPENDENCYPART_ARC
(12,11),-0.641069 # DEPENDENCYPART_ARC
(12,13),0.0486156 # DEPENDENCYPART_ARC
(12,14),-0.877618 # DEPENDENCYPART_ARC
(12,15),-1.04857 # DEPENDENCYPART_ARC
(12,16),-1.11348 # DEPENDENCYPART_ARC
(12,17),-1.31616 # DEPENDENCYPART_ARC
(12,18),-1.2375 # DEPENDENCYPART_ARC
(12,19),-1.64208 # DEPENDENCYPART_ARC
(12,23),-1.85331 # DEPENDENCYPART_ARC
(12,28),-1.87856 # DEPENDENCYPART_ARC
(12,32),-1.64669 # DEPENDENCYPART_ARC
(13,11),-1.57847 # DEPENDENCYPART_ARC
(13,12),-0.720367 # DEPENDENCYPART_ARC
(13,15),-1.63605 # DEPENDENCYPART_ARC
(13,16),-1.76423 # DEPENDENCYPART_ARC
(13,17),-2.38248 # DEPENDENCYPART_ARC
(14,4),-2.94782 # DEPENDENCYPART_ARC
(14,5),-2.27577 # DEPENDENCYPART_ARC
(14,10),-1.62346 # DEPENDENCYPART_ARC
(14,11),-1.33526 # DEPENDENCYPART_ARC
(14,12),-1.07242 # DEPENDENCYPART_ARC
(14,13),0.646406 # DEPENDENCYPART_ARC
(14,15),0.527499 # DEPENDENCYPART_ARC
(14,16),-0.691295 # DEPENDENCYPART_ARC
(14,17),-1.31178 # DEPENDENCYPART_ARC
(14,18),-1.20837 # DEPENDENCYPART_ARC
(14,19),-1.34967 # DEPENDENCYPART_ARC
(14,20),-1.69485 # DEPENDENCYPART_ARC
(14,24),-2.48518 # DEPENDENCYPART_ARC
(14,25),-2.54701 # DEPENDENCYPART_ARC
(14,27),-2.11915 # DEPENDENCYPART_ARC
(14,28),-2.14613 # DEPENDENCYPART_ARC
(14,32),-1.72822 # DEPENDENCYPART_ARC
(15,5),-2.38304 # DEPENDENCYPART_ARC
(15,11),-1.46872 # DEPENDENCYPART_ARC
(15,12),-1.55138 # DEPENDENCYPART_ARC
(15,13),-0.573159 # DEPENDENCYPART_ARC
(15,14),0.341156 # DEPENDENCYPART_ARC
(15,16),0.0927359 # DEPENDENCYPART_ARC
(15,17),-1.35332 # DEPENDENCYPART_ARC
(15,18),-1.45085 # DEPENDENCYPART_ARC
(15,19),-1.58111 # DEPENDENCYPART_ARC
(15,20),-1.87377 # DEPENDENCYPART_ARC
(15,25),-2.19559 # DEPENDENCYPART_ARC
(15,32),-2.68147 # DEPENDENCYPART_ARC
(16,17),0.85081 # DEPENDENCYPART_ARC
(16,19),-0.770461 # DEPENDENCYPART_ARC
(16,20),-1.52335 # DEPENDENCYPART_ARC
(16,27),-1.64345 # DEPENDENCYPART_ARC
(17,11),-2.16435 # DEPENDENCYPART_ARC
(17,13),-1.54755 # DEPENDENCYPART_ARC
(17,14),-1.4113 # DEPENDENCYPART_ARC
(17,15),-1.04372 # DEPENDENCYPART_ARC
(17,18),-0.132267 # DEPENDENCYPART_ARC
(17,19),-1.46643 # DEPENDENCYPART_ARC
(17,20),-1.69998 # DEPENDENCYPART_ARC
(17,25),-2.29445 # DEPENDENCYPART_ARC
(19,1),-1.53548 # DEPENDENCYPART_ARC
(19,2),-1.61164 # DEPENDENCYPART_ARC
(19,3),-1.42573 # DEPENDENCYPART_ARC
(19,4),-1.43815 # DEPENDENCYPART_ARC
(19,5),-1.6424 # DEPENDENCYPART_ARC
(19,6),-1.41463 # DEPENDENCYPART_ARC
(19,8),-0.875489 # DEPENDENCYPART_ARC
(19,9),-1.45083 # DEPENDENCYPART_ARC
(19,10),-1.40722 # DEPENDENCYPART_ARC
(19,11),-1.93462 # DEPENDENCYPART_ARC
(19,12),-1.53841 # DEPENDENCYPART_ARC
(19,13),-1.4159 # DEPENDENCYPART_ARC
(19,14),-1.42695 # DEPENDENCYPART_ARC
(19,15),-1.35878 # DEPENDENCYPART_ARC
(19,16),-0.91114 # DEPENDENCYPART_ARC
(19,17),-0.824064 # DEPENDENCYPART_ARC
(19,18),0.324729 # DEPENDENCYPART_ARC
(19,20),1.06168 # DEPENDENCYPART_ARC
(19,21),-0.184535 # DEPENDENCYPART_ARC
(19,22),-0.672804 # DEPENDENCYPART_ARC
(19,23),-0.0147159 # DEPENDENCYPART_ARC
(19,24),-0.641811 # DEPENDENCYPART_ARC
(19,25),-1.04993 # DEPENDENCYPART_ARC
(19,26),-1.13645 # DEPENDENCYPART_ARC
(19,27),-0.766653 # DEPENDENCYPART_ARC
(19,28),-0.45081 # DEPENDENCYPART_ARC
(19,31),-1.11519 # DEPENDENCYPART_ARC
(19,32),0.669704 # DEPENDENCYPART_ARC
(20,2),-2.3136 # DEPENDENCYPART_ARC
(20,3),-2.36381 # DEPENDENCYPART_ARC
(20,5),-1.97253 # DEPENDENCYPART_ARC
(20,9),-1.67208 # DEPENDENCYPART_ARC
(20,16),-1.15912 # DEPENDENCYPART_ARC
(20,17),-1.48545 # DEPENDENCYPART_ARC
(20,21),1.39111 # DEPENDENCYPART_ARC
(20,22),0.303091 # DEPENDENCYPART_ARC
(20,23),-0.909515 # DEPENDENCYPART_ARC
(20,24),-1.24748 # DEPENDENCYPART_ARC
(20,25),-1.26006 # DEPENDENCYPART_ARC
(20,26),-1.19957 # DEPENDENCYPART_ARC
(20,27),-1.4603 # DEPENDENCYPART_ARC
(20,28),-1.44079 # DEPENDENCYPART_ARC
(20,30),-1.44604 # DEPENDENCYPART_ARC
(20,31),-1.77197 # DEPENDENCYPART_ARC
(20,32),-1.43113 # DEPENDENCYPART_ARC
(21,22),-0.638218 # DEPENDENCYPART_ARC
(21,23),-1.48017 # DEPENDENCYPART_ARC
(21,24),-1.66026 # DEPENDENCYPART_ARC
(22,16),-1.40152 # DEPENDENCYPART_ARC
(22,21),0.57597 # DEPENDENCYPART_ARC
(22,23),-0.4614 # DEPENDENCYPART_ARC
(22,24),-1.39617 # DEPENDENCYPART_ARC
(23,20),-1.76332 # DEPENDENCYPART_ARC
(23,22),-0.732652 # DEPENDENCYPART_ARC
(23,24),0.153208 # DEPENDENCYPART_ARC
(23,25),-0.866428 # DEPENDENCYPART_ARC
(23,26),-1.47214 # DEPENDENCYPART_ARC
(23,27),-0.914464 # DEPENDENCYPART_ARC
(23,28),-1.6203 # DEPENDENCYPART_ARC
(23,31),-1.70761 # DEPENDENCYPART_ARC
(24,14),-1.95205 # DEPENDENCYPART_ARC
(24,20),-1.40314 # DEPENDENCYPART_ARC
(24,22),-1.10293 # DEPENDENCYPART_ARC
(24,23),-0.198246 # DEPENDENCYPART_ARC
(24,25),1.33406 # DEPENDENCYPART_ARC
(24,26),-0.655419 # DEPENDENCYPART_ARC
(24,27),-0.838 # DEPENDENCYPART_ARC
(24,28),-1.14382 # DEPENDENCYPART_ARC
(24,31),-1.60201 # DEPENDENCYPART_ARC
(26,24),-1.04521 # DEPENDENCYPART_ARC
(26,25),-0.333625 # DEPENDENCYPART_ARC
(26,28),-1.26541 # DEPENDENCYPART_ARC
(27,11),-1.85825 # DEPENDENCYPART_ARC
(27,13),-2.22456 # DEPENDENCYPART_ARC
(27,14),-2.04317 # DEPENDENCYPART_ARC
(27,17),-2.01742 # DEPENDENCYPART_ARC
(27,20),-1.21219 # DEPENDENCYPART_ARC
(27,22),-1.20589 # DEPENDENCYPART_ARC
(27,23),-1.56656 # DEPENDENCYPART_ARC
(27,24),-0.233657 # DEPENDENCYPART_ARC
(27,25),-0.48083 # DEPENDENCYPART_ARC
(27,26),1.44766 # DEPENDENCYPART_ARC
(27,28),0.375881 # DEPENDENCYPART_ARC
(27,30),-1.31889 # DEPENDENCYPART_ARC
(27,31),-1.27225 # DEPENDENCYPART_ARC
(28,27),-1.00392 # DEPENDENCYPART_ARC
(28,29),-0.000786872 # DEPENDENCYPART_ARC
(28,30),-0.785321 # DEPENDENCYPART_ARC
(28,31),0.137754 # DEPENDENCYPART_ARC
(30,29),-0.105486 # DEPENDENCYPART_ARC
(31,20),-1.71678 # DEPENDENCYPART_ARC
(31,24),-1.42796 # DEPENDENCYPART_ARC
(31,26),-0.974505 # DEPENDENCYPART_ARC
(31,27),-1.30122 # DEPENDENCYPART_ARC
(31,29),0.587481 # DEPENDENCYPART_ARC
(31,30),1.42673 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.058227 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0573654 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.131493 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0572807 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.130467 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.100722 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0207156 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0145818 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.030316 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.0145818 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.013652 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0290556 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.013652 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.038425 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0384035 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.0331077 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00933371 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.173409 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0663179 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0602983 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0337121 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.00699671 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00699671 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.279708 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.00699671 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.173409 # DEPENDENCYPART_SIBL
(2,1),(2,32),0.0448178 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0259653 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0387657 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0262751 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00259074 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0035829 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0035829 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0876184 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0035829 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0259653 # DEPENDENCYPART_SIBL
(2,3),(2,32),0.0111433 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00447876 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0135788 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0519572 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.000455745 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.000455745 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0602163 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.000455745 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0225538 # DEPENDENCYPART_SIBL
(2,4),(2,32),-0.00805278 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0418396 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0194186 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0359226 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0359226 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0387872 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0359226 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0118336 # DEPENDENCYPART_SIBL
(2,5),(2,32),0.047295 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0277066 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.02584 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.02584 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0500867 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.02584 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0233566 # DEPENDENCYPART_SIBL
(2,6),(2,32),0.069383 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0393892 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0393892 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0533614 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0393892 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0116074 # DEPENDENCYPART_SIBL
(2,8),(2,32),0.0428246 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.183792 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.010723 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.183792 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.00615652 # DEPENDENCYPART_SIBL
(2,9),(2,32),0.0535232 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.010723 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.183792 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.00615652 # DEPENDENCYPART_SIBL
(2,10),(2,32),0.0535232 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.115791 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.131988 # DEPENDENCYPART_SIBL
(2,15),(2,32),0.203843 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.00615652 # DEPENDENCYPART_SIBL
(2,16),(2,32),0.0535232 # DEPENDENCYPART_SIBL
(2,18),(2,32),-0.00805278 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0375133 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.113164 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0770038 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.041639 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0458016 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0327923 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0327923 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.113164 # DEPENDENCYPART_SIBL
(3,1),(3,32),0.062425 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0934218 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0828019 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0336092 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0440504 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0459893 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0459893 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0934218 # DEPENDENCYPART_SIBL
(3,2),(3,32),0.0558415 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0447845 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0250709 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0951111 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0389889 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0389889 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0879685 # DEPENDENCYPART_SIBL
(3,4),(3,32),0.0393419 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0426911 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0200235 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.036996 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.036996 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0623756 # DEPENDENCYPART_SIBL
(3,5),(3,32),0.0530993 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0312356 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0239892 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0239892 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0332346 # DEPENDENCYPART_SIBL
(3,6),(3,32),0.0793879 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0398516 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0398516 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0407648 # DEPENDENCYPART_SIBL
(3,8),(3,32),0.0492315 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.179077 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0684321 # DEPENDENCYPART_SIBL
(3,9),(3,32),0.0664146 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0684321 # DEPENDENCYPART_SIBL
(3,10),(3,32),0.0664146 # DEPENDENCYPART_SIBL
(3,18),(3,32),0.0393419 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0189734 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0221829 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00738168 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0237107 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00453595 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0211173 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0608406 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0443711 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0443711 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0229621 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0393336 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0443711 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0446161 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0150943 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.0229461 # DEPENDENCYPART_SIBL
(5,1),(5,28),-0.0366148 # DEPENDENCYPART_SIBL
(5,1),(5,32),0.152058 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00524476 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0134289 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00239791 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0210957 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0591167 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0400247 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0400247 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0276063 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0267846 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0400247 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.0266725 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0211131 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.0321246 # DEPENDENCYPART_SIBL
(5,2),(5,28),-0.0324818 # DEPENDENCYPART_SIBL
(5,2),(5,32),0.145007 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0379185 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00355749 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0210501 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0653224 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0211389 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0211389 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0181154 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0199417 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0211389 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0327985 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.0113288 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.0198524 # DEPENDENCYPART_SIBL
(5,3),(5,28),-0.0351115 # DEPENDENCYPART_SIBL
(5,3),(5,32),0.155363 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0284653 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00145125 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0227801 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0517202 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0517202 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.021034 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.00699709 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0517202 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.07913 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0152385 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.0543661 # DEPENDENCYPART_SIBL
(5,4),(5,28),-0.00518657 # DEPENDENCYPART_SIBL
(5,4),(5,32),0.0981572 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0125241 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.00648037 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0317766 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0317766 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0035507 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0220385 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0317766 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0522375 # DEPENDENCYPART_SIBL
(5,6),(5,19),0.00741245 # DEPENDENCYPART_SIBL
