# _root_ Jack W. Forrest , Environmental Systems president and chief executive officer , said the change increases the company 's effective tax rate to about 35 % from 20 % .
#goldHeads=3,3,13,3,7,7,3,7,11,11,8,3,0,15,16,13,18,22,18,22,22,16,16,26,24,23,16,29,27,13,
#predictedHeads=3,3,13,3,7,7,3,7,11,11,8,3,0,15,16,13,18,22,18,22,22,16,16,26,24,23,16,29,27,13,
(6,16),-1.82384 # DEPENDENCYPART_ARC
(7,1),-1.67014 # DEPENDENCYPART_ARC
(7,2),-1.11081 # DEPENDENCYPART_ARC
(7,3),-1.14586 # DEPENDENCYPART_ARC
(7,4),-1.61885 # DEPENDENCYPART_ARC
(7,5),0.242478 # DEPENDENCYPART_ARC
(7,6),1.38032 # DEPENDENCYPART_ARC
(7,8),0.605262 # DEPENDENCYPART_ARC
(7,9),-1.1429 # DEPENDENCYPART_ARC
(7,10),-1.34513 # DEPENDENCYPART_ARC
(7,11),-1.41523 # DEPENDENCYPART_ARC
(7,12),-1.43471 # DEPENDENCYPART_ARC
(7,15),-1.75323 # DEPENDENCYPART_ARC
(7,16),-1.8206 # DEPENDENCYPART_ARC
(7,19),-2.43933 # DEPENDENCYPART_ARC
(7,22),-2.28956 # DEPENDENCYPART_ARC
(7,24),-1.62231 # DEPENDENCYPART_ARC
(7,27),-1.4297 # DEPENDENCYPART_ARC
(8,6),-1.66895 # DEPENDENCYPART_ARC
(8,9),0.494688 # DEPENDENCYPART_ARC
(8,10),-0.48648 # DEPENDENCYPART_ARC
(8,11),-0.641904 # DEPENDENCYPART_ARC
(8,12),-1.13327 # DEPENDENCYPART_ARC
(8,13),-1.05334 # DEPENDENCYPART_ARC
(8,15),-1.61073 # DEPENDENCYPART_ARC
(8,16),-1.61932 # DEPENDENCYPART_ARC
(8,18),-1.68324 # DEPENDENCYPART_ARC
(8,22),-2.21012 # DEPENDENCYPART_ARC
(8,23),-1.30043 # DEPENDENCYPART_ARC
(8,26),-2.01364 # DEPENDENCYPART_ARC
(9,10),-0.431763 # DEPENDENCYPART_ARC
(9,11),-1.16804 # DEPENDENCYPART_ARC
(10,6),-1.64581 # DEPENDENCYPART_ARC
(10,7),-1.41418 # DEPENDENCYPART_ARC
(10,8),-1.30435 # DEPENDENCYPART_ARC
(10,9),0.253007 # DEPENDENCYPART_ARC
(11,1),-1.67068 # DEPENDENCYPART_ARC
(11,2),-1.70135 # DEPENDENCYPART_ARC
(11,3),-1.83614 # DEPENDENCYPART_ARC
(11,4),-2.21885 # DEPENDENCYPART_ARC
(11,5),-1.19059 # DEPENDENCYPART_ARC
(11,6),-0.791796 # DEPENDENCYPART_ARC
(11,7),-0.850029 # DEPENDENCYPART_ARC
(11,8),-1.11254 # DEPENDENCYPART_ARC
(11,9),0.199943 # DEPENDENCYPART_ARC
(11,10),1.51071 # DEPENDENCYPART_ARC
(11,12),-0.105027 # DEPENDENCYPART_ARC
(11,13),-1.40901 # DEPENDENCYPART_ARC
(11,15),-1.65489 # DEPENDENCYPART_ARC
(11,16),-1.88359 # DEPENDENCYPART_ARC
(11,19),-2.36115 # DEPENDENCYPART_ARC
(13,1),-1.42949 # DEPENDENCYPART_ARC
(13,2),-1.45593 # DEPENDENCYPART_ARC
(13,3),-1.13867 # DEPENDENCYPART_ARC
(13,4),-1.20348 # DEPENDENCYPART_ARC
(13,5),-1.46355 # DEPENDENCYPART_ARC
(13,6),-1.27238 # DEPENDENCYPART_ARC
(13,7),-1.05423 # DEPENDENCYPART_ARC
(13,8),-1.44852 # DEPENDENCYPART_ARC
(13,9),-1.26594 # DEPENDENCYPART_ARC
(13,10),-1.07446 # DEPENDENCYPART_ARC
(13,11),-0.761212 # DEPENDENCYPART_ARC
(13,12),0.584131 # DEPENDENCYPART_ARC
(13,14),0.553013 # DEPENDENCYPART_ARC
(13,15),0.249793 # DEPENDENCYPART_ARC
(13,16),0.134954 # DEPENDENCYPART_ARC
(13,18),-0.639656 # DEPENDENCYPART_ARC
(13,19),-1.1594 # DEPENDENCYPART_ARC
(13,20),-1.38099 # DEPENDENCYPART_ARC
(13,22),-0.879527 # DEPENDENCYPART_ARC
(13,23),-1.5973 # DEPENDENCYPART_ARC
(13,24),-1.11161 # DEPENDENCYPART_ARC
(13,27),-1.20698 # DEPENDENCYPART_ARC
(13,30),2.09499 # DEPENDENCYPART_ARC
(15,10),-1.63825 # DEPENDENCYPART_ARC
(15,11),-1.72323 # DEPENDENCYPART_ARC
(15,13),-1.10423 # DEPENDENCYPART_ARC
(15,14),1.02826 # DEPENDENCYPART_ARC
(15,16),-0.170048 # DEPENDENCYPART_ARC
(15,18),-1.21402 # DEPENDENCYPART_ARC
(15,19),-1.54852 # DEPENDENCYPART_ARC
(15,22),-1.89484 # DEPENDENCYPART_ARC
(15,23),-1.67546 # DEPENDENCYPART_ARC
(16,1),-1.62518 # DEPENDENCYPART_ARC
(16,2),-1.72518 # DEPENDENCYPART_ARC
(16,3),-1.64536 # DEPENDENCYPART_ARC
(16,4),-1.87445 # DEPENDENCYPART_ARC
(16,5),-1.68587 # DEPENDENCYPART_ARC
(16,6),-1.58763 # DEPENDENCYPART_ARC
(16,7),-1.39515 # DEPENDENCYPART_ARC
(16,8),-1.40855 # DEPENDENCYPART_ARC
(16,9),-1.77752 # DEPENDENCYPART_ARC
(16,10),-1.73033 # DEPENDENCYPART_ARC
(16,11),-1.34181 # DEPENDENCYPART_ARC
(16,12),-1.26024 # DEPENDENCYPART_ARC
(16,13),-1.15985 # DEPENDENCYPART_ARC
(16,14),-0.895686 # DEPENDENCYPART_ARC
(16,15),0.587614 # DEPENDENCYPART_ARC
(16,17),0.192036 # DEPENDENCYPART_ARC
(16,18),0.184673 # DEPENDENCYPART_ARC
(16,19),-0.916799 # DEPENDENCYPART_ARC
(16,20),-0.995596 # DEPENDENCYPART_ARC
(16,21),-0.524494 # DEPENDENCYPART_ARC
(16,22),-0.939062 # DEPENDENCYPART_ARC
(16,23),-1.28505 # DEPENDENCYPART_ARC
(16,24),-1.59975 # DEPENDENCYPART_ARC
(16,26),-1.2933 # DEPENDENCYPART_ARC
(16,27),-1.32287 # DEPENDENCYPART_ARC
(16,29),-1.66033 # DEPENDENCYPART_ARC
(16,30),0.299557 # DEPENDENCYPART_ARC
(18,14),-0.865493 # DEPENDENCYPART_ARC
(18,15),-0.771871 # DEPENDENCYPART_ARC
(18,16),-0.595 # DEPENDENCYPART_ARC
(18,17),1.83706 # DEPENDENCYPART_ARC
(18,19),1.25258 # DEPENDENCYPART_ARC
(18,20),-0.744017 # DEPENDENCYPART_ARC
(18,21),-0.869147 # DEPENDENCYPART_ARC
(18,23),-1.06913 # DEPENDENCYPART_ARC
(18,24),-1.05847 # DEPENDENCYPART_ARC
(18,26),-1.54474 # DEPENDENCYPART_ARC
(18,27),-0.831747 # DEPENDENCYPART_ARC
(18,29),-1.89871 # DEPENDENCYPART_ARC
(19,20),-0.3653 # DEPENDENCYPART_ARC
(20,18),-1.4112 # DEPENDENCYPART_ARC
(20,19),-0.421343 # DEPENDENCYPART_ARC
(20,21),-0.263675 # DEPENDENCYPART_ARC
(21,17),-2.2362 # DEPENDENCYPART_ARC
(21,18),-1.39102 # DEPENDENCYPART_ARC
(21,20),-0.203844 # DEPENDENCYPART_ARC
(21,23),-1.43712 # DEPENDENCYPART_ARC
(21,24),-1.61353 # DEPENDENCYPART_ARC
(21,26),-1.97333 # DEPENDENCYPART_ARC
(21,29),-2.41447 # DEPENDENCYPART_ARC
(22,2),-2.7756 # DEPENDENCYPART_ARC
(22,7),-2.08397 # DEPENDENCYPART_ARC
(22,9),-1.92065 # DEPENDENCYPART_ARC
(22,14),-2.13721 # DEPENDENCYPART_ARC
(22,15),-1.13602 # DEPENDENCYPART_ARC
(22,17),-0.795062 # DEPENDENCYPART_ARC
(22,18),-0.203201 # DEPENDENCYPART_ARC
(22,19),-0.829073 # DEPENDENCYPART_ARC
(22,20),0.237121 # DEPENDENCYPART_ARC
(22,21),1.86661 # DEPENDENCYPART_ARC
(22,23),-0.286244 # DEPENDENCYPART_ARC
(22,24),-1.23385 # DEPENDENCYPART_ARC
(22,25),-1.3165 # DEPENDENCYPART_ARC
(22,26),-1.15171 # DEPENDENCYPART_ARC
(22,27),-1.40914 # DEPENDENCYPART_ARC
(22,28),-1.87155 # DEPENDENCYPART_ARC
(22,29),-1.63356 # DEPENDENCYPART_ARC
(23,3),-2.34579 # DEPENDENCYPART_ARC
(23,20),-1.7061 # DEPENDENCYPART_ARC
(23,21),-1.71523 # DEPENDENCYPART_ARC
(23,22),-0.7218 # DEPENDENCYPART_ARC
(23,24),0.112735 # DEPENDENCYPART_ARC
(23,25),-0.957902 # DEPENDENCYPART_ARC
(23,26),-0.756827 # DEPENDENCYPART_ARC
(23,27),-1.08211 # DEPENDENCYPART_ARC
(23,28),-1.82336 # DEPENDENCYPART_ARC
(23,29),-1.58936 # DEPENDENCYPART_ARC
(24,25),1.09 # DEPENDENCYPART_ARC
(24,26),-0.509809 # DEPENDENCYPART_ARC
(24,27),-0.839248 # DEPENDENCYPART_ARC
(24,28),-0.774151 # DEPENDENCYPART_ARC
(24,29),-1.11557 # DEPENDENCYPART_ARC
(25,20),-1.76849 # DEPENDENCYPART_ARC
(25,22),-1.52812 # DEPENDENCYPART_ARC
(25,23),-1.26546 # DEPENDENCYPART_ARC
(25,24),-0.22213 # DEPENDENCYPART_ARC
(25,26),-0.412771 # DEPENDENCYPART_ARC
(25,29),-1.86167 # DEPENDENCYPART_ARC
(26,15),-2.14827 # DEPENDENCYPART_ARC
(26,18),-1.53816 # DEPENDENCYPART_ARC
(26,20),-1.5818 # DEPENDENCYPART_ARC
(26,21),-1.09232 # DEPENDENCYPART_ARC
(26,22),-1.03336 # DEPENDENCYPART_ARC
(26,23),-1.39761 # DEPENDENCYPART_ARC
(26,24),0.090246 # DEPENDENCYPART_ARC
(26,25),0.885353 # DEPENDENCYPART_ARC
(26,27),0.0208507 # DEPENDENCYPART_ARC
(26,28),-1.13863 # DEPENDENCYPART_ARC
(26,29),-1.21856 # DEPENDENCYPART_ARC
(27,26),-0.982454 # DEPENDENCYPART_ARC
(27,28),0.0105454 # DEPENDENCYPART_ARC
(27,29),0.203857 # DEPENDENCYPART_ARC
(28,25),-1.59389 # DEPENDENCYPART_ARC
(28,27),-0.259158 # DEPENDENCYPART_ARC
(28,29),-0.315756 # DEPENDENCYPART_ARC
(29,18),-1.95252 # DEPENDENCYPART_ARC
(29,20),-1.88761 # DEPENDENCYPART_ARC
(29,22),-1.81156 # DEPENDENCYPART_ARC
(29,23),-2.09517 # DEPENDENCYPART_ARC
(29,24),-0.623506 # DEPENDENCYPART_ARC
(29,25),-0.925945 # DEPENDENCYPART_ARC
(29,26),-0.903656 # DEPENDENCYPART_ARC
(29,27),-0.712353 # DEPENDENCYPART_ARC
(29,28),1.04357 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0534345 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.161051 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.108315 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.161051 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.108315 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.207918 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.017949 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00708895 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0181358 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0189943 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0491977 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.00361318 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.038751 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.00708895 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00650897 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.01802 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0188784 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0490791 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.00348945 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0386324 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.00650897 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0597962 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0670803 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.106913 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0330124 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0623412 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0113345 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0191731 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0505229 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.00399094 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0400762 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0113393 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0550297 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.00929164 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.044583 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.00432957 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0376541 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.164476 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.010373 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0690423 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.0207776 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.029174 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00990418 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0240059 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00943979 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00587442 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.182726 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0694355 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0778341 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0240059 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0299653 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0403056 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00860093 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0195069 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0203653 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0508537 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00166386 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.040109 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.00860093 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.034784 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0138058 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0626639 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.069948 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.106254 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0379855 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0622775 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0183128 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0514651 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0136455 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.02066 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0522975 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00216536 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0415529 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0134313 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0362279 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0141236 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0568043 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.00746605 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0460597 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.00642153 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0407347 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0171312 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0404398 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.164063 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0127723 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.161451 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0293875 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0702107 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0201354 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0622344 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0339681 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.031834 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.101535 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.00478549 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.0514651 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.0136455 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.0022739 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0772573 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0435768 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0269978 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0116836 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.194697 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0782661 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.014003 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0283806 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0894748 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0435768 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0416061 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0489388 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0459992 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.16116 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.0308367 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.110643 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0459369 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0306227 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.211142 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0906885 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0113311 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0256947 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.110874 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.110643 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0630381 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0610904 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0691237 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.178159 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0522688 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0688035 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0760877 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.11757 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0432262 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0461213 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0491079 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0729985 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0316677 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0621861 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0188796 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.047232 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0443568 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.0457624 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0169039 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0470179 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.000691804 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0172541 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0247488 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0365713 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.000196659 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0312463 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0112725 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.000643105 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.100866 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0310042 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0515247 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00460889 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0204418 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0279366 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0410781 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.00681308 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0357531 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0142801 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0043469 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.10389 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.035511 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0408424 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0145426 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0193847 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.161671 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0203789 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.159059 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0289895 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.166588 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0148951 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.163354 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.00148508 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00385797 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0682169 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0135653 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0602406 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0339681 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0375075 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0691087 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.0596257 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0186647 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.025345 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.00673773 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0264805 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0213849 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0123693 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0108571 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.0281987 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0232171 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.00837978 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0243066 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0180391 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0101955 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.00568032 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0260249 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0391799 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.099274 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.00451784 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.10241 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.00550814 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.103569 # DEPENDENCYPART_SIBL
