# _root_ `` Markets in this region are n't so geared to leveraged buy-outs , and their economies generally are in good shape , but there 's no doubt that Asia is still following America 's lead . ''
#goldHeads=6,6,2,5,3,0,6,9,6,9,12,10,6,6,16,18,18,14,18,21,19,18,18,25,23,27,25,27,30,28,30,30,35,33,32,6,6,
#predictedHeads=6,6,2,5,3,0,6,9,6,9,12,10,6,6,16,18,18,14,18,21,19,18,18,25,23,27,25,27,30,28,30,30,35,33,32,6,6,
(9,3),-1.66884 # DEPENDENCYPART_ARC
(9,4),-1.76073 # DEPENDENCYPART_ARC
(9,5),-1.30331 # DEPENDENCYPART_ARC
(9,6),-0.986388 # DEPENDENCYPART_ARC
(9,7),-0.961271 # DEPENDENCYPART_ARC
(9,8),0.326105 # DEPENDENCYPART_ARC
(9,10),0.640043 # DEPENDENCYPART_ARC
(9,11),-0.564533 # DEPENDENCYPART_ARC
(9,12),-0.927623 # DEPENDENCYPART_ARC
(9,13),-1.21823 # DEPENDENCYPART_ARC
(9,14),-1.53252 # DEPENDENCYPART_ARC
(9,16),-1.48193 # DEPENDENCYPART_ARC
(9,17),-1.56251 # DEPENDENCYPART_ARC
(9,18),-1.6278 # DEPENDENCYPART_ARC
(9,19),-1.4515 # DEPENDENCYPART_ARC
(9,21),-1.68032 # DEPENDENCYPART_ARC
(9,22),-1.64145 # DEPENDENCYPART_ARC
(9,23),-1.99982 # DEPENDENCYPART_ARC
(9,32),-1.759 # DEPENDENCYPART_ARC
(9,36),-1.88691 # DEPENDENCYPART_ARC
(10,3),-1.63956 # DEPENDENCYPART_ARC
(10,7),-1.63822 # DEPENDENCYPART_ARC
(10,8),-1.48437 # DEPENDENCYPART_ARC
(10,11),0.0550339 # DEPENDENCYPART_ARC
(10,12),-0.22576 # DEPENDENCYPART_ARC
(10,13),-1.24161 # DEPENDENCYPART_ARC
(10,14),-1.42214 # DEPENDENCYPART_ARC
(10,16),-1.44594 # DEPENDENCYPART_ARC
(10,23),-1.88837 # DEPENDENCYPART_ARC
(11,1),-2.12457 # DEPENDENCYPART_ARC
(11,2),-1.87397 # DEPENDENCYPART_ARC
(11,3),-2.12114 # DEPENDENCYPART_ARC
(11,5),-1.75548 # DEPENDENCYPART_ARC
(11,8),-1.40382 # DEPENDENCYPART_ARC
(11,10),-0.530026 # DEPENDENCYPART_ARC
(11,12),0.0417326 # DEPENDENCYPART_ARC
(11,13),-1.17272 # DEPENDENCYPART_ARC
(11,14),-1.36252 # DEPENDENCYPART_ARC
(11,16),-1.37003 # DEPENDENCYPART_ARC
(11,17),-1.64074 # DEPENDENCYPART_ARC
(11,18),-1.73795 # DEPENDENCYPART_ARC
(11,19),-1.5686 # DEPENDENCYPART_ARC
(11,21),-1.62243 # DEPENDENCYPART_ARC
(11,36),-1.88988 # DEPENDENCYPART_ARC
(12,1),-1.84303 # DEPENDENCYPART_ARC
(12,2),-1.6757 # DEPENDENCYPART_ARC
(12,4),-1.90166 # DEPENDENCYPART_ARC
(12,5),-1.34528 # DEPENDENCYPART_ARC
(12,7),-1.21157 # DEPENDENCYPART_ARC
(12,8),-1.04558 # DEPENDENCYPART_ARC
(12,9),-0.680598 # DEPENDENCYPART_ARC
(12,10),-0.731318 # DEPENDENCYPART_ARC
(12,11),1.07102 # DEPENDENCYPART_ARC
(12,13),0.117817 # DEPENDENCYPART_ARC
(12,14),-1.38344 # DEPENDENCYPART_ARC
(12,15),-1.30889 # DEPENDENCYPART_ARC
(12,16),-1.21341 # DEPENDENCYPART_ARC
(12,17),-1.57021 # DEPENDENCYPART_ARC
(12,18),-1.57674 # DEPENDENCYPART_ARC
(12,19),-1.61185 # DEPENDENCYPART_ARC
(12,21),-1.75413 # DEPENDENCYPART_ARC
(12,22),-1.31904 # DEPENDENCYPART_ARC
(12,37),-1.38849 # DEPENDENCYPART_ARC
(14,15),0.254786 # DEPENDENCYPART_ARC
(14,16),-0.393311 # DEPENDENCYPART_ARC
(14,17),-1.26397 # DEPENDENCYPART_ARC
(14,18),-0.794972 # DEPENDENCYPART_ARC
(14,19),-1.3358 # DEPENDENCYPART_ARC
(14,20),-1.86377 # DEPENDENCYPART_ARC
(14,21),-1.85459 # DEPENDENCYPART_ARC
(14,23),-1.20752 # DEPENDENCYPART_ARC
(14,24),-2.00008 # DEPENDENCYPART_ARC
(14,25),-1.50316 # DEPENDENCYPART_ARC
(14,30),-1.39353 # DEPENDENCYPART_ARC
(16,11),-1.41022 # DEPENDENCYPART_ARC
(16,12),-1.39929 # DEPENDENCYPART_ARC
(16,15),1.20752 # DEPENDENCYPART_ARC
(16,17),-0.421159 # DEPENDENCYPART_ARC
(16,18),-1.17055 # DEPENDENCYPART_ARC
(16,19),-1.1486 # DEPENDENCYPART_ARC
(16,20),-1.65761 # DEPENDENCYPART_ARC
(16,21),-1.68022 # DEPENDENCYPART_ARC
(16,22),-1.53091 # DEPENDENCYPART_ARC
(16,23),-1.92409 # DEPENDENCYPART_ARC
(16,25),-1.77014 # DEPENDENCYPART_ARC
(17,15),-1.39732 # DEPENDENCYPART_ARC
(17,16),-0.361008 # DEPENDENCYPART_ARC
(17,19),-1.47106 # DEPENDENCYPART_ARC
(18,1),-0.878095 # DEPENDENCYPART_ARC
(18,2),-0.857259 # DEPENDENCYPART_ARC
(18,3),-1.26359 # DEPENDENCYPART_ARC
(18,4),-1.72052 # DEPENDENCYPART_ARC
(18,5),-1.32277 # DEPENDENCYPART_ARC
(18,6),-1.28225 # DEPENDENCYPART_ARC
(18,7),-1.39103 # DEPENDENCYPART_ARC
(18,8),-1.32398 # DEPENDENCYPART_ARC
(18,9),-1.34225 # DEPENDENCYPART_ARC
(18,10),-1.33118 # DEPENDENCYPART_ARC
(18,11),-1.21983 # DEPENDENCYPART_ARC
(18,12),-0.510619 # DEPENDENCYPART_ARC
(18,13),-1.22862 # DEPENDENCYPART_ARC
(18,14),-0.967395 # DEPENDENCYPART_ARC
(18,15),-0.801827 # DEPENDENCYPART_ARC
(18,16),0.0750487 # DEPENDENCYPART_ARC
(18,17),0.632246 # DEPENDENCYPART_ARC
(18,19),0.975322 # DEPENDENCYPART_ARC
(18,20),-0.319827 # DEPENDENCYPART_ARC
(18,21),-0.572006 # DEPENDENCYPART_ARC
(18,22),-0.902079 # DEPENDENCYPART_ARC
(18,23),-1.02333 # DEPENDENCYPART_ARC
(18,24),-1.53554 # DEPENDENCYPART_ARC
(18,25),-1.25054 # DEPENDENCYPART_ARC
(18,27),-1.48148 # DEPENDENCYPART_ARC
(18,29),-1.86952 # DEPENDENCYPART_ARC
(18,30),-1.69066 # DEPENDENCYPART_ARC
(18,31),-1.69136 # DEPENDENCYPART_ARC
(18,32),-1.52991 # DEPENDENCYPART_ARC
(18,35),-1.84724 # DEPENDENCYPART_ARC
(18,36),-0.127942 # DEPENDENCYPART_ARC
(18,37),-0.614353 # DEPENDENCYPART_ARC
(19,20),-0.00746021 # DEPENDENCYPART_ARC
(19,21),0.690126 # DEPENDENCYPART_ARC
(19,22),-1.07353 # DEPENDENCYPART_ARC
(19,23),-1.22324 # DEPENDENCYPART_ARC
(19,24),-1.32116 # DEPENDENCYPART_ARC
(19,25),-0.995486 # DEPENDENCYPART_ARC
(21,15),-1.39259 # DEPENDENCYPART_ARC
(21,16),-1.23429 # DEPENDENCYPART_ARC
(21,17),-1.22392 # DEPENDENCYPART_ARC
(21,20),1.24464 # DEPENDENCYPART_ARC
(21,22),-0.176114 # DEPENDENCYPART_ARC
(21,23),-1.35322 # DEPENDENCYPART_ARC
(21,24),-1.51744 # DEPENDENCYPART_ARC
(21,25),-1.49957 # DEPENDENCYPART_ARC
(21,27),-1.84069 # DEPENDENCYPART_ARC
(21,29),-2.24114 # DEPENDENCYPART_ARC
(21,30),-1.90102 # DEPENDENCYPART_ARC
(21,35),-2.41767 # DEPENDENCYPART_ARC
(23,24),-0.0761388 # DEPENDENCYPART_ARC
(23,25),-0.215201 # DEPENDENCYPART_ARC
(23,27),-1.60018 # DEPENDENCYPART_ARC
(23,28),-2.02614 # DEPENDENCYPART_ARC
(23,30),-1.26152 # DEPENDENCYPART_ARC
(24,25),-0.111976 # DEPENDENCYPART_ARC
(24,27),-1.29842 # DEPENDENCYPART_ARC
(25,1),-1.36281 # DEPENDENCYPART_ARC
(25,3),-1.66289 # DEPENDENCYPART_ARC
(25,5),-1.67738 # DEPENDENCYPART_ARC
(25,6),-1.53508 # DEPENDENCYPART_ARC
(25,7),-1.79971 # DEPENDENCYPART_ARC
(25,8),-1.91828 # DEPENDENCYPART_ARC
(25,9),-1.75415 # DEPENDENCYPART_ARC
(25,10),-1.71553 # DEPENDENCYPART_ARC
(25,11),-1.74724 # DEPENDENCYPART_ARC
(25,13),-2.47651 # DEPENDENCYPART_ARC
(25,14),-1.53575 # DEPENDENCYPART_ARC
(25,15),-1.75989 # DEPENDENCYPART_ARC
(25,16),-1.79111 # DEPENDENCYPART_ARC
(25,17),-1.57585 # DEPENDENCYPART_ARC
(25,18),-1.37281 # DEPENDENCYPART_ARC
(25,19),-1.13539 # DEPENDENCYPART_ARC
(25,20),-1.71095 # DEPENDENCYPART_ARC
(25,21),-1.34846 # DEPENDENCYPART_ARC
(25,22),-1.2985 # DEPENDENCYPART_ARC
(25,23),-0.867675 # DEPENDENCYPART_ARC
(25,24),0.700669 # DEPENDENCYPART_ARC
(25,26),0.217788 # DEPENDENCYPART_ARC
(25,27),0.200856 # DEPENDENCYPART_ARC
(25,28),-1.2701 # DEPENDENCYPART_ARC
(25,29),-1.22519 # DEPENDENCYPART_ARC
(25,30),-0.803573 # DEPENDENCYPART_ARC
(25,31),-1.39871 # DEPENDENCYPART_ARC
(25,32),-1.22767 # DEPENDENCYPART_ARC
(25,33),-1.85598 # DEPENDENCYPART_ARC
(25,34),-1.616 # DEPENDENCYPART_ARC
(25,35),-1.20839 # DEPENDENCYPART_ARC
(25,36),-0.658484 # DEPENDENCYPART_ARC
(25,37),-1.06511 # DEPENDENCYPART_ARC
(26,28),-1.37277 # DEPENDENCYPART_ARC
(26,29),-1.45483 # DEPENDENCYPART_ARC
(26,30),-1.05814 # DEPENDENCYPART_ARC
(27,24),-1.14844 # DEPENDENCYPART_ARC
(27,26),1.07626 # DEPENDENCYPART_ARC
(27,28),-0.13873 # DEPENDENCYPART_ARC
(27,29),-0.964005 # DEPENDENCYPART_ARC
(27,30),-0.433564 # DEPENDENCYPART_ARC
(27,31),-1.21191 # DEPENDENCYPART_ARC
(27,32),-1.17491 # DEPENDENCYPART_ARC
(27,33),-1.49922 # DEPENDENCYPART_ARC
(27,34),-1.64371 # DEPENDENCYPART_ARC
(27,35),-1.66104 # DEPENDENCYPART_ARC
(27,36),-1.18454 # DEPENDENCYPART_ARC
(27,37),-1.04953 # DEPENDENCYPART_ARC
(28,26),-1.60894 # DEPENDENCYPART_ARC
(28,27),-0.668454 # DEPENDENCYPART_ARC
(28,29),-0.489324 # DEPENDENCYPART_ARC
(28,30),-0.550855 # DEPENDENCYPART_ARC
(28,31),-1.43364 # DEPENDENCYPART_ARC
(28,32),-1.60244 # DEPENDENCYPART_ARC
(29,24),-1.80472 # DEPENDENCYPART_ARC
(29,26),-1.49556 # DEPENDENCYPART_ARC
(29,27),-0.852632 # DEPENDENCYPART_ARC
(29,28),0.192439 # DEPENDENCYPART_ARC
(29,34),-1.997 # DEPENDENCYPART_ARC
(30,1),-0.861666 # DEPENDENCYPART_ARC
(30,2),-1.98575 # DEPENDENCYPART_ARC
(30,3),-1.74347 # DEPENDENCYPART_ARC
(30,5),-1.53804 # DEPENDENCYPART_ARC
(30,6),-1.8792 # DEPENDENCYPART_ARC
(30,7),-1.81863 # DEPENDENCYPART_ARC
(30,8),-1.97826 # DEPENDENCYPART_ARC
(30,9),-1.73355 # DEPENDENCYPART_ARC
(30,10),-1.40895 # DEPENDENCYPART_ARC
(30,11),-1.62595 # DEPENDENCYPART_ARC
(30,13),-2.71386 # DEPENDENCYPART_ARC
(30,14),-1.42719 # DEPENDENCYPART_ARC
(30,15),-1.92688 # DEPENDENCYPART_ARC
(30,17),-1.4281 # DEPENDENCYPART_ARC
(30,18),-1.67276 # DEPENDENCYPART_ARC
(30,19),-1.21015 # DEPENDENCYPART_ARC
(30,20),-1.70459 # DEPENDENCYPART_ARC
(30,21),-1.36168 # DEPENDENCYPART_ARC
(30,22),-1.91162 # DEPENDENCYPART_ARC
(30,23),-1.42926 # DEPENDENCYPART_ARC
(30,24),-1.21905 # DEPENDENCYPART_ARC
(30,25),-1.54871 # DEPENDENCYPART_ARC
(30,26),-1.45596 # DEPENDENCYPART_ARC
(30,27),-0.755454 # DEPENDENCYPART_ARC
(30,28),-0.765786 # DEPENDENCYPART_ARC
(30,29),0.462792 # DEPENDENCYPART_ARC
(30,31),0.858426 # DEPENDENCYPART_ARC
(30,32),-0.050872 # DEPENDENCYPART_ARC
(30,33),-0.88933 # DEPENDENCYPART_ARC
(30,34),-1.14671 # DEPENDENCYPART_ARC
(30,35),-0.699959 # DEPENDENCYPART_ARC
(30,36),-0.171002 # DEPENDENCYPART_ARC
(30,37),-0.827608 # DEPENDENCYPART_ARC
(31,28),-1.79463 # DEPENDENCYPART_ARC
(31,32),-0.251974 # DEPENDENCYPART_ARC
(31,33),-1.38205 # DEPENDENCYPART_ARC
(31,35),-1.57807 # DEPENDENCYPART_ARC
(32,26),-2.15561 # DEPENDENCYPART_ARC
(32,27),-1.72777 # DEPENDENCYPART_ARC
(32,28),-1.66985 # DEPENDENCYPART_ARC
(32,29),-1.66961 # DEPENDENCYPART_ARC
(32,31),-0.204084 # DEPENDENCYPART_ARC
(32,33),0.57596 # DEPENDENCYPART_ARC
(32,34),-0.547955 # DEPENDENCYPART_ARC
(32,35),-0.149486 # DEPENDENCYPART_ARC
(32,36),-1.04354 # DEPENDENCYPART_ARC
(32,37),-0.852741 # DEPENDENCYPART_ARC
(33,28),-1.57509 # DEPENDENCYPART_ARC
(33,29),-1.12197 # DEPENDENCYPART_ARC
(33,31),-0.960072 # DEPENDENCYPART_ARC
(33,32),0.0159256 # DEPENDENCYPART_ARC
(33,34),1.3488 # DEPENDENCYPART_ARC
(33,35),-0.617433 # DEPENDENCYPART_ARC
(33,37),-0.925442 # DEPENDENCYPART_ARC
(34,31),-1.51008 # DEPENDENCYPART_ARC
(35,26),-2.50014 # DEPENDENCYPART_ARC
(35,27),-1.82665 # DEPENDENCYPART_ARC
(35,28),-2.16058 # DEPENDENCYPART_ARC
(35,29),-1.25427 # DEPENDENCYPART_ARC
(35,31),-1.27868 # DEPENDENCYPART_ARC
(35,32),-1.1668 # DEPENDENCYPART_ARC
(35,33),0.507416 # DEPENDENCYPART_ARC
(35,34),0.36238 # DEPENDENCYPART_ARC
(35,37),-1.26613 # DEPENDENCYPART_ARC
(36,35),-0.74901 # DEPENDENCYPART_ARC
(36,37),-0.509838 # DEPENDENCYPART_ARC
(37,35),-1.57637 # DEPENDENCYPART_ARC
(0,2),(0,6),-0.111619 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.050117 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.111619 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.116977 # DEPENDENCYPART_SIBL
(0,2),(0,30),-0.143062 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0866589 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.19511 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.19572 # DEPENDENCYPART_SIBL
(0,6),(0,30),-0.220016 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0688826 # DEPENDENCYPART_SIBL
(0,9),(0,25),-0.0914122 # DEPENDENCYPART_SIBL
(0,9),(0,30),-0.105692 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.19572 # DEPENDENCYPART_SIBL
(0,18),(0,30),-0.220016 # DEPENDENCYPART_SIBL
(0,25),(0,30),-0.231546 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0139919 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00566569 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0571076 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00363288 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00181761 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.00740483 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.067413 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0284996 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0702408 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.00163374 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0346732 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0200106 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.00363288 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0346732 # DEPENDENCYPART_SIBL
(2,1),(2,36),0.0948627 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00850805 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0277929 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.000606231 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00648483 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00869167 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.00398817 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0162106 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.00765196 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0107764 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0118817 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.00142876 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.000606231 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.0118817 # DEPENDENCYPART_SIBL
(2,3),(2,36),0.0422111 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0187314 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0640186 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0372254 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0475906 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0348143 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0471937 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0348335 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0281572 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0329829 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0969992 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0640186 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0329829 # DEPENDENCYPART_SIBL
(2,4),(2,36),-0.0121939 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00557163 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.00519993 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0142681 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0151596 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0164533 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0162338 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0280522 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.00174297 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0285766 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.00557163 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.00174297 # DEPENDENCYPART_SIBL
(2,5),(2,36),0.060388 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0361089 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0567509 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0616921 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0292311 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0617116 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.00332368 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0189276 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0205388 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.125538 # DEPENDENCYPART_SIBL
(2,6),(2,22),0.0189276 # DEPENDENCYPART_SIBL
(2,6),(2,36),-0.0170277 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.00099697 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.000957017 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0321154 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.00187579 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0483993 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0204007 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0538319 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0324957 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0204007 # DEPENDENCYPART_SIBL
(2,7),(2,36),-0.0154856 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0487063 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0198029 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0458735 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0537403 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.00115413 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0316074 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0106462 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.00115413 # DEPENDENCYPART_SIBL
(2,8),(2,36),0.0261428 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.00400719 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0958274 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0123106 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0406893 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.00720612 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.00449731 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.0406893 # DEPENDENCYPART_SIBL
(2,9),(2,36),0.00353954 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.037271 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0730852 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.00886773 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.016995 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0245594 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.00886773 # DEPENDENCYPART_SIBL
(2,10),(2,36),0.135351 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0123084 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.0426006 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.00692601 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.00449451 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.0426006 # DEPENDENCYPART_SIBL
